code,scientific,top_page,family,local_name,country,wikipedia,photo,occurance,leaf_type,leaf_attachment,leaf_shape,flow_size,fruit_size,canopy_shape,bark,flower,fruit,leaf_size,fruiting_month,leaf_margin,leaf_veination ,petiole,sessile,scale,evergreen,deciduous
COGU,couroupita guianensis,44,Lecythidaceae,Kailaspati,Trinida and Tropical America,http://en.wikipedia.org/wiki/Couroupita_guianensis,yes,occasional,Simple,Alternate,lanceolate,5-8cm,15cm,oval,,Fragrant pink,"Spherical ,woody",12,"Oct,Nov",Entire,Reticulate,Yes,No,No,No,Yes
POLO,polyalthia longifolia,44,Annonaceae,Ashok,Sri Lanka,http://en.wikipedia.org/wiki/Polyalthia_longifolia,yes,common,Simple,Alternate,lanceolate,1-2cm,2-3cm,erect,,Green,Ovoid hard,12,"March,April",Wavy,Reticulate,Yes,No,No,No,Yes
POLO,polyalthia longifolia var. angustifolia,44,Annonaceae,Ashok,Sri Lanka,http://en.wikipedia.org/wiki/Polyalthia_longifolia,yes,common,Simple,Alternate,lanceolate,1-2cm,2-3cm,erect,,Green,Ovoid hard,12,"March,April",Wavy,Reticulate,Yes,No,No,No,Yes
EMOF,emblica officinalis,45,Euphorbiaceae,Awala,India-Pune,http://en.wikipedia.org/wiki/Phyllanthus_emblica,yes,common,Simple,Alternate,linear,,2-3cm,oval,"grey,peeling off",Greenish pink,Globose yellow,1,"March,April",Entire,Reticulate,yes,No,No,No,Yes
GUUL,guazuma ulmifolia,45,Sterculiaceae,Rudrakshi,Tropical America,http://en.wikipedia.org/wiki/Phyllanthus_emblica,yes,occasional,Simple,Alternate,lanceolate,1cm,3cm,erect,,Yellow, Globose woody,20,"March,April,Octo,Nov",Serrate,Reticulate,yes,No,No,Yes,No
CAEQ,casuarina equisetifolia,46,Casuarinaceae,Suru,Australia,http://en.wikipedia.org/wiki/Casuarina_equisetifolia,yes,common,Simple,Alternate,linear,2cm,2-3cm,erect,,Greenish,Woody,20,April,Entire,No,No,No,No,Yes,No
DRFR,dracaena fragrans,46,Agavaceae,Dracaena,Africa,http://en.wikipedia.org/wiki/Dracaena_fragrans,yes,common,Simple,Alternate,linear,1cm,1-2cm,erect,"5-10 cm,clustered",Pinkish white,Globose red,40,"Aug,Sep",Entire,Parellal,No,No,No,Yes,No
DRSP,dracaena sp.,46,Agavaceae,,Africa,http://en.wikipedia.org/wiki/Dracaena_(plant),yes,common,Simple,Alternate,linear,1cm,1-2cm,erect,,Pinkish white,Globose red,40,"Aug,Sep",Entire,Parellal,No,Yes,No,Yes,No
BERE,beaucarnea recurvata,47,Agavaceae,Elephant's foot palm,Mexico,http://en.wikipedia.org/wiki/Beaucarnea_recurvata,yes,occasional,Simple,Alternate,linear,,,erect,heavily bulging and hemispherical at base,No,No,60,No,Entire,Parellal,No,Yes,No,Yes,No
NORE,nolina recurvata,47,,,,http://en.wikipedia.org/wiki/Beaucarnea_recurvata,yes,occasional,Simple,Alternate,linear,,,erect,heavily bulging and hemispherical at base,No,No,60,No,Entire,Parellal,No,Yes,No,Yes,No
YUAL,yucca aloifolia,47,Agavaceae,Yucca,West Indies,http://en.wikipedia.org/wiki/Yucca,yes,occasional,Simple,Alternate,linear,3-5cm,,erect,"Clustered,5-10 cm withscars of fallen leaves",White Fragrant,No,50,July,Entire,Reticulate,No,Yes,No,Yes,No
NOCO,nopalea cochenillifera,48,Cactaceae,Nopal Cactus,Mexico,http://en.wikipedia.org/wiki/Opuntia,yes,occasional,Simple,Alternate,linear,8cm,3-5cm,erect,"round,spineless",Red,Yellow Juicy,0.6,Aug,No,No,No,Yes,No,Yes,No
PAOD,pandanus odoratissimus,48,Pandanaceae,Kevada,India,,no,occasional,Simple,Alternate,linear,5-10cm,15-25cm,irregular,"thick,supported by inclined cylindrical roots","Fragrant,Solitary",Oblong yellow,200,"July,Aug",Spinus,Parellal,No,Yes,No,Yes,No
EULA,euphorbia lactea,49,Euphorbiaceae,Candelabra Plant,India,http://en.wikipedia.org/wiki/Euphorbia_lactea,yes,occasional,Simple,Alternate,linear,,,erect,"woody, branchessucculent",No,No,No,No,No,No,No,No,No,Yes,No
EUTI,euphorbia tirucalli,49,Euphorbiaceae,Sher,Africa,http://en.wikipedia.org/wiki/Euphorbia_tirucalli,yes,occasional,Simple,Alternate,linear,5-10cm,1cm,irregular,,Pink,Dark Brown,2,April,No,No,No,No,No,Yes,No
BAHO,bauhinia hookeri,50,Caesalpiniceae,Mountain Ebony,Australia,,no,Rare,Simple,Alternate,lobed,5-8cm,,irregular,,White,Flat Pods,5,"Jan,Feb,March,Nov,Dec",Entire,Reticulate,yes,No,No,Yes,No
BARA,bauhinia racemosa,50,Caesalpiniceae,Apta,India-Pune,http://en.wikipedia.org/wiki/Bauhinia_racemosa,yes,occasional,Simple,Alternate,lobed,1-2cm,,irregular,"short,crooked,withdarkbark",Fragrant white,Flat Pods,4,May,Entire,Reticulate,yes,No,No,No,Yes
BATO,bauhinia tomentosa,51,Caesalpiniceae,Pivla Kanchan,India,http://en.wikipedia.org/wiki/Bauhinia,yes,occasional,Simple,Alternate,lobed,10-12cm,,irregular,,Yellow,Flat Pods,5,"Jan,Feb,March,Nov,Dec",Entire,Reticulate,yes,No,No,No,Yes
BAVA,bauhinia variegata,51,Caesalpiniceae,Kanchan,India,http://en.wikipedia.org/wiki/Bauhinia_variegata,yes,occasional,Simple,Alternate,lobed,6cm,,irregular,,"White, purple",Flat Pods,8,"Oct,Nov,Dec",Entire,Reticulate,yes,No,No,No,Yes
JACU,jatropha curcas,52,Euphorbiaceae,Mogli Erand,India-Pune,http://en.wikipedia.org/wiki/Jatropha_curcas,yes,occasional,Simple,Alternate,lobed,5-10cm,3cm,vase shaped,,Green,Globose yellow,10,"Jun,July",Acuminate,Reticulate,yes,No,No,No,Yes
PTCA,pterospermum canescens,52,Sterculiaceae,Muchkunda,India-Karnataka,,no,Rare,Simple,Alternate,lobed,5-7cm,3-6cm,oval,,Fragrant white,Oblong Tomantose,10,"Aug,Sep,Octo,",Entire,Reticulate,yes,No,No,Yes,No
BABL,bauhinia blakeana,53,Caesalpiniceae,Kanchan Raj,Hong Kong,http://en.wikipedia.org/wiki/Bauhinia_blakeana,yes,occasional,Simple,Alternate,lobed,8-12cm,,spreading,,Purpplish Violet,Flat Pods,10,"Feb,March.April,Octo,Nov",Entire,Reticulate,yes,No,No,Yes,No
BAMO,bauhinia monandra,53,Caesalpiniceae,Orchid Tree,Burma,http://en.wikipedia.org/wiki/Bauhinia_monandra,yes,Rare,Simple,Alternate,lobed,5cm,,spreading,,White,Flat Pods,10,"Feb,March,Octo,Nov",Entire,Reticulate,yes,No,No,No,Yes
BAPU,bauhinia purpurea,54,Caesalpiniceae,Gulabi Kanchan,India-Pune,http://en.wikipedia.org/wiki/Bauhinia_purpurea,yes,occasional,Simple,Alternate,lobed,5-8cm,,irregular,,Purple,Flat Pods,10,"Sep,Oct,Nov",Entire,Reticulate,yes,No,No,No,Yes
BARO,bauhinia roxburghii (Difference in name),54,Caesalpiniceae,Roxburgh's Bauhinia,India,,no,Rare,Simple,Alternate,lobed,2cm,,oval,,Fragrant yellow,Flat brown pods,10,"March,April,May",Entire,Reticulate,yes,No,No,No,Yes
FICO,firmiana colorata,55,Sterculiaceae,Kaushi,India-Kokan,,no,Rare,Simple,Alternate,lobed,2cm,4-6cm,oval,,Orangish Red,Red,10,April,Acuminate,Reticulate,yes,No,No,No,Yes
KYCA,kydia calycina,55,Malvaceae,Warang,India-Pune,,no,occasional,Simple,Alternate,lobed,1cm,,irregular,,White,In Clusters,10,"Sep,Octo",Sinuate,Reticulate,yes,No,No,No,Yes
CORE,cochlospermum religiosum,56,Cochlospermaceae,Ganer,India-Pune,https://en.wikipedia.org/wiki/Cochlospermum_religiosum,yes,occasional,Simple,Alternate,lobed,10-12cm,5-10cm,erect,"smooth,brown",Golden Yellow,Brown,12,"Feb,March",palmate,Reticulate,yes,No,No,No,Yes
DOAC,dombeya acutangula,56,Sterculiaceae,Dombeya,Africa,http://en.wikipedia.org/wiki/Dombeya_acutangula,yes,occasional,Simple,Alternate,lobed,1-2cm,1cm,irregular,,Pink,Globose,12,Jan,Dentale,Reticulate,yes,No,No,No,Yes
DOWA,dombeya wallichii,56,Sterculiaceae,,Africa,http://en.wikipedia.org/wiki/Dombeya_wallichii,yes,occasional,Simple,Alternate,lobed,1-2cm,1cm,irregular,,Pink,Globose,12,Jan,Dentale,Reticulate,yes,No,No,No,Yes
HIMU,hibiscus mutabilis,57,Malvaceae,Bhendi Gulab,China,http://en.wikipedia.org/wiki/Hibiscus_mutabilis,yes,occasional,Simple,Alternate,lobed,10-12cm,2 cm,oval,,Pink,Globose,12,Aug,Creanate,Reticulate,yes,No,No,No,Yes
SOER,solanum erianthum,57,Solanaceae,,India-Pune,http://en.wikipedia.org/wiki/Solanum_erianthum,yes,occasional,Simple,Alternate,lobed,2cm,1cm,spreading,,White,Globose yellow,12,"July,Aug",Acuminate,Reticulate,yes,No,No,No,Yes
SOTO,solanum torvum,57,Solanaceae,Kutri,India-Pune,http://en.wikipedia.org/wiki/Solanum_torvum,yes,occasional,Simple,Alternate,lobed,2cm,1cm,spreading,,White,Globose yellow,12,"July,Aug",Acuminate,Reticulate,yes,No,No,No,Yes
BRPA,broussonetia papyrifera,58,Moraceae,Paper Mulberry,South East  Asia,http://en.wikipedia.org/wiki/Paper_Mulberry,yes,occasional,Simple,Alternate,lobed,5-10cm,2-3cm,trailing,"smooth,branches slender,drooping",White,Globose red,15,April,Serrate,Reticulate,yes,No,No,No,Yes
MAES,manihot esculenta,58,Euphorbiaceae,Tapioca,South America,https://en.wikipedia.org/wiki/Cassava,yes,occasional,Simple,Alternate,lobed,1cm,,erect,,Green,Globose,15,Aug,Entire,Reticulate,yes,No,No,Yes,No
PLOR,platanus orientalis,59,Platanaceae,Chinar,India,http://en.wikipedia.org/wiki/Platanus_orientalis,yes,Rare,Simple,Alternate,lobed,1-2cm,2-3cm,spreading,"smooth,grey",Greenish,globose,15,April,Acuminate,Reticulate,yes,No,No,Yes,No
RICO,ricinus communis,59,Euphorbiaceae,Erand,India-Pune,http://commons.wikimedia.org/wiki/Ricinus_communis,yes,common,Simple,Alternate,lobed,10-20cm,3cm,irregular,,"Red,Green",Globose Green,15,Jan-Dec,Serrate,Reticulate,yes,No,No,Yes,No
PTAC,pterospermum acerifolium,60,Sterculiaceae,Karnikar,India-Pune,http://en.wikipedia.org/wiki/Pterospermum_acerifolium,yes,occasional,Simple,Alternate,lobed,15cm,10-15cm,erect,,Whitish yellow,Oblong Woody,15,"Jan,Feb",Entire,Reticulate,yes,No,No,Yes,No
SOMA,solanum macrophyllum,60,Solanaceae,Potato Tree,Mexico,http://en.wikipedia.org/wiki/Solanum_lanceolatum,yes,occasional,Simple,Alternate,lobed,3-5cm,3-5cm,spreading,"shot,crooked","Blue,White",Globose yellow,15,Aug,Entire,Reticulate,yes,No,No,No,Yes
