-----
{
 "description": "The table refers to district wise distribution of surface flow schemes by type. It has been sourced from 2nd census of minor irrigation scheme(1993-94) from Ministry of Water Resources.", 
 "file_name": "Statetab4.5.csv", 
 "title": "Download CSV for Districtwise Distribution of Surface Flow Schemes by its type for 2nd census of Minor Irrigation Schemes (1993-94)", 
 "url": "http://data.gov.in/sites/default/files/Statetab4.5.csv"
}
-----
State,District,Flow schemes - Storage,Flow schemes - Permanent Diversion,Flow schemes - Temporary Diversion,Flow schemes - Water Circulation,Total
HARYANA,HISAR,NA,NA,NA,NA,NA
HARYANA,JIND,NA,NA,NA,NA,NA
HARYANA,KAITHAL,NA,NA,NA,NA,NA
HARYANA,KARNAL,NA,NA,NA,NA,NA
HARYANA,KURUKSHETRA,24,0,0,0,24
HARYANA,MEHANDERGARH,NA,NA,NA,NA,NA
HARYANA,PANCHKULA,3,1,5,1,10
HARYANA,PANIPAT,NA,NA,NA,NA,NA
HARYANA,RIWARI,NA,NA,NA,NA,NA
HARYANA,ROHTAK,NA,NA,NA,NA,NA
HARYANA,SIRSA,NA,NA,NA,NA,NA
HARYANA,SONIPAT,NA,NA,NA,NA,NA
HARYANA,YAMUNA NAGAR,NA,NA,NA,NA,NA
HIMACHAL PRADESH,Bilaspur,48,195,476,81,800
HIMACHAL PRADESH,Chamba,2,309,310,1,622
HIMACHAL PRADESH,Hamirpur,18,35,128,1,182
HIMACHAL PRADESH,Kangra,75,1085,1435,8,2603
HIMACHAL PRADESH,Kinnaur,3,72,367,0,442
HIMACHAL PRADESH,Kullu,1,276,146,0,423
HIMACHAL PRADESH,Lahul & Spiti,0,423,22,0,445
HIMACHAL PRADESH,Mandi,91,1478,2162,35,3766
HIMACHAL PRADESH,Shimla,153,498,635,3,1289
HIMACHAL PRADESH,Sirmaur,87,1014,855,3,1959
HIMACHAL PRADESH,Solan,320,477,995,0,1792
HIMACHAL PRADESH,Una,1,3,9,9,22
JAMMU & KASHMIR,Anantnagh,12,917,100,0,1029
JAMMU & KASHMIR,Baramulla,37,588,0,0,625
JAMMU & KASHMIR,Budgam,5,499,0,0,504
JAMMU & KASHMIR,Doda,0,1166,62,0,1228
JAMMU & KASHMIR,Jammu,0,25,0,0,25
JAMMU & KASHMIR,Kargil,0,494,0,0,494
JAMMU & KASHMIR,Kathua,7,273,190,0,470
JAMMU & KASHMIR,Kupwara,17,358,3,0,378
JAMMU & KASHMIR,Leh,0,671,0,0,671
JAMMU & KASHMIR,Poonch,0,264,50,0,314
JAMMU & KASHMIR,Pulwama,0,645,0,0,645
JAMMU & KASHMIR,Rajouri,2,600,130,0,732
JAMMU & KASHMIR,Srinagar,31,908,0,0,939
JAMMU & KASHMIR,Udhampur,5,1085,0,0,1090
KARNATAKA,BANGALORE RURAL,995,77,21,53,1146
KARNATAKA,BANGALORE URBAN,439,0,59,150,648
KARNATAKA,BELGAUM,1241,1520,539,45,3345
KARNATAKA,BELLARY,2362,55,46,312,2775
KARNATAKA,BIDAR,632,139,16,1,788
KARNATAKA,BIJAPUR,950,1641,1101,101,3793
KARNATAKA,CHIKKAMAGALORE,316,53,160,129,658
KARNATAKA,CHITRADURGA,4283,474,199,383,5339
KARNATAKA,DAKSHINA KANNADA,806,230,981,101,2118
KARNATAKA,DHARWAR,3811,527,479,696,5513
KARNATAKA,GULBARGA,1539,553,223,187,2502
KARNATAKA,HASSAN,1773,56,44,9,1882
KARNATAKA,KODAGU,18,5,4,0,27
KARNATAKA,KOLAR,1669,6,8,34,1717
KARNATAKA,MANDYA,27,46,2,0,75
KARNATAKA,MYSORE,357,48,11,24,440
KARNATAKA,RAICHUR,805,202,61,33,1101
KARNATAKA,SHIMOGA,1065,243,163,95,1566
KARNATAKA,TUMKUR,765,53,9,22,849
KARNATAKA,UTTARA KANNADA,1252,171,1052,329,2804
KERALA,ALAPUZHA,30,10,21,15,76
KERALA,ERANAKULAM,280,100,54,23,457
KERALA,IDUKKI,87,105,57,41,290
KERALA,KANNUR,244,206,98,48,596
KERALA,KASARAGODE,224,137,37,0,398
KERALA,KOLLAM,133,241,97,5,476
KERALA,KOTTAYAM,63,71,150,1,285
KERALA,KOZHIKODE,179,236,8,38,461
KERALA,MALAPPURAM,317,310,174,8,809
KERALA,PALAKKAD,1895,288,67,20,2270
KERALA,PATHANAMTHITTA,111,93,28,0,232
KERALA,THIRUVANANTHAPURAM,2385,367,224,1,2977
KERALA,THRISSUR,476,132,119,24,751
KERALA,WAYANAD,110,146,32,15,303
MADHYA PRADESH,BALAGHAT,5275,219,579,667,6740
MADHYA PRADESH,BASTAR,255,92,311,34,692
MADHYA PRADESH,BETUL,555,87,160,60,862
MADHYA PRADESH,BHIND,3,88,0,0,91
MADHYA PRADESH,BHOPAL,16,29,1,1,47
MADHYA PRADESH,BILASPUR,3331,304,1164,881,5680
MADHYA PRADESH,CHHATARPUR,487,8,19,70,584
MADHYA PRADESH,CHHINDWARA,352,135,98,20,605
MADHYA PRADESH,DAMOH,929,84,337,43,1393
MADHYA PRADESH,DATIA,14,16,0,0,30
MADHYA PRADESH,DEWAS,220,98,28,1,347
MADHYA PRADESH,DHAR,349,161,267,11,788
MADHYA PRADESH,DURG,748,108,39,23,918
MADHYA PRADESH,GUNA,998,230,736,11,1975
MADHYA PRADESH,GWALIOR,20,20,20,0,60
MADHYA PRADESH,HOSHANGABAD,2,5,0,1,8
MADHYA PRADESH,INDORE,329,1,193,26,549
MADHYA PRADESH,JABALPUR,182,22,59,20,283
MADHYA PRADESH,JHABUA,2002,520,401,33,2956
MADHYA PRADESH,KHANDWA,184,10,36,3,233
MADHYA PRADESH,KHARGONE,1939,694,751,146,3530
MADHYA PRADESH,MANDLA,72,45,78,46,241
MADHYA PRADESH,MANDSAUR,543,89,158,32,822
MADHYA PRADESH,MORENA,708,213,235,16,1172
MADHYA PRADESH,NARSIMHAPUR,169,29,42,0,240
MADHYA PRADESH,PANNA,70,10,14,2,96
MADHYA PRADESH,RAIGARH,2725,527,519,473,4244
MADHYA PRADESH,RAIPUR,1889,242,226,638,2995
MADHYA PRADESH,RAISEN,84,0,9,0,93
MADHYA PRADESH,RAJGARH,74,0,1,0,75
MADHYA PRADESH,RAJNANDGAON,173,50,49,22,294
MADHYA PRADESH,RATLAM,794,166,67,28,1055
MADHYA PRADESH,REWA,99,128,277,12,516
MADHYA PRADESH,SAGAR,716,157,366,0,1239
MADHYA PRADESH,SATNA,253,75,91,4,423
MADHYA PRADESH,SEHORE,66,9,1,1,77
MADHYA PRADESH,SEONI,651,26,31,99,807
MADHYA PRADESH,SHAHDOL,165,110,297,75,647
MADHYA PRADESH,SHAJAPUR,996,300,1344,59,2699
MADHYA PRADESH,SHIVPURI,611,49,247,3,910
MADHYA PRADESH,SIDHI,62,45,34,14,155
MADHYA PRADESH,SURGUJA,3981,1271,2088,200,7540
MADHYA PRADESH,TIKAMGARH,865,20,10,6,901
MADHYA PRADESH,UJJAIN,416,42,42,0,500
MADHYA PRADESH,VIDISHA,10,0,2,0,12
MAHARASHTRA,,NA,NA,NA,NA,NA
MANIPUR,BISHNUPUR,0,12,0,0,12
MANIPUR,CHANDEL,5,4,0,0,9
MANIPUR,CHURACHANDPUR,0,54,18,0,72
MANIPUR,IMPHAL,0,26,0,0,26
MANIPUR,SENAPATI,0,30,2,0,32
MANIPUR,TAMENGLONG,0,21,16,0,37
MANIPUR,THOUBAL,1,22,0,0,23
MANIPUR,UKHRUL,0,29,0,0,29
MEGHALAYA,EAST GARO HILLS,118,235,655,7,1015
MEGHALAYA,EAST KHASI HILLS,107,338,2510,72,3027
MEGHALAYA,JAINTIA HILLS,375,749,1199,329,2652
MEGHALAYA,RI BHOI DISTRICT,48,567,3638,1,4254
MEGHALAYA,SOUTH GARO HILLS,8,2,77,0,87
MEGHALAYA,WEST GARO HILLS,98,152,284,50,584
MEGHALAYA,WEST KHASI HILLS,49,483,2077,36,2645
MIZORAM,AIZAWL,55,525,3367,0,3947
MIZORAM,CHHIMTUIPUI,0,42,152,0,194
MIZORAM,LUNGLEI,0,17,617,0,634
NAGALAND,KOHIMA,0,26,2732,0,2758
NAGALAND,MOKOKCHUNG,1,91,1721,1,1814
NAGALAND,MON,0,0,785,0,785
NAGALAND,PHEK,2,80,3967,0,4049
NAGALAND,TUENSANG,4,378,2055,1,2438
NAGALAND,WOKHA,2,272,987,0,1261
NAGALAND,ZUNHEBOTO,6,945,3,0,954
ORISSA,ANGUL,139,38,31,3,211
ORISSA,BALASORE,65,14,20,3,102
ORISSA,BARAGARH,2307,116,17,67,2507
ORISSA,BHADRAK,13,28,28,1,70
ORISSA,BOLANGIR,1370,222,67,118,1777
ORISSA,BOUDH,336,31,10,7,384
ORISSA,CUTTACK,991,262,9,68,1330
ORISSA,DEOGARH,154,95,32,10,291
ORISSA,DHENKANAL,771,75,32,16,894
ORISSA,GAJAPATI,322,159,20,12,513
ORISSA,GANJAM,3533,333,105,20,3991
ORISSA,JAGATSINGHPUR,2,2,1,0,5
ORISSA,JAJPUR,137,43,9,6,195
ORISSA,JHARSUGUDA,167,39,9,49,264
ORISSA,KALAHANDI,638,131,39,44,852
ORISSA,KENDRAPARA,15,43,2,2,62
ORISSA,KEONJHAR,452,168,33,2,655
ORISSA,KHURDA,508,102,16,4,630
ORISSA,KORAPUT,452,793,623,119,1987
ORISSA,MALKANGIRI,65,32,18,5,120
ORISSA,MAYURBHANJ,603,200,216,67,1086
ORISSA,NAYAGARH,271,34,27,6,338
ORISSA,NOWRANGPUR,115,35,4,37,191
ORISSA,NUAPADA,817,52,15,18,902
ORISSA,PHULBANI,128,73,98,6,305
ORISSA,PURI,381,456,89,49,975
ORISSA,RAYAGADA,1494,568,373,51,2486
ORISSA,SAMBALPUR,351,85,21,23,480
ORISSA,SONEPUR,274,12,2,1,289
ORISSA,SUNDARGARH,157,23,23,8,211
PUNJAB,AMRITSAR,11,2,0,0,13
PUNJAB,BATHINDA,3,0,0,0,3
PUNJAB,FARIDKOT,NA,NA,NA,NA,NA
PUNJAB,FATEHGARH SAHIB,3,0,0,0,3
PUNJAB,FEROZEPUR,NA,NA,NA,NA,NA
PUNJAB,GURDASPUR,23,15,5,0,43
PUNJAB,HOSHIARPUR,55,69,18,1,143
PUNJAB,JALANDHAR,NA,NA,NA,NA,NA
PUNJAB,KAPURTHALA,NA,NA,NA,NA,NA
PUNJAB,LUDHIANA,NA,NA,NA,NA,NA
PUNJAB,MANSA,NA,NA,NA,NA,NA
PUNJAB,PATIALA,NA,NA,NA,NA,NA
PUNJAB,ROPAR,94,10,2,4,110
PUNJAB,SANGRUR,24,54,1,0,79
RAJASTHAN,AJMER,698,18,6,27,749
RAJASTHAN,ALWAR,NA,NA,NA,NA,NA
RAJASTHAN,BANSWARA,189,22,39,14,264
RAJASTHAN,BARAN,45,8,17,11,81
RAJASTHAN,BARMER,NA,NA,NA,NA,NA
RAJASTHAN,BHARATPUR,2,1,1,0,4
RAJASTHAN,BHILWARA,531,12,13,9,565
RAJASTHAN,BIKANER,1,0,0,0,1
RAJASTHAN,BUNDI,16,89,0,0,105
RAJASTHAN,CHITTORGARH,54,3,14,3,74
RAJASTHAN,CHURU,1,0,0,0,1
RAJASTHAN,DAUSA,25,0,0,0,25
RAJASTHAN,DHOLPUR,29,5,3,0,37
RAJASTHAN,DUNGARPUR,105,4,5,1,115
RAJASTHAN,GANGANAGAR,NA,NA,NA,NA,NA
RAJASTHAN,HANUMANGARH,NA,NA,NA,NA,NA
RAJASTHAN,JAIPUR,33,4,1,0,38
RAJASTHAN,JAISALMER,NA,NA,NA,NA,NA
RAJASTHAN,JALORE,2,1,0,0,3
RAJASTHAN,JHALAWAR,44,11,5,0,60
RAJASTHAN,JHUNJHNU,3,1,0,0,4
RAJASTHAN,JODHPUR,4,3,0,0,7
RAJASTHAN,KOTA,21,12,26,6,65
RAJASTHAN,NAGAUR,9,0,0,0,9
RAJASTHAN,PALI,68,1,4,0,73
RAJASTHAN,RAJSAMAND,69,9,5,0,83
RAJASTHAN,SAWAI-MADHOPUR,70,1,5,0,76
RAJASTHAN,SIKAR,18,0,0,0,18
RAJASTHAN,SIROHI,38,1,3,0,42
RAJASTHAN,TONK,358,57,3,4,422
RAJASTHAN,UDAIPUR,75,12,94,0,181
SIKKIM,EAST SIKKIM,31,282,35,0,348
SIKKIM,NORTH SIKKIM,0,49,2,0,51
SIKKIM,SOUTH SIKKIM,0,47,192,0,239
SIKKIM,WEST SIKKIM,3,12,201,0,216
TAMIL NADU,COIMBATORE,21,276,1,0,298
TAMIL NADU,CUDDALORE,3734,551,71,1587,5943
TAMIL NADU,DHARMAPURI,19266,1333,2,2130,22731
TAMIL NADU,DINDIGUL,2786,4567,605,126,8084
TAMIL NADU,ERODE,1220,1578,196,31,3025
TAMIL NADU,KANCHIPURAM,403,144,24,229,800
TAMIL NADU,KANNIYAKUMARI,2795,229,16,3,3043
TAMIL NADU,KARUR,34,4,25,19,82
TAMIL NADU,MADRAS,NA,NA,NA,NA,NA
TAMIL NADU,MADURAI,3,0,0,0,3
TAMIL NADU,NAGAPATTINAM,1,23,0,0,24
TAMIL NADU,NAMAKKAL,2941,347,0,2,3290
TAMIL NADU,PERAMBALUR,445,215,10,20,690
TAMIL NADU,PUDUKOTTAI,4300,99,12,16,4427
TAMIL NADU,RAMNATHAPURAM,1542,6,33,76,1657
TAMIL NADU,SALEM,60,0,0,0,60
TAMIL NADU,SIVAGANGA,3074,449,2634,166,6323
TAMIL NADU,THANJAVUR,109,407,119,0,635
TAMIL NADU,THE NILGIRIS,NA,NA,NA,NA,NA
TAMIL NADU,THENI,3164,906,2,52,4124
TAMIL NADU,THOOTHUGUDI,586,26,13,4,629
TAMIL NADU,TIRUNELVELI,2209,21,215,49,2494
TAMIL NADU,TIRUVALLUR,720,42,23,57,842
TAMIL NADU,TIRUVANNAMALAI,8774,20,210,7,9011
TAMIL NADU,TIRUVARUR,3,65,0,0,68
TAMIL NADU,TRICHIRAPPALLI,460,206,120,1,787
TAMIL NADU,VELLORE,395,81,15,42,533
TAMIL NADU,VILLUPURAM,2339,812,712,291,4154
TAMIL NADU,VIRUDHUNAGAR,869,48,21,28,966
TRIPURA,DHALAI,26,2,47,0,75
TRIPURA,NORTH,131,0,9,7,147
TRIPURA,SOUTH,63,15,119,26,223
TRIPURA,WEST,123,10,21,1,155
UTTAR PRADESH,AGRA,1,2,0,0,3
UTTAR PRADESH,ALIGARH,NA,NA,NA,NA,NA
UTTAR PRADESH,ALLAHABAD,9,5,57,10,81
UTTAR PRADESH,ALMORA,2179,310,1682,91,4262
UTTAR PRADESH,AMBEDKAR NAGAR,NA,NA,NA,NA,NA
UTTAR PRADESH,AZAMGARH,16,0,0,0,16
UTTAR PRADESH,BADAUN,NA,NA,NA,NA,NA
UTTAR PRADESH,BAHRAICH,5,0,0,0,5
UTTAR PRADESH,BALLIA,11,8,2,0,21
UTTAR PRADESH,BANDA,21,16,21,0,58
UTTAR PRADESH,BARABANKI,NA,NA,NA,NA,NA
UTTAR PRADESH,BAREILLY,NA,NA,NA,NA,NA
UTTAR PRADESH,BASTI,NA,NA,NA,NA,NA
UTTAR PRADESH,BIJNOR,NA,NA,NA,NA,NA
UTTAR PRADESH,BULANDSHAHR,NA,NA,NA,NA,NA
UTTAR PRADESH,CHAMOLI(GOPESHWAR),995,134,556,145,1830
UTTAR PRADESH,DEHRADUN,198,152,283,14,647
UTTAR PRADESH,DEORIA,0,0,1,0,1
UTTAR PRADESH,ETAH,NA,NA,NA,NA,NA
UTTAR PRADESH,ETAWAH,0,0,0,1,1
UTTAR PRADESH,FAIZABAD,NA,NA,NA,NA,NA
UTTAR PRADESH,FARUKHABAD,0,0,16,0,16
UTTAR PRADESH,FATEHPUR,NA,NA,NA,NA,NA
UTTAR PRADESH,FIROZABAD,NA,NA,NA,NA,NA
UTTAR PRADESH,GHAZIABAD,NA,NA,NA,NA,NA
UTTAR PRADESH,GHAZIPUR,6,0,0,0,6
UTTAR PRADESH,GONDA,18,1,13,0,32
UTTAR PRADESH,GORAKHPUR,NA,NA,NA,NA,NA
UTTAR PRADESH,HAMIRPUR,NA,NA,NA,NA,NA
UTTAR PRADESH,HARDOI,NA,NA,NA,NA,NA
UTTAR PRADESH,HARDWAR,NA,NA,NA,NA,NA
UTTAR PRADESH,JALAUN,50,13,0,4,67
UTTAR PRADESH,JAUNPUR,NA,NA,NA,NA,NA
UTTAR PRADESH,JHANSI,17,22,9,0,48
UTTAR PRADESH,KANPUR DEHAT,1,0,0,0,1
UTTAR PRADESH,KANPUR NAGAR,NA,NA,NA,NA,NA
UTTAR PRADESH,KHIRI,5,0,0,0,5
UTTAR PRADESH,KUSHI NAGAR,0,3,0,0,3
UTTAR PRADESH,LALITPUR,NA,NA,NA,NA,NA
UTTAR PRADESH,LUCKNOW,NA,NA,NA,NA,NA
UTTAR PRADESH,MAHOBA,NA,NA,NA,NA,NA
UTTAR PRADESH,MAHRAJGANJ,7,0,0,0,7
UTTAR PRADESH,MAINPURI,NA,NA,NA,NA,NA
UTTAR PRADESH,MATHURA,NA,NA,NA,NA,NA
UTTAR PRADESH,MAU,NA,NA,NA,NA,NA
UTTAR PRADESH,MEERUT,NA,NA,NA,NA,NA
UTTAR PRADESH,MIRZAPUR,99,530,70,215,914
UTTAR PRADESH,MORADABAD,NA,NA,NA,NA,NA
UTTAR PRADESH,MUZAFFER NAGAR,NA,NA,NA,NA,NA
UTTAR PRADESH,NAINITAL,1768,957,521,56,3302
UTTAR PRADESH,PAURI GARHWAL,1487,680,1237,23,3427
UTTAR PRADESH,PILIBHIT,NA,NA,NA,NA,NA
UTTAR PRADESH,PITHORAGARH,870,215,1365,77,2527
UTTAR PRADESH,PRATAPGARH,NA,NA,NA,NA,NA
UTTAR PRADESH,RAEBARELY,NA,NA,NA,NA,NA
UTTAR PRADESH,RAMPUR,NA,NA,NA,NA,NA
UTTAR PRADESH,SAHARANPUR,NA,NA,NA,NA,NA
UTTAR PRADESH,SANT RAVIDAS NAGAR,NA,NA,NA,NA,NA
UTTAR PRADESH,SHAHJAHANPUR,NA,NA,NA,NA,NA
UTTAR PRADESH,SIDDHARTH NAGAR,NA,NA,NA,NA,NA
UTTAR PRADESH,SITAPUR,NA,NA,NA,NA,NA
UTTAR PRADESH,SONBHADRA,755,191,34,26,1006
UTTAR PRADESH,SULTANPUR,NA,NA,NA,NA,NA
UTTAR PRADESH,TEHRI GARHWAL,1497,633,1122,103,3355
UTTAR PRADESH,UDHAMSINGH NAGAR,339,196,138,6,679
UTTAR PRADESH,UNNAO,NA,NA,NA,NA,NA
UTTAR PRADESH,UTTARKASHI,409,120,898,48,1475
UTTAR PRADESH,VARANASI,72,7,2,8,89
WEST BENGAL,BANKURA,13268,94,157,854,14373
WEST BENGAL,BIRBHUM,4178,131,108,256,4673
WEST BENGAL,BURDWAN,3278,159,336,279,4052
WEST BENGAL,COOCHBEHAR,52,4,160,3,219
WEST BENGAL,DAKSHIN DINAJPUR,5097,206,125,88,5516
WEST BENGAL,DARJEELING,14,163,91,0,268
WEST BENGAL,HOOGLY,318,22,18,26,384
WEST BENGAL,HOWRAH,532,610,294,5,1441
WEST BENGAL,JALPAIGURI,102,61,241,17,421
WEST BENGAL,MALDA,734,6,15,1,756
WEST BENGAL,MIDNAPORE,5982,501,497,124,7104
WEST BENGAL,MURSHIDABAD,1958,9,26,104,2097
WEST BENGAL,NADIA,NA,NA,NA,NA,NA
WEST BENGAL,NORTH 24 PARGANAS,5,6,1,16,28
WEST BENGAL,PURULIA,16103,172,464,394,17133
WEST BENGAL,SOUTH 24 PARGANAS,3766,2577,1440,181,7964
WEST BENGAL,UTTAR DINAJPUR,14,0,11,0,25
ANDAMAN & NICOBARS,ANDAMAN,NA,NA,NA,NA,NA
ANDAMAN & NICOBARS,NICOBARS,NA,NA,NA,NA,NA
CHANDIGARH,,NA,NA,NA,NA,NA
DADRA & NAGAR HAVELI,DADRA & NAGAR HAVELI,4,4,3,0,11
DAMAN & DIU,,NA,NA,NA,NA,NA
DELHI,CENTRAL-DELHI,NA,NA,NA,NA,NA
DELHI,EAST,NA,NA,NA,NA,NA
DELHI,NORTH-EAST,NA,NA,NA,NA,NA
DELHI,NORTH-WEST,12,1341,1,0,1354
DELHI,SOUTH-EAST,NA,NA,NA,NA,NA
DELHI,SOUTH-WEST,NA,NA,NA,NA,NA
DELHI,WEST,1,0,28,0,29
LAKSHADWEEP,,NA,NA,NA,NA,NA
PONDICHERRY,KARAIKAL,175,14044,296,1,14516
PONDICHERRY,MAHE,NA,NA,NA,NA,NA
PONDICHERRY,PONDICHERRY,1016,0,1815,0,2831
PONDICHERRY,YANAM,0,298,0,0,298
