-----
{
 "description": "The table refers to village wise distribution of surface flow schemes according to ownership. It has been sourced from 2nd census of minor irrigation scheme(1993-94) from Ministry of Water Resources.", 
 "file_name": "villtab4.2.csv", 
 "title": "Download CSV for Villagewise Distribution of surface flow schemes according to ownership for 2nd census of Minor Irrigation Schemes (1993-94)(External Link that opens in a new window)", 
 "url": "http://data.gov.in/sites/default/files/villtab4.2.csv"
}
-----
-----
{
 "description": "The table refers to block wise potential utilized through surface flow schemes. It has been sourced from 2nd census of minor irrigation scheme(1993-94) from Ministry of Water Resources.", 
 "file_name": "blcktab4.10.csv", 
 "title": "Download CSV for Blockwise Surface Flow Schemes Average length of water conveyance channel for 2nd census of Minor Irrigation Schemes (1993-94)", 
 "url": "http://data.gov.in/sites/default/files/blcktab4.10.csv"
}
-----
State,District,Block,Total Number of Schemes,Pucca channel,Kutcha channel,Underground channel,Total
ANDHRA PRADESH,ANANTHAPUR,BUKKAPATNAM,33,0,136,0,136
ANDHRA PRADESH,ANANTHAPUR,BUKKARAYASAMUDRAM,35,67,390,0,457
ANDHRA PRADESH,ANANTHAPUR,CHENNEKOTHAPALLE,10,23,124,0,147
ANDHRA PRADESH,ANANTHAPUR,CHILAMATHUR,66,8,145,0,153
ANDHRA PRADESH,ANANTHAPUR,D.HIREHAL,19,38,586,0,624
ANDHRA PRADESH,ANANTHAPUR,DHARMAVARAM,82,77,365,0,442
ANDHRA PRADESH,ANANTHAPUR,GANDLAPENTA,55,5,36,0,41
ANDHRA PRADESH,ANANTHAPUR,GARLADINNE,20,86,1029,0,1115
ANDHRA PRADESH,ANANTHAPUR,GOOTY,49,0,496,0,496
ANDHRA PRADESH,ANANTHAPUR,GORANTLA,82,8,93,0,101
ANDHRA PRADESH,ANANTHAPUR,GUDIBANDA,38,13,744,0,757
ANDHRA PRADESH,ANANTHAPUR,GUMMAGATA,26,0,554,0,554
ANDHRA PRADESH,ANANTHAPUR,GUNTAKAL,50,83,489,0,572
ANDHRA PRADESH,ANANTHAPUR,HINDUPUR,50,0,370,0,370
ANDHRA PRADESH,ANANTHAPUR,KADIRI,75,0,218,0,218
ANDHRA PRADESH,ANANTHAPUR,KALYANDRUG,5,0,240,0,240
ANDHRA PRADESH,ANANTHAPUR,KAMBADUR,88,20,647,0,667
ANDHRA PRADESH,ANANTHAPUR,KANAGANAPALLE,59,31,139,0,170
ANDHRA PRADESH,ANANTHAPUR,KANEKAL,16,446,1699,0,2145
ANDHRA PRADESH,ANANTHAPUR,KOTHACHERUVU,22,0,267,0,267
ANDHRA PRADESH,ANANTHAPUR,KUDAIR,103,0,94,0,94
ANDHRA PRADESH,ANANTHAPUR,KUNDURPI,99,0,445,0,445
ANDHRA PRADESH,ANANTHAPUR,LEPAKSHI,45,4,652,61,717
ANDHRA PRADESH,ANANTHAPUR,MADAKASIRA,57,0,330,6,336
ANDHRA PRADESH,ANANTHAPUR,MUDIGUBBA,81,0,18,0,18
ANDHRA PRADESH,ANANTHAPUR,NALLACHERUVU,44,1,40,1,42
ANDHRA PRADESH,ANANTHAPUR,NALLAMADA,38,0,109,0,109
ANDHRA PRADESH,ANANTHAPUR,NAMBULAPULIKUNTA,67,13,122,0,135
ANDHRA PRADESH,ANANTHAPUR,NARPALA,47,10,329,0,339
ANDHRA PRADESH,ANANTHAPUR,OBULADEVARACHERUVU,40,0,210,0,210
ANDHRA PRADESH,ANANTHAPUR,PAMIDI,37,0,938,0,938
ANDHRA PRADESH,ANANTHAPUR,PARIGI,25,3,541,210,754
ANDHRA PRADESH,ANANTHAPUR,PEDDAPAPPUR,10,0,356,0,356
ANDHRA PRADESH,ANANTHAPUR,PEDDAVADUGUR,57,0,451,0,451
ANDHRA PRADESH,ANANTHAPUR,PENUKONDA,82,0,419,0,419
ANDHRA PRADESH,ANANTHAPUR,PUTLUR,2,75,300,0,375
ANDHRA PRADESH,ANANTHAPUR,PUTTAPARTHI,36,0,147,0,147
ANDHRA PRADESH,ANANTHAPUR,RAMAGIRI,48,10,290,0,300
ANDHRA PRADESH,ANANTHAPUR,RAPTADU,13,61,689,0,750
ANDHRA PRADESH,ANANTHAPUR,RAYADURG,26,0,243,0,243
ANDHRA PRADESH,ANANTHAPUR,RODDAM,63,29,703,37,769
ANDHRA PRADESH,ANANTHAPUR,ROLLA,31,1,155,5,161
ANDHRA PRADESH,ANANTHAPUR,SETTUR,11,0,56,0,56
ANDHRA PRADESH,ANANTHAPUR,SINGANAMALA,59,16,279,0,295
ANDHRA PRADESH,ANANTHAPUR,SOMANDEPALLE,47,1,175,0,176
ANDHRA PRADESH,ANANTHAPUR,TADIMARRI,77,0,116,0,116
ANDHRA PRADESH,ANANTHAPUR,TADPATRI,18,46,947,0,993
ANDHRA PRADESH,ANANTHAPUR,TALUPULA,60,24,62,0,86
ANDHRA PRADESH,ANANTHAPUR,TANAKAL,93,1,53,0,54
ANDHRA PRADESH,ANANTHAPUR,URAVAKONDA,85,0,174,0,174
ANDHRA PRADESH,ANANTHAPUR,VAJRAKARUR,31,6,39,1,46
ANDHRA PRADESH,ANANTHAPUR,VIDAPANAKAL,2,185,320,0,505
ANDHRA PRADESH,ANANTHAPUR,YADIKI,19,0,144,0,144
ANDHRA PRADESH,ANANTHAPUR,YELLANUR,19,0,5,0,5
ANDHRA PRADESH,CHITTOOR,B.KOTHAKOTA,186,3,540,0,543
ANDHRA PRADESH,CHITTOOR,BAIREDDIPALLE,162,1,298,0,299
ANDHRA PRADESH,CHITTOOR,BANGARUPALEM,43,0,170,0,170
ANDHRA PRADESH,CHITTOOR,BUCHINAIDU KHANDRIGA,82,1,195,0,196
ANDHRA PRADESH,CHITTOOR,CHANDRAGIRI,9,88,56,8,152
ANDHRA PRADESH,CHITTOOR,CHINNAGOTTIGALLU,181,0,229,1,230
ANDHRA PRADESH,CHITTOOR,CHITTOOR,45,0,556,0,556
ANDHRA PRADESH,CHITTOOR,CHOWDE[ALLE,239,0,187,0,187
ANDHRA PRADESH,CHITTOOR,GANGADHARA NELLORE,118,0,653,0,653
ANDHRA PRADESH,CHITTOOR,GANGAVARAM,186,0,280,65,345
ANDHRA PRADESH,CHITTOOR,GUDIPALA,56,0,993,4,997
ANDHRA PRADESH,CHITTOOR,GUDUPALLE,152,0,227,0,227
ANDHRA PRADESH,CHITTOOR,GURRAMKONDA,145,3,627,48,678
ANDHRA PRADESH,CHITTOOR,IRALA,111,0,716,0,716
ANDHRA PRADESH,CHITTOOR,K.V.B. PURAM,95,4,324,21,349
ANDHRA PRADESH,CHITTOOR,KALAKADA,114,0,143,0,143
ANDHRA PRADESH,CHITTOOR,KALIKIRI,153,0,171,0,171
ANDHRA PRADESH,CHITTOOR,KAMACHANDRA PURAM,4,0,23,0,23
ANDHRA PRADESH,CHITTOOR,KAMBHAMVARIPALLE,222,0,181,0,181
ANDHRA PRADESH,CHITTOOR,KARVETINAGAR,52,6,285,0,291
ANDHRA PRADESH,CHITTOOR,KUPPAM,118,0,287,0,287
ANDHRA PRADESH,CHITTOOR,KURABALAKOTA,160,0,375,0,375
ANDHRA PRADESH,CHITTOOR,MADANAPALLE,155,0,240,0,240
ANDHRA PRADESH,CHITTOOR,MULAKALACHERUVU,139,0,831,0,831
ANDHRA PRADESH,CHITTOOR,NAGALAPURAM,29,0,26,0,26
ANDHRA PRADESH,CHITTOOR,NAGARI,35,0,417,0,417
ANDHRA PRADESH,CHITTOOR,NARAYANAVANAM,20,0,1695,0,1695
ANDHRA PRADESH,CHITTOOR,NIMMANAPALLE,172,22,322,0,344
ANDHRA PRADESH,CHITTOOR,NINDRA,30,0,553,6,559
ANDHRA PRADESH,CHITTOOR,PAKALA,115,0,235,0,235
ANDHRA PRADESH,CHITTOOR,PALAMANERU,104,0,248,0,248
ANDHRA PRADESH,CHITTOOR,PALASAMUDRAM,31,0,193,0,193
ANDHRA PRADESH,CHITTOOR,PEDDAMANDYAM,122,0,320,0,320
ANDHRA PRADESH,CHITTOOR,PEDDAPANJANI,261,0,279,0,279
ANDHRA PRADESH,CHITTOOR,PEDDATHIPPASAMDRAM,127,1,921,0,922
ANDHRA PRADESH,CHITTOOR,PENUMURU,72,0,368,0,368
ANDHRA PRADESH,CHITTOOR,PICHATURU,33,0,386,19,405
ANDHRA PRADESH,CHITTOOR,PILERU,231,0,455,0,455
ANDHRA PRADESH,CHITTOOR,PULICHERLA,204,0,280,0,280
ANDHRA PRADESH,CHITTOOR,PUNGANURU,206,0,362,14,376
ANDHRA PRADESH,CHITTOOR,PUTHALAPATTU,98,3,598,0,601
ANDHRA PRADESH,CHITTOOR,PUTTURU,32,0,1467,0,1467
ANDHRA PRADESH,CHITTOOR,RAMAKUPPAM,119,0,221,32,253
ANDHRA PRADESH,CHITTOOR,RAMASAMUDRAM,198,3,169,0,172
ANDHRA PRADESH,CHITTOOR,RENIGUNTA,46,10,711,3,724
ANDHRA PRADESH,CHITTOOR,ROMPICHERLA,179,0,402,0,402
ANDHRA PRADESH,CHITTOOR,SANTHIPURAM,145,1,131,0,132
ANDHRA PRADESH,CHITTOOR,SATYAVEDU,112,0,113,0,113
ANDHRA PRADESH,CHITTOOR,SODAM,297,0,336,1,337
ANDHRA PRADESH,CHITTOOR,SOMALA,187,0,716,6,722
ANDHRA PRADESH,CHITTOOR,SRIKALAHASTI,106,4,914,28,946
ANDHRA PRADESH,CHITTOOR,SRIRANGARAJAPURAM,30,5,519,0,524
ANDHRA PRADESH,CHITTOOR,THAMBALLAPALLE,137,16,640,1,657
ANDHRA PRADESH,CHITTOOR,THAVANAMPALLE,70,20,115,0,135
ANDHRA PRADESH,CHITTOOR,THOTTAMBEDA,92,1,389,0,390
ANDHRA PRADESH,CHITTOOR,TIRUPATI (RURAL),10,0,862,0,862
ANDHRA PRADESH,CHITTOOR,TIRUPATI (URBAN),10,0,762,0,762
ANDHRA PRADESH,CHITTOOR,VADAMALAPETA,19,0,1243,0,1243
ANDHRA PRADESH,CHITTOOR,VARADAIAHPALEM,74,30,204,3,237
ANDHRA PRADESH,CHITTOOR,VAYALPAD,155,2,129,0,131
ANDHRA PRADESH,CHITTOOR,VEDURUKUPPAM,114,1,285,0,286
ANDHRA PRADESH,CHITTOOR,VENKATAGIRIKOTA,145,20,202,0,222
ANDHRA PRADESH,CHITTOOR,VIJAYAPURAM,32,0,381,125,506
ANDHRA PRADESH,CHITTOOR,YADAMARI,57,0,196,0,196
ANDHRA PRADESH,CHITTOOR,YERPEDU,93,0,754,0,754
ANDHRA PRADESH,CHITTOOR,YERRAVARIPALEM,261,4,362,0,366
ANDHRA PRADESH,CUDDAPAH,ATLUR,36,6,375,0,381
ANDHRA PRADESH,CUDDAPAH,B.KODUR,39,18,316,31,365
ANDHRA PRADESH,CUDDAPAH,BADVEL,31,41,373,0,414
ANDHRA PRADESH,CUDDAPAH,BRAHMAMGARIMATHAM,39,10,1772,0,1782
ANDHRA PRADESH,CUDDAPAH,CHAKARAYAPET,88,0,240,11,251
ANDHRA PRADESH,CUDDAPAH,CHAPAD,1,0,60,0,60
ANDHRA PRADESH,CUDDAPAH,CHENNAMANDEM,127,0,269,0,269
ANDHRA PRADESH,CUDDAPAH,CHENNUR,NA,NA,NA,NA,NA
ANDHRA PRADESH,CUDDAPAH,CHINTHAKOMMADINNE,45,0,479,0,479
ANDHRA PRADESH,CUDDAPAH,CHITVEL,8,0,317,0,317
ANDHRA PRADESH,CUDDAPAH,CUDDAPAH,7,0,192,0,192
ANDHRA PRADESH,CUDDAPAH,DUVVUR,270,0,10,0,10
ANDHRA PRADESH,CUDDAPAH,GALIVEEDU,214,0,127,0,127
ANDHRA PRADESH,CUDDAPAH,GOPAVARAM,35,5,400,0,405
ANDHRA PRADESH,CUDDAPAH,JAMMALAMADUGU,15,471,233,0,704
ANDHRA PRADESH,CUDDAPAH,KALASAPADU,31,17,775,25,817
ANDHRA PRADESH,CUDDAPAH,KAMALAPURAM,6,0,1177,0,1177
ANDHRA PRADESH,CUDDAPAH,KHAJIPET,2,3000,0,0,3000
ANDHRA PRADESH,CUDDAPAH,KODUR,13,54,226,9,289
ANDHRA PRADESH,CUDDAPAH,KONDAPURAM,2,0,165,0,165
ANDHRA PRADESH,CUDDAPAH,LAKKIREDDIPALLE,114,0,109,0,109
ANDHRA PRADESH,CUDDAPAH,LINGALA,NA,NA,NA,NA,NA
ANDHRA PRADESH,CUDDAPAH,MUDDANUR,10,0,250,0,250
ANDHRA PRADESH,CUDDAPAH,MYLAVARAM,29,154,52,0,206
ANDHRA PRADESH,CUDDAPAH,NANDALUR,26,10,672,7,689
ANDHRA PRADESH,CUDDAPAH,OBULAVARIPALLE,27,0,144,0,144
ANDHRA PRADESH,CUDDAPAH,PEDDAMUDIUM,3,267,500,0,767
ANDHRA PRADESH,CUDDAPAH,PENAGALUR,24,0,438,0,438
ANDHRA PRADESH,CUDDAPAH,PENDLIMARRI,NA,NA,NA,NA,NA
ANDHRA PRADESH,CUDDAPAH,PORUMAMILLA,51,49,1781,4,1834
ANDHRA PRADESH,CUDDAPAH,PRODDUTUR,NA,NA,NA,NA,NA
ANDHRA PRADESH,CUDDAPAH,PULIVENDLA,NA,NA,NA,NA,NA
ANDHRA PRADESH,CUDDAPAH,PULLAMPETA,30,0,1292,0,1292
ANDHRA PRADESH,CUDDAPAH,RAJAMPET,23,0,501,0,501
ANDHRA PRADESH,CUDDAPAH,RAJUPALEM,1,0,4000,1500,5500
ANDHRA PRADESH,CUDDAPAH,RAMAPURAM,84,44,181,0,225
ANDHRA PRADESH,CUDDAPAH,ROYACHOTI,123,26,492,0,518
ANDHRA PRADESH,CUDDAPAH,S.MYDUKUR,12,0,1667,0,1667
ANDHRA PRADESH,CUDDAPAH,SAMBEPALLE,56,0,262,0,262
ANDHRA PRADESH,CUDDAPAH,SIDHOUT,NA,NA,NA,NA,NA
ANDHRA PRADESH,CUDDAPAH,SIMHADRIPURAM,NA,NA,NA,NA,NA
ANDHRA PRADESH,CUDDAPAH,T.SUNDUPALLE,102,1,244,0,245
ANDHRA PRADESH,CUDDAPAH,THONDUR,5,186,0,0,186
ANDHRA PRADESH,CUDDAPAH,VALLUR,6,0,40,0,40
ANDHRA PRADESH,CUDDAPAH,VEERABALLE,78,43,227,0,270
ANDHRA PRADESH,CUDDAPAH,VEERAPUNAYUNIPALLE,4,50,192,0,242
ANDHRA PRADESH,CUDDAPAH,VEMPALLE,13,0,77,0,77
ANDHRA PRADESH,CUDDAPAH,VEMULA,11,0,1487,0,1487
ANDHRA PRADESH,CUDDAPAH,VONTIMITTA,18,0,100,0,100
ANDHRA PRADESH,CUDDAPAH,YERRAGUNTLA,4,0,478,0,478
ANDHRA PRADESH,EAST GODAVARI,ADDATEEGALA,71,0,324,0,324
ANDHRA PRADESH,EAST GODAVARI,AINAVILLI,NA,NA,NA,NA,NA
ANDHRA PRADESH,EAST GODAVARI,ALAMURU,NA,NA,NA,NA,NA
ANDHRA PRADESH,EAST GODAVARI,ALLAVARAM,NA,NA,NA,NA,NA
ANDHRA PRADESH,EAST GODAVARI,AMALAPURAM,NA,NA,NA,NA,NA
ANDHRA PRADESH,EAST GODAVARI,AMBAJIPETA,NA,NA,NA,NA,NA
ANDHRA PRADESH,EAST GODAVARI,ANAPARTHY,18,0,201,0,201
ANDHRA PRADESH,EAST GODAVARI,ATREYAPURAM,NA,NA,NA,NA,NA
ANDHRA PRADESH,EAST GODAVARI,BICCAVOLU,33,30,156,0,186
ANDHRA PRADESH,EAST GODAVARI,DEVIPATNAM,48,0,33,0,33
ANDHRA PRADESH,EAST GODAVARI,GANDEPALLE,116,1,11,0,12
ANDHRA PRADESH,EAST GODAVARI,GANGAVARAM,15,0,3,0,3
ANDHRA PRADESH,EAST GODAVARI,GOKAVARAM,116,0,110,0,110
ANDHRA PRADESH,EAST GODAVARI,GOLLAPROLU,48,0,12,0,12
ANDHRA PRADESH,EAST GODAVARI,I. POLAVARAM,NA,NA,NA,NA,NA
ANDHRA PRADESH,EAST GODAVARI,JAGGAMPETA,107,1,11,0,12
ANDHRA PRADESH,EAST GODAVARI,KADIAM,9,0,100,0,100
ANDHRA PRADESH,EAST GODAVARI,KAJULURU,NA,NA,NA,NA,NA
ANDHRA PRADESH,EAST GODAVARI,KAKINADA RURAL,NA,NA,NA,NA,NA
ANDHRA PRADESH,EAST GODAVARI,KAKINADA URBAN,NA,NA,NA,NA,NA
ANDHRA PRADESH,EAST GODAVARI,KAPILESWARAPURAM,NA,NA,NA,NA,NA
ANDHRA PRADESH,EAST GODAVARI,KARAPA,NA,NA,NA,NA,NA
ANDHRA PRADESH,EAST GODAVARI,KATRENIKONA,NA,NA,NA,NA,NA
ANDHRA PRADESH,EAST GODAVARI,KIRLAMPUDI,8,0,3104,0,3104
ANDHRA PRADESH,EAST GODAVARI,KORUKONDA,110,0,746,0,746
ANDHRA PRADESH,EAST GODAVARI,KOTANANDURU,89,0,1648,0,1648
ANDHRA PRADESH,EAST GODAVARI,KOTHAPALLE,NA,NA,NA,NA,NA
ANDHRA PRADESH,EAST GODAVARI,KOTHAPETA,NA,NA,NA,NA,NA
ANDHRA PRADESH,EAST GODAVARI,MALIKIPURAM,NA,NA,NA,NA,NA
ANDHRA PRADESH,EAST GODAVARI,MAMIDIKUDURU,NA,NA,NA,NA,NA
ANDHRA PRADESH,EAST GODAVARI,MANDAPETA,28,88,0,0,88
ANDHRA PRADESH,EAST GODAVARI,MAREDUMILLI,11,0,41,0,41
ANDHRA PRADESH,EAST GODAVARI,MUMMIDIVARAM,NA,NA,NA,NA,NA
ANDHRA PRADESH,EAST GODAVARI,P.GANNAVARAM,NA,NA,NA,NA,NA
ANDHRA PRADESH,EAST GODAVARI,PAMARRU,NA,NA,NA,NA,NA
ANDHRA PRADESH,EAST GODAVARI,PEDAPUDI,NA,NA,NA,NA,NA
ANDHRA PRADESH,EAST GODAVARI,PEDDAPURAM,52,0,161,0,161
ANDHRA PRADESH,EAST GODAVARI,PITHAPURAM,NA,NA,NA,NA,NA
ANDHRA PRADESH,EAST GODAVARI,PRATHIPADU,85,0,204,0,204
ANDHRA PRADESH,EAST GODAVARI,RAJAHMUNDRY RURAL,17,0,529,0,529
ANDHRA PRADESH,EAST GODAVARI,RAJAHMUNDRY URBAN,NA,NA,NA,NA,NA
ANDHRA PRADESH,EAST GODAVARI,RAJANAGARAM,199,0,121,0,121
ANDHRA PRADESH,EAST GODAVARI,RAJAVOMMANGI,85,0,585,0,585
ANDHRA PRADESH,EAST GODAVARI,RAMACHANDRAPURAM,NA,NA,NA,NA,NA
ANDHRA PRADESH,EAST GODAVARI,RAMPACHODAVARAM,31,0,20,0,20
ANDHRA PRADESH,EAST GODAVARI,RANGAMPETA,143,0,13,0,13
ANDHRA PRADESH,EAST GODAVARI,RAVULAPALEM,NA,NA,NA,NA,NA
ANDHRA PRADESH,EAST GODAVARI,RAYAVARAM,NA,NA,NA,NA,NA
ANDHRA PRADESH,EAST GODAVARI,RAZOLE,NA,NA,NA,NA,NA
ANDHRA PRADESH,EAST GODAVARI,SAKHINETIPALLE,NA,NA,NA,NA,NA
ANDHRA PRADESH,EAST GODAVARI,SAMALKOTA,29,0,103,0,103
ANDHRA PRADESH,EAST GODAVARI,SANKHAVARAM,114,88,618,0,706
ANDHRA PRADESH,EAST GODAVARI,SEETHANAGARAM,NA,NA,NA,NA,NA
ANDHRA PRADESH,EAST GODAVARI,THALLAREVU,NA,NA,NA,NA,NA
ANDHRA PRADESH,EAST GODAVARI,THONDANGI,39,0,1359,0,1359
ANDHRA PRADESH,EAST GODAVARI,TUNI,102,0,150,15,165
ANDHRA PRADESH,EAST GODAVARI,UPPALAGUPTAM,NA,NA,NA,NA,NA
ANDHRA PRADESH,EAST GODAVARI,Y. RAMAVARAM,40,0,842,0,842
ANDHRA PRADESH,EAST GODAVARI,YELESWARAM,24,37,2087,0,2124
ANDHRA PRADESH,GUNTUR,ACHAMPET,5,0,121,0,121
ANDHRA PRADESH,GUNTUR,AMARAVATHI,3,0,273,0,273
ANDHRA PRADESH,GUNTUR,AMRUTHALUR,NA,NA,NA,NA,NA
ANDHRA PRADESH,GUNTUR,BAPATLA,NA,NA,NA,NA,NA
ANDHRA PRADESH,GUNTUR,BELLAMKONDA,6,0,550,0,550
ANDHRA PRADESH,GUNTUR,BHATTIPROLU,NA,NA,NA,NA,NA
ANDHRA PRADESH,GUNTUR,BOLLAPALLE,9,5,35,0,40
ANDHRA PRADESH,GUNTUR,CHEBROLE,1,0,320,0,320
ANDHRA PRADESH,GUNTUR,CHERUKUPALLE,NA,NA,NA,NA,NA
ANDHRA PRADESH,GUNTUR,CHILAKALURIPET,1,0,1400,0,1400
ANDHRA PRADESH,GUNTUR,DACHEPALLE,NA,NA,NA,NA,NA
ANDHRA PRADESH,GUNTUR,DUGGIRALA,NA,NA,NA,NA,NA
ANDHRA PRADESH,GUNTUR,DURGI,3,0,34,80,114
ANDHRA PRADESH,GUNTUR,EDLAPADU,3,0,443,0,443
ANDHRA PRADESH,GUNTUR,GUNTUR,12,0,1167,0,1167
ANDHRA PRADESH,GUNTUR,GURAZALA,NA,NA,NA,NA,NA
ANDHRA PRADESH,GUNTUR,IPUR,9,23,406,0,429
ANDHRA PRADESH,GUNTUR,KAKUMANU,NA,NA,NA,NA,NA
ANDHRA PRADESH,GUNTUR,KAREMPUDI,4,0,668,0,668
ANDHRA PRADESH,GUNTUR,KARLAPALEM,NA,NA,NA,NA,NA
ANDHRA PRADESH,GUNTUR,KOLLIPARA,NA,NA,NA,NA,NA
ANDHRA PRADESH,GUNTUR,KOLLUR,NA,NA,NA,NA,NA
ANDHRA PRADESH,GUNTUR,KROSURU,6,0,704,0,704
ANDHRA PRADESH,GUNTUR,MACHAVARAM,10,0,2156,0,2156
ANDHRA PRADESH,GUNTUR,MACHERLA,5,125,76,0,201
ANDHRA PRADESH,GUNTUR,MANGALAGIRI,13,0,489,0,489
ANDHRA PRADESH,GUNTUR,MEDIKONDURU,1,0,800,0,800
ANDHRA PRADESH,GUNTUR,MUPPALLA,11,14,168,11,193
ANDHRA PRADESH,GUNTUR,NADENDLA,4,0,475,0,475
ANDHRA PRADESH,GUNTUR,NAGARAM,NA,NA,NA,NA,NA
