-----
{
 "description": "It provides department wise details of Schemes for Development of Scheduled Castes.", 
 "file_name": "stat21.xls", 
 "title": "Download XLS for Schemes for Development of Scheduled Castes(External Link that opens in a new window)", 
 "url": "http://indiabudget.nic.in/ub2013-14/eb/stat21.xls"
}
-----
"","","SCHEDULED castes SUB pLAN/TRIBAL SUB PLAN","","",""
9.0,"Support to State Extension Services",59.48,75.0,68.15,85.0
10.0,"National Project on Management of ","","","",""
"","Soil Health & Fertility",1.25,0.0,0.0,0.0
11.0,"National Horticulture Board including ","","","",""
"","Investment Capital Subsidy Scheme",31.0,30.0,20.0,30.0
12.0,"Coconut Development Board (CDB) ","","","",""
"","including Technology Mission on Coconut",7.0,5.0,5.0,7.0
13.0,"Horticulture Mission for North-East ","","","",""
"","and Himalayan States",42.98,55.0,54.99,50.0
14.0,"National Mission on Bamboo Technology ","","","",""
"","and Trade Development ",7.5,15.0,9.0,9.0
15.0,"National Mission on Micro-Irrigation",237.91,350.0,320.3,360.0
16.0,"National Horticulture Mission",210.0,350.0,244.4,300.0
17.0,"Strengthening of IT apparatus ","","","",""
"","in Agriculture & Cooperation including ","","","",""
"","Early Warning System",1.28,4.0,0.0,0.0
18.0,"National E-Governance Plan- Agriculture ",0.0,18.0,1.46,0.5
19.0,"National Agriculture Insurance Scheme",57.06,76.0,131.0,350.0
20.0,"Weather based Crop Insurance",90.0,95.0,95.0,120.0
21.0,"Macro Management of Agriculture ",150.0,170.0,130.19,0.0
22.0,"Promotion and Strengthening of ","","","",""
"","Agricultural Machanisation through ","","","",""
"","Training and Testing Demostration",0.0,1.0,1.0,2.0
23.0,"Post Harvest Technology & Management",0.0,1.0,1.0,2.0
24.0,"Grants for replanting and rejuvenation ","","","",""
"","of Coconut Garden",0.0,5.0,9.0,0.0
25.0,"Construction of Rural Godown",34.0,0.0,0.0,0.0
26.0,"Development of Market, Infrastructure ","","","",""
"","Grading and Market Standardization",45.0,0.0,0.0,0.0
"","Sub Total",1407.02,1780.8,1533.71,1888.11
"","Demand No. 3","","","",""
"","Department of Animal Husbandry, Dairying and Fisheries","","","",""
1.0,"Preparedness, Control and Containment ","","","",""
"","of Avian Influenza",0.0,10.0,0.0,0.0
2.0,"National Project on Cattle and Buffalo Breeding",31.62,45.0,20.0,38.75
3.0,"Poultry Development ",6.93,10.05,7.0,8.5
4.0,"Poultry Venture Capital Fund",1.28,7.5,2.0,0.0
5.0,"Integrated Development of Small Ruminant & Rabbits",2.99,2.45,1.0,0.0
6.0,"Piggery Development ",1.0,3.0,3.0,0.0
7.0,"Fodder & Feed Development Scheme",8.0,11.0,13.0,27.0
8.0,"Livestock Census",0.0,7.0,35.0,9.0
9.0,"National Programme on Bovine Breeding",0.0,0.1,0.0,0.0
10.0,"Livestock Health & Disease Control ",25.94,66.2,54.96,62.0
11.0,"Assistance to Cooperatives ",0.5,1.6,0.6,0.0
12.0,"Dairy Entrepreneurship Development ",15.0,25.0,53.46,69.8
13.0,"Project for Dairy Development",4.52,17.5,14.03,31.0
14.0,"National Dalry Plan",0.0,23.25,31.25,0.0
15.0,"Development of Marine Fisheries, ","","","",""
"","Infrastructure and Post Harvest Operations",12.0,14.5,11.48,18.0
16.0,"National Welfare of Fishermen and ","","","",""
"","Fisheries Training &Extension",5.0,8.0,2.0,8.0
17.0,"Development of Inland Fisheries & Acquaculture ",2.26,7.5,2.0,8.0
18.0,"National Fisheries Development Board",18.0,25.0,21.81,22.0
19.0,"Livestock Insurance ",8.0,12.0,10.0,16.0
20.0,"Special Package for 31 Suicide Prone Districts",1.24,12.35,9.0,10.0
"","Sub Total",144.28,309.0,291.59,328.05
"","Demand No. 11","","","",""
"","Department of Commerce","","","",""
1.0,"Tea Board",10.0,10.0,10.0,20.0
2.0,"Cofee Board",5.0,5.0,5.0,5.0
3.0,"Rubber Board",10.0,10.0,10.0,10.0
4.0,"Spices",5.0,5.0,5.0,5.0
5.0,"ASIDE",53.43,64.0,64.0,60.0
"","Sub Total",83.43,94.0,94.0,100.0
"","Demand No 12","","","",""
"","Department of Industrial Policy & Promotion","","","",""
1.0,"Indian Leather Development Programme",28.18,12.0,5.8,42.0
"","Sub Total",28.18,12.0,5.8,42.0
"","Demand No. 15","","","",""
"","Department of Electronics and Information Technology","","","",""
1.0,"e-Governance",0.0,21.75,21.75,21.75
2.0,"IT for Masses",0.88,4.58,1.32,0.0
3.0,"Manpower Development",0.0,2.55,2.55,5.0
4.0,"National Informatic Centre (NIC)",22.23,22.62,22.62,24.75
5.0,"National Knowledge Network",7.5,7.5,2.5,7.5
6.0,"NIEELIT (earstwhile DOEACC)",0.0,1.0,1.0,1.0
"","Sub Total",30.61,60.0,51.74,60.0
"","Demand No.29","","","",""
"","Ministry of Drinking Water & Sanitation","","","",""
1.0,"National Rural Drinking Water Programme",1869.98,2310.0,2310.0,2420.0
2.0,"Central Rural Sanitation Programme",309.88,770.0,550.0,938.0
"","Sub Total",2179.86,3080.0,2860.0,3358.0
"","Demand No. 31","","","",""
"","Ministry of Environment and Forest","","","",""
1.0,"Environment Information, Education & Awareness",0.0,1.0,1.0,1.0
2.0,"National River Conservation Plan",0.0,17.46,17.46,13.0
3.0,"Intensification of Forest Management ","","","",""
"","(Former Integrated Forest Protection Scheme)",1.31,1.5,1.0,0.0
4.0,"Integrated Development of Wild Life Habitats",0.85,1.5,1.5,2.5
5.0,"Project Tiger",15.72,6.0,6.0,6.0
6.0,"Project Elephant",0.61,1.0,1.0,1.0
7.0,"National Afforestation Programme",20.0,20.0,13.0,20.0
8.0,"Green India Mission",0.0,5.0,2.4,9.96
"","Sub Total",38.49,53.46,43.36,53.46
"","Demand No. 47","","","",""
"","Department of Health and Family Welfare","","","",""
1.0,"National Cancer Control Programme",7.85,0.0,0.0,0.0
2.0,"National Programme for Prevention & ","","","",""
"","Control of Diabetese, CVD & Strokes",15.07,45.6,26.6,73.75
3.0,"National Vector Borne Disease Control Programme",68.88,113.53,54.54,0.0
4.0,"National Programme for Control of Blindness",27.34,57.56,47.0,0.0
5.0,"Revised National TB Control Programme",60.92,140.95,120.95,0.0
6.0,"National Leprosy Eradication Programme",6.54,10.12,10.12,0.0
7.0,"Infrastructure Maintenance",713.57,978.11,1012.04,995.7
8.0,"Supply Drugs & Contraceptive",0.0,57.06,19.86,0.0
9.0,"Immunization",187.14,317.93,245.09,0.0
10.0,"Information, Education & Communication",17.21,0.0,0.0,0.0
11.0,"Flexible Pool for State PIPs",2289.55,2141.49,2051.08,0.0
12.0,"Integrated Disease Surveillance Project",0.0,12.31,3.5,0.0
13.0,"Strengthening of District Hospitals for ","","","",""
"","providing Advanced Secondary Care",0.0,19.54,0.0,0.0
14.0,"Providing Free Generic Medicines in all ","","","",""
"","Public Health Institutions in the Country",0.0,19.54,0.0,0.0
15.0,"National Mental Health Programme",0.0,19.8,15.23,30.31
16.0,"Assistance to State for Capacity Building",0.0,15.2,6.79,13.44
17.0,"Health Care for the Elderly People",0.0,22.8,15.2,20.2
18.0,"Upgradation of State Government Medical Colleges",0.0,53.2,38.0,0.0
19.0,"Upgradation/Strengthening of Nursing Services",0.0,45.6,16.72,0.0
20.0,"Strengthening/Creation of Paramedical Institutions",0.0,30.4,7.6,0.0
21.0,"Free Distribution of Contraceptives",0.0,22.56,22.56,0.0
22.0,"NRHM-RCH Flexible Pool",0.0,0.0,0.0,2579.66
23.0,"National Urban Health Mission",0.0,0.0,0.0,0.2
24.0,"Flexible Pool for Communicable Diseases",0.0,0.0,0.0,282.08
25.0,"Flexible Pool for Non-Communcable ","","","",""
"","Diseases,Injury &Trauma",0.0,0.0,0.0,173.75
26.0,"Human Resources for Health",0.0,0.0,0.0,232.68
27.0,"Strengthening of State Drug Regulatory System",0.0,0.0,0.0,20.2
28.0,"Strengthening of State Food Regulatory System",0.0,0.0,0.0,11.11
"","Sub Total",3394.07,4123.3,3712.88,4433.08
"","Demand No. 48","","","",""
"","Department of Ayurveda, Yoga & ","","","",""
"","Naturopathy, Unani, Siddha and ","","","",""
"","Homoepathy (AYUSH)","","","",""
1.0,"National Institute of Ayurveda, Jaipur",0.2,0.3,0.3,1.0
2.0,"Central Council for Research in Ayurvedic Sciences",8.0,8.0,8.0,8.0
3.0,"Central Council for Research in Unani Medicine      ",5.0,5.0,5.0,3.0
4.0,"Central Council for Research in Homoeopathy",2.0,2.0,2.0,5.0
5.0,"National Medicinal Plant Board",0.0,4.8,4.8,6.0
6.0,"Development of Institutions",0.0,5.4,1.0,8.0
7.0,"Hospitals and Dispensaries (under NRHM)",0.0,18.0,6.4,14.45
8.0,"National Mission on Medicinal Plants",0.0,6.0,6.0,8.0
"","Sub Total",15.2,49.5,33.5,53.45
"","Demand No. 50","","","",""
"","Department of AIDS Control","","","",""
1.0,"National AIDS Control Programme",0.0,258.4,267.45,271.32
"","Sub Total",0.0,258.4,267.45,271.32
"","Demand No. 58","","","",""
"","Ministry of Housing & Urban Poverty Alleviation","","","",""
1.0,"Component for SCSP under Interest ","","","",""
"","Subsidy for Housing the  Urban Poor",11.25,2.25,1.12,5.68
2.0,"Swarna Jayanti Shahari Rozgar ","","","",""
"","Yojana (SJSRY)",220.28,229.12,143.38,284.69
3.0,"Component for SCSP under the scheme ","","","",""
"","Integrated Low Cost Sanitation ","","","",""
"","Programme (ILCS) ",15.97,4.5,18.0,38.13
4.0,"National Scheme for Support to Street Vendors",0.0,12.0,0.0,0.0
5.0,"National Programme for Urban Homeless",0.0,12.0,0.0,0.0
"","Sub Total",247.5,259.87,162.5,328.5
"","Demand No. 59","","","",""
"","Department of School Education & Literacy","","","",""
1.0,"Sarva Shiksha Abhiyan",3920.48,5111.0,4728.78,5451.6
2.0,"National Programme of Nutrition Support ","","","",""
"","to Primary Education (Mid Day Meal Scheme)",1781.1,2387.4,2301.57,2643.0
3.0,"Strengthening of Teacher Training  Institutions",68.42,100.0,58.4,100.0
4.0,"Mahila Samakhya ",10.0,12.0,12.0,12.0
5.0,"Support to NGOs/Institutions/SRCs for ","","","",""
"","Adult Education & Skill Development ","","","",""
"","(Merged schemes of NGOs/JSS/SRCs)",19.16,21.0,16.09,20.0
6.0,"Adult Education & Skill Development Scheme",94.16,118.4,84.3,114.4
7.0,"National Bal Bhawan",0.8,2.8,1.09,1.6
8.0,"Directorate of Adult Education",1.9,1.8,0.68,1.8
9.0,"National Literacy Mission Authority",0.0,0.0,0.0,0.4
10.0,"National Scheme for Incentive to Girl ","","","",""
"","Child for Secondary School",68.69,67.0,67.0,66.2
11.0,"Navodaya Vidyalayas Samiti",240.0,250.0,250.0,250.0
12.0,"Kendriya Vidyalayas Sangathan",70.0,70.0,70.0,70.0
13.0,"National Council of Educational Research & ","","","",""
"","Training (NCERT)",5.0,3.0,2.34,3.0
14.0,"National Institute of Open Schooling ","","","",""
"","(National Open School)",0.7,0.0,0.0,0.02
15.0,"Central Tibetian School Society Administration",1.43,0.0,0.0,0.0
16.0,"Rashtriya Madhyamik Shiksha Abhiyan (RMSA)",512.26,624.8,625.8,796.6
17.0,"Scheme for setting up of 6000 Model ","","","",""
"","Schools at Block level as Benchmark of Excellence",216.34,216.0,161.36,200.0
18.0,"Inclusive Education for the Disabled at ","","","",""
"","Secondary Schools (IEDSS)",8.92,14.0,5.61,10.0
19.0,"National Means-cum-Merit Scholarship Scheme",12.06,14.0,14.0,14.0
20.0,"Vocationalisation of Education",2.66,20.0,16.0,16.02
21.0,"Access and Equity",0.02,0.0,0.0,0.0
22.0,"Scheme for construction and running of ","","","",""
"","Girls Hostels for students of Secondary ","","","",""
"","and Higher Secondary School",0.02,89.44,60.4,90.0
23.0,"Information and Communication Technology in Schools",98.26,70.0,70.0,70.0
24.0,"Centrally Sponsored Scheme of ","","","",""
"","appointment of Language Teachers",0.99,1.16,0.38,1.16
"","Sub Total",7133.37,9193.8,8545.8,9931.8
"","Demand No. 60","","","",""
"","Department of Higher Education","","","",""
1.0,"UGC",855.62,1042.46,957.63,868.05
2.0,"IGNOU",15.0,15.75,15.75,18.75
3.0,"IITs",180.6,180.0,199.8,360.0
4.0,"IIT, Gwalior",4.5,5.25,5.25,0.0
5.0,"IIT, Allahabad",8.25,7.5,10.5,0.0
6.0,"IIT, Jabalpur",8.25,6.75,9.75,0.0
7.0,"NITs",144.0,150.0,199.8,195.0
8.0,"NITIE, Mumbai",2.55,5.55,0.9,0.9
9.0,"NIFFT, Ranchi",2.1,2.4,3.6,0.0
10.0,"NITTTRs",3.52,5.25,4.8,5.25
11.0,"SPA, New Delhi",1.35,1.5,0.94,12.75
12.0,"ISM, Dhanbad",15.0,16.5,20.26,16.5
13.0,"Community Polytechnics",7.38,44.02,17.6,0.0
14.0,"Sant Longowal Institute of Engineering and Technology",1.08,2.4,1.58,0.0
15.0,"IIMs",32.25,27.0,19.25,52.5
16.0,"IISC, Bangalore",20.1,22.5,27.0,0.0
17.0,"National Mission in Education (ICT)",56.42,127.5,33.3,60.0
18.0,"IISERs",87.0,97.5,102.0,0.0
19.0,"Setting up New IITs",95.76,120.0,107.28,0.0
20.0,"Scholarship for 2% of the total students ","","","",""
"","(Scholarship to University/College students)",24.0,37.5,23.72,52.5
21.0,"BOATS including Apprenticeship Training ",5.24,7.5,8.49,7.88
22.0,"IIITDM, Kanchipuram",11.25,12.0,12.0,0.0
23.0,"CIT, Kokrajhar ",0.2,0.22,0.5,0.0
24.0,"New IIITs",0.0,3.75,1.2,4.5
25.0,"New SPAs",3.75,5.25,10.5,0.0
26.0,"Setting up New NITs",12.0,18.0,21.0,0.0
27.0,"New IIMs",12.0,22.5,22.5,0.0
28.0,"Upgradation of Existing/Setting up of ","","","",""
"","New Polytechnic",121.22,126.0,63.0,0.0
29.0,"ICHR",0.88,1.2,0.82,0.0
30.0,"IIAS, Shimla",1.16,0.83,1.88,0.0
31.0,"ICPR",0.75,0.9,0.78,0.0
32.0,"PHISPC",0.09,0.0,0.0,0.0
33.0,"NCRI",0.0,0.9,0.27,0.0
34.0,"Education Loan Interest",37.99,40.0,40.0,0.0
35.0,"Rastriya Sanskrit Sansthan",8.85,9.0,13.42,0.0
36.0,"AICTE",34.5,60.0,60.0,63.0
37.0,"Technical Education Quality Improvement Programme",27.34,52.5,29.64,60.0
38.0,"Expansion and Upgradation of State ","","","",""
"","Engineering Institutes",0.0,0.6,0.0,0.0
39.0,"Setting up IIEST",0.0,0.15,0.0,4.5
40.0,"Training and Research in Frontier Areas ",0.0,0.15,0.05,15.0
41.0,"Women's Hostel in Polytechnics",9.81,15.0,10.5,0.0
42.0,"ICSSR",5.1,15.0,13.89,0.0
43.0,"Central Hindi Directorate",0.42,0.75,0.0,2.4
44.0,"Kendriya Hindi Sansthan, Agra",0.3,0.5,0.5,0.0
45.0,"Maharishi Sandipani Rashtriya Ved ","","","",""
"","Vidya Pratisthan, Ujjain",1.2,1.2,3.2,0.0
46.0,"NUEPA (Including fund for conducting All ","","","",""
"","India Survey on Higher Education)",1.26,1.6,1.42,2.55
47.0,"North Eastern Regional Institute of ","","","",""
"","Science and Technology, Itanagar (NERIST)",0.0,0.1,0.05,0.0
48.0,"National Mission on Teachers & Training ",0.0,0.15,0.0,15.0
49.0,"Incentivising States for Expansion ","","","",""
"","inclusion and Excellence",0.0,0.15,0.0,0.0
50.0,"Research & Innovation ",0.0,0.15,0.16,0.0
51.0,"Employability & Skill",0.0,0.15,0.16,0.0
52.0,"Polytechnics for Disabled Persons ",0.0,0.75,0.27,0.0
53.0,"Central Institute of India Langugage (CIIL), Mysore",0.3,2.5,0.0,7.5
54.0,"Central Institute of Classical Tamil (CICT), Chennai",0.0,1.92,0.0,0.0
55.0,"National Initiative for Excellence in ","","","",""
"","Humanities and Social Science",0.0,0.0,0.0,19.5
56.0,"National Initiative for Quality Higher ","","","",""
"","Education in Indian Languages",0.0,0.0,0.0,0.15
57.0,"National Initiative on Inclusion with ","","","",""
"","Disabilities in Higher Education",0.0,0.0,0.0,0.15
58.0,"National Initiative to Foster Social Responsibility",0.0,0.0,0.0,0.15
59.0,"National Initiative on Sports and Wellness",0.0,0.0,0.0,0.15
60.0,"Rashtriya Uchcha Shiksha Abhiyan (RUSA)",0.0,0.0,0.0,82.5
61.0,"Interest Subsidy and Contribution for Guarantee Fund ",0.0,0.0,0.0,165.0
62.0,"Promotion of Copyright and IPR",0.0,0.0,0.0,0.9
63.0,"Grants for Promotion of Indian Language",0.0,0.0,0.0,34.5
64.0,"Strengthening of Governance and Accreditation System",0.0,0.0,0.0,0.15
65.0,"Setting up of Institutes /Academies for ","","","",""
"","Academic Leadership",0.0,0.0,0.0,0.15
66.0,"Strengthening Statistical and Public Information System",0.0,0.0,0.0,0.15
67.0,"Web-based Higher Education Data Management System",0.0,0.0,0.0,0.15
68.0,"Centres for Higher Education Research ","","","",""
"","Conduct of Longitudinal Studies and Surveys",0.0,0.0,0.0,0.15
69.0,"Support to IISc and IISER",0.0,0.0,0.0,128.93
70.0,"Support to IITs of (Allahabad, Gwalior, ","","","",""
"","Jabalpur and Kanchipuram)",0.0,0.0,0.0,33.0
71.0,"Assistance to other Institutes Including ","","","",""
"","SLIET,NERIT,NIFFT Ranchi,CIT Kokrajhar",0.0,0.0,0.0,10.2
72.0,"Establishment of Multi-disciplinary Research ","","","",""
"","Universities and Creation of centres of ","","","",""
"","Excellence and Creating a System",0.0,0.0,0.0,0.15
73.0,"Setting Up of Inter-Institutional Centre",0.0,0.0,0.0,0.15
74.0,"National Initiative for Design Innovation",0.0,0.0,0.0,3.75
75.0,"National Initiative for Technology Transfer",0.0,0.0,0.0,3.75
76.0,"Quality Improvement Programme for ","","","",""
"","Management,Pharmacy Education ","","","",""
"","and Hotel Management",0.0,0.0,0.0,0.15
77.0,"Support for The Polytechnics in The States",0.0,0.0,0.0,105.0
78.0,"Support for Skill-Based Higher Education ","","","",""
"","Including Community Colleges",0.0,0.0,0.0,4.5
79.0,"IIT, Hyderabad (EAP)",0.0,0.0,0.0,7.5
80.0,"Establishment of Tribunals Accredition ","","","",""
"","Authority &NCHER",0.0,0.0,0.0,0.15
81.0,"National Book Promotion",0.0,0.0,0.0,3.0
82.0,"Commission for Scientific and Technical Terminology",0.0,0.0,0.0,1.2
83.0,"Auroville Management",0.0,0.0,0.0,1.8
"","Sub Total",1860.34,2318.7,2076.91,2431.51
"","Demand No. 62","","","",""
"","Ministry of Labour and Employment","","","",""
1.0,"Continuation & Setting up of New VRCs ","","","",""
"","for Handicapped Persons ",0.09,0.6,0.6,0.8
2.0,"CGC",0.85,4.2,4.2,4.63
3.0,"Mission Mode Project",0.0,3.0,0.77,0.0
4.0,"Upgradation of Training Institutes",1.97,6.16,5.98,13.2
5.0,"NIMI",0.0,0.65,0.65,0.69
6.0,"FTI",0.11,1.39,1.34,0.0
7.0,"MITI",0.09,1.38,1.32,0.0
8.0,"Project Implementation",0.0,0.81,0.68,0.0
9.0,"Building Equipment",0.41,1.8,2.05,0.0
10.0,"CLC ( C ) Training Wing ",0.08,0.0,0.0,0.0
11.0,"CBWE",2.14,4.0,4.0,3.2
12.0,"NLI",0.73,2.69,1.92,0.97
13.0,"Child Labour ",23.47,20.0,16.0,32.4
14.0,"Labour & Employment Statistical System",1.57,0.0,0.0,0.0
15.0,"Machinery for Better Conciliation Service and ","","","",""
"","Upgradation of Office Infrastructure ","","","",""
"","CLC & RLC",0.93,0.0,0.0,0.0
16.0,"DGMS (SOCFOD)",0.9,0.0,0.0,0.0
17.0,"Development of Regional Labour Institute ","","","",""
"","Faridabad as National Centre of Exellence",0.48,0.0,0.0,0.0
18.0,"Mahatma Gandhi National Rural Employment ","","","",""
"","Guarantee Act",1.62,0.0,0.0,0.0
19.0,"Upgradation of 100 IIT",0.0,0.02,0.0,0.0
20.0,"Rehabilitation of BL",0.0,3.0,3.0,0.0
21.0,"Skill Development Initiative",6.0,56.36,40.36,95.32
22.0,"Training of 8000 Youths of J&K",0.0,0.16,0.0,0.0
23.0,"Kaushal Vikas Yojana",0.0,19.8,12.15,0.58
24.0,"Upgradation of 1396 Govt. ITI",0.0,0.81,0.0,0.0
25.0,"EAP Component ",0.0,15.95,15.95,24.3
26.0,"Health Insurance RW",189.75,242.0,226.09,230.09
27.0,"Expansion of training of Trainers within DGET ",0.0,2.0,2.17,1.94
28.0,"Setting up of ATIs & RVTIs for women in PPP Mode",0.25,0.0,0.0,0.0
29.0,"Skill Development for 34 Districts affected ","","","",""
"","by Left Wing Extremism ",0.0,8.1,8.1,0.0
30.0,"E-Learning & Distance Learning Program",0.0,0.16,0.16,0.03
31.0,"Re-engineering of NCVT & Development of ","","","",""
"","National Vocational Qualification",0.0,0.33,0.33,0.07
32.0,"Establishment of National Board for Trade ","","","",""
"","Testing and Certification",0.0,0.46,0.46,0.32
33.0,"International Cooperation in Skill Development ","","","",""
"","including Foreign Training",0.0,0.66,0.66,0.32
34.0,"Setting of ATI & RVTI",0.04,0.05,0.05,0.0
35.0,"Enhancing Skill Development Infrastructure ","","","",""
"","in NE States & Sikkim",0.0,3.6,3.6,0.0
36.0,"Setting up of New Regional Directorates if ","","","",""
"","Apprenticeship Training (RDAT)",0.0,0.0,0.0,0.03
"","Sub Total",231.48,400.14,352.59,408.89
"","Demand No. 66","","","",""
"","Ministry of Micro, Small & Medium Enterprises","","","",""
1.0,"Prime Minister's Employment Generation ","","","",""
"","Programme (PMEGP)",149.99,156.46,156.46,187.5
2.0,"Workshed Scheme for Khadi Artisans",2.55,2.4,2.0,2.4
3.0,"Scheme for Enhancing Productivity and ","","","",""
"","Competitiveness for Khadi Industries Artisans",0.0,1.8,0.01,1.8
4.0,"Rejuvenation, Modernisation and Technology ","","","",""
"","Upgradation of Coir Industries",0.0,1.9,0.0,1.9
5.0,"Scheme of Fund for Regeneration of ","","","",""
"","Traditional Industries",0.0,6.64,0.6,6.65
6.0,"Khadi Reform Development Programme ","","","",""
"","(ADB Assistance)",0.0,6.0,0.0,6.0
7.0,"Strengthening of Infrastructure of existing ","","","",""
"","Weak Khadi Institutions and Assistance ","","","",""
"","for Marketing Infrastructure",0.35,0.9,0.7,0.9
8.0,"Market Promotion (Including Export ","","","",""
"","Promotion and Policy)",0.0,0.01,0.0,0.01
9.0,"Development of Infrastructure and Skill in ","","","",""
"","KVI Sector (DISK)",0.0,0.01,0.0,0.01
10.0,"Promotion of Village Industry and Development ","","","",""
"","of Existing Weak Village Industry ","","","",""
"","Institution (PROVIDE)",0.0,0.01,0.0,0.01
11.0,"Plan General Training Extension, Quality ","","","",""
"","Improvement, Mahila Coir Yojana and ","","","",""
"","Welfare Measures etc.",0.0,5.4,2.85,5.4
12.0,"SUFURTI (including 5 existing schemes ","","","",""
"","subsumed therein) (KVI)",0.0,0.01,0.0,0.01
13.0,"Khadi Grant including MDA for Khadi",0.0,13.45,20.3,13.45
14.0,"Village Industry (VI) Grant",0.0,8.96,8.96,8.96
15.0,"Interest Subsidy Eligibility Certificate",0.0,0.01,0.0,0.01
16.0,"Janshri Beema Yojana for Khadi Artisans",0.0,0.01,0.01,0.01
17.0,"Khadi/VI S&T and Scheme for Promotin of ","","","",""
"","Khadi as an exclusive Heritage and ","","","",""
"","Green Product (SPOKE)",0.0,0.01,0.0,0.01
18.0,"Scheme for Write Off of Old Loans by ","","","",""
"","One-Time Waiver/Settlement",0.0,0.01,0.0,0.0
19.0,"SFURTI (Coir)",0.0,0.01,0.0,0.01
20.0,"Quality of Technology Support Institutions ","","","",""
"","and Programmes",0.0,0.0,2.15,2.0
21.0,"Promotional Services Institutions and Programmes",0.0,0.0,10.55,11.0
22.0,"MSME Cluster Development Programmes ","","","",""
"","and MSME Growth Poles",0.0,0.0,41.29,51.0
23.0,"Credit Support Programme",0.0,0.0,5.0,17.0
24.0,"Upgrading of Data Base",0.0,0.0,0.01,0.0
25.0,"National Innovation Fund",0.0,0.0,27.0,24.0
26.0,"Investment Equity Share Capital (NSIC)",0.0,0.0,18.6,0.0
27.0,"Performance and Credit rating Scheme",0.0,0.0,1.0,2.0
28.0,"Marketing Assistance Scheme",0.0,0.0,1.2,2.0
29.0,"International Cooperation Scheme",0.0,0.0,0.0,0.2
30.0,"Training Institutions",0.0,0.0,11.0,13.0
"","Sub Total",152.89,204.0,309.69,357.24
"","Demand No. 69","","","",""
"","Ministry of  New and Renewable Energy ","","","",""
1.0,"Grid Iteractive and Distributed Renewable Power",32.97,25.0,25.0,43.23
2.0,"Renewable Energy for Remote Village",5.0,0.0,0.0,0.0
3.0,"Renewable Energy for All Villages",4.0,23.5,15.25,10.0
"","Sub Total",41.97,48.5,40.25,53.23
"","Demand No. 71","","","",""
"","Ministry of Panchayati Raj","","","",""
1.0,"Rashtriya Gram Swaraj Yojana",14.43,0.0,14.58,0.0
2.0,"Action Research & Research Studies",0.0,0.0,0.29,0.49
3.0,"Rural Business Hubs",0.09,0.49,0.0,0.0
