-----
{
 "description": "The table refers to block wise distribution of surface lift schemes according to social status. It has been sourced from 2nd census of minor irrigation scheme(1993-94) from Ministry of Water Resources.", 
 "file_name": "srfcliftblck5.4.csv", 
 "title": "Download CSV for Blockwise Distribution of surface lift schemes according to social status for 2nd census of minor irrigation schemes (1993-94)", 
 "url": "http://data.gov.in/sites/default/files/srfcliftblck5.4.csv"
}
-----
STATENAME,DISTNAME,BLOCKNAME,Schedule Caste,Schedule Tribe,Others,Total,Owned by other than Individual/Group of farmers,Grand Total
ANDHRA PRADESH,EAST GODAVARI,RAJAHMUNDRY RURAL,0,0,0,0,3,3
ANDHRA PRADESH,EAST GODAVARI,RAJAVOMMANGI,0,0,0,0,2,2
ANDHRA PRADESH,EAST GODAVARI,RANGAMPETA,0,0,0,0,1,1
ANDHRA PRADESH,EAST GODAVARI,SAMALKOTA,0,0,0,0,1,1
ANDHRA PRADESH,EAST GODAVARI,THALLAREVU,0,0,1,1,1,2
ANDHRA PRADESH,EAST GODAVARI,Y. RAMAVARAM,0,0,0,0,1,1
ANDHRA PRADESH,GUNTUR,ACHAMPET,1,12,24,37,3,40
ANDHRA PRADESH,GUNTUR,AMARAVATHI,4,0,59,63,3,66
ANDHRA PRADESH,GUNTUR,BAPATLA,3,0,40,43,8,51
ANDHRA PRADESH,GUNTUR,BELLAMKONDA,1,2,9,12,0,12
ANDHRA PRADESH,GUNTUR,BOLLAPALLE,0,0,0,0,1,1
ANDHRA PRADESH,GUNTUR,CHEBROLE,0,0,1,1,4,5
ANDHRA PRADESH,GUNTUR,CHERUKUPALLE,0,0,1,1,0,1
ANDHRA PRADESH,GUNTUR,CHILAKALURIPET,0,0,26,26,6,32
ANDHRA PRADESH,GUNTUR,DACHEPALLE,4,3,80,87,0,87
ANDHRA PRADESH,GUNTUR,EDLAPADU,1,0,31,32,0,32
ANDHRA PRADESH,GUNTUR,GUNTUR,0,0,0,0,1,1
ANDHRA PRADESH,GUNTUR,GURAZALA,0,0,24,24,0,24
ANDHRA PRADESH,GUNTUR,IPUR,0,0,1,1,0,1
ANDHRA PRADESH,GUNTUR,KAKUMANU,0,0,6,6,0,6
ANDHRA PRADESH,GUNTUR,KARLAPALEM,0,0,25,25,1,26
ANDHRA PRADESH,GUNTUR,KOLLUR,1,0,8,9,0,9
ANDHRA PRADESH,GUNTUR,KROSURU,4,1,74,79,3,82
ANDHRA PRADESH,GUNTUR,MACHERLA,0,0,3,3,1,4
ANDHRA PRADESH,GUNTUR,MANGALAGIRI,0,0,0,0,6,6
ANDHRA PRADESH,GUNTUR,MUPPALLA,0,1,12,13,0,13
ANDHRA PRADESH,GUNTUR,NADENDLA,0,1,27,28,0,28
ANDHRA PRADESH,GUNTUR,NAGARAM,3,0,104,107,1,108
ANDHRA PRADESH,GUNTUR,NARASARAOPET,0,0,0,0,2,2
ANDHRA PRADESH,GUNTUR,NIZAMPATNAM,7,0,23,30,0,30
ANDHRA PRADESH,GUNTUR,NUZENDLA,4,0,89,93,0,93
ANDHRA PRADESH,GUNTUR,PEDAKAKANI,0,0,2,2,0,2
ANDHRA PRADESH,GUNTUR,PEDAKURAPADU,0,0,3,3,0,3
ANDHRA PRADESH,GUNTUR,PEDANANDIPADU,0,0,2,2,1,3
ANDHRA PRADESH,GUNTUR,PHIRANGIPURAM,0,0,1,1,2,3
ANDHRA PRADESH,GUNTUR,PITTALAVANIPALEM,2,0,15,17,1,18
ANDHRA PRADESH,GUNTUR,PONNUR,1,0,43,44,0,44
ANDHRA PRADESH,GUNTUR,RAJUPALEM,6,1,40,47,0,47
ANDHRA PRADESH,GUNTUR,REPALLE,1,0,53,54,0,54
ANDHRA PRADESH,GUNTUR,SATTENAPALLE,1,0,87,88,3,91
ANDHRA PRADESH,GUNTUR,SAV'PURAM KANUM'PUDI,0,1,19,20,0,20
ANDHRA PRADESH,GUNTUR,TADEPALLE,2,1,61,64,6,70
ANDHRA PRADESH,GUNTUR,TADIKONDA,2,0,38,40,0,40
ANDHRA PRADESH,GUNTUR,TENALI,0,0,0,0,1,1
ANDHRA PRADESH,GUNTUR,THULLUR,0,0,0,0,6,6
ANDHRA PRADESH,GUNTUR,VATTICHERUKURU,0,0,2,2,1,3
ANDHRA PRADESH,GUNTUR,VEMURU,0,0,7,7,0,7
ANDHRA PRADESH,GUNTUR,VINUKONDA,4,0,129,133,0,133
ANDHRA PRADESH,KARIMNAGAR,CHIGURUMAMIDI,0,0,0,0,3,3
ANDHRA PRADESH,KARIMNAGAR,GAMBHIRAOPET,7,0,32,39,1,40
ANDHRA PRADESH,KARIMNAGAR,KATARAM,0,0,0,0,1,1
ANDHRA PRADESH,KARIMNAGAR,MALHARRAO MANDAL,0,0,0,0,1,1
ANDHRA PRADESH,KARIMNAGAR,MANTHANI,0,0,0,0,8,8
ANDHRA PRADESH,KARIMNAGAR,MANTHANI,1,0,64,65,2,67
ANDHRA PRADESH,KARIMNAGAR,MUSTABAD,6,6,39,51,3,54
ANDHRA PRADESH,KARIMNAGAR,ODELA,2,0,9,11,1,12
ANDHRA PRADESH,KARIMNAGAR,RAIKAL,0,0,0,0,2,2
ANDHRA PRADESH,KARIMNAGAR,SRIRAMPUR,5,1,132,138,3,141
ANDHRA PRADESH,KARIMNAGAR,THIMMAPUR,0,0,0,0,5,5
ANDHRA PRADESH,KARIMNAGAR,VELGATOOR,0,0,27,27,17,44
ANDHRA PRADESH,KHAMMAM,ASWAPURAM,1,37,44,82,0,82
ANDHRA PRADESH,KHAMMAM,ASWARAOPETA,0,14,17,31,0,31
ANDHRA PRADESH,KHAMMAM,BAYYARAM,0,0,147,147,0,147
ANDHRA PRADESH,KHAMMAM,BHADRACHALAM,5,12,82,99,1,100
ANDHRA PRADESH,KHAMMAM,BONAKAL,0,0,20,20,13,33
ANDHRA PRADESH,KHAMMAM,BURGAMPADU,31,29,80,140,0,140
ANDHRA PRADESH,KHAMMAM,CHANDRUGONDA,0,0,0,0,36,36
ANDHRA PRADESH,KHAMMAM,CHERLA,2,36,57,95,1,96
ANDHRA PRADESH,KHAMMAM,CHINTHAKANI,0,0,0,0,25,25
ANDHRA PRADESH,KHAMMAM,CHINTUR,0,79,64,143,9,152
ANDHRA PRADESH,KHAMMAM,DUMMUGUDEM,1,22,19,42,0,42
ANDHRA PRADESH,KHAMMAM,ENKURU,0,13,34,47,1,48
ANDHRA PRADESH,KHAMMAM,GARLA,5,84,127,216,1,217
ANDHRA PRADESH,KHAMMAM,GUNDALA,4,6,1,11,0,11
ANDHRA PRADESH,KHAMMAM,JULURPAD,0,0,0,0,2,2
ANDHRA PRADESH,KHAMMAM,KALLURU,2,1,21,24,0,24
ANDHRA PRADESH,KHAMMAM,KHAMMAM (RURAL),0,0,191,191,4,195
ANDHRA PRADESH,KHAMMAM,KHAMMAM (URBAN),0,11,46,57,0,57
ANDHRA PRADESH,KHAMMAM,KOTHAGUDEM,6,33,109,148,13,161
ANDHRA PRADESH,KHAMMAM,KUKUNOOR,10,17,101,128,3,131
ANDHRA PRADESH,KHAMMAM,KUNAVARAM,1,445,177,623,0,623
ANDHRA PRADESH,KHAMMAM,MADHIRA,0,0,127,127,139,266
ANDHRA PRADESH,KHAMMAM,MANUGUR,0,11,29,40,0,40
ANDHRA PRADESH,KHAMMAM,MUDIGONDA,0,0,0,0,4,4
ANDHRA PRADESH,KHAMMAM,MULAKALAPALLE,5,69,110,184,0,184
ANDHRA PRADESH,KHAMMAM,NELAKONDAPALLE,1,0,0,1,2,3
ANDHRA PRADESH,KHAMMAM,PALWANCHA,8,17,73,98,144,242
ANDHRA PRADESH,KHAMMAM,PENUBALLI,0,0,21,21,0,21
ANDHRA PRADESH,KHAMMAM,PINAPAKA,0,0,11,11,0,11
ANDHRA PRADESH,KHAMMAM,SATHUPALLE,1,3,31,35,3,38
ANDHRA PRADESH,KHAMMAM,SINGARENI,0,0,0,0,2,2
ANDHRA PRADESH,KHAMMAM,TEKULAPALLE,3,78,43,124,0,124
ANDHRA PRADESH,KHAMMAM,THALLADA,0,0,168,168,1,169
ANDHRA PRADESH,KHAMMAM,THIRUMALAYAPALEM,0,0,0,0,3,3
ANDHRA PRADESH,KHAMMAM,VARARAMACHANDRAPURAM,5,219,130,354,58,412
ANDHRA PRADESH,KHAMMAM,VELAIRPAD,10,55,69,134,0,134
ANDHRA PRADESH,KHAMMAM,VEMSOOR,0,0,0,0,1,1
ANDHRA PRADESH,KHAMMAM,VENKATAPURAM,14,107,229,350,1,351
ANDHRA PRADESH,KHAMMAM,WAZEED,14,36,24,74,0,74
ANDHRA PRADESH,KHAMMAM,WYRA,9,0,69,78,0,78
ANDHRA PRADESH,KHAMMAM,YERRUPALEM,1,0,47,48,0,48
ANDHRA PRADESH,KRISHNA,AGIRIPALLE,0,0,0,0,2,2
ANDHRA PRADESH,KRISHNA,BAPULAPADU,3,0,10,13,0,13
ANDHRA PRADESH,KRISHNA,CHANDARLAPADU,0,0,0,0,5,5
ANDHRA PRADESH,KRISHNA,CHATRAI,0,0,0,0,1,1
ANDHRA PRADESH,KRISHNA,GAMPALAGUDEM,0,0,1,1,2,3
ANDHRA PRADESH,KRISHNA,GANNAVARAM,0,0,0,0,3,3
ANDHRA PRADESH,KRISHNA,IBRAHIMPATNAM,0,0,0,0,2,2
ANDHRA PRADESH,KRISHNA,JAGGAYYAPETA,0,0,0,0,3,3
ANDHRA PRADESH,KRISHNA,KAIKALUR,0,0,9,9,1,10
ANDHRA PRADESH,KRISHNA,KALIDINDI,0,0,2,2,4,6
ANDHRA PRADESH,KRISHNA,KANCHIKACHERLA,0,0,0,0,3,3
ANDHRA PRADESH,KRISHNA,MANDAVALLI,1,0,3,4,0,4
ANDHRA PRADESH,KRISHNA,MUDINEPALLE,0,0,21,21,0,21
ANDHRA PRADESH,KRISHNA,MUSUNURU,0,0,0,0,1,1
ANDHRA PRADESH,KRISHNA,NAGAYALANKA,0,0,0,0,1,1
ANDHRA PRADESH,KRISHNA,NANDIGAMA,0,0,0,0,2,2
ANDHRA PRADESH,KRISHNA,NANDIVADA,0,0,2,2,0,2
ANDHRA PRADESH,KRISHNA,PAMARRU,0,0,1,1,0,1
ANDHRA PRADESH,KRISHNA,PEDANA,0,0,0,0,1,1
ANDHRA PRADESH,KRISHNA,PENAMALURU,0,1,2,3,1,4
ANDHRA PRADESH,KRISHNA,REDDIGUDEM,0,0,0,0,1,1
ANDHRA PRADESH,KRISHNA,TIRUVURU,0,0,0,0,1,1
ANDHRA PRADESH,KRISHNA,UNGUTURU,1,0,1,2,1,3
ANDHRA PRADESH,KRISHNA,VATSAVAI,0,0,0,0,2,2
ANDHRA PRADESH,KRISHNA,VEERULLAPADU,0,0,0,0,3,3
ANDHRA PRADESH,KRISHNA,VIJAYAWADA (URBAN),0,0,0,0,1,1
ANDHRA PRADESH,KRISHNA,VISSANNAPET,0,0,0,0,1,1
ANDHRA PRADESH,KURNOOL,ADONI,8,0,50,58,1,59
ANDHRA PRADESH,KURNOOL,BANAGANAPALLE,0,0,0,0,1,1
ANDHRA PRADESH,KURNOOL,BANDI ATMAKUR,3,0,139,142,0,142
ANDHRA PRADESH,KURNOOL,C.BELAGAL,9,0,142,151,2,153
ANDHRA PRADESH,KURNOOL,DORNIPADU,0,0,11,11,0,11
ANDHRA PRADESH,KURNOOL,GOSPADU,0,0,48,48,0,48
ANDHRA PRADESH,KURNOOL,HALAHARVI,2,0,41,43,1,44
ANDHRA PRADESH,KURNOOL,HOLAGUNDA,3,0,48,51,0,51
ANDHRA PRADESH,KURNOOL,KOILKUNTLA,7,1,209,217,39,256
ANDHRA PRADESH,KURNOOL,KOSIGI,0,0,65,65,0,65
ANDHRA PRADESH,KURNOOL,KOTHAPALLE,0,0,16,16,0,16
ANDHRA PRADESH,KURNOOL,KOWTHALAM,1,0,65,66,2,68
ANDHRA PRADESH,KURNOOL,MAHANANDI,0,0,0,0,8,8
ANDHRA PRADESH,KURNOOL,MANTRALAYAM,6,0,88,94,0,94
ANDHRA PRADESH,KURNOOL,NANDAVARAM,12,0,190,202,0,202
ANDHRA PRADESH,KURNOOL,NANDYAL,11,0,69,80,0,80
ANDHRA PRADESH,KURNOOL,PANYAM,1,2,41,44,0,44
ANDHRA PRADESH,KURNOOL,UYYALAWADA,2,0,239,241,0,241
ANDHRA PRADESH,MAHABOOB NAGAR,AIZA,6,0,87,93,1,94
ANDHRA PRADESH,MAHABOOB NAGAR,ALAMPUR,0,0,6,6,1,7
ANDHRA PRADESH,MAHABOOB NAGAR,ATMAKUR,8,1,192,201,2,203
ANDHRA PRADESH,MAHABOOB NAGAR,GADWAL,8,0,87,95,32,127
ANDHRA PRADESH,MAHABOOB NAGAR,ITIKYAL,0,0,5,5,0,5
ANDHRA PRADESH,MAHABOOB NAGAR,MAGANOOR,0,0,2,2,56,58
ANDHRA PRADESH,MAHABOOB NAGAR,MAKTHAL,0,0,6,6,3,9
ANDHRA PRADESH,MAHABOOB NAGAR,MANOPADU,16,0,169,185,0,185
ANDHRA PRADESH,MAHABOOB NAGAR,PEBBAIR,1,0,8,9,0,9
ANDHRA PRADESH,MAHABOOB NAGAR,VEEPANGANDLA,0,0,0,0,1,1
ANDHRA PRADESH,MAHABOOB NAGAR,WADDEPALLE,25,1,246,272,6,278
ANDHRA PRADESH,MEDAK,ANDOLE,0,0,24,24,0,24
ANDHRA PRADESH,MEDAK,PAPANNAPET,0,0,115,115,0,115
ANDHRA PRADESH,MEDAK,SHANKARAMPET[A],4,5,81,90,0,90
ANDHRA PRADESH,NALGONDA,ANUMULA,0,0,0,0,7,7
ANDHRA PRADESH,NALGONDA,CHILKUR,2,8,78,88,1,89
ANDHRA PRADESH,NALGONDA,DAMERACHERLA,0,7,16,23,0,23
ANDHRA PRADESH,NALGONDA,DEVARAKONDA,0,7,2,9,0,9
ANDHRA PRADESH,NALGONDA,GARIDE PALLE,4,0,193,197,2,199
ANDHRA PRADESH,NALGONDA,HUZURNAGAR,12,0,208,220,0,220
ANDHRA PRADESH,NALGONDA,KETHE PALLE,1,0,0,1,0,1
ANDHRA PRADESH,NALGONDA,KODAD,5,0,192,197,0,197
ANDHRA PRADESH,NALGONDA,MATTAM PALLE,6,12,99,117,2,119
ANDHRA PRADESH,NALGONDA,MELLA CHERVU,3,1,124,128,0,128
ANDHRA PRADESH,NALGONDA,MIRYALAGUDA,12,22,123,157,6,163
ANDHRA PRADESH,NALGONDA,MOTHEY,0,0,1,1,0,1
ANDHRA PRADESH,NALGONDA,MUNAGALA,0,0,0,0,2,2
ANDHRA PRADESH,NALGONDA,NEREDCHERLA,4,9,122,135,3,138
ANDHRA PRADESH,NALGONDA,NIDAMANOOR,0,2,62,64,9,73
ANDHRA PRADESH,NALGONDA,PEDDAVOORA,16,21,227,264,187,451
ANDHRA PRADESH,NALGONDA,PENPAHAD,1,0,14,15,2,17
ANDHRA PRADESH,NALGONDA,THRIPURARAM,8,0,24,32,5,37
ANDHRA PRADESH,NALGONDA,VEMULA PALLE,0,3,0,3,9,12
ANDHRA PRADESH,NELLORE,ALLUR,5,1,61,67,4,71
ANDHRA PRADESH,NELLORE,ANANTHASAGARAM,0,0,12,12,4,16
ANDHRA PRADESH,NELLORE,ANUMASAMUDRAMPETA,1,0,41,42,0,42
ANDHRA PRADESH,NELLORE,ATMAKUR,6,1,57,64,2,66
ANDHRA PRADESH,NELLORE,BALAYAPALLE,22,1,239,262,3,265
ANDHRA PRADESH,NELLORE,BUT'PALEM (VAVVERU),0,0,17,17,3,20
ANDHRA PRADESH,NELLORE,CHEJERLA,4,4,70,78,2,80
ANDHRA PRADESH,NELLORE,CHILLAKUR,4,0,134,138,0,138
ANDHRA PRADESH,NELLORE,DAGADARTHI,0,0,1,1,3,4
ANDHRA PRADESH,NELLORE,DAKKILI,27,18,159,204,1,205
ANDHRA PRADESH,NELLORE,DUTTALUR,5,0,31,36,0,36
ANDHRA PRADESH,NELLORE,GUDUR,1,0,5,6,0,6
ANDHRA PRADESH,NELLORE,KALIGIRI,1,0,0,1,0,1
ANDHRA PRADESH,NELLORE,KALUVOYA,3,1,50,54,0,54
ANDHRA PRADESH,NELLORE,KAVALI,2,1,30,33,0,33
ANDHRA PRADESH,NELLORE,KODAVALUR,7,1,38,46,0,46
ANDHRA PRADESH,NELLORE,KONDAPURAM,5,0,39,44,10,54
ANDHRA PRADESH,NELLORE,KOTA,5,6,3,14,0,14
ANDHRA PRADESH,NELLORE,MANUBOLU,0,0,4,4,0,4
ANDHRA PRADESH,NELLORE,MARRIPADU,7,1,90,98,3,101
ANDHRA PRADESH,NELLORE,NELLORE,13,5,143,161,7,168
ANDHRA PRADESH,NELLORE,PODALAKUR,23,6,276,305,2,307
ANDHRA PRADESH,NELLORE,RAPUR,11,0,20,31,0,31
ANDHRA PRADESH,NELLORE,SANGAM,4,0,93,97,25,122
ANDHRA PRADESH,NELLORE,SULLURPETA,18,0,36,54,0,54
ANDHRA PRADESH,NELLORE,SYDAPURAM,8,5,103,116,1,117
ANDHRA PRADESH,NELLORE,TADA,23,0,121,144,0,144
ANDHRA PRADESH,NELLORE,VARIKUNTAPADU,1,0,3,4,0,4
ANDHRA PRADESH,NELLORE,VENKATACHALAM,6,1,38,45,1,46
ANDHRA PRADESH,NELLORE,VENKATAGIRI,33,11,121,165,0,165
ANDHRA PRADESH,NELLORE,VIDAVULUR,1,5,40,46,0,46
ANDHRA PRADESH,NELLORE,VINJAMUR,1,0,39,40,0,40
ANDHRA PRADESH,NIZAMABAD,BANSWADA,19,0,130,149,2,151
ANDHRA PRADESH,NIZAMABAD,BICHKUNDA,2,2,83,87,0,87
ANDHRA PRADESH,NIZAMABAD,BIRKOOR,1,0,31,32,3,35
ANDHRA PRADESH,NIZAMABAD,BODHAN,1,0,41,42,3,45
ANDHRA PRADESH,NIZAMABAD,JUKKAL,1,0,16,17,0,17
ANDHRA PRADESH,NIZAMABAD,KOTGIRI,0,0,67,67,0,67
ANDHRA PRADESH,NIZAMABAD,LINGAMPET,4,1,121,126,0,126
ANDHRA PRADESH,NIZAMABAD,MORTAD,21,2,88,111,0,111
ANDHRA PRADESH,NIZAMABAD,NAGAREDDIPET,9,4,126,139,2,141
ANDHRA PRADESH,NIZAMABAD,NIZAMSAGAR,15,8,207,230,0,230
ANDHRA PRADESH,NIZAMABAD,PITLAM,5,10,142,157,5,162
ANDHRA PRADESH,NIZAMABAD,YELLAREDDY,13,13,137,163,0,163
ANDHRA PRADESH,PRAKASAM,ADDANKI,1,1,52,54,2,56
ANDHRA PRADESH,PRAKASAM,ARDHAVEEDU,0,0,12,12,0,12
ANDHRA PRADESH,PRAKASAM,BALLIKURAVA,0,0,0,0,2,2
ANDHRA PRADESH,PRAKASAM,C.SEKHARA PURAM,3,0,82,85,0,85
ANDHRA PRADESH,PRAKASAM,CHIMAKURTHI,0,0,1,1,2,3
ANDHRA PRADESH,PRAKASAM,CHINAGANJAM,0,0,1,1,4,5
ANDHRA PRADESH,PRAKASAM,CHIRALA,0,0,0,0,7,7
ANDHRA PRADESH,PRAKASAM,DONAKONDA,0,0,9,9,0,9
ANDHRA PRADESH,PRAKASAM,INKOLLU,0,1,6,7,9,16
ANDHRA PRADESH,PRAKASAM,JANAKAVARAMPANGULURU,0,0,9,9,6,15
ANDHRA PRADESH,PRAKASAM,KANDUKUR,0,0,0,0,5,5
ANDHRA PRADESH,PRAKASAM,KANIGIRI,0,0,5,5,11,16
ANDHRA PRADESH,PRAKASAM,KARAMCHEDU,0,0,1,1,36,37
ANDHRA PRADESH,PRAKASAM,KONAKANAMITLA,1,0,15,16,0,16
ANDHRA PRADESH,PRAKASAM,KONDAPI,1,0,26,27,8,35
ANDHRA PRADESH,PRAKASAM,KORISAPADU,0,0,27,27,0,27
ANDHRA PRADESH,PRAKASAM,KOTHA PATNAM,1,0,3,4,4,8
ANDHRA PRADESH,PRAKASAM,KURICHEDU,0,0,0,0,2,2
ANDHRA PRADESH,PRAKASAM,LINGASAMUDRAM,0,0,0,0,2,2
ANDHRA PRADESH,PRAKASAM,MADDIPADU,3,0,95,98,2,100
ANDHRA PRADESH,PRAKASAM,MARKAPUR,0,0,0,0,1,1
ANDHRA PRADESH,PRAKASAM,MARTUR,0,0,15,15,0,15
ANDHRA PRADESH,PRAKASAM,MUNDLAMURU,1,0,22,23,0,23
ANDHRA PRADESH,PRAKASAM,NAGULUPPALA PADU,1,0,9,10,7,17
ANDHRA PRADESH,PRAKASAM,ONGOLE,1,0,8,9,4,13
ANDHRA PRADESH,PRAKASAM,PAMUR,1,0,37,38,0,38
ANDHRA PRADESH,PRAKASAM,PARCHUR,0,0,0,0,33,33
ANDHRA PRADESH,PRAKASAM,PEDACHERLO PALLE,0,0,75,75,2,77
ANDHRA PRADESH,PRAKASAM,PODILI,3,0,11,14,2,16
ANDHRA PRADESH,PRAKASAM,PONNALUR,3,0,9,12,1,13
ANDHRA PRADESH,PRAKASAM,SANTHAMAGULURU,2,0,35,37,3,40
ANDHRA PRADESH,PRAKASAM,SANTHANUTHALA PADU,1,0,23,24,2,26
ANDHRA PRADESH,PRAKASAM,SINGARAYA KONDA,0,0,0,0,2,2
ANDHRA PRADESH,PRAKASAM,TANGUTUR,2,0,29,31,0,31
ANDHRA PRADESH,PRAKASAM,THALLUR,0,0,0,0,2,2
ANDHRA PRADESH,PRAKASAM,TRIPURANTHAKAM,0,0,4,4,0,4
ANDHRA PRADESH,PRAKASAM,ULAVAPADU,10,0,115,125,1,126
ANDHRA PRADESH,PRAKASAM,VETA PALEM,0,0,0,0,5,5
ANDHRA PRADESH,PRAKASAM,VOLETIVARI PALEM,0,0,0,0,1,1
ANDHRA PRADESH,PRAKASAM,YADDANA PUDI,0,1,61,62,2,64
ANDHRA PRADESH,PRAKASAM,ZARUGUMALLI,0,0,17,17,2,19
ANDHRA PRADESH,RANGA REDDY,BASHEERABAD,0,0,0,0,2,2
ANDHRA PRADESH,RANGA REDDY,DHARUR,0,0,0,0,12,12
ANDHRA PRADESH,RANGA REDDY,GHATKESAR,11,0,93,104,0,104
ANDHRA PRADESH,RANGA REDDY,HAYATHNAGAR,17,0,148,165,32,197
ANDHRA PRADESH,RANGA REDDY,RAJENDRANAGAR,0,0,25,25,0,25
ANDHRA PRADESH,RANGA REDDY,UPPAL,28,0,127,155,1,156
ANDHRA PRADESH,SRIKAKULUM,BHAMINI,0,0,0,0,3,3
ANDHRA PRADESH,SRIKAKULUM,ETCHERLA,0,0,0,0,4,4
ANDHRA PRADESH,SRIKAKULUM,GARA,2,0,15,17,0,17
ANDHRA PRADESH,SRIKAKULUM,KOTTURU,0,0,0,0,2,2
ANDHRA PRADESH,SRIKAKULUM,MANDASA,0,0,0,0,1,1
ANDHRA PRADESH,SRIKAKULUM,PALAKONDA,0,0,0,0,1,1
ANDHRA PRADESH,SRIKAKULUM,SARAVAKOTA,0,0,0,0,1,1
ANDHRA PRADESH,SRIKAKULUM,SEETHAMPETA,0,0,3,3,7,10
ANDHRA PRADESH,SRIKAKULUM,SOMPETA,0,0,3,3,0,3
