-----
{
 "description": "The table refers to block wise distribution of surface flow schemes in the major/medium project command. It has been sourced from 2nd census of minor irrigation scheme(1993-94) from Ministry of Water Resources.", 
 "file_name": "blcktab4.9.csv", 
 "title": "Download CSV for Blockwise Surface Flow Schemes in the major/medium project command for 2nd census of Minor Irrigation Schemes (1993-94)", 
 "url": "http://data.gov.in/sites/default/files/blcktab4.9.csv"
}
-----
State,District,Block,Location of Schemes - On the command,Location of schemes - Outside command,Location of schemes - Augmentation,Total
ANDHRA PRADESH,ANANTHAPUR,AMARAPURAM,2,21,0,23
ANDHRA PRADESH,ANANTHAPUR,ANANTAPUR,1,8,0,9
ANDHRA PRADESH,ANANTHAPUR,ATMAKUR,2,6,0,8
ANDHRA PRADESH,ANANTHAPUR,BATHALAPALLE,0,69,0,69
ANDHRA PRADESH,ANANTHAPUR,BELUGUPPA,0,7,0,7
ANDHRA PRADESH,ANANTHAPUR,BOMMANAHAL,0,8,0,8
ANDHRA PRADESH,ANANTHAPUR,BRAHMASAMUDRAM,1,14,0,15
ANDHRA PRADESH,ANANTHAPUR,BUKKAPATNAM,0,33,0,33
ANDHRA PRADESH,ANANTHAPUR,BUKKARAYASAMUDRAM,0,35,0,35
ANDHRA PRADESH,ANANTHAPUR,CHENNEKOTHAPALLE,0,10,0,10
ANDHRA PRADESH,ANANTHAPUR,CHILAMATHUR,0,66,0,66
ANDHRA PRADESH,ANANTHAPUR,D.HIREHAL,0,19,0,19
ANDHRA PRADESH,ANANTHAPUR,DHARMAVARAM,0,82,0,82
ANDHRA PRADESH,ANANTHAPUR,GANDLAPENTA,1,54,0,55
ANDHRA PRADESH,ANANTHAPUR,GARLADINNE,11,9,0,20
ANDHRA PRADESH,ANANTHAPUR,GOOTY,0,49,0,49
ANDHRA PRADESH,ANANTHAPUR,GORANTLA,0,82,0,82
ANDHRA PRADESH,ANANTHAPUR,GUDIBANDA,1,37,0,38
ANDHRA PRADESH,ANANTHAPUR,GUMMAGATA,0,26,0,26
ANDHRA PRADESH,ANANTHAPUR,GUNTAKAL,1,49,0,50
ANDHRA PRADESH,ANANTHAPUR,HINDUPUR,0,50,0,50
ANDHRA PRADESH,ANANTHAPUR,KADIRI,0,75,0,75
ANDHRA PRADESH,ANANTHAPUR,KALYANDRUG,0,5,0,5
ANDHRA PRADESH,ANANTHAPUR,KAMBADUR,0,88,0,88
ANDHRA PRADESH,ANANTHAPUR,KANAGANAPALLE,2,57,0,59
ANDHRA PRADESH,ANANTHAPUR,KANEKAL,0,16,0,16
ANDHRA PRADESH,ANANTHAPUR,KOTHACHERUVU,0,22,0,22
ANDHRA PRADESH,ANANTHAPUR,KUDAIR,0,103,0,103
ANDHRA PRADESH,ANANTHAPUR,KUNDURPI,0,99,0,99
ANDHRA PRADESH,ANANTHAPUR,LEPAKSHI,0,45,0,45
ANDHRA PRADESH,ANANTHAPUR,MADAKASIRA,0,57,0,57
ANDHRA PRADESH,ANANTHAPUR,MUDIGUBBA,1,78,2,81
ANDHRA PRADESH,ANANTHAPUR,NALLACHERUVU,0,44,0,44
ANDHRA PRADESH,ANANTHAPUR,NALLAMADA,0,38,0,38
ANDHRA PRADESH,ANANTHAPUR,NAMBULAPULIKUNTA,0,67,0,67
ANDHRA PRADESH,ANANTHAPUR,NARPALA,1,46,0,47
ANDHRA PRADESH,ANANTHAPUR,OBULADEVARACHERUVU,0,40,0,40
ANDHRA PRADESH,ANANTHAPUR,PAMIDI,0,37,0,37
ANDHRA PRADESH,ANANTHAPUR,PARIGI,0,25,0,25
ANDHRA PRADESH,ANANTHAPUR,PEDDAPAPPUR,0,10,0,10
ANDHRA PRADESH,ANANTHAPUR,PEDDAVADUGUR,0,57,0,57
ANDHRA PRADESH,ANANTHAPUR,PENUKONDA,0,82,0,82
ANDHRA PRADESH,ANANTHAPUR,PUTLUR,1,1,0,2
ANDHRA PRADESH,ANANTHAPUR,PUTTAPARTHI,0,36,0,36
ANDHRA PRADESH,ANANTHAPUR,RAMAGIRI,1,47,0,48
ANDHRA PRADESH,ANANTHAPUR,RAPTADU,0,13,0,13
ANDHRA PRADESH,ANANTHAPUR,RAYADURG,1,25,0,26
ANDHRA PRADESH,ANANTHAPUR,RODDAM,0,63,0,63
ANDHRA PRADESH,ANANTHAPUR,ROLLA,0,31,0,31
ANDHRA PRADESH,ANANTHAPUR,SETTUR,0,11,0,11
ANDHRA PRADESH,ANANTHAPUR,SINGANAMALA,0,59,0,59
ANDHRA PRADESH,ANANTHAPUR,SOMANDEPALLE,0,47,0,47
ANDHRA PRADESH,ANANTHAPUR,TADIMARRI,0,77,0,77
ANDHRA PRADESH,ANANTHAPUR,TADPATRI,0,18,0,18
ANDHRA PRADESH,ANANTHAPUR,TALUPULA,0,60,0,60
ANDHRA PRADESH,ANANTHAPUR,TANAKAL,2,91,0,93
ANDHRA PRADESH,ANANTHAPUR,URAVAKONDA,0,85,0,85
ANDHRA PRADESH,ANANTHAPUR,VAJRAKARUR,0,31,0,31
ANDHRA PRADESH,ANANTHAPUR,VIDAPANAKAL,0,2,0,2
ANDHRA PRADESH,ANANTHAPUR,YADIKI,0,19,0,19
ANDHRA PRADESH,ANANTHAPUR,YELLANUR,0,19,0,19
ANDHRA PRADESH,CHITTOOR,B.KOTHAKOTA,0,186,0,186
ANDHRA PRADESH,CHITTOOR,BAIREDDIPALLE,0,162,0,162
ANDHRA PRADESH,CHITTOOR,BANGARUPALEM,0,42,1,43
ANDHRA PRADESH,CHITTOOR,BUCHINAIDU KHANDRIGA,1,81,0,82
ANDHRA PRADESH,CHITTOOR,CHANDRAGIRI,0,9,0,9
ANDHRA PRADESH,CHITTOOR,CHINNAGOTTIGALLU,1,179,1,181
ANDHRA PRADESH,CHITTOOR,CHITTOOR,0,45,0,45
ANDHRA PRADESH,CHITTOOR,CHOWDE[ALLE,0,239,0,239
ANDHRA PRADESH,CHITTOOR,GANGADHARA NELLORE,0,118,0,118
ANDHRA PRADESH,CHITTOOR,GANGAVARAM,0,186,0,186
ANDHRA PRADESH,CHITTOOR,GUDIPALA,0,56,0,56
ANDHRA PRADESH,CHITTOOR,GUDUPALLE,2,150,0,152
ANDHRA PRADESH,CHITTOOR,GURRAMKONDA,0,145,0,145
ANDHRA PRADESH,CHITTOOR,IRALA,0,111,0,111
ANDHRA PRADESH,CHITTOOR,K.V.B. PURAM,0,95,0,95
ANDHRA PRADESH,CHITTOOR,KALAKADA,0,113,1,114
ANDHRA PRADESH,CHITTOOR,KALIKIRI,0,152,1,153
ANDHRA PRADESH,CHITTOOR,KAMACHANDRA PURAM,0,4,0,4
ANDHRA PRADESH,CHITTOOR,KAMBHAMVARIPALLE,0,222,0,222
ANDHRA PRADESH,CHITTOOR,KARVETINAGAR,23,29,0,52
ANDHRA PRADESH,CHITTOOR,KUPPAM,0,110,8,118
ANDHRA PRADESH,CHITTOOR,KURABALAKOTA,0,160,0,160
ANDHRA PRADESH,CHITTOOR,MADANAPALLE,0,155,0,155
ANDHRA PRADESH,CHITTOOR,MULAKALACHERUVU,0,139,0,139
ANDHRA PRADESH,CHITTOOR,NAGALAPURAM,1,28,0,29
ANDHRA PRADESH,CHITTOOR,NAGARI,0,35,0,35
ANDHRA PRADESH,CHITTOOR,NARAYANAVANAM,1,19,0,20
ANDHRA PRADESH,CHITTOOR,NIMMANAPALLE,0,172,0,172
ANDHRA PRADESH,CHITTOOR,NINDRA,0,30,0,30
ANDHRA PRADESH,CHITTOOR,PAKALA,0,115,0,115
ANDHRA PRADESH,CHITTOOR,PALAMANERU,0,104,0,104
ANDHRA PRADESH,CHITTOOR,PALASAMUDRAM,1,30,0,31
ANDHRA PRADESH,CHITTOOR,PEDDAMANDYAM,0,122,0,122
ANDHRA PRADESH,CHITTOOR,PEDDAPANJANI,0,261,0,261
ANDHRA PRADESH,CHITTOOR,PEDDATHIPPASAMDRAM,8,119,0,127
ANDHRA PRADESH,CHITTOOR,PENUMURU,0,72,0,72
ANDHRA PRADESH,CHITTOOR,PICHATURU,5,27,1,33
ANDHRA PRADESH,CHITTOOR,PILERU,2,229,0,231
ANDHRA PRADESH,CHITTOOR,PULICHERLA,0,204,0,204
ANDHRA PRADESH,CHITTOOR,PUNGANURU,0,206,0,206
ANDHRA PRADESH,CHITTOOR,PUTHALAPATTU,0,98,0,98
ANDHRA PRADESH,CHITTOOR,PUTTURU,0,32,0,32
ANDHRA PRADESH,CHITTOOR,RAMAKUPPAM,0,119,0,119
ANDHRA PRADESH,CHITTOOR,RAMASAMUDRAM,0,198,0,198
ANDHRA PRADESH,CHITTOOR,RENIGUNTA,0,46,0,46
ANDHRA PRADESH,CHITTOOR,ROMPICHERLA,0,179,0,179
ANDHRA PRADESH,CHITTOOR,SANTHIPURAM,0,145,0,145
ANDHRA PRADESH,CHITTOOR,SATYAVEDU,0,112,0,112
ANDHRA PRADESH,CHITTOOR,SODAM,0,297,0,297
ANDHRA PRADESH,CHITTOOR,SOMALA,0,187,0,187
ANDHRA PRADESH,CHITTOOR,SRIKALAHASTI,1,105,0,106
ANDHRA PRADESH,CHITTOOR,SRIRANGARAJAPURAM,0,30,0,30
ANDHRA PRADESH,CHITTOOR,THAMBALLAPALLE,0,137,0,137
ANDHRA PRADESH,CHITTOOR,THAVANAMPALLE,0,70,0,70
ANDHRA PRADESH,CHITTOOR,THOTTAMBEDA,0,92,0,92
ANDHRA PRADESH,CHITTOOR,TIRUPATI (RURAL),0,10,0,10
ANDHRA PRADESH,CHITTOOR,TIRUPATI (URBAN),0,10,0,10
ANDHRA PRADESH,CHITTOOR,VADAMALAPETA,0,19,0,19
ANDHRA PRADESH,CHITTOOR,VARADAIAHPALEM,0,74,0,74
ANDHRA PRADESH,CHITTOOR,VAYALPAD,4,151,0,155
ANDHRA PRADESH,CHITTOOR,VEDURUKUPPAM,0,109,5,114
ANDHRA PRADESH,CHITTOOR,VENKATAGIRIKOTA,0,145,0,145
ANDHRA PRADESH,CHITTOOR,VIJAYAPURAM,0,32,0,32
ANDHRA PRADESH,CHITTOOR,YADAMARI,0,57,0,57
ANDHRA PRADESH,CHITTOOR,YERPEDU,0,93,0,93
ANDHRA PRADESH,CHITTOOR,YERRAVARIPALEM,1,260,0,261
ANDHRA PRADESH,CUDDAPAH,ATLUR,1,35,0,36
ANDHRA PRADESH,CUDDAPAH,B.KODUR,1,38,0,39
ANDHRA PRADESH,CUDDAPAH,BADVEL,0,31,0,31
ANDHRA PRADESH,CUDDAPAH,BRAHMAMGARIMATHAM,0,39,0,39
ANDHRA PRADESH,CUDDAPAH,CHAKARAYAPET,1,87,0,88
ANDHRA PRADESH,CUDDAPAH,CHAPAD,0,1,0,1
ANDHRA PRADESH,CUDDAPAH,CHENNAMANDEM,1,126,0,127
ANDHRA PRADESH,CUDDAPAH,CHENNUR,NA,NA,NA,NA
ANDHRA PRADESH,CUDDAPAH,CHINTHAKOMMADINNE,0,45,0,45
ANDHRA PRADESH,CUDDAPAH,CHITVEL,0,8,0,8
ANDHRA PRADESH,CUDDAPAH,CUDDAPAH,0,7,0,7
ANDHRA PRADESH,CUDDAPAH,DUVVUR,1,269,0,270
ANDHRA PRADESH,CUDDAPAH,GALIVEEDU,0,214,0,214
ANDHRA PRADESH,CUDDAPAH,GOPAVARAM,0,35,0,35
ANDHRA PRADESH,CUDDAPAH,JAMMALAMADUGU,0,15,0,15
ANDHRA PRADESH,CUDDAPAH,KALASAPADU,0,30,1,31
ANDHRA PRADESH,CUDDAPAH,KAMALAPURAM,0,6,0,6
ANDHRA PRADESH,CUDDAPAH,KHAJIPET,1,1,0,2
ANDHRA PRADESH,CUDDAPAH,KODUR,2,11,0,13
ANDHRA PRADESH,CUDDAPAH,KONDAPURAM,0,2,0,2
ANDHRA PRADESH,CUDDAPAH,LAKKIREDDIPALLE,0,114,0,114
ANDHRA PRADESH,CUDDAPAH,LINGALA,NA,NA,NA,NA
ANDHRA PRADESH,CUDDAPAH,MUDDANUR,0,10,0,10
ANDHRA PRADESH,CUDDAPAH,MYLAVARAM,0,29,0,29
ANDHRA PRADESH,CUDDAPAH,NANDALUR,0,26,0,26
ANDHRA PRADESH,CUDDAPAH,OBULAVARIPALLE,0,27,0,27
ANDHRA PRADESH,CUDDAPAH,PEDDAMUDIUM,0,3,0,3
ANDHRA PRADESH,CUDDAPAH,PENAGALUR,0,24,0,24
ANDHRA PRADESH,CUDDAPAH,PENDLIMARRI,NA,NA,NA,NA
ANDHRA PRADESH,CUDDAPAH,PORUMAMILLA,1,50,0,51
ANDHRA PRADESH,CUDDAPAH,PRODDUTUR,NA,NA,NA,NA
ANDHRA PRADESH,CUDDAPAH,PULIVENDLA,NA,NA,NA,NA
ANDHRA PRADESH,CUDDAPAH,PULLAMPETA,0,30,0,30
ANDHRA PRADESH,CUDDAPAH,RAJAMPET,2,21,0,23
ANDHRA PRADESH,CUDDAPAH,RAJUPALEM,0,1,0,1
ANDHRA PRADESH,CUDDAPAH,RAMAPURAM,0,84,0,84
ANDHRA PRADESH,CUDDAPAH,ROYACHOTI,0,123,0,123
ANDHRA PRADESH,CUDDAPAH,S.MYDUKUR,0,12,0,12
ANDHRA PRADESH,CUDDAPAH,SAMBEPALLE,0,56,0,56
ANDHRA PRADESH,CUDDAPAH,SIDHOUT,NA,NA,NA,NA
ANDHRA PRADESH,CUDDAPAH,SIMHADRIPURAM,NA,NA,NA,NA
ANDHRA PRADESH,CUDDAPAH,T.SUNDUPALLE,3,99,0,102
ANDHRA PRADESH,CUDDAPAH,THONDUR,0,5,0,5
ANDHRA PRADESH,CUDDAPAH,VALLUR,0,6,0,6
ANDHRA PRADESH,CUDDAPAH,VEERABALLE,0,78,0,78
ANDHRA PRADESH,CUDDAPAH,VEERAPUNAYUNIPALLE,0,4,0,4
ANDHRA PRADESH,CUDDAPAH,VEMPALLE,0,13,0,13
ANDHRA PRADESH,CUDDAPAH,VEMULA,0,11,0,11
ANDHRA PRADESH,CUDDAPAH,VONTIMITTA,0,18,0,18
ANDHRA PRADESH,CUDDAPAH,YERRAGUNTLA,0,4,0,4
ANDHRA PRADESH,EAST GODAVARI,ADDATEEGALA,10,61,0,71
ANDHRA PRADESH,EAST GODAVARI,AINAVILLI,NA,NA,NA,NA
ANDHRA PRADESH,EAST GODAVARI,ALAMURU,NA,NA,NA,NA
ANDHRA PRADESH,EAST GODAVARI,ALLAVARAM,NA,NA,NA,NA
ANDHRA PRADESH,EAST GODAVARI,AMALAPURAM,NA,NA,NA,NA
ANDHRA PRADESH,EAST GODAVARI,AMBAJIPETA,NA,NA,NA,NA
ANDHRA PRADESH,EAST GODAVARI,ANAPARTHY,0,18,0,18
ANDHRA PRADESH,EAST GODAVARI,ATREYAPURAM,NA,NA,NA,NA
ANDHRA PRADESH,EAST GODAVARI,BICCAVOLU,2,31,0,33
ANDHRA PRADESH,EAST GODAVARI,DEVIPATNAM,0,48,0,48
ANDHRA PRADESH,EAST GODAVARI,GANDEPALLE,1,115,0,116
ANDHRA PRADESH,EAST GODAVARI,GANGAVARAM,0,15,0,15
ANDHRA PRADESH,EAST GODAVARI,GOKAVARAM,6,110,0,116
ANDHRA PRADESH,EAST GODAVARI,GOLLAPROLU,0,48,0,48
ANDHRA PRADESH,EAST GODAVARI,I. POLAVARAM,NA,NA,NA,NA
ANDHRA PRADESH,EAST GODAVARI,JAGGAMPETA,0,107,0,107
ANDHRA PRADESH,EAST GODAVARI,KADIAM,0,9,0,9
ANDHRA PRADESH,EAST GODAVARI,KAJULURU,NA,NA,NA,NA
ANDHRA PRADESH,EAST GODAVARI,KAKINADA RURAL,NA,NA,NA,NA
ANDHRA PRADESH,EAST GODAVARI,KAKINADA URBAN,NA,NA,NA,NA
ANDHRA PRADESH,EAST GODAVARI,KAPILESWARAPURAM,NA,NA,NA,NA
ANDHRA PRADESH,EAST GODAVARI,KARAPA,NA,NA,NA,NA
ANDHRA PRADESH,EAST GODAVARI,KATRENIKONA,NA,NA,NA,NA
ANDHRA PRADESH,EAST GODAVARI,KIRLAMPUDI,0,8,0,8
ANDHRA PRADESH,EAST GODAVARI,KORUKONDA,0,110,0,110
ANDHRA PRADESH,EAST GODAVARI,KOTANANDURU,0,89,0,89
ANDHRA PRADESH,EAST GODAVARI,KOTHAPALLE,NA,NA,NA,NA
ANDHRA PRADESH,EAST GODAVARI,KOTHAPETA,NA,NA,NA,NA
ANDHRA PRADESH,EAST GODAVARI,MALIKIPURAM,NA,NA,NA,NA
ANDHRA PRADESH,EAST GODAVARI,MAMIDIKUDURU,NA,NA,NA,NA
ANDHRA PRADESH,EAST GODAVARI,MANDAPETA,0,28,0,28
ANDHRA PRADESH,EAST GODAVARI,MAREDUMILLI,0,11,0,11
ANDHRA PRADESH,EAST GODAVARI,MUMMIDIVARAM,NA,NA,NA,NA
ANDHRA PRADESH,EAST GODAVARI,P.GANNAVARAM,NA,NA,NA,NA
ANDHRA PRADESH,EAST GODAVARI,PAMARRU,NA,NA,NA,NA
ANDHRA PRADESH,EAST GODAVARI,PEDAPUDI,NA,NA,NA,NA
ANDHRA PRADESH,EAST GODAVARI,PEDDAPURAM,1,51,0,52
ANDHRA PRADESH,EAST GODAVARI,PITHAPURAM,NA,NA,NA,NA
ANDHRA PRADESH,EAST GODAVARI,PRATHIPADU,0,85,0,85
ANDHRA PRADESH,EAST GODAVARI,RAJAHMUNDRY RURAL,0,17,0,17
ANDHRA PRADESH,EAST GODAVARI,RAJAHMUNDRY URBAN,NA,NA,NA,NA
ANDHRA PRADESH,EAST GODAVARI,RAJANAGARAM,0,199,0,199
ANDHRA PRADESH,EAST GODAVARI,RAJAVOMMANGI,0,85,0,85
ANDHRA PRADESH,EAST GODAVARI,RAMACHANDRAPURAM,NA,NA,NA,NA
ANDHRA PRADESH,EAST GODAVARI,RAMPACHODAVARAM,0,31,0,31
ANDHRA PRADESH,EAST GODAVARI,RANGAMPETA,0,143,0,143
ANDHRA PRADESH,EAST GODAVARI,RAVULAPALEM,NA,NA,NA,NA
ANDHRA PRADESH,EAST GODAVARI,RAYAVARAM,NA,NA,NA,NA
ANDHRA PRADESH,EAST GODAVARI,RAZOLE,NA,NA,NA,NA
ANDHRA PRADESH,EAST GODAVARI,SAKHINETIPALLE,NA,NA,NA,NA
ANDHRA PRADESH,EAST GODAVARI,SAMALKOTA,3,26,0,29
ANDHRA PRADESH,EAST GODAVARI,SANKHAVARAM,4,110,0,114
ANDHRA PRADESH,EAST GODAVARI,SEETHANAGARAM,NA,NA,NA,NA
ANDHRA PRADESH,EAST GODAVARI,THALLAREVU,NA,NA,NA,NA
ANDHRA PRADESH,EAST GODAVARI,THONDANGI,14,25,0,39
ANDHRA PRADESH,EAST GODAVARI,TUNI,0,102,0,102
ANDHRA PRADESH,EAST GODAVARI,UPPALAGUPTAM,NA,NA,NA,NA
ANDHRA PRADESH,EAST GODAVARI,Y. RAMAVARAM,0,40,0,40
ANDHRA PRADESH,EAST GODAVARI,YELESWARAM,5,19,0,24
ANDHRA PRADESH,GUNTUR,ACHAMPET,5,0,0,5
ANDHRA PRADESH,GUNTUR,AMARAVATHI,3,0,0,3
ANDHRA PRADESH,GUNTUR,AMRUTHALUR,NA,NA,NA,NA
ANDHRA PRADESH,GUNTUR,BAPATLA,NA,NA,NA,NA
ANDHRA PRADESH,GUNTUR,BELLAMKONDA,2,4,0,6
ANDHRA PRADESH,GUNTUR,BHATTIPROLU,NA,NA,NA,NA
ANDHRA PRADESH,GUNTUR,BOLLAPALLE,0,9,0,9
ANDHRA PRADESH,GUNTUR,CHEBROLE,0,1,0,1
ANDHRA PRADESH,GUNTUR,CHERUKUPALLE,NA,NA,NA,NA
ANDHRA PRADESH,GUNTUR,CHILAKALURIPET,0,1,0,1
ANDHRA PRADESH,GUNTUR,DACHEPALLE,NA,NA,NA,NA
ANDHRA PRADESH,GUNTUR,DUGGIRALA,NA,NA,NA,NA
ANDHRA PRADESH,GUNTUR,DURGI,0,3,0,3
ANDHRA PRADESH,GUNTUR,EDLAPADU,2,1,0,3
ANDHRA PRADESH,GUNTUR,GUNTUR,0,12,0,12
ANDHRA PRADESH,GUNTUR,GURAZALA,NA,NA,NA,NA
ANDHRA PRADESH,GUNTUR,IPUR,5,4,0,9
ANDHRA PRADESH,GUNTUR,KAKUMANU,NA,NA,NA,NA
ANDHRA PRADESH,GUNTUR,KAREMPUDI,2,2,0,4
ANDHRA PRADESH,GUNTUR,KARLAPALEM,NA,NA,NA,NA
ANDHRA PRADESH,GUNTUR,KOLLIPARA,NA,NA,NA,NA
ANDHRA PRADESH,GUNTUR,KOLLUR,NA,NA,NA,NA
ANDHRA PRADESH,GUNTUR,KROSURU,6,0,0,6
ANDHRA PRADESH,GUNTUR,MACHAVARAM,10,0,0,10
ANDHRA PRADESH,GUNTUR,MACHERLA,1,4,0,5
ANDHRA PRADESH,GUNTUR,MANGALAGIRI,1,12,0,13
ANDHRA PRADESH,GUNTUR,MEDIKONDURU,1,0,0,1
ANDHRA PRADESH,GUNTUR,MUPPALLA,10,1,0,11
ANDHRA PRADESH,GUNTUR,NADENDLA,3,1,0,4
ANDHRA PRADESH,GUNTUR,NAGARAM,NA,NA,NA,NA
ANDHRA PRADESH,GUNTUR,NARASARAOPET,8,0,0,8
ANDHRA PRADESH,GUNTUR,NEKARIKALLU,2,0,0,2
ANDHRA PRADESH,GUNTUR,NIZAMPATNAM,NA,NA,NA,NA
ANDHRA PRADESH,GUNTUR,NUZENDLA,0,12,0,12
ANDHRA PRADESH,GUNTUR,PEDAKAKANI,0,8,0,8
ANDHRA PRADESH,GUNTUR,PEDAKURAPADU,0,1,0,1
ANDHRA PRADESH,GUNTUR,PEDANANDIPADU,NA,NA,NA,NA
ANDHRA PRADESH,GUNTUR,PHIRANGIPURAM,0,4,0,4
ANDHRA PRADESH,GUNTUR,PIDUGURALLA,0,5,0,5
ANDHRA PRADESH,GUNTUR,PITTALAVANIPALEM,NA,NA,NA,NA
ANDHRA PRADESH,GUNTUR,PONNUR,NA,NA,NA,NA
ANDHRA PRADESH,GUNTUR,PRATHIPADU,0,7,0,7
ANDHRA PRADESH,GUNTUR,RAJUPALEM,1,1,0,2
ANDHRA PRADESH,GUNTUR,RENTACHINTALA,1,1,0,2
ANDHRA PRADESH,GUNTUR,REPALLE,NA,NA,NA,NA
ANDHRA PRADESH,GUNTUR,ROMPICHERLA,9,0,0,9
ANDHRA PRADESH,GUNTUR,SATTENAPALLE,1,1,0,2
ANDHRA PRADESH,GUNTUR,SAV'PURAM KANUM'PUDI,10,0,0,10
ANDHRA PRADESH,GUNTUR,TADEPALLE,0,2,0,2
ANDHRA PRADESH,GUNTUR,TADIKONDA,1,8,0,9
ANDHRA PRADESH,GUNTUR,TENALI,NA,NA,NA,NA
ANDHRA PRADESH,GUNTUR,THULLUR,0,1,0,1
ANDHRA PRADESH,GUNTUR,TSUNDUR,NA,NA,NA,NA
ANDHRA PRADESH,GUNTUR,VATTICHERUKURU,0,1,0,1
ANDHRA PRADESH,GUNTUR,VELDURTHY,0,3,0,3
ANDHRA PRADESH,GUNTUR,VEMURU,NA,NA,NA,NA
ANDHRA PRADESH,GUNTUR,VINUKONDA,3,5,0,8
ANDHRA PRADESH,HYDERABAD,CHARMINAR,0,18,0,18
ANDHRA PRADESH,HYDERABAD,GOLCONDA,0,12,0,12
ANDHRA PRADESH,HYDERABAD,MUSHEERABAD,0,7,0,7
ANDHRA PRADESH,HYDERABAD,SECUNDERABAD,0,1,0,1
