-----
{
 "description": "The table refers to district wise irrigation through supplemntary sources under surface lift schemes. It has been sourced from 2nd census of minor irrigation scheme(1993-94) from Ministry of Water Resources.", 
 "file_name": "srfclftDsttab5.15.csv", 
 "title": "Download CSV for Districtwise Irrigation through supplementary sources under surface lift schemes for 2nd census of minor irrigation schemes (1993-94)", 
 "url": "http://data.gov.in/sites/default/files/srfclftDsttab5.15.csv"
}
-----
"State","District","Supplementary irrigation - Kharif","Supplementary irrigation - Rabi","Supplementary irrigation - Perennial","Supplementary irrigation - Others","Total"
"MADHYA PRADESH","BASTAR",0,9,0,0,9
"MADHYA PRADESH","BETUL",0,30,0,0,30
"MADHYA PRADESH","BHIND",0,0,0,0,0
"MADHYA PRADESH","BHOPAL",0,0,0,0,0
"MADHYA PRADESH","BILASPUR",316,57,0,0,373
"MADHYA PRADESH","CHHATARPUR",0,0,0,3,3
"MADHYA PRADESH","CHHINDWARA",0,0,0,0,0
"MADHYA PRADESH","DAMOH",0,162,0,1,163
"MADHYA PRADESH","DATIA",0,0,0,0,0
"MADHYA PRADESH","DEWAS",1,730,0,4,735
"MADHYA PRADESH","DHAR",57,158,0,0,215
"MADHYA PRADESH","DURG",61,5,5,4,75
"MADHYA PRADESH","GUNA",0,2254,0,0,2254
"MADHYA PRADESH","GWALIOR",9,74,0,0,83
"MADHYA PRADESH","HOSHANGABAD",0,43,0,0,43
"MADHYA PRADESH","INDORE",0,4,0,0,4
"MADHYA PRADESH","JABALPUR",8,21,0,0,29
"MADHYA PRADESH","JHABUA",40,258,0,0,298
"MADHYA PRADESH","KHANDWA",0,0,0,0,0
"MADHYA PRADESH","KHARGONE",2,5,0,0,7
"MADHYA PRADESH","MANDLA",2,0,0,0,2
"MADHYA PRADESH","MANDSAUR",0,126,0,0,126
"MADHYA PRADESH","MORENA",0,187,0,0,187
"MADHYA PRADESH","NARSIMHAPUR",15,43,0,0,58
"MADHYA PRADESH","PANNA",0,805,0,0,805
"MADHYA PRADESH","RAIGARH",55,117,0,0,172
"MADHYA PRADESH","RAIPUR",269,50,0,0,319
"MADHYA PRADESH","RAISEN",0,5,0,0,5
"MADHYA PRADESH","RAJGARH",0,0,0,0,0
"MADHYA PRADESH","RAJNANDGAON",0,0,0,0,0
"MADHYA PRADESH","RATLAM",18,50,0,0,68
"MADHYA PRADESH","REWA",0,163,0,0,163
"MADHYA PRADESH","SAGAR",5,360,0,0,365
"MADHYA PRADESH","SATNA",31,271,0,0,302
"MADHYA PRADESH","SEHORE",0,0,0,0,0
"MADHYA PRADESH","SEONI",0,0,0,0,0
"MADHYA PRADESH","SHAHDOL",0,93,0,0,93
"MADHYA PRADESH","SHAJAPUR",0,112,0,2,114
"MADHYA PRADESH","SHIVPURI",0,929,0,0,929
"MADHYA PRADESH","SIDHI",0,5,0,0,5
"MADHYA PRADESH","SURGUJA",5,712,0,0,717
"MADHYA PRADESH","TIKAMGARH",0,0,0,0,0
"MADHYA PRADESH","UJJAIN",0,14,0,0,14
"MADHYA PRADESH","VIDISHA",4130,306,0,0,4436
"MANIPUR","BISHNUPUR",0,0,0,0,0
"MANIPUR","IMPHAL",0,0,0,0,0
"MANIPUR","THOUBAL",0,0,0,0,0
"MEGHALAYA","JAINTIA HILLS",0,0,0,1,1
"MEGHALAYA","RI BHOI DISTRICT",0,0,0,0,0
"MEGHALAYA","SOUTH GARO HILLS",0,0,0,0,0
"MEGHALAYA","WEST GARO HILLS",0,0,0,0,0
"MEGHALAYA","WEST KHASI HILLS",0,0,0,0,0
"MIZORAM","AIZAWL",0,0,0,0,0
"NAGALAND","KOHIMA",0,0,0,0,0
"ORISSA","ANGUL",10,16,0,0,26
"ORISSA","BALASORE",0,0,0,0,0
"ORISSA","BARAGARH",714,32,9,0,755
"ORISSA","BHADRAK",17,0,0,0,17
"ORISSA","BOLANGIR",0,0,0,0,0
"ORISSA","BOUDH",0,0,0,0,0
"ORISSA","CUTTACK",26,53,1,0,80
"ORISSA","DEOGARH",0,3,0,0,3
"ORISSA","DHENKANAL",0,0,0,0,0
"ORISSA","GAJAPATI",15,0,0,0,15
"ORISSA","GANJAM",1496,8,216,0,1720
"ORISSA","JAGATSINGHPUR",38,21,0,0,59
"ORISSA","JAJPUR",22,24,0,0,46
"ORISSA","JHARSUGUDA",0,0,0,0,0
"ORISSA","KALAHANDI",4,3,295,0,302
"ORISSA","KENDRAPARA",295,612,0,19,926
"ORISSA","KEONJHAR",6,6,137,0,149
"ORISSA","KHURDA",0,0,25,0,25
"ORISSA","KORAPUT",0,0,59,0,59
"ORISSA","MALKANGIRI",0,0,12,0,12
"ORISSA","MAYURBHANJ",7,0,0,0,7
"ORISSA","NAYAGARH",0,0,354,0,354
"ORISSA","NOWRANGPUR",10,4,148,0,162
"ORISSA","NUAPADA",0,0,24,0,24
"ORISSA","PHULBANI",0,0,0,0,0
"ORISSA","PURI",47,64,278,0,389
"ORISSA","RAYAGADA",0,0,54,0,54
"ORISSA","SAMBALPUR",21,3,0,0,24
"ORISSA","SONEPUR",343,215,1,0,559
"ORISSA","SUNDARGARH",0,0,228,0,228
"PUNJAB","AMRITSAR",1223,1224,0,74,2521
"PUNJAB","FARIDKOT",106,118,0,0,224
"PUNJAB","GURDASPUR",67,77,10,0,154
"PUNJAB","HOSHIARPUR",40,40,0,0,80
"PUNJAB","JALANDHAR",0,0,0,0,0
"PUNJAB","KAPURTHALA",0,0,0,0,0
"PUNJAB","PATIALA",0,0,0,0,0
"PUNJAB","ROPAR",45,45,2,0,92
"PUNJAB","SANGRUR",0,0,0,0,0
"RAJASTHAN","AJMER",0,0,0,0,0
"RAJASTHAN","BARAN",0,0,0,0,0
"RAJASTHAN","BHILWARA",0,0,0,0,0
"RAJASTHAN","BUNDI",0,0,0,0,0
"RAJASTHAN","CHITTORGARH",0,0,0,0,0
"RAJASTHAN","CHURU",0,0,0,0,0
"RAJASTHAN","DHOLPUR",0,0,0,0,0
"RAJASTHAN","DUNGARPUR",0,4,0,0,4
"RAJASTHAN","JHALAWAR",0,0,0,0,0
"RAJASTHAN","KOTA",0,0,0,0,0
"RAJASTHAN","NAGAUR",0,0,0,0,0
"RAJASTHAN","RAJSAMAND",0,0,0,0,0
"RAJASTHAN","SIROHI",0,0,0,0,0
"RAJASTHAN","TONK",0,0,0,0,0
"RAJASTHAN","UDAIPUR",0,0,0,0,0
"TAMIL NADU","COIMBATORE",0,0,0,0,0
"TAMIL NADU","CUDDALORE",7.57,176.08,0,186.93,370.58
"TAMIL NADU","DHARMAPURI",0,0,0,0,0
"TAMIL NADU","DINDIGUL",0,5.58,114.4,0,119.98
"TAMIL NADU","ERODE",1198.77,1055.53,668.77,5.42,2928.49
"TAMIL NADU","KANCHIPURAM",0.3,56.85,0.45,0,57.6
"TAMIL NADU","KARUR",0,0,0,0,0
"TAMIL NADU","NAGAPATTINAM",0,254.18,0,0,254.18
"TAMIL NADU","NAMAKKAL",1883.63,1.3,0,0,1884.93
"TAMIL NADU","PERAMBALUR",0,3.91,0,0,3.91
"TAMIL NADU","PUDUKOTTAI",154.83,7.06,0,0,161.89
"TAMIL NADU","RAMNATHAPURAM",0,0,0,0,0
"TAMIL NADU","SALEM",57.13,0,0,0,57.13
"TAMIL NADU","SIVAGANGA",0,18.09,0,0,18.09
"TAMIL NADU","THANJAVUR",137.15,78.41,0,0,215.56
"TAMIL NADU","THENI",0,0,0,0,0
"TAMIL NADU","TIRUVALLUR",605.08,24.89,4.48,0,634.45
"TAMIL NADU","TIRUVARUR",894,377.49,0,0,1271.49
"TAMIL NADU","TRICHIRAPPALLI",0,0,0,0,0
"TAMIL NADU","VILLUPURAM",157.59,352.65,2.68,4,516.92
"TRIPURA","DHALAI",0,0,0,0,0
"TRIPURA","NORTH",0,0,0,0,0
"TRIPURA","SOUTH",0,0,0,0,0
"TRIPURA","WEST",0,0,0,0,0
"UTTAR PRADESH","AGRA",0,0,0,0,0
"UTTAR PRADESH","ALLAHABAD",0,0,0,0,0
"UTTAR PRADESH","ALMORA",0,0,0,0,0
"UTTAR PRADESH","AZAMGARH",0,0,0,0,0
"UTTAR PRADESH","BALLIA",827,1478,78,85,2468
"UTTAR PRADESH","BANDA",21,0,0,0,21
"UTTAR PRADESH","BIJNOR",0,0,0,0,0
"UTTAR PRADESH","DEHRADUN",60,51,5,3,119
"UTTAR PRADESH","DEORIA",0,0,0,0,0
"UTTAR PRADESH","ETAWAH",0,0,0,0,0
"UTTAR PRADESH","FARUKHABAD",0,0,0,0,0
"UTTAR PRADESH","FATEHPUR",0,0,0,0,0
"UTTAR PRADESH","GONDA",1,6,0,0,7
"UTTAR PRADESH","HAMIRPUR",0,0,0,0,0
"UTTAR PRADESH","JALAUN",97,323,37,12,469
"UTTAR PRADESH","JAUNPUR",20,25,0,5,50
"UTTAR PRADESH","JHANSI",2,17,0,0,19
"UTTAR PRADESH","KANPUR DEHAT",127,261,18,16,422
"UTTAR PRADESH","KUSHI NAGAR",0,0,0,0,0
"UTTAR PRADESH","LALITPUR",0,0,0,0,0
"UTTAR PRADESH","LUCKNOW",5,5,0,0,10
"UTTAR PRADESH","MAHRAJGANJ",0,0,0,0,0
"UTTAR PRADESH","MIRZAPUR",121,140,3,28,292
"UTTAR PRADESH","NAINITAL",0,0,0,0,0
"UTTAR PRADESH","PAURI GARHWAL",0,0,0,0,0
"UTTAR PRADESH","RAEBARELY",0,0,0,0,0
"UTTAR PRADESH","SANT RAVIDAS NAGAR",4,4,0,0,8
"UTTAR PRADESH","TEHRI GARHWAL",7,17,0,0,24
"UTTAR PRADESH","UDHAMSINGH NAGAR",0,0,0,0,0
"UTTAR PRADESH","UTTARKASHI",0,0,0,0,0
"UTTAR PRADESH","VARANASI",2464,2281,0,50,4795
"WEST BENGAL","BANKURA",1216,692,71,159,2138
"WEST BENGAL","BIRBHUM",1786,1547,198,225,3756
"WEST BENGAL","BURDWAN",569,659,46,516,1790
"WEST BENGAL","COOCHBEHAR",2,2,0,0,4
"WEST BENGAL","DAKSHIN DINAJPUR",22,105,4,42,173
"WEST BENGAL","DARJEELING",0,0,47,0,47
"WEST BENGAL","HOOGLY",95,154,0,99,348
"WEST BENGAL","HOWRAH",26,78,0,0,104
"WEST BENGAL","JALPAIGURI",16,32,0,11,59
"WEST BENGAL","MALDA",0,13,0,34,47
"WEST BENGAL","MIDNAPORE",245,692,15,100,1052
"WEST BENGAL","MURSHIDABAD",17,62,5,1,85
"WEST BENGAL","NADIA",0,0,0,0,0
"WEST BENGAL","NORTH 24 PARGANAS",3,36,0,62,101
"WEST BENGAL","PURULIA",22,9,0,0,31
"WEST BENGAL","SOUTH 24 PARGANAS",103,377,92,91,663
"WEST BENGAL","UTTAR DINAJPUR",0,6,0,0,6
"ANDAMAN & NICOBARS","ANDAMAN",0,0,0,0,0
"ANDAMAN & NICOBARS","NICOBARS",0,0,0,0,0
"DADRA & NAGAR HAVELI","DADRA & NAGAR HAVELI",0,0,0,0,0
"PONDICHERRY","KARAIKAL",0,0,0,0,0
"PONDICHERRY","YANAM",0,0,0,0,0
