-----
{
 "description": "Data covers industry-wise and year-wise Industrial Entrepreneurs Memorandum (IEM) implemented. The Industrial Undertakings are required to intimate the commencement of commercial production by way of filing the prescribed Part B of the IEM Form.", 
 "file_name": "Industry-wise_IEMs_Implimented_from_1991_to_June_2013.xls", 
 "title": "Download XLS for Industry wise IEMs Implemented by Industrial Undertakings during August 1991 to June 2013", 
 "url": "http://data.gov.in/sites/default/files/Industry-wise_IEMs_Implimented_from_1991_to_June_2013.xls"
}
-----
"Scheduled Industry Number & Name","IEMs Implemented during 1992-2006 (in Nos)","Investment during 1992-2006 (in Rs.Cr)","IEMs Implemented during 2007 
(in Nos)","Investment during 2007 (in Rs.Cr)    ","IEMs Implemented during 2008 
(in Nos)","Investment during 2008 
(in Rs.Cr)","IEMs Implemented during 2009 
(in Nos)","Investment during 2009 (in Rs.Cr)","IEMs Implemented during 2010 
(in Nos)","Investment during 2010 (in Rs.Cr)","IEMs Implemented during 2011 
(in Nos)","Investment during 2011 
(in Rs.Cr)","IEMs Implemented during 2012 
(in Nos)","Investment during 2012 
(in Rs.Cr)","IEMs Implemented during January 2013 to June 2013 (in Nos)","Investment during January 2013 to June 2013 (in Rs.Cr)"
"11. Earth Moving Machinery",7.0,36.0,0.0,0.0,2.0,182.0,3.0,0.0,1.0,0.0,1.0,90.0,0.0,0.0,2.0,69.0
"12. Miscellaneous,Mechanical Inds.",247.0,2339.0,38.0,350.0,45.0,436.0,50.0,573.0,55.0,640.0,31.0,222.0,44.0,1145.0,24.0,3255.0
"13.Commercial,H.Hold Equpts",20.0,281.0,3.0,14.0,2.0,24.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"14. Medical and Surgical  Inst.",7.0,195.0,0.0,0.0,2.0,11.0,5.0,22.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,31.0
"15. Industrial instruments",4.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0
"16. Scientific Instruments",41.0,1513.0,0.0,0.0,3.0,0.0,4.0,0.0,4.0,13.0,1.0,0.0,0.0,0.0,0.0,0.0
"17. Math,Survey Equpts",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"18.Fertilizers",68.0,631.0,19.0,3074.0,5.0,7.0,5.0,122.0,1.0,29.0,4.0,0.0,4.0,3657.0,2.0,88.0
"19.Chemical other than Fert.",985.0,41637.0,89.0,2042.0,42.0,441.0,54.0,1322.0,37.0,1268.0,49.0,1613.0,61.0,8486.0,12.0,1129.0
"20. Photographic Raw film,paper",9.0,927.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"21. Dye stuffs",4.0,47.0,2.0,5.0,0.0,0.0,2.0,11.0,1.0,0.0,0.0,0.0,1.0,14.0,1.0,34.0
"22.Drugs and Pharmaceuticals",155.0,3040.0,35.0,255.0,15.0,317.0,25.0,272.0,22.0,69.0,23.0,439.0,13.0,380.0,8.0,1016.0
"23.Textiles",1011.0,26553.0,109.0,1790.0,124.0,2202.0,147.0,2223.0,87.0,1644.0,53.0,756.0,64.0,3953.0,19.0,1350.0
"24. Paper and Pulp",198.0,3957.0,29.0,546.0,27.0,1288.0,29.0,696.0,16.0,2351.0,18.0,1782.0,21.0,1105.0,2.0,61.0
"25. Sugar",82.0,3255.0,34.0,5159.0,22.0,1854.0,26.0,2237.0,24.0,1170.0,27.0,939.0,17.0,1407.0,12.0,1033.0
"26. Fermentation Industries",14.0,241.0,2.0,6.0,9.0,194.0,15.0,141.0,8.0,0.0,4.0,39.0,9.0,728.0,7.0,648.0
"27. Food Processing Industry",324.0,6542.0,54.0,263.0,18.0,113.0,48.0,119.0,40.0,399.0,21.0,1062.0,34.0,2270.0,18.0,1053.0
"28.Vegetable oil,Vanaspathi",397.0,7520.0,15.0,83.0,14.0,132.0,28.0,348.0,15.0,527.0,8.0,144.0,18.0,1033.0,14.0,782.0
"29.Soap,cosmetics and toiletries",62.0,1100.0,8.0,234.0,8.0,73.0,10.0,41.0,15.0,229.0,3.0,125.0,5.0,429.0,1.0,11.0
"30.Rubber Goods",54.0,2219.0,4.0,31.0,5.0,40.0,7.0,37.0,7.0,81.0,3.0,0.0,5.0,61.0,3.0,231.0
"31.Leather,Leather goods",19.0,88.0,3.0,0.0,0.0,0.0,2.0,15.0,2.0,0.0,1.0,7.0,0.0,0.0,3.0,40.0
"32. Glue and Gelatin",13.0,1774.0,2.0,211.0,2.0,76.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"33. Glass",30.0,1424.0,8.0,75.0,6.0,111.0,3.0,16.0,4.0,508.0,6.0,437.0,9.0,1596.0,0.0,0.0
"34.Ceramics",49.0,1230.0,26.0,531.0,5.0,8.0,7.0,14.0,13.0,347.0,7.0,53.0,12.0,451.0,1.0,65.0
"35.Cement and Gypsum",159.0,12518.0,17.0,823.0,21.0,1930.0,26.0,2423.0,38.0,15488.0,22.0,2374.0,26.0,6123.0,9.0,4429.0
"36.Timber Products",9.0,193.0,2.0,242.0,2.0,0.0,1.0,0.0,3.0,0.0,0.0,0.0,3.0,78.0,2.0,951.0
"37. Defence Industries",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"38.Miscellaneous Industries",45.0,141.0,9.0,23.0,3.0,19.0,10.0,26.0,8.0,98.0,3.0,0.0,2.0,96.0,1.0,19.0
"Others",501.0,8767.0,52.0,1098.0,43.0,464.0,86.0,1458.0,54.0,1990.0,56.0,771.0,62.0,8979.0,47.0,4709.0
"Total",6397.0,241756.0,726.0,19390.0,541.0,12465.0,804.0,14691.0,636.0,29735.0,474.0,12870.0,574.0,82156.0,249.0,43785.0
