-----
{
 "description": "The table refers to block wise distribution of dugwells according to ownership. It has been sourced from 2nd census of Minor Irrigation Scheme (1993-94) from Ministry of Water Resources.", 
 "file_name": "blckdgwltab1.2.csv", 
 "title": "Download CSV for Block wise Distribution of Dugwells according to ownership for 2nd census of minor irrigation schemes (1993-94)", 
 "url": "http://data.gov.in/sites/default/files/blckdgwltab1.2.csv"
}
-----
-----
{
 "description": "The table refers to block wise dugwells according to water distribution system. It has been sourced from 2nd census of Minor Irrigation Scheme (1993-94) from Ministry of Water Resources.", 
 "file_name": "blckdgwltab1.8.csv", 
 "title": "Download CSV for Block wise Dugwells according to water distribution system for 2nd census of minor irrigation schemes (1993-94)", 
 "url": "http://data.gov.in/sites/default/files/blckdgwltab1.8.csv"
}
-----
-----
{
 "description": "The table refers to block wise distribution of dugwells according to social status. It has been sourced from 2nd census of Minor Irrigation Scheme (1993-94) from Ministry of Water Resources.", 
 "file_name": "blckdgwltab1.4.csv", 
 "title": "Download CSV for Block wise Distribution of Dugwells according to social status for 2nd census of minor irrigation schemes (1993-94)", 
 "url": "http://data.gov.in/sites/default/files/blckdgwltab1.4.csv"
}
-----
"State","District","Block","Scheduled caste","Scheduled tribe","Other social status of farmers","Total"
"ANDHRA PRADESH","ADILABAD","MAMDA",84,113,409,606
"ANDHRA PRADESH","ADILABAD","MANCHERIAL",343,19,1096,1458
"ANDHRA PRADESH","ADILABAD","MANDAMARRI",156,60,293,509
"ANDHRA PRADESH","ADILABAD","MUDHOLE",85,52,110,247
"ANDHRA PRADESH","ADILABAD","NARNOOR",15,383,2,400
"ANDHRA PRADESH","ADILABAD","NENNAL",72,23,51,146
"ANDHRA PRADESH","ADILABAD","NERADIGONDA",45,127,53,225
"ANDHRA PRADESH","ADILABAD","NIRMAL",257,112,1411,1780
"ANDHRA PRADESH","ADILABAD","REBBENA",116,77,113,306
"ANDHRA PRADESH","ADILABAD","SARANGAPUR",56,38,144,238
"ANDHRA PRADESH","ADILABAD","SIRPUR",94,247,4,345
"ANDHRA PRADESH","ADILABAD","SIRPUR (T)",108,42,61,211
"ANDHRA PRADESH","ADILABAD","TALAMADUGU",131,154,260,545
"ANDHRA PRADESH","ADILABAD","TAMSI",70,83,173,326
"ANDHRA PRADESH","ADILABAD","TANDUR",92,28,114,234
"ANDHRA PRADESH","ADILABAD","TANUR",47,12,167,226
"ANDHRA PRADESH","ADILABAD","TIRYANI",24,119,19,162
"ANDHRA PRADESH","ADILABAD","UTNUR",85,382,121,588
"ANDHRA PRADESH","ADILABAD","VEMANPALLE",57,56,105,218
"ANDHRA PRADESH","ADILABAD","WANKDI",24,40,19,83
"ANDHRA PRADESH","ANANTHAPUR","AGALI",116,46,930,1092
"ANDHRA PRADESH","ANANTHAPUR","AMADAGUR",34,12,900,946
"ANDHRA PRADESH","ANANTHAPUR","AMARAPURAM",34,8,489,531
"ANDHRA PRADESH","ANANTHAPUR","ANANTAPUR",16,3,589,608
"ANDHRA PRADESH","ANANTHAPUR","ATMAKUR",69,57,598,724
"ANDHRA PRADESH","ANANTHAPUR","BATHALAPALLE",32,22,549,603
"ANDHRA PRADESH","ANANTHAPUR","BELUGUPPA",36,34,390,460
"ANDHRA PRADESH","ANANTHAPUR","BOMMANAHAL",6,0,288,294
"ANDHRA PRADESH","ANANTHAPUR","BRAHMASAMUDRAM",31,15,599,645
"ANDHRA PRADESH","ANANTHAPUR","BUKKAPATNAM",17,30,860,907
"ANDHRA PRADESH","ANANTHAPUR","BUKKARAYASAMUDRAM",179,42,1555,1776
"ANDHRA PRADESH","ANANTHAPUR","CHENNEKOTHAPALLE",70,22,1815,1907
"ANDHRA PRADESH","ANANTHAPUR","CHILAMATHUR",77,41,1198,1316
"ANDHRA PRADESH","ANANTHAPUR","D.HIREHAL",39,8,695,742
"ANDHRA PRADESH","ANANTHAPUR","DHARMAVARAM",82,59,1520,1661
"ANDHRA PRADESH","ANANTHAPUR","GANDLAPENTA",19,30,742,791
"ANDHRA PRADESH","ANANTHAPUR","GARLADINNE",42,11,749,802
"ANDHRA PRADESH","ANANTHAPUR","GOOTY",34,23,459,516
"ANDHRA PRADESH","ANANTHAPUR","GORANTLA",33,82,1230,1345
"ANDHRA PRADESH","ANANTHAPUR","GUDIBANDA",60,9,594,663
"ANDHRA PRADESH","ANANTHAPUR","GUMMAGATA",35,2,663,700
"ANDHRA PRADESH","ANANTHAPUR","GUNTAKAL",10,13,497,520
"ANDHRA PRADESH","ANANTHAPUR","HINDUPUR",38,8,913,959
"ANDHRA PRADESH","ANANTHAPUR","KADIRI",35,41,566,642
"ANDHRA PRADESH","ANANTHAPUR","KALYANDRUG",136,49,836,1021
"ANDHRA PRADESH","ANANTHAPUR","KAMBADUR",88,58,683,829
"ANDHRA PRADESH","ANANTHAPUR","KANAGANAPALLE",63,19,843,925
"ANDHRA PRADESH","ANANTHAPUR","KANEKAL",7,5,171,183
"ANDHRA PRADESH","ANANTHAPUR","KOTHACHERUVU",47,22,1246,1315
"ANDHRA PRADESH","ANANTHAPUR","KUDAIR",67,25,712,804
"ANDHRA PRADESH","ANANTHAPUR","KUNDURPI",62,55,890,1007
"ANDHRA PRADESH","ANANTHAPUR","LEPAKSHI",77,2,505,584
"ANDHRA PRADESH","ANANTHAPUR","MADAKASIRA",126,27,1315,1468
"ANDHRA PRADESH","ANANTHAPUR","MUDIGUBBA",51,62,1188,1301
"ANDHRA PRADESH","ANANTHAPUR","NALLACHERUVU",14,5,520,539
"ANDHRA PRADESH","ANANTHAPUR","NALLAMADA",57,48,914,1019
"ANDHRA PRADESH","ANANTHAPUR","NAMBULAPULIKUNTA",27,29,900,956
"ANDHRA PRADESH","ANANTHAPUR","NARPALA",108,6,1836,1950
"ANDHRA PRADESH","ANANTHAPUR","OBULADEVARACHERUVU",38,23,1081,1142
"ANDHRA PRADESH","ANANTHAPUR","PAMIDI",23,8,345,376
"ANDHRA PRADESH","ANANTHAPUR","PARIGI",61,3,700,764
"ANDHRA PRADESH","ANANTHAPUR","PEDDAPAPPUR",51,0,939,990
"ANDHRA PRADESH","ANANTHAPUR","PEDDAVADUGUR",9,0,264,273
"ANDHRA PRADESH","ANANTHAPUR","PENUKONDA",78,44,1112,1234
"ANDHRA PRADESH","ANANTHAPUR","PUTLUR",61,1,1604,1666
"ANDHRA PRADESH","ANANTHAPUR","PUTTAPARTHI",54,29,700,783
"ANDHRA PRADESH","ANANTHAPUR","RAMAGIRI",29,4,500,533
"ANDHRA PRADESH","ANANTHAPUR","RAPTADU",49,3,633,685
"ANDHRA PRADESH","ANANTHAPUR","RAYADURG",30,41,657,728
"ANDHRA PRADESH","ANANTHAPUR","RODDAM",91,13,771,875
"ANDHRA PRADESH","ANANTHAPUR","ROLLA",32,6,731,769
"ANDHRA PRADESH","ANANTHAPUR","SETTUR",68,4,635,707
"ANDHRA PRADESH","ANANTHAPUR","SINGANAMALA",97,40,1071,1208
"ANDHRA PRADESH","ANANTHAPUR","SOMANDEPALLE",63,27,638,728
"ANDHRA PRADESH","ANANTHAPUR","TADIMARRI",53,15,1001,1069
"ANDHRA PRADESH","ANANTHAPUR","TADPATRI",21,31,736,788
"ANDHRA PRADESH","ANANTHAPUR","TALUPULA",32,55,1103,1190
"ANDHRA PRADESH","ANANTHAPUR","TANAKAL",62,51,1004,1117
"ANDHRA PRADESH","ANANTHAPUR","URAVAKONDA",20,17,493,530
"ANDHRA PRADESH","ANANTHAPUR","VAJRAKARUR",12,33,272,317
"ANDHRA PRADESH","ANANTHAPUR","VIDAPANAKAL",3,2,221,226
"ANDHRA PRADESH","ANANTHAPUR","YADIKI",35,0,491,526
"ANDHRA PRADESH","ANANTHAPUR","YELLANUR",56,1,985,1042
"ANDHRA PRADESH","CHITTOOR","B.KOTHAKOTA",40,5,1125,1170
"ANDHRA PRADESH","CHITTOOR","BAIREDDIPALLE",383,50,2502,2935
"ANDHRA PRADESH","CHITTOOR","BANGARUPALEM",347,75,3067,3489
"ANDHRA PRADESH","CHITTOOR","BUCHINAIDU KHANDRIGA",143,6,695,844
"ANDHRA PRADESH","CHITTOOR","CHANDRAGIRI",112,61,2634,2807
"ANDHRA PRADESH","CHITTOOR","CHINNAGOTTIGALLU",198,8,1255,1461
"ANDHRA PRADESH","CHITTOOR","CHITTOOR",237,13,2336,2586
"ANDHRA PRADESH","CHITTOOR","CHOWDE[ALLE",203,3,1460,1666
"ANDHRA PRADESH","CHITTOOR","GANGADHARA NELLORE",605,206,3301,4112
"ANDHRA PRADESH","CHITTOOR","GANGAVARAM",192,46,1951,2189
"ANDHRA PRADESH","CHITTOOR","GUDIPALA",239,14,2353,2606
"ANDHRA PRADESH","CHITTOOR","GUDUPALLE",68,33,752,853
"ANDHRA PRADESH","CHITTOOR","GURRAMKONDA",95,22,2061,2178
"ANDHRA PRADESH","CHITTOOR","IRALA",161,138,2474,2773
"ANDHRA PRADESH","CHITTOOR","K.V.B. PURAM",98,32,1030,1160
"ANDHRA PRADESH","CHITTOOR","KALAKADA",66,39,1763,1868
"ANDHRA PRADESH","CHITTOOR","KALIKIRI",91,44,1219,1354
"ANDHRA PRADESH","CHITTOOR","KAMACHANDRA PURAM",57,3,1930,1990
"ANDHRA PRADESH","CHITTOOR","KAMBHAMVARIPALLE",165,39,2601,2805
"ANDHRA PRADESH","CHITTOOR","KARVETINAGAR",299,28,1907,2234
"ANDHRA PRADESH","CHITTOOR","KUPPAM",115,6,2067,2188
"ANDHRA PRADESH","CHITTOOR","KURABALAKOTA",37,10,957,1004
"ANDHRA PRADESH","CHITTOOR","MADANAPALLE",71,23,1220,1314
"ANDHRA PRADESH","CHITTOOR","MULAKALACHERUVU",53,10,805,868
"ANDHRA PRADESH","CHITTOOR","NAGALAPURAM",86,104,869,1059
"ANDHRA PRADESH","CHITTOOR","NAGARI",58,54,1488,1600
"ANDHRA PRADESH","CHITTOOR","NARAYANAVANAM",75,6,693,774
"ANDHRA PRADESH","CHITTOOR","NIMMANAPALLE",132,41,1185,1358
"ANDHRA PRADESH","CHITTOOR","NINDRA",76,11,1247,1334
"ANDHRA PRADESH","CHITTOOR","PAKALA",100,22,2263,2385
"ANDHRA PRADESH","CHITTOOR","PALAMANERU",151,29,1709,1889
"ANDHRA PRADESH","CHITTOOR","PALASAMUDRAM",206,17,1449,1672
"ANDHRA PRADESH","CHITTOOR","PEDDAMANDYAM",35,28,943,1006
"ANDHRA PRADESH","CHITTOOR","PEDDAPANJANI",162,74,1582,1818
"ANDHRA PRADESH","CHITTOOR","PEDDATHIPPASAMDRAM",96,8,1545,1649
"ANDHRA PRADESH","CHITTOOR","PENUMURU",196,108,2351,2655
"ANDHRA PRADESH","CHITTOOR","PICHATURU",78,1,1036,1115
"ANDHRA PRADESH","CHITTOOR","PILERU",61,101,1443,1605
"ANDHRA PRADESH","CHITTOOR","PULICHERLA",69,22,1485,1576
"ANDHRA PRADESH","CHITTOOR","PUNGANURU",169,94,2386,2649
"ANDHRA PRADESH","CHITTOOR","PUTHALAPATTU",134,9,2980,3123
"ANDHRA PRADESH","CHITTOOR","PUTTURU",205,55,1743,2003
"ANDHRA PRADESH","CHITTOOR","RAMAKUPPAM",153,195,1457,1805
"ANDHRA PRADESH","CHITTOOR","RAMASAMUDRAM",147,9,1397,1553
"ANDHRA PRADESH","CHITTOOR","RENIGUNTA",75,41,1129,1245
"ANDHRA PRADESH","CHITTOOR","ROMPICHERLA",73,46,908,1027
"ANDHRA PRADESH","CHITTOOR","SANTHIPURAM",98,38,1631,1767
"ANDHRA PRADESH","CHITTOOR","SATYAVEDU",232,7,1150,1389
"ANDHRA PRADESH","CHITTOOR","SODAM",193,56,2316,2565
"ANDHRA PRADESH","CHITTOOR","SOMALA",89,15,1956,2060
"ANDHRA PRADESH","CHITTOOR","SRIKALAHASTI",177,75,1348,1600
"ANDHRA PRADESH","CHITTOOR","SRIRANGARAJAPURAM",252,52,1932,2236
"ANDHRA PRADESH","CHITTOOR","THAMBALLAPALLE",34,9,1033,1076
"ANDHRA PRADESH","CHITTOOR","THAVANAMPALLE",202,118,2525,2845
"ANDHRA PRADESH","CHITTOOR","THOTTAMBEDA",222,8,1139,1369
"ANDHRA PRADESH","CHITTOOR","TIRUPATI (RURAL)",95,51,1920,2066
"ANDHRA PRADESH","CHITTOOR","TIRUPATI (URBAN)",3,3,198,204
"ANDHRA PRADESH","CHITTOOR","VADAMALAPETA",73,9,1794,1876
"ANDHRA PRADESH","CHITTOOR","VARADAIAHPALEM",156,25,613,794
"ANDHRA PRADESH","CHITTOOR","VAYALPAD",161,45,1284,1490
"ANDHRA PRADESH","CHITTOOR","VEDURUKUPPAM",290,42,2857,3189
"ANDHRA PRADESH","CHITTOOR","VENKATAGIRIKOTA",220,73,3125,3418
"ANDHRA PRADESH","CHITTOOR","VIJAYAPURAM",87,2,1475,1564
"ANDHRA PRADESH","CHITTOOR","YADAMARI",207,11,2278,2496
"ANDHRA PRADESH","CHITTOOR","YERPEDU",200,54,1385,1639
"ANDHRA PRADESH","CHITTOOR","YERRAVARIPALEM",61,23,611,695
"ANDHRA PRADESH","CUDDAPAH","ATLUR",91,18,1023,1132
"ANDHRA PRADESH","CUDDAPAH","B.KODUR",134,4,1005,1143
"ANDHRA PRADESH","CUDDAPAH","BADVEL",73,1,613,687
"ANDHRA PRADESH","CUDDAPAH","BRAHMAMGARIMATHAM",83,9,738,830
"ANDHRA PRADESH","CUDDAPAH","CHAKARAYAPET",71,30,1038,1139
"ANDHRA PRADESH","CUDDAPAH","CHAPAD",18,12,292,322
"ANDHRA PRADESH","CUDDAPAH","CHENNAMANDEM",59,9,1389,1457
"ANDHRA PRADESH","CUDDAPAH","CHENNUR",0,0,114,114
"ANDHRA PRADESH","CUDDAPAH","CHINTHAKOMMADINNE",94,3,908,1005
"ANDHRA PRADESH","CUDDAPAH","CHITVEL",22,2,534,558
"ANDHRA PRADESH","CUDDAPAH","CUDDAPAH",16,1,195,212
"ANDHRA PRADESH","CUDDAPAH","DUVVUR",29,14,830,873
"ANDHRA PRADESH","CUDDAPAH","GALIVEEDU",41,61,2111,2213
"ANDHRA PRADESH","CUDDAPAH","GOPAVARAM",39,5,439,483
"ANDHRA PRADESH","CUDDAPAH","JAMMALAMADUGU",18,7,274,299
"ANDHRA PRADESH","CUDDAPAH","KALASAPADU",79,1,783,863
"ANDHRA PRADESH","CUDDAPAH","KAMALAPURAM",18,0,490,508
"ANDHRA PRADESH","CUDDAPAH","KHAJIPET",106,9,394,509
"ANDHRA PRADESH","CUDDAPAH","KODUR",66,11,1065,1142
"ANDHRA PRADESH","CUDDAPAH","KONDAPURAM",0,3,57,60
"ANDHRA PRADESH","CUDDAPAH","LAKKIREDDIPALLE",71,40,1370,1481
"ANDHRA PRADESH","CUDDAPAH","LINGALA",7,1,680,688
"ANDHRA PRADESH","CUDDAPAH","MUDDANUR",26,8,406,440
"ANDHRA PRADESH","CUDDAPAH","MYLAVARAM",88,12,418,518
"ANDHRA PRADESH","CUDDAPAH","NANDALUR",36,6,606,648
"ANDHRA PRADESH","CUDDAPAH","OBULAVARIPALLE",99,8,1199,1306
"ANDHRA PRADESH","CUDDAPAH","PEDDAMUDIUM",3,0,120,123
"ANDHRA PRADESH","CUDDAPAH","PENAGALUR",22,9,420,451
"ANDHRA PRADESH","CUDDAPAH","PENDLIMARRI",50,10,258,318
"ANDHRA PRADESH","CUDDAPAH","PORUMAMILLA",164,3,1490,1657
"ANDHRA PRADESH","CUDDAPAH","PRODDUTUR",3,1,93,97
"ANDHRA PRADESH","CUDDAPAH","PULIVENDLA",21,6,554,581
"ANDHRA PRADESH","CUDDAPAH","PULLAMPETA",77,6,1203,1286
"ANDHRA PRADESH","CUDDAPAH","RAJAMPET",41,31,1291,1363
"ANDHRA PRADESH","CUDDAPAH","RAJUPALEM",13,0,45,58
"ANDHRA PRADESH","CUDDAPAH","RAMAPURAM",67,7,616,690
"ANDHRA PRADESH","CUDDAPAH","ROYACHOTI",93,67,1728,1888
"ANDHRA PRADESH","CUDDAPAH","S.MYDUKUR",61,20,1214,1295
"ANDHRA PRADESH","CUDDAPAH","SAMBEPALLE",112,74,1598,1784
"ANDHRA PRADESH","CUDDAPAH","SIDHOUT",46,0,586,632
"ANDHRA PRADESH","CUDDAPAH","SIMHADRIPURAM",5,2,547,554
"ANDHRA PRADESH","CUDDAPAH","T.SUNDUPALLE",108,68,1325,1501
"ANDHRA PRADESH","CUDDAPAH","THONDUR",61,1,499,561
"ANDHRA PRADESH","CUDDAPAH","VALLUR",48,6,541,595
"ANDHRA PRADESH","CUDDAPAH","VEERABALLE",60,21,993,1074
"ANDHRA PRADESH","CUDDAPAH","VEERAPUNAYUNIPALLE",30,23,436,489
"ANDHRA PRADESH","CUDDAPAH","VEMPALLE",12,3,586,601
"ANDHRA PRADESH","CUDDAPAH","VEMULA",23,11,710,744
"ANDHRA PRADESH","CUDDAPAH","VONTIMITTA",109,5,1494,1608
"ANDHRA PRADESH","CUDDAPAH","YERRAGUNTLA",3,0,216,219
"ANDHRA PRADESH","EAST GODAVARI","ADDATEEGALA",0,1,0,1
"ANDHRA PRADESH","EAST GODAVARI","AINAVILLI",NA,NA,NA,NA
"ANDHRA PRADESH","EAST GODAVARI","ALAMURU",NA,NA,NA,NA
"ANDHRA PRADESH","EAST GODAVARI","ALLAVARAM",NA,NA,NA,NA
"ANDHRA PRADESH","EAST GODAVARI","AMALAPURAM",NA,NA,NA,NA
"ANDHRA PRADESH","EAST GODAVARI","AMBAJIPETA",NA,NA,NA,NA
"ANDHRA PRADESH","EAST GODAVARI","ANAPARTHY",NA,NA,NA,NA
"ANDHRA PRADESH","EAST GODAVARI","ATREYAPURAM",NA,NA,NA,NA
"ANDHRA PRADESH","EAST GODAVARI","BICCAVOLU",0,0,7,7
"ANDHRA PRADESH","EAST GODAVARI","DEVIPATNAM",NA,NA,NA,NA
"ANDHRA PRADESH","EAST GODAVARI","GANDEPALLE",0,0,23,23
"ANDHRA PRADESH","EAST GODAVARI","GANGAVARAM",NA,NA,NA,NA
"ANDHRA PRADESH","EAST GODAVARI","GOKAVARAM",0,0,15,15
"ANDHRA PRADESH","EAST GODAVARI","GOLLAPROLU",86,0,12,98
"ANDHRA PRADESH","EAST GODAVARI","I. POLAVARAM",NA,NA,NA,NA
"ANDHRA PRADESH","EAST GODAVARI","JAGGAMPETA",43,0,81,124
"ANDHRA PRADESH","EAST GODAVARI","KADIAM",NA,NA,NA,NA
"ANDHRA PRADESH","EAST GODAVARI","KAJULURU",NA,NA,NA,NA
"ANDHRA PRADESH","EAST GODAVARI","KAKINADA RURAL",NA,NA,NA,NA
"ANDHRA PRADESH","EAST GODAVARI","KAKINADA URBAN",NA,NA,NA,NA
"ANDHRA PRADESH","EAST GODAVARI","KAPILESWARAPURAM",NA,NA,NA,NA
"ANDHRA PRADESH","EAST GODAVARI","KARAPA",1,0,1,2
"ANDHRA PRADESH","EAST GODAVARI","KATRENIKONA",NA,NA,NA,NA
"ANDHRA PRADESH","EAST GODAVARI","KIRLAMPUDI",0,0,6,6
"ANDHRA PRADESH","EAST GODAVARI","KORUKONDA",16,0,110,126
"ANDHRA PRADESH","EAST GODAVARI","KOTANANDURU",25,1,139,165
"ANDHRA PRADESH","EAST GODAVARI","KOTHAPALLE",0,0,18,18
"ANDHRA PRADESH","EAST GODAVARI","KOTHAPETA",NA,NA,NA,NA
"ANDHRA PRADESH","EAST GODAVARI","MALIKIPURAM",NA,NA,NA,NA
"ANDHRA PRADESH","EAST GODAVARI","MAMIDIKUDURU",NA,NA,NA,NA
"ANDHRA PRADESH","EAST GODAVARI","MANDAPETA",NA,NA,NA,NA
"ANDHRA PRADESH","EAST GODAVARI","MAREDUMILLI",NA,NA,NA,NA
"ANDHRA PRADESH","EAST GODAVARI","MUMMIDIVARAM",NA,NA,NA,NA
"ANDHRA PRADESH","EAST GODAVARI","P.GANNAVARAM",NA,NA,NA,NA
"ANDHRA PRADESH","EAST GODAVARI","PAMARRU",NA,NA,NA,NA
"ANDHRA PRADESH","EAST GODAVARI","PEDAPUDI",NA,NA,NA,NA
"ANDHRA PRADESH","EAST GODAVARI","PEDDAPURAM",0,0,4,4
"ANDHRA PRADESH","EAST GODAVARI","PITHAPURAM",1,0,23,24
"ANDHRA PRADESH","EAST GODAVARI","PRATHIPADU",25,1,76,102
"ANDHRA PRADESH","EAST GODAVARI","RAJAHMUNDRY RURAL",NA,NA,NA,NA
"ANDHRA PRADESH","EAST GODAVARI","RAJAHMUNDRY URBAN",NA,NA,NA,NA
"ANDHRA PRADESH","EAST GODAVARI","RAJANAGARAM",7,18,129,154
"ANDHRA PRADESH","EAST GODAVARI","RAJAVOMMANGI",NA,NA,NA,NA
"ANDHRA PRADESH","EAST GODAVARI","RAMACHANDRAPURAM",NA,NA,NA,NA
"ANDHRA PRADESH","EAST GODAVARI","RAMPACHODAVARAM",NA,NA,NA,NA
"ANDHRA PRADESH","EAST GODAVARI","RANGAMPETA",1,0,5,6
"ANDHRA PRADESH","EAST GODAVARI","RAVULAPALEM",NA,NA,NA,NA
"ANDHRA PRADESH","EAST GODAVARI","RAYAVARAM",NA,NA,NA,NA
"ANDHRA PRADESH","EAST GODAVARI","RAZOLE",0,0,16,16
"ANDHRA PRADESH","EAST GODAVARI","SAKHINETIPALLE",NA,NA,NA,NA
"ANDHRA PRADESH","EAST GODAVARI","SAMALKOTA",0,0,196,196
"ANDHRA PRADESH","EAST GODAVARI","SANKHAVARAM",46,6,269,321
"ANDHRA PRADESH","EAST GODAVARI","SEETHANAGARAM",NA,NA,NA,NA
"ANDHRA PRADESH","EAST GODAVARI","THALLAREVU",0,2,23,25
"ANDHRA PRADESH","EAST GODAVARI","THONDANGI",4,0,12,16
"ANDHRA PRADESH","EAST GODAVARI","TUNI",24,4,582,610
"ANDHRA PRADESH","EAST GODAVARI","UPPALAGUPTAM",NA,NA,NA,NA
"ANDHRA PRADESH","EAST GODAVARI","Y. RAMAVARAM",NA,NA,NA,NA
"ANDHRA PRADESH","EAST GODAVARI","YELESWARAM",3,0,0,3
"ANDHRA PRADESH","GUNTUR","ACHAMPET",53,5,397,455
"ANDHRA PRADESH","GUNTUR","AMARAVATHI",248,5,398,651
"ANDHRA PRADESH","GUNTUR","AMRUTHALUR",0,0,4,4
"ANDHRA PRADESH","GUNTUR","BAPATLA",8,12,2447,2467
"ANDHRA PRADESH","GUNTUR","BELLAMKONDA",53,83,56,192
"ANDHRA PRADESH","GUNTUR","BHATTIPROLU",NA,NA,NA,NA
"ANDHRA PRADESH","GUNTUR","BOLLAPALLE",35,69,104,208
"ANDHRA PRADESH","GUNTUR","CHEBROLE",114,0,808,922
"ANDHRA PRADESH","GUNTUR","CHERUKUPALLE",20,4,1129,1153
"ANDHRA PRADESH","GUNTUR","CHILAKALURIPET",33,21,286,340
"ANDHRA PRADESH","GUNTUR","DACHEPALLE",5,3,16,24
"ANDHRA PRADESH","GUNTUR","DUGGIRALA",NA,NA,NA,NA
"ANDHRA PRADESH","GUNTUR","DURGI",4,0,10,14
"ANDHRA PRADESH","GUNTUR","EDLAPADU",17,5,197,219
"ANDHRA PRADESH","GUNTUR","GUNTUR",14,0,25,39
"ANDHRA PRADESH","GUNTUR","GURAZALA",0,0,13,13
"ANDHRA PRADESH","GUNTUR","IPUR",29,11,125,165
"ANDHRA PRADESH","GUNTUR","KAKUMANU",NA,NA,NA,NA
"ANDHRA PRADESH","GUNTUR","KAREMPUDI",1,0,12,13
"ANDHRA PRADESH","GUNTUR","KARLAPALEM",73,1,1497,1571
"ANDHRA PRADESH","GUNTUR","KOLLIPARA",NA,NA,NA,NA
"ANDHRA PRADESH","GUNTUR","KOLLUR",0,0,12,12
"ANDHRA PRADESH","GUNTUR","KROSURU",40,4,208,252
"ANDHRA PRADESH","GUNTUR","MACHAVARAM",4,1,18,23
"ANDHRA PRADESH","GUNTUR","MACHERLA",22,45,38,105
"ANDHRA PRADESH","GUNTUR","MANGALAGIRI",69,2,137,208
"ANDHRA PRADESH","GUNTUR","MEDIKONDURU",0,1,49,50
"ANDHRA PRADESH","GUNTUR","MUPPALLA",33,0,163,196
"ANDHRA PRADESH","GUNTUR","NADENDLA",8,0,34,42
