-----
{
 "description": "The table refers to block wise distribution of Deep Tubewells according to source of finance . The report has been sourced from 2nd census of minor irrigation scheme(1993-94) from ministry of water resources.", 
 "file_name": "blckdptbwltab3.6.csv", 
 "title": "Download CSV for Block wise Distribution of Deep Tubewells according to source of Finance for 2nd Census of Minor Irrigation Schemes (1993-94)", 
 "url": "http://data.gov.in/sites/default/files/blckdptbwltab3.6.csv"
}
-----
-----
{
 "description": "The table refers to district wise distribution of Deep Tubewells according to horse power of lifting device . The report has been sourced from 2nd census of minor irrigation scheme(1993-94) from ministry of water resources.", 
 "file_name": "Statedptbwltab3.9.csv", 
 "title": "Download CSV for District wise Distribution of Deep Tubewells according to Horse Power of Lifting Device for 2nd Census of Minor Irrigation Schemes (1993-94)", 
 "url": "http://data.gov.in/sites/default/files/Statedptbwltab3.9.csv"
}
-----
-----
{
 "description": "The table refers to block wise distribution of Deep Tubewells to Average Pumping Hours during peak season. The report has been sourced from 2nd census of minor irrigation scheme(1993-94) from ministry of water resources.", 
 "file_name": "blckdptbwltab3.11_1.csv", 
 "title": "Download CSV for Block wise Distribution of Deep Tubewells according to Average Pumping Hours during peak season for 2nd Census of Minor Irrigation Schemes (1993-94)", 
 "url": "http://data.gov.in/sites/default/files/blckdptbwltab3.11_1.csv"
}
-----
-----
{
 "description": "The table refers to block wise Deep Tubewells according to water distribution system . The report has been sourced from 2nd census of minor irrigation scheme(1993-94) from ministry of water resources.", 
 "file_name": "blckdptbwltab3.7.csv", 
 "title": "Download CSV for Block wise Deep Tubewells according to Water Distribution System for 2nd Census of Minor Irrigation Schemes (1993-94)", 
 "url": "http://data.gov.in/sites/default/files/blckdptbwltab3.7.csv"
}
-----
-----
{
 "description": "The table refers to district wise distribution of Deep Tubewells according to horse power of lifting device . The report has been sourced from 2nd census of minor irrigation scheme(1993-94) from ministry of water resources.", 
 "file_name": "Statedptbwltab3.9.csv", 
 "title": "Download CSV for District wise Distribution of Deep Tubewells according to Horse Power of Lifting Device for 2nd Census of Minor Irrigation Schemes (1993-94)", 
 "url": "http://data.gov.in/sites/default/files/Statedptbwltab3.9.csv"
}
-----
"State","District","Horse Power (0-6)","Horse Power (6 - 12)","Horse Power (12 - 18)","Horse Power (Above 18)","Total"
"ARUNACHAL PRADESH","UPPER SIANG",NA,NA,NA,NA,NA
"ARUNACHAL PRADESH","UPPER SUBANSIRI",NA,NA,NA,NA,NA
"ARUNACHAL PRADESH","WEST KAMENG",NA,NA,NA,NA,NA
"ARUNACHAL PRADESH","WEST SIANG",NA,NA,NA,NA,NA
"ASSAM","BARPETA",0,0,0,11,11
"ASSAM","BONGAIGAON",0,0,0,28,28
"ASSAM","CACHAR",0,1,3,1,5
"ASSAM","DARRANG",0,0,0,34,34
"ASSAM","DHEMAJI",0,0,0,15,15
"ASSAM","DHUBRI",0,0,0,20,20
"ASSAM","DIBRUGARH",0,0,0,15,15
"ASSAM","GOALPARA",0,0,0,36,36
"ASSAM","GOLAGHAT",0,1,10,63,74
"ASSAM","HAILAKANDI",0,0,8,0,8
"ASSAM","JORHAT",0,0,5,58,63
"ASSAM","KAMRUP",0,0,14,35,49
"ASSAM","KARBI ANGLONG",0,0,1,7,8
"ASSAM","KARIMGANJ",0,0,0,5,5
"ASSAM","KOKRAJHAR",0,0,0,6,6
"ASSAM","LAKHIMPUR",0,0,0,55,55
"ASSAM","MARIGAON",0,0,0,8,8
"ASSAM","NAGAON",0,0,0,24,24
"ASSAM","NALBARI",0,0,0,69,69
"ASSAM","NORTH CACHAR HILLS",1,0,1,0,2
"ASSAM","SIBSAGAR",0,0,0,10,10
"ASSAM","SONITPUR",0,0,0,11,11
"ASSAM","TINSUKIA",4,8,5,19,36
"BIHAR","ARARIA",9,0,3,3,15
"BIHAR","AURANGABAD",27,9,30,18,84
"BIHAR","BANKA",0,2,0,1,3
"BIHAR","BEGUSARAI",2,9,174,68,253
"BIHAR","BHABUA",2,5,51,62,120
"BIHAR","BHAGALPUR",17,4,76,85,182
"BIHAR","BHOJPUR",5,23,68,98,194
"BIHAR","BOKARO",NA,NA,NA,NA,NA
"BIHAR","BUXAR",23,11,96,39,169
"BIHAR","CHAMPARAN EAST",50,22,67,143,282
"BIHAR","CHAMPARAN WEST",7,6,39,5,57
"BIHAR","CHATRA",NA,NA,NA,NA,NA
"BIHAR","DARBHANGA",23,17,56,99,195
"BIHAR","DEOGHAR",NA,NA,NA,NA,NA
"BIHAR","DHANBAD",NA,NA,NA,NA,NA
"BIHAR","DUMKA",0,1,0,0,1
"BIHAR","GARHWA",11,0,0,0,11
"BIHAR","GAYA",12,1,5,20,38
"BIHAR","GIRIDIH",0,1,0,0,1
"BIHAR","GODDA",NA,NA,NA,NA,NA
"BIHAR","GOPALGANJ",13,12,54,17,96
"BIHAR","GUMLA",NA,NA,NA,NA,NA
"BIHAR","HAZARIBAG",NA,NA,NA,NA,NA
"BIHAR","JAMUI",3,3,2,1,9
"BIHAR","JEHANABAD",5,1,88,13,107
"BIHAR","KATIHAR",0,2,28,0,30
"BIHAR","KHAGARIA",1,12,56,53,122
"BIHAR","KISHANGANJ",0,3,11,6,20
"BIHAR","KODARMA",16,0,0,0,16
"BIHAR","LAKHISARAI",2,0,6,23,31
"BIHAR","LOHARDAGA",NA,NA,NA,NA,NA
"BIHAR","MADHEPURA",0,2,10,9,21
"BIHAR","MADHUBANI",835,37,61,42,975
"BIHAR","MUNGER",2,0,0,0,2
"BIHAR","MUZAFFARPUR",37,56,156,47,296
"BIHAR","NALANDA",113,70,72,77,332
"BIHAR","NAWADA",111,27,20,56,214
"BIHAR","PAKUR",22,0,0,0,22
"BIHAR","PALAMU",NA,NA,NA,NA,NA
"BIHAR","PATNA",71,34,137,192,434
"BIHAR","PURNIA",0,0,4,3,7
"BIHAR","RANCHI",NA,NA,NA,NA,NA
"BIHAR","ROHTAS",28,11,43,28,110
"BIHAR","SAHARSA",2,6,3,4,15
"BIHAR","SAHEBGANJ",NA,NA,NA,NA,NA
"BIHAR","SAMASTIPUR",45,38,86,86,255
"BIHAR","SARAN",26,28,38,45,137
"BIHAR","SHEIKHPURA",2,22,52,18,94
"BIHAR","SHEOHAR",0,0,2,1,3
"BIHAR","SINGHBHUM EAST",1,1,4,0,6
"BIHAR","SINGHBHUM WEST",1,0,0,0,1
"BIHAR","SITAMARHI",1047,24,101,48,1220
"BIHAR","SIWAN",16,23,19,35,93
"BIHAR","SUPAUL",0,6,24,5,35
"BIHAR","VAISHALI",41,16,64,11,132
"GOA","NORTH GOA",18,0,0,0,18
"GOA","SOUTH GOA",0,0,1,0,1
"GUJARAT","",NA,NA,NA,NA,NA
"HARYANA","AMBALA",52,148,1064,999,2263
"HARYANA","BHIWANI",1,0,24,0,25
"HARYANA","FARIDABAD",NA,NA,NA,NA,NA
"HARYANA","GURGAON",43,84,3,0,130
"HARYANA","HISAR",NA,NA,NA,NA,NA
"HARYANA","JIND",159,141,0,0,300
"HARYANA","KAITHAL",392,427,2,6,827
"HARYANA","KARNAL",739,963,0,4,1706
"HARYANA","KURUKSHETRA",15,124,96,105,340
"HARYANA","MEHANDERGARH",14,86,0,0,100
"HARYANA","PANCHKULA",1,43,33,37,114
"HARYANA","PANIPAT",142,53,0,0,195
"HARYANA","RIWARI",NA,NA,NA,NA,NA
"HARYANA","ROHTAK",NA,NA,NA,NA,NA
"HARYANA","SIRSA",24,27,29,130,210
"HARYANA","SONIPAT",0,20,0,0,20
"HARYANA","YAMUNA NAGAR",32,71,22,59,184
"HIMACHAL PRADESH","Bilaspur",NA,NA,NA,NA,NA
"HIMACHAL PRADESH","Chamba",NA,NA,NA,NA,NA
"HIMACHAL PRADESH","Hamirpur",NA,NA,NA,NA,NA
"HIMACHAL PRADESH","Kangra",1,11,5,39,56
"HIMACHAL PRADESH","Kinnaur",NA,NA,NA,NA,NA
"HIMACHAL PRADESH","Kullu",NA,NA,NA,NA,NA
"HIMACHAL PRADESH","Lahul & Spiti",NA,NA,NA,NA,NA
"HIMACHAL PRADESH","Mandi",2,0,0,0,2
"HIMACHAL PRADESH","Shimla",NA,NA,NA,NA,NA
"HIMACHAL PRADESH","Sirmaur",0,3,0,7,10
"HIMACHAL PRADESH","Solan",2,1,3,20,26
"HIMACHAL PRADESH","Una",8,31,15,82,136
"JAMMU & KASHMIR","Anantnagh",NA,NA,NA,NA,NA
"JAMMU & KASHMIR","Baramulla",5,4,0,0,9
"JAMMU & KASHMIR","Budgam",NA,NA,NA,NA,NA
"JAMMU & KASHMIR","Doda",NA,NA,NA,NA,NA
"JAMMU & KASHMIR","Jammu",30,34,0,0,64
"JAMMU & KASHMIR","Kargil",NA,NA,NA,NA,NA
"JAMMU & KASHMIR","Kathua",6,3,0,0,9
"JAMMU & KASHMIR","Kupwara",NA,NA,NA,NA,NA
"JAMMU & KASHMIR","Leh",NA,NA,NA,NA,NA
"JAMMU & KASHMIR","Poonch",NA,NA,NA,NA,NA
"JAMMU & KASHMIR","Pulwama",NA,NA,NA,NA,NA
"JAMMU & KASHMIR","Rajouri",NA,NA,NA,NA,NA
"JAMMU & KASHMIR","Srinagar",3,12,0,0,15
"JAMMU & KASHMIR","Udhampur",NA,NA,NA,NA,NA
"KARNATAKA","BANGALORE RURAL",8378,2149,9,6,10542
"KARNATAKA","BANGALORE URBAN",7344,232,2,9,7587
"KARNATAKA","BELGAUM",8076,3980,13,40,12109
"KARNATAKA","BELLARY",9197,916,1,6,10120
"KARNATAKA","BIDAR",2764,972,0,10,3746
"KARNATAKA","BIJAPUR",2547,3092,25,2,5666
"KARNATAKA","CHIKKAMAGALORE",1957,93,1,2,2053
"KARNATAKA","CHITRADURGA",8917,630,3,3,9553
"KARNATAKA","DAKSHINA KANNADA",1773,140,2,0,1915
"KARNATAKA","DHARWAR",9838,1318,3,10,11169
"KARNATAKA","GULBARGA",277,30,0,0,307
"KARNATAKA","HASSAN",1250,13,1,3,1267
"KARNATAKA","KODAGU",22,1,0,0,23
"KARNATAKA","KOLAR",10509,12025,5,29,22568
"KARNATAKA","MANDYA",3283,69,0,1,3353
"KARNATAKA","MYSORE",4596,910,5,1,5512
"KARNATAKA","RAICHUR",4155,499,3,12,4669
"KARNATAKA","SHIMOGA",6291,315,1,12,6619
"KARNATAKA","TUMKUR",24815,6506,39,34,31394
"KARNATAKA","UTTARA KANNADA",390,18,0,2,410
"KERALA","ALAPUZHA",58,0,0,0,58
"KERALA","ERANAKULAM",5,6,1,0,12
"KERALA","IDUKKI",2,0,0,0,2
"KERALA","KANNUR",17,0,0,0,17
"KERALA","KASARAGODE",30,0,0,0,30
"KERALA","KOLLAM",5,1,2,0,8
"KERALA","KOTTAYAM",0,11,0,0,11
"KERALA","KOZHIKODE",1,1,0,0,2
"KERALA","MALAPPURAM",12,1,0,0,13
"KERALA","PALAKKAD",25,4,0,0,29
"KERALA","PATHANAMTHITTA",9,0,0,0,9
"KERALA","THIRUVANANTHAPURAM",6,0,0,0,6
"KERALA","THRISSUR",1,0,0,0,1
"KERALA","WAYANAD",NA,NA,NA,NA,NA
"MADHYA PRADESH","BALAGHAT",1,0,0,0,1
"MADHYA PRADESH","BASTAR",2,0,0,2,4
"MADHYA PRADESH","BETUL",227,27,0,0,254
"MADHYA PRADESH","BHIND",121,0,0,1,122
"MADHYA PRADESH","BHOPAL",NA,NA,NA,NA,NA
"MADHYA PRADESH","BILASPUR",414,58,1,2,475
"MADHYA PRADESH","CHHATARPUR",184,8,20,2,214
"MADHYA PRADESH","CHHINDWARA",1736,144,0,1,1881
"MADHYA PRADESH","DAMOH",195,25,0,0,220
"MADHYA PRADESH","DATIA",NA,NA,NA,NA,NA
"MADHYA PRADESH","DEWAS",960,68,0,2,1030
"MADHYA PRADESH","DHAR",254,185,9,0,448
"MADHYA PRADESH","DURG",120,21,6,0,147
"MADHYA PRADESH","GUNA",463,0,0,0,463
"MADHYA PRADESH","GWALIOR",47,0,0,0,47
"MADHYA PRADESH","HOSHANGABAD",64,43,5,31,143
"MADHYA PRADESH","INDORE",790,195,0,0,985
"MADHYA PRADESH","JABALPUR",439,46,11,15,511
"MADHYA PRADESH","JHABUA",16,37,0,0,53
"MADHYA PRADESH","KHANDWA",154,692,107,9,962
"MADHYA PRADESH","KHARGONE",330,883,1,1,1215
"MADHYA PRADESH","MANDLA",0,2,0,0,2
"MADHYA PRADESH","MANDSAUR",508,652,0,5,1165
"MADHYA PRADESH","MORENA",288,0,0,0,288
"MADHYA PRADESH","NARSIMHAPUR",1177,226,8,29,1440
"MADHYA PRADESH","PANNA",31,28,0,0,59
"MADHYA PRADESH","RAIGARH",358,70,1,4,433
"MADHYA PRADESH","RAIPUR",169,13,0,0,182
"MADHYA PRADESH","RAISEN",76,22,4,3,105
"MADHYA PRADESH","RAJGARH",115,42,0,0,157
"MADHYA PRADESH","RAJNANDGAON",57,12,1,0,70
"MADHYA PRADESH","RATLAM",1116,702,1,8,1827
"MADHYA PRADESH","REWA",497,16,1,3,517
"MADHYA PRADESH","SAGAR",192,0,0,0,192
"MADHYA PRADESH","SATNA",1706,85,3,1,1795
"MADHYA PRADESH","SEHORE",5,0,0,0,5
"MADHYA PRADESH","SEONI",1262,5,0,0,1267
"MADHYA PRADESH","SHAHDOL",186,6,0,0,192
"MADHYA PRADESH","SHAJAPUR",586,1,0,1,588
"MADHYA PRADESH","SHIVPURI",234,9,0,0,243
"MADHYA PRADESH","SIDHI",24,1,0,0,25
"MADHYA PRADESH","SURGUJA",1548,81,0,6,1635
"MADHYA PRADESH","TIKAMGARH",807,0,0,0,807
"MADHYA PRADESH","UJJAIN",2078,3,0,17,2098
"MADHYA PRADESH","VIDISHA",130,54,0,0,184
"MAHARASHTRA","",NA,NA,NA,NA,NA
"MANIPUR","BISHNUPUR",NA,NA,NA,NA,NA
"MANIPUR","CHANDEL",NA,NA,NA,NA,NA
"MANIPUR","CHURACHANDPUR",NA,NA,NA,NA,NA
"MANIPUR","IMPHAL",NA,NA,NA,NA,NA
"MANIPUR","SENAPATI",NA,NA,NA,NA,NA
"MANIPUR","TAMENGLONG",NA,NA,NA,NA,NA
"MANIPUR","THOUBAL",NA,NA,NA,NA,NA
"MANIPUR","UKHRUL",NA,NA,NA,NA,NA
"MEGHALAYA","EAST GARO HILLS",0,1,0,0,1
"MEGHALAYA","EAST KHASI HILLS",NA,NA,NA,NA,NA
"MEGHALAYA","JAINTIA HILLS",NA,NA,NA,NA,NA
"MEGHALAYA","RI BHOI DISTRICT",NA,NA,NA,NA,NA
"MEGHALAYA","SOUTH GARO HILLS",NA,NA,NA,NA,NA
"MEGHALAYA","WEST GARO HILLS",0,3,3,0,6
"MEGHALAYA","WEST KHASI HILLS",NA,NA,NA,NA,NA
"MIZORAM","AIZAWL",NA,NA,NA,NA,NA
"MIZORAM","CHHIMTUIPUI",NA,NA,NA,NA,NA
"MIZORAM","LUNGLEI",NA,NA,NA,NA,NA
"NAGALAND","KOHIMA",3,0,0,0,3
"NAGALAND","MOKOKCHUNG",NA,NA,NA,NA,NA
"NAGALAND","MON",NA,NA,NA,NA,NA
"NAGALAND","PHEK",NA,NA,NA,NA,NA
"NAGALAND","TUENSANG",NA,NA,NA,NA,NA
"NAGALAND","WOKHA",NA,NA,NA,NA,NA
"NAGALAND","ZUNHEBOTO",NA,NA,NA,NA,NA
"ORISSA","ANGUL",NA,NA,NA,NA,NA
"ORISSA","BALASORE",174,1188,111,0,1473
"ORISSA","BARAGARH",13,3,0,0,16
"ORISSA","BHADRAK",30,394,54,0,478
"ORISSA","BOLANGIR",2,0,0,0,2
"ORISSA","BOUDH",1,0,0,0,1
"ORISSA","CUTTACK",5,127,27,1,160
"ORISSA","DEOGARH",NA,NA,NA,NA,NA
"ORISSA","DHENKANAL",1,0,0,0,1
"ORISSA","GAJAPATI",2,0,0,0,2
"ORISSA","GANJAM",4,3,0,0,7
"ORISSA","JAGATSINGHPUR",32,48,2,2,84
"ORISSA","JAJPUR",39,266,48,0,353
"ORISSA","JHARSUGUDA",9,2,0,0,11
"ORISSA","KALAHANDI",3,0,0,0,3
"ORISSA","KENDRAPARA",11,20,9,0,40
"ORISSA","KEONJHAR",0,5,0,0,5
"ORISSA","KHURDA",8,4,0,1,13
"ORISSA","KORAPUT",NA,NA,NA,NA,NA
"ORISSA","MALKANGIRI",NA,NA,NA,NA,NA
"ORISSA","MAYURBHANJ",171,56,2,1,230
"ORISSA","NAYAGARH",0,2,0,0,2
"ORISSA","NOWRANGPUR",NA,NA,NA,NA,NA
"ORISSA","NUAPADA",1,0,0,0,1
"ORISSA","PHULBANI",NA,NA,NA,NA,NA
"ORISSA","PURI",22,4,1,1,28
"ORISSA","RAYAGADA",0,1,0,0,1
"ORISSA","SAMBALPUR",NA,NA,NA,NA,NA
"ORISSA","SONEPUR",NA,NA,NA,NA,NA
"ORISSA","SUNDARGARH",NA,NA,NA,NA,NA
"PUNJAB","AMRITSAR",1,0,0,0,1
"PUNJAB","BATHINDA",8,0,0,1,9
"PUNJAB","FARIDKOT",NA,NA,NA,NA,NA
"PUNJAB","FATEHGARH SAHIB",15,14,0,0,29
"PUNJAB","FEROZEPUR",NA,NA,NA,NA,NA
"PUNJAB","GURDASPUR",11,7,0,13,31
"PUNJAB","HOSHIARPUR",62,61,14,437,574
"PUNJAB","JALANDHAR",NA,NA,NA,NA,NA
"PUNJAB","KAPURTHALA",3,10,2,0,15
"PUNJAB","LUDHIANA",0,2,0,0,2
"PUNJAB","MANSA",0,0,1,14,15
"PUNJAB","PATIALA",2,107,224,77,410
"PUNJAB","ROPAR",5,73,33,51,162
"PUNJAB","SANGRUR",775,252,0,2,1029
"RAJASTHAN","AJMER",0,3,0,0,3
"RAJASTHAN","ALWAR",NA,NA,NA,NA,NA
"RAJASTHAN","BANSWARA",NA,NA,NA,NA,NA
"RAJASTHAN","BARAN",362,124,4,8,498
"RAJASTHAN","BARMER",0,0,0,5,5
"RAJASTHAN","BHARATPUR",270,41,12,31,354
"RAJASTHAN","BHILWARA",6,44,0,0,50
"RAJASTHAN","BIKANER",0,0,0,19,19
"RAJASTHAN","BUNDI",75,0,0,0,75
"RAJASTHAN","CHITTORGARH",256,341,54,189,840
"RAJASTHAN","CHURU",0,4,20,12,36
"RAJASTHAN","DAUSA",0,3,0,0,3
"RAJASTHAN","DHOLPUR",NA,NA,NA,NA,NA
"RAJASTHAN","DUNGARPUR",11,4,1,36,52
"RAJASTHAN","GANGANAGAR",NA,NA,NA,NA,NA
"RAJASTHAN","HANUMANGARH",NA,NA,NA,NA,NA
"RAJASTHAN","JAIPUR",NA,NA,NA,NA,NA
"RAJASTHAN","JAISALMER",0,0,0,2,2
"RAJASTHAN","JALORE",0,15,19,44,78
"RAJASTHAN","JHALAWAR",16,57,0,0,73
"RAJASTHAN","JHUNJHNU",NA,NA,NA,NA,NA
"RAJASTHAN","JODHPUR",177,724,1392,3804,6097
"RAJASTHAN","KOTA",4,50,67,208,329
"RAJASTHAN","NAGAUR",122,421,855,2295,3693
"RAJASTHAN","PALI",9,103,10,158,280
"RAJASTHAN","RAJSAMAND",2,11,0,0,13
"RAJASTHAN","SAWAI-MADHOPUR",2,23,0,0,25
"RAJASTHAN","SIKAR",NA,NA,NA,NA,NA
"RAJASTHAN","SIROHI",NA,NA,NA,NA,NA
"RAJASTHAN","TONK",4,1,0,1,6
"RAJASTHAN","UDAIPUR",13,6,0,0,19
"SIKKIM","EAST SIKKIM",NA,NA,NA,NA,NA
"SIKKIM","NORTH SIKKIM",NA,NA,NA,NA,NA
"SIKKIM","SOUTH SIKKIM",NA,NA,NA,NA,NA
"SIKKIM","WEST SIKKIM",NA,NA,NA,NA,NA
"TAMIL NADU","COIMBATORE",2165,1712,310,10,4197
"TAMIL NADU","CUDDALORE",3720,2496,1148,329,7693
"TAMIL NADU","DHARMAPURI",338,17,3,0,358
"TAMIL NADU","DINDIGUL",88,10,0,0,98
"TAMIL NADU","ERODE",1076,385,7,5,1473
"TAMIL NADU","KANCHIPURAM",2,0,0,0,2
"TAMIL NADU","KANNIYAKUMARI",3,0,0,0,3
"TAMIL NADU","KARUR",146,3,0,0,149
"TAMIL NADU","MADRAS",NA,NA,NA,NA,NA
"TAMIL NADU","MADURAI",4,0,0,0,4
"TAMIL NADU","NAGAPATTINAM",4,6,0,0,10
"TAMIL NADU","NAMAKKAL",1847,194,3,7,2051
"TAMIL NADU","PERAMBALUR",249,296,40,9,594
"TAMIL NADU","PUDUKOTTAI",542,440,150,16,1148
"TAMIL NADU","RAMNATHAPURAM",115,36,2,1,154
"TAMIL NADU","SALEM",1057,153,1,8,1219
"TAMIL NADU","SIVAGANGA",47,13,26,6,92
"TAMIL NADU","THANJAVUR",2142,736,109,24,3011
"TAMIL NADU","THE NILGIRIS",NA,NA,NA,NA,NA
"TAMIL NADU","THENI",278,5,0,0,283
"TAMIL NADU","THOOTHUGUDI",NA,NA,NA,NA,NA
"TAMIL NADU","TIRUNELVELI",31,1,0,1,33
"TAMIL NADU","TIRUVALLUR",144,116,2,0,262
"TAMIL NADU","TIRUVANNAMALAI",NA,NA,NA,NA,NA
"TAMIL NADU","TIRUVARUR",770,5,0,3,778
"TAMIL NADU","TRICHIRAPPALLI",7,0,0,1,8
"TAMIL NADU","VELLORE",NA,NA,NA,NA,NA
"TAMIL NADU","VILLUPURAM",2720,3855,2604,163,9342
"TAMIL NADU","VIRUDHUNAGAR",4,0,0,0,4
"TRIPURA","DHALAI",0,1,1,0,2
"TRIPURA","NORTH",0,1,3,5,9
"TRIPURA","SOUTH",0,1,8,30,39
"TRIPURA","WEST",1,0,26,54,81
"UTTAR PRADESH","AGRA",3,208,0,323,534
"UTTAR PRADESH","ALIGARH",6,4,45,5,60
"UTTAR PRADESH","ALLAHABAD",4,14,64,418,500
"UTTAR PRADESH","ALMORA",NA,NA,NA,NA,NA
"UTTAR PRADESH","AMBEDKAR NAGAR",0,3,96,5,104
"UTTAR PRADESH","AZAMGARH",1,4,33,4,42
"UTTAR PRADESH","BADAUN",16,206,354,120,696
"UTTAR PRADESH","BAHRAICH",8,29,233,21,291
"UTTAR PRADESH","BALLIA",16,102,321,130,569
"UTTAR PRADESH","BANDA",5,63,28,90,186
"UTTAR PRADESH","BARABANKI",NA,NA,NA,NA,NA
"UTTAR PRADESH","BAREILLY",17,139,488,52,696
"UTTAR PRADESH","BASTI",NA,NA,NA,NA,NA
"UTTAR PRADESH","BIJNOR",10,135,88,154,387
"UTTAR PRADESH","BULANDSHAHR",NA,NA,NA,NA,NA
"UTTAR PRADESH","CHAMOLI(GOPESHWAR)",NA,NA,NA,NA,NA
"UTTAR PRADESH","DEHRADUN",3,18,6,41,68
"UTTAR PRADESH","DEORIA",16,66,297,91,470
"UTTAR PRADESH","ETAH",7,3,14,3,27
"UTTAR PRADESH","ETAWAH",10,83,26,162,281
"UTTAR PRADESH","FAIZABAD",10,2,121,75,208
"UTTAR PRADESH","FARUKHABAD",4,0,3,30,37
"UTTAR PRADESH","FATEHPUR",1,13,37,222,273
"UTTAR PRADESH","FIROZABAD",7,3,6,92,108
"UTTAR PRADESH","GHAZIABAD",0,1,216,26,243
"UTTAR PRADESH","GHAZIPUR",226,112,9,2,349
"UTTAR PRADESH","GONDA",7,190,128,63,388
"UTTAR PRADESH","GORAKHPUR",22,21,345,205,593
