-----
{
 "description": "The table refers to block wise distribution of surface flow schemes according to ownership. It has been sourced from 2nd census of minor irrigation scheme(1993-94) from Ministry of Water Resources.", 
 "file_name": "blcktab4.2.csv", 
 "title": "Download CSV for Blockwise Distribution of surface flow schemes according to ownership for 2nd census of Minor Irrigation Schemes (1993-94)", 
 "url": "http://data.gov.in/sites/default/files/blcktab4.2.csv"
}
-----
State,District,Block,Government owned,Cooperative Societies,Panchayat owned,Group of farmers,Individual farmers,Others,Total
ANDHRA PRADESH,ADILABAD,KOUTHALA,68,0,0,0,0,0,68
ANDHRA PRADESH,ADILABAD,KUBEER,8,0,0,0,0,0,8
ANDHRA PRADESH,ADILABAD,KUNTALA,25,0,22,0,0,0,47
ANDHRA PRADESH,ADILABAD,LAHESRA,59,0,0,0,0,0,59
ANDHRA PRADESH,ADILABAD,LAXMANCHANDA,34,0,0,0,0,0,34
ANDHRA PRADESH,ADILABAD,LUXETTIPET,1,1,38,0,0,0,40
ANDHRA PRADESH,ADILABAD,MAMDA,26,0,5,0,0,0,31
ANDHRA PRADESH,ADILABAD,MANCHERIAL,35,0,6,0,0,0,41
ANDHRA PRADESH,ADILABAD,MANDAMARRI,13,0,0,0,0,0,13
ANDHRA PRADESH,ADILABAD,MUDHOLE,90,0,0,0,0,0,90
ANDHRA PRADESH,ADILABAD,NARNOOR,NA,NA,NA,NA,NA,NA,NA
ANDHRA PRADESH,ADILABAD,NENNAL,45,0,0,0,0,0,45
ANDHRA PRADESH,ADILABAD,NERADIGONDA,4,0,3,0,0,0,7
ANDHRA PRADESH,ADILABAD,NIRMAL,3,0,0,0,0,0,3
ANDHRA PRADESH,ADILABAD,REBBENA,33,0,0,0,5,0,38
ANDHRA PRADESH,ADILABAD,SARANGAPUR,NA,NA,NA,NA,NA,NA,NA
ANDHRA PRADESH,ADILABAD,SIRPUR,NA,NA,NA,NA,NA,NA,NA
ANDHRA PRADESH,ADILABAD,SIRPUR (T),45,0,0,0,2,0,47
ANDHRA PRADESH,ADILABAD,TALAMADUGU,1,0,0,0,111,0,112
ANDHRA PRADESH,ADILABAD,TAMSI,11,0,0,0,0,0,11
ANDHRA PRADESH,ADILABAD,TANDUR,49,1,0,0,0,0,50
ANDHRA PRADESH,ADILABAD,TANUR,5,0,0,0,0,0,5
ANDHRA PRADESH,ADILABAD,TIRYANI,NA,NA,NA,NA,NA,NA,NA
ANDHRA PRADESH,ADILABAD,UTNUR,2,0,0,0,0,0,2
ANDHRA PRADESH,ADILABAD,VEMANPALLE,13,0,3,0,0,0,16
ANDHRA PRADESH,ADILABAD,WANKDI,3,0,0,0,0,0,3
ANDHRA PRADESH,ANANTHAPUR,AGALI,36,0,0,0,2,0,38
ANDHRA PRADESH,ANANTHAPUR,AMADAGUR,28,0,35,0,0,0,63
ANDHRA PRADESH,ANANTHAPUR,AMARAPURAM,23,0,0,0,0,0,23
ANDHRA PRADESH,ANANTHAPUR,ANANTAPUR,9,0,0,0,0,0,9
ANDHRA PRADESH,ANANTHAPUR,ATMAKUR,8,0,0,0,0,0,8
ANDHRA PRADESH,ANANTHAPUR,BATHALAPALLE,67,0,0,0,2,0,69
ANDHRA PRADESH,ANANTHAPUR,BELUGUPPA,7,0,0,0,0,0,7
ANDHRA PRADESH,ANANTHAPUR,BOMMANAHAL,8,0,0,0,0,0,8
ANDHRA PRADESH,ANANTHAPUR,BRAHMASAMUDRAM,14,0,1,0,0,0,15
ANDHRA PRADESH,ANANTHAPUR,BUKKAPATNAM,33,0,0,0,0,0,33
ANDHRA PRADESH,ANANTHAPUR,BUKKARAYASAMUDRAM,35,0,0,0,0,0,35
ANDHRA PRADESH,ANANTHAPUR,CHENNEKOTHAPALLE,6,0,4,0,0,0,10
ANDHRA PRADESH,ANANTHAPUR,CHILAMATHUR,65,1,0,0,0,0,66
ANDHRA PRADESH,ANANTHAPUR,D.HIREHAL,19,0,0,0,0,0,19
ANDHRA PRADESH,ANANTHAPUR,DHARMAVARAM,76,0,0,0,6,0,82
ANDHRA PRADESH,ANANTHAPUR,GANDLAPENTA,54,0,0,1,0,0,55
ANDHRA PRADESH,ANANTHAPUR,GARLADINNE,16,0,0,4,0,0,20
ANDHRA PRADESH,ANANTHAPUR,GOOTY,46,0,0,3,0,0,49
ANDHRA PRADESH,ANANTHAPUR,GORANTLA,82,0,0,0,0,0,82
ANDHRA PRADESH,ANANTHAPUR,GUDIBANDA,38,0,0,0,0,0,38
ANDHRA PRADESH,ANANTHAPUR,GUMMAGATA,26,0,0,0,0,0,26
ANDHRA PRADESH,ANANTHAPUR,GUNTAKAL,35,0,0,0,6,9,50
ANDHRA PRADESH,ANANTHAPUR,HINDUPUR,16,0,33,0,1,0,50
ANDHRA PRADESH,ANANTHAPUR,KADIRI,7,0,66,0,1,1,75
ANDHRA PRADESH,ANANTHAPUR,KALYANDRUG,5,0,0,0,0,0,5
ANDHRA PRADESH,ANANTHAPUR,KAMBADUR,54,1,2,0,16,15,88
ANDHRA PRADESH,ANANTHAPUR,KANAGANAPALLE,53,1,0,3,0,2,59
ANDHRA PRADESH,ANANTHAPUR,KANEKAL,13,0,0,3,0,0,16
ANDHRA PRADESH,ANANTHAPUR,KOTHACHERUVU,22,0,0,0,0,0,22
ANDHRA PRADESH,ANANTHAPUR,KUDAIR,83,0,0,0,0,20,103
ANDHRA PRADESH,ANANTHAPUR,KUNDURPI,72,0,0,0,21,6,99
ANDHRA PRADESH,ANANTHAPUR,LEPAKSHI,45,0,0,0,0,0,45
ANDHRA PRADESH,ANANTHAPUR,MADAKASIRA,45,0,1,2,6,3,57
ANDHRA PRADESH,ANANTHAPUR,MUDIGUBBA,81,0,0,0,0,0,81
ANDHRA PRADESH,ANANTHAPUR,NALLACHERUVU,43,0,0,0,1,0,44
ANDHRA PRADESH,ANANTHAPUR,NALLAMADA,38,0,0,0,0,0,38
ANDHRA PRADESH,ANANTHAPUR,NAMBULAPULIKUNTA,2,0,61,0,4,0,67
ANDHRA PRADESH,ANANTHAPUR,NARPALA,36,0,0,6,5,0,47
ANDHRA PRADESH,ANANTHAPUR,OBULADEVARACHERUVU,39,0,0,0,1,0,40
ANDHRA PRADESH,ANANTHAPUR,PAMIDI,37,0,0,0,0,0,37
ANDHRA PRADESH,ANANTHAPUR,PARIGI,25,0,0,0,0,0,25
ANDHRA PRADESH,ANANTHAPUR,PEDDAPAPPUR,10,0,0,0,0,0,10
ANDHRA PRADESH,ANANTHAPUR,PEDDAVADUGUR,57,0,0,0,0,0,57
ANDHRA PRADESH,ANANTHAPUR,PENUKONDA,82,0,0,0,0,0,82
ANDHRA PRADESH,ANANTHAPUR,PUTLUR,2,0,0,0,0,0,2
ANDHRA PRADESH,ANANTHAPUR,PUTTAPARTHI,34,2,0,0,0,0,36
ANDHRA PRADESH,ANANTHAPUR,RAMAGIRI,48,0,0,0,0,0,48
ANDHRA PRADESH,ANANTHAPUR,RAPTADU,13,0,0,0,0,0,13
ANDHRA PRADESH,ANANTHAPUR,RAYADURG,26,0,0,0,0,0,26
ANDHRA PRADESH,ANANTHAPUR,RODDAM,61,0,0,0,2,0,63
ANDHRA PRADESH,ANANTHAPUR,ROLLA,23,0,0,0,8,0,31
ANDHRA PRADESH,ANANTHAPUR,SETTUR,11,0,0,0,0,0,11
ANDHRA PRADESH,ANANTHAPUR,SINGANAMALA,59,0,0,0,0,0,59
ANDHRA PRADESH,ANANTHAPUR,SOMANDEPALLE,46,1,0,0,0,0,47
ANDHRA PRADESH,ANANTHAPUR,TADIMARRI,75,1,0,0,0,1,77
ANDHRA PRADESH,ANANTHAPUR,TADPATRI,17,0,0,0,1,0,18
ANDHRA PRADESH,ANANTHAPUR,TALUPULA,2,0,58,0,0,0,60
ANDHRA PRADESH,ANANTHAPUR,TANAKAL,91,0,1,0,1,0,93
ANDHRA PRADESH,ANANTHAPUR,URAVAKONDA,37,0,0,10,38,0,85
ANDHRA PRADESH,ANANTHAPUR,VAJRAKARUR,31,0,0,0,0,0,31
ANDHRA PRADESH,ANANTHAPUR,VIDAPANAKAL,2,0,0,0,0,0,2
ANDHRA PRADESH,ANANTHAPUR,YADIKI,18,0,0,0,1,0,19
ANDHRA PRADESH,ANANTHAPUR,YELLANUR,18,0,0,1,0,0,19
ANDHRA PRADESH,CHITTOOR,B.KOTHAKOTA,182,0,0,0,1,3,186
ANDHRA PRADESH,CHITTOOR,BAIREDDIPALLE,116,0,0,1,1,44,162
ANDHRA PRADESH,CHITTOOR,BANGARUPALEM,42,0,0,0,1,0,43
ANDHRA PRADESH,CHITTOOR,BUCHINAIDU KHANDRIGA,80,0,0,0,2,0,82
ANDHRA PRADESH,CHITTOOR,CHANDRAGIRI,7,0,2,0,0,0,9
ANDHRA PRADESH,CHITTOOR,CHINNAGOTTIGALLU,170,0,0,0,11,0,181
ANDHRA PRADESH,CHITTOOR,CHITTOOR,31,0,0,1,12,1,45
ANDHRA PRADESH,CHITTOOR,CHOWDE[ALLE,220,3,0,0,4,12,239
ANDHRA PRADESH,CHITTOOR,GANGADHARA NELLORE,116,0,0,0,2,0,118
ANDHRA PRADESH,CHITTOOR,GANGAVARAM,181,0,0,0,1,4,186
ANDHRA PRADESH,CHITTOOR,GUDIPALA,52,0,3,0,1,0,56
ANDHRA PRADESH,CHITTOOR,GUDUPALLE,147,0,0,0,3,2,152
ANDHRA PRADESH,CHITTOOR,GURRAMKONDA,145,0,0,0,0,0,145
ANDHRA PRADESH,CHITTOOR,IRALA,108,0,0,1,1,1,111
ANDHRA PRADESH,CHITTOOR,K.V.B. PURAM,90,0,1,0,3,1,95
ANDHRA PRADESH,CHITTOOR,KALAKADA,114,0,0,0,0,0,114
ANDHRA PRADESH,CHITTOOR,KALIKIRI,147,0,0,0,2,4,153
ANDHRA PRADESH,CHITTOOR,KAMACHANDRA PURAM,0,0,4,0,0,0,4
ANDHRA PRADESH,CHITTOOR,KAMBHAMVARIPALLE,218,1,2,1,0,0,222
ANDHRA PRADESH,CHITTOOR,KARVETINAGAR,50,0,0,0,2,0,52
ANDHRA PRADESH,CHITTOOR,KUPPAM,106,0,4,1,0,7,118
ANDHRA PRADESH,CHITTOOR,KURABALAKOTA,159,0,0,0,1,0,160
ANDHRA PRADESH,CHITTOOR,MADANAPALLE,155,0,0,0,0,0,155
ANDHRA PRADESH,CHITTOOR,MULAKALACHERUVU,137,0,1,1,0,0,139
ANDHRA PRADESH,CHITTOOR,NAGALAPURAM,27,0,0,2,0,0,29
ANDHRA PRADESH,CHITTOOR,NAGARI,35,0,0,0,0,0,35
ANDHRA PRADESH,CHITTOOR,NARAYANAVANAM,20,0,0,0,0,0,20
ANDHRA PRADESH,CHITTOOR,NIMMANAPALLE,168,0,0,1,1,2,172
ANDHRA PRADESH,CHITTOOR,NINDRA,30,0,0,0,0,0,30
ANDHRA PRADESH,CHITTOOR,PAKALA,113,1,0,1,0,0,115
ANDHRA PRADESH,CHITTOOR,PALAMANERU,91,1,0,1,11,0,104
ANDHRA PRADESH,CHITTOOR,PALASAMUDRAM,16,0,0,0,0,15,31
ANDHRA PRADESH,CHITTOOR,PEDDAMANDYAM,105,1,0,0,16,0,122
ANDHRA PRADESH,CHITTOOR,PEDDAPANJANI,257,0,0,0,4,0,261
ANDHRA PRADESH,CHITTOOR,PEDDATHIPPASAMDRAM,127,0,0,0,0,0,127
ANDHRA PRADESH,CHITTOOR,PENUMURU,72,0,0,0,0,0,72
ANDHRA PRADESH,CHITTOOR,PICHATURU,32,0,0,1,0,0,33
ANDHRA PRADESH,CHITTOOR,PILERU,174,0,0,0,5,52,231
ANDHRA PRADESH,CHITTOOR,PULICHERLA,202,0,0,1,1,0,204
ANDHRA PRADESH,CHITTOOR,PUNGANURU,206,0,0,0,0,0,206
ANDHRA PRADESH,CHITTOOR,PUTHALAPATTU,97,1,0,0,0,0,98
ANDHRA PRADESH,CHITTOOR,PUTTURU,32,0,0,0,0,0,32
ANDHRA PRADESH,CHITTOOR,RAMAKUPPAM,74,0,0,1,11,33,119
ANDHRA PRADESH,CHITTOOR,RAMASAMUDRAM,198,0,0,0,0,0,198
ANDHRA PRADESH,CHITTOOR,RENIGUNTA,45,0,0,0,0,1,46
ANDHRA PRADESH,CHITTOOR,ROMPICHERLA,179,0,0,0,0,0,179
ANDHRA PRADESH,CHITTOOR,SANTHIPURAM,95,0,0,0,13,37,145
ANDHRA PRADESH,CHITTOOR,SATYAVEDU,107,0,0,0,5,0,112
ANDHRA PRADESH,CHITTOOR,SODAM,165,0,1,0,130,1,297
ANDHRA PRADESH,CHITTOOR,SOMALA,185,0,0,1,1,0,187
ANDHRA PRADESH,CHITTOOR,SRIKALAHASTI,100,0,4,0,2,0,106
ANDHRA PRADESH,CHITTOOR,SRIRANGARAJAPURAM,17,0,2,0,10,1,30
ANDHRA PRADESH,CHITTOOR,THAMBALLAPALLE,135,0,1,0,0,1,137
ANDHRA PRADESH,CHITTOOR,THAVANAMPALLE,69,0,0,0,1,0,70
ANDHRA PRADESH,CHITTOOR,THOTTAMBEDA,67,0,25,0,0,0,92
ANDHRA PRADESH,CHITTOOR,TIRUPATI (RURAL),6,0,3,0,0,1,10
ANDHRA PRADESH,CHITTOOR,TIRUPATI (URBAN),10,0,0,0,0,0,10
ANDHRA PRADESH,CHITTOOR,VADAMALAPETA,19,0,0,0,0,0,19
ANDHRA PRADESH,CHITTOOR,VARADAIAHPALEM,73,0,1,0,0,0,74
ANDHRA PRADESH,CHITTOOR,VAYALPAD,147,0,0,4,1,3,155
ANDHRA PRADESH,CHITTOOR,VEDURUKUPPAM,108,1,0,0,4,1,114
ANDHRA PRADESH,CHITTOOR,VENKATAGIRIKOTA,144,1,0,0,0,0,145
ANDHRA PRADESH,CHITTOOR,VIJAYAPURAM,31,0,0,0,1,0,32
ANDHRA PRADESH,CHITTOOR,YADAMARI,57,0,0,0,0,0,57
ANDHRA PRADESH,CHITTOOR,YERPEDU,90,1,1,1,0,0,93
ANDHRA PRADESH,CHITTOOR,YERRAVARIPALEM,261,0,0,0,0,0,261
ANDHRA PRADESH,CUDDAPAH,ATLUR,36,0,0,0,0,0,36
ANDHRA PRADESH,CUDDAPAH,B.KODUR,29,0,7,2,1,0,39
ANDHRA PRADESH,CUDDAPAH,BADVEL,19,1,11,0,0,0,31
ANDHRA PRADESH,CUDDAPAH,BRAHMAMGARIMATHAM,38,0,0,1,0,0,39
ANDHRA PRADESH,CUDDAPAH,CHAKARAYAPET,88,0,0,0,0,0,88
ANDHRA PRADESH,CUDDAPAH,CHAPAD,0,0,0,0,0,1,1
ANDHRA PRADESH,CUDDAPAH,CHENNAMANDEM,127,0,0,0,0,0,127
ANDHRA PRADESH,CUDDAPAH,CHENNUR,NA,NA,NA,NA,NA,NA,NA
ANDHRA PRADESH,CUDDAPAH,CHINTHAKOMMADINNE,41,0,2,0,1,1,45
ANDHRA PRADESH,CUDDAPAH,CHITVEL,6,0,0,2,0,0,8
ANDHRA PRADESH,CUDDAPAH,CUDDAPAH,5,0,0,0,2,0,7
ANDHRA PRADESH,CUDDAPAH,DUVVUR,267,0,0,0,3,0,270
ANDHRA PRADESH,CUDDAPAH,GALIVEEDU,213,0,0,1,0,0,214
ANDHRA PRADESH,CUDDAPAH,GOPAVARAM,35,0,0,0,0,0,35
ANDHRA PRADESH,CUDDAPAH,JAMMALAMADUGU,10,0,5,0,0,0,15
ANDHRA PRADESH,CUDDAPAH,KALASAPADU,28,0,2,1,0,0,31
ANDHRA PRADESH,CUDDAPAH,KAMALAPURAM,6,0,0,0,0,0,6
ANDHRA PRADESH,CUDDAPAH,KHAJIPET,2,0,0,0,0,0,2
ANDHRA PRADESH,CUDDAPAH,KODUR,13,0,0,0,0,0,13
ANDHRA PRADESH,CUDDAPAH,KONDAPURAM,2,0,0,0,0,0,2
ANDHRA PRADESH,CUDDAPAH,LAKKIREDDIPALLE,114,0,0,0,0,0,114
ANDHRA PRADESH,CUDDAPAH,LINGALA,NA,NA,NA,NA,NA,NA,NA
ANDHRA PRADESH,CUDDAPAH,MUDDANUR,10,0,0,0,0,0,10
ANDHRA PRADESH,CUDDAPAH,MYLAVARAM,17,0,12,0,0,0,29
ANDHRA PRADESH,CUDDAPAH,NANDALUR,0,0,0,26,0,0,26
ANDHRA PRADESH,CUDDAPAH,OBULAVARIPALLE,27,0,0,0,0,0,27
ANDHRA PRADESH,CUDDAPAH,PEDDAMUDIUM,0,0,3,0,0,0,3
ANDHRA PRADESH,CUDDAPAH,PENAGALUR,24,0,0,0,0,0,24
ANDHRA PRADESH,CUDDAPAH,PENDLIMARRI,NA,NA,NA,NA,NA,NA,NA
ANDHRA PRADESH,CUDDAPAH,PORUMAMILLA,50,1,0,0,0,0,51
ANDHRA PRADESH,CUDDAPAH,PRODDUTUR,NA,NA,NA,NA,NA,NA,NA
ANDHRA PRADESH,CUDDAPAH,PULIVENDLA,NA,NA,NA,NA,NA,NA,NA
ANDHRA PRADESH,CUDDAPAH,PULLAMPETA,30,0,0,0,0,0,30
ANDHRA PRADESH,CUDDAPAH,RAJAMPET,23,0,0,0,0,0,23
ANDHRA PRADESH,CUDDAPAH,RAJUPALEM,1,0,0,0,0,0,1
ANDHRA PRADESH,CUDDAPAH,RAMAPURAM,83,0,0,1,0,0,84
ANDHRA PRADESH,CUDDAPAH,ROYACHOTI,95,0,4,10,14,0,123
ANDHRA PRADESH,CUDDAPAH,S.MYDUKUR,9,0,0,0,3,0,12
ANDHRA PRADESH,CUDDAPAH,SAMBEPALLE,55,0,0,0,1,0,56
ANDHRA PRADESH,CUDDAPAH,SIDHOUT,NA,NA,NA,NA,NA,NA,NA
ANDHRA PRADESH,CUDDAPAH,SIMHADRIPURAM,NA,NA,NA,NA,NA,NA,NA
ANDHRA PRADESH,CUDDAPAH,T.SUNDUPALLE,100,2,0,0,0,0,102
ANDHRA PRADESH,CUDDAPAH,THONDUR,5,0,0,0,0,0,5
ANDHRA PRADESH,CUDDAPAH,VALLUR,6,0,0,0,0,0,6
ANDHRA PRADESH,CUDDAPAH,VEERABALLE,78,0,0,0,0,0,78
ANDHRA PRADESH,CUDDAPAH,VEERAPUNAYUNIPALLE,2,0,0,0,2,0,4
ANDHRA PRADESH,CUDDAPAH,VEMPALLE,12,0,0,0,1,0,13
ANDHRA PRADESH,CUDDAPAH,VEMULA,9,0,0,0,2,0,11
ANDHRA PRADESH,CUDDAPAH,VONTIMITTA,12,0,6,0,0,0,18
ANDHRA PRADESH,CUDDAPAH,YERRAGUNTLA,4,0,0,0,0,0,4
ANDHRA PRADESH,EAST GODAVARI,ADDATEEGALA,67,0,0,0,4,0,71
ANDHRA PRADESH,EAST GODAVARI,AINAVILLI,NA,NA,NA,NA,NA,NA,NA
ANDHRA PRADESH,EAST GODAVARI,ALAMURU,NA,NA,NA,NA,NA,NA,NA
ANDHRA PRADESH,EAST GODAVARI,ALLAVARAM,NA,NA,NA,NA,NA,NA,NA
ANDHRA PRADESH,EAST GODAVARI,AMALAPURAM,NA,NA,NA,NA,NA,NA,NA
ANDHRA PRADESH,EAST GODAVARI,AMBAJIPETA,NA,NA,NA,NA,NA,NA,NA
ANDHRA PRADESH,EAST GODAVARI,ANAPARTHY,0,0,17,0,1,0,18
ANDHRA PRADESH,EAST GODAVARI,ATREYAPURAM,NA,NA,NA,NA,NA,NA,NA
ANDHRA PRADESH,EAST GODAVARI,BICCAVOLU,12,0,20,0,1,0,33
ANDHRA PRADESH,EAST GODAVARI,DEVIPATNAM,47,1,0,0,0,0,48
ANDHRA PRADESH,EAST GODAVARI,GANDEPALLE,110,0,0,0,6,0,116
ANDHRA PRADESH,EAST GODAVARI,GANGAVARAM,15,0,0,0,0,0,15
ANDHRA PRADESH,EAST GODAVARI,GOKAVARAM,114,0,0,0,2,0,116
ANDHRA PRADESH,EAST GODAVARI,GOLLAPROLU,47,0,1,0,0,0,48
ANDHRA PRADESH,EAST GODAVARI,I. POLAVARAM,NA,NA,NA,NA,NA,NA,NA
ANDHRA PRADESH,EAST GODAVARI,JAGGAMPETA,55,0,0,0,52,0,107
ANDHRA PRADESH,EAST GODAVARI,KADIAM,9,0,0,0,0,0,9
ANDHRA PRADESH,EAST GODAVARI,KAJULURU,NA,NA,NA,NA,NA,NA,NA
ANDHRA PRADESH,EAST GODAVARI,KAKINADA RURAL,NA,NA,NA,NA,NA,NA,NA
ANDHRA PRADESH,EAST GODAVARI,KAKINADA URBAN,NA,NA,NA,NA,NA,NA,NA
ANDHRA PRADESH,EAST GODAVARI,KAPILESWARAPURAM,NA,NA,NA,NA,NA,NA,NA
ANDHRA PRADESH,EAST GODAVARI,KARAPA,NA,NA,NA,NA,NA,NA,NA
ANDHRA PRADESH,EAST GODAVARI,KATRENIKONA,NA,NA,NA,NA,NA,NA,NA
ANDHRA PRADESH,EAST GODAVARI,KIRLAMPUDI,1,0,5,0,2,0,8
ANDHRA PRADESH,EAST GODAVARI,KORUKONDA,108,0,0,0,2,0,110
ANDHRA PRADESH,EAST GODAVARI,KOTANANDURU,88,0,0,0,1,0,89
ANDHRA PRADESH,EAST GODAVARI,KOTHAPALLE,NA,NA,NA,NA,NA,NA,NA
ANDHRA PRADESH,EAST GODAVARI,KOTHAPETA,NA,NA,NA,NA,NA,NA,NA
ANDHRA PRADESH,EAST GODAVARI,MALIKIPURAM,NA,NA,NA,NA,NA,NA,NA
ANDHRA PRADESH,EAST GODAVARI,MAMIDIKUDURU,NA,NA,NA,NA,NA,NA,NA
ANDHRA PRADESH,EAST GODAVARI,MANDAPETA,13,0,0,0,15,0,28
ANDHRA PRADESH,EAST GODAVARI,MAREDUMILLI,4,0,0,0,7,0,11
ANDHRA PRADESH,EAST GODAVARI,MUMMIDIVARAM,NA,NA,NA,NA,NA,NA,NA
ANDHRA PRADESH,EAST GODAVARI,P.GANNAVARAM,NA,NA,NA,NA,NA,NA,NA
ANDHRA PRADESH,EAST GODAVARI,PAMARRU,NA,NA,NA,NA,NA,NA,NA
ANDHRA PRADESH,EAST GODAVARI,PEDAPUDI,NA,NA,NA,NA,NA,NA,NA
ANDHRA PRADESH,EAST GODAVARI,PEDDAPURAM,11,0,37,0,4,0,52
ANDHRA PRADESH,EAST GODAVARI,PITHAPURAM,NA,NA,NA,NA,NA,NA,NA
ANDHRA PRADESH,EAST GODAVARI,PRATHIPADU,26,0,4,0,51,4,85
ANDHRA PRADESH,EAST GODAVARI,RAJAHMUNDRY RURAL,16,0,0,0,1,0,17
ANDHRA PRADESH,EAST GODAVARI,RAJAHMUNDRY URBAN,NA,NA,NA,NA,NA,NA,NA
ANDHRA PRADESH,EAST GODAVARI,RAJANAGARAM,195,0,0,0,4,0,199
ANDHRA PRADESH,EAST GODAVARI,RAJAVOMMANGI,85,0,0,0,0,0,85
ANDHRA PRADESH,EAST GODAVARI,RAMACHANDRAPURAM,NA,NA,NA,NA,NA,NA,NA
ANDHRA PRADESH,EAST GODAVARI,RAMPACHODAVARAM,31,0,0,0,0,0,31
ANDHRA PRADESH,EAST GODAVARI,RANGAMPETA,141,0,2,0,0,0,143
ANDHRA PRADESH,EAST GODAVARI,RAVULAPALEM,NA,NA,NA,NA,NA,NA,NA
ANDHRA PRADESH,EAST GODAVARI,RAYAVARAM,NA,NA,NA,NA,NA,NA,NA
ANDHRA PRADESH,EAST GODAVARI,RAZOLE,NA,NA,NA,NA,NA,NA,NA
ANDHRA PRADESH,EAST GODAVARI,SAKHINETIPALLE,NA,NA,NA,NA,NA,NA,NA
ANDHRA PRADESH,EAST GODAVARI,SAMALKOTA,29,0,0,0,0,0,29
ANDHRA PRADESH,EAST GODAVARI,SANKHAVARAM,105,0,0,0,9,0,114
ANDHRA PRADESH,EAST GODAVARI,SEETHANAGARAM,NA,NA,NA,NA,NA,NA,NA
ANDHRA PRADESH,EAST GODAVARI,THALLAREVU,NA,NA,NA,NA,NA,NA,NA
ANDHRA PRADESH,EAST GODAVARI,THONDANGI,37,1,0,0,1,0,39
ANDHRA PRADESH,EAST GODAVARI,TUNI,22,0,32,33,15,0,102
ANDHRA PRADESH,EAST GODAVARI,UPPALAGUPTAM,NA,NA,NA,NA,NA,NA,NA
ANDHRA PRADESH,EAST GODAVARI,Y. RAMAVARAM,22,0,0,10,7,1,40
ANDHRA PRADESH,EAST GODAVARI,YELESWARAM,5,0,16,0,3,0,24
ANDHRA PRADESH,GUNTUR,ACHAMPET,0,0,5,0,0,0,5
ANDHRA PRADESH,GUNTUR,AMARAVATHI,2,0,1,0,0,0,3
ANDHRA PRADESH,GUNTUR,AMRUTHALUR,NA,NA,NA,NA,NA,NA,NA
ANDHRA PRADESH,GUNTUR,BAPATLA,NA,NA,NA,NA,NA,NA,NA
ANDHRA PRADESH,GUNTUR,BELLAMKONDA,4,0,0,0,0,2,6
ANDHRA PRADESH,GUNTUR,BHATTIPROLU,NA,NA,NA,NA,NA,NA,NA
ANDHRA PRADESH,GUNTUR,BOLLAPALLE,9,0,0,0,0,0,9
ANDHRA PRADESH,GUNTUR,CHEBROLE,1,0,0,0,0,0,1
