-----
{
 "description": "The table refers to block wise distribution of surface flow schemes by type. It has been sourced from 2nd census of minor irrigation scheme(1993-94) from Ministry of Water Resources.", 
 "file_name": "blcktab4.5.csv", 
 "title": "Download CSV for Blockwise Distribution of Surface Flow Schemes by its type for 2nd census of Minor Irrigation Schemes (1993-94)", 
 "url": "http://data.gov.in/sites/default/files/blcktab4.5.csv"
}
-----
State,District,Block,Flow schemes - Storage,Flow schemes - Permanent Diversion,Flow schemes - Temporary Diversion,Flow schemes - Water Circulation,Total
ANDHRA PRADESH,ADILABAD,JANNARAM,47,0,0,0,47
ANDHRA PRADESH,ADILABAD,KADDAM (PEDDUR),14,16,0,0,30
ANDHRA PRADESH,ADILABAD,KAGAZNAGAR,35,0,0,1,36
ANDHRA PRADESH,ADILABAD,KASIPET,7,0,5,0,12
ANDHRA PRADESH,ADILABAD,KERAMERI,NA,NA,NA,NA,NA
ANDHRA PRADESH,ADILABAD,KHANPUR,11,0,0,0,11
ANDHRA PRADESH,ADILABAD,KOTAPALLE,34,0,0,0,34
ANDHRA PRADESH,ADILABAD,KOUTHALA,68,0,0,0,68
ANDHRA PRADESH,ADILABAD,KUBEER,8,0,0,0,8
ANDHRA PRADESH,ADILABAD,KUNTALA,44,1,2,0,47
ANDHRA PRADESH,ADILABAD,LAHESRA,59,0,0,0,59
ANDHRA PRADESH,ADILABAD,LAXMANCHANDA,34,0,0,0,34
ANDHRA PRADESH,ADILABAD,LUXETTIPET,40,0,0,0,40
ANDHRA PRADESH,ADILABAD,MAMDA,31,0,0,0,31
ANDHRA PRADESH,ADILABAD,MANCHERIAL,41,0,0,0,41
ANDHRA PRADESH,ADILABAD,MANDAMARRI,13,0,0,0,13
ANDHRA PRADESH,ADILABAD,MUDHOLE,89,0,0,1,90
ANDHRA PRADESH,ADILABAD,NARNOOR,NA,NA,NA,NA,NA
ANDHRA PRADESH,ADILABAD,NENNAL,45,0,0,0,45
ANDHRA PRADESH,ADILABAD,NERADIGONDA,7,0,0,0,7
ANDHRA PRADESH,ADILABAD,NIRMAL,3,0,0,0,3
ANDHRA PRADESH,ADILABAD,REBBENA,37,0,1,0,38
ANDHRA PRADESH,ADILABAD,SARANGAPUR,NA,NA,NA,NA,NA
ANDHRA PRADESH,ADILABAD,SIRPUR,NA,NA,NA,NA,NA
ANDHRA PRADESH,ADILABAD,SIRPUR (T),47,0,0,0,47
ANDHRA PRADESH,ADILABAD,TALAMADUGU,112,0,0,0,112
ANDHRA PRADESH,ADILABAD,TAMSI,11,0,0,0,11
ANDHRA PRADESH,ADILABAD,TANDUR,49,1,0,0,50
ANDHRA PRADESH,ADILABAD,TANUR,5,0,0,0,5
ANDHRA PRADESH,ADILABAD,TIRYANI,NA,NA,NA,NA,NA
ANDHRA PRADESH,ADILABAD,UTNUR,2,0,0,0,2
ANDHRA PRADESH,ADILABAD,VEMANPALLE,16,0,0,0,16
ANDHRA PRADESH,ADILABAD,WANKDI,1,1,0,1,3
ANDHRA PRADESH,ANANTHAPUR,AGALI,35,0,3,0,38
ANDHRA PRADESH,ANANTHAPUR,AMADAGUR,43,0,1,19,63
ANDHRA PRADESH,ANANTHAPUR,AMARAPURAM,22,0,0,1,23
ANDHRA PRADESH,ANANTHAPUR,ANANTAPUR,9,0,0,0,9
ANDHRA PRADESH,ANANTHAPUR,ATMAKUR,7,0,0,1,8
ANDHRA PRADESH,ANANTHAPUR,BATHALAPALLE,11,37,2,19,69
ANDHRA PRADESH,ANANTHAPUR,BELUGUPPA,0,0,0,7,7
ANDHRA PRADESH,ANANTHAPUR,BOMMANAHAL,0,7,0,1,8
ANDHRA PRADESH,ANANTHAPUR,BRAHMASAMUDRAM,10,3,0,2,15
ANDHRA PRADESH,ANANTHAPUR,BUKKAPATNAM,15,0,0,18,33
ANDHRA PRADESH,ANANTHAPUR,BUKKARAYASAMUDRAM,28,7,0,0,35
ANDHRA PRADESH,ANANTHAPUR,CHENNEKOTHAPALLE,10,0,0,0,10
ANDHRA PRADESH,ANANTHAPUR,CHILAMATHUR,65,1,0,0,66
ANDHRA PRADESH,ANANTHAPUR,D.HIREHAL,5,0,0,14,19
ANDHRA PRADESH,ANANTHAPUR,DHARMAVARAM,24,18,0,40,82
ANDHRA PRADESH,ANANTHAPUR,GANDLAPENTA,31,8,4,12,55
ANDHRA PRADESH,ANANTHAPUR,GARLADINNE,8,12,0,0,20
ANDHRA PRADESH,ANANTHAPUR,GOOTY,14,1,2,32,49
ANDHRA PRADESH,ANANTHAPUR,GORANTLA,82,0,0,0,82
ANDHRA PRADESH,ANANTHAPUR,GUDIBANDA,30,0,0,8,38
ANDHRA PRADESH,ANANTHAPUR,GUMMAGATA,0,0,0,26,26
ANDHRA PRADESH,ANANTHAPUR,GUNTAKAL,7,30,13,0,50
ANDHRA PRADESH,ANANTHAPUR,HINDUPUR,2,5,43,0,50
ANDHRA PRADESH,ANANTHAPUR,KADIRI,65,2,2,6,75
ANDHRA PRADESH,ANANTHAPUR,KALYANDRUG,1,0,0,4,5
ANDHRA PRADESH,ANANTHAPUR,KAMBADUR,20,15,34,19,88
ANDHRA PRADESH,ANANTHAPUR,KANAGANAPALLE,42,12,0,5,59
ANDHRA PRADESH,ANANTHAPUR,KANEKAL,1,3,10,2,16
ANDHRA PRADESH,ANANTHAPUR,KOTHACHERUVU,12,0,0,10,22
ANDHRA PRADESH,ANANTHAPUR,KUDAIR,16,1,2,84,103
ANDHRA PRADESH,ANANTHAPUR,KUNDURPI,36,39,1,23,99
ANDHRA PRADESH,ANANTHAPUR,LEPAKSHI,45,0,0,0,45
ANDHRA PRADESH,ANANTHAPUR,MADAKASIRA,36,5,12,4,57
ANDHRA PRADESH,ANANTHAPUR,MUDIGUBBA,80,0,1,0,81
ANDHRA PRADESH,ANANTHAPUR,NALLACHERUVU,20,13,9,2,44
ANDHRA PRADESH,ANANTHAPUR,NALLAMADA,37,1,0,0,38
ANDHRA PRADESH,ANANTHAPUR,NAMBULAPULIKUNTA,67,0,0,0,67
ANDHRA PRADESH,ANANTHAPUR,NARPALA,10,11,1,25,47
ANDHRA PRADESH,ANANTHAPUR,OBULADEVARACHERUVU,32,0,0,8,40
ANDHRA PRADESH,ANANTHAPUR,PAMIDI,13,19,0,5,37
ANDHRA PRADESH,ANANTHAPUR,PARIGI,22,1,0,2,25
ANDHRA PRADESH,ANANTHAPUR,PEDDAPAPPUR,0,0,0,10,10
ANDHRA PRADESH,ANANTHAPUR,PEDDAVADUGUR,9,6,38,4,57
ANDHRA PRADESH,ANANTHAPUR,PENUKONDA,17,1,2,62,82
ANDHRA PRADESH,ANANTHAPUR,PUTLUR,1,0,0,1,2
ANDHRA PRADESH,ANANTHAPUR,PUTTAPARTHI,15,2,5,14,36
ANDHRA PRADESH,ANANTHAPUR,RAMAGIRI,40,0,0,8,48
ANDHRA PRADESH,ANANTHAPUR,RAPTADU,11,0,0,2,13
ANDHRA PRADESH,ANANTHAPUR,RAYADURG,2,9,2,13,26
ANDHRA PRADESH,ANANTHAPUR,RODDAM,31,2,0,30,63
ANDHRA PRADESH,ANANTHAPUR,ROLLA,23,1,3,4,31
ANDHRA PRADESH,ANANTHAPUR,SETTUR,3,0,1,7,11
ANDHRA PRADESH,ANANTHAPUR,SINGANAMALA,6,0,36,17,59
ANDHRA PRADESH,ANANTHAPUR,SOMANDEPALLE,44,0,0,3,47
ANDHRA PRADESH,ANANTHAPUR,TADIMARRI,3,52,3,19,77
ANDHRA PRADESH,ANANTHAPUR,TADPATRI,7,2,8,1,18
ANDHRA PRADESH,ANANTHAPUR,TALUPULA,59,0,1,0,60
ANDHRA PRADESH,ANANTHAPUR,TANAKAL,57,7,28,1,93
ANDHRA PRADESH,ANANTHAPUR,URAVAKONDA,26,34,17,8,85
ANDHRA PRADESH,ANANTHAPUR,VAJRAKARUR,10,5,14,2,31
ANDHRA PRADESH,ANANTHAPUR,VIDAPANAKAL,0,2,0,0,2
ANDHRA PRADESH,ANANTHAPUR,YADIKI,5,3,2,9,19
ANDHRA PRADESH,ANANTHAPUR,YELLANUR,5,0,0,14,19
ANDHRA PRADESH,CHITTOOR,B.KOTHAKOTA,168,1,3,14,186
ANDHRA PRADESH,CHITTOOR,BAIREDDIPALLE,153,0,8,1,162
ANDHRA PRADESH,CHITTOOR,BANGARUPALEM,41,0,0,2,43
ANDHRA PRADESH,CHITTOOR,BUCHINAIDU KHANDRIGA,82,0,0,0,82
ANDHRA PRADESH,CHITTOOR,CHANDRAGIRI,7,0,0,2,9
ANDHRA PRADESH,CHITTOOR,CHINNAGOTTIGALLU,170,0,9,2,181
ANDHRA PRADESH,CHITTOOR,CHITTOOR,4,40,0,1,45
ANDHRA PRADESH,CHITTOOR,CHOWDE[ALLE,239,0,0,0,239
ANDHRA PRADESH,CHITTOOR,GANGADHARA NELLORE,118,0,0,0,118
ANDHRA PRADESH,CHITTOOR,GANGAVARAM,153,20,13,0,186
ANDHRA PRADESH,CHITTOOR,GUDIPALA,41,9,6,0,56
ANDHRA PRADESH,CHITTOOR,GUDUPALLE,133,0,2,17,152
ANDHRA PRADESH,CHITTOOR,GURRAMKONDA,144,1,0,0,145
ANDHRA PRADESH,CHITTOOR,IRALA,111,0,0,0,111
ANDHRA PRADESH,CHITTOOR,K.V.B. PURAM,94,0,0,1,95
ANDHRA PRADESH,CHITTOOR,KALAKADA,114,0,0,0,114
ANDHRA PRADESH,CHITTOOR,KALIKIRI,153,0,0,0,153
ANDHRA PRADESH,CHITTOOR,KAMACHANDRA PURAM,4,0,0,0,4
ANDHRA PRADESH,CHITTOOR,KAMBHAMVARIPALLE,221,1,0,0,222
ANDHRA PRADESH,CHITTOOR,KARVETINAGAR,51,0,0,1,52
ANDHRA PRADESH,CHITTOOR,KUPPAM,117,1,0,0,118
ANDHRA PRADESH,CHITTOOR,KURABALAKOTA,154,0,5,1,160
ANDHRA PRADESH,CHITTOOR,MADANAPALLE,154,1,0,0,155
ANDHRA PRADESH,CHITTOOR,MULAKALACHERUVU,112,23,0,4,139
ANDHRA PRADESH,CHITTOOR,NAGALAPURAM,25,3,0,1,29
ANDHRA PRADESH,CHITTOOR,NAGARI,35,0,0,0,35
ANDHRA PRADESH,CHITTOOR,NARAYANAVANAM,20,0,0,0,20
ANDHRA PRADESH,CHITTOOR,NIMMANAPALLE,162,3,3,4,172
ANDHRA PRADESH,CHITTOOR,NINDRA,28,0,2,0,30
ANDHRA PRADESH,CHITTOOR,PAKALA,105,5,0,5,115
ANDHRA PRADESH,CHITTOOR,PALAMANERU,80,24,0,0,104
ANDHRA PRADESH,CHITTOOR,PALASAMUDRAM,29,2,0,0,31
ANDHRA PRADESH,CHITTOOR,PEDDAMANDYAM,122,0,0,0,122
ANDHRA PRADESH,CHITTOOR,PEDDAPANJANI,261,0,0,0,261
ANDHRA PRADESH,CHITTOOR,PEDDATHIPPASAMDRAM,122,0,0,5,127
ANDHRA PRADESH,CHITTOOR,PENUMURU,65,0,0,7,72
ANDHRA PRADESH,CHITTOOR,PICHATURU,30,1,1,1,33
ANDHRA PRADESH,CHITTOOR,PILERU,184,47,0,0,231
ANDHRA PRADESH,CHITTOOR,PULICHERLA,203,1,0,0,204
ANDHRA PRADESH,CHITTOOR,PUNGANURU,142,0,46,18,206
ANDHRA PRADESH,CHITTOOR,PUTHALAPATTU,98,0,0,0,98
ANDHRA PRADESH,CHITTOOR,PUTTURU,32,0,0,0,32
ANDHRA PRADESH,CHITTOOR,RAMAKUPPAM,82,0,37,0,119
ANDHRA PRADESH,CHITTOOR,RAMASAMUDRAM,193,5,0,0,198
ANDHRA PRADESH,CHITTOOR,RENIGUNTA,46,0,0,0,46
ANDHRA PRADESH,CHITTOOR,ROMPICHERLA,1,29,147,2,179
ANDHRA PRADESH,CHITTOOR,SANTHIPURAM,144,0,0,1,145
ANDHRA PRADESH,CHITTOOR,SATYAVEDU,111,0,1,0,112
ANDHRA PRADESH,CHITTOOR,SODAM,273,11,7,6,297
ANDHRA PRADESH,CHITTOOR,SOMALA,172,4,0,11,187
ANDHRA PRADESH,CHITTOOR,SRIKALAHASTI,106,0,0,0,106
ANDHRA PRADESH,CHITTOOR,SRIRANGARAJAPURAM,9,18,2,1,30
ANDHRA PRADESH,CHITTOOR,THAMBALLAPALLE,136,1,0,0,137
ANDHRA PRADESH,CHITTOOR,THAVANAMPALLE,42,1,17,10,70
ANDHRA PRADESH,CHITTOOR,THOTTAMBEDA,86,6,0,0,92
ANDHRA PRADESH,CHITTOOR,TIRUPATI (RURAL),10,0,0,0,10
ANDHRA PRADESH,CHITTOOR,TIRUPATI (URBAN),10,0,0,0,10
ANDHRA PRADESH,CHITTOOR,VADAMALAPETA,19,0,0,0,19
ANDHRA PRADESH,CHITTOOR,VARADAIAHPALEM,74,0,0,0,74
ANDHRA PRADESH,CHITTOOR,VAYALPAD,153,2,0,0,155
ANDHRA PRADESH,CHITTOOR,VEDURUKUPPAM,108,0,0,6,114
ANDHRA PRADESH,CHITTOOR,VENKATAGIRIKOTA,123,22,0,0,145
ANDHRA PRADESH,CHITTOOR,VIJAYAPURAM,28,4,0,0,32
ANDHRA PRADESH,CHITTOOR,YADAMARI,34,0,0,23,57
ANDHRA PRADESH,CHITTOOR,YERPEDU,89,0,0,4,93
ANDHRA PRADESH,CHITTOOR,YERRAVARIPALEM,247,0,1,13,261
ANDHRA PRADESH,CUDDAPAH,ATLUR,35,1,0,0,36
ANDHRA PRADESH,CUDDAPAH,B.KODUR,36,2,1,0,39
ANDHRA PRADESH,CUDDAPAH,BADVEL,29,0,0,2,31
ANDHRA PRADESH,CUDDAPAH,BRAHMAMGARIMATHAM,27,0,0,12,39
ANDHRA PRADESH,CUDDAPAH,CHAKARAYAPET,45,43,0,0,88
ANDHRA PRADESH,CUDDAPAH,CHAPAD,0,0,0,1,1
ANDHRA PRADESH,CUDDAPAH,CHENNAMANDEM,86,41,0,0,127
ANDHRA PRADESH,CUDDAPAH,CHENNUR,NA,NA,NA,NA,NA
ANDHRA PRADESH,CUDDAPAH,CHINTHAKOMMADINNE,22,8,0,15,45
ANDHRA PRADESH,CUDDAPAH,CHITVEL,8,0,0,0,8
ANDHRA PRADESH,CUDDAPAH,CUDDAPAH,5,0,0,2,7
ANDHRA PRADESH,CUDDAPAH,DUVVUR,270,0,0,0,270
ANDHRA PRADESH,CUDDAPAH,GALIVEEDU,203,0,11,0,214
ANDHRA PRADESH,CUDDAPAH,GOPAVARAM,35,0,0,0,35
ANDHRA PRADESH,CUDDAPAH,JAMMALAMADUGU,13,2,0,0,15
ANDHRA PRADESH,CUDDAPAH,KALASAPADU,24,7,0,0,31
ANDHRA PRADESH,CUDDAPAH,KAMALAPURAM,6,0,0,0,6
ANDHRA PRADESH,CUDDAPAH,KHAJIPET,1,1,0,0,2
ANDHRA PRADESH,CUDDAPAH,KODUR,12,1,0,0,13
ANDHRA PRADESH,CUDDAPAH,KONDAPURAM,2,0,0,0,2
ANDHRA PRADESH,CUDDAPAH,LAKKIREDDIPALLE,103,0,11,0,114
ANDHRA PRADESH,CUDDAPAH,LINGALA,NA,NA,NA,NA,NA
ANDHRA PRADESH,CUDDAPAH,MUDDANUR,10,0,0,0,10
ANDHRA PRADESH,CUDDAPAH,MYLAVARAM,22,0,7,0,29
ANDHRA PRADESH,CUDDAPAH,NANDALUR,17,9,0,0,26
ANDHRA PRADESH,CUDDAPAH,OBULAVARIPALLE,27,0,0,0,27
ANDHRA PRADESH,CUDDAPAH,PEDDAMUDIUM,2,1,0,0,3
ANDHRA PRADESH,CUDDAPAH,PENAGALUR,17,7,0,0,24
ANDHRA PRADESH,CUDDAPAH,PENDLIMARRI,NA,NA,NA,NA,NA
ANDHRA PRADESH,CUDDAPAH,PORUMAMILLA,43,1,0,7,51
ANDHRA PRADESH,CUDDAPAH,PRODDUTUR,NA,NA,NA,NA,NA
ANDHRA PRADESH,CUDDAPAH,PULIVENDLA,NA,NA,NA,NA,NA
ANDHRA PRADESH,CUDDAPAH,PULLAMPETA,26,3,0,1,30
ANDHRA PRADESH,CUDDAPAH,RAJAMPET,16,7,0,0,23
ANDHRA PRADESH,CUDDAPAH,RAJUPALEM,0,0,1,0,1
ANDHRA PRADESH,CUDDAPAH,RAMAPURAM,69,6,5,4,84
ANDHRA PRADESH,CUDDAPAH,ROYACHOTI,38,85,0,0,123
ANDHRA PRADESH,CUDDAPAH,S.MYDUKUR,10,0,0,2,12
ANDHRA PRADESH,CUDDAPAH,SAMBEPALLE,54,2,0,0,56
ANDHRA PRADESH,CUDDAPAH,SIDHOUT,NA,NA,NA,NA,NA
ANDHRA PRADESH,CUDDAPAH,SIMHADRIPURAM,NA,NA,NA,NA,NA
ANDHRA PRADESH,CUDDAPAH,T.SUNDUPALLE,102,0,0,0,102
ANDHRA PRADESH,CUDDAPAH,THONDUR,5,0,0,0,5
ANDHRA PRADESH,CUDDAPAH,VALLUR,5,1,0,0,6
ANDHRA PRADESH,CUDDAPAH,VEERABALLE,61,0,17,0,78
ANDHRA PRADESH,CUDDAPAH,VEERAPUNAYUNIPALLE,4,0,0,0,4
ANDHRA PRADESH,CUDDAPAH,VEMPALLE,8,5,0,0,13
ANDHRA PRADESH,CUDDAPAH,VEMULA,6,0,0,5,11
ANDHRA PRADESH,CUDDAPAH,VONTIMITTA,11,1,3,3,18
ANDHRA PRADESH,CUDDAPAH,YERRAGUNTLA,4,0,0,0,4
ANDHRA PRADESH,EAST GODAVARI,ADDATEEGALA,70,0,0,1,71
ANDHRA PRADESH,EAST GODAVARI,AINAVILLI,NA,NA,NA,NA,NA
ANDHRA PRADESH,EAST GODAVARI,ALAMURU,NA,NA,NA,NA,NA
ANDHRA PRADESH,EAST GODAVARI,ALLAVARAM,NA,NA,NA,NA,NA
ANDHRA PRADESH,EAST GODAVARI,AMALAPURAM,NA,NA,NA,NA,NA
ANDHRA PRADESH,EAST GODAVARI,AMBAJIPETA,NA,NA,NA,NA,NA
ANDHRA PRADESH,EAST GODAVARI,ANAPARTHY,18,0,0,0,18
ANDHRA PRADESH,EAST GODAVARI,ATREYAPURAM,NA,NA,NA,NA,NA
ANDHRA PRADESH,EAST GODAVARI,BICCAVOLU,33,0,0,0,33
ANDHRA PRADESH,EAST GODAVARI,DEVIPATNAM,26,0,0,22,48
ANDHRA PRADESH,EAST GODAVARI,GANDEPALLE,115,0,1,0,116
ANDHRA PRADESH,EAST GODAVARI,GANGAVARAM,9,0,6,0,15
ANDHRA PRADESH,EAST GODAVARI,GOKAVARAM,18,1,93,4,116
ANDHRA PRADESH,EAST GODAVARI,GOLLAPROLU,48,0,0,0,48
ANDHRA PRADESH,EAST GODAVARI,I. POLAVARAM,NA,NA,NA,NA,NA
ANDHRA PRADESH,EAST GODAVARI,JAGGAMPETA,107,0,0,0,107
ANDHRA PRADESH,EAST GODAVARI,KADIAM,9,0,0,0,9
ANDHRA PRADESH,EAST GODAVARI,KAJULURU,NA,NA,NA,NA,NA
ANDHRA PRADESH,EAST GODAVARI,KAKINADA RURAL,NA,NA,NA,NA,NA
ANDHRA PRADESH,EAST GODAVARI,KAKINADA URBAN,NA,NA,NA,NA,NA
ANDHRA PRADESH,EAST GODAVARI,KAPILESWARAPURAM,NA,NA,NA,NA,NA
ANDHRA PRADESH,EAST GODAVARI,KARAPA,NA,NA,NA,NA,NA
ANDHRA PRADESH,EAST GODAVARI,KATRENIKONA,NA,NA,NA,NA,NA
ANDHRA PRADESH,EAST GODAVARI,KIRLAMPUDI,8,0,0,0,8
ANDHRA PRADESH,EAST GODAVARI,KORUKONDA,110,0,0,0,110
ANDHRA PRADESH,EAST GODAVARI,KOTANANDURU,84,5,0,0,89
ANDHRA PRADESH,EAST GODAVARI,KOTHAPALLE,NA,NA,NA,NA,NA
ANDHRA PRADESH,EAST GODAVARI,KOTHAPETA,NA,NA,NA,NA,NA
ANDHRA PRADESH,EAST GODAVARI,MALIKIPURAM,NA,NA,NA,NA,NA
ANDHRA PRADESH,EAST GODAVARI,MAMIDIKUDURU,NA,NA,NA,NA,NA
ANDHRA PRADESH,EAST GODAVARI,MANDAPETA,0,0,0,28,28
ANDHRA PRADESH,EAST GODAVARI,MAREDUMILLI,1,2,8,0,11
ANDHRA PRADESH,EAST GODAVARI,MUMMIDIVARAM,NA,NA,NA,NA,NA
ANDHRA PRADESH,EAST GODAVARI,P.GANNAVARAM,NA,NA,NA,NA,NA
ANDHRA PRADESH,EAST GODAVARI,PAMARRU,NA,NA,NA,NA,NA
ANDHRA PRADESH,EAST GODAVARI,PEDAPUDI,NA,NA,NA,NA,NA
ANDHRA PRADESH,EAST GODAVARI,PEDDAPURAM,52,0,0,0,52
ANDHRA PRADESH,EAST GODAVARI,PITHAPURAM,NA,NA,NA,NA,NA
ANDHRA PRADESH,EAST GODAVARI,PRATHIPADU,75,0,10,0,85
ANDHRA PRADESH,EAST GODAVARI,RAJAHMUNDRY RURAL,16,1,0,0,17
ANDHRA PRADESH,EAST GODAVARI,RAJAHMUNDRY URBAN,NA,NA,NA,NA,NA
ANDHRA PRADESH,EAST GODAVARI,RAJANAGARAM,199,0,0,0,199
ANDHRA PRADESH,EAST GODAVARI,RAJAVOMMANGI,84,1,0,0,85
ANDHRA PRADESH,EAST GODAVARI,RAMACHANDRAPURAM,NA,NA,NA,NA,NA
ANDHRA PRADESH,EAST GODAVARI,RAMPACHODAVARAM,6,0,0,25,31
ANDHRA PRADESH,EAST GODAVARI,RANGAMPETA,143,0,0,0,143
ANDHRA PRADESH,EAST GODAVARI,RAVULAPALEM,NA,NA,NA,NA,NA
ANDHRA PRADESH,EAST GODAVARI,RAYAVARAM,NA,NA,NA,NA,NA
ANDHRA PRADESH,EAST GODAVARI,RAZOLE,NA,NA,NA,NA,NA
ANDHRA PRADESH,EAST GODAVARI,SAKHINETIPALLE,NA,NA,NA,NA,NA
ANDHRA PRADESH,EAST GODAVARI,SAMALKOTA,29,0,0,0,29
ANDHRA PRADESH,EAST GODAVARI,SANKHAVARAM,96,15,3,0,114
ANDHRA PRADESH,EAST GODAVARI,SEETHANAGARAM,NA,NA,NA,NA,NA
ANDHRA PRADESH,EAST GODAVARI,THALLAREVU,NA,NA,NA,NA,NA
ANDHRA PRADESH,EAST GODAVARI,THONDANGI,39,0,0,0,39
ANDHRA PRADESH,EAST GODAVARI,TUNI,102,0,0,0,102
ANDHRA PRADESH,EAST GODAVARI,UPPALAGUPTAM,NA,NA,NA,NA,NA
ANDHRA PRADESH,EAST GODAVARI,Y. RAMAVARAM,9,24,1,6,40
ANDHRA PRADESH,EAST GODAVARI,YELESWARAM,15,9,0,0,24
ANDHRA PRADESH,GUNTUR,ACHAMPET,5,0,0,0,5
ANDHRA PRADESH,GUNTUR,AMARAVATHI,3,0,0,0,3
ANDHRA PRADESH,GUNTUR,AMRUTHALUR,NA,NA,NA,NA,NA
ANDHRA PRADESH,GUNTUR,BAPATLA,NA,NA,NA,NA,NA
ANDHRA PRADESH,GUNTUR,BELLAMKONDA,5,0,0,1,6
ANDHRA PRADESH,GUNTUR,BHATTIPROLU,NA,NA,NA,NA,NA
ANDHRA PRADESH,GUNTUR,BOLLAPALLE,9,0,0,0,9
ANDHRA PRADESH,GUNTUR,CHEBROLE,1,0,0,0,1
ANDHRA PRADESH,GUNTUR,CHERUKUPALLE,NA,NA,NA,NA,NA
ANDHRA PRADESH,GUNTUR,CHILAKALURIPET,1,0,0,0,1
ANDHRA PRADESH,GUNTUR,DACHEPALLE,NA,NA,NA,NA,NA
ANDHRA PRADESH,GUNTUR,DUGGIRALA,NA,NA,NA,NA,NA
ANDHRA PRADESH,GUNTUR,DURGI,3,0,0,0,3
ANDHRA PRADESH,GUNTUR,EDLAPADU,3,0,0,0,3
ANDHRA PRADESH,GUNTUR,GUNTUR,12,0,0,0,12
ANDHRA PRADESH,GUNTUR,GURAZALA,NA,NA,NA,NA,NA
ANDHRA PRADESH,GUNTUR,IPUR,8,1,0,0,9
ANDHRA PRADESH,GUNTUR,KAKUMANU,NA,NA,NA,NA,NA
ANDHRA PRADESH,GUNTUR,KAREMPUDI,4,0,0,0,4
ANDHRA PRADESH,GUNTUR,KARLAPALEM,NA,NA,NA,NA,NA
ANDHRA PRADESH,GUNTUR,KOLLIPARA,NA,NA,NA,NA,NA
ANDHRA PRADESH,GUNTUR,KOLLUR,NA,NA,NA,NA,NA
ANDHRA PRADESH,GUNTUR,KROSURU,6,0,0,0,6
ANDHRA PRADESH,GUNTUR,MACHAVARAM,0,0,10,0,10
ANDHRA PRADESH,GUNTUR,MACHERLA,5,0,0,0,5
ANDHRA PRADESH,GUNTUR,MANGALAGIRI,13,0,0,0,13
ANDHRA PRADESH,GUNTUR,MEDIKONDURU,1,0,0,0,1
ANDHRA PRADESH,GUNTUR,MUPPALLA,10,0,0,1,11
ANDHRA PRADESH,GUNTUR,NADENDLA,3,1,0,0,4
ANDHRA PRADESH,GUNTUR,NAGARAM,NA,NA,NA,NA,NA
ANDHRA PRADESH,GUNTUR,NARASARAOPET,8,0,0,0,8
ANDHRA PRADESH,GUNTUR,NEKARIKALLU,2,0,0,0,2
ANDHRA PRADESH,GUNTUR,NIZAMPATNAM,NA,NA,NA,NA,NA
ANDHRA PRADESH,GUNTUR,NUZENDLA,12,0,0,0,12
ANDHRA PRADESH,GUNTUR,PEDAKAKANI,8,0,0,0,8
ANDHRA PRADESH,GUNTUR,PEDAKURAPADU,1,0,0,0,1
ANDHRA PRADESH,GUNTUR,PEDANANDIPADU,NA,NA,NA,NA,NA
ANDHRA PRADESH,GUNTUR,PHIRANGIPURAM,4,0,0,0,4
ANDHRA PRADESH,GUNTUR,PIDUGURALLA,5,0,0,0,5
ANDHRA PRADESH,GUNTUR,PITTALAVANIPALEM,NA,NA,NA,NA,NA
