-----
{
 "description": "The table refers to district wise distribution of dugwells by status. It has been sourced from 2nd census of Minor Irrigation Scheme (1993-94) from Ministry of Water Resources.", 
 "file_name": "Statedgwltab1.6.csv", 
 "title": "Download CSV for District wise Distribution of Dugwells by its status for 2nd census of minor irrigation schemes", 
 "url": "http://data.gov.in/sites/default/files/Statedgwltab1.6.csv"
}
-----
"State","District","Wells in use","Not in use - Temporary","Not in use - Abandoned (Salinity)","Not in use - Dried up","Not in use - Destroyed","Not in use - Others","Total - Not in use","Grand Total (Use + Not in use)"
"ASSAM","KOKRAJHAR",NA,NA,NA,NA,NA,NA,NA,NA
"ASSAM","LAKHIMPUR",1,3,0,0,0,0,3,4
"ASSAM","MARIGAON",2,0,0,0,0,0,0,2
"ASSAM","NAGAON",NA,NA,NA,NA,NA,NA,NA,NA
"ASSAM","NALBARI",NA,NA,NA,NA,NA,NA,NA,NA
"ASSAM","NORTH CACHAR HILLS",NA,NA,NA,NA,NA,NA,NA,NA
"ASSAM","SIBSAGAR",2,0,0,0,0,0,0,2
"ASSAM","SONITPUR",8,0,0,0,1,0,1,9
"ASSAM","TINSUKIA",NA,NA,NA,NA,NA,NA,NA,NA
"BIHAR","ARARIA",1,2,0,0,1,1,4,5
"BIHAR","AURANGABAD",7855,677,0,319,67,138,1201,9056
"BIHAR","BANKA",6631,48,0,18,7,1,74,6705
"BIHAR","BEGUSARAI",25,5,1,4,3,0,13,38
"BIHAR","BHABUA",6814,51,0,39,15,12,117,6931
"BIHAR","BHAGALPUR",3984,47,0,8,19,6,80,4064
"BIHAR","BHOJPUR",2323,481,79,397,287,195,1439,3762
"BIHAR","BOKARO",7773,104,0,8,20,8,140,7913
"BIHAR","BUXAR",1243,549,0,218,69,34,870,2113
"BIHAR","CHAMPARAN EAST",16,7,0,6,1,0,14,30
"BIHAR","CHAMPARAN WEST",12,0,0,0,0,0,0,12
"BIHAR","CHATRA",12047,96,0,52,4,1,153,12200
"BIHAR","DARBHANGA",15,0,0,0,5,0,5,20
"BIHAR","DEOGHAR",8130,153,0,143,16,3,315,8445
"BIHAR","DHANBAD",2387,140,0,36,19,7,202,2589
"BIHAR","DUMKA",27311,1818,0,267,30,41,2156,29467
"BIHAR","GARHWA",12854,245,0,237,18,10,510,13364
"BIHAR","GAYA",17365,772,0,579,117,34,1502,18867
"BIHAR","GIRIDIH",21268,788,0,209,85,16,1098,22366
"BIHAR","GODDA",6537,543,0,180,31,14,768,7305
"BIHAR","GOPALGANJ",1104,672,0,101,62,162,997,2101
"BIHAR","GUMLA",29973,1728,0,509,94,42,2373,32346
"BIHAR","HAZARIBAG",30937,396,0,447,81,19,943,31880
"BIHAR","JAMUI",5594,128,0,100,8,17,253,5847
"BIHAR","JEHANABAD",3091,86,0,101,68,1,256,3347
"BIHAR","KATIHAR",2,0,0,0,0,0,0,2
"BIHAR","KHAGARIA",6,0,0,0,0,0,0,6
"BIHAR","KISHANGANJ",1,0,0,0,0,0,0,1
"BIHAR","KODARMA",9339,237,0,139,30,8,414,9753
"BIHAR","LAKHISARAI",523,28,0,57,1,0,86,609
"BIHAR","LOHARDAGA",15229,255,0,62,43,23,383,15612
"BIHAR","MADHEPURA",0,0,0,2,0,0,2,2
"BIHAR","MADHUBANI",44,0,0,1,14,0,15,59
"BIHAR","MUNGER",2040,64,3,14,1,6,88,2128
"BIHAR","MUZAFFARPUR",876,11,0,339,177,57,584,1460
"BIHAR","NALANDA",20924,544,0,655,292,40,1531,22455
"BIHAR","NAWADA",4679,399,0,713,85,11,1208,5887
"BIHAR","PAKUR",745,99,0,6,29,3,137,882
"BIHAR","PALAMU",21215,1224,0,234,89,23,1570,22785
"BIHAR","PATNA",5976,563,0,357,106,56,1082,7058
"BIHAR","PURNIA",3,0,0,0,0,0,0,3
"BIHAR","RANCHI",37924,771,226,168,75,207,1447,39371
"BIHAR","ROHTAS",6562,258,0,163,49,53,523,7085
"BIHAR","SAHARSA",NA,NA,NA,NA,NA,NA,NA,NA
"BIHAR","SAHEBGANJ",1749,187,0,124,35,9,355,2104
"BIHAR","SAMASTIPUR",17,6,0,0,0,0,6,23
"BIHAR","SARAN",938,498,0,226,258,962,1944,2882
"BIHAR","SHEIKHPURA",474,36,0,20,14,0,70,544
"BIHAR","SHEOHAR",NA,NA,NA,NA,NA,NA,NA,NA
"BIHAR","SINGHBHUM EAST",1680,408,0,194,39,28,669,2349
"BIHAR","SINGHBHUM WEST",3527,836,0,99,259,41,1235,4762
"BIHAR","SITAMARHI",8,1,0,0,1,0,2,10
"BIHAR","SIWAN",3491,2187,0,898,391,4044,7520,11011
"BIHAR","SUPAUL",NA,NA,NA,NA,NA,NA,NA,NA
"BIHAR","VAISHALI",1420,109,0,30,18,5,162,1582
"GOA","NORTH GOA",2807,23,10,1,3,9,46,2853
"GOA","SOUTH GOA",1081,36,1,0,1,3,41,1122
"GUJARAT","",NA,NA,NA,NA,NA,NA,NA,NA
"HARYANA","AMBALA",1731,0,0,0,0,0,0,1731
"HARYANA","BHIWANI",4425,0,0,0,0,87,87,4512
"HARYANA","FARIDABAD",NA,NA,NA,NA,NA,NA,NA,NA
"HARYANA","GURGAON",4082,0,0,0,0,24,24,4106
"HARYANA","HISAR",155,0,0,0,0,0,0,155
"HARYANA","JIND",NA,NA,NA,NA,NA,NA,NA,NA
"HARYANA","KAITHAL",4782,0,0,0,0,10,10,4792
"HARYANA","KARNAL",2108,0,0,0,0,3,3,2111
"HARYANA","KURUKSHETRA",NA,NA,NA,NA,NA,NA,NA,NA
"HARYANA","MEHANDERGARH",2339,0,0,0,0,8,8,2347
"HARYANA","PANCHKULA",46,0,0,0,0,0,0,46
"HARYANA","PANIPAT",443,0,0,0,0,0,0,443
"HARYANA","RIWARI",1381,0,0,0,0,1,1,1382
"HARYANA","ROHTAK",1468,0,0,0,0,38,38,1506
"HARYANA","SIRSA",1918,0,0,0,0,12,12,1930
"HARYANA","SONIPAT",124,0,0,0,0,0,0,124
"HARYANA","YAMUNA NAGAR",1250,0,0,0,0,5,5,1255
"HIMACHAL PRADESH","Bilaspur",45,0,0,0,0,0,0,45
"HIMACHAL PRADESH","Chamba",NA,NA,NA,NA,NA,NA,NA,NA
"HIMACHAL PRADESH","Hamirpur",122,0,0,0,0,0,0,122
"HIMACHAL PRADESH","Kangra",293,0,0,2,1,1,4,297
"HIMACHAL PRADESH","Kinnaur",NA,NA,NA,NA,NA,NA,NA,NA
"HIMACHAL PRADESH","Kullu",12,1,0,0,0,0,1,13
"HIMACHAL PRADESH","Lahul & Spiti",NA,NA,NA,NA,NA,NA,NA,NA
"HIMACHAL PRADESH","Mandi",20,3,1,1,0,0,5,25
"HIMACHAL PRADESH","Shimla",NA,NA,NA,NA,NA,NA,NA,NA
"HIMACHAL PRADESH","Sirmaur",166,2,0,0,0,0,2,168
"HIMACHAL PRADESH","Solan",590,3,0,2,1,0,6,596
"HIMACHAL PRADESH","Una",455,0,0,1,0,0,1,456
"JAMMU & KASHMIR","Anantnagh",NA,NA,NA,NA,NA,NA,NA,NA
"JAMMU & KASHMIR","Baramulla",183,0,0,0,0,0,0,183
"JAMMU & KASHMIR","Budgam",97,0,0,0,0,0,0,97
"JAMMU & KASHMIR","Doda",NA,NA,NA,NA,NA,NA,NA,NA
"JAMMU & KASHMIR","Jammu",101,0,0,0,0,0,0,101
"JAMMU & KASHMIR","Kargil",NA,NA,NA,NA,NA,NA,NA,NA
"JAMMU & KASHMIR","Kathua",275,0,0,0,0,0,0,275
"JAMMU & KASHMIR","Kupwara",NA,NA,NA,NA,NA,NA,NA,NA
"JAMMU & KASHMIR","Leh",NA,NA,NA,NA,NA,NA,NA,NA
"JAMMU & KASHMIR","Poonch",NA,NA,NA,NA,NA,NA,NA,NA
"JAMMU & KASHMIR","Pulwama",68,0,0,0,0,0,0,68
"JAMMU & KASHMIR","Rajouri",5,0,0,0,0,0,0,5
"JAMMU & KASHMIR","Srinagar",665,22,0,0,0,0,22,687
"JAMMU & KASHMIR","Udhampur",9,0,0,0,0,0,0,9
"KARNATAKA","BANGALORE RURAL",8137,582,242,2634,31,144,3633,11770
"KARNATAKA","BANGALORE URBAN",1333,84,63,943,12,20,1122,2455
"KARNATAKA","BELGAUM",50181,2769,424,972,145,99,4409,54590
"KARNATAKA","BELLARY",3357,251,98,611,130,131,1221,4578
"KARNATAKA","BIDAR",14602,1337,501,301,36,80,2255,16857
"KARNATAKA","BIJAPUR",35444,1636,165,488,224,67,2580,38024
"KARNATAKA","CHIKKAMAGALORE",2376,77,88,23,16,6,210,2586
"KARNATAKA","CHITRADURGA",7977,971,230,1950,42,73,3266,11243
"KARNATAKA","DAKSHINA KANNADA",29841,818,155,13,14,3,1003,30844
"KARNATAKA","DHARWAR",4920,286,116,557,51,164,1174,6094
"KARNATAKA","GULBARGA",18230,1523,177,204,102,85,2091,20321
"KARNATAKA","HASSAN",2504,87,14,45,7,7,160,2664
"KARNATAKA","KODAGU",175,1,0,0,0,0,1,176
"KARNATAKA","KOLAR",17670,1159,817,6298,164,466,8904,26574
"KARNATAKA","MANDYA",8858,184,26,49,14,54,327,9185
"KARNATAKA","MYSORE",14959,275,152,119,21,176,743,15702
"KARNATAKA","RAICHUR",15374,1058,232,145,303,78,1816,17190
"KARNATAKA","SHIMOGA",5448,136,50,67,16,52,321,5769
"KARNATAKA","TUMKUR",15809,3752,1347,9573,91,259,15022,30831
"KARNATAKA","UTTARA KANNADA",14050,274,31,18,30,3,356,14406
"KERALA","ALAPUZHA",3014,0,0,0,0,0,0,3014
"KERALA","ERANAKULAM",14662,0,0,0,0,0,0,14662
"KERALA","IDUKKI",4580,1,0,0,1,0,2,4582
"KERALA","KANNUR",11648,7,0,1,3,0,11,11659
"KERALA","KASARAGODE",4550,26,0,2,0,0,28,4578
"KERALA","KOLLAM",2370,22,2,1,2,2,29,2399
"KERALA","KOTTAYAM",8603,29,0,2,0,1,32,8635
"KERALA","KOZHIKODE",9509,0,0,0,0,0,0,9509
"KERALA","MALAPPURAM",9545,31,0,0,2,1,34,9579
"KERALA","PALAKKAD",5797,0,0,0,0,0,0,5797
"KERALA","PATHANAMTHITTA",4808,14,1,3,0,2,20,4828
"KERALA","THIRUVANANTHAPURAM",8160,2,0,0,0,0,2,8162
"KERALA","THRISSUR",38744,1,0,0,0,0,1,38745
"KERALA","WAYANAD",546,0,0,0,0,0,0,546
"MADHYA PRADESH","BALAGHAT",8219,11,20,5,4,46,86,8305
"MADHYA PRADESH","BASTAR",6020,132,7,11,12,257,419,6439
"MADHYA PRADESH","BETUL",41395,1278,62,888,87,590,2905,44300
"MADHYA PRADESH","BHIND",10502,0,0,0,0,420,420,10922
"MADHYA PRADESH","BHOPAL",6986,62,3,2,11,5,83,7069
"MADHYA PRADESH","BILASPUR",9429,171,645,66,0,0,882,10311
"MADHYA PRADESH","CHHATARPUR",40765,169,29,14,21,228,461,41226
"MADHYA PRADESH","CHHINDWARA",30588,15,31,146,31,151,374,30962
"MADHYA PRADESH","DAMOH",9588,58,14,21,7,248,348,9936
"MADHYA PRADESH","DATIA",13009,0,0,0,0,785,785,13794
"MADHYA PRADESH","DEWAS",28555,138,59,538,0,920,1655,30210
"MADHYA PRADESH","DHAR",38441,101,228,545,115,2724,3713,42154
"MADHYA PRADESH","DURG",8063,174,84,184,0,0,442,8505
"MADHYA PRADESH","GUNA",17332,0,0,0,0,41,41,17373
"MADHYA PRADESH","GWALIOR",14313,0,0,0,0,613,613,14926
"MADHYA PRADESH","HOSHANGABAD",22238,457,52,64,35,586,1194,23432
"MADHYA PRADESH","INDORE",13908,120,52,395,77,795,1439,15347
"MADHYA PRADESH","JABALPUR",10751,50,1,5,0,0,56,10807
"MADHYA PRADESH","JHABUA",13769,18,54,354,362,747,1535,15304
"MADHYA PRADESH","KHANDWA",45061,487,473,3234,198,4999,9391,54452
"MADHYA PRADESH","KHARGONE",58305,1735,317,2939,316,3693,9000,67305
"MADHYA PRADESH","MANDLA",2021,13,0,3,0,0,16,2037
"MADHYA PRADESH","MANDSAUR",120971,586,412,810,1,757,2566,123537
"MADHYA PRADESH","MORENA",17902,0,0,0,0,450,450,18352
"MADHYA PRADESH","NARSIMHAPUR",17925,4,4,7,605,39,659,18584
"MADHYA PRADESH","PANNA",4962,41,4,4,6,18,73,5035
"MADHYA PRADESH","RAIGARH",10891,165,985,44,0,0,1194,12085
"MADHYA PRADESH","RAIPUR",28918,1986,223,227,581,626,3643,32561
"MADHYA PRADESH","RAISEN",7418,94,4,9,26,49,182,7600
"MADHYA PRADESH","RAJGARH",51689,379,31,186,27,458,1081,52770
"MADHYA PRADESH","RAJNANDGAON",5136,270,74,76,0,557,977,6113
"MADHYA PRADESH","RATLAM",43276,239,324,1287,1,1445,3296,46572
"MADHYA PRADESH","REWA",10553,60,54,14,0,0,128,10681
"MADHYA PRADESH","SAGAR",27728,0,0,0,0,72,72,27800
"MADHYA PRADESH","SATNA",13351,144,3,63,0,0,210,13561
"MADHYA PRADESH","SEHORE",26235,215,25,53,22,482,797,27032
"MADHYA PRADESH","SEONI",10810,40,9,14,346,275,684,11494
"MADHYA PRADESH","SHAHDOL",5533,10,5,2,0,0,17,5550
"MADHYA PRADESH","SHAJAPUR",41686,72,89,474,0,594,1229,42915
"MADHYA PRADESH","SHIVPURI",44906,0,0,0,0,286,286,45192
"MADHYA PRADESH","SIDHI",8124,11,0,4,4,31,50,8174
"MADHYA PRADESH","SURGUJA",38700,15,700,19,0,0,734,39434
"MADHYA PRADESH","TIKAMGARH",43596,0,0,0,0,22,22,43618
"MADHYA PRADESH","UJJAIN",30769,169,230,377,0,1052,1828,32597
"MADHYA PRADESH","VIDISHA",9943,65,6,0,0,52,123,10066
"MAHARASHTRA","",NA,NA,NA,NA,NA,NA,NA,NA
"MANIPUR","BISHNUPUR",NA,NA,NA,NA,NA,NA,NA,NA
"MANIPUR","CHANDEL",NA,NA,NA,NA,NA,NA,NA,NA
"MANIPUR","CHURACHANDPUR",NA,NA,NA,NA,NA,NA,NA,NA
"MANIPUR","IMPHAL",NA,NA,NA,NA,NA,NA,NA,NA
"MANIPUR","SENAPATI",NA,NA,NA,NA,NA,NA,NA,NA
"MANIPUR","TAMENGLONG",NA,NA,NA,NA,NA,NA,NA,NA
"MANIPUR","THOUBAL",NA,NA,NA,NA,NA,NA,NA,NA
"MANIPUR","UKHRUL",NA,NA,NA,NA,NA,NA,NA,NA
"MEGHALAYA","EAST GARO HILLS",NA,NA,NA,NA,NA,NA,NA,NA
"MEGHALAYA","EAST KHASI HILLS",NA,NA,NA,NA,NA,NA,NA,NA
"MEGHALAYA","JAINTIA HILLS",NA,NA,NA,NA,NA,NA,NA,NA
"MEGHALAYA","RI BHOI DISTRICT",NA,NA,NA,NA,NA,NA,NA,NA
"MEGHALAYA","SOUTH GARO HILLS",2,0,0,0,0,0,0,2
"MEGHALAYA","WEST GARO HILLS",NA,NA,NA,NA,NA,NA,NA,NA
"MEGHALAYA","WEST KHASI HILLS",NA,NA,NA,NA,NA,NA,NA,NA
"MIZORAM","AIZAWL",251,28,0,0,4,0,32,283
"MIZORAM","CHHIMTUIPUI",23,8,0,0,0,0,8,31
"MIZORAM","LUNGLEI",129,26,1,2,1,17,47,176
"NAGALAND","KOHIMA",228,224,0,0,3,65,292,520
"NAGALAND","MOKOKCHUNG",4,6,0,0,0,0,6,10
"NAGALAND","MON",NA,NA,NA,NA,NA,NA,NA,NA
"NAGALAND","PHEK",NA,NA,NA,NA,NA,NA,NA,NA
"NAGALAND","TUENSANG",NA,NA,NA,NA,NA,NA,NA,NA
"NAGALAND","WOKHA",NA,NA,NA,NA,NA,NA,NA,NA
"NAGALAND","ZUNHEBOTO",NA,NA,NA,NA,NA,NA,NA,NA
"ORISSA","ANGUL",17521,708,73,134,106,87,1108,18629
"ORISSA","BALASORE",1426,607,11,388,122,84,1212,2638
"ORISSA","BARAGARH",13789,1032,11,76,74,10,1203,14992
"ORISSA","BHADRAK",263,123,20,11,6,8,168,431
"ORISSA","BOLANGIR",48377,3898,156,148,431,164,4797,53174
"ORISSA","BOUDH",9529,676,15,26,77,32,826,10355
"ORISSA","CUTTACK",9879,812,7,245,13,41,1118,10997
"ORISSA","DEOGARH",5746,552,1,2,14,1,570,6316
"ORISSA","DHENKANAL",7474,1572,81,72,62,229,2016,9490
"ORISSA","GAJAPATI",1641,1678,312,301,121,64,2476,4117
"ORISSA","GANJAM",24848,4422,184,326,255,385,5572,30420
"ORISSA","JAGATSINGHPUR",562,160,39,14,8,9,230,792
"ORISSA","JAJPUR",2125,236,21,19,44,18,338,2463
"ORISSA","JHARSUGUDA",5549,324,9,73,72,49,527,6076
"ORISSA","KALAHANDI",11265,3025,0,0,0,0,3025,14290
"ORISSA","KENDRAPARA",215,47,6,10,1,10,74,289
"ORISSA","KEONJHAR",14626,2735,0,0,0,0,2735,17361
"ORISSA","KHURDA",9468,4101,0,0,0,0,4101,13569
"ORISSA","KORAPUT",2567,3211,0,0,0,0,3211,5778
"ORISSA","MALKANGIRI",508,841,0,0,0,0,841,1349
"ORISSA","MAYURBHANJ",6218,2656,78,289,405,759,4187,10405
"ORISSA","NAYAGARH",11392,2863,0,0,0,0,2863,14255
"ORISSA","NOWRANGPUR",8061,1262,0,0,0,0,1262,9323
"ORISSA","NUAPADA",11090,2570,0,0,0,0,2570,13660
"ORISSA","PHULBANI",4204,1296,19,42,54,314,1725,5929
"ORISSA","PURI",767,255,0,0,0,0,255,1022
"ORISSA","RAYAGADA",678,1330,0,0,0,0,1330,2008
"ORISSA","SAMBALPUR",11746,1173,13,67,74,205,1532,13278
"ORISSA","SONEPUR",10211,724,15,19,28,61,847,11058
"ORISSA","SUNDARGARH",14658,3975,0,0,0,0,3975,18633
"PUNJAB","AMRITSAR",1426,8,0,0,0,0,8,1434
"PUNJAB","BATHINDA",362,3,1,0,0,0,4,366
"PUNJAB","FARIDKOT",505,0,1,0,0,0,1,506
"PUNJAB","FATEHGARH SAHIB",124,1,0,0,0,0,1,125
"PUNJAB","FEROZEPUR",344,0,0,0,0,0,0,344
"PUNJAB","GURDASPUR",652,3,1,0,0,0,4,656
"PUNJAB","HOSHIARPUR",679,15,10,0,0,0,25,704
"PUNJAB","JALANDHAR",1451,11,4,0,0,0,15,1466
"PUNJAB","KAPURTHALA",753,31,1,0,0,1,33,786
"PUNJAB","LUDHIANA",700,5,1,1,0,0,7,707
"PUNJAB","MANSA",551,10,4,0,0,0,14,565
"PUNJAB","PATIALA",148,1,0,0,0,0,1,149
"PUNJAB","ROPAR",2310,17,5,1,0,1,24,2334
"PUNJAB","SANGRUR",1506,20,3,0,0,0,23,1529
"RAJASTHAN","AJMER",35567,12540,161,582,72,53,13408,48975
"RAJASTHAN","ALWAR",56404,8951,114,67,57,18,9207,65611
"RAJASTHAN","BANSWARA",6078,5544,55,192,68,207,6066,12144
"RAJASTHAN","BARAN",18019,5515,52,217,36,45,5865,23884
"RAJASTHAN","BARMER",12295,1008,118,9,0,4,1139,13434
"RAJASTHAN","BHARATPUR",4163,8265,16,4,31,6,8322,12485
"RAJASTHAN","BHILWARA",72165,26615,205,291,115,78,27304,99469
"RAJASTHAN","BIKANER",219,2,0,0,0,0,2,221
"RAJASTHAN","BUNDI",17695,4421,17,9,2,2,4451,22146
"RAJASTHAN","CHITTORGARH",69702,9735,87,210,61,38,10131,79833
"RAJASTHAN","CHURU",1715,138,1,0,0,0,139,1854
"RAJASTHAN","DAUSA",29885,6288,48,170,11,38,6555,36440
"RAJASTHAN","DHOLPUR",10964,5135,24,44,19,29,5251,16215
"RAJASTHAN","DUNGARPUR",13316,2391,10,56,33,175,2665,15981
"RAJASTHAN","GANGANAGAR",NA,NA,NA,NA,NA,NA,NA,NA
"RAJASTHAN","HANUMANGARH",1087,2,0,0,0,0,2,1089
"RAJASTHAN","JAIPUR",86012,22871,239,358,118,55,23641,109653
"RAJASTHAN","JAISALMER",202,10,0,0,0,0,10,212
"RAJASTHAN","JALORE",35438,7280,172,225,16,83,7776,43214
"RAJASTHAN","JHALAWAR",50418,7303,51,113,31,5,7503,57921
"RAJASTHAN","JHUNJHNU",22744,4013,58,156,55,593,4875,27619
"RAJASTHAN","JODHPUR",8675,1799,12,21,1,1,1834,10509
"RAJASTHAN","KOTA",12469,2918,17,19,34,8,2996,15465
"RAJASTHAN","NAGAUR",21324,4368,34,81,20,9,4512,25836
"RAJASTHAN","PALI",30411,11268,228,211,24,37,11768,42179
"RAJASTHAN","RAJSAMAND",37600,11122,165,181,21,25,11514,49114
"RAJASTHAN","SAWAI-MADHOPUR",36879,10495,64,1219,36,32,11846,48725
"RAJASTHAN","SIKAR",34171,11110,95,432,65,52,11754,45925
"RAJASTHAN","SIROHI",14295,1268,9,19,3,2,1301,15596
"RAJASTHAN","TONK",34460,7703,142,177,37,20,8079,42539
"RAJASTHAN","UDAIPUR",45660,12873,56,121,45,34,13129,58789
"SIKKIM","EAST SIKKIM",NA,NA,NA,NA,NA,NA,NA,NA
"SIKKIM","NORTH SIKKIM",NA,NA,NA,NA,NA,NA,NA,NA
"SIKKIM","SOUTH SIKKIM",NA,NA,NA,NA,NA,NA,NA,NA
"SIKKIM","WEST SIKKIM",NA,NA,NA,NA,NA,NA,NA,NA
"TAMIL NADU","COIMBATORE",63244,6507,2672,12452,267,97,21995,85239
"TAMIL NADU","CUDDALORE",8924,396,1189,289,310,167,2351,11275
"TAMIL NADU","DHARMAPURI",93995,2991,393,406,59,26,3875,97870
"TAMIL NADU","DINDIGUL",54545,14338,242,216,292,22,15110,69655
"TAMIL NADU","ERODE",90370,7147,2143,933,150,82,10455,100825
"TAMIL NADU","KANCHIPURAM",36412,7584,54,102,19,49,7808,44220
"TAMIL NADU","KANNIYAKUMARI",2342,14,11,1,1,1,28,2370
"TAMIL NADU","KARUR",30322,1920,480,925,245,382,3952,34274
"TAMIL NADU","MADRAS",NA,NA,NA,NA,NA,NA,NA,NA
"TAMIL NADU","MADURAI",32429,4029,698,935,352,131,6145,38574
"TAMIL NADU","NAGAPATTINAM",7781,200,121,83,44,373,821,8602
"TAMIL NADU","NAMAKKAL",33835,5120,243,363,629,504,6859,40694
"TAMIL NADU","PERAMBALUR",30698,2554,119,271,230,11520,14694,45392
"TAMIL NADU","PUDUKOTTAI",27980,2121,178,1016,74,2381,5770,33750
"TAMIL NADU","RAMNATHAPURAM",5519,84,364,32,0,5,485,6004
"TAMIL NADU","SALEM",56794,2684,372,1085,297,29,4467,61261
"TAMIL NADU","SIVAGANGA",11006,118,63,18,0,13,212,11218
"TAMIL NADU","THANJAVUR",4724,240,84,126,23,39,512,5236
"TAMIL NADU","THE NILGIRIS",255,1,0,0,0,0,1,256
"TAMIL NADU","THENI",13758,968,1163,907,1977,73,5088,18846
"TAMIL NADU","THOOTHUGUDI",14670,2077,1575,1627,1274,371,6924,21594
"TAMIL NADU","TIRUNELVELI",59894,5242,1852,584,695,325,8698,68592
"TAMIL NADU","TIRUVALLUR",21133,1413,80,479,80,131,2183,23316
