-----
{
 "description": "The table refers to district wise potential utilized through surface flow schemes. It has been sourced from 2nd census of minor irrigation scheme(1993-94) from Ministry of Water Resources.", 
 "file_name": "Statetab4.10.csv", 
 "title": "Download CSV for Districtwise Surface Flow Schemes Average length of water conveyance channel for 2nd census of Minor Irrigation Schemes (1993-94)", 
 "url": "http://data.gov.in/sites/default/files/Statetab4.10.csv"
}
-----
State,District,Total number of schemes,Pucca channel,Kutcha channel,Underground channel,Total
BIHAR,BOKARO,2382,0,273,0,273
BIHAR,BUXAR,112,1,385,0,386
BIHAR,CHAMPARAN EAST,39,0,17,0,17
BIHAR,CHAMPARAN WEST,87,69,855,0,924
BIHAR,CHATRA,2269,0,112,0,112
BIHAR,DARBHANGA,85,0,122,0,122
BIHAR,DEOGHAR,2434,1,88,3,92
BIHAR,DHANBAD,862,1,89,0,90
BIHAR,DUMKA,8984,28,166,3,197
BIHAR,GARHWA,2707,4,193,2,199
BIHAR,GAYA,8175,1,175,1,177
BIHAR,GIRIDIH,2671,0,96,0,96
BIHAR,GODDA,1683,1,124,0,125
BIHAR,GOPALGANJ,NA,NA,NA,NA,NA
BIHAR,GUMLA,272,32,391,13,436
BIHAR,HAZARIBAG,465,1,552,0,553
BIHAR,JAMUI,1960,3,283,22,308
BIHAR,JEHANABAD,523,1,1242,1,1244
BIHAR,KATIHAR,NA,NA,NA,NA,NA
BIHAR,KHAGARIA,2,0,2000,0,2000
BIHAR,KISHANGANJ,NA,NA,NA,NA,NA
BIHAR,KODARMA,313,0,368,0,368
BIHAR,LAKHISARAI,267,21,609,1,631
BIHAR,LOHARDAGA,190,38,211,0,249
BIHAR,MADHEPURA,3,667,1000,0,1667
BIHAR,MADHUBANI,101,8,610,0,618
BIHAR,MUNGER,473,7,8,0,15
BIHAR,MUZAFFARPUR,4,333,2667,2000,5000
BIHAR,NALANDA,532,1,458,0,459
BIHAR,NAWADA,3004,1,215,1,217
BIHAR,PAKUR,3232,0,444,0,444
BIHAR,PALAMU,9269,1,108,4,113
BIHAR,PATNA,210,1,700,0,701
BIHAR,PURNIA,50,0,84,0,84
BIHAR,RANCHI,624,1,521,0,522
BIHAR,ROHTAS,670,2,182,0,184
BIHAR,SAHARSA,3,0,333,0,333
BIHAR,SAHEBGANJ,2617,0,106,31,137
BIHAR,SAMASTIPUR,9,2,196,160,358
BIHAR,SARAN,58,0,473,0,473
BIHAR,SHEIKHPURA,455,0,1367,0,1367
BIHAR,SHEOHAR,12,62,170,383,615
BIHAR,SINGHBHUM EAST,1541,2,123,6,131
BIHAR,SINGHBHUM WEST,4366,0,83,0,83
BIHAR,SITAMARHI,27,0,1661,0,1661
BIHAR,SIWAN,8,42,319,448,809
BIHAR,SUPAUL,2,0,2000,0,2000
BIHAR,VAISHALI,7,7,185,0,192
GOA,NORTH GOA,2442,60,272,41,373
GOA,SOUTH GOA,734,14,319,8,341
GUJARAT,,NA,NA,NA,NA,NA
HARYANA,AMBALA,399,0,477,1,478
HARYANA,BHIWANI,60,11,1,0,12
HARYANA,FARIDABAD,1,0,0,0,0
HARYANA,GURGAON,16,0,206,0,206
HARYANA,HISAR,NA,NA,NA,NA,NA
HARYANA,JIND,NA,NA,NA,NA,NA
HARYANA,KAITHAL,NA,NA,NA,NA,NA
HARYANA,KARNAL,NA,NA,NA,NA,NA
HARYANA,KURUKSHETRA,24,0,175,0,175
HARYANA,MEHANDERGARH,NA,NA,NA,NA,NA
HARYANA,PANCHKULA,10,74,133,0,207
HARYANA,PANIPAT,NA,NA,NA,NA,NA
HARYANA,RIWARI,NA,NA,NA,NA,NA
HARYANA,ROHTAK,NA,NA,NA,NA,NA
HARYANA,SIRSA,NA,NA,NA,NA,NA
HARYANA,SONIPAT,NA,NA,NA,NA,NA
HARYANA,YAMUNA NAGAR,NA,NA,NA,NA,NA
HIMACHAL PRADESH,Bilaspur,800,69,343,1,413
HIMACHAL PRADESH,Chamba,622,233,610,13,856
HIMACHAL PRADESH,Hamirpur,182,431,3010,5,3446
HIMACHAL PRADESH,Kangra,2603,150,745,1,896
HIMACHAL PRADESH,Kinnaur,442,29,788,6,823
HIMACHAL PRADESH,Kullu,423,151,441,0,592
HIMACHAL PRADESH,Lahul & Spiti,445,41,1108,2,1151
HIMACHAL PRADESH,Mandi,3766,90,324,4,418
HIMACHAL PRADESH,Shimla,1289,166,519,2,687
HIMACHAL PRADESH,Sirmaur,1959,101,549,3,653
HIMACHAL PRADESH,Solan,1792,164,382,5,551
HIMACHAL PRADESH,Una,22,299,1009,0,1308
JAMMU & KASHMIR,Anantnagh,1029,85,72,0,157
JAMMU & KASHMIR,Baramulla,625,90,110,0,200
JAMMU & KASHMIR,Budgam,504,150,170,0,320
JAMMU & KASHMIR,Doda,1228,86,355,15,456
JAMMU & KASHMIR,Jammu,25,292,150,0,442
JAMMU & KASHMIR,Kargil,494,42,72,0,114
JAMMU & KASHMIR,Kathua,470,151,352,0,503
JAMMU & KASHMIR,Kupwara,378,70,130,0,200
JAMMU & KASHMIR,Leh,671,35,27,0,62
JAMMU & KASHMIR,Poonch,314,152,103,0,255
JAMMU & KASHMIR,Pulwama,645,112,114,0,226
JAMMU & KASHMIR,Rajouri,732,110,133,0,243
JAMMU & KASHMIR,Srinagar,939,89,72,0,161
JAMMU & KASHMIR,Udhampur,1090,94,344,0,438
KARNATAKA,BANGALORE RURAL,1146,166,253,3,422
KARNATAKA,BANGALORE URBAN,648,17,276,44,337
KARNATAKA,BELGAUM,3345,110,293,16,419
KARNATAKA,BELLARY,2775,4525,68,0,4593
KARNATAKA,BIDAR,788,315,54,51,420
KARNATAKA,BIJAPUR,3793,554,265,201,1020
KARNATAKA,CHIKKAMAGALORE,658,149,610,27,786
KARNATAKA,CHITRADURGA,5339,22,190,128,340
KARNATAKA,DAKSHINA KANNADA,2118,18,177,20,215
KARNATAKA,DHARWAR,5513,53,107,58,218
KARNATAKA,GULBARGA,2502,79,125,40,244
KARNATAKA,HASSAN,1882,157,380,21,558
KARNATAKA,KODAGU,27,4,893,0,897
KARNATAKA,KOLAR,1717,41,250,4,295
KARNATAKA,MANDYA,75,231,77,0,308
KARNATAKA,MYSORE,440,147,226,13,386
KARNATAKA,RAICHUR,1101,92,171,12,275
KARNATAKA,SHIMOGA,1566,17,152,10,179
KARNATAKA,TUMKUR,849,22,510,5,537
KARNATAKA,UTTARA KANNADA,2804,61,131,1,193
KERALA,ALAPUZHA,76,3,272,0,275
KERALA,ERANAKULAM,457,153,230,10,393
KERALA,IDUKKI,290,160,175,0,335
KERALA,KANNUR,596,28,288,14,330
KERALA,KASARAGODE,398,13,341,93,447
KERALA,KOLLAM,476,464,23,16,503
KERALA,KOTTAYAM,285,27,508,29,564
KERALA,KOZHIKODE,461,64,243,59,366
KERALA,MALAPPURAM,809,15,230,0,245
KERALA,PALAKKAD,2270,24,33,2,59
KERALA,PATHANAMTHITTA,232,6,530,0,536
KERALA,THIRUVANANTHAPURAM,2977,285,579,4,868
KERALA,THRISSUR,751,2059,2558,15,4632
KERALA,WAYANAD,303,177,269,4,450
MADHYA PRADESH,BALAGHAT,6740,1,25,2,28
MADHYA PRADESH,BASTAR,692,8,93,0,101
MADHYA PRADESH,BETUL,862,9,139,17,165
MADHYA PRADESH,BHIND,91,0,126,31,157
MADHYA PRADESH,BHOPAL,47,0,275,204,479
MADHYA PRADESH,BILASPUR,5680,1,30,5,36
MADHYA PRADESH,CHHATARPUR,584,10,195,0,205
MADHYA PRADESH,CHHINDWARA,605,0,47,6,53
MADHYA PRADESH,DAMOH,1393,26,115,6,147
MADHYA PRADESH,DATIA,30,0,26,0,26
MADHYA PRADESH,DEWAS,347,134,181,4,319
MADHYA PRADESH,DHAR,788,5,134,33,172
MADHYA PRADESH,DURG,918,2,165,2,169
MADHYA PRADESH,GUNA,1975,0,56,13,69
MADHYA PRADESH,GWALIOR,60,12,159,0,171
MADHYA PRADESH,HOSHANGABAD,8,0,268,63,331
MADHYA PRADESH,INDORE,549,20,232,34,286
MADHYA PRADESH,JABALPUR,283,10,142,64,216
MADHYA PRADESH,JHABUA,2956,9,184,7,200
MADHYA PRADESH,KHANDWA,233,97,260,68,425
MADHYA PRADESH,KHARGONE,3530,15,133,12,160
MADHYA PRADESH,MANDLA,241,24,167,4,195
MADHYA PRADESH,MANDSAUR,822,26,71,48,145
MADHYA PRADESH,MORENA,1172,7,155,5,167
MADHYA PRADESH,NARSIMHAPUR,240,45,112,54,211
MADHYA PRADESH,PANNA,96,7,239,39,285
MADHYA PRADESH,RAIGARH,4244,3,46,0,49
MADHYA PRADESH,RAIPUR,2995,1,46,0,47
MADHYA PRADESH,RAISEN,93,4,132,248,384
MADHYA PRADESH,RAJGARH,75,11,205,1,217
MADHYA PRADESH,RAJNANDGAON,294,2,127,0,129
MADHYA PRADESH,RATLAM,1055,12,143,41,196
MADHYA PRADESH,REWA,516,134,348,68,550
MADHYA PRADESH,SAGAR,1239,0,71,48,119
MADHYA PRADESH,SATNA,423,46,267,51,364
MADHYA PRADESH,SEHORE,77,25,309,1,335
MADHYA PRADESH,SEONI,807,2,51,1,54
MADHYA PRADESH,SHAHDOL,647,129,338,98,565
MADHYA PRADESH,SHAJAPUR,2699,2,139,106,247
MADHYA PRADESH,SHIVPURI,910,15,118,15,148
MADHYA PRADESH,SIDHI,155,223,434,181,838
MADHYA PRADESH,SURGUJA,7540,24,60,0,84
MADHYA PRADESH,TIKAMGARH,901,3,138,3,144
MADHYA PRADESH,UJJAIN,500,0,103,17,120
MADHYA PRADESH,VIDISHA,12,0,320,6,326
MAHARASHTRA,,NA,NA,NA,NA,NA
MANIPUR,BISHNUPUR,12,110,1266,0,1376
MANIPUR,CHANDEL,9,0,1500,0,1500
MANIPUR,CHURACHANDPUR,72,5,1535,0,1540
MANIPUR,IMPHAL,26,94,1646,0,1740
MANIPUR,SENAPATI,32,0,1432,0,1432
MANIPUR,TAMENGLONG,37,7,1534,0,1541
MANIPUR,THOUBAL,23,26,3542,0,3568
MANIPUR,UKHRUL,29,45,676,0,721
MEGHALAYA,EAST GARO HILLS,1015,14,130,0,144
MEGHALAYA,EAST KHASI HILLS,3027,28,438,30,496
MEGHALAYA,JAINTIA HILLS,2652,52,262,11,325
MEGHALAYA,RI BHOI DISTRICT,4254,3,71,3,77
MEGHALAYA,SOUTH GARO HILLS,87,14,71,0,85
MEGHALAYA,WEST GARO HILLS,584,17,226,0,243
MEGHALAYA,WEST KHASI HILLS,2645,16,145,0,161
MIZORAM,AIZAWL,3947,5,231,0,236
MIZORAM,CHHIMTUIPUI,194,0,244,0,244
MIZORAM,LUNGLEI,634,27,227,0,254
NAGALAND,KOHIMA,2758,3,0,0,3
NAGALAND,MOKOKCHUNG,1814,702,0,0,702
NAGALAND,MON,785,0,0,0,0
NAGALAND,PHEK,4049,20,0,0,20
NAGALAND,TUENSANG,2438,6,0,0,6
NAGALAND,WOKHA,1261,111,10,0,121
NAGALAND,ZUNHEBOTO,954,1468,0,0,1468
ORISSA,ANGUL,211,2,276,2,280
ORISSA,BALASORE,102,13,188,2,203
ORISSA,BARAGARH,2507,1,84,1,86
ORISSA,BHADRAK,70,8,161,0,169
ORISSA,BOLANGIR,1777,9,31,1,41
ORISSA,BOUDH,384,5,74,7,86
ORISSA,CUTTACK,1330,0,56,0,56
ORISSA,DEOGARH,291,0,92,0,92
ORISSA,DHENKANAL,894,13,105,0,118
ORISSA,GAJAPATI,513,40,75,1,116
ORISSA,GANJAM,3991,5,81,0,86
ORISSA,JAGATSINGHPUR,5,0,131,0,131
ORISSA,JAJPUR,195,13,180,2,195
ORISSA,JHARSUGUDA,264,2,154,0,156
ORISSA,KALAHANDI,852,10,46,0,56
ORISSA,KENDRAPARA,62,0,68,0,68
ORISSA,KEONJHAR,655,9,151,6,166
ORISSA,KHURDA,630,4,70,1,75
ORISSA,KORAPUT,1987,24,124,2,150
ORISSA,MALKANGIRI,120,10,110,3,123
ORISSA,MAYURBHANJ,1086,7,155,3,165
ORISSA,NAYAGARH,338,15,111,1,127
ORISSA,NOWRANGPUR,191,11,40,1,52
ORISSA,NUAPADA,902,7,5,0,12
ORISSA,PHULBANI,305,20,174,3,197
ORISSA,PURI,975,1,63,1,65
ORISSA,RAYAGADA,2486,9,80,2,91
ORISSA,SAMBALPUR,480,7,172,5,184
ORISSA,SONEPUR,289,8,175,2,185
ORISSA,SUNDARGARH,211,15,289,2,306
PUNJAB,AMRITSAR,13,5,350,0,355
PUNJAB,BATHINDA,3,20,380,0,400
PUNJAB,FARIDKOT,NA,NA,NA,NA,NA
PUNJAB,FATEHGARH SAHIB,3,0,83,0,83
PUNJAB,FEROZEPUR,NA,NA,NA,NA,NA
PUNJAB,GURDASPUR,43,0,234,0,234
PUNJAB,HOSHIARPUR,143,44,233,89,366
PUNJAB,JALANDHAR,NA,NA,NA,NA,NA
PUNJAB,KAPURTHALA,NA,NA,NA,NA,NA
PUNJAB,LUDHIANA,NA,NA,NA,NA,NA
PUNJAB,MANSA,NA,NA,NA,NA,NA
PUNJAB,PATIALA,NA,NA,NA,NA,NA
PUNJAB,ROPAR,110,0,151,10,161
PUNJAB,SANGRUR,79,108,347,0,455
RAJASTHAN,AJMER,749,271,656,4,931
RAJASTHAN,ALWAR,NA,NA,NA,NA,NA
RAJASTHAN,BANSWARA,264,141,506,27,674
RAJASTHAN,BARAN,81,29,310,4,343
RAJASTHAN,BARMER,NA,NA,NA,NA,NA
RAJASTHAN,BHARATPUR,4,500,750,1150,2400
RAJASTHAN,BHILWARA,565,175,788,125,1088
RAJASTHAN,BIKANER,1,0,0,0,0
RAJASTHAN,BUNDI,105,642,830,0,1472
RAJASTHAN,CHITTORGARH,74,66,446,80,592
RAJASTHAN,CHURU,1,0,0,0,0
RAJASTHAN,DAUSA,25,311,717,0,1028
RAJASTHAN,DHOLPUR,37,50,396,2,448
RAJASTHAN,DUNGARPUR,115,871,1111,24,2006
RAJASTHAN,GANGANAGAR,NA,NA,NA,NA,NA
RAJASTHAN,HANUMANGARH,NA,NA,NA,NA,NA
RAJASTHAN,JAIPUR,38,99,2357,8,2464
RAJASTHAN,JAISALMER,NA,NA,NA,NA,NA
RAJASTHAN,JALORE,3,3,633,0,636
RAJASTHAN,JHALAWAR,60,175,197,26,398
RAJASTHAN,JHUNJHNU,4,827,325,0,1152
RAJASTHAN,JODHPUR,7,330,670,90,1090
RAJASTHAN,KOTA,65,7,278,0,285
RAJASTHAN,NAGAUR,9,1889,1200,7,3096
RAJASTHAN,PALI,73,11340,5533,68,16941
RAJASTHAN,RAJSAMAND,83,391,532,20,943
RAJASTHAN,SAWAI-MADHOPUR,76,714,1927,0,2641
RAJASTHAN,SIKAR,18,0,410,35,445
RAJASTHAN,SIROHI,42,863,1149,48,2060
RAJASTHAN,TONK,422,182,1111,38,1331
RAJASTHAN,UDAIPUR,181,230,1289,1,1520
SIKKIM,EAST SIKKIM,348,343,135,75,553
SIKKIM,NORTH SIKKIM,51,984,133,141,1258
SIKKIM,SOUTH SIKKIM,239,474,375,16,865
SIKKIM,WEST SIKKIM,216,831,258,126,1215
TAMIL NADU,COIMBATORE,298,0,15,0,15
TAMIL NADU,CUDDALORE,5943,177,85,26,288
TAMIL NADU,DHARMAPURI,22731,1,33,1,35
TAMIL NADU,DINDIGUL,8084,23,32,1,56
TAMIL NADU,ERODE,3025,60,74,6,140
TAMIL NADU,KANCHIPURAM,800,6,213,1,220
TAMIL NADU,KANNIYAKUMARI,3043,156,11,1,168
TAMIL NADU,KARUR,82,9,0,0,9
TAMIL NADU,MADRAS,NA,NA,NA,NA,NA
TAMIL NADU,MADURAI,3,11,1,1,13
TAMIL NADU,NAGAPATTINAM,24,113,33,0,146
TAMIL NADU,NAMAKKAL,3290,14,29,0,43
TAMIL NADU,PERAMBALUR,690,40,146,14,200
TAMIL NADU,PUDUKOTTAI,4427,29,204,0,233
TAMIL NADU,RAMNATHAPURAM,1657,79,192,7,278
TAMIL NADU,SALEM,60,45,1,0,46
TAMIL NADU,SIVAGANGA,6323,57,134,0,191
TAMIL NADU,THANJAVUR,635,477,45,1,523
TAMIL NADU,THE NILGIRIS,NA,NA,NA,NA,NA
TAMIL NADU,THENI,4124,9,6,0,15
TAMIL NADU,THOOTHUGUDI,629,56,83,3,142
TAMIL NADU,TIRUNELVELI,2494,107,33,1,141
TAMIL NADU,TIRUVALLUR,842,66,209,72,347
TAMIL NADU,TIRUVANNAMALAI,9011,33,167,4,204
TAMIL NADU,TIRUVARUR,68,2,200,0,202
TAMIL NADU,TRICHIRAPPALLI,787,4,10,0,14
TAMIL NADU,VELLORE,533,48,142,6,196
TAMIL NADU,VILLUPURAM,4154,91,231,30,352
TAMIL NADU,VIRUDHUNAGAR,966,138,156,4,298
TRIPURA,DHALAI,75,350,1157,0,1507
TRIPURA,NORTH,147,2,272,0,274
TRIPURA,SOUTH,223,125,623,242,990
TRIPURA,WEST,155,623,824,5,1452
UTTAR PRADESH,AGRA,3,202,405,147,754
UTTAR PRADESH,ALIGARH,NA,NA,NA,NA,NA
UTTAR PRADESH,ALLAHABAD,81,0,51,0,51
UTTAR PRADESH,ALMORA,4262,225,152,21,398
UTTAR PRADESH,AMBEDKAR NAGAR,NA,NA,NA,NA,NA
UTTAR PRADESH,AZAMGARH,16,0,15,0,15
UTTAR PRADESH,BADAUN,NA,NA,NA,NA,NA
UTTAR PRADESH,BAHRAICH,5,0,39,0,39
UTTAR PRADESH,BALLIA,21,49,321,0,370
UTTAR PRADESH,BANDA,58,0,155,0,155
UTTAR PRADESH,BARABANKI,NA,NA,NA,NA,NA
UTTAR PRADESH,BAREILLY,NA,NA,NA,NA,NA
UTTAR PRADESH,BASTI,NA,NA,NA,NA,NA
UTTAR PRADESH,BIJNOR,NA,NA,NA,NA,NA
UTTAR PRADESH,BULANDSHAHR,NA,NA,NA,NA,NA
UTTAR PRADESH,CHAMOLI(GOPESHWAR),1830,157,18,4,179
UTTAR PRADESH,DEHRADUN,647,219,107,2,328
UTTAR PRADESH,DEORIA,1,0,0,0,0
UTTAR PRADESH,ETAH,NA,NA,NA,NA,NA
UTTAR PRADESH,ETAWAH,1,0,100,0,100
UTTAR PRADESH,FAIZABAD,NA,NA,NA,NA,NA
UTTAR PRADESH,FARUKHABAD,16,0,44,0,44
UTTAR PRADESH,FATEHPUR,NA,NA,NA,NA,NA
UTTAR PRADESH,FIROZABAD,NA,NA,NA,NA,NA
UTTAR PRADESH,GHAZIABAD,NA,NA,NA,NA,NA
UTTAR PRADESH,GHAZIPUR,6,0,195,0,195
UTTAR PRADESH,GONDA,32,55,63,0,118
UTTAR PRADESH,GORAKHPUR,NA,NA,NA,NA,NA
UTTAR PRADESH,HAMIRPUR,NA,NA,NA,NA,NA
UTTAR PRADESH,HARDOI,NA,NA,NA,NA,NA
UTTAR PRADESH,HARDWAR,NA,NA,NA,NA,NA
UTTAR PRADESH,JALAUN,67,0,147,0,147
UTTAR PRADESH,JAUNPUR,NA,NA,NA,NA,NA
UTTAR PRADESH,JHANSI,48,0,165,1,166
UTTAR PRADESH,KANPUR DEHAT,1,0,40,0,40
UTTAR PRADESH,KANPUR NAGAR,NA,NA,NA,NA,NA
UTTAR PRADESH,KHIRI,5,0,0,0,0
UTTAR PRADESH,KUSHI NAGAR,3,17,367,0,384
UTTAR PRADESH,LALITPUR,NA,NA,NA,NA,NA
UTTAR PRADESH,LUCKNOW,NA,NA,NA,NA,NA
UTTAR PRADESH,MAHOBA,NA,NA,NA,NA,NA
UTTAR PRADESH,MAHRAJGANJ,7,0,9,77,86
UTTAR PRADESH,MAINPURI,NA,NA,NA,NA,NA
UTTAR PRADESH,MATHURA,NA,NA,NA,NA,NA
UTTAR PRADESH,MAU,NA,NA,NA,NA,NA
UTTAR PRADESH,MEERUT,NA,NA,NA,NA,NA
UTTAR PRADESH,MIRZAPUR,914,7,148,1,156
UTTAR PRADESH,MORADABAD,NA,NA,NA,NA,NA
UTTAR PRADESH,MUZAFFER NAGAR,NA,NA,NA,NA,NA
UTTAR PRADESH,NAINITAL,3302,237,169,6,412
UTTAR PRADESH,PAURI GARHWAL,3427,163,81,4,248
UTTAR PRADESH,PILIBHIT,NA,NA,NA,NA,NA
UTTAR PRADESH,PITHORAGARH,2527,188,125,3,316
UTTAR PRADESH,PRATAPGARH,NA,NA,NA,NA,NA
UTTAR PRADESH,RAEBARELY,NA,NA,NA,NA,NA
UTTAR PRADESH,RAMPUR,NA,NA,NA,NA,NA
UTTAR PRADESH,SAHARANPUR,NA,NA,NA,NA,NA
UTTAR PRADESH,SANT RAVIDAS NAGAR,NA,NA,NA,NA,NA
UTTAR PRADESH,SHAHJAHANPUR,NA,NA,NA,NA,NA
UTTAR PRADESH,SIDDHARTH NAGAR,NA,NA,NA,NA,NA
UTTAR PRADESH,SITAPUR,NA,NA,NA,NA,NA
UTTAR PRADESH,SONBHADRA,1006,1,135,1,137
UTTAR PRADESH,SULTANPUR,NA,NA,NA,NA,NA
UTTAR PRADESH,TEHRI GARHWAL,3355,136,92,0,228
UTTAR PRADESH,UDHAMSINGH NAGAR,679,106,475,5,586
UTTAR PRADESH,UNNAO,NA,NA,NA,NA,NA
UTTAR PRADESH,UTTARKASHI,1475,186,49,0,235
UTTAR PRADESH,VARANASI,89,26,228,0,254
WEST BENGAL,BANKURA,14373,1,675,0,676
WEST BENGAL,BIRBHUM,4673,2,294,2,298
WEST BENGAL,BURDWAN,4052,2,173,0,175
WEST BENGAL,COOCHBEHAR,219,15,171,25,211
WEST BENGAL,DAKSHIN DINAJPUR,5516,0,109,0,109
WEST BENGAL,DARJEELING,268,217,316,1,534
WEST BENGAL,HOOGLY,384,89,408,16,513
WEST BENGAL,HOWRAH,1441,0,478,0,478
WEST BENGAL,JALPAIGURI,421,45,1183,16,1244
WEST BENGAL,MALDA,756,33,211,446,690
WEST BENGAL,MIDNAPORE,7104,3,265,2,270
WEST BENGAL,MURSHIDABAD,2097,0,434,5,439
WEST BENGAL,NADIA,NA,NA,NA,NA,NA
WEST BENGAL,NORTH 24 PARGANAS,28,0,158,0,158
WEST BENGAL,PURULIA,17133,2,75,0,77
WEST BENGAL,SOUTH 24 PARGANAS,7964,1,262,0,263
WEST BENGAL,UTTAR DINAJPUR,25,0,239,51,290
ANDAMAN & NICOBARS,ANDAMAN,NA,NA,NA,NA,NA
ANDAMAN & NICOBARS,NICOBARS,NA,NA,NA,NA,NA
CHANDIGARH,,NA,NA,NA,NA,NA
DADRA & NAGAR HAVELI,DADRA & NAGAR HAVELI,11,244,248,0,492
DAMAN & DIU,,NA,NA,NA,NA,NA
DELHI,CENTRAL-DELHI,NA,NA,NA,NA,NA
DELHI,EAST,NA,NA,NA,NA,NA
DELHI,NORTH-EAST,NA,NA,NA,NA,NA
DELHI,NORTH-WEST,1354,0,80,0,80
DELHI,SOUTH-EAST,NA,NA,NA,NA,NA
DELHI,SOUTH-WEST,NA,NA,NA,NA,NA
DELHI,WEST,29,8,222,3,233
LAKSHADWEEP,,NA,NA,NA,NA,NA
PONDICHERRY,KARAIKAL,14516,7,55,0,62
PONDICHERRY,MAHE,NA,NA,NA,NA,NA
PONDICHERRY,PONDICHERRY,2831,47,1224,0,1271
PONDICHERRY,YANAM,298,0,16,0,16
