-----
{
 "description": "The table refers to District wise Surface Flow Schemes- Potential Created and Utilized through Tanks. The report has been sourced from 3rd census of minor irrigation scheme(2000-01) from Ministry of Water Resources.", 
 "file_name": "srfcflowstate4.12.csv", 
 "title": "Download CSV for Districtwise Surface Flow Schemes- Potential Created and Utilized through Tanks", 
 "url": "http://data.gov.in/sites/default/files/srfcflowstate4.12.csv"
}
-----
"State","District","No of tanks","Irrigation potential created - Kharif","Irrigation potential created - Rabi","Irrigation potential created - Perennial","Irrigation potential created - Others","Total","Irrigation potential utilised - Kharif","Irrigation potential utilised - Rabi","Irrigation potential utilised - Perennial","Irrigation potential utilised - Others","Total.1"
"BIHAR","AURANGABAD",280,4540,895,21,51,5508,1783,220,2,8,2013
"BIHAR","BANKA",113,1373,807,39,70,2289,1225,597,20,22,1864
"BIHAR","BEGUSARAI",1,0,12,0,0,12,0,0,0,0,0
"BIHAR","BHAGALPUR",13,359,42,0,1,402,253,20,0,1,274
"BIHAR","BHOJPUR",12,671,42,0,0,713,6,7,0,0,13
"BIHAR","BUXAR",0,0,0,0,0,0,0,0,0,0,0
"BIHAR","EAST CHAMPARAN",0,0,0,0,0,0,0,0,0,0,0
"BIHAR","GAYA",458,4397,569,4,218,5187,3256,363,12,2,3633
"BIHAR","GOPAALGANJ",2,3,1,0,0,4,1,0,0,0,1
"BIHAR","JAMUI",176,3153,391,7,8,3558,2577,298,5,5,2885
"BIHAR","JEHANABAD",189,4629,36,4,3,4672,2239,1,0,0,2240
"BIHAR","KAIMUR (BHABUA)",104,797,351,0,1,1149,626,268,1,0,895
"BIHAR","KATIHAR",0,0,0,0,0,0,0,0,0,0,0
"BIHAR","LAKHISARAI",43,481,185,25,1,692,407,163,25,1,595
"BIHAR","MADHEPURA",0,0,0,0,0,0,0,0,0,0,0
"BIHAR","MADHUBANI",9,58,64,7,7,136,32,0,0,0,32
"BIHAR","MUNGER",6,81,70,3,0,154,66,54,2,0,121
"BIHAR","MUZAFFARPUR",0,0,0,0,0,0,0,0,0,0,0
"BIHAR","NALANDA",93,6807,6021,0,0,12828,3355,3097,0,0,6452
"BIHAR","NAWADA",273,8503,1296,51,7,9857,3096,202,19,2,3319
"BIHAR","PATNA",184,4209,2047,644,90,6990,3076,1771,418,75,5340
"BIHAR","ROHTAS(SASARAM)",347,3862,1436,8,5,5311,2622,844,0,4,3471
"BIHAR","SARAN",0,0,0,0,0,0,0,0,0,0,0
"BIHAR","SHEKHPURA",23,1637,677,2,76,2391,1466,512,0,1,1978
"BIHAR","SITAMARHI",0,0,0,0,0,0,0,0,0,0,0
"BIHAR","SIWAN",4,18,25,6,0,48,1,0,0,0,1
"BIHAR","SUPAUL",0,0,0,0,0,0,0,0,0,0,0
"BIHAR","VAISHALI",0,0,0,0,0,0,0,0,0,0,0
"BIHAR","WEST CHAMPARAN",7,12,19,10,0,42,10,14,3,0,26
"CHHATTISGARH","BASTER",190,2602,591,0,0,3193,557,173,0,0,730
"CHHATTISGARH","BILASPUR",1300,5767,2138,37,13,7955,1855,643,0,1,2499
"CHHATTISGARH","DANTEWADA",129,6276,255,0,0,6530,3123,9,0,0,3131
"CHHATTISGARH","DHAMTARI",74,728,0,0,0,728,408,0,0,0,408
"CHHATTISGARH","DURG",294,10163,307,10,1,10480,5167,11,0,1,5179
"CHHATTISGARH","JANJGIR-CHAMPA",13344,23409,15821,3,3,39235,12973,15573,0,2,28548
"CHHATTISGARH","JASHPUR",1560,217,1834,108,20,2179,150,385,0,0,535
"CHHATTISGARH","KANKER",53,2975,304,0,0,3279,2672,172,0,0,2845
"CHHATTISGARH","KORBA",6740,11816,8268,763,165,21011,1767,1516,1,0,3284
"CHHATTISGARH","KORIA",1141,4009,2295,101,14,6419,4,154,1,0,159
"CHHATTISGARH","KVARDHA",374,970,27,0,0,998,578,18,0,0,596
"CHHATTISGARH","MAHASAMUND",635,9910,974,6,0,10890,4036,167,6,0,4209
"CHHATTISGARH","RAIGARH",5513,4880,5956,0,5,10841,2368,462,0,0,2830
"CHHATTISGARH","RAIPUR",767,14972,1323,0,0,16295,9212,357,0,6,9574
"CHHATTISGARH","RAJNANDGAON",424,5902,295,0,0,6197,4120,237,0,0,4357
"CHHATTISGARH","SURGUJA",1246,3685,2368,86,6,6145,15,1222,0,0,1237
"DADRA & NAGAR HAVELI","DADRA & NAGAR HAVELI",36,125,14,3,0,142,18,9,3,0,29
"DELHI","ALIPUR",54,114,125,0,0,239,114,125,0,0,239
"GOA","NORTH GOA",568,52,1107,215,40,1414,1,1028,198,7,1234
"GOA","SOUTH GOA",23,92,231,17,10,349,87,226,17,0,330
"GUJARAT","AHMEDABAD",114,9201,2450,3,0,11653,206,22,1,0,229
"GUJARAT","AMRELI",185,8305,1656,0,1400,11361,0,0,0,0,0
"GUJARAT","BANASKANTHA",58,3625,1285,0,0,4910,276,770,30,63,1139
"GUJARAT","BHARUCH",4,686,383,0,0,1069,0,149,0,0,149
"GUJARAT","BHAVNAGAR",42,10777,2562,0,0,13339,0,0,0,0,0
"GUJARAT","DAHOD",209,6534,4494,0,60,11088,1278,241,0,0,1519
"GUJARAT","DANG",0,0,0,0,0,0,0,0,0,0,0
"GUJARAT","GANDHINAGAR",2,120,0,0,0,120,0,0,0,0,0
"GUJARAT","JAMNAGAR",145,16630,9628,0,9628,35885,5027,0,0,0,5027
"GUJARAT","JUNAGADH",23,5625,9164,0,20,14809,0,0,0,0,0
"GUJARAT","KACHCHH",270,48770,6639,151,43,55604,9900,2571,199,72,12742
"GUJARAT","KHEDA",12,7472,1188,0,0,8660,573,0,0,0,573
"GUJARAT","MEHSANA",9,1309,0,0,40,1349,237,0,0,0,237
"GUJARAT","NARMADA",5,1523,890,0,0,2413,0,0,0,0,0
"GUJARAT","NAVSARI",0,0,0,0,0,0,0,0,0,0,0
"GUJARAT","PANCHMAHAL",2,266,50,0,20,336,0,0,0,0,0
"GUJARAT","PATAN",7,678,95,0,45,818,30,75,0,45,150
"GUJARAT","PORBANDAR",6,241,241,0,70,552,0,0,0,0,0
"GUJARAT","RAJKOT",149,17667,2347,187,1852,22053,300,48,0,0,348
"GUJARAT","SABARKANTHA",253,8411,3067,0,200,11678,453,0,0,0,453
"GUJARAT","SURAT",37,2403,1798,0,1012,5213,484,1099,0,0,1583
"GUJARAT","SURENDRANAGAR",371,2074,7,0,1,2083,181,2,0,0,183
"GUJARAT","VADODARA",64,10634,2734,0,7,13375,2331,1526,0,7,3864
"GUJARAT","VALSAD",6,0,100,0,40,140,0,76,0,0,76
"HARYANA","AMBALA",0,0,0,0,0,0,0,0,0,0,0
"HARYANA","BHIWANI",88,111,460,0,0,571,91,446,0,0,538
"HARYANA","GURGAON",7,14,14,0,0,28,0,0,0,0,0
"HARYANA","KARNAL",94,248,247,0,0,495,237,237,0,0,474
"HARYANA","PANCHKULA",121,302,456,0,0,758,296,448,0,0,743
"HARYANA","REWARI",20,35,99,0,0,134,0,70,0,0,70
"HIMACHAL PRADESH","Bilaspur",7,9,9,0,0,17,8,8,0,0,17
"HIMACHAL PRADESH","Chamba",4,35,35,0,0,70,34,24,0,0,58
"HIMACHAL PRADESH","Hamirpur",8,28,28,0,0,56,28,27,0,0,55
"HIMACHAL PRADESH","Kangra",12,140,137,1,0,278,52,50,1,0,103
"HIMACHAL PRADESH","Kinnaur",0,0,0,0,0,0,0,0,0,0,0
"HIMACHAL PRADESH","Kullu",11,24,24,0,0,48,23,23,0,0,46
"HIMACHAL PRADESH","Lahul & Spiti",1,2,2,0,0,4,2,2,0,0,4
"HIMACHAL PRADESH","Mandi",16,20,20,0,0,41,12,12,0,0,24
"HIMACHAL PRADESH","Shimla",18,21,18,0,0,39,9,7,0,0,16
"HIMACHAL PRADESH","Sirmaur",38,61,59,0,0,120,54,47,0,0,101
"HIMACHAL PRADESH","Solan",233,643,606,3,0,1252,532,505,3,0,1041
"HIMACHAL PRADESH","Una",0,0,0,0,0,0,0,0,0,0,0
"JAMMU & KASHMIR","ANANTNAG",26,1546,828,80,0,2454,1234,533,64,0,1831
"JAMMU & KASHMIR","BADGAM",5,108,92,14,0,214,88,74,0,0,162
"JAMMU & KASHMIR","BARAMULLA",14,1261,271,0,0,1532,1129,211,2,0,1342
"JAMMU & KASHMIR","DODA",20,263,95,0,0,358,214,61,0,0,275
"JAMMU & KASHMIR","JAMMU",0,0,0,0,0,0,0,0,0,0,0
"JAMMU & KASHMIR","KARGIL",2,35,87,0,0,122,0,87,0,0,87
"JAMMU & KASHMIR","KATHUA",6,233,216,0,0,449,224,197,0,0,421
"JAMMU & KASHMIR","KUPWARA",31,522,15,0,0,537,380,15,0,0,395
"JAMMU & KASHMIR","LEH",2,0,61,0,0,61,0,57,0,0,57
"JAMMU & KASHMIR","POONCH",19,372,240,0,0,612,360,231,0,0,591
"JAMMU & KASHMIR","PULWAMA",4,148,104,7,0,259,141,98,7,0,246
"JAMMU & KASHMIR","RAJOURI",7,52,32,0,0,84,42,21,0,0,63
"JAMMU & KASHMIR","SRINAGAR",4,83,10,3,0,96,81,8,3,0,92
"JAMMU & KASHMIR","UDHAMPUR",6,71,34,0,0,105,36,19,0,0,55
"JHARKHAND","BOKARO",101,54,27,18,14,113,33,16,17,14,79
"JHARKHAND","CHATRA",170,786,413,5,0,1205,655,322,5,0,982
"JHARKHAND","DEOGHAR",737,2196,931,42,6,3175,1570,630,37,7,2244
"JHARKHAND","DHANBAD",175,169,103,3,0,275,9,68,3,0,80
"JHARKHAND","DUMKA",340,445,226,10,15,697,224,133,3,9,370
"JHARKHAND","GARHWA",53,287,136,14,12,448,206,110,10,10,336
"JHARKHAND","GIRIDIH",153,383,147,28,4,563,256,64,4,1,326
"JHARKHAND","GODDA",103,427,325,1,1,754,299,288,0,0,587
"JHARKHAND","GUMLA",106,77,42,6,2,127,28,23,3,1,55
"JHARKHAND","HAZARIBAGH",86,293,118,3,2,416,176,99,2,0,278
"JHARKHAND","JAMTARA",444,351,308,0,5,665,201,186,1,2,389
"JHARKHAND","KODERMA",66,219,172,46,57,493,197,164,70,39,470
"JHARKHAND","LATEHAR",71,388,107,7,2,503,172,61,2,0,235
"JHARKHAND","LOHARDAGA",1,6,4,1,0,11,0,0,0,0,0
"JHARKHAND","PAKUR",118,83,161,20,0,264,17,122,6,0,145
"JHARKHAND","PALAMU",396,2229,328,31,29,2617,1829,151,23,6,2010
"JHARKHAND","RANCHI",88,46,29,1,0,76,25,17,1,0,43
"JHARKHAND","SAHEBGANJ",143,85,112,35,9,241,43,70,28,5,146
"JHARKHAND","SARAIKELA",448,1289,381,171,21,1863,773,175,21,6,975
"JHARKHAND","SIMDEGA",13,101,83,5,0,189,0,62,0,0,62
"JHARKHAND","WEST SINGHBHUM",355,1482,384,51,5,1922,1186,272,24,0,1482
"KARNATAKA","Bagalkote",52,2819,324,181,862,4186,824,103,20,110,1058
"KARNATAKA","Bangalore",430,2542,32,7,70,2651,1946,14,7,9,1976
"KARNATAKA","Bangalore Rural",879,10195,885,2087,1842,15009,6597,540,1973,583,9692
"KARNATAKA","Belgaum",274,3812,312,8,499,4631,605,368,0,18,990
"KARNATAKA","Bellary",69,3574,428,0,2003,6005,1525,388,0,894,2807
"KARNATAKA","Bidar",956,245,635,212,3,1094,98,627,202,4,931
"KARNATAKA","Bijapur",194,3683,6118,1,0,9802,131,1770,1,0,1902
"KARNATAKA","Chamaraja Nagara",78,4000,7,0,40,4047,1263,3,0,40,1306
"KARNATAKA","Chikmagalur",1351,10912,97,5802,1988,18799,7670,75,5523,385,13653
"KARNATAKA","Chitradurga",127,3151,2620,74,2729,8574,1135,1861,70,1699,4765
"KARNATAKA","Dakshina Kannada",171,21,183,140,26,370,0,170,127,28,326
"KARNATAKA","Davanagere",187,1698,12,14,2150,3874,853,0,0,280,1133
"KARNATAKA","Dharwar",766,11987,93,2,913,12995,3212,4,2,42,3260
"KARNATAKA","Gadag",15,883,1179,3,360,2425,168,531,3,52,754
"KARNATAKA","Gulbarga",359,6705,4314,269,663,11951,4567,2478,15,32,7093
"KARNATAKA","Hassan",3171,20359,5477,3486,5509,34831,14584,3367,690,4548,23189
"KARNATAKA","Haveri",892,10499,319,164,4670,15652,3301,185,3,929,4418
"KARNATAKA","Kodagu",442,3146,0,6,61,3214,120,0,6,1,127
"KARNATAKA","Kolar",2956,29732,6324,1139,5525,42720,14979,3637,649,1424,20688
"KARNATAKA","Koppal",44,2997,0,0,1334,4332,834,0,0,651,1485
"KARNATAKA","Mandya",246,4217,407,622,1342,6589,4037,395,618,1291,6341
"KARNATAKA","Mysore",275,2018,846,283,384,3531,1889,839,283,114,3124
"KARNATAKA","Raichur",256,1095,3282,0,217,4593,716,294,0,160,1169
"KARNATAKA","Shimoga",4100,50911,214,2288,3315,56728,42776,133,1853,1885,46646
"KARNATAKA","Tumkur",1072,23678,1425,6486,15802,47390,13891,1143,3903,7787,26724
"KARNATAKA","Udupi",300,79,1926,415,130,2550,4,1152,305,59,1520
"KARNATAKA","Uttara Kannada",696,4795,1051,693,1036,7575,2942,1029,561,858,5391
"KERALA","ALAPPUZHA",109,290,262,529,945,2025,268,238,354,604,1463
"KERALA","ERANAKULAM",113,1602,1607,65,630,3905,1599,1604,57,586,3847
"KERALA","IDDUKKI",48,73,98,204,209,583,65,89,176,147,478
"KERALA","KANNUR",144,514,718,533,963,2728,406,575,439,714,2134
"KERALA","KASARAGODE",119,508,628,297,824,2257,471,571,258,641,1941
"KERALA","KOLLAM",182,1169,1156,219,974,3517,483,458,182,487,1611
"KERALA","KOTTAYAM",110,52,63,277,57,448,31,31,255,45,362
"KERALA","KOZHIKODE",38,87,121,225,1143,1576,46,60,193,175,474
"KERALA","MALAPPURAM",127,703,907,45,570,2224,462,630,49,346,1487
"KERALA","PALAKKAD",964,1754,1557,277,861,4449,1723,1520,261,810,4313
"KERALA","PATHANAMTHITTA",18,64,59,19,62,204,57,57,18,59,191
"KERALA","THIRUVANANTHAPURAM",180,815,802,995,4857,7470,698,622,1335,3929,6585
"KERALA","THRISSUR",306,1499,1500,90,1077,4166,1396,1426,84,934,3840
"KERALA","WAYANAD",206,1358,1008,261,1262,3890,910,566,211,926,2613
"MADHYA PRADESH","BALAGHAT",6223,36331,2440,41,9,38822,28679,2448,22,10,31159
"MADHYA PRADESH","BARWANI",1090,1679,1324,0,0,3004,715,494,0,0,1210
"MADHYA PRADESH","BETUL",2623,41,13435,9,0,13486,34,11364,5,0,11403
"MADHYA PRADESH","BHIND",11,172,94,0,0,266,0,0,0,0,0
"MADHYA PRADESH","BHOPAL",227,0,2108,10,0,2118,0,1920,0,0,1920
"MADHYA PRADESH","CHHATARPUR",1065,0,8898,0,0,8898,0,8265,0,0,8265
"MADHYA PRADESH","CHHINDWARA",729,35,1191,0,0,1225,5,1060,0,0,1066
"MADHYA PRADESH","DAMOH",1095,236,6830,0,0,7065,203,6243,0,0,6446
"MADHYA PRADESH","DATIA",5,0,641,0,0,641,0,301,0,0,301
"MADHYA PRADESH","DEWAS",148,6,441,0,0,447,5,164,0,0,170
"MADHYA PRADESH","DHAR",718,1524,613,13,0,2150,34,57,0,0,90
"MADHYA PRADESH","GUNA",1564,0,4592,0,2,4594,0,4480,0,0,4480
"MADHYA PRADESH","GWALIOR",87,197,646,0,146,989,218,477,0,0,695
"MADHYA PRADESH","HARDA",48,0,99,0,0,99,0,84,0,0,84
"MADHYA PRADESH","HOSHANGABAD",145,0,296,0,0,296,0,253,0,0,253
"MADHYA PRADESH","INDORE",167,0,174,0,0,174,0,98,0,0,98
"MADHYA PRADESH","JABALPUR",104,401,3694,0,1,4096,67,1442,0,0,1509
"MADHYA PRADESH","JHABUA",331,416,9805,1,0,10221,28,80,0,0,108
"MADHYA PRADESH","KATNI",1882,2825,7400,20,0,10244,1759,2579,0,0,4338
"MADHYA PRADESH","KHANDWA",243,10,362,2,0,373,7,120,0,0,127
"MADHYA PRADESH","KHARGONE",560,1679,1155,0,0,2833,554,221,0,0,775
"MADHYA PRADESH","MANDLA",50,49,6356,0,0,6405,6,2992,0,3,3001
"MADHYA PRADESH","MANDSAUR",51,37,41,0,0,78,30,14,0,0,44
"MADHYA PRADESH","MORENA",126,64,390,0,0,454,51,334,0,0,385
"MADHYA PRADESH","NARSINGHPUR",176,5,496,0,0,501,1,418,0,0,419
"MADHYA PRADESH","NEEMUCH",13,0,374,0,0,374,0,149,0,0,149
"MADHYA PRADESH","PANNA",996,20,15659,2,0,15681,18,2755,0,0,2773
"MADHYA PRADESH","RAISEN",4,0,166,0,0,166,0,48,0,0,48
"MADHYA PRADESH","RAJGARH",373,2,1307,7,10,1326,0,978,2,4,984
"MADHYA PRADESH","RATLAM",612,477,2509,0,3989,6975,94,1076,0,2,1172
"MADHYA PRADESH","REWA",61,196,284,0,2,482,13,153,0,0,166
"MADHYA PRADESH","SAGAR",687,92,1049,0,0,1140,0,1014,0,0,1014
"MADHYA PRADESH","SATNA",28,74,1400,0,0,1474,3,1214,0,0,1217
"MADHYA PRADESH","SEHORE",295,0,935,4,0,939,0,321,15,0,337
"MADHYA PRADESH","SEONI",532,9289,3610,0,5,12904,4581,1095,0,0,5676
"MADHYA PRADESH","SHAHDOL",627,5668,11717,0,0,17385,0,678,0,0,678
"MADHYA PRADESH","SHAJAPUR",280,153,440,0,0,593,40,153,0,0,193
"MADHYA PRADESH","SHEOPUR",404,0,528,0,0,528,0,523,0,0,523
"MADHYA PRADESH","SHIVPURI",1222,91,5345,0,0,5436,0,4722,0,0,4722
"MADHYA PRADESH","SIDHI",27,0,2949,0,2949,5898,0,2458,0,2596,5054
"MADHYA PRADESH","TIKAMGARH",1007,1142,6249,20,0,7411,1010,5647,0,0,6657
"MADHYA PRADESH","UJJAIN",34,0,155,0,0,155,0,26,0,0,26
"MADHYA PRADESH","UMARIA",154,0,143,0,0,143,0,143,0,0,143
"MADHYA PRADESH","VIDISHA",894,0,28687,0,0,28687,0,2177,0,0,2177
"MAHARASHTRA","AHMEDNAGAR",3932,2882,2653,1286,237,7058,2146,2403,1037,191,5777
"MAHARASHTRA","AKOLA",11908,4714,10159,17,58,14948,303,9088,4,54,9448
"MAHARASHTRA","AMRAVATI",338,1601,3103,9,38,4751,249,1183,7,5,1444
"MAHARASHTRA","AURANGABAD",266,2205,36820,753,13,39791,2125,20331,753,13,23221
"MAHARASHTRA","BEED",1119,517,711,288,1508,3024,262,668,254,1199,2383
"MAHARASHTRA","BHANDARA",444,36016,2858,28,5055,43957,24763,1361,3,30,26157
"MAHARASHTRA","BULDANA",591,742,1025,61,25,1853,617,1024,57,25,1723
"MAHARASHTRA","CHANDRAPUR",910,56441,4214,1352,68,62075,51808,4132,1348,58,57347
"MAHARASHTRA","DHULE",573,512,444,1,0,957,250,123,1,0,374
"MAHARASHTRA","GADCHIROLI",4176,28750,2,0,0,28752,24292,50,0,0,24342
"MAHARASHTRA","GONDIYA",605,48627,751,5,2992,52375,40432,616,0,0,41049
"MAHARASHTRA","HINGOLI",28,1160,3860,525,625,6170,296,1597,355,234,2482
"MAHARASHTRA","JALGAON",186,392,134,8,0,533,391,134,8,0,532
"MAHARASHTRA","JALNA",30,0,9827,0,0,9827,0,0,0,0,0
"MAHARASHTRA","KOLHAPUR",122,22,20,19,74,134,18,8,16,7,48
"MAHARASHTRA","LATUR",1035,723,951,467,8,2149,593,682,355,10,1640
"MAHARASHTRA","NAGPUR",287,8307,8003,1373,910,18594,5873,5782,123,7,11784
"MAHARASHTRA","NANDED",231,6728,10232,4622,1136,22718,2925,6132,2298,50,11405
"MAHARASHTRA","NANDURBAR",933,154,1252,0,1117,2523,150,869,0,1110,2130
"MAHARASHTRA","NASHIK",3366,3271,2242,171,77,5762,3244,2217,163,77,5702
"MAHARASHTRA","OSMANABAD",1136,923,1669,150,145,2887,578,908,120,133,1738
"MAHARASHTRA","PARBHANI",21,275,1940,186,281,2682,0,1399,35,113,1547
"MAHARASHTRA","PUNE",5271,3958,6817,3162,374,14311,2918,6164,2928,363,12373
"MAHARASHTRA","RAIGHAR",201,0,6199,117,0,6316,0,6095,117,0,6212
"MAHARASHTRA","RATNAGIRI",246,95,453,49,15,612,42,196,21,4,262
"MAHARASHTRA","SANGLI",2814,2781,2501,574,411,6267,2089,1371,466,263,4188
"MAHARASHTRA","SATARA",5532,3601,2925,7119,0,13645,3069,2444,7119,0,12631
"MAHARASHTRA","SINDHUDURGA",355,1793,1066,197,17,3073,518,460,26,22,1026
"MAHARASHTRA","SOLAPUR",37,1733,2059,305,298,4395,416,1195,193,48,1852
"MAHARASHTRA","THANE",53,98,3546,10,0,3654,41,3237,10,0,3287
"MAHARASHTRA","WARDHA",215,7405,3842,1603,129,12978,3157,3511,1612,139,8418
"MAHARASHTRA","WASHIM",2950,763,4209,74,90,5136,586,3740,93,31,4450
"MAHARASHTRA","YAVATMAL",89,4800,7329,289,181,12599,2293,2576,157,155,5181
"MANIPUR","BISHNUPUR",0,0,0,0,0,0,0,0,0,0,0
"MANIPUR","CHANDEL",0,0,0,0,0,0,0,0,0,0,0
"MANIPUR","CHURACHANDPUR",0,0,0,0,0,0,0,0,0,0,0
"MANIPUR","IMPHAL EAST",0,0,0,0,0,0,0,0,0,0,0
"MANIPUR","IMPHAL WEST",0,0,0,0,0,0,0,0,0,0,0
"MANIPUR","SENAPATI",0,0,0,0,0,0,0,0,0,0,0
"MANIPUR","TAMENGLONG",0,0,0,0,0,0,0,0,0,0,0
"MANIPUR","THOUBAL",0,0,0,0,0,0,0,0,0,0,0
"MANIPUR","UKHRUL",0,0,0,0,0,0,0,0,0,0,0
"MEGHALAYA","EAST GARO HILLS",0,0,0,0,0,0,0,0,0,0,0
"MEGHALAYA","EAST KHASI HILLS",29,10,8,35,0,53,9,4,16,0,29
"MEGHALAYA","JAINTIA HILLS",7,8,0,10,0,18,5,0,8,0,12
"MEGHALAYA","RI BHOI",6,23,1,0,0,23,23,1,0,0,23
"MEGHALAYA","SOUTH GARO HILLS",0,0,0,0,0,0,0,0,0,0,0
"MEGHALAYA","WEST GARO HILLS",1,3,1,0,0,4,0,0,0,0,0
"MEGHALAYA","WEST KHASI HILLS",1,2,2,0,0,4,0,0,0,0,0
