-----
{
 "description": "The table refers to block wise distribution of Deep Tubewells according to source of finance . The report has been sourced from 2nd census of minor irrigation scheme(1993-94) from ministry of water resources.", 
 "file_name": "blckdptbwltab3.6.csv", 
 "title": "Download CSV for Block wise Distribution of Deep Tubewells according to source of Finance for 2nd Census of Minor Irrigation Schemes (1993-94)", 
 "url": "http://data.gov.in/sites/default/files/blckdptbwltab3.6.csv"
}
-----
-----
{
 "description": "The table refers to block wise distribution of Deep Tubewells according to horse power of lifting device . The report has been sourced from 2nd census of minor irrigation scheme(1993-94) from ministry of water resources.", 
 "file_name": "blckdptbwltab3.9.csv", 
 "title": "Download CSV for Block wise Distribution of Deep Tubewells according to Horse Power of Lifting Device for 2nd Census of Minor Irrigation Schemes (1993-94)", 
 "url": "http://data.gov.in/sites/default/files/blckdptbwltab3.9.csv"
}
-----
"State","District","Block","Horse Power (0-6)","Horse Power (6 - 12)","Horse Power (12 - 18)","Horse Power (Above 18)","Total"
"ANDHRA PRADESH","ANANTHAPUR","ATMAKUR",NA,NA,NA,NA,NA
"ANDHRA PRADESH","ANANTHAPUR","BATHALAPALLE",NA,NA,NA,NA,NA
"ANDHRA PRADESH","ANANTHAPUR","BELUGUPPA",NA,NA,NA,NA,NA
"ANDHRA PRADESH","ANANTHAPUR","BOMMANAHAL",NA,NA,NA,NA,NA
"ANDHRA PRADESH","ANANTHAPUR","BRAHMASAMUDRAM",NA,NA,NA,NA,NA
"ANDHRA PRADESH","ANANTHAPUR","BUKKAPATNAM",NA,NA,NA,NA,NA
"ANDHRA PRADESH","ANANTHAPUR","BUKKARAYASAMUDRAM",NA,NA,NA,NA,NA
"ANDHRA PRADESH","ANANTHAPUR","CHENNEKOTHAPALLE",NA,NA,NA,NA,NA
"ANDHRA PRADESH","ANANTHAPUR","CHILAMATHUR",NA,NA,NA,NA,NA
"ANDHRA PRADESH","ANANTHAPUR","D.HIREHAL",NA,NA,NA,NA,NA
"ANDHRA PRADESH","ANANTHAPUR","DHARMAVARAM",NA,NA,NA,NA,NA
"ANDHRA PRADESH","ANANTHAPUR","GANDLAPENTA",NA,NA,NA,NA,NA
"ANDHRA PRADESH","ANANTHAPUR","GARLADINNE",NA,NA,NA,NA,NA
"ANDHRA PRADESH","ANANTHAPUR","GOOTY",NA,NA,NA,NA,NA
"ANDHRA PRADESH","ANANTHAPUR","GORANTLA",NA,NA,NA,NA,NA
"ANDHRA PRADESH","ANANTHAPUR","GUDIBANDA",NA,NA,NA,NA,NA
"ANDHRA PRADESH","ANANTHAPUR","GUMMAGATA",NA,NA,NA,NA,NA
"ANDHRA PRADESH","ANANTHAPUR","GUNTAKAL",NA,NA,NA,NA,NA
"ANDHRA PRADESH","ANANTHAPUR","HINDUPUR",NA,NA,NA,NA,NA
"ANDHRA PRADESH","ANANTHAPUR","KADIRI",NA,NA,NA,NA,NA
"ANDHRA PRADESH","ANANTHAPUR","KALYANDRUG",NA,NA,NA,NA,NA
"ANDHRA PRADESH","ANANTHAPUR","KAMBADUR",NA,NA,NA,NA,NA
"ANDHRA PRADESH","ANANTHAPUR","KANAGANAPALLE",NA,NA,NA,NA,NA
"ANDHRA PRADESH","ANANTHAPUR","KANEKAL",NA,NA,NA,NA,NA
"ANDHRA PRADESH","ANANTHAPUR","KOTHACHERUVU",NA,NA,NA,NA,NA
"ANDHRA PRADESH","ANANTHAPUR","KUDAIR",NA,NA,NA,NA,NA
"ANDHRA PRADESH","ANANTHAPUR","KUNDURPI",NA,NA,NA,NA,NA
"ANDHRA PRADESH","ANANTHAPUR","LEPAKSHI",NA,NA,NA,NA,NA
"ANDHRA PRADESH","ANANTHAPUR","MADAKASIRA",NA,NA,NA,NA,NA
"ANDHRA PRADESH","ANANTHAPUR","MUDIGUBBA",NA,NA,NA,NA,NA
"ANDHRA PRADESH","ANANTHAPUR","NALLACHERUVU",NA,NA,NA,NA,NA
"ANDHRA PRADESH","ANANTHAPUR","NALLAMADA",NA,NA,NA,NA,NA
"ANDHRA PRADESH","ANANTHAPUR","NAMBULAPULIKUNTA",NA,NA,NA,NA,NA
"ANDHRA PRADESH","ANANTHAPUR","NARPALA",NA,NA,NA,NA,NA
"ANDHRA PRADESH","ANANTHAPUR","OBULADEVARACHERUVU",NA,NA,NA,NA,NA
"ANDHRA PRADESH","ANANTHAPUR","PAMIDI",NA,NA,NA,NA,NA
"ANDHRA PRADESH","ANANTHAPUR","PARIGI",NA,NA,NA,NA,NA
"ANDHRA PRADESH","ANANTHAPUR","PEDDAPAPPUR",NA,NA,NA,NA,NA
"ANDHRA PRADESH","ANANTHAPUR","PEDDAVADUGUR",NA,NA,NA,NA,NA
"ANDHRA PRADESH","ANANTHAPUR","PENUKONDA",NA,NA,NA,NA,NA
"ANDHRA PRADESH","ANANTHAPUR","PUTLUR",NA,NA,NA,NA,NA
"ANDHRA PRADESH","ANANTHAPUR","PUTTAPARTHI",NA,NA,NA,NA,NA
"ANDHRA PRADESH","ANANTHAPUR","RAMAGIRI",NA,NA,NA,NA,NA
"ANDHRA PRADESH","ANANTHAPUR","RAPTADU",NA,NA,NA,NA,NA
"ANDHRA PRADESH","ANANTHAPUR","RAYADURG",NA,NA,NA,NA,NA
"ANDHRA PRADESH","ANANTHAPUR","RODDAM",NA,NA,NA,NA,NA
"ANDHRA PRADESH","ANANTHAPUR","ROLLA",NA,NA,NA,NA,NA
"ANDHRA PRADESH","ANANTHAPUR","SETTUR",NA,NA,NA,NA,NA
"ANDHRA PRADESH","ANANTHAPUR","SINGANAMALA",NA,NA,NA,NA,NA
"ANDHRA PRADESH","ANANTHAPUR","SOMANDEPALLE",NA,NA,NA,NA,NA
"ANDHRA PRADESH","ANANTHAPUR","TADIMARRI",NA,NA,NA,NA,NA
"ANDHRA PRADESH","ANANTHAPUR","TADPATRI",NA,NA,NA,NA,NA
"ANDHRA PRADESH","ANANTHAPUR","TALUPULA",NA,NA,NA,NA,NA
"ANDHRA PRADESH","ANANTHAPUR","TANAKAL",NA,NA,NA,NA,NA
"ANDHRA PRADESH","ANANTHAPUR","URAVAKONDA",NA,NA,NA,NA,NA
"ANDHRA PRADESH","ANANTHAPUR","VAJRAKARUR",NA,NA,NA,NA,NA
"ANDHRA PRADESH","ANANTHAPUR","VIDAPANAKAL",NA,NA,NA,NA,NA
"ANDHRA PRADESH","ANANTHAPUR","YADIKI",NA,NA,NA,NA,NA
"ANDHRA PRADESH","ANANTHAPUR","YELLANUR",NA,NA,NA,NA,NA
"ANDHRA PRADESH","CHITTOOR","B.KOTHAKOTA",55,71,0,0,126
"ANDHRA PRADESH","CHITTOOR","BAIREDDIPALLE",4,0,0,0,4
"ANDHRA PRADESH","CHITTOOR","BANGARUPALEM",94,78,1,1,174
"ANDHRA PRADESH","CHITTOOR","BUCHINAIDU KHANDRIGA",8,0,0,0,8
"ANDHRA PRADESH","CHITTOOR","CHANDRAGIRI",34,0,0,0,34
"ANDHRA PRADESH","CHITTOOR","CHINNAGOTTIGALLU",7,14,0,0,21
"ANDHRA PRADESH","CHITTOOR","CHITTOOR",73,48,0,0,121
"ANDHRA PRADESH","CHITTOOR","CHOWDE[ALLE",78,8,0,0,86
"ANDHRA PRADESH","CHITTOOR","GANGADHARA NELLORE",179,255,0,0,434
"ANDHRA PRADESH","CHITTOOR","GANGAVARAM",34,9,0,0,43
"ANDHRA PRADESH","CHITTOOR","GUDIPALA",41,43,1,0,85
"ANDHRA PRADESH","CHITTOOR","GUDUPALLE",18,1,0,0,19
"ANDHRA PRADESH","CHITTOOR","GURRAMKONDA",120,37,0,0,157
"ANDHRA PRADESH","CHITTOOR","IRALA",114,92,0,0,206
"ANDHRA PRADESH","CHITTOOR","K.V.B. PURAM",5,0,0,0,5
"ANDHRA PRADESH","CHITTOOR","KALAKADA",28,19,0,0,47
"ANDHRA PRADESH","CHITTOOR","KALIKIRI",NA,NA,NA,NA,NA
"ANDHRA PRADESH","CHITTOOR","KAMACHANDRA PURAM",NA,NA,NA,NA,NA
"ANDHRA PRADESH","CHITTOOR","KAMBHAMVARIPALLE",3,14,1,0,18
"ANDHRA PRADESH","CHITTOOR","KARVETINAGAR",13,0,0,0,13
"ANDHRA PRADESH","CHITTOOR","KUPPAM",16,65,0,0,81
"ANDHRA PRADESH","CHITTOOR","KURABALAKOTA",NA,NA,NA,NA,NA
"ANDHRA PRADESH","CHITTOOR","MADANAPALLE",1,0,0,0,1
"ANDHRA PRADESH","CHITTOOR","MULAKALACHERUVU",54,13,0,0,67
"ANDHRA PRADESH","CHITTOOR","NAGALAPURAM",NA,NA,NA,NA,NA
"ANDHRA PRADESH","CHITTOOR","NAGARI",NA,NA,NA,NA,NA
"ANDHRA PRADESH","CHITTOOR","NARAYANAVANAM",NA,NA,NA,NA,NA
"ANDHRA PRADESH","CHITTOOR","NIMMANAPALLE",4,11,0,0,15
"ANDHRA PRADESH","CHITTOOR","NINDRA",NA,NA,NA,NA,NA
"ANDHRA PRADESH","CHITTOOR","PAKALA",2,0,0,0,2
"ANDHRA PRADESH","CHITTOOR","PALAMANERU",54,6,0,0,60
"ANDHRA PRADESH","CHITTOOR","PALASAMUDRAM",NA,NA,NA,NA,NA
"ANDHRA PRADESH","CHITTOOR","PEDDAMANDYAM",23,37,0,0,60
"ANDHRA PRADESH","CHITTOOR","PEDDAPANJANI",8,0,0,0,8
"ANDHRA PRADESH","CHITTOOR","PEDDATHIPPASAMDRAM",209,36,0,0,245
"ANDHRA PRADESH","CHITTOOR","PENUMURU",121,66,0,0,187
"ANDHRA PRADESH","CHITTOOR","PICHATURU",18,44,0,0,62
"ANDHRA PRADESH","CHITTOOR","PILERU",22,6,0,0,28
"ANDHRA PRADESH","CHITTOOR","PULICHERLA",23,37,0,0,60
"ANDHRA PRADESH","CHITTOOR","PUNGANURU",35,83,0,0,118
"ANDHRA PRADESH","CHITTOOR","PUTHALAPATTU",75,50,0,0,125
"ANDHRA PRADESH","CHITTOOR","PUTTURU",11,13,0,0,24
"ANDHRA PRADESH","CHITTOOR","RAMAKUPPAM",115,16,0,0,131
"ANDHRA PRADESH","CHITTOOR","RAMASAMUDRAM",317,367,0,3,687
"ANDHRA PRADESH","CHITTOOR","RENIGUNTA",NA,NA,NA,NA,NA
"ANDHRA PRADESH","CHITTOOR","ROMPICHERLA",2,11,0,0,13
"ANDHRA PRADESH","CHITTOOR","SANTHIPURAM",84,206,0,0,290
"ANDHRA PRADESH","CHITTOOR","SATYAVEDU",NA,NA,NA,NA,NA
"ANDHRA PRADESH","CHITTOOR","SODAM",17,77,1,0,95
"ANDHRA PRADESH","CHITTOOR","SOMALA",32,176,0,0,208
"ANDHRA PRADESH","CHITTOOR","SRIKALAHASTI",3,2,0,0,5
"ANDHRA PRADESH","CHITTOOR","SRIRANGARAJAPURAM",0,37,0,0,37
"ANDHRA PRADESH","CHITTOOR","THAMBALLAPALLE",128,85,1,0,214
"ANDHRA PRADESH","CHITTOOR","THAVANAMPALLE",190,350,10,0,550
"ANDHRA PRADESH","CHITTOOR","THOTTAMBEDA",NA,NA,NA,NA,NA
"ANDHRA PRADESH","CHITTOOR","TIRUPATI (RURAL)",NA,NA,NA,NA,NA
"ANDHRA PRADESH","CHITTOOR","TIRUPATI (URBAN)",NA,NA,NA,NA,NA
"ANDHRA PRADESH","CHITTOOR","VADAMALAPETA",NA,NA,NA,NA,NA
"ANDHRA PRADESH","CHITTOOR","VARADAIAHPALEM",NA,NA,NA,NA,NA
"ANDHRA PRADESH","CHITTOOR","VAYALPAD",58,147,0,0,205
"ANDHRA PRADESH","CHITTOOR","VEDURUKUPPAM",21,18,0,0,39
"ANDHRA PRADESH","CHITTOOR","VENKATAGIRIKOTA",34,23,0,0,57
"ANDHRA PRADESH","CHITTOOR","VIJAYAPURAM",NA,NA,NA,NA,NA
"ANDHRA PRADESH","CHITTOOR","YADAMARI",59,109,19,0,187
"ANDHRA PRADESH","CHITTOOR","YERPEDU",NA,NA,NA,NA,NA
"ANDHRA PRADESH","CHITTOOR","YERRAVARIPALEM",4,0,0,0,4
"ANDHRA PRADESH","CUDDAPAH","ATLUR",58,38,0,0,96
"ANDHRA PRADESH","CUDDAPAH","B.KODUR",11,53,0,0,64
"ANDHRA PRADESH","CUDDAPAH","BADVEL",11,64,4,0,79
"ANDHRA PRADESH","CUDDAPAH","BRAHMAMGARIMATHAM",29,94,1,0,124
"ANDHRA PRADESH","CUDDAPAH","CHAKARAYAPET",67,27,0,0,94
"ANDHRA PRADESH","CUDDAPAH","CHAPAD",NA,NA,NA,NA,NA
"ANDHRA PRADESH","CUDDAPAH","CHENNAMANDEM",NA,NA,NA,NA,NA
"ANDHRA PRADESH","CUDDAPAH","CHENNUR",0,5,0,0,5
"ANDHRA PRADESH","CUDDAPAH","CHINTHAKOMMADINNE",5,617,7,2,631
"ANDHRA PRADESH","CUDDAPAH","CHITVEL",NA,NA,NA,NA,NA
"ANDHRA PRADESH","CUDDAPAH","CUDDAPAH",13,114,0,0,127
"ANDHRA PRADESH","CUDDAPAH","DUVVUR",31,419,90,1,541
"ANDHRA PRADESH","CUDDAPAH","GALIVEEDU",49,6,0,0,55
"ANDHRA PRADESH","CUDDAPAH","GOPAVARAM",26,19,0,0,45
"ANDHRA PRADESH","CUDDAPAH","JAMMALAMADUGU",27,0,0,0,27
"ANDHRA PRADESH","CUDDAPAH","KALASAPADU",59,236,0,0,295
"ANDHRA PRADESH","CUDDAPAH","KAMALAPURAM",27,55,1,0,83
"ANDHRA PRADESH","CUDDAPAH","KHAJIPET",70,213,0,0,283
"ANDHRA PRADESH","CUDDAPAH","KODUR",NA,NA,NA,NA,NA
"ANDHRA PRADESH","CUDDAPAH","KONDAPURAM",51,0,0,0,51
"ANDHRA PRADESH","CUDDAPAH","LAKKIREDDIPALLE",NA,NA,NA,NA,NA
"ANDHRA PRADESH","CUDDAPAH","LINGALA",44,171,0,0,215
"ANDHRA PRADESH","CUDDAPAH","MUDDANUR",328,40,0,0,368
"ANDHRA PRADESH","CUDDAPAH","MYLAVARAM",10,27,0,0,37
"ANDHRA PRADESH","CUDDAPAH","NANDALUR",82,31,0,0,113
"ANDHRA PRADESH","CUDDAPAH","OBULAVARIPALLE",16,414,10,1,441
"ANDHRA PRADESH","CUDDAPAH","PEDDAMUDIUM",113,53,3,0,169
"ANDHRA PRADESH","CUDDAPAH","PENAGALUR",121,233,0,1,355
"ANDHRA PRADESH","CUDDAPAH","PENDLIMARRI",34,251,2,0,287
"ANDHRA PRADESH","CUDDAPAH","PORUMAMILLA",27,150,1,0,178
"ANDHRA PRADESH","CUDDAPAH","PRODDUTUR",NA,NA,NA,NA,NA
"ANDHRA PRADESH","CUDDAPAH","PULIVENDLA",49,360,0,0,409
"ANDHRA PRADESH","CUDDAPAH","PULLAMPETA",10,424,16,0,450
"ANDHRA PRADESH","CUDDAPAH","RAJAMPET",38,660,0,0,698
"ANDHRA PRADESH","CUDDAPAH","RAJUPALEM",NA,NA,NA,NA,NA
"ANDHRA PRADESH","CUDDAPAH","RAMAPURAM",2,6,0,0,8
"ANDHRA PRADESH","CUDDAPAH","ROYACHOTI",38,14,0,0,52
"ANDHRA PRADESH","CUDDAPAH","S.MYDUKUR",52,119,40,0,211
"ANDHRA PRADESH","CUDDAPAH","SAMBEPALLE",NA,NA,NA,NA,NA
"ANDHRA PRADESH","CUDDAPAH","SIDHOUT",NA,NA,NA,NA,NA
"ANDHRA PRADESH","CUDDAPAH","SIMHADRIPURAM",5,398,0,3,406
"ANDHRA PRADESH","CUDDAPAH","T.SUNDUPALLE",NA,NA,NA,NA,NA
"ANDHRA PRADESH","CUDDAPAH","THONDUR",60,103,0,0,163
"ANDHRA PRADESH","CUDDAPAH","VALLUR",14,9,0,0,23
"ANDHRA PRADESH","CUDDAPAH","VEERABALLE",9,0,0,0,9
"ANDHRA PRADESH","CUDDAPAH","VEERAPUNAYUNIPALLE",0,3,0,0,3
"ANDHRA PRADESH","CUDDAPAH","VEMPALLE",8,46,0,1,55
"ANDHRA PRADESH","CUDDAPAH","VEMULA",61,266,0,2,329
"ANDHRA PRADESH","CUDDAPAH","VONTIMITTA",9,304,0,1,314
"ANDHRA PRADESH","CUDDAPAH","YERRAGUNTLA",2,65,0,0,67
"ANDHRA PRADESH","EAST GODAVARI","ADDATEEGALA",NA,NA,NA,NA,NA
"ANDHRA PRADESH","EAST GODAVARI","AINAVILLI",NA,NA,NA,NA,NA
"ANDHRA PRADESH","EAST GODAVARI","ALAMURU",NA,NA,NA,NA,NA
"ANDHRA PRADESH","EAST GODAVARI","ALLAVARAM",NA,NA,NA,NA,NA
"ANDHRA PRADESH","EAST GODAVARI","AMALAPURAM",NA,NA,NA,NA,NA
"ANDHRA PRADESH","EAST GODAVARI","AMBAJIPETA",NA,NA,NA,NA,NA
"ANDHRA PRADESH","EAST GODAVARI","ANAPARTHY",0,11,54,2,67
"ANDHRA PRADESH","EAST GODAVARI","ATREYAPURAM",NA,NA,NA,NA,NA
"ANDHRA PRADESH","EAST GODAVARI","BICCAVOLU",1,47,83,14,145
"ANDHRA PRADESH","EAST GODAVARI","DEVIPATNAM",NA,NA,NA,NA,NA
"ANDHRA PRADESH","EAST GODAVARI","GANDEPALLE",0,1,15,8,24
"ANDHRA PRADESH","EAST GODAVARI","GANGAVARAM",NA,NA,NA,NA,NA
"ANDHRA PRADESH","EAST GODAVARI","GOKAVARAM",0,5,0,3,8
"ANDHRA PRADESH","EAST GODAVARI","GOLLAPROLU",0,14,82,50,146
"ANDHRA PRADESH","EAST GODAVARI","I. POLAVARAM",NA,NA,NA,NA,NA
"ANDHRA PRADESH","EAST GODAVARI","JAGGAMPETA",0,0,0,1,1
"ANDHRA PRADESH","EAST GODAVARI","KADIAM",NA,NA,NA,NA,NA
"ANDHRA PRADESH","EAST GODAVARI","KAJULURU",NA,NA,NA,NA,NA
"ANDHRA PRADESH","EAST GODAVARI","KAKINADA RURAL",NA,NA,NA,NA,NA
"ANDHRA PRADESH","EAST GODAVARI","KAKINADA URBAN",NA,NA,NA,NA,NA
"ANDHRA PRADESH","EAST GODAVARI","KAPILESWARAPURAM",NA,NA,NA,NA,NA
"ANDHRA PRADESH","EAST GODAVARI","KARAPA",NA,NA,NA,NA,NA
"ANDHRA PRADESH","EAST GODAVARI","KATRENIKONA",NA,NA,NA,NA,NA
"ANDHRA PRADESH","EAST GODAVARI","KIRLAMPUDI",0,1,0,0,1
"ANDHRA PRADESH","EAST GODAVARI","KORUKONDA",4,408,13,5,430
"ANDHRA PRADESH","EAST GODAVARI","KOTANANDURU",NA,NA,NA,NA,NA
"ANDHRA PRADESH","EAST GODAVARI","KOTHAPALLE",NA,NA,NA,NA,NA
"ANDHRA PRADESH","EAST GODAVARI","KOTHAPETA",NA,NA,NA,NA,NA
"ANDHRA PRADESH","EAST GODAVARI","MALIKIPURAM",NA,NA,NA,NA,NA
"ANDHRA PRADESH","EAST GODAVARI","MAMIDIKUDURU",NA,NA,NA,NA,NA
"ANDHRA PRADESH","EAST GODAVARI","MANDAPETA",3,3,76,7,89
"ANDHRA PRADESH","EAST GODAVARI","MAREDUMILLI",NA,NA,NA,NA,NA
"ANDHRA PRADESH","EAST GODAVARI","MUMMIDIVARAM",NA,NA,NA,NA,NA
"ANDHRA PRADESH","EAST GODAVARI","P.GANNAVARAM",NA,NA,NA,NA,NA
"ANDHRA PRADESH","EAST GODAVARI","PAMARRU",NA,NA,NA,NA,NA
"ANDHRA PRADESH","EAST GODAVARI","PEDAPUDI",NA,NA,NA,NA,NA
"ANDHRA PRADESH","EAST GODAVARI","PEDDAPURAM",1,31,238,0,270
"ANDHRA PRADESH","EAST GODAVARI","PITHAPURAM",NA,NA,NA,NA,NA
"ANDHRA PRADESH","EAST GODAVARI","PRATHIPADU",5,11,17,0,33
"ANDHRA PRADESH","EAST GODAVARI","RAJAHMUNDRY RURAL",64,139,5,1,209
"ANDHRA PRADESH","EAST GODAVARI","RAJAHMUNDRY URBAN",NA,NA,NA,NA,NA
"ANDHRA PRADESH","EAST GODAVARI","RAJANAGARAM",48,198,180,132,558
"ANDHRA PRADESH","EAST GODAVARI","RAJAVOMMANGI",NA,NA,NA,NA,NA
"ANDHRA PRADESH","EAST GODAVARI","RAMACHANDRAPURAM",NA,NA,NA,NA,NA
"ANDHRA PRADESH","EAST GODAVARI","RAMPACHODAVARAM",NA,NA,NA,NA,NA
"ANDHRA PRADESH","EAST GODAVARI","RANGAMPETA",0,43,100,52,195
"ANDHRA PRADESH","EAST GODAVARI","RAVULAPALEM",NA,NA,NA,NA,NA
"ANDHRA PRADESH","EAST GODAVARI","RAYAVARAM",NA,NA,NA,NA,NA
"ANDHRA PRADESH","EAST GODAVARI","RAZOLE",NA,NA,NA,NA,NA
"ANDHRA PRADESH","EAST GODAVARI","SAKHINETIPALLE",NA,NA,NA,NA,NA
"ANDHRA PRADESH","EAST GODAVARI","SAMALKOTA",0,2,3,3,8
"ANDHRA PRADESH","EAST GODAVARI","SANKHAVARAM",2,2,0,0,4
"ANDHRA PRADESH","EAST GODAVARI","SEETHANAGARAM",6,64,9,0,79
"ANDHRA PRADESH","EAST GODAVARI","THALLAREVU",NA,NA,NA,NA,NA
"ANDHRA PRADESH","EAST GODAVARI","THONDANGI",0,43,7,0,50
"ANDHRA PRADESH","EAST GODAVARI","TUNI",NA,NA,NA,NA,NA
"ANDHRA PRADESH","EAST GODAVARI","UPPALAGUPTAM",NA,NA,NA,NA,NA
"ANDHRA PRADESH","EAST GODAVARI","Y. RAMAVARAM",NA,NA,NA,NA,NA
"ANDHRA PRADESH","EAST GODAVARI","YELESWARAM",NA,NA,NA,NA,NA
"ANDHRA PRADESH","GUNTUR","ACHAMPET",NA,NA,NA,NA,NA
"ANDHRA PRADESH","GUNTUR","AMARAVATHI",NA,NA,NA,NA,NA
"ANDHRA PRADESH","GUNTUR","AMRUTHALUR",NA,NA,NA,NA,NA
"ANDHRA PRADESH","GUNTUR","BAPATLA",NA,NA,NA,NA,NA
"ANDHRA PRADESH","GUNTUR","BELLAMKONDA",NA,NA,NA,NA,NA
