-----
{
 "description": "The table refers to block wise potential utilized through dugwells. It has been sourced from 2nd census of Minor Irrigation Scheme (1993-94) from Ministry of Water Resources.", 
 "file_name": "blckdgwltab1.14.csv", 
 "title": "Download CSV for Block wise Irrigation potential utilised through Dugwells for 2nd census of minor irrigation schemes (1993-94)", 
 "url": "http://data.gov.in/sites/default/files/blckdgwltab1.14.csv"
}
-----
-----
{
 "description": "The table refers to block wise distribution of dugwells according to constraints. It has been sourced from 2nd census of Minor Irrigation Scheme (1993-94) from Ministry of Water Resources.", 
 "file_name": "blckdgwltab1.16.csv", 
 "title": "Download CSV for Block wise Dugwells according to the constraints for 2nd census of minor irrigation schemes (1993-94)", 
 "url": "http://data.gov.in/sites/default/files/blckdgwltab1.16.csv"
}
-----
-----
{
 "description": "The table refers to village wise distribution of dugwells according to construction over the years. It has been sourced from 2nd census of Minor Irrigation Scheme (1993-94) from Ministry of Water Resources.", 
 "file_name": "villdgwltab1.1.csv", 
 "title": "Download CSV for Village wise Construction of Dugwells over the years for 2nd census of minor irrigation schemes (1993-94)(External Link that opens in a new window)", 
 "url": "http://data.gov.in/sites/default/files/villdgwltab1.1.csv"
}
-----
-----
{
 "description": "The table refers to block wise distribution of dugwells according to horse power of lifting device. It has been sourced from 2nd census of Minor Irrigation Scheme (1993-94) from Ministry of Water Resources.", 
 "file_name": "blckdgwltab1.10_1.csv", 
 "title": "Download CSV for Block wise Dugwells according to horse power of lifting device for 2nd census of minor irrigation schemes (1993-94)", 
 "url": "http://data.gov.in/sites/default/files/blckdgwltab1.10_1.csv"
}
-----
-----
{
 "description": "The table refers to village wise distribution of dugwells according to ownership. It has been sourced from 2nd census of Minor Irrigation Scheme (1993-94) from Ministry of Water Resources.", 
 "file_name": "villdgwltab1.2.csv", 
 "title": "Download CSV for Village wise Distribution of Dugwells according to ownership for 2nd census of minor irrigation schemes (1993-94)(External Link that opens in a new window)", 
 "url": "http://data.gov.in/sites/default/files/villdgwltab1.2.csv"
}
-----
-----
{
 "description": "The table refers to block wise distribution of dugwells according to average length of water conveyance channel. It has been sourced from 2nd census of Minor Irrigation Scheme (1993-94) from Ministry of Water Resources.", 
 "file_name": "blckdgwltab1.12.csv", 
 "title": "Download CSV for Block wise Dugwells Average length of water conveyance channel for 2nd census of minor irrigation schemes (1993-94)", 
 "url": "http://data.gov.in/sites/default/files/blckdgwltab1.12.csv"
}
-----
"State","District","Block","Total number of dugwells","Average length of channels - Pucca","Average length of channels - Kuccha","Average length of channels - Underground"
"ANDHRA PRADESH","ADILABAD","MUDHOLE",247,0,167,26
"ANDHRA PRADESH","ADILABAD","NARNOOR",400,0,29,0
"ANDHRA PRADESH","ADILABAD","NENNAL",146,0,8,0
"ANDHRA PRADESH","ADILABAD","NERADIGONDA",225,0,19,19
"ANDHRA PRADESH","ADILABAD","NIRMAL",1780,4,135,13
"ANDHRA PRADESH","ADILABAD","REBBENA",306,0,12,0
"ANDHRA PRADESH","ADILABAD","SARANGAPUR",238,0,20,0
"ANDHRA PRADESH","ADILABAD","SIRPUR",345,0,93,0
"ANDHRA PRADESH","ADILABAD","SIRPUR (T)",211,0,25,0
"ANDHRA PRADESH","ADILABAD","TALAMADUGU",545,12,21,2
"ANDHRA PRADESH","ADILABAD","TAMSI",328,10,52,1
"ANDHRA PRADESH","ADILABAD","TANDUR",234,1,41,0
"ANDHRA PRADESH","ADILABAD","TANUR",226,0,154,0
"ANDHRA PRADESH","ADILABAD","TIRYANI",162,0,26,0
"ANDHRA PRADESH","ADILABAD","UTNUR",588,1,62,0
"ANDHRA PRADESH","ADILABAD","VEMANPALLE",218,0,23,0
"ANDHRA PRADESH","ADILABAD","WANKDI",83,0,31,0
"ANDHRA PRADESH","ANANTHAPUR","AGALI",1092,0,17,0
"ANDHRA PRADESH","ANANTHAPUR","AMADAGUR",949,4,46,2
"ANDHRA PRADESH","ANANTHAPUR","AMARAPURAM",531,4,20,0
"ANDHRA PRADESH","ANANTHAPUR","ANANTAPUR",608,18,NA,12
"ANDHRA PRADESH","ANANTHAPUR","ATMAKUR",724,0,18,1
"ANDHRA PRADESH","ANANTHAPUR","BATHALAPALLE",603,0,3,23
"ANDHRA PRADESH","ANANTHAPUR","BELUGUPPA",462,51,17,1
"ANDHRA PRADESH","ANANTHAPUR","BOMMANAHAL",295,1,19,4
"ANDHRA PRADESH","ANANTHAPUR","BRAHMASAMUDRAM",666,1,34,8
"ANDHRA PRADESH","ANANTHAPUR","BUKKAPATNAM",907,0,345,0
"ANDHRA PRADESH","ANANTHAPUR","BUKKARAYASAMUDRAM",1778,2,19,26
"ANDHRA PRADESH","ANANTHAPUR","CHENNEKOTHAPALLE",1922,1,43,5
"ANDHRA PRADESH","ANANTHAPUR","CHILAMATHUR",1344,1,16,1
"ANDHRA PRADESH","ANANTHAPUR","D.HIREHAL",745,10,47,3
"ANDHRA PRADESH","ANANTHAPUR","DHARMAVARAM",1671,5,18,4
"ANDHRA PRADESH","ANANTHAPUR","GANDLAPENTA",792,0,10,1
"ANDHRA PRADESH","ANANTHAPUR","GARLADINNE",805,1,21,40
"ANDHRA PRADESH","ANANTHAPUR","GOOTY",516,5,86,19
"ANDHRA PRADESH","ANANTHAPUR","GORANTLA",1345,2,7,0
"ANDHRA PRADESH","ANANTHAPUR","GUDIBANDA",663,4,19,0
"ANDHRA PRADESH","ANANTHAPUR","GUMMAGATA",710,6,25,3
"ANDHRA PRADESH","ANANTHAPUR","GUNTAKAL",525,1,74,17
"ANDHRA PRADESH","ANANTHAPUR","HINDUPUR",963,0,20,0
"ANDHRA PRADESH","ANANTHAPUR","KADIRI",645,5,52,8
"ANDHRA PRADESH","ANANTHAPUR","KALYANDRUG",1038,11,43,1
"ANDHRA PRADESH","ANANTHAPUR","KAMBADUR",851,1,142,5
"ANDHRA PRADESH","ANANTHAPUR","KANAGANAPALLE",925,9,26,9
"ANDHRA PRADESH","ANANTHAPUR","KANEKAL",192,3,26,8
"ANDHRA PRADESH","ANANTHAPUR","KOTHACHERUVU",1317,1,27,1
"ANDHRA PRADESH","ANANTHAPUR","KUDAIR",804,0,13,5
"ANDHRA PRADESH","ANANTHAPUR","KUNDURPI",1013,0,200,0
"ANDHRA PRADESH","ANANTHAPUR","LEPAKSHI",586,0,47,6
"ANDHRA PRADESH","ANANTHAPUR","MADAKASIRA",1486,0,63,0
"ANDHRA PRADESH","ANANTHAPUR","MUDIGUBBA",1303,0,2,1
"ANDHRA PRADESH","ANANTHAPUR","NALLACHERUVU",539,0,29,0
"ANDHRA PRADESH","ANANTHAPUR","NALLAMADA",1022,0,32,3
"ANDHRA PRADESH","ANANTHAPUR","NAMBULAPULIKUNTA",956,0,16,3
"ANDHRA PRADESH","ANANTHAPUR","NARPALA",1950,11,44,17
"ANDHRA PRADESH","ANANTHAPUR","OBULADEVARACHERUVU",1142,0,41,2
"ANDHRA PRADESH","ANANTHAPUR","PAMIDI",376,0,11,5
"ANDHRA PRADESH","ANANTHAPUR","PARIGI",764,0,47,8
"ANDHRA PRADESH","ANANTHAPUR","PEDDAPAPPUR",1011,20,16,6
"ANDHRA PRADESH","ANANTHAPUR","PEDDAVADUGUR",279,0,6,4
"ANDHRA PRADESH","ANANTHAPUR","PENUKONDA",1234,0,27,1
"ANDHRA PRADESH","ANANTHAPUR","PUTLUR",1668,5,42,12
"ANDHRA PRADESH","ANANTHAPUR","PUTTAPARTHI",786,0,6,2
"ANDHRA PRADESH","ANANTHAPUR","RAMAGIRI",533,2,14,0
"ANDHRA PRADESH","ANANTHAPUR","RAPTADU",694,1,9,9
"ANDHRA PRADESH","ANANTHAPUR","RAYADURG",728,3,44,1
"ANDHRA PRADESH","ANANTHAPUR","RODDAM",876,0,25,1
"ANDHRA PRADESH","ANANTHAPUR","ROLLA",771,0,40,0
"ANDHRA PRADESH","ANANTHAPUR","SETTUR",710,0,166,0
"ANDHRA PRADESH","ANANTHAPUR","SINGANAMALA",1210,2,19,14
"ANDHRA PRADESH","ANANTHAPUR","SOMANDEPALLE",729,1,30,0
"ANDHRA PRADESH","ANANTHAPUR","TADIMARRI",1069,0,2,0
"ANDHRA PRADESH","ANANTHAPUR","TADPATRI",795,14,32,1
"ANDHRA PRADESH","ANANTHAPUR","TALUPULA",1190,1,33,0
"ANDHRA PRADESH","ANANTHAPUR","TANAKAL",1118,0,11,1
"ANDHRA PRADESH","ANANTHAPUR","URAVAKONDA",537,0,7,0
"ANDHRA PRADESH","ANANTHAPUR","VAJRAKARUR",317,0,5,1
"ANDHRA PRADESH","ANANTHAPUR","VIDAPANAKAL",226,112,54,4
"ANDHRA PRADESH","ANANTHAPUR","YADIKI",526,41,44,5
"ANDHRA PRADESH","ANANTHAPUR","YELLANUR",1048,0,5,15
"ANDHRA PRADESH","CHITTOOR","B.KOTHAKOTA",1170,0,106,4
"ANDHRA PRADESH","CHITTOOR","BAIREDDIPALLE",2935,1,30,2
"ANDHRA PRADESH","CHITTOOR","BANGARUPALEM",3489,1,16,1
"ANDHRA PRADESH","CHITTOOR","BUCHINAIDU KHANDRIGA",844,0,20,4
"ANDHRA PRADESH","CHITTOOR","CHANDRAGIRI",2807,3,36,16
"ANDHRA PRADESH","CHITTOOR","CHINNAGOTTIGALLU",1461,4,57,5
"ANDHRA PRADESH","CHITTOOR","CHITTOOR",2586,15,81,13
"ANDHRA PRADESH","CHITTOOR","CHOWDE[ALLE",1666,1,35,2
"ANDHRA PRADESH","CHITTOOR","GANGADHARA NELLORE",4112,0,93,2
"ANDHRA PRADESH","CHITTOOR","GANGAVARAM",2189,0,48,2
"ANDHRA PRADESH","CHITTOOR","GUDIPALA",2606,0,98,3
"ANDHRA PRADESH","CHITTOOR","GUDUPALLE",853,0,109,1
"ANDHRA PRADESH","CHITTOOR","GURRAMKONDA",2178,0,83,1
"ANDHRA PRADESH","CHITTOOR","IRALA",2773,0,38,3
"ANDHRA PRADESH","CHITTOOR","K.V.B. PURAM",1160,1,81,22
"ANDHRA PRADESH","CHITTOOR","KALAKADA",1868,0,53,1
"ANDHRA PRADESH","CHITTOOR","KALIKIRI",1354,0,83,2
"ANDHRA PRADESH","CHITTOOR","KAMACHANDRA PURAM",1990,0,26,3
"ANDHRA PRADESH","CHITTOOR","KAMBHAMVARIPALLE",2805,0,32,1
"ANDHRA PRADESH","CHITTOOR","KARVETINAGAR",2234,0,25,0
"ANDHRA PRADESH","CHITTOOR","KUPPAM",2188,0,28,0
"ANDHRA PRADESH","CHITTOOR","KURABALAKOTA",1004,1,55,0
"ANDHRA PRADESH","CHITTOOR","MADANAPALLE",1314,4,52,1
"ANDHRA PRADESH","CHITTOOR","MULAKALACHERUVU",868,0,92,0
"ANDHRA PRADESH","CHITTOOR","NAGALAPURAM",1059,0,10,0
"ANDHRA PRADESH","CHITTOOR","NAGARI",1600,1,19,2
"ANDHRA PRADESH","CHITTOOR","NARAYANAVANAM",774,9,63,26
"ANDHRA PRADESH","CHITTOOR","NIMMANAPALLE",1358,0,57,14
"ANDHRA PRADESH","CHITTOOR","NINDRA",1334,0,51,18
"ANDHRA PRADESH","CHITTOOR","PAKALA",2385,1,72,10
"ANDHRA PRADESH","CHITTOOR","PALAMANERU",1889,0,52,8
"ANDHRA PRADESH","CHITTOOR","PALASAMUDRAM",1672,0,56,5
"ANDHRA PRADESH","CHITTOOR","PEDDAMANDYAM",1006,4,27,1
"ANDHRA PRADESH","CHITTOOR","PEDDAPANJANI",1818,5,59,6
"ANDHRA PRADESH","CHITTOOR","PEDDATHIPPASAMDRAM",1649,0,59,1
"ANDHRA PRADESH","CHITTOOR","PENUMURU",2655,0,34,2
"ANDHRA PRADESH","CHITTOOR","PICHATURU",1115,0,53,14
"ANDHRA PRADESH","CHITTOOR","PILERU",1605,0,82,2
"ANDHRA PRADESH","CHITTOOR","PULICHERLA",1576,10,62,5
"ANDHRA PRADESH","CHITTOOR","PUNGANURU",2649,0,116,6
"ANDHRA PRADESH","CHITTOOR","PUTHALAPATTU",3123,1,38,7
"ANDHRA PRADESH","CHITTOOR","PUTTURU",2003,0,84,1
"ANDHRA PRADESH","CHITTOOR","RAMAKUPPAM",1805,5,27,3
"ANDHRA PRADESH","CHITTOOR","RAMASAMUDRAM",1553,0,40,4
"ANDHRA PRADESH","CHITTOOR","RENIGUNTA",1245,7,55,5
"ANDHRA PRADESH","CHITTOOR","ROMPICHERLA",1027,0,128,11
"ANDHRA PRADESH","CHITTOOR","SANTHIPURAM",1767,0,37,1
"ANDHRA PRADESH","CHITTOOR","SATYAVEDU",1389,0,31,2
"ANDHRA PRADESH","CHITTOOR","SODAM",2565,0,39,5
"ANDHRA PRADESH","CHITTOOR","SOMALA",2060,0,74,3
"ANDHRA PRADESH","CHITTOOR","SRIKALAHASTI",1600,1,44,26
"ANDHRA PRADESH","CHITTOOR","SRIRANGARAJAPURAM",2236,1,52,4
"ANDHRA PRADESH","CHITTOOR","THAMBALLAPALLE",1076,2,51,1
"ANDHRA PRADESH","CHITTOOR","THAVANAMPALLE",2845,5,45,2
"ANDHRA PRADESH","CHITTOOR","THOTTAMBEDA",1369,0,164,15
"ANDHRA PRADESH","CHITTOOR","TIRUPATI (RURAL)",2066,0,45,18
"ANDHRA PRADESH","CHITTOOR","TIRUPATI (URBAN)",204,0,64,10
"ANDHRA PRADESH","CHITTOOR","VADAMALAPETA",1876,0,40,9
"ANDHRA PRADESH","CHITTOOR","VARADAIAHPALEM",794,0,44,0
"ANDHRA PRADESH","CHITTOOR","VAYALPAD",1490,2,37,2
"ANDHRA PRADESH","CHITTOOR","VEDURUKUPPAM",3189,0,93,9
"ANDHRA PRADESH","CHITTOOR","VENKATAGIRIKOTA",3418,3,49,8
"ANDHRA PRADESH","CHITTOOR","VIJAYAPURAM",1564,0,79,13
"ANDHRA PRADESH","CHITTOOR","YADAMARI",2496,0,32,7
"ANDHRA PRADESH","CHITTOOR","YERPEDU",1639,0,30,16
"ANDHRA PRADESH","CHITTOOR","YERRAVARIPALEM",695,1,113,6
"ANDHRA PRADESH","CUDDAPAH","ATLUR",1132,2,37,0
"ANDHRA PRADESH","CUDDAPAH","B.KODUR",1153,0,89,0
"ANDHRA PRADESH","CUDDAPAH","BADVEL",692,0,110,0
"ANDHRA PRADESH","CUDDAPAH","BRAHMAMGARIMATHAM",836,0,192,0
"ANDHRA PRADESH","CUDDAPAH","CHAKARAYAPET",1140,1,52,0
"ANDHRA PRADESH","CUDDAPAH","CHAPAD",325,2,64,1
"ANDHRA PRADESH","CUDDAPAH","CHENNAMANDEM",1458,0,35,0
"ANDHRA PRADESH","CUDDAPAH","CHENNUR",114,21,37,6
"ANDHRA PRADESH","CUDDAPAH","CHINTHAKOMMADINNE",1008,0,71,0
"ANDHRA PRADESH","CUDDAPAH","CHITVEL",558,0,55,0
"ANDHRA PRADESH","CUDDAPAH","CUDDAPAH",212,2,27,0
"ANDHRA PRADESH","CUDDAPAH","DUVVUR",873,4,50,0
"ANDHRA PRADESH","CUDDAPAH","GALIVEEDU",2213,0,22,1
"ANDHRA PRADESH","CUDDAPAH","GOPAVARAM",495,0,53,0
"ANDHRA PRADESH","CUDDAPAH","JAMMALAMADUGU",301,10,101,33
"ANDHRA PRADESH","CUDDAPAH","KALASAPADU",871,1,86,0
"ANDHRA PRADESH","CUDDAPAH","KAMALAPURAM",511,0,153,0
"ANDHRA PRADESH","CUDDAPAH","KHAJIPET",509,38,26,11
"ANDHRA PRADESH","CUDDAPAH","KODUR",1142,7,77,2
"ANDHRA PRADESH","CUDDAPAH","KONDAPURAM",60,0,118,0
"ANDHRA PRADESH","CUDDAPAH","LAKKIREDDIPALLE",1483,0,22,0
"ANDHRA PRADESH","CUDDAPAH","LINGALA",688,0,48,0
"ANDHRA PRADESH","CUDDAPAH","MUDDANUR",440,27,100,0
"ANDHRA PRADESH","CUDDAPAH","MYLAVARAM",524,30,39,0
"ANDHRA PRADESH","CUDDAPAH","NANDALUR",648,0,34,7
"ANDHRA PRADESH","CUDDAPAH","OBULAVARIPALLE",1306,0,18,0
"ANDHRA PRADESH","CUDDAPAH","PEDDAMUDIUM",124,36,89,0
"ANDHRA PRADESH","CUDDAPAH","PENAGALUR",451,3,47,0
"ANDHRA PRADESH","CUDDAPAH","PENDLIMARRI",318,33,16,0
"ANDHRA PRADESH","CUDDAPAH","PORUMAMILLA",1702,0,134,0
"ANDHRA PRADESH","CUDDAPAH","PRODDUTUR",97,63,231,0
"ANDHRA PRADESH","CUDDAPAH","PULIVENDLA",581,17,30,1
"ANDHRA PRADESH","CUDDAPAH","PULLAMPETA",1286,2,50,1
"ANDHRA PRADESH","CUDDAPAH","RAJAMPET",1363,1,37,1
"ANDHRA PRADESH","CUDDAPAH","RAJUPALEM",58,45,106,26
"ANDHRA PRADESH","CUDDAPAH","RAMAPURAM",691,0,18,0
"ANDHRA PRADESH","CUDDAPAH","ROYACHOTI",1889,2,62,2
"ANDHRA PRADESH","CUDDAPAH","S.MYDUKUR",1295,0,73,1
"ANDHRA PRADESH","CUDDAPAH","SAMBEPALLE",1784,0,27,0
"ANDHRA PRADESH","CUDDAPAH","SIDHOUT",632,2,62,0
"ANDHRA PRADESH","CUDDAPAH","SIMHADRIPURAM",554,0,20,0
"ANDHRA PRADESH","CUDDAPAH","T.SUNDUPALLE",1501,0,56,0
"ANDHRA PRADESH","CUDDAPAH","THONDUR",561,4,13,0
"ANDHRA PRADESH","CUDDAPAH","VALLUR",595,0,24,0
"ANDHRA PRADESH","CUDDAPAH","VEERABALLE",1075,0,52,3
"ANDHRA PRADESH","CUDDAPAH","VEERAPUNAYUNIPALLE",490,6,136,7
"ANDHRA PRADESH","CUDDAPAH","VEMPALLE",606,1,39,5
"ANDHRA PRADESH","CUDDAPAH","VEMULA",744,0,135,0
"ANDHRA PRADESH","CUDDAPAH","VONTIMITTA",1608,3,39,5
"ANDHRA PRADESH","CUDDAPAH","YERRAGUNTLA",219,0,146,0
"ANDHRA PRADESH","EAST GODAVARI","ADDATEEGALA",1,0,100,0
"ANDHRA PRADESH","EAST GODAVARI","AINAVILLI",NA,NA,NA,NA
"ANDHRA PRADESH","EAST GODAVARI","ALAMURU",NA,NA,NA,NA
"ANDHRA PRADESH","EAST GODAVARI","ALLAVARAM",NA,NA,NA,NA
"ANDHRA PRADESH","EAST GODAVARI","AMALAPURAM",NA,NA,NA,NA
"ANDHRA PRADESH","EAST GODAVARI","AMBAJIPETA",NA,NA,NA,NA
"ANDHRA PRADESH","EAST GODAVARI","ANAPARTHY",NA,NA,NA,NA
"ANDHRA PRADESH","EAST GODAVARI","ATREYAPURAM",NA,NA,NA,NA
"ANDHRA PRADESH","EAST GODAVARI","BICCAVOLU",7,0,15,0
"ANDHRA PRADESH","EAST GODAVARI","DEVIPATNAM",NA,NA,NA,NA
"ANDHRA PRADESH","EAST GODAVARI","GANDEPALLE",23,10,7,0
"ANDHRA PRADESH","EAST GODAVARI","GANGAVARAM",NA,NA,NA,NA
"ANDHRA PRADESH","EAST GODAVARI","GOKAVARAM",15,0,11,0
"ANDHRA PRADESH","EAST GODAVARI","GOLLAPROLU",98,1,6,0
"ANDHRA PRADESH","EAST GODAVARI","I. POLAVARAM",NA,NA,NA,NA
"ANDHRA PRADESH","EAST GODAVARI","JAGGAMPETA",124,0,73,0
"ANDHRA PRADESH","EAST GODAVARI","KADIAM",NA,NA,NA,NA
"ANDHRA PRADESH","EAST GODAVARI","KAJULURU",NA,NA,NA,NA
"ANDHRA PRADESH","EAST GODAVARI","KAKINADA RURAL",NA,NA,NA,NA
"ANDHRA PRADESH","EAST GODAVARI","KAKINADA URBAN",NA,NA,NA,NA
"ANDHRA PRADESH","EAST GODAVARI","KAPILESWARAPURAM",NA,NA,NA,NA
"ANDHRA PRADESH","EAST GODAVARI","KARAPA",2,0,23,0
"ANDHRA PRADESH","EAST GODAVARI","KATRENIKONA",NA,NA,NA,NA
"ANDHRA PRADESH","EAST GODAVARI","KIRLAMPUDI",6,0,59,0
"ANDHRA PRADESH","EAST GODAVARI","KORUKONDA",126,0,30,0
"ANDHRA PRADESH","EAST GODAVARI","KOTANANDURU",169,0,15,0
"ANDHRA PRADESH","EAST GODAVARI","KOTHAPALLE",18,2,6,0
"ANDHRA PRADESH","EAST GODAVARI","KOTHAPETA",NA,NA,NA,NA
"ANDHRA PRADESH","EAST GODAVARI","MALIKIPURAM",NA,NA,NA,NA
"ANDHRA PRADESH","EAST GODAVARI","MAMIDIKUDURU",NA,NA,NA,NA
"ANDHRA PRADESH","EAST GODAVARI","MANDAPETA",NA,NA,NA,NA
"ANDHRA PRADESH","EAST GODAVARI","MAREDUMILLI",NA,NA,NA,NA
"ANDHRA PRADESH","EAST GODAVARI","MUMMIDIVARAM",NA,NA,NA,NA
"ANDHRA PRADESH","EAST GODAVARI","P.GANNAVARAM",NA,NA,NA,NA
"ANDHRA PRADESH","EAST GODAVARI","PAMARRU",NA,NA,NA,NA
"ANDHRA PRADESH","EAST GODAVARI","PEDAPUDI",NA,NA,NA,NA
"ANDHRA PRADESH","EAST GODAVARI","PEDDAPURAM",4,0,8,0
"ANDHRA PRADESH","EAST GODAVARI","PITHAPURAM",24,0,4,0
"ANDHRA PRADESH","EAST GODAVARI","PRATHIPADU",103,0,84,0
"ANDHRA PRADESH","EAST GODAVARI","RAJAHMUNDRY RURAL",NA,NA,NA,NA
"ANDHRA PRADESH","EAST GODAVARI","RAJAHMUNDRY URBAN",NA,NA,NA,NA
"ANDHRA PRADESH","EAST GODAVARI","RAJANAGARAM",163,4,76,0
"ANDHRA PRADESH","EAST GODAVARI","RAJAVOMMANGI",NA,NA,NA,NA
"ANDHRA PRADESH","EAST GODAVARI","RAMACHANDRAPURAM",NA,NA,NA,NA
"ANDHRA PRADESH","EAST GODAVARI","RAMPACHODAVARAM",NA,NA,NA,NA
"ANDHRA PRADESH","EAST GODAVARI","RANGAMPETA",6,0,6,0
"ANDHRA PRADESH","EAST GODAVARI","RAVULAPALEM",NA,NA,NA,NA
"ANDHRA PRADESH","EAST GODAVARI","RAYAVARAM",NA,NA,NA,NA
"ANDHRA PRADESH","EAST GODAVARI","RAZOLE",16,0,8,0
"ANDHRA PRADESH","EAST GODAVARI","SAKHINETIPALLE",NA,NA,NA,NA
"ANDHRA PRADESH","EAST GODAVARI","SAMALKOTA",196,0,17,0
"ANDHRA PRADESH","EAST GODAVARI","SANKHAVARAM",322,0,101,0
"ANDHRA PRADESH","EAST GODAVARI","SEETHANAGARAM",NA,NA,NA,NA
"ANDHRA PRADESH","EAST GODAVARI","THALLAREVU",25,0,23,0
"ANDHRA PRADESH","EAST GODAVARI","THONDANGI",16,0,132,0
"ANDHRA PRADESH","EAST GODAVARI","TUNI",618,3,42,0
