-----
{
 "description": "The table refers to district wise irrigation through supplementary sources. It has been sourced from 2nd census of Minor Irrigation Scheme (1993-94) from Ministry of Water Resources.", 
 "file_name": "Statedgwltab1.15.csv", 
 "title": "Download CSV for District wise Irrigation through supplementary sources with Dugwells for 2nd census of minor irrigation schemes (1993-94)", 
 "url": "http://data.gov.in/sites/default/files/Statedgwltab1.15.csv"
}
-----
"State","District","Supplementary irrigation (Ha) - Kharif","Supplementary irrigation (Ha) - Rabi","Supplementary irrigation (Ha) - Perennial","Supplementary irrigation (Ha) - Others","Total"
"BIHAR","BHABUA",1179,969,54,14,2216
"BIHAR","BHAGALPUR",6,6,0,0,12
"BIHAR","BHOJPUR",626,603,58,15,1302
"BIHAR","BOKARO",1,14,0,0,15
"BIHAR","BUXAR",650,536,6,0,1192
"BIHAR","CHAMPARAN EAST",0,0,0,0,0
"BIHAR","CHAMPARAN WEST",0,0,0,0,0
"BIHAR","CHATRA",48,41,2,0,91
"BIHAR","DARBHANGA",0,0,0,0,0
"BIHAR","DEOGHAR",113,97,13,0,223
"BIHAR","DHANBAD",8,5,1,6,20
"BIHAR","DUMKA",108,169,11,10,298
"BIHAR","GARHWA",119,155,10,0,284
"BIHAR","GAYA",729,533,7,10,1279
"BIHAR","GIRIDIH",17,238,4,0,259
"BIHAR","GODDA",211,140,16,2,369
"BIHAR","GOPALGANJ",0,1,0,0,1
"BIHAR","GUMLA",10,6584,16,28,6638
"BIHAR","HAZARIBAG",25,64,10,10,109
"BIHAR","JAMUI",614,725,259,199,1797
"BIHAR","JEHANABAD",244,124,46,45,459
"BIHAR","KATIHAR",0,0,0,0,0
"BIHAR","KHAGARIA",0,0,0,0,0
"BIHAR","KISHANGANJ",0,0,0,0,0
"BIHAR","KODARMA",14,15,1,1,31
"BIHAR","LAKHISARAI",8,16,0,5,29
"BIHAR","LOHARDAGA",1,22,0,0,23
"BIHAR","MADHEPURA",0,0,0,0,0
"BIHAR","MADHUBANI",2,4,0,2,8
"BIHAR","MUNGER",83,111,0,1,195
"BIHAR","MUZAFFARPUR",0,0,0,0,0
"BIHAR","NALANDA",492,207,45,0,744
"BIHAR","NAWADA",199,72,11,2,284
"BIHAR","PAKUR",1,4,0,0,5
"BIHAR","PALAMU",301,462,17,21,801
"BIHAR","PATNA",337,242,38,29,646
"BIHAR","PURNIA",0,0,0,0,0
"BIHAR","RANCHI",99,58,15,12,184
"BIHAR","ROHTAS",1411,1287,36,39,2773
"BIHAR","SAHARSA",NA,NA,NA,NA,NA
"BIHAR","SAHEBGANJ",2,2,6,0,10
"BIHAR","SAMASTIPUR",0,0,0,0,0
"BIHAR","SARAN",10,28,0,0,38
"BIHAR","SHEIKHPURA",8,0,0,0,8
"BIHAR","SHEOHAR",NA,NA,NA,NA,NA
"BIHAR","SINGHBHUM EAST",1,17,0,0,18
"BIHAR","SINGHBHUM WEST",29,24,0,0,53
"BIHAR","SITAMARHI",0,0,0,0,0
"BIHAR","SIWAN",9,34,0,0,43
"BIHAR","SUPAUL",NA,NA,NA,NA,NA
"BIHAR","VAISHALI",0,0,0,0,0
"GOA","NORTH GOA",0,24,106,0,130
"GOA","SOUTH GOA",0,0,64,12,76
"GUJARAT","",NA,NA,NA,NA,NA
"HARYANA","AMBALA",14,14,0,0,28
"HARYANA","BHIWANI",718,1726,0,0,2444
"HARYANA","FARIDABAD",NA,NA,NA,NA,NA
"HARYANA","GURGAON",10,521,0,0,531
"HARYANA","HISAR",40,37,0,0,77
"HARYANA","JIND",NA,NA,NA,NA,NA
"HARYANA","KAITHAL",2290,2361,0,0,4651
"HARYANA","KARNAL",1535,1535,0,0,3070
"HARYANA","KURUKSHETRA",NA,NA,NA,NA,NA
"HARYANA","MEHANDERGARH",0,0,0,0,0
"HARYANA","PANCHKULA",0,0,0,0,0
"HARYANA","PANIPAT",10,10,0,0,20
"HARYANA","RIWARI",2,97,0,0,99
"HARYANA","ROHTAK",1009,1009,0,0,2018
"HARYANA","SIRSA",3178,3178,0,0,6356
"HARYANA","SONIPAT",40,40,0,0,80
"HARYANA","YAMUNA NAGAR",278,278,0,0,556
"HIMACHAL PRADESH","Bilaspur",0,0,0,0,0
"HIMACHAL PRADESH","Chamba",NA,NA,NA,NA,NA
"HIMACHAL PRADESH","Hamirpur",0,0,0,0,0
"HIMACHAL PRADESH","Kangra",0,0,0,0,0
"HIMACHAL PRADESH","Kinnaur",NA,NA,NA,NA,NA
"HIMACHAL PRADESH","Kullu",0,0,0,0,0
"HIMACHAL PRADESH","Lahul & Spiti",NA,NA,NA,NA,NA
"HIMACHAL PRADESH","Mandi",0,0,0,0,0
"HIMACHAL PRADESH","Shimla",NA,NA,NA,NA,NA
"HIMACHAL PRADESH","Sirmaur",0,0,0,0,0
"HIMACHAL PRADESH","Solan",0,0,0,0,0
"HIMACHAL PRADESH","Una",0,0,0,0,0
"JAMMU & KASHMIR","Anantnagh",NA,NA,NA,NA,NA
"JAMMU & KASHMIR","Baramulla",0,0,0,0,0
"JAMMU & KASHMIR","Budgam",0,0,0,0,0
"JAMMU & KASHMIR","Doda",NA,NA,NA,NA,NA
"JAMMU & KASHMIR","Jammu",0,0,0,0,0
"JAMMU & KASHMIR","Kargil",NA,NA,NA,NA,NA
"JAMMU & KASHMIR","Kathua",60,43,0,0,103
"JAMMU & KASHMIR","Kupwara",NA,NA,NA,NA,NA
"JAMMU & KASHMIR","Leh",NA,NA,NA,NA,NA
"JAMMU & KASHMIR","Poonch",NA,NA,NA,NA,NA
"JAMMU & KASHMIR","Pulwama",0,0,0,0,0
"JAMMU & KASHMIR","Rajouri",0,0,0,0,0
"JAMMU & KASHMIR","Srinagar",0,0,0,0,0
"JAMMU & KASHMIR","Udhampur",0,0,0,0,0
"KARNATAKA","BANGALORE RURAL",640.53,390.58,476.79,15.48,1523.38
"KARNATAKA","BANGALORE URBAN",31.59,12.28,85.63,0,129.5
"KARNATAKA","BELGAUM",12688.13,3326.9,1131.54,63.35,17209.92
"KARNATAKA","BELLARY",803.39,284.85,50.75,186.71,1325.7
"KARNATAKA","BIDAR",559.2,384.69,368.57,31.3,1343.76
"KARNATAKA","BIJAPUR",3157.11,1715.11,101.91,1,4975.13
"KARNATAKA","CHIKKAMAGALORE",512.16,0,8.06,47.6,567.82
"KARNATAKA","CHITRADURGA",781.01,163.48,164.05,178.57,1287.11
"KARNATAKA","DAKSHINA KANNADA",272.63,323.97,277.19,89.02,962.81
"KARNATAKA","DHARWAR",331.23,275.18,18.6,3.8,628.81
"KARNATAKA","GULBARGA",1102.61,1053.69,604.8,180,2941.1
"KARNATAKA","HASSAN",388.81,116.77,254.71,111.87,872.16
"KARNATAKA","KODAGU",6,0.34,0,0,6.34
"KARNATAKA","KOLAR",1294.8,486.97,58.2,20,1859.97
"KARNATAKA","MANDYA",1103.08,816.87,293.71,228.53,2442.19
"KARNATAKA","MYSORE",4344.39,886.71,778.16,295.21,6304.47
"KARNATAKA","RAICHUR",1324.53,465.14,61.89,203.9,2055.46
"KARNATAKA","SHIMOGA",1052.21,172.26,802.36,379.76,2406.59
"KARNATAKA","TUMKUR",695.17,146.93,412.66,1516.71,2771.47
"KARNATAKA","UTTARA KANNADA",0.6,42.91,80.02,2.84,126.37
"KERALA","ALAPUZHA",0,0,3,0,3
"KERALA","ERANAKULAM",62,93,67,39,261
"KERALA","IDUKKI",12,0,0,1,13
"KERALA","KANNUR",1,0,6,34,41
"KERALA","KASARAGODE",0,0,0,0,0
"KERALA","KOLLAM",0,0,0,0,0
"KERALA","KOTTAYAM",0,0,0,0,0
"KERALA","KOZHIKODE",1,2,2,1,6
"KERALA","MALAPPURAM",0,0,1,0,1
"KERALA","PALAKKAD",793,995,2,311,2101
"KERALA","PATHANAMTHITTA",62,6,132,24,224
"KERALA","THIRUVANANTHAPURAM",2,2,7,62,73
"KERALA","THRISSUR",6,4,14,13,37
"KERALA","WAYANAD",0,0,0,0,0
"MADHYA PRADESH","BALAGHAT",0,0,0,0,0
"MADHYA PRADESH","BASTAR",0,0,0,0,0
"MADHYA PRADESH","BETUL",0,35,0,0,35
"MADHYA PRADESH","BHIND",0,708,0,0,708
"MADHYA PRADESH","BHOPAL",32,1,0,0,33
"MADHYA PRADESH","BILASPUR",294,524,22,37,877
"MADHYA PRADESH","CHHATARPUR",0,4,0,41,45
"MADHYA PRADESH","CHHINDWARA",0,0,0,0,0
"MADHYA PRADESH","DAMOH",0,51,0,3,54
"MADHYA PRADESH","DATIA",34,161,0,0,195
"MADHYA PRADESH","DEWAS",28,818,0,0,846
"MADHYA PRADESH","DHAR",333,454,10,1,798
"MADHYA PRADESH","DURG",1277,38,1,372,1688
"MADHYA PRADESH","GUNA",0,5527,0,0,5527
"MADHYA PRADESH","GWALIOR",119,602,0,0,721
"MADHYA PRADESH","HOSHANGABAD",2,399,0,0,401
"MADHYA PRADESH","INDORE",1,52,0,0,53
"MADHYA PRADESH","JABALPUR",1062,1062,0,0,2124
"MADHYA PRADESH","JHABUA",9,242,0,0,251
"MADHYA PRADESH","KHANDWA",391,1938,0,0,2329
"MADHYA PRADESH","KHARGONE",94,106,2,0,202
"MADHYA PRADESH","MANDLA",35,35,0,0,70
"MADHYA PRADESH","MANDSAUR",32,241,0,42,315
"MADHYA PRADESH","MORENA",0,0,0,0,0
"MADHYA PRADESH","NARSIMHAPUR",4152,4206,4,0,8362
"MADHYA PRADESH","PANNA",1,174,0,1,176
"MADHYA PRADESH","RAIGARH",0,0,0,0,0
"MADHYA PRADESH","RAIPUR",3478,701,6,0,4185
"MADHYA PRADESH","RAISEN",0,2,0,0,2
"MADHYA PRADESH","RAJGARH",0,0,0,3,3
"MADHYA PRADESH","RAJNANDGAON",135,302,0,0,437
"MADHYA PRADESH","RATLAM",124,232,0,1,357
"MADHYA PRADESH","REWA",1,366,0,61,428
"MADHYA PRADESH","SAGAR",21,389,0,0,410
"MADHYA PRADESH","SATNA",0,125,0,0,125
"MADHYA PRADESH","SEHORE",1,74,0,7,82
"MADHYA PRADESH","SEONI",0,0,0,0,0
"MADHYA PRADESH","SHAHDOL",0,24,0,0,24
"MADHYA PRADESH","SHAJAPUR",20,218,1,3,242
"MADHYA PRADESH","SHIVPURI",1155,238,0,0,1393
"MADHYA PRADESH","SIDHI",0,23,0,0,23
"MADHYA PRADESH","SURGUJA",0,1079,0,0,1079
"MADHYA PRADESH","TIKAMGARH",0,0,0,0,0
"MADHYA PRADESH","UJJAIN",0,375,0,1,376
"MADHYA PRADESH","VIDISHA",2,70,5,4,81
"MAHARASHTRA","",NA,NA,NA,NA,NA
"MANIPUR","BISHNUPUR",NA,NA,NA,NA,NA
"MANIPUR","CHANDEL",NA,NA,NA,NA,NA
"MANIPUR","CHURACHANDPUR",NA,NA,NA,NA,NA
"MANIPUR","IMPHAL",NA,NA,NA,NA,NA
"MANIPUR","SENAPATI",NA,NA,NA,NA,NA
"MANIPUR","TAMENGLONG",NA,NA,NA,NA,NA
"MANIPUR","THOUBAL",NA,NA,NA,NA,NA
"MANIPUR","UKHRUL",NA,NA,NA,NA,NA
"MEGHALAYA","EAST GARO HILLS",NA,NA,NA,NA,NA
"MEGHALAYA","EAST KHASI HILLS",NA,NA,NA,NA,NA
"MEGHALAYA","JAINTIA HILLS",NA,NA,NA,NA,NA
"MEGHALAYA","RI BHOI DISTRICT",NA,NA,NA,NA,NA
"MEGHALAYA","SOUTH GARO HILLS",0,0,0,0,0
"MEGHALAYA","WEST GARO HILLS",NA,NA,NA,NA,NA
"MEGHALAYA","WEST KHASI HILLS",NA,NA,NA,NA,NA
"MIZORAM","AIZAWL",0,0,0,0,0
"MIZORAM","CHHIMTUIPUI",0,0,0,0,0
"MIZORAM","LUNGLEI",0,0,0,0,0
"NAGALAND","KOHIMA",0,0,0,0,0
"NAGALAND","MOKOKCHUNG",0,0,0,0,0
"NAGALAND","MON",NA,NA,NA,NA,NA
"NAGALAND","PHEK",NA,NA,NA,NA,NA
"NAGALAND","TUENSANG",NA,NA,NA,NA,NA
"NAGALAND","WOKHA",NA,NA,NA,NA,NA
"NAGALAND","ZUNHEBOTO",NA,NA,NA,NA,NA
"ORISSA","ANGUL",7,2,0,0,9
"ORISSA","BALASORE",0,0,0,0,0
"ORISSA","BARAGARH",197,106,10,3,316
"ORISSA","BHADRAK",5,1,0,0,6
"ORISSA","BOLANGIR",4,0,1,0,5
"ORISSA","BOUDH",40,4,6,0,50
"ORISSA","CUTTACK",47,24,0,0,71
"ORISSA","DEOGARH",24,29,2,0,55
"ORISSA","DHENKANAL",2,2,0,1,5
"ORISSA","GAJAPATI",1,0,0,0,1
"ORISSA","GANJAM",1571,227,45,1,1844
"ORISSA","JAGATSINGHPUR",23,5,0,0,28
"ORISSA","JAJPUR",29,10,0,0,39
"ORISSA","JHARSUGUDA",0,0,0,0,0
"ORISSA","KALAHANDI",41,17,403,0,461
"ORISSA","KENDRAPARA",13,2,0,0,15
"ORISSA","KEONJHAR",4,3,0,0,7
"ORISSA","KHURDA",57,31,429,56,573
"ORISSA","KORAPUT",10,10,18,0,38
"ORISSA","MALKANGIRI",0,0,7,0,7
"ORISSA","MAYURBHANJ",3,11,0,0,14
"ORISSA","NAYAGARH",39,17,1141,4,1201
"ORISSA","NOWRANGPUR",2,3,75,0,80
"ORISSA","NUAPADA",0,0,168,0,168
"ORISSA","PHULBANI",0,0,0,0,0
"ORISSA","PURI",0,7,35,0,42
"ORISSA","RAYAGADA",0,0,8,0,8
"ORISSA","SAMBALPUR",17,4,0,0,21
"ORISSA","SONEPUR",225,155,11,0,391
"ORISSA","SUNDARGARH",2,5,172,0,179
"PUNJAB","AMRITSAR",1746,1565,32,53,3396
"PUNJAB","BATHINDA",433,425,0,3,861
"PUNJAB","FARIDKOT",1298,1311,4,0,2613
"PUNJAB","FATEHGARH SAHIB",0,0,0,0,0
"PUNJAB","FEROZEPUR",159,159,0,9,327
"PUNJAB","GURDASPUR",150,147,11,0,308
"PUNJAB","HOSHIARPUR",215,208,32,0,455
"PUNJAB","JALANDHAR",59,60,7,14,140
"PUNJAB","KAPURTHALA",4,7,3,0,14
"PUNJAB","LUDHIANA",3,3,0,0,6
"PUNJAB","MANSA",1541,1593,5,0,3139
"PUNJAB","PATIALA",59,59,0,0,118
"PUNJAB","ROPAR",3,6,0,5,14
"PUNJAB","SANGRUR",1667,1722,108,9,3506
"RAJASTHAN","AJMER",23,108,0,68,199
"RAJASTHAN","ALWAR",0,613,0,0,613
"RAJASTHAN","BANSWARA",0,0,0,0,0
"RAJASTHAN","BARAN",98,245,0,18,361
"RAJASTHAN","BARMER",1,3019,0,0,3020
"RAJASTHAN","BHARATPUR",0,31,0,0,31
"RAJASTHAN","BHILWARA",7,76,4,0,87
"RAJASTHAN","BIKANER",88,151,0,0,239
"RAJASTHAN","BUNDI",0,1,0,9,10
"RAJASTHAN","CHITTORGARH",61,362,0,59,482
"RAJASTHAN","CHURU",102,391,0,12,505
"RAJASTHAN","DAUSA",26,2619,0,10,2655
"RAJASTHAN","DHOLPUR",0,46,0,0,46
"RAJASTHAN","DUNGARPUR",0,125,0,0,125
"RAJASTHAN","GANGANAGAR",NA,NA,NA,NA,NA
"RAJASTHAN","HANUMANGARH",0,0,0,0,0
"RAJASTHAN","JAIPUR",3,76,0,0,79
"RAJASTHAN","JAISALMER",0,2,0,0,2
"RAJASTHAN","JALORE",23,67,0,0,90
"RAJASTHAN","JHALAWAR",30,278,0,15,323
"RAJASTHAN","JHUNJHNU",214,148,114,9,485
"RAJASTHAN","JODHPUR",28,596,0,0,624
"RAJASTHAN","KOTA",0,370,0,0,370
"RAJASTHAN","NAGAUR",0,129,0,0,129
"RAJASTHAN","PALI",5,329,0,0,334
"RAJASTHAN","RAJSAMAND",10,358,0,1,369
"RAJASTHAN","SAWAI-MADHOPUR",5,462,0,0,467
"RAJASTHAN","SIKAR",146,297,0,91,534
"RAJASTHAN","SIROHI",0,0,0,0,0
"RAJASTHAN","TONK",12,687,4,3,706
"RAJASTHAN","UDAIPUR",8,92,0,0,100
"SIKKIM","EAST SIKKIM",NA,NA,NA,NA,NA
"SIKKIM","NORTH SIKKIM",NA,NA,NA,NA,NA
"SIKKIM","SOUTH SIKKIM",NA,NA,NA,NA,NA
"SIKKIM","WEST SIKKIM",NA,NA,NA,NA,NA
"TAMIL NADU","COIMBATORE",2677.64,1133.67,4112.5,410.56,8334.37
"TAMIL NADU","CUDDALORE",349.66,188.54,88.63,47.66,674.49
"TAMIL NADU","DHARMAPURI",600.74,262,1025.67,248.59,2137
"TAMIL NADU","DINDIGUL",2152.56,1938.72,826.97,9.81,4928.06
"TAMIL NADU","ERODE",15943.3,7387.59,2048.58,638.89,26018.36
"TAMIL NADU","KANCHIPURAM",2325.69,11328.97,3216.26,120.74,16991.66
"TAMIL NADU","KANNIYAKUMARI",0,0,156.24,77.14,233.38
"TAMIL NADU","KARUR",348.29,210.25,93.55,13.06,665.15
"TAMIL NADU","MADRAS",NA,NA,NA,NA,NA
"TAMIL NADU","MADURAI",30287.48,91574.28,24863.08,28256.47,174981.31
"TAMIL NADU","NAGAPATTINAM",7200.31,827.5,339.8,83.46,8451.07
"TAMIL NADU","NAMAKKAL",26081.36,86.14,1.46,0.11,26169.07
"TAMIL NADU","PERAMBALUR",3074.7,12660.3,1250,0.1,16985.1
"TAMIL NADU","PUDUKOTTAI",761.24,1954.88,42.1,7.92,2766.14
"TAMIL NADU","RAMNATHAPURAM",241.32,445.36,381.69,0.09,1068.46
"TAMIL NADU","SALEM",32036.58,27.44,3.39,18.63,32086.04
"TAMIL NADU","SIVAGANGA",300.1,573.14,61.99,83.21,1018.44
"TAMIL NADU","THANJAVUR",1400.72,1228.71,93.14,40.14,2762.71
"TAMIL NADU","THE NILGIRIS",1.8,0,0,0,1.8
"TAMIL NADU","THENI",552.15,68.35,202.84,0,823.34
"TAMIL NADU","THOOTHUGUDI",38.16,581.6,2114.54,4.05,2738.35
"TAMIL NADU","TIRUNELVELI",269.1,175.34,61,11.29,516.73
"TAMIL NADU","TIRUVALLUR",2475.62,1005.98,136.36,169.27,3787.23
"TAMIL NADU","TIRUVANNAMALAI",8444.18,5180.99,798.78,79.19,14503.14
"TAMIL NADU","TIRUVARUR",4.04,0,0,0,4.04
"TAMIL NADU","TRICHIRAPPALLI",6816.77,10511.01,856.4,279.14,18463.32
"TAMIL NADU","VELLORE",28.79,86.95,7.46,0.72,123.92
"TAMIL NADU","VILLUPURAM",8401.93,6979.78,998.34,296.7,16676.75
"TAMIL NADU","VIRUDHUNAGAR",68.56,72.88,8.42,9.25,159.11
"TRIPURA","DHALAI",0,0,0,0,0
"TRIPURA","NORTH",0,0,0,0,0
"TRIPURA","SOUTH",0,0,0,0,0
"TRIPURA","WEST",0,0,0,0,0
"UTTAR PRADESH","AGRA",16,15,0,0,31
"UTTAR PRADESH","ALIGARH",0,0,0,0,0
"UTTAR PRADESH","ALLAHABAD",2,8,4,0,14
"UTTAR PRADESH","ALMORA",NA,NA,NA,NA,NA
"UTTAR PRADESH","AMBEDKAR NAGAR",NA,NA,NA,NA,NA
"UTTAR PRADESH","AZAMGARH",8,9,1,0,18
"UTTAR PRADESH","BADAUN",NA,NA,NA,NA,NA
"UTTAR PRADESH","BAHRAICH",0,0,0,0,0
"UTTAR PRADESH","BALLIA",4,3,1,0,8
"UTTAR PRADESH","BANDA",54,110,1,0,165
"UTTAR PRADESH","BARABANKI",8,8,4,0,20
"UTTAR PRADESH","BAREILLY",NA,NA,NA,NA,NA
"UTTAR PRADESH","BASTI",1,5,0,0,6
"UTTAR PRADESH","BIJNOR",1,0,0,0,1
"UTTAR PRADESH","BULANDSHAHR",0,0,0,0,0
"UTTAR PRADESH","CHAMOLI(GOPESHWAR)",NA,NA,NA,NA,NA
"UTTAR PRADESH","DEHRADUN",0,0,0,0,0
"UTTAR PRADESH","DEORIA",3,6,0,0,9
"UTTAR PRADESH","ETAH",0,3,0,0,3
"UTTAR PRADESH","ETAWAH",34,30,0,0,64
"UTTAR PRADESH","FAIZABAD",NA,NA,NA,NA,NA
"UTTAR PRADESH","FARUKHABAD",0,0,0,0,0
"UTTAR PRADESH","FATEHPUR",29,28,7,3,67
"UTTAR PRADESH","FIROZABAD",182,192,63,105,542
"UTTAR PRADESH","GHAZIABAD",NA,NA,NA,NA,NA
"UTTAR PRADESH","GHAZIPUR",0,0,0,0,0
"UTTAR PRADESH","GONDA",0,1,0,0,1
"UTTAR PRADESH","GORAKHPUR",0,0,1,0,1
"UTTAR PRADESH","HAMIRPUR",13,42,10,0,65
"UTTAR PRADESH","HARDOI",16,12,2,4,34
"UTTAR PRADESH","HARDWAR",54,27,5,0,86
"UTTAR PRADESH","JALAUN",213,1375,6,51,1645
"UTTAR PRADESH","JAUNPUR",7,7,0,0,14
"UTTAR PRADESH","JHANSI",102,299,0,0,401
"UTTAR PRADESH","KANPUR DEHAT",57,87,0,0,144
"UTTAR PRADESH","KANPUR NAGAR",NA,NA,NA,NA,NA
"UTTAR PRADESH","KHIRI",NA,NA,NA,NA,NA
"UTTAR PRADESH","KUSHI NAGAR",44,42,18,0,104
"UTTAR PRADESH","LALITPUR",0,0,0,0,0
"UTTAR PRADESH","LUCKNOW",233,202,109,29,573
"UTTAR PRADESH","MAHOBA",43,420,16,1,480
"UTTAR PRADESH","MAHRAJGANJ",101,123,12,0,236
"UTTAR PRADESH","MAINPURI",119,119,0,57,295
"UTTAR PRADESH","MATHURA",180,190,0,46,416
"UTTAR PRADESH","MAU",NA,NA,NA,NA,NA
"UTTAR PRADESH","MEERUT",0,0,0,0,0
"UTTAR PRADESH","MIRZAPUR",1558,1752,75,41,3426
"UTTAR PRADESH","MORADABAD",285,447,29,9,770
"UTTAR PRADESH","MUZAFFER NAGAR",NA,NA,NA,NA,NA
"UTTAR PRADESH","NAINITAL",0,0,0,0,0
"UTTAR PRADESH","PAURI GARHWAL",NA,NA,NA,NA,NA
"UTTAR PRADESH","PILIBHIT",NA,NA,NA,NA,NA
"UTTAR PRADESH","PITHORAGARH",NA,NA,NA,NA,NA
"UTTAR PRADESH","PRATAPGARH",164,40,0,0,204
"UTTAR PRADESH","RAEBARELY",2728,86,5,2,2821
"UTTAR PRADESH","RAMPUR",NA,NA,NA,NA,NA
"UTTAR PRADESH","SAHARANPUR",0,0,0,0,0
"UTTAR PRADESH","SANT RAVIDAS NAGAR",32,42,32,14,120
"UTTAR PRADESH","SHAHJAHANPUR",248,224,30,0,502
"UTTAR PRADESH","SIDDHARTH NAGAR",9,10,0,2,21
"UTTAR PRADESH","SITAPUR",NA,NA,NA,NA,NA
"UTTAR PRADESH","SONBHADRA",869,683,550,6,2108
"UTTAR PRADESH","SULTANPUR",6,1,0,0,7
"UTTAR PRADESH","TEHRI GARHWAL",NA,NA,NA,NA,NA
"UTTAR PRADESH","UDHAMSINGH NAGAR",22,22,0,0,44
"UTTAR PRADESH","UNNAO",3387,384,5,2,3778
"UTTAR PRADESH","UTTARKASHI",NA,NA,NA,NA,NA
"UTTAR PRADESH","VARANASI",1463,1465,2,81,3011
"WEST BENGAL","BANKURA",239,191,1,9,440
"WEST BENGAL","BIRBHUM",2,16,1,0,19
"WEST BENGAL","BURDWAN",11,6,0,0,17
