-----
{
 "description": "The table refers to block wise distribution of dugwells according to construction over the years. It has been sourced from 2nd census of Minor Irrigation Scheme (1993-94) from Ministry of Water Resources.", 
 "file_name": "blckdgwltab1.1_1.csv", 
 "title": "Download CSV for Block wise Construction of Dugwells over the years for 2nd census Minor Irrigation Schemes (1993-94)", 
 "url": "http://data.gov.in/sites/default/files/blckdgwltab1.1_1.csv"
}
-----
-----
{
 "description": "The table refers to block wise distribution of dugwells according to water lifting device. It has been sourced from 2nd census of Minor Irrigation Scheme (1993-94) from Ministry of Water Resources.", 
 "file_name": "blckdgwltab1.9.csv", 
 "title": "Download CSV for Block wise Dugwells according to water lifting device for 2nd census of minor irrigation schemes", 
 "url": "http://data.gov.in/sites/default/files/blckdgwltab1.9.csv"
}
-----
-----
{
 "description": "The table refers to district wise distribution of dugwells according to constraints. It has been sourced from 2nd census of Minor Irrigation Scheme (1993-94) from Ministry of Water Resources.", 
 "file_name": "Statedgwltab1.16_1.csv", 
 "title": "Download CSV for District wise Dugwells according to the constraints for 2nd census of minor irrigation schemes (1993-94)", 
 "url": "http://data.gov.in/sites/default/files/Statedgwltab1.16_1.csv"
}
-----
State,District,No. of dugwells in use,No constraints in utilisation,Constraints in utilisation - Inadequate power supply,Constraints in utilisation - Mechanical break down,Constraints in utilisation - Less water discharge,Constraints in utilisation - Other reason,Total - Constraints in utilisation,Grand Total
BIHAR,BUXAR,1243,0,70,343,61,769,1243,1243
BIHAR,CHAMPARAN EAST,16,0,0,0,10,6,16,16
BIHAR,CHAMPARAN WEST,12,0,5,0,3,4,12,12
BIHAR,CHATRA,12047,7,105,64,4971,6900,12040,12047
BIHAR,DARBHANGA,15,1,0,11,0,3,14,15
BIHAR,DEOGHAR,8130,11,313,215,3819,3772,8119,8130
BIHAR,DHANBAD,2387,3,46,41,1072,1225,2384,2387
BIHAR,DUMKA,27311,874,1744,278,11793,12622,26437,27311
BIHAR,GARHWA,12854,87,276,243,7545,4703,12767,12854
BIHAR,GAYA,17365,21,3333,623,3595,9793,17344,17365
BIHAR,GIRIDIH,21268,2,251,268,7088,13659,21266,21268
BIHAR,GODDA,6537,0,69,66,3151,3251,6537,6537
BIHAR,GOPALGANJ,1104,0,25,45,296,738,1104,1104
BIHAR,GUMLA,29973,1,1319,728,14226,13699,29972,29973
BIHAR,HAZARIBAG,30937,1,370,93,14852,15621,30936,30937
BIHAR,JAMUI,5594,0,537,195,2317,2545,5594,5594
BIHAR,JEHANABAD,3091,12,333,490,1001,1255,3079,3091
BIHAR,KATIHAR,2,0,0,0,0,2,2,2
BIHAR,KHAGARIA,6,0,0,1,0,5,6,6
BIHAR,KISHANGANJ,1,0,1,0,0,0,1,1
BIHAR,KODARMA,9339,18,1622,393,6435,871,9321,9339
BIHAR,LAKHISARAI,523,2,1,1,114,405,521,523
BIHAR,LOHARDAGA,15229,18,296,45,6387,8483,15211,15229
BIHAR,MADHEPURA,0,0,0,0,0,0,0,0
BIHAR,MADHUBANI,44,0,2,10,11,21,44,44
BIHAR,MUNGER,2040,404,40,20,977,599,1636,2040
BIHAR,MUZAFFARPUR,876,0,8,14,5,849,876,876
BIHAR,NALANDA,20924,7,3003,4127,5279,8508,20917,20924
BIHAR,NAWADA,4679,3,242,207,2212,2015,4676,4679
BIHAR,PAKUR,745,1,23,20,440,261,744,745
BIHAR,PALAMU,21215,0,3207,347,10745,6916,21215,21215
BIHAR,PATNA,5976,4,413,445,385,4729,5972,5976
BIHAR,PURNIA,3,0,0,0,0,3,3,3
BIHAR,RANCHI,37924,1329,981,320,25570,9724,36595,37924
BIHAR,ROHTAS,6562,32,655,309,1862,3704,6530,6562
BIHAR,SAHARSA,NA,NA,NA,NA,NA,NA,NA,NA
BIHAR,SAHEBGANJ,1749,3,23,3,744,976,1746,1749
BIHAR,SAMASTIPUR,17,0,0,0,0,17,17,17
BIHAR,SARAN,938,5,38,14,188,693,933,938
BIHAR,SHEIKHPURA,474,1,0,13,263,197,473,474
BIHAR,SHEOHAR,NA,NA,NA,NA,NA,NA,NA,NA
BIHAR,SINGHBHUM EAST,1680,0,134,67,917,562,1680,1680
BIHAR,SINGHBHUM WEST,3527,2,43,40,2569,873,3525,3527
BIHAR,SITAMARHI,8,0,0,0,5,3,8,8
BIHAR,SIWAN,3491,1,65,49,791,2585,3490,3491
BIHAR,SUPAUL,NA,NA,NA,NA,NA,NA,NA,NA
BIHAR,VAISHALI,1420,0,271,329,96,724,1420,1420
GOA,NORTH GOA,2807,0,91,12,298,2406,2807,2807
GOA,SOUTH GOA,1081,0,47,8,44,982,1081,1081
GUJARAT,,NA,NA,NA,NA,NA,NA,NA,NA
HARYANA,AMBALA,1731,0,622,32,32,1045,1731,1731
HARYANA,BHIWANI,4425,0,724,36,266,3399,4425,4425
HARYANA,FARIDABAD,NA,NA,NA,NA,NA,NA,NA,NA
HARYANA,GURGAON,4082,0,1451,125,213,2293,4082,4082
HARYANA,HISAR,155,0,8,44,0,103,155,155
HARYANA,JIND,NA,NA,NA,NA,NA,NA,NA,NA
HARYANA,KAITHAL,4782,0,1198,20,0,3564,4782,4782
HARYANA,KARNAL,2108,0,295,1,0,1812,2108,2108
HARYANA,KURUKSHETRA,NA,NA,NA,NA,NA,NA,NA,NA
HARYANA,MEHANDERGARH,2339,0,411,1,109,1818,2339,2339
HARYANA,PANCHKULA,46,0,1,0,0,45,46,46
HARYANA,PANIPAT,443,0,71,13,18,341,443,443
HARYANA,RIWARI,1381,0,193,0,0,1188,1381,1381
HARYANA,ROHTAK,1468,0,151,59,127,1131,1468,1468
HARYANA,SIRSA,1918,0,227,161,91,1439,1918,1918
HARYANA,SONIPAT,124,0,0,0,0,124,124,124
HARYANA,YAMUNA NAGAR,1250,0,361,15,0,874,1250,1250
HIMACHAL PRADESH,Bilaspur,45,45,0,0,0,0,0,45
HIMACHAL PRADESH,Chamba,NA,NA,NA,NA,NA,NA,NA,NA
HIMACHAL PRADESH,Hamirpur,122,97,0,0,0,25,25,122
HIMACHAL PRADESH,Kangra,293,253,6,10,10,14,40,293
HIMACHAL PRADESH,Kinnaur,NA,NA,NA,NA,NA,NA,NA,NA
HIMACHAL PRADESH,Kullu,12,2,0,0,0,10,10,12
HIMACHAL PRADESH,Lahul & Spiti,NA,NA,NA,NA,NA,NA,NA,NA
HIMACHAL PRADESH,Mandi,20,8,0,0,0,12,12,20
HIMACHAL PRADESH,Shimla,NA,NA,NA,NA,NA,NA,NA,NA
HIMACHAL PRADESH,Sirmaur,166,135,6,0,1,24,31,166
HIMACHAL PRADESH,Solan,590,314,2,0,1,273,276,590
HIMACHAL PRADESH,Una,455,234,27,1,59,134,221,455
JAMMU & KASHMIR,Anantnagh,NA,NA,NA,NA,NA,NA,NA,NA
JAMMU & KASHMIR,Baramulla,183,0,0,0,0,0,0,0
JAMMU & KASHMIR,Budgam,97,0,0,0,0,0,0,0
JAMMU & KASHMIR,Doda,NA,NA,NA,NA,NA,NA,NA,NA
JAMMU & KASHMIR,Jammu,101,0,0,0,0,0,0,0
JAMMU & KASHMIR,Kargil,NA,NA,NA,NA,NA,NA,NA,NA
JAMMU & KASHMIR,Kathua,275,0,0,0,0,0,0,0
JAMMU & KASHMIR,Kupwara,NA,NA,NA,NA,NA,NA,NA,NA
JAMMU & KASHMIR,Leh,NA,NA,NA,NA,NA,NA,NA,NA
JAMMU & KASHMIR,Poonch,NA,NA,NA,NA,NA,NA,NA,NA
JAMMU & KASHMIR,Pulwama,68,0,0,0,0,0,0,0
JAMMU & KASHMIR,Rajouri,5,0,0,0,0,0,0,0
JAMMU & KASHMIR,Srinagar,665,0,0,0,0,0,0,0
JAMMU & KASHMIR,Udhampur,9,0,0,0,0,0,0,0
KARNATAKA,BANGALORE RURAL,8137,2878,2742,229,2044,244,5259,8137
KARNATAKA,BANGALORE URBAN,1333,706,445,76,75,31,627,1333
KARNATAKA,BELGAUM,50181,25943,10328,517,12438,955,24238,50181
KARNATAKA,BELLARY,3357,2224,590,22,392,129,1133,3357
KARNATAKA,BIDAR,14602,7597,2991,366,3155,493,7005,14602
KARNATAKA,BIJAPUR,35444,23366,3867,645,5869,1697,12078,35444
KARNATAKA,CHIKKAMAGALORE,2376,1420,711,79,117,49,956,2376
KARNATAKA,CHITRADURGA,7977,3581,1875,128,2155,238,4396,7977
KARNATAKA,DAKSHINA KANNADA,29841,16577,5904,298,4741,2321,13264,29841
KARNATAKA,DHARWAR,4920,1902,1180,405,1103,330,3018,4920
KARNATAKA,GULBARGA,18230,9639,1480,363,6218,530,8591,18230
KARNATAKA,HASSAN,2504,1317,728,64,273,122,1187,2504
KARNATAKA,KODAGU,175,10,78,1,79,7,165,175
KARNATAKA,KOLAR,17670,5099,6719,304,3780,1768,12571,17670
KARNATAKA,MANDYA,8858,2872,4326,392,852,416,5986,8858
KARNATAKA,MYSORE,14959,5250,6944,160,2355,250,9709,14959
KARNATAKA,RAICHUR,15374,7872,4176,141,2238,947,7502,15374
KARNATAKA,SHIMOGA,5448,2768,1687,110,614,269,2680,5448
KARNATAKA,TUMKUR,15809,6092,4553,122,4106,936,9717,15809
KARNATAKA,UTTARA KANNADA,14050,11509,555,38,1087,861,2541,14050
KERALA,ALAPUZHA,3014,0,15,0,232,2767,3014,3014
KERALA,ERANAKULAM,14662,0,585,120,2748,11209,14662,14662
KERALA,IDUKKI,4580,0,759,128,356,3337,4580,4580
KERALA,KANNUR,11648,0,177,163,2013,9295,11648,11648
KERALA,KASARAGODE,4550,0,390,144,1702,2314,4550,4550
KERALA,KOLLAM,2370,0,29,38,369,1934,2370,2370
KERALA,KOTTAYAM,8603,0,35,3,1066,7499,8603,8603
KERALA,KOZHIKODE,9509,0,248,14,3068,6179,9509,9509
KERALA,MALAPPURAM,9545,0,610,102,1500,7333,9545,9545
KERALA,PALAKKAD,5797,0,139,6,1586,4066,5797,5797
KERALA,PATHANAMTHITTA,4808,0,204,7,426,4171,4808,4808
KERALA,THIRUVANANTHAPURAM,8160,0,198,28,1114,6820,8160,8160
KERALA,THRISSUR,38744,0,440,89,2829,35386,38744,38744
KERALA,WAYANAD,546,0,7,13,244,282,546,546
MADHYA PRADESH,BALAGHAT,8219,5480,7,2,145,2585,2739,8219
MADHYA PRADESH,BASTAR,6020,699,398,4,683,4236,5321,6020
MADHYA PRADESH,BETUL,41395,0,165,33,35883,5314,41395,41395
MADHYA PRADESH,BHIND,10502,0,0,0,0,10502,10502,10502
MADHYA PRADESH,BHOPAL,6986,0,8,0,149,6829,6986,6986
MADHYA PRADESH,BILASPUR,9429,1820,117,86,1015,6391,7609,9429
MADHYA PRADESH,CHHATARPUR,40765,2,1936,944,19966,17917,40763,40765
MADHYA PRADESH,CHHINDWARA,30588,19228,24,11,4634,6691,11360,30588
MADHYA PRADESH,DAMOH,9588,0,408,36,1572,7572,9588,9588
MADHYA PRADESH,DATIA,13009,0,0,0,19,12990,13009,13009
MADHYA PRADESH,DEWAS,28555,21445,260,12,2477,4361,7110,28555
MADHYA PRADESH,DHAR,38441,4935,912,301,25368,6925,33506,38441
MADHYA PRADESH,DURG,8063,4871,45,11,1203,1933,3192,8063
MADHYA PRADESH,GUNA,17332,0,45,0,127,17160,17332,17332
MADHYA PRADESH,GWALIOR,14313,0,1,0,309,14003,14313,14313
MADHYA PRADESH,HOSHANGABAD,22238,0,76,12,668,21482,22238,22238
MADHYA PRADESH,INDORE,13908,8299,19,13,5076,501,5609,13908
MADHYA PRADESH,JABALPUR,10751,3991,258,90,367,6045,6760,10751
MADHYA PRADESH,JHABUA,13769,6037,112,39,3454,4127,7732,13769
MADHYA PRADESH,KHANDWA,45061,23519,206,144,10080,11112,21542,45061
MADHYA PRADESH,KHARGONE,58305,16831,231,48,36463,4732,41474,58305
MADHYA PRADESH,MANDLA,2021,1485,2,2,97,435,536,2021
MADHYA PRADESH,MANDSAUR,120971,56040,1391,193,35644,27703,64931,120971
MADHYA PRADESH,MORENA,17902,0,0,0,0,17902,17902,17902
MADHYA PRADESH,NARSIMHAPUR,17925,13797,75,64,132,3857,4128,17925
MADHYA PRADESH,PANNA,4962,0,192,12,2280,2478,4962,4962
MADHYA PRADESH,RAIGARH,10891,2848,99,6,2971,4967,8043,10891
MADHYA PRADESH,RAIPUR,28918,9813,490,15,2218,16382,19105,28918
MADHYA PRADESH,RAISEN,7418,0,15,4,140,7259,7418,7418
MADHYA PRADESH,RAJGARH,51689,0,98,40,41155,10396,51689,51689
MADHYA PRADESH,RAJNANDGAON,5136,2554,70,5,83,2424,2582,5136
MADHYA PRADESH,RATLAM,43276,26783,134,48,11412,4899,16493,43276
MADHYA PRADESH,REWA,10553,1872,509,117,1852,6203,8681,10553
MADHYA PRADESH,SAGAR,27728,0,94,41,6693,20900,27728,27728
MADHYA PRADESH,SATNA,13351,828,103,8,315,12097,12523,13351
MADHYA PRADESH,SEHORE,26235,0,60,92,10034,16049,26235,26235
MADHYA PRADESH,SEONI,10810,7395,28,11,1181,2195,3415,10810
MADHYA PRADESH,SHAHDOL,5533,269,57,6,308,4893,5264,5533
MADHYA PRADESH,SHAJAPUR,41686,32777,76,102,5078,3653,8909,41686
MADHYA PRADESH,SHIVPURI,44906,0,895,333,5820,37858,44906,44906
MADHYA PRADESH,SIDHI,8124,1830,362,256,4264,1412,6294,8124
MADHYA PRADESH,SURGUJA,38700,10064,289,17,9919,18411,28636,38700
MADHYA PRADESH,TIKAMGARH,43596,31,2230,1014,13379,26942,43565,43596
MADHYA PRADESH,UJJAIN,30769,22221,623,36,3264,4625,8548,30769
MADHYA PRADESH,VIDISHA,9943,0,22,10,234,9677,9943,9943
MAHARASHTRA,,NA,NA,NA,NA,NA,NA,NA,NA
MANIPUR,BISHNUPUR,NA,NA,NA,NA,NA,NA,NA,NA
MANIPUR,CHANDEL,NA,NA,NA,NA,NA,NA,NA,NA
MANIPUR,CHURACHANDPUR,NA,NA,NA,NA,NA,NA,NA,NA
MANIPUR,IMPHAL,NA,NA,NA,NA,NA,NA,NA,NA
MANIPUR,SENAPATI,NA,NA,NA,NA,NA,NA,NA,NA
MANIPUR,TAMENGLONG,NA,NA,NA,NA,NA,NA,NA,NA
MANIPUR,THOUBAL,NA,NA,NA,NA,NA,NA,NA,NA
MANIPUR,UKHRUL,NA,NA,NA,NA,NA,NA,NA,NA
MEGHALAYA,EAST GARO HILLS,NA,NA,NA,NA,NA,NA,NA,NA
MEGHALAYA,EAST KHASI HILLS,NA,NA,NA,NA,NA,NA,NA,NA
MEGHALAYA,JAINTIA HILLS,NA,NA,NA,NA,NA,NA,NA,NA
MEGHALAYA,RI BHOI DISTRICT,NA,NA,NA,NA,NA,NA,NA,NA
MEGHALAYA,SOUTH GARO HILLS,2,0,0,0,2,0,2,2
MEGHALAYA,WEST GARO HILLS,NA,NA,NA,NA,NA,NA,NA,NA
MEGHALAYA,WEST KHASI HILLS,NA,NA,NA,NA,NA,NA,NA,NA
MIZORAM,AIZAWL,251,251,0,0,0,0,0,251
MIZORAM,CHHIMTUIPUI,23,23,0,0,0,0,0,23
MIZORAM,LUNGLEI,129,129,0,0,0,0,0,129
NAGALAND,KOHIMA,228,0,18,0,1,209,228,228
NAGALAND,MOKOKCHUNG,4,0,2,0,0,2,4,4
NAGALAND,MON,NA,NA,NA,NA,NA,NA,NA,NA
NAGALAND,PHEK,NA,NA,NA,NA,NA,NA,NA,NA
NAGALAND,TUENSANG,NA,NA,NA,NA,NA,NA,NA,NA
NAGALAND,WOKHA,NA,NA,NA,NA,NA,NA,NA,NA
NAGALAND,ZUNHEBOTO,NA,NA,NA,NA,NA,NA,NA,NA
ORISSA,ANGUL,17521,0,75,60,2520,14866,17521,17521
ORISSA,BALASORE,1426,0,10,5,298,1113,1426,1426
ORISSA,BARAGARH,13789,0,164,41,2947,10637,13789,13789
ORISSA,BHADRAK,263,0,1,4,38,220,263,263
ORISSA,BOLANGIR,48377,0,170,46,2904,45257,48377,48377
ORISSA,BOUDH,9529,0,1095,9,773,7652,9529,9529
ORISSA,CUTTACK,9879,0,4,16,1102,8757,9879,9879
ORISSA,DEOGARH,5746,0,2,3,307,5434,5746,5746
ORISSA,DHENKANAL,7474,0,134,41,1257,6042,7474,7474
ORISSA,GAJAPATI,1641,0,171,22,562,886,1641,1641
ORISSA,GANJAM,24848,0,871,201,5240,18536,24848,24848
ORISSA,JAGATSINGHPUR,562,0,1,3,55,503,562,562
ORISSA,JAJPUR,2125,0,10,3,640,1472,2125,2125
ORISSA,JHARSUGUDA,5549,0,47,35,998,4469,5549,5549
ORISSA,KALAHANDI,11265,4615,34,40,593,5983,6650,11265
ORISSA,KENDRAPARA,215,0,1,3,31,180,215,215
ORISSA,KEONJHAR,14626,3878,41,28,3852,6827,10748,14626
ORISSA,KHURDA,9468,4726,4,9,1539,3190,4742,9468
ORISSA,KORAPUT,2567,1272,4,11,540,740,1295,2567
ORISSA,MALKANGIRI,508,155,1,9,94,249,353,508
ORISSA,MAYURBHANJ,6218,0,104,19,1005,5090,6218,6218
ORISSA,NAYAGARH,11392,4261,19,14,2120,4978,7131,11392
ORISSA,NOWRANGPUR,8061,4721,6,26,410,2898,3340,8061
ORISSA,NUAPADA,11090,5344,31,12,1147,4556,5746,11090
ORISSA,PHULBANI,4204,0,372,8,113,3711,4204,4204
ORISSA,PURI,767,595,1,7,35,129,172,767
ORISSA,RAYAGADA,678,513,3,1,44,117,165,678
ORISSA,SAMBALPUR,11746,0,82,13,2101,9550,11746,11746
ORISSA,SONEPUR,10211,0,25,97,916,9173,10211,10211
ORISSA,SUNDARGARH,14658,13569,5,72,488,524,1089,14658
PUNJAB,AMRITSAR,1426,0,1240,1,2,183,1426,1426
PUNJAB,BATHINDA,362,0,293,0,0,69,362,362
PUNJAB,FARIDKOT,505,0,280,0,0,225,505,505
PUNJAB,FATEHGARH SAHIB,124,0,40,0,0,84,124,124
PUNJAB,FEROZEPUR,344,0,337,7,0,0,344,344
PUNJAB,GURDASPUR,652,0,584,0,0,68,652,652
PUNJAB,HOSHIARPUR,679,0,372,0,24,283,679,679
PUNJAB,JALANDHAR,1451,0,915,1,1,534,1451,1451
PUNJAB,KAPURTHALA,753,0,332,56,1,364,753,753
PUNJAB,LUDHIANA,700,0,421,1,1,277,700,700
PUNJAB,MANSA,551,0,51,7,1,492,551,551
PUNJAB,PATIALA,148,0,147,1,0,0,148,148
PUNJAB,ROPAR,2310,0,1875,2,208,225,2310,2310
PUNJAB,SANGRUR,1506,0,836,0,0,670,1506,1506
RAJASTHAN,AJMER,35567,9489,1390,96,20768,3824,26078,35567
RAJASTHAN,ALWAR,56404,55536,0,1,829,38,868,56404
RAJASTHAN,BANSWARA,6078,5706,0,0,196,176,372,6078
RAJASTHAN,BARAN,18019,12807,2828,331,1410,643,5212,18019
RAJASTHAN,BARMER,12295,8275,1256,875,829,1060,4020,12295
RAJASTHAN,BHARATPUR,4163,4109,41,0,2,11,54,4163
RAJASTHAN,BHILWARA,72165,68246,1377,86,2047,409,3919,72165
RAJASTHAN,BIKANER,219,106,86,4,1,22,113,219
RAJASTHAN,BUNDI,17695,17440,148,14,74,19,255,17695
RAJASTHAN,CHITTORGARH,69702,62787,2981,243,2932,759,6915,69702
RAJASTHAN,CHURU,1715,1238,378,2,62,35,477,1715
RAJASTHAN,DAUSA,29885,26111,588,185,2585,416,3774,29885
RAJASTHAN,DHOLPUR,10964,9180,334,175,999,276,1784,10964
RAJASTHAN,DUNGARPUR,13316,6979,144,228,5316,649,6337,13316
RAJASTHAN,GANGANAGAR,NA,NA,NA,NA,NA,NA,NA,NA
RAJASTHAN,HANUMANGARH,1087,1059,0,4,18,6,28,1087
RAJASTHAN,JAIPUR,86012,83867,380,34,1517,214,2145,86012
RAJASTHAN,JAISALMER,202,61,86,2,0,53,141,202
RAJASTHAN,JALORE,35438,31405,1445,174,1699,715,4033,35438
RAJASTHAN,JHALAWAR,50418,44590,2108,76,2445,1199,5828,50418
RAJASTHAN,JHUNJHNU,22744,10544,5331,756,3494,2619,12200,22744
RAJASTHAN,JODHPUR,8675,5488,1591,141,1263,192,3187,8675
RAJASTHAN,KOTA,12469,12433,2,1,33,0,36,12469
RAJASTHAN,NAGAUR,21324,19218,1005,73,814,214,2106,21324
RAJASTHAN,PALI,30411,29266,50,25,895,175,1145,30411
RAJASTHAN,RAJSAMAND,37600,35393,128,18,1909,152,2207,37600
RAJASTHAN,SAWAI-MADHOPUR,36879,35705,900,5,119,150,1174,36879
RAJASTHAN,SIKAR,34171,15071,10230,892,4874,3104,19100,34171
RAJASTHAN,SIROHI,14295,9082,837,231,3493,652,5213,14295
RAJASTHAN,TONK,34460,28099,2170,212,3138,841,6361,34460
RAJASTHAN,UDAIPUR,45660,43317,200,28,1493,622,2343,45660
SIKKIM,EAST SIKKIM,NA,NA,NA,NA,NA,NA,NA,NA
SIKKIM,NORTH SIKKIM,NA,NA,NA,NA,NA,NA,NA,NA
SIKKIM,SOUTH SIKKIM,NA,NA,NA,NA,NA,NA,NA,NA
SIKKIM,WEST SIKKIM,NA,NA,NA,NA,NA,NA,NA,NA
