-----
{
 "description": "This dataset represents the requirement and availability of major fertilizer products like DAP, MAP, MOP, TSP, NPK, and UREA State-wise and month-wise in the year 2012-13(April-2012 to March-2013).", 
 "file_name": "Statewise_and_Monthwise_Requirement_and_Availability.xls", 
 "title": "Download XLS for Requirement And Availability Of Major Fertilizers In The Year 2012-13", 
 "url": "http://data.gov.in/sites/default/files/Statewise_and_Monthwise_Requirement_and_Availability.xls"
}
-----
"Year","Month","Product","State","Requirement(in 000'MTS)","Availability(in 000'MTS)"
"2012-13","May","UREA","Bihar",75000.0,14059.548
"2012-13","May","DAP","Chandigarh",0.0,0.0
"2012-13","May","MAP","Chandigarh",0.0,0.0
"2012-13","May","MOP","Chandigarh",0.0,0.0
"2012-13","May","NPK","Chandigarh",0.0,0.0
"2012-13","May","TSP","Chandigarh",0.0,0.0
"2012-13","May","UREA","Chandigarh",0.0,0.0
"2012-13","May","DAP","Chattishgarh",12000.0,20357.5
"2012-13","May","MAP","Chattishgarh",0.0,0.0
"2012-13","May","MOP","Chattishgarh",5000.0,3769.7
"2012-13","May","NPK","Chattishgarh",6000.0,26680.1
"2012-13","May","TSP","Chattishgarh",0.0,4015.55
"2012-13","May","UREA","Chattishgarh",30000.0,9631.8
"2012-13","May","DAP","Dadra & Nagar Haveli",150.0,0.0
"2012-13","May","MAP","Dadra & Nagar Haveli",0.0,0.0
"2012-13","May","MOP","Dadra & Nagar Haveli",0.0,0.0
"2012-13","May","NPK","Dadra & Nagar Haveli",0.0,0.0
"2012-13","May","TSP","Dadra & Nagar Haveli",0.0,0.0
"2012-13","May","UREA","Dadra & Nagar Haveli",150.0,3.4
"2012-13","May","DAP","Daman & Diu",20.0,0.0
"2012-13","May","MAP","Daman & Diu",0.0,0.0
"2012-13","May","MOP","Daman & Diu",5.0,0.0
"2012-13","May","NPK","Daman & Diu",0.0,0.0
"2012-13","May","TSP","Daman & Diu",0.0,0.0
"2012-13","May","UREA","Daman & Diu",30.0,0.0
"2012-13","May","DAP","Delhi",200.0,0.0
"2012-13","May","MAP","Delhi",0.0,0.0
"2012-13","May","MOP","Delhi",0.0,0.0
"2012-13","May","NPK","Delhi",100.0,0.0
"2012-13","May","TSP","Delhi",0.0,0.0
"2012-13","May","UREA","Delhi",400.0,0.0
"2012-13","May","DAP","Goa",150.0,0.0
"2012-13","May","MAP","Goa",0.0,0.0
"2012-13","May","MOP","Goa",80.0,0.0
"2012-13","May","NPK","Goa",570.0,52.25
"2012-13","May","TSP","Goa",0.0,0.0
"2012-13","May","UREA","Goa",400.0,113.5
"2012-13","May","DAP","Gujarat",110000.0,27624.95
"2012-13","May","MAP","Gujarat",0.0,0.0
"2012-13","May","MOP","Gujarat",14000.0,2752.05
"2012-13","May","NPK","Gujarat",60000.0,46124.085
"2012-13","May","TSP","Gujarat",0.0,6287.55
"2012-13","May","UREA","Gujarat",170000.0,36186.79
"2012-13","May","DAP","Harayana",40000.0,10175.75
"2012-13","May","MAP","Harayana",0.0,3411.55
"2012-13","May","MOP","Harayana",5000.0,1713.1
"2012-13","May","NPK","Harayana",10000.0,7440.15
"2012-13","May","TSP","Harayana",0.0,0.0
"2012-13","May","UREA","Harayana",110000.0,43226.1
"2012-13","May","DAP","Himachal Pradesh",0.0,0.0
"2012-13","May","MAP","Himachal Pradesh",0.0,0.0
"2012-13","May","MOP","Himachal Pradesh",50.0,0.0
"2012-13","May","NPK","Himachal Pradesh",2500.0,70.7
"2012-13","May","TSP","Himachal Pradesh",0.0,0.0
"2012-13","May","UREA","Himachal Pradesh",7500.0,1160.55
"2012-13","May","DAP","Jammu & Kashmir",10000.0,4789.94
"2012-13","May","MAP","Jammu & Kashmir",0.0,0.0
"2012-13","May","MOP","Jammu & Kashmir",2000.0,1888.45
"2012-13","May","NPK","Jammu & Kashmir",0.0,0.0
"2012-13","May","TSP","Jammu & Kashmir",0.0,0.0
"2012-13","May","UREA","Jammu & Kashmir",12000.0,1014.05
"2012-13","May","DAP","Jharkhand",10000.0,1356.75
"2012-13","May","MAP","Jharkhand",0.0,0.0
"2012-13","May","MOP","Jharkhand",2500.0,0.0
"2012-13","May","NPK","Jharkhand",5600.0,4861.95
"2012-13","May","TSP","Jharkhand",0.0,0.0
"2012-13","May","UREA","Jharkhand",11000.0,5480.35
"2012-13","May","DAP","Karnataka",88000.0,29678.97
"2012-13","May","MAP","Karnataka",0.0,3944.85
"2012-13","May","MOP","Karnataka",25000.0,17823.2
"2012-13","May","NPK","Karnataka",84200.0,95896.987
"2012-13","May","TSP","Karnataka",0.0,12023.4
"2012-13","May","UREA","Karnataka",100000.0,21466.487
"2012-13","May","DAP","Kerala",4000.0,1039.6
"2012-13","May","MAP","Kerala",0.0,0.0
"2012-13","May","MOP","Kerala",11000.0,10777.95
"2012-13","May","NPK","Kerala",15000.0,25413.311
"2012-13","May","TSP","Kerala",0.0,3626.25
"2012-13","May","UREA","Kerala",12000.0,4.5
"2012-13","May","DAP","Lakshadeeep",0.0,0.0
"2012-13","May","MAP","Lakshadeeep",0.0,0.0
"2012-13","May","MOP","Lakshadeeep",0.0,0.0
"2012-13","May","NPK","Lakshadeeep",0.0,0.0
"2012-13","May","TSP","Lakshadeeep",0.0,0.0
"2012-13","May","UREA","Lakshadeeep",0.0,0.0
"2012-13","May","DAP","Madhya Pradesh",78488.0,37446.65
"2012-13","May","MAP","Madhya Pradesh",0.0,6418.15
"2012-13","May","MOP","Madhya Pradesh",17730.0,17733.6
"2012-13","May","NPK","Madhya Pradesh",26719.0,68436.1
"2012-13","May","TSP","Madhya Pradesh",0.0,8380.0
"2012-13","May","UREA","Madhya Pradesh",46875.0,49518.75
"2012-13","May","DAP","Maharastra",155000.0,45059.19
"2012-13","May","MAP","Maharastra",0.0,4041.8
"2012-13","May","MOP","Maharastra",50000.0,22928.35
"2012-13","May","NPK","Maharastra",149000.0,121736.63
"2012-13","May","TSP","Maharastra",0.0,16.2
"2012-13","May","UREA","Maharastra",255000.0,64594.925
"2012-13","May","DAP","Manipur",450.0,0.0
"2012-13","May","MAP","Manipur",0.0,0.0
"2012-13","May","MOP","Manipur",300.0,0.0
"2012-13","May","NPK","Manipur",0.0,0.0
"2012-13","May","TSP","Manipur",0.0,0.0
"2012-13","May","UREA","Manipur",6400.0,0.0
"2012-13","May","DAP","Megalaya",200.0,300.0
"2012-13","May","MAP","Megalaya",0.0,0.0
"2012-13","May","MOP","Megalaya",30.0,0.0
"2012-13","May","NPK","Megalaya",0.0,0.0
"2012-13","May","TSP","Megalaya",0.0,0.0
"2012-13","May","UREA","Megalaya",300.0,0.0
"2012-13","May","DAP","Mizoram",850.0,0.0
"2012-13","May","MAP","Mizoram",0.0,0.0
"2012-13","May","MOP","Mizoram",700.0,0.0
"2012-13","May","NPK","Mizoram",0.0,0.0
"2012-13","May","TSP","Mizoram",0.0,0.0
"2012-13","May","UREA","Mizoram",1700.0,0.0
"2012-13","May","DAP","Nagaland",105.0,0.0
"2012-13","May","MAP","Nagaland",0.0,0.0
"2012-13","May","MOP","Nagaland",40.0,0.0
"2012-13","May","NPK","Nagaland",35.0,0.0
"2012-13","May","TSP","Nagaland",0.0,0.0
"2012-13","May","UREA","Nagaland",182.0,0.0
"2012-13","May","DAP","Odisha",11940.0,23383.65
"2012-13","May","MAP","Odisha",0.0,0.0
"2012-13","May","MOP","Odisha",11070.0,9535.7
"2012-13","May","NPK","Odisha",20045.0,38445.3
"2012-13","May","TSP","Odisha",0.0,0.0
"2012-13","May","UREA","Odisha",22630.0,24890.347
"2012-13","May","DAP","Pondicherry",700.0,0.0
"2012-13","May","MAP","Pondicherry",0.0,0.0
"2012-13","May","MOP","Pondicherry",800.0,0.0
"2012-13","May","NPK","Pondicherry",1610.0,839.8
"2012-13","May","TSP","Pondicherry",0.0,0.0
"2012-13","May","UREA","Pondicherry",1600.0,0.0
"2012-13","May","DAP","Punjab",50000.0,47014.15
"2012-13","May","MAP","Punjab",0.0,6575.3
"2012-13","May","MOP","Punjab",8000.0,8992.65
"2012-13","May","NPK","Punjab",8000.0,11851.1
"2012-13","May","TSP","Punjab",0.0,3355.3
"2012-13","May","UREA","Punjab",400000.0,22789.05
"2012-13","May","DAP","Rajasthan",45000.0,21363.03
"2012-13","May","MAP","Rajasthan",0.0,0.0
"2012-13","May","MOP","Rajasthan",5000.0,1391.6
"2012-13","May","NPK","Rajasthan",14700.0,13953.6
"2012-13","May","TSP","Rajasthan",0.0,3526.25
"2012-13","May","UREA","Rajasthan",80000.0,69238.205
"2012-13","May","DAP","Sikkim",0.0,0.0
"2012-13","May","MAP","Sikkim",0.0,0.0
"2012-13","May","MOP","Sikkim",0.0,0.0
"2012-13","May","NPK","Sikkim",0.0,0.0
"2012-13","May","TSP","Sikkim",0.0,0.0
"2012-13","May","UREA","Sikkim",0.0,0.0
"2012-13","May","DAP","Tamil Nadu",26000.0,4340.0
"2012-13","May","MAP","Tamil Nadu",0.0,0.0
"2012-13","May","MOP","Tamil Nadu",26000.0,9287.4
"2012-13","May","NPK","Tamil Nadu",48400.0,127131.35
"2012-13","May","TSP","Tamil Nadu",0.0,0.0
"2012-13","May","UREA","Tamil Nadu",60000.0,1691.15
"2012-13","May","DAP","Tripura",476.0,0.0
"2012-13","May","MAP","Tripura",0.0,0.0
"2012-13","May","MOP","Tripura",2500.0,0.0
"2012-13","May","NPK","Tripura",0.0,0.0
"2012-13","May","TSP","Tripura",0.0,0.0
"2012-13","May","UREA","Tripura",9700.0,2711.5
"2012-13","May","DAP","Uttar Pradesh",80000.0,104487.85
"2012-13","May","MAP","Uttar Pradesh",0.0,2522.8
"2012-13","May","MOP","Uttar Pradesh",10000.0,5698.75
"2012-13","May","NPK","Uttar Pradesh",65000.0,169142.85
"2012-13","May","TSP","Uttar Pradesh",0.0,16125.25
"2012-13","May","UREA","Uttar Pradesh",400000.0,161598.2
"2012-13","May","DAP","Uttaranchal",5000.0,4994.1
"2012-13","May","MAP","Uttaranchal",0.0,0.0
"2012-13","May","MOP","Uttaranchal",2000.0,0.0
"2012-13","May","NPK","Uttaranchal",7500.0,6138.9
"2012-13","May","TSP","Uttaranchal",0.0,0.0
"2012-13","May","UREA","Uttaranchal",30000.0,2389.65
"2012-13","May","DAP","West Bengal",26800.0,29316.99
"2012-13","May","MAP","West Bengal",0.0,0.0
"2012-13","May","MOP","West Bengal",20200.0,5631.8
"2012-13","May","NPK","West Bengal",54250.0,87277.532
"2012-13","May","TSP","West Bengal",0.0,7377.55
"2012-13","May","UREA","West Bengal",63400.0,30443.884
"2012-13","June","DAP","Andaman & Nicobar",100.0,0.0
"2012-13","June","MAP","Andaman & Nicobar",0.0,0.0
"2012-13","June","MOP","Andaman & Nicobar",60.0,0.0
"2012-13","June","NPK","Andaman & Nicobar",40.0,0.0
"2012-13","June","TSP","Andaman & Nicobar",0.0,0.0
"2012-13","June","UREA","Andaman & Nicobar",85.0,0.0
"2012-13","June","DAP","Andhra Pradesh",130000.0,33457.9
"2012-13","June","MAP","Andhra Pradesh",0.0,848.85
"2012-13","June","MOP","Andhra Pradesh",50000.0,27382.0
"2012-13","June","NPK","Andhra Pradesh",200000.0,173793.533
"2012-13","June","TSP","Andhra Pradesh",0.0,1.9
"2012-13","June","UREA","Andhra Pradesh",250000.0,83.802
"2012-13","June","DAP","Arunachal Pradesh",7.0,0.0
"2012-13","June","MAP","Arunachal Pradesh",0.0,0.0
"2012-13","June","MOP","Arunachal Pradesh",8.0,0.0
"2012-13","June","NPK","Arunachal Pradesh",0.0,0.0
"2012-13","June","TSP","Arunachal Pradesh",0.0,0.0
"2012-13","June","UREA","Arunachal Pradesh",95.0,0.0
"2012-13","June","DAP","Assam",5250.0,8631.3
"2012-13","June","MAP","Assam",0.0,0.0
"2012-13","June","MOP","Assam",12600.0,246.95
"2012-13","June","NPK","Assam",1575.0,1359.35
"2012-13","June","TSP","Assam",0.0,0.0
"2012-13","June","UREA","Assam",30450.0,0.0
"2012-13","June","DAP","Bihar",60.0,24458.7
"2012-13","June","MAP","Bihar",0.0,4273.15
"2012-13","June","MOP","Bihar",20000.0,1979.3
"2012-13","June","NPK","Bihar",50000.0,32608.0
"2012-13","June","TSP","Bihar",0.0,7673.75
"2012-13","June","UREA","Bihar",190000.0,17665.85
"2012-13","June","DAP","Chandigarh",0.0,0.0
"2012-13","June","MAP","Chandigarh",0.0,0.0
"2012-13","June","MOP","Chandigarh",0.0,0.0
"2012-13","June","NPK","Chandigarh",0.0,0.0
"2012-13","June","TSP","Chandigarh",0.0,0.0
"2012-13","June","UREA","Chandigarh",0.0,0.0
"2012-13","June","DAP","Chattishgarh",55000.0,4860.1
"2012-13","June","MAP","Chattishgarh",0.0,0.0
"2012-13","June","MOP","Chattishgarh",17000.0,702.0
"2012-13","June","NPK","Chattishgarh",38000.0,16165.25
"2012-13","June","TSP","Chattishgarh",0.0,3858.25
"2012-13","June","UREA","Chattishgarh",100000.0,18752.4
"2012-13","June","DAP","Dadra & Nagar Haveli",450.0,658.0
"2012-13","June","MAP","Dadra & Nagar Haveli",0.0,0.0
"2012-13","June","MOP","Dadra & Nagar Haveli",0.0,0.0
"2012-13","June","NPK","Dadra & Nagar Haveli",0.0,0.0
"2012-13","June","TSP","Dadra & Nagar Haveli",0.0,0.0
"2012-13","June","UREA","Dadra & Nagar Haveli",450.0,9.7
"2012-13","June","DAP","Daman & Diu",20.0,0.0
"2012-13","June","MAP","Daman & Diu",0.0,0.0
"2012-13","June","MOP","Daman & Diu",5.0,0.0
"2012-13","June","NPK","Daman & Diu",5.0,0.0
"2012-13","June","TSP","Daman & Diu",0.0,0.0
"2012-13","June","UREA","Daman & Diu",70.0,0.0
"2012-13","June","DAP","Delhi",400.0,0.0
"2012-13","June","MAP","Delhi",0.0,0.0
"2012-13","June","MOP","Delhi",150.0,0.0
"2012-13","June","NPK","Delhi",200.0,0.0
"2012-13","June","TSP","Delhi",0.0,0.0
