-----
{
 "description": "The table refers to block wise distribution of surface flow schemes according to social status. It has been sourced from 2nd census of minor irrigation scheme(1993-94) from Ministry of Water Resources.", 
 "file_name": "blcktab4.4.csv", 
 "title": "Download CSV for Blockwise Distribution of Surface Flow Schemes according to social status for 2nd census of Minor Irrigation Schemes (1993-94)", 
 "url": "http://data.gov.in/sites/default/files/blcktab4.4.csv"
}
-----
State,District,Block,Scheduled caste,Scheduled tribe,Other social status of farmers,Total
ANDHRA PRADESH,CHITTOOR,IRALA,0,0,2,2
ANDHRA PRADESH,CHITTOOR,K.V.B. PURAM,0,0,3,3
ANDHRA PRADESH,CHITTOOR,KALAKADA,0,0,0,0
ANDHRA PRADESH,CHITTOOR,KALIKIRI,0,0,2,2
ANDHRA PRADESH,CHITTOOR,KAMACHANDRA PURAM,0,0,0,0
ANDHRA PRADESH,CHITTOOR,KAMBHAMVARIPALLE,0,0,1,1
ANDHRA PRADESH,CHITTOOR,KARVETINAGAR,0,0,2,2
ANDHRA PRADESH,CHITTOOR,KUPPAM,0,0,1,1
ANDHRA PRADESH,CHITTOOR,KURABALAKOTA,1,0,0,1
ANDHRA PRADESH,CHITTOOR,MADANAPALLE,0,0,0,0
ANDHRA PRADESH,CHITTOOR,MULAKALACHERUVU,0,0,1,1
ANDHRA PRADESH,CHITTOOR,NAGALAPURAM,0,0,2,2
ANDHRA PRADESH,CHITTOOR,NAGARI,0,0,0,0
ANDHRA PRADESH,CHITTOOR,NARAYANAVANAM,0,0,0,0
ANDHRA PRADESH,CHITTOOR,NIMMANAPALLE,0,0,2,2
ANDHRA PRADESH,CHITTOOR,NINDRA,0,0,0,0
ANDHRA PRADESH,CHITTOOR,PAKALA,0,0,1,1
ANDHRA PRADESH,CHITTOOR,PALAMANERU,0,0,12,12
ANDHRA PRADESH,CHITTOOR,PALASAMUDRAM,0,0,0,0
ANDHRA PRADESH,CHITTOOR,PEDDAMANDYAM,0,0,16,16
ANDHRA PRADESH,CHITTOOR,PEDDAPANJANI,0,0,4,4
ANDHRA PRADESH,CHITTOOR,PEDDATHIPPASAMDRAM,0,0,0,0
ANDHRA PRADESH,CHITTOOR,PENUMURU,0,0,0,0
ANDHRA PRADESH,CHITTOOR,PICHATURU,0,0,1,1
ANDHRA PRADESH,CHITTOOR,PILERU,0,0,5,5
ANDHRA PRADESH,CHITTOOR,PULICHERLA,1,0,1,2
ANDHRA PRADESH,CHITTOOR,PUNGANURU,0,0,0,0
ANDHRA PRADESH,CHITTOOR,PUTHALAPATTU,0,0,0,0
ANDHRA PRADESH,CHITTOOR,PUTTURU,0,0,0,0
ANDHRA PRADESH,CHITTOOR,RAMAKUPPAM,2,0,10,12
ANDHRA PRADESH,CHITTOOR,RAMASAMUDRAM,0,0,0,0
ANDHRA PRADESH,CHITTOOR,RENIGUNTA,0,0,0,0
ANDHRA PRADESH,CHITTOOR,ROMPICHERLA,0,0,0,0
ANDHRA PRADESH,CHITTOOR,SANTHIPURAM,0,0,13,13
ANDHRA PRADESH,CHITTOOR,SATYAVEDU,0,0,5,5
ANDHRA PRADESH,CHITTOOR,SODAM,2,0,128,130
ANDHRA PRADESH,CHITTOOR,SOMALA,0,0,2,2
ANDHRA PRADESH,CHITTOOR,SRIKALAHASTI,0,0,2,2
ANDHRA PRADESH,CHITTOOR,SRIRANGARAJAPURAM,0,0,10,10
ANDHRA PRADESH,CHITTOOR,THAMBALLAPALLE,0,0,0,0
ANDHRA PRADESH,CHITTOOR,THAVANAMPALLE,0,0,1,1
ANDHRA PRADESH,CHITTOOR,THOTTAMBEDA,0,0,0,0
ANDHRA PRADESH,CHITTOOR,TIRUPATI (RURAL),0,0,0,0
ANDHRA PRADESH,CHITTOOR,TIRUPATI (URBAN),0,0,0,0
ANDHRA PRADESH,CHITTOOR,VADAMALAPETA,0,0,0,0
ANDHRA PRADESH,CHITTOOR,VARADAIAHPALEM,0,0,0,0
ANDHRA PRADESH,CHITTOOR,VAYALPAD,0,0,5,5
ANDHRA PRADESH,CHITTOOR,VEDURUKUPPAM,0,0,4,4
ANDHRA PRADESH,CHITTOOR,VENKATAGIRIKOTA,0,0,0,0
ANDHRA PRADESH,CHITTOOR,VIJAYAPURAM,0,0,1,1
ANDHRA PRADESH,CHITTOOR,YADAMARI,0,0,0,0
ANDHRA PRADESH,CHITTOOR,YERPEDU,0,0,1,1
ANDHRA PRADESH,CHITTOOR,YERRAVARIPALEM,0,0,0,0
ANDHRA PRADESH,CUDDAPAH,ATLUR,0,0,0,0
ANDHRA PRADESH,CUDDAPAH,B.KODUR,2,0,1,3
ANDHRA PRADESH,CUDDAPAH,BADVEL,0,0,0,0
ANDHRA PRADESH,CUDDAPAH,BRAHMAMGARIMATHAM,1,0,0,1
ANDHRA PRADESH,CUDDAPAH,CHAKARAYAPET,0,0,0,0
ANDHRA PRADESH,CUDDAPAH,CHAPAD,0,0,0,0
ANDHRA PRADESH,CUDDAPAH,CHENNAMANDEM,0,0,0,0
ANDHRA PRADESH,CUDDAPAH,CHENNUR,NA,NA,NA,NA
ANDHRA PRADESH,CUDDAPAH,CHINTHAKOMMADINNE,0,0,1,1
ANDHRA PRADESH,CUDDAPAH,CHITVEL,0,0,2,2
ANDHRA PRADESH,CUDDAPAH,CUDDAPAH,0,0,2,2
ANDHRA PRADESH,CUDDAPAH,DUVVUR,0,0,3,3
ANDHRA PRADESH,CUDDAPAH,GALIVEEDU,0,0,1,1
ANDHRA PRADESH,CUDDAPAH,GOPAVARAM,0,0,0,0
ANDHRA PRADESH,CUDDAPAH,JAMMALAMADUGU,0,0,0,0
ANDHRA PRADESH,CUDDAPAH,KALASAPADU,0,0,1,1
ANDHRA PRADESH,CUDDAPAH,KAMALAPURAM,0,0,0,0
ANDHRA PRADESH,CUDDAPAH,KHAJIPET,0,0,0,0
ANDHRA PRADESH,CUDDAPAH,KODUR,0,0,0,0
ANDHRA PRADESH,CUDDAPAH,KONDAPURAM,0,0,0,0
ANDHRA PRADESH,CUDDAPAH,LAKKIREDDIPALLE,0,0,0,0
ANDHRA PRADESH,CUDDAPAH,LINGALA,NA,NA,NA,NA
ANDHRA PRADESH,CUDDAPAH,MUDDANUR,0,0,0,0
ANDHRA PRADESH,CUDDAPAH,MYLAVARAM,0,0,0,0
ANDHRA PRADESH,CUDDAPAH,NANDALUR,0,0,26,26
ANDHRA PRADESH,CUDDAPAH,OBULAVARIPALLE,0,0,0,0
ANDHRA PRADESH,CUDDAPAH,PEDDAMUDIUM,0,0,0,0
ANDHRA PRADESH,CUDDAPAH,PENAGALUR,0,0,0,0
ANDHRA PRADESH,CUDDAPAH,PENDLIMARRI,NA,NA,NA,NA
ANDHRA PRADESH,CUDDAPAH,PORUMAMILLA,0,0,0,0
ANDHRA PRADESH,CUDDAPAH,PRODDUTUR,NA,NA,NA,NA
ANDHRA PRADESH,CUDDAPAH,PULIVENDLA,NA,NA,NA,NA
ANDHRA PRADESH,CUDDAPAH,PULLAMPETA,0,0,0,0
ANDHRA PRADESH,CUDDAPAH,RAJAMPET,0,0,0,0
ANDHRA PRADESH,CUDDAPAH,RAJUPALEM,0,0,0,0
ANDHRA PRADESH,CUDDAPAH,RAMAPURAM,0,0,1,1
ANDHRA PRADESH,CUDDAPAH,ROYACHOTI,1,0,23,24
ANDHRA PRADESH,CUDDAPAH,S.MYDUKUR,3,0,0,3
ANDHRA PRADESH,CUDDAPAH,SAMBEPALLE,0,0,1,1
ANDHRA PRADESH,CUDDAPAH,SIDHOUT,NA,NA,NA,NA
ANDHRA PRADESH,CUDDAPAH,SIMHADRIPURAM,NA,NA,NA,NA
ANDHRA PRADESH,CUDDAPAH,T.SUNDUPALLE,0,0,0,0
ANDHRA PRADESH,CUDDAPAH,THONDUR,0,0,0,0
ANDHRA PRADESH,CUDDAPAH,VALLUR,0,0,0,0
ANDHRA PRADESH,CUDDAPAH,VEERABALLE,0,0,0,0
ANDHRA PRADESH,CUDDAPAH,VEERAPUNAYUNIPALLE,0,0,2,2
ANDHRA PRADESH,CUDDAPAH,VEMPALLE,0,0,1,1
ANDHRA PRADESH,CUDDAPAH,VEMULA,0,0,2,2
ANDHRA PRADESH,CUDDAPAH,VONTIMITTA,0,0,0,0
ANDHRA PRADESH,CUDDAPAH,YERRAGUNTLA,0,0,0,0
ANDHRA PRADESH,EAST GODAVARI,ADDATEEGALA,0,3,1,4
ANDHRA PRADESH,EAST GODAVARI,AINAVILLI,NA,NA,NA,NA
ANDHRA PRADESH,EAST GODAVARI,ALAMURU,NA,NA,NA,NA
ANDHRA PRADESH,EAST GODAVARI,ALLAVARAM,NA,NA,NA,NA
ANDHRA PRADESH,EAST GODAVARI,AMALAPURAM,NA,NA,NA,NA
ANDHRA PRADESH,EAST GODAVARI,AMBAJIPETA,NA,NA,NA,NA
ANDHRA PRADESH,EAST GODAVARI,ANAPARTHY,0,0,1,1
ANDHRA PRADESH,EAST GODAVARI,ATREYAPURAM,NA,NA,NA,NA
ANDHRA PRADESH,EAST GODAVARI,BICCAVOLU,0,0,1,1
ANDHRA PRADESH,EAST GODAVARI,DEVIPATNAM,0,0,0,0
ANDHRA PRADESH,EAST GODAVARI,GANDEPALLE,0,0,6,6
ANDHRA PRADESH,EAST GODAVARI,GANGAVARAM,0,0,0,0
ANDHRA PRADESH,EAST GODAVARI,GOKAVARAM,0,0,2,2
ANDHRA PRADESH,EAST GODAVARI,GOLLAPROLU,0,0,0,0
ANDHRA PRADESH,EAST GODAVARI,I. POLAVARAM,NA,NA,NA,NA
ANDHRA PRADESH,EAST GODAVARI,JAGGAMPETA,2,0,50,52
ANDHRA PRADESH,EAST GODAVARI,KADIAM,0,0,0,0
ANDHRA PRADESH,EAST GODAVARI,KAJULURU,NA,NA,NA,NA
ANDHRA PRADESH,EAST GODAVARI,KAKINADA RURAL,NA,NA,NA,NA
ANDHRA PRADESH,EAST GODAVARI,KAKINADA URBAN,NA,NA,NA,NA
ANDHRA PRADESH,EAST GODAVARI,KAPILESWARAPURAM,NA,NA,NA,NA
ANDHRA PRADESH,EAST GODAVARI,KARAPA,NA,NA,NA,NA
ANDHRA PRADESH,EAST GODAVARI,KATRENIKONA,NA,NA,NA,NA
ANDHRA PRADESH,EAST GODAVARI,KIRLAMPUDI,0,0,2,2
ANDHRA PRADESH,EAST GODAVARI,KORUKONDA,0,0,2,2
ANDHRA PRADESH,EAST GODAVARI,KOTANANDURU,0,0,1,1
ANDHRA PRADESH,EAST GODAVARI,KOTHAPALLE,NA,NA,NA,NA
ANDHRA PRADESH,EAST GODAVARI,KOTHAPETA,NA,NA,NA,NA
ANDHRA PRADESH,EAST GODAVARI,MALIKIPURAM,NA,NA,NA,NA
ANDHRA PRADESH,EAST GODAVARI,MAMIDIKUDURU,NA,NA,NA,NA
ANDHRA PRADESH,EAST GODAVARI,MANDAPETA,0,12,3,15
ANDHRA PRADESH,EAST GODAVARI,MAREDUMILLI,0,7,0,7
ANDHRA PRADESH,EAST GODAVARI,MUMMIDIVARAM,NA,NA,NA,NA
ANDHRA PRADESH,EAST GODAVARI,P.GANNAVARAM,NA,NA,NA,NA
ANDHRA PRADESH,EAST GODAVARI,PAMARRU,NA,NA,NA,NA
ANDHRA PRADESH,EAST GODAVARI,PEDAPUDI,NA,NA,NA,NA
ANDHRA PRADESH,EAST GODAVARI,PEDDAPURAM,0,0,4,4
ANDHRA PRADESH,EAST GODAVARI,PITHAPURAM,NA,NA,NA,NA
ANDHRA PRADESH,EAST GODAVARI,PRATHIPADU,32,0,19,51
ANDHRA PRADESH,EAST GODAVARI,RAJAHMUNDRY RURAL,0,0,1,1
ANDHRA PRADESH,EAST GODAVARI,RAJAHMUNDRY URBAN,NA,NA,NA,NA
ANDHRA PRADESH,EAST GODAVARI,RAJANAGARAM,0,0,4,4
ANDHRA PRADESH,EAST GODAVARI,RAJAVOMMANGI,0,0,0,0
ANDHRA PRADESH,EAST GODAVARI,RAMACHANDRAPURAM,NA,NA,NA,NA
ANDHRA PRADESH,EAST GODAVARI,RAMPACHODAVARAM,0,0,0,0
ANDHRA PRADESH,EAST GODAVARI,RANGAMPETA,0,0,0,0
ANDHRA PRADESH,EAST GODAVARI,RAVULAPALEM,NA,NA,NA,NA
ANDHRA PRADESH,EAST GODAVARI,RAYAVARAM,NA,NA,NA,NA
ANDHRA PRADESH,EAST GODAVARI,RAZOLE,NA,NA,NA,NA
ANDHRA PRADESH,EAST GODAVARI,SAKHINETIPALLE,NA,NA,NA,NA
ANDHRA PRADESH,EAST GODAVARI,SAMALKOTA,0,0,0,0
ANDHRA PRADESH,EAST GODAVARI,SANKHAVARAM,0,0,9,9
ANDHRA PRADESH,EAST GODAVARI,SEETHANAGARAM,NA,NA,NA,NA
ANDHRA PRADESH,EAST GODAVARI,THALLAREVU,NA,NA,NA,NA
ANDHRA PRADESH,EAST GODAVARI,THONDANGI,0,0,1,1
ANDHRA PRADESH,EAST GODAVARI,TUNI,0,1,47,48
ANDHRA PRADESH,EAST GODAVARI,UPPALAGUPTAM,NA,NA,NA,NA
ANDHRA PRADESH,EAST GODAVARI,Y. RAMAVARAM,0,17,0,17
ANDHRA PRADESH,EAST GODAVARI,YELESWARAM,0,0,3,3
ANDHRA PRADESH,GUNTUR,ACHAMPET,0,0,0,0
ANDHRA PRADESH,GUNTUR,AMARAVATHI,0,0,0,0
ANDHRA PRADESH,GUNTUR,AMRUTHALUR,NA,NA,NA,NA
ANDHRA PRADESH,GUNTUR,BAPATLA,NA,NA,NA,NA
ANDHRA PRADESH,GUNTUR,BELLAMKONDA,0,0,0,0
ANDHRA PRADESH,GUNTUR,BHATTIPROLU,NA,NA,NA,NA
ANDHRA PRADESH,GUNTUR,BOLLAPALLE,0,0,0,0
ANDHRA PRADESH,GUNTUR,CHEBROLE,0,0,0,0
ANDHRA PRADESH,GUNTUR,CHERUKUPALLE,NA,NA,NA,NA
ANDHRA PRADESH,GUNTUR,CHILAKALURIPET,0,0,0,0
ANDHRA PRADESH,GUNTUR,DACHEPALLE,NA,NA,NA,NA
ANDHRA PRADESH,GUNTUR,DUGGIRALA,NA,NA,NA,NA
ANDHRA PRADESH,GUNTUR,DURGI,0,0,0,0
ANDHRA PRADESH,GUNTUR,EDLAPADU,0,0,0,0
ANDHRA PRADESH,GUNTUR,GUNTUR,0,0,0,0
ANDHRA PRADESH,GUNTUR,GURAZALA,NA,NA,NA,NA
ANDHRA PRADESH,GUNTUR,IPUR,0,0,9,9
ANDHRA PRADESH,GUNTUR,KAKUMANU,NA,NA,NA,NA
ANDHRA PRADESH,GUNTUR,KAREMPUDI,0,0,0,0
ANDHRA PRADESH,GUNTUR,KARLAPALEM,NA,NA,NA,NA
ANDHRA PRADESH,GUNTUR,KOLLIPARA,NA,NA,NA,NA
ANDHRA PRADESH,GUNTUR,KOLLUR,NA,NA,NA,NA
ANDHRA PRADESH,GUNTUR,KROSURU,0,0,0,0
ANDHRA PRADESH,GUNTUR,MACHAVARAM,0,0,0,0
ANDHRA PRADESH,GUNTUR,MACHERLA,0,0,0,0
ANDHRA PRADESH,GUNTUR,MANGALAGIRI,0,0,0,0
ANDHRA PRADESH,GUNTUR,MEDIKONDURU,0,0,0,0
ANDHRA PRADESH,GUNTUR,MUPPALLA,0,0,0,0
ANDHRA PRADESH,GUNTUR,NADENDLA,0,0,0,0
ANDHRA PRADESH,GUNTUR,NAGARAM,NA,NA,NA,NA
ANDHRA PRADESH,GUNTUR,NARASARAOPET,0,0,0,0
ANDHRA PRADESH,GUNTUR,NEKARIKALLU,0,0,0,0
ANDHRA PRADESH,GUNTUR,NIZAMPATNAM,NA,NA,NA,NA
ANDHRA PRADESH,GUNTUR,NUZENDLA,0,0,1,1
ANDHRA PRADESH,GUNTUR,PEDAKAKANI,0,0,0,0
ANDHRA PRADESH,GUNTUR,PEDAKURAPADU,0,0,0,0
ANDHRA PRADESH,GUNTUR,PEDANANDIPADU,NA,NA,NA,NA
ANDHRA PRADESH,GUNTUR,PHIRANGIPURAM,0,0,0,0
ANDHRA PRADESH,GUNTUR,PIDUGURALLA,0,0,0,0
ANDHRA PRADESH,GUNTUR,PITTALAVANIPALEM,NA,NA,NA,NA
ANDHRA PRADESH,GUNTUR,PONNUR,NA,NA,NA,NA
ANDHRA PRADESH,GUNTUR,PRATHIPADU,0,0,0,0
ANDHRA PRADESH,GUNTUR,RAJUPALEM,0,0,0,0
ANDHRA PRADESH,GUNTUR,RENTACHINTALA,0,0,0,0
ANDHRA PRADESH,GUNTUR,REPALLE,NA,NA,NA,NA
ANDHRA PRADESH,GUNTUR,ROMPICHERLA,0,0,0,0
ANDHRA PRADESH,GUNTUR,SATTENAPALLE,0,0,0,0
ANDHRA PRADESH,GUNTUR,SAV'PURAM KANUM'PUDI,0,0,0,0
ANDHRA PRADESH,GUNTUR,TADEPALLE,0,0,0,0
ANDHRA PRADESH,GUNTUR,TADIKONDA,0,0,0,0
ANDHRA PRADESH,GUNTUR,TENALI,NA,NA,NA,NA
ANDHRA PRADESH,GUNTUR,THULLUR,0,0,0,0
ANDHRA PRADESH,GUNTUR,TSUNDUR,NA,NA,NA,NA
ANDHRA PRADESH,GUNTUR,VATTICHERUKURU,0,0,0,0
ANDHRA PRADESH,GUNTUR,VELDURTHY,0,0,0,0
ANDHRA PRADESH,GUNTUR,VEMURU,NA,NA,NA,NA
ANDHRA PRADESH,GUNTUR,VINUKONDA,0,0,0,0
ANDHRA PRADESH,HYDERABAD,CHARMINAR,0,0,1,1
ANDHRA PRADESH,HYDERABAD,GOLCONDA,0,0,0,0
ANDHRA PRADESH,HYDERABAD,MUSHEERABAD,0,0,1,1
ANDHRA PRADESH,HYDERABAD,SECUNDERABAD,0,0,1,1
ANDHRA PRADESH,KARIMNAGAR,BEJJANKI,0,0,0,0
