-----
{
 "description": "The table refers to Block wise Distribution of Surface Lift Schemes (on Tank/Pond) in use and their Potential Created and Utilized according to Public and Private. The report has been sourced from 3rd census of minor irrigation scheme (2000-01) from Ministry of Water Resources.", 
 "file_name": "srfcliftdistr5.19.csv", 
 "title": "Download CSV for Blockwise Distribution of Surface Lift Schemes (on Tank/Pond) in use and their Potential Created and Utilized according to Public and Private", 
 "url": "http://data.gov.in/sites/default/files/srfcliftdistr5.19.csv"
}
-----
STATENAME,DISTNAME,BLOCKNAME,No. in use - Public,No. in use - Private,No. in use - Total,Potential created (Ha) - Public,Potential created (Ha) - Private,Potential created (Ha) - Total,Potential utilised (Ha) - Public,Potential utilised (Ha) - Private,Potential utilised (Ha) - Total
ANDHRA PRADESH,GUNTUR,ACHAMPETA,0,0,0,0,0,0,0,0,0
ANDHRA PRADESH,GUNTUR,AMARAVATHI,0,0,0,0,0,0,0,0,0
ANDHRA PRADESH,GUNTUR,BAPATLA,0,0,0,0,0,0,0,0,0
ANDHRA PRADESH,GUNTUR,BELLAMKONDA,0,0,0,0,0,0,0,0,0
ANDHRA PRADESH,GUNTUR,BHATTIPROLU,0,0,0,0,0,0,0,0,0
ANDHRA PRADESH,GUNTUR,BOLLAPALLE,0,0,0,0,0,0,0,0,0
ANDHRA PRADESH,GUNTUR,CHEBROLE,0,0,0,0,0,0,0,0,0
ANDHRA PRADESH,GUNTUR,CHERUKUPALLE,0,0,0,0,0,0,0,0,0
ANDHRA PRADESH,GUNTUR,CHILAKALURIPET,0,1,1,0,26,26,0,26,26
ANDHRA PRADESH,GUNTUR,DACHEPALLE,0,0,0,0,0,0,0,0,0
ANDHRA PRADESH,GUNTUR,EDLAPADU,0,0,0,0,0,0,0,0,0
ANDHRA PRADESH,GUNTUR,GUNTUR,0,0,0,0,0,0,0,0,0
ANDHRA PRADESH,GUNTUR,IPURU,0,0,0,0,0,0,0,0,0
ANDHRA PRADESH,GUNTUR,KAKUMANU,0,0,0,0,0,0,0,0,0
ANDHRA PRADESH,GUNTUR,KARLAPALEM,0,0,0,0,0,0,0,0,0
ANDHRA PRADESH,GUNTUR,KOLLUR,0,0,0,0,0,0,0,0,0
ANDHRA PRADESH,GUNTUR,KROSURU,0,0,0,0,0,0,0,0,0
ANDHRA PRADESH,GUNTUR,MACHAVARAM,0,0,0,0,0,0,0,0,0
ANDHRA PRADESH,GUNTUR,MACHERLA,0,0,0,0,0,0,0,0,0
ANDHRA PRADESH,GUNTUR,MANGALAGIRI,0,0,0,0,0,0,0,0,0
ANDHRA PRADESH,GUNTUR,MUPPALLA,0,0,0,0,0,0,0,0,0
ANDHRA PRADESH,GUNTUR,NADENDLA,0,0,0,0,0,0,0,0,0
ANDHRA PRADESH,GUNTUR,NAGARAM,0,0,0,0,0,0,0,0,0
ANDHRA PRADESH,GUNTUR,NARASARAOPETA,0,1,1,0,7,7,0,7,7
ANDHRA PRADESH,GUNTUR,NIZAMPATNAM,0,0,0,0,0,0,0,0,0
ANDHRA PRADESH,GUNTUR,NUZENDLA,0,0,0,0,0,0,0,0,0
ANDHRA PRADESH,GUNTUR,PEDAKAKANI,0,0,0,0,0,0,0,0,0
ANDHRA PRADESH,GUNTUR,PEDAKURAPADU,0,0,0,0,0,0,0,0,0
ANDHRA PRADESH,GUNTUR,PEDANANDIPADU,0,0,0,0,0,0,0,0,0
ANDHRA PRADESH,GUNTUR,PHIRANGIPURAM,0,0,0,0,0,0,0,0,0
ANDHRA PRADESH,GUNTUR,PITTALAVANIPALEM,0,0,0,0,0,0,0,0,0
ANDHRA PRADESH,GUNTUR,PONNUR,0,0,0,0,0,0,0,0,0
ANDHRA PRADESH,GUNTUR,RAJUPALEM,0,0,0,0,0,0,0,0,0
ANDHRA PRADESH,GUNTUR,REPALLE,0,0,0,0,0,0,0,0,0
ANDHRA PRADESH,GUNTUR,SATTENAPALLE,0,0,0,0,0,0,0,0,0
ANDHRA PRADESH,GUNTUR,SAVALYAPURAM,0,0,0,0,0,0,0,0,0
ANDHRA PRADESH,GUNTUR,TADIKONDA,0,0,0,0,0,0,0,0,0
ANDHRA PRADESH,GUNTUR,THADEPALLE,0,0,0,0,0,0,0,0,0
ANDHRA PRADESH,GUNTUR,VATTICHERUKURU,0,0,0,0,0,0,0,0,0
ANDHRA PRADESH,GUNTUR,VEMURU,0,0,0,0,0,0,0,0,0
ANDHRA PRADESH,GUNTUR,VINUKONDA,0,0,0,0,0,0,0,0,0
ANDHRA PRADESH,KARIMNAGAR,CHIGURUMAMIDI,0,0,0,0,0,0,0,0,0
ANDHRA PRADESH,KARIMNAGAR,ELEGADE,0,0,0,0,0,0,0,0,0
ANDHRA PRADESH,KARIMNAGAR,GAMBHIRAOPET,0,0,0,0,0,0,0,0,0
ANDHRA PRADESH,KARIMNAGAR,JULAPALLE,0,0,0,0,0,0,0,0,0
ANDHRA PRADESH,KARIMNAGAR,KAMANPUR,0,0,0,0,0,0,0,0,0
ANDHRA PRADESH,KARIMNAGAR,MALHARRAO,0,0,0,0,0,0,0,0,0
ANDHRA PRADESH,KARIMNAGAR,MANTHANI,0,0,0,0,0,0,0,0,0
ANDHRA PRADESH,KARIMNAGAR,MUTHARAM MANTHANI,0,0,0,0,0,0,0,0,0
ANDHRA PRADESH,KARIMNAGAR,ODELA,0,15,15,0,31,31,0,31,31
ANDHRA PRADESH,KARIMNAGAR,SRIRAMPUR,0,0,0,0,0,0,0,0,0
ANDHRA PRADESH,KARIMNAGAR,SULTANABAD,0,0,0,0,0,0,0,0,0
ANDHRA PRADESH,KARIMNAGAR,THIMMAPUR,0,0,0,0,0,0,0,0,0
ANDHRA PRADESH,KARIMNAGAR,VELGATOOR,0,0,0,0,0,0,0,0,0
ANDHRA PRADESH,KARIMNAGAR,YELLA REDDI PETA,0,0,0,0,0,0,0,0,0
ANDHRA PRADESH,KHAMMAM,ASWAPURAM,0,2,2,0,3,3,0,3,3
ANDHRA PRADESH,KHAMMAM,ASWARAOPETA,0,0,0,0,0,0,0,0,0
ANDHRA PRADESH,KHAMMAM,BAYYARAM,0,0,0,0,0,0,0,0,0
ANDHRA PRADESH,KHAMMAM,BHADRACHALAM,0,7,7,0,23,23,0,23,23
ANDHRA PRADESH,KHAMMAM,BONAKAL,1,29,30,117,173,290,117,148,266
ANDHRA PRADESH,KHAMMAM,BURGAMPADU,0,0,0,0,0,0,0,0,0
ANDHRA PRADESH,KHAMMAM,CHANDRUGONDA,0,0,0,0,0,0,0,0,0
ANDHRA PRADESH,KHAMMAM,CHERLA,0,0,0,0,0,0,0,0,0
ANDHRA PRADESH,KHAMMAM,CHINTHAKANI,0,0,0,0,0,0,0,0,0
ANDHRA PRADESH,KHAMMAM,CHINTUR,0,0,0,0,0,0,0,0,0
ANDHRA PRADESH,KHAMMAM,DUMMUGUDEM,0,10,10,0,4,4,0,4,4
ANDHRA PRADESH,KHAMMAM,ENKURU,0,0,0,0,0,0,0,0,0
ANDHRA PRADESH,KHAMMAM,GARLA,0,0,0,0,0,0,0,0,0
ANDHRA PRADESH,KHAMMAM,GUNDALA,0,0,0,0,0,0,0,0,0
ANDHRA PRADESH,KHAMMAM,KALLURU,2,0,2,45,0,45,40,0,40
ANDHRA PRADESH,KHAMMAM,KHAMMAM RURAL,0,7,7,0,27,27,0,27,27
ANDHRA PRADESH,KHAMMAM,KHAMMAM URBAN,1,0,1,160,0,160,100,0,100
ANDHRA PRADESH,KHAMMAM,KONIJERLA,2,0,2,215,0,215,81,0,81
ANDHRA PRADESH,KHAMMAM,KOTHAGUDEM,1,64,65,2,80,82,2,79,81
ANDHRA PRADESH,KHAMMAM,KUKUNOOR,0,0,0,0,0,0,0,0,0
ANDHRA PRADESH,KHAMMAM,KUNAVARAM,0,21,21,0,68,68,0,60,60
ANDHRA PRADESH,KHAMMAM,KUSUMANCHI,0,0,0,0,0,0,0,0,0
ANDHRA PRADESH,KHAMMAM,MADHIRA,1,45,46,12,103,115,12,103,115
ANDHRA PRADESH,KHAMMAM,MUDIGONDA,2,0,2,10,0,10,10,0,10
ANDHRA PRADESH,KHAMMAM,MULAKALAPALLE,0,0,0,0,0,0,0,0,0
ANDHRA PRADESH,KHAMMAM,NELAKONDAPALLE,1,0,1,26,0,26,26,0,26
ANDHRA PRADESH,KHAMMAM,PALAWANCHA,0,73,73,0,100,100,0,97,97
ANDHRA PRADESH,KHAMMAM,PENUBALLI,1,5,6,45,8,53,24,8,32
ANDHRA PRADESH,KHAMMAM,SATHUPALLE,0,0,0,0,0,0,0,0,0
ANDHRA PRADESH,KHAMMAM,SINGARENI,0,0,0,0,0,0,0,0,0
ANDHRA PRADESH,KHAMMAM,TEKULAPALLE,1,26,27,0,46,46,0,29,29
ANDHRA PRADESH,KHAMMAM,THALLADA,4,16,20,13,34,47,13,33,47
ANDHRA PRADESH,KHAMMAM,THIRUMALAYAPALEM,0,0,0,0,0,0,0,0,0
ANDHRA PRADESH,KHAMMAM,VARARAMACHANDRAPURAM,0,0,0,0,0,0,0,0,0
ANDHRA PRADESH,KHAMMAM,VELAIRPAD,0,0,0,0,0,0,0,0,0
ANDHRA PRADESH,KHAMMAM,VEMSOOR,1,0,1,11,0,11,5,0,5
ANDHRA PRADESH,KHAMMAM,VENKATAPURAM,0,0,0,0,0,0,0,0,0
ANDHRA PRADESH,KHAMMAM,WAZEED,0,0,0,0,0,0,0,0,0
ANDHRA PRADESH,KHAMMAM,WYRA,0,20,20,0,71,71,0,71,71
ANDHRA PRADESH,KHAMMAM,YELLANDU,8,0,8,35,0,35,35,0,35
ANDHRA PRADESH,KHAMMAM,YERRUPALEM,0,0,0,0,0,0,0,0,0
ANDHRA PRADESH,KRISHNA,AGIRIPALLE,0,0,0,0,0,0,0,0,0
ANDHRA PRADESH,KRISHNA,BAPULAPADU,0,0,0,0,0,0,0,0,0
ANDHRA PRADESH,KRISHNA,CHANDARLAPADU,0,0,0,0,0,0,0,0,0
ANDHRA PRADESH,KRISHNA,CHATRAI,0,0,0,0,0,0,0,0,0
ANDHRA PRADESH,KRISHNA,G KONDURU,0,0,0,0,0,0,0,0,0
ANDHRA PRADESH,KRISHNA,GAMPALAGUDEM,0,2,2,0,237,237,0,237,237
ANDHRA PRADESH,KRISHNA,GANNAVARAM,0,0,0,0,0,0,0,0,0
ANDHRA PRADESH,KRISHNA,IBRAHIMPATNAM,0,0,0,0,0,0,0,0,0
ANDHRA PRADESH,KRISHNA,JAGGAYYAPETA,0,0,0,0,0,0,0,0,0
ANDHRA PRADESH,KRISHNA,KAIKALUR,0,0,0,0,0,0,0,0,0
ANDHRA PRADESH,KRISHNA,KALIDINDI,0,0,0,0,0,0,0,0,0
ANDHRA PRADESH,KRISHNA,KANCHIKA CHERLA,0,0,0,0,0,0,0,0,0
ANDHRA PRADESH,KRISHNA,MUSUNURU,0,0,0,0,0,0,0,0,0
ANDHRA PRADESH,KRISHNA,NAGAYALANKA,0,0,0,0,0,0,0,0,0
ANDHRA PRADESH,KRISHNA,NANDIGAMA,0,0,0,0,0,0,0,0,0
ANDHRA PRADESH,KRISHNA,NANDIVADA,0,0,0,0,0,0,0,0,0
ANDHRA PRADESH,KRISHNA,PEDANA,0,0,0,0,0,0,0,0,0
ANDHRA PRADESH,KRISHNA,PEDAPARUPUDI,0,0,0,0,0,0,0,0,0
ANDHRA PRADESH,KRISHNA,PENAMALURU,0,0,0,0,0,0,0,0,0
ANDHRA PRADESH,KRISHNA,PENUGANCHIPROLU,0,0,0,0,0,0,0,0,0
ANDHRA PRADESH,KRISHNA,REDDIGUDEM,0,0,0,0,0,0,0,0,0
ANDHRA PRADESH,KRISHNA,TIRUVURU,0,0,0,0,0,0,0,0,0
ANDHRA PRADESH,KRISHNA,UNGUTURU,1,0,1,34,0,34,34,0,34
ANDHRA PRADESH,KRISHNA,VATSAVAI,0,0,0,0,0,0,0,0,0
ANDHRA PRADESH,KRISHNA,VEERULLAPADU,0,0,0,0,0,0,0,0,0
ANDHRA PRADESH,KRISHNA,VISSANNAPET,0,0,0,0,0,0,0,0,0
ANDHRA PRADESH,KURNOOL,ADONI,0,0,0,0,0,0,0,0,0
ANDHRA PRADESH,KURNOOL,BANAGANAPALLE,0,0,0,0,0,0,0,0,0
ANDHRA PRADESH,KURNOOL,BANDI ATMAKUR,0,0,0,0,0,0,0,0,0
ANDHRA PRADESH,KURNOOL,C.BELAGAL,0,0,0,0,0,0,0,0,0
ANDHRA PRADESH,KURNOOL,DORNIPADU,0,0,0,0,0,0,0,0,0
ANDHRA PRADESH,KURNOOL,GOSPADU,0,0,0,0,0,0,0,0,0
ANDHRA PRADESH,KURNOOL,HALAHARVI,0,0,0,0,0,0,0,0,0
ANDHRA PRADESH,KURNOOL,HOLAGUNDA,0,0,0,0,0,0,0,0,0
ANDHRA PRADESH,KURNOOL,KOILKUNTLA,0,0,0,0,0,0,0,0,0
ANDHRA PRADESH,KURNOOL,KOTHAPALLE,0,0,0,0,0,0,0,0,0
ANDHRA PRADESH,KURNOOL,KOWTHALAM,0,0,0,0,0,0,0,0,0
ANDHRA PRADESH,KURNOOL,MAHANANDI,0,0,0,0,0,0,0,0,0
ANDHRA PRADESH,KURNOOL,MANTRALAYAM,0,0,0,0,0,0,0,0,0
ANDHRA PRADESH,KURNOOL,NANDAVARAM,0,0,0,0,0,0,0,0,0
ANDHRA PRADESH,KURNOOL,NANDYAL,0,0,0,0,0,0,0,0,0
ANDHRA PRADESH,KURNOOL,PANYAM,0,0,0,0,0,0,0,0,0
ANDHRA PRADESH,KURNOOL,UYYALAWADA,0,0,0,0,0,0,0,0,0
ANDHRA PRADESH,MAHABOOBNAGAR,AIZA,0,0,0,0,0,0,0,0,0
ANDHRA PRADESH,MAHABOOBNAGAR,ATMAKUR,0,0,0,0,0,0,0,0,0
ANDHRA PRADESH,MAHABOOBNAGAR,GADWAL,0,16,16,0,36,36,0,36,36
ANDHRA PRADESH,MAHABOOBNAGAR,ITIKYAL,0,0,0,0,0,0,0,0,0
ANDHRA PRADESH,MAHABOOBNAGAR,MAGANOOR,0,0,0,0,0,0,0,0,0
ANDHRA PRADESH,MAHABOOBNAGAR,MAKTHAL,0,0,0,0,0,0,0,0,0
ANDHRA PRADESH,MAHABOOBNAGAR,MANOPADU,0,2,2,0,1,1,0,1,1
ANDHRA PRADESH,MAHABOOBNAGAR,UTKOOR,0,0,0,0,0,0,0,0,0
ANDHRA PRADESH,MAHABOOBNAGAR,VEEPANGANDLA,0,0,0,0,0,0,0,0,0
ANDHRA PRADESH,MAHABOOBNAGAR,WADDEPALLE,0,0,0,0,0,0,0,0,0
ANDHRA PRADESH,MEDAK,ANDOLE,0,0,0,0,0,0,0,0,0
ANDHRA PRADESH,MEDAK,KOWDIPALLE,0,0,0,0,0,0,0,0,0
ANDHRA PRADESH,MEDAK,KULCHARAM,0,14,14,0,55,55,0,50,50
ANDHRA PRADESH,MEDAK,MANOOR,0,0,0,0,0,0,0,0,0
ANDHRA PRADESH,MEDAK,PAPANNAPET,0,0,0,0,0,0,0,0,0
ANDHRA PRADESH,MEDAK,PULKAL,0,3,3,0,4,4,0,4,4
ANDHRA PRADESH,MEDAK,SADASIVPET,0,0,0,0,0,0,0,0,0
ANDHRA PRADESH,MEDAK,SHANKARAMPET (A),0,0,0,0,0,0,0,0,0
ANDHRA PRADESH,NALGONDA,ANUMULA,0,0,0,0,0,0,0,0,0
ANDHRA PRADESH,NALGONDA,CHILKUR,0,67,67,0,286,286,0,195,195
ANDHRA PRADESH,NALGONDA,DAMERACHERLA,0,2,2,0,3,3,0,2,2
ANDHRA PRADESH,NALGONDA,GARIDE PALLE,0,114,114,0,299,299,0,250,250
ANDHRA PRADESH,NALGONDA,HUZURNAGAR,0,43,43,0,220,220,0,181,181
ANDHRA PRADESH,NALGONDA,KETHEPALLE,0,0,0,0,0,0,0,0,0
ANDHRA PRADESH,NALGONDA,KODAD,0,33,33,0,154,154,0,150,150
ANDHRA PRADESH,NALGONDA,MATTAMPALLE,0,20,20,0,71,71,0,71,71
ANDHRA PRADESH,NALGONDA,MELLACHERVU,0,0,0,0,0,0,0,0,0
ANDHRA PRADESH,NALGONDA,MIRYALAGUDA,0,0,0,0,0,0,0,0,0
ANDHRA PRADESH,NALGONDA,MOTHEY,0,0,0,0,0,0,0,0,0
ANDHRA PRADESH,NALGONDA,MUNAGALA,0,0,0,0,0,0,0,0,0
ANDHRA PRADESH,NALGONDA,NADIGUDEM,0,26,26,0,61,61,0,46,46
ANDHRA PRADESH,NALGONDA,NERED CHERLA,0,37,37,0,60,60,0,42,42
ANDHRA PRADESH,NALGONDA,NIDAMANUR,0,4,4,0,12,12,0,11,11
ANDHRA PRADESH,NALGONDA,PEDDAVURA,0,0,0,0,0,0,0,0,0
ANDHRA PRADESH,NALGONDA,PENPAHAD,0,0,0,0,0,0,0,0,0
ANDHRA PRADESH,NALGONDA,RAMANNAPETA,0,0,0,0,0,0,0,0,0
ANDHRA PRADESH,NALGONDA,THRIPURARAM,0,9,9,0,39,39,0,23,23
ANDHRA PRADESH,NALGONDA,VEMULAPALLE,0,0,0,0,0,0,0,0,0
ANDHRA PRADESH,NELLORE,ALLUR,0,0,0,0,0,0,0,0,0
ANDHRA PRADESH,NELLORE,ANANTHASAGARAM,0,0,0,0,0,0,0,0,0
ANDHRA PRADESH,NELLORE,ATMAKUR,0,0,0,0,0,0,0,0,0
ANDHRA PRADESH,NELLORE,BALAYAPALLE,0,0,0,0,0,0,0,0,0
ANDHRA PRADESH,NELLORE,BUTCHIREDDIPALEM,0,1,1,0,125,125,0,63,63
ANDHRA PRADESH,NELLORE,CHEJERLA,0,0,0,0,0,0,0,0,0
ANDHRA PRADESH,NELLORE,CHILLAKUR,0,115,115,0,86,86,0,86,86
ANDHRA PRADESH,NELLORE,CHITTAMUR,0,0,0,0,0,0,0,0,0
ANDHRA PRADESH,NELLORE,DAGADARTHI,0,0,0,0,0,0,0,0,0
ANDHRA PRADESH,NELLORE,DAKKILI,0,0,0,0,0,0,0,0,0
ANDHRA PRADESH,NELLORE,DUTTALUR,0,0,0,0,0,0,0,0,0
ANDHRA PRADESH,NELLORE,GUDUR,0,0,0,0,0,0,0,0,0
ANDHRA PRADESH,NELLORE,KALIGIRI,0,1,1,0,43,43,0,0,0
ANDHRA PRADESH,NELLORE,KALUVOYA,0,0,0,0,0,0,0,0,0
ANDHRA PRADESH,NELLORE,KAVALI,1,23,24,2,40,42,1,19,20
ANDHRA PRADESH,NELLORE,KONDAPURAM,0,0,0,0,0,0,0,0,0
ANDHRA PRADESH,NELLORE,MANUBOLU,0,0,0,0,0,0,0,0,0
ANDHRA PRADESH,NELLORE,MARRIPADU,0,0,0,0,0,0,0,0,0
ANDHRA PRADESH,NELLORE,NELLORE,0,1,1,0,2,2,0,2,2
ANDHRA PRADESH,NELLORE,PODLAKUR,0,0,0,0,0,0,0,0,0
ANDHRA PRADESH,NELLORE,RAPUR,0,0,0,0,0,0,0,0,0
ANDHRA PRADESH,NELLORE,SANGAM,0,77,77,0,300,300,0,300,300
ANDHRA PRADESH,NELLORE,SULLURPETA,0,0,0,0,0,0,0,0,0
ANDHRA PRADESH,NELLORE,SYDAPURAM,0,0,0,0,0,0,0,0,0
ANDHRA PRADESH,NELLORE,TADA,0,86,86,0,69,69,0,39,39
ANDHRA PRADESH,NELLORE,VARIKUNTAPADU,0,13,13,0,30,30,0,30,30
ANDHRA PRADESH,NELLORE,VENKATACHALAM,1,0,1,81,0,81,73,0,73
ANDHRA PRADESH,NELLORE,VENKATAGIRI,0,0,0,0,0,0,0,0,0
ANDHRA PRADESH,NELLORE,VIDAVALUR,0,1,1,0,2,2,0,2,2
ANDHRA PRADESH,NELLORE,VINJAMUR,0,0,0,0,0,0,0,0,0
ANDHRA PRADESH,NIZAMABAD,BANSWADA,0,1,1,0,2,2,0,2,2
ANDHRA PRADESH,NIZAMABAD,BICHKUNDA,0,0,0,0,0,0,0,0,0
ANDHRA PRADESH,NIZAMABAD,BIRKOOR,0,1,1,0,6,6,0,6,6
ANDHRA PRADESH,NIZAMABAD,BODHAN,0,0,0,0,0,0,0,0,0
ANDHRA PRADESH,NIZAMABAD,JUKKAL,0,0,0,0,0,0,0,0,0
ANDHRA PRADESH,NIZAMABAD,KOTGIRI,0,0,0,0,0,0,0,0,0
ANDHRA PRADESH,NIZAMABAD,LINGAMPET,0,0,0,0,0,0,0,0,0
ANDHRA PRADESH,NIZAMABAD,MADNUR,0,0,0,0,0,0,0,0,0
ANDHRA PRADESH,NIZAMABAD,MORTAD,0,0,0,0,0,0,0,0,0
ANDHRA PRADESH,NIZAMABAD,NAGA REDDIPET,0,45,45,0,116,116,0,103,103
ANDHRA PRADESH,NIZAMABAD,NIZAM SAGAR,0,6,6,0,19,19,0,10,10
ANDHRA PRADESH,NIZAMABAD,PITLAM,0,1,1,0,109,109,0,109,109
ANDHRA PRADESH,NIZAMABAD,YELLAREDDY,0,12,12,0,21,21,0,7,7
ANDHRA PRADESH,PRAKASAM,ADDANKI,0,1,1,0,12,12,0,4,4
ANDHRA PRADESH,PRAKASAM,ARDHAVEEDU,0,0,0,0,0,0,0,0,0
ANDHRA PRADESH,PRAKASAM,BALLIKURUVA,0,0,0,0,0,0,0,0,0
ANDHRA PRADESH,PRAKASAM,CHADRASEKARAPURAM,0,0,0,0,0,0,0,0,0
ANDHRA PRADESH,PRAKASAM,CHIMAKURTHI,0,0,0,0,0,0,0,0,0
ANDHRA PRADESH,PRAKASAM,CHINAGANJAM,0,0,0,0,0,0,0,0,0
ANDHRA PRADESH,PRAKASAM,CHIRALA,0,0,0,0,0,0,0,0,0
ANDHRA PRADESH,PRAKASAM,INKOLLU,0,0,0,0,0,0,0,0,0
ANDHRA PRADESH,PRAKASAM,JANAKAVARAMPANGULURU,0,0,0,0,0,0,0,0,0
ANDHRA PRADESH,PRAKASAM,KANDUKUR,0,0,0,0,0,0,0,0,0
ANDHRA PRADESH,PRAKASAM,KANIGIRI,0,0,0,0,0,0,0,0,0
ANDHRA PRADESH,PRAKASAM,KARAMCHEDU,0,0,0,0,0,0,0,0,0
ANDHRA PRADESH,PRAKASAM,KONAKANAMITLA,0,0,0,0,0,0,0,0,0
ANDHRA PRADESH,PRAKASAM,KONDAPI,0,0,0,0,0,0,0,0,0
