-----
{
 "description": "The table refers to District wise Distribution of Deep Tubewells in use according to Utilization of Potential Created. The report has been sourced from 3rd census of minor irrigation scheme(2000-01) from Ministry of Water Resources.", 
 "file_name": "dptbwlstate3.14.csv", 
 "title": "Download CSV for Districtwise Distribution of Deep Tubewells in use according to Utilization of Potential Created", 
 "url": "http://data.gov.in/sites/default/files/dptbwlstate3.14.csv"
}
-----
"State","District","No constraints in utilisation","Constraints in utilisation - Inadequate power supply","Constraints in utilisation - Mechanical break down","Constraints in utilisation - Less water discharge","Constraints in utilisation - Other reason","Total - Constraints in utilisation","Total in use"
"MADHYA PRADESH","BALAGHAT",43,0,0,1,0,1,44
"MADHYA PRADESH","BARWANI",0,62,0,1340,0,1402,1402
"MADHYA PRADESH","BETUL",0,21,7,700,931,1659,1659
"MADHYA PRADESH","BHIND",0,173,36,246,24,479,479
"MADHYA PRADESH","BHOPAL",25,83,2,6,124,215,240
"MADHYA PRADESH","CHHATARPUR",107,0,0,0,0,0,107
"MADHYA PRADESH","DAMOH",424,15,0,0,0,15,439
"MADHYA PRADESH","DATIA",60,5,20,197,14,236,296
"MADHYA PRADESH","DEWAS",106,29,2,1336,6,1373,1479
"MADHYA PRADESH","DHAR",1,13,0,546,2,561,562
"MADHYA PRADESH","GUNA",2300,15,3,26,0,44,2344
"MADHYA PRADESH","GWALIOR",24,0,0,2,0,2,26
"MADHYA PRADESH","HARDA",2,0,0,0,0,0,2
"MADHYA PRADESH","HOSHANGABAD",359,60,0,6,90,156,515
"MADHYA PRADESH","INDORE",13,0,1,1214,47,1262,1275
"MADHYA PRADESH","JABALPUR",93,10,13,3,48,74,167
"MADHYA PRADESH","JHABUA",1,29,9,418,31,487,488
"MADHYA PRADESH","KATNI",73,1,0,32,7,40,113
"MADHYA PRADESH","KHANDWA",498,0,0,773,0,773,1271
"MADHYA PRADESH","KHARGONE",269,18,3,2414,19,2454,2723
"MADHYA PRADESH","MANDSAUR",0,1,0,1007,78,1086,1086
"MADHYA PRADESH","MORENA",0,0,0,0,0,0,0
"MADHYA PRADESH","NARSINGHPUR",160,3,1,0,8,12,172
"MADHYA PRADESH","NEEMUCH",555,5,5,2069,101,2180,2735
"MADHYA PRADESH","PANNA",295,2,0,123,0,125,420
"MADHYA PRADESH","RAISEN",39,0,0,108,1,109,148
"MADHYA PRADESH","RAJGARH",1,76,1,367,20,464,465
"MADHYA PRADESH","RATLAM",56,40,7,3457,120,3624,3680
"MADHYA PRADESH","REWA",148,287,15,51,481,834,982
"MADHYA PRADESH","SAGAR",287,0,0,9,0,9,296
"MADHYA PRADESH","SATNA",321,447,190,529,183,1349,1670
"MADHYA PRADESH","SEHORE",0,0,0,0,17,17,17
"MADHYA PRADESH","SEONI",34,4,0,7,1,12,46
"MADHYA PRADESH","SHAHDOL",51,20,1,20,17,58,109
"MADHYA PRADESH","SHAJAPUR",0,3,0,306,10,319,319
"MADHYA PRADESH","SHEOPUR",813,7,0,1,79,87,900
"MADHYA PRADESH","SHIVPURI",668,110,2,354,155,621,1289
"MADHYA PRADESH","SIDHI",34,15,4,6,4,29,63
"MADHYA PRADESH","TIKAMGARH",60,0,0,25,0,25,85
"MADHYA PRADESH","UJJAIN",180,8,0,63,0,71,251
"MADHYA PRADESH","VIDISHA",41,0,0,79,0,79,120
"MAHARASHTRA","AHMEDNAGAR",1302,204,1,1301,393,1899,3201
"MAHARASHTRA","AKOLA",0,1,0,186,0,187,187
"MAHARASHTRA","AMRAVATI",55,18,0,473,16,507,562
"MAHARASHTRA","AURANGABAD",0,5,0,145,0,150,150
"MAHARASHTRA","BEED",167,871,5,587,42,1505,1672
"MAHARASHTRA","BHANDARA",11,0,0,0,24,24,35
"MAHARASHTRA","BULDANA",17,0,0,140,6,146,163
"MAHARASHTRA","CHANDRAPUR",1,0,0,43,0,43,44
"MAHARASHTRA","DHULE",773,3,0,1143,143,1289,2062
"MAHARASHTRA","GADCHIROLI",14,0,0,0,1,1,15
"MAHARASHTRA","GONDIYA",1,0,0,1,5,6,7
"MAHARASHTRA","HINGOLI",26,1,0,295,0,296,322
"MAHARASHTRA","JALGAON",4481,619,4,1195,7,1825,6306
"MAHARASHTRA","JALNA",0,11,0,107,0,118,118
"MAHARASHTRA","KOLHAPUR",1232,244,3,492,68,807,2039
"MAHARASHTRA","LATUR",1509,5,3,8893,9,8910,10419
"MAHARASHTRA","NAGPUR",4,4,0,29,0,33,37
"MAHARASHTRA","NANDED",104,339,6,719,117,1181,1285
"MAHARASHTRA","NANDURBAR",755,102,0,2557,5,2664,3419
"MAHARASHTRA","NASHIK",822,3,0,2773,64,2840,3662
"MAHARASHTRA","OSMANABAD",3262,439,4,6154,61,6658,9920
"MAHARASHTRA","PARBHANI",7,69,0,25,1,95,102
"MAHARASHTRA","PUNE",1038,24,1,314,25,364,1402
"MAHARASHTRA","RAIGHAR",114,0,0,3,1,4,118
"MAHARASHTRA","SANGLI",1288,208,11,7374,800,8393,9681
"MAHARASHTRA","SATARA",0,21,0,506,46,573,573
"MAHARASHTRA","SINDHUDURGA",3,0,0,0,0,0,3
"MAHARASHTRA","SOLAPUR",4064,124,16,4375,136,4651,8715
"MAHARASHTRA","THANE",10,0,0,0,9,9,19
"MAHARASHTRA","WARDHA",1,0,0,46,0,46,47
"MAHARASHTRA","WASHIM",1,4,0,37,3,44,45
"MAHARASHTRA","YAVATMAL",296,33,0,45,21,99,395
"MEGHALAYA","WEST GARO HILLS",0,0,1,2,2,5,5
"NAGALAND","DIMAPUR",0,0,0,0,0,0,0
"ORISSA","ANGUL",0,1,0,1,0,2,2
"ORISSA","BALASORE",10,22,15,17,410,464,474
"ORISSA","BARGARH",15,16,0,19,6,41,56
"ORISSA","BHADRAK",8,4,1,9,120,134,142
"ORISSA","BOLANGIR",13,0,0,0,13,13,26
"ORISSA","CUTTACK",10,10,4,9,82,105,115
"ORISSA","DEOGARH",0,0,1,1,1,3,3
"ORISSA","DHENKANAL",3,0,0,0,0,0,3
"ORISSA","GAJAPATI",1,0,0,0,0,0,1
"ORISSA","GANJAM",17,4,0,15,17,36,53
"ORISSA","JAGATSINGHPUR",16,2,2,1,36,41,57
"ORISSA","JAJAPUR",57,33,16,11,97,157,214
"ORISSA","JHARSUGUDA",9,0,0,5,117,122,131
"ORISSA","KALAHANDI",4,2,1,0,2,5,9
"ORISSA","KENDRAPARA",3,3,2,0,6,11,14
"ORISSA","KEONJHAR",5,0,0,3,4,7,12
"ORISSA","KHURDA",2,3,2,4,11,20,22
"ORISSA","KORAPUT",1,0,0,1,0,1,2
"ORISSA","MALKANAGIRI",1,0,0,2,2,4,5
"ORISSA","MAYURBHANJA",56,8,18,22,102,150,206
"ORISSA","NAWARANGAPUR",1,0,0,1,2,3,4
"ORISSA","NAYAGARH",0,1,0,1,5,7,7
"ORISSA","NUAPADA",2,1,0,1,0,2,4
"ORISSA","PURI",31,5,0,0,25,30,61
"ORISSA","RAYAGADA",5,0,1,0,6,7,12
"ORISSA","SAMBALPUR",11,2,0,7,13,22,33
"ORISSA","SONEPUR",3,0,0,0,0,0,3
"ORISSA","SUNDARGARH",14,2,0,2,20,24,38
"PONDICHERRY","KARAIKAL",19,0,0,0,0,0,19
"PONDICHERRY","PONDICHERRY",301,0,1,0,0,1,302
"PUNJAB","AMRITSER",2,2,0,0,0,2,4
"PUNJAB","GURDASPUR",1979,25,1,0,0,26,2005
"PUNJAB","HOSHIARPUR",1766,0,3,6,14,23,1789
"PUNJAB","KAPURTHALA",11,2,1,0,0,3,14
"PUNJAB","LUDHIANA",323,2,0,0,0,2,325
"PUNJAB","MOGA",0,63,28,0,0,91,91
"PUNJAB","NAWANSHAHAR",428,0,0,0,0,0,428
"PUNJAB","PATIALA",2153,2,0,0,2,4,2157
"PUNJAB","ROPAR",48,776,17,1,30,824,872
"PUNJAB","SANGRUR",381,1758,2,3,0,1763,2144
"RAJASTHAN","AJMER",5,0,1,56,4,61,66
"RAJASTHAN","ALWAR",25,0,0,0,1,1,26
"RAJASTHAN","BANSWARA",169,0,0,14,0,14,183
"RAJASTHAN","BARAN",6431,1820,37,753,203,2813,9244
"RAJASTHAN","BARMER",65,272,2,73,35,382,447
"RAJASTHAN","BHARATPUR",819,23,17,99,17,156,975
"RAJASTHAN","BHILWARA",45,35,0,152,4,191,236
"RAJASTHAN","BIKANER",816,1454,20,18,122,1614,2430
"RAJASTHAN","BUNDI",533,256,14,161,173,604,1137
"RAJASTHAN","CHITTORGARH",947,677,35,5028,229,5969,6916
"RAJASTHAN","CHURU",320,790,11,35,18,854,1174
"RAJASTHAN","DAUSA",15,0,0,0,0,0,15
"RAJASTHAN","DUNGARPUR",0,0,0,73,0,73,73
"RAJASTHAN","JAIPUR",76,43,0,22,0,65,141
"RAJASTHAN","JAISALMER",254,491,13,65,65,634,888
"RAJASTHAN","JALORE",255,355,16,326,61,758,1013
"RAJASTHAN","JHALAWAR",517,0,0,28,0,28,545
"RAJASTHAN","JHUNJHUNU",6,0,0,0,0,0,6
"RAJASTHAN","JODHPUR",4336,6084,57,2048,887,9076,13412
"RAJASTHAN","KAROLI",167,242,0,1,8,251,418
"RAJASTHAN","KOTA",1585,6,0,47,13,66,1651
"RAJASTHAN","NAGAUR",2822,5235,180,305,413,6133,8955
"RAJASTHAN","PALI",55,195,3,286,20,504,559
"RAJASTHAN","RAJSAMAND",1,7,0,85,1,93,94
"RAJASTHAN","SAWAI MADHOPUR",853,74,12,35,37,158,1011
"RAJASTHAN","SIKAR",40,44,1,2,8,55,95
"RAJASTHAN","SIROHI",29,5,0,35,0,40,69
"RAJASTHAN","TONK",249,6,0,0,0,6,255
"RAJASTHAN","UDAIPUR",19,0,2,263,15,280,299
"TAMIL NADU","COIMBATORE",1886,49,197,6401,3911,10558,12444
"TAMIL NADU","CUDDALORE",0,345,56,54,3127,3582,3582
"TAMIL NADU","DHARMAPURI",1,85,28,592,1178,1883,1884
"TAMIL NADU","DINDIGUL",0,56,32,1832,39,1959,1959
"TAMIL NADU","ERODE",1390,87,37,2298,251,2673,4063
"TAMIL NADU","KANCHEEPURAM",298,65,9,86,24,184,482
"TAMIL NADU","KANYAKUMARI",292,1,19,0,0,20,312
"TAMIL NADU","KARUR",4,4,11,872,35,922,926
"TAMIL NADU","MADURAI",0,5,9,128,226,368,368
"TAMIL NADU","NAMAKKAL",0,20,1,1742,1730,3493,3493
"TAMIL NADU","NILGIRIS",1,0,0,0,0,0,1
"TAMIL NADU","PERAMBALUR",7,211,34,201,1912,2358,2365
"TAMIL NADU","PUDUKKOTTAI",4520,1280,152,857,376,2665,7185
"TAMIL NADU","RAMANATHAPURAM",349,152,1,60,15,228,577
"TAMIL NADU","SALEM",0,21,6,4026,1189,5242,5242
"TAMIL NADU","SIVAGANGA",284,55,1,113,19,188,472
"TAMIL NADU","THANJAVUR",8,541,147,85,13371,14144,14152
"TAMIL NADU","THENI",0,236,9,2252,26,2523,2523
"TAMIL NADU","THIRUVALLUR",0,6,0,109,31,146,146
"TAMIL NADU","THIRUVARUR",9,387,1,19,1820,2227,2236
"TAMIL NADU","TIRUCHIRAPPALLI",23,0,1,241,8,250,273
"TAMIL NADU","TIRUNELVELI",0,27,1,310,117,455,455
"TAMIL NADU","TIRUVANNAMALAI",12,0,0,5,7,12,24
"TAMIL NADU","TUTICORIN DISTRICT",0,2,0,50,37,89,89
"TAMIL NADU","VELLORE",75,108,2,80,39,229,304
"TAMIL NADU","VILLUPPURAM",722,61,3,335,4,403,1125
"TAMIL NADU","VIRUDHUNAGAR",7,4,0,90,106,200,207
"TRIPURA","DHALAI",3,0,0,0,0,0,3
"TRIPURA","NORTH TRIPURA",4,1,2,1,4,8,12
"TRIPURA","SOUTH TRIPURA",2,6,7,8,7,28,30
"TRIPURA","WEST TRIPURA",26,28,13,28,11,80,106
"UTTAR PRADESH","AGRA",0,306,69,131,210,716,716
"UTTAR PRADESH","ALIGARH",337,207,17,3,16,243,580
"UTTAR PRADESH","ALLAHABAD",325,570,29,22,152,773,1098
"UTTAR PRADESH","AMBEDAKAR NAGAR",302,18,3,0,60,81,383
"UTTAR PRADESH","AURAIYA",0,0,189,283,0,472,472
"UTTAR PRADESH","AZAMGARH",8,138,36,16,81,271,279
"UTTAR PRADESH","BAGHPAT",0,327,1,3,13,344,344
"UTTAR PRADESH","BAHARAICH",0,7,2,2,384,395,395
"UTTAR PRADESH","BALLIA",289,168,46,27,140,381,670
"UTTAR PRADESH","BALRAMPUR",0,186,4,57,18,265,265
"UTTAR PRADESH","BANDA",0,439,293,21,729,1482,1482
"UTTAR PRADESH","BARABANKI",31,98,9,13,43,163,194
"UTTAR PRADESH","BAREILLY",214,199,46,96,129,470,684
"UTTAR PRADESH","BASTI",0,97,69,2,313,481,481
"UTTAR PRADESH","BIJNOR",0,0,632,0,0,632,632
"UTTAR PRADESH","BUDAUN",266,469,61,25,58,613,879
"UTTAR PRADESH","BULAND SAHAR",0,178,22,57,60,317,317
"UTTAR PRADESH","CHANDAULI",1,104,52,5,56,217,218
"UTTAR PRADESH","CHITRAKOOT",0,74,11,54,4,143,143
"UTTAR PRADESH","DEORIA",0,297,49,4,465,815,815
"UTTAR PRADESH","ETAH",0,0,646,0,0,646,646
"UTTAR PRADESH","ETAWAH",0,0,126,391,0,517,517
"UTTAR PRADESH","FAIZABAD",426,26,4,0,85,115,541
"UTTAR PRADESH","FARRUKHABAD",12,122,20,23,97,262,274
"UTTAR PRADESH","FATEHPUR",183,261,11,22,30,324,507
"UTTAR PRADESH","FIROZABAD",0,110,10,60,59,239,239
"UTTAR PRADESH","GAUTAM BUDHA NAGAR",0,36,39,8,44,127,127
"UTTAR PRADESH","GHAZIABAD",0,133,11,2,48,194,194
"UTTAR PRADESH","GHAZIPUR",33,362,64,48,224,698,731
"UTTAR PRADESH","GONDA",0,45,16,5,206,272,272
"UTTAR PRADESH","GORAKHPUR",0,305,16,1,617,939,939
"UTTAR PRADESH","HAMIRPUR",0,447,79,24,198,748,748
"UTTAR PRADESH","HARDOI",0,0,551,0,0,551,551
"UTTAR PRADESH","HATHRAS",120,0,0,0,0,0,120
"UTTAR PRADESH","JALAUN",0,1085,26,3,461,1575,1575
"UTTAR PRADESH","JAUNPUR",0,210,23,0,252,485,485
"UTTAR PRADESH","JHANSI",0,106,11,79,95,291,291
"UTTAR PRADESH","JYOTIBA PHULENAGAR",0,237,20,6,103,366,366
"UTTAR PRADESH","KANNAUJ",12,64,17,14,89,184,196
"UTTAR PRADESH","KANPUR DEHAT",0,37,0,1147,0,1184,1184
"UTTAR PRADESH","KANPUR NAGAR",0,850,5,17,20,892,892
"UTTAR PRADESH","KAUSHAMBI",3,110,22,7,113,252,255
"UTTAR PRADESH","KHERI",171,264,57,37,193,551,722
"UTTAR PRADESH","KUSHINAGAR",0,12,4,5,120,141,141
"UTTAR PRADESH","LALITPUR",0,62,2,0,16,80,80
"UTTAR PRADESH","LUCKNOW",0,93,15,2,221,331,331
"UTTAR PRADESH","MAHARAJ GANJ",129,14,28,0,9,51,180
"UTTAR PRADESH","MAHOBA",0,8,0,8,12,28,28
"UTTAR PRADESH","MAINPURI",0,65,19,120,96,300,300
"UTTAR PRADESH","MATHURA",0,0,0,0,38,38,38
"UTTAR PRADESH","MAU",12,107,17,23,97,244,256
"UTTAR PRADESH","MEERUT",0,283,17,0,37,337,337
"UTTAR PRADESH","MIRZAPUR",34,275,35,27,90,427,461
"UTTAR PRADESH","MORADABAD",0,505,565,24,81,1175,1175
"UTTAR PRADESH","MUZZAFARNAGAR",0,381,5,2,99,487,487
"UTTAR PRADESH","PILIBHIT",0,0,0,0,126,126,126
"UTTAR PRADESH","PRATAPGARH",76,1,0,0,16,17,93
"UTTAR PRADESH","RAEBARELI",19,185,32,24,112,353,372
"UTTAR PRADESH","RAMPUR",0,263,395,6,73,737,737
"UTTAR PRADESH","SAHARANPUR",2,108,18,9,442,577,579
"UTTAR PRADESH","SANT KABIR NAGAR",2,40,156,82,63,341,343
"UTTAR PRADESH","SANT RAVI DAS NAGAR",0,394,15,6,55,470,470
