-----
{
 "description": "The table refers to district wise distribution of surface flow schemes according to the farmers holding size. It has been sourced from 2nd census of minor irrigation scheme(1993-94) from Ministry of Water Resources.", 
 "file_name": "Statetab4.3.csv", 
 "title": "Download CSV for Districtwise Distribution of Surface Flow Schemes according to the holding size for 2nd census of Minor Irrigation Schemes (1993-94)", 
 "url": "http://data.gov.in/sites/default/files/Statetab4.3.csv"
}
-----
State,District,Marginal (0-1 ha),Small (1-2 ha),Medium (2-10 ha),Big ( > 10 ha),Total
KARNATAKA,UTTARA KANNADA,713,374,725,389,2201
KERALA,ALAPUZHA,47,4,10,12,73
KERALA,ERANAKULAM,15,1,0,6,22
KERALA,IDUKKI,16,16,20,8,60
KERALA,KANNUR,13,45,42,57,157
KERALA,KASARAGODE,38,1,8,5,52
KERALA,KOLLAM,1,0,10,3,14
KERALA,KOTTAYAM,35,10,64,115,224
KERALA,KOZHIKODE,164,67,28,14,273
KERALA,MALAPPURAM,67,25,25,29,146
KERALA,PALAKKAD,298,422,812,63,1595
KERALA,PATHANAMTHITTA,13,2,7,14,36
KERALA,THIRUVANANTHAPURAM,1455,43,51,164,1713
KERALA,THRISSUR,116,46,40,155,357
KERALA,WAYANAD,31,9,9,9,58
MADHYA PRADESH,BALAGHAT,1607,1699,1259,449,5014
MADHYA PRADESH,BASTAR,59,75,265,61,460
MADHYA PRADESH,BETUL,127,181,439,62,809
MADHYA PRADESH,BHIND,21,19,47,2,89
MADHYA PRADESH,BHOPAL,4,6,27,3,40
MADHYA PRADESH,BILASPUR,1259,1081,1474,184,3998
MADHYA PRADESH,CHHATARPUR,175,143,167,59,544
MADHYA PRADESH,CHHINDWARA,39,209,235,40,523
MADHYA PRADESH,DAMOH,412,344,285,22,1063
MADHYA PRADESH,DATIA,0,0,14,0,14
MADHYA PRADESH,DEWAS,20,41,212,56,329
MADHYA PRADESH,DHAR,68,77,314,49,508
MADHYA PRADESH,DURG,172,54,77,34,337
MADHYA PRADESH,GUNA,231,291,615,96,1233
MADHYA PRADESH,GWALIOR,15,9,19,2,45
MADHYA PRADESH,HOSHANGABAD,0,0,1,0,1
MADHYA PRADESH,INDORE,196,148,166,26,536
MADHYA PRADESH,JABALPUR,41,36,53,30,160
MADHYA PRADESH,JHABUA,53,82,124,1843,2102
MADHYA PRADESH,KHANDWA,15,37,61,3,116
MADHYA PRADESH,KHARGONE,382,689,1829,286,3186
MADHYA PRADESH,MANDLA,20,32,54,5,111
MADHYA PRADESH,MANDSAUR,202,124,166,302,794
MADHYA PRADESH,MORENA,68,42,53,4,167
MADHYA PRADESH,NARSIMHAPUR,21,43,90,17,171
MADHYA PRADESH,PANNA,13,3,9,3,28
MADHYA PRADESH,RAIGARH,225,454,606,169,1454
MADHYA PRADESH,RAIPUR,368,503,489,69,1429
MADHYA PRADESH,RAISEN,12,13,43,13,81
MADHYA PRADESH,RAJGARH,4,2,53,5,64
MADHYA PRADESH,RAJNANDGAON,22,36,26,9,93
MADHYA PRADESH,RATLAM,113,112,299,131,655
MADHYA PRADESH,REWA,48,85,244,75,452
MADHYA PRADESH,SAGAR,220,289,465,33,1007
MADHYA PRADESH,SATNA,76,116,151,36,379
MADHYA PRADESH,SEHORE,2,5,23,3,33
MADHYA PRADESH,SEONI,1,30,61,16,108
MADHYA PRADESH,SHAHDOL,93,85,265,73,516
MADHYA PRADESH,SHAJAPUR,0,0,0,2590,2590
MADHYA PRADESH,SHIVPURI,78,74,146,20,318
MADHYA PRADESH,SIDHI,3,13,19,10,45
MADHYA PRADESH,SURGUJA,603,1306,1610,130,3649
MADHYA PRADESH,TIKAMGARH,254,192,176,25,647
MADHYA PRADESH,UJJAIN,0,0,0,483,483
MADHYA PRADESH,VIDISHA,2,2,5,0,9
MAHARASHTRA,,NA,NA,NA,NA,NA
MANIPUR,BISHNUPUR,0,0,0,0,0
MANIPUR,CHANDEL,0,0,0,0,0
MANIPUR,CHURACHANDPUR,0,0,0,0,0
MANIPUR,IMPHAL,0,0,0,0,0
MANIPUR,SENAPATI,0,0,0,0,0
MANIPUR,TAMENGLONG,0,0,0,0,0
MANIPUR,THOUBAL,0,0,0,0,0
MANIPUR,UKHRUL,0,0,0,0,0
MEGHALAYA,EAST GARO HILLS,197,103,290,96,686
MEGHALAYA,EAST KHASI HILLS,1400,1263,320,24,3007
MEGHALAYA,JAINTIA HILLS,1463,791,325,37,2616
MEGHALAYA,RI BHOI DISTRICT,2469,1515,257,5,4246
MEGHALAYA,SOUTH GARO HILLS,18,19,5,2,44
MEGHALAYA,WEST GARO HILLS,141,148,93,62,444
MEGHALAYA,WEST KHASI HILLS,1633,593,308,27,2561
MIZORAM,AIZAWL,1677,1935,332,3,3947
MIZORAM,CHHIMTUIPUI,6,167,21,0,194
MIZORAM,LUNGLEI,444,180,8,1,633
NAGALAND,KOHIMA,264,469,1643,382,2758
NAGALAND,MOKOKCHUNG,569,566,591,88,1814
NAGALAND,MON,366,145,267,7,785
NAGALAND,PHEK,282,741,2886,139,4048
NAGALAND,TUENSANG,391,873,1146,28,2438
NAGALAND,WOKHA,393,464,396,7,1260
NAGALAND,ZUNHEBOTO,380,435,139,0,954
ORISSA,ANGUL,13,3,9,6,31
ORISSA,BALASORE,0,3,0,3,6
ORISSA,BARAGARH,16,134,562,239,951
ORISSA,BHADRAK,1,4,15,22,42
ORISSA,BOLANGIR,35,77,271,91,474
ORISSA,BOUDH,2,20,77,21,120
ORISSA,CUTTACK,560,270,138,47,1015
ORISSA,DEOGARH,2,20,11,9,42
ORISSA,DHENKANAL,7,84,229,135,455
ORISSA,GAJAPATI,22,7,15,2,46
ORISSA,GANJAM,176,84,145,71,476
ORISSA,JAGATSINGHPUR,1,0,1,0,2
ORISSA,JAJPUR,8,24,22,15,69
ORISSA,JHARSUGUDA,0,2,2,17,21
ORISSA,KALAHANDI,18,18,56,22,114
ORISSA,KENDRAPARA,35,14,6,2,57
ORISSA,KEONJHAR,53,35,46,2,136
ORISSA,KHURDA,28,50,43,14,135
ORISSA,KORAPUT,153,483,358,72,1066
ORISSA,MALKANGIRI,4,7,22,2,35
ORISSA,MAYURBHANJ,41,89,161,58,349
ORISSA,NAYAGARH,11,18,7,1,37
ORISSA,NOWRANGPUR,4,10,15,2,31
ORISSA,NUAPADA,7,10,104,29,150
ORISSA,PHULBANI,8,6,18,8,40
ORISSA,PURI,269,269,239,80,857
ORISSA,RAYAGADA,181,157,406,155,899
ORISSA,SAMBALPUR,4,11,17,24,56
ORISSA,SONEPUR,2,0,2,3,7
ORISSA,SUNDARGARH,9,7,16,1,33
PUNJAB,AMRITSAR,0,0,12,0,12
PUNJAB,BATHINDA,0,0,2,1,3
PUNJAB,FARIDKOT,NA,NA,NA,NA,NA
PUNJAB,FATEHGARH SAHIB,1,2,0,0,3
PUNJAB,FEROZEPUR,NA,NA,NA,NA,NA
PUNJAB,GURDASPUR,11,8,17,5,41
PUNJAB,HOSHIARPUR,26,46,50,10,132
PUNJAB,JALANDHAR,NA,NA,NA,NA,NA
PUNJAB,KAPURTHALA,NA,NA,NA,NA,NA
PUNJAB,LUDHIANA,NA,NA,NA,NA,NA
PUNJAB,MANSA,NA,NA,NA,NA,NA
PUNJAB,PATIALA,NA,NA,NA,NA,NA
PUNJAB,ROPAR,12,29,65,2,108
PUNJAB,SANGRUR,0,17,47,15,79
RAJASTHAN,AJMER,21,28,145,91,285
RAJASTHAN,ALWAR,NA,NA,NA,NA,NA
RAJASTHAN,BANSWARA,29,15,22,3,69
RAJASTHAN,BARAN,0,0,18,5,23
RAJASTHAN,BARMER,NA,NA,NA,NA,NA
RAJASTHAN,BHARATPUR,0,0,0,0,0
RAJASTHAN,BHILWARA,33,47,120,54,254
RAJASTHAN,BIKANER,1,0,0,0,1
RAJASTHAN,BUNDI,0,0,1,0,1
RAJASTHAN,CHITTORGARH,1,1,10,4,16
RAJASTHAN,CHURU,1,0,0,0,1
RAJASTHAN,DAUSA,8,0,0,1,9
RAJASTHAN,DHOLPUR,0,0,0,0,0
RAJASTHAN,DUNGARPUR,0,0,0,7,7
RAJASTHAN,GANGANAGAR,NA,NA,NA,NA,NA
RAJASTHAN,HANUMANGARH,NA,NA,NA,NA,NA
RAJASTHAN,JAIPUR,0,0,1,1,2
RAJASTHAN,JAISALMER,NA,NA,NA,NA,NA
RAJASTHAN,JALORE,0,0,0,0,0
RAJASTHAN,JHALAWAR,0,4,1,0,5
RAJASTHAN,JHUNJHNU,0,0,0,0,0
RAJASTHAN,JODHPUR,0,0,2,0,2
RAJASTHAN,KOTA,0,1,7,1,9
RAJASTHAN,NAGAUR,0,0,0,0,0
RAJASTHAN,PALI,0,1,0,0,1
RAJASTHAN,RAJSAMAND,0,5,3,1,9
RAJASTHAN,SAWAI-MADHOPUR,0,2,10,0,12
RAJASTHAN,SIKAR,0,1,7,10,18
RAJASTHAN,SIROHI,0,0,4,5,9
RAJASTHAN,TONK,9,16,216,24,265
RAJASTHAN,UDAIPUR,1,7,7,3,18
SIKKIM,EAST SIKKIM,0,0,0,14,14
SIKKIM,NORTH SIKKIM,0,0,0,0,0
SIKKIM,SOUTH SIKKIM,0,0,0,158,158
SIKKIM,WEST SIKKIM,0,0,0,63,63
TAMIL NADU,COIMBATORE,90,81,119,8,298
TAMIL NADU,CUDDALORE,4247,636,551,50,5484
TAMIL NADU,DHARMAPURI,0,0,0,20965,20965
TAMIL NADU,DINDIGUL,378,95,0,0,473
TAMIL NADU,ERODE,2012,461,249,14,2736
TAMIL NADU,KANCHIPURAM,345,13,35,91,484
TAMIL NADU,KANNIYAKUMARI,0,0,0,8,8
TAMIL NADU,KARUR,27,17,27,11,82
TAMIL NADU,MADRAS,NA,NA,NA,NA,NA
TAMIL NADU,MADURAI,1,0,0,2,3
TAMIL NADU,NAGAPATTINAM,16,6,1,1,24
TAMIL NADU,NAMAKKAL,3113,79,97,1,3290
TAMIL NADU,PERAMBALUR,220,73,55,7,355
TAMIL NADU,PUDUKOTTAI,4,3,5,27,39
TAMIL NADU,RAMNATHAPURAM,1,0,0,0,1
TAMIL NADU,SALEM,0,0,0,0,0
TAMIL NADU,SIVAGANGA,2144,405,961,2160,5670
TAMIL NADU,THANJAVUR,3,1,1,7,12
TAMIL NADU,THE NILGIRIS,NA,NA,NA,NA,NA
TAMIL NADU,THENI,3315,160,153,39,3667
TAMIL NADU,THOOTHUGUDI,97,11,43,17,168
TAMIL NADU,TIRUNELVELI,130,7,19,11,167
TAMIL NADU,TIRUVALLUR,116,79,211,19,425
TAMIL NADU,TIRUVANNAMALAI,5916,798,665,61,7440
TAMIL NADU,TIRUVARUR,0,0,0,0,0
TAMIL NADU,TRICHIRAPPALLI,395,72,109,12,588
TAMIL NADU,VELLORE,38,5,1,0,44
TAMIL NADU,VILLUPURAM,3441,208,133,54,3836
TAMIL NADU,VIRUDHUNAGAR,59,1,13,12,85
TRIPURA,DHALAI,8,18,29,3,58
TRIPURA,NORTH,80,26,16,3,125
TRIPURA,SOUTH,30,17,21,21,89
TRIPURA,WEST,3,14,8,1,26
UTTAR PRADESH,AGRA,0,1,1,0,2
UTTAR PRADESH,ALIGARH,NA,NA,NA,NA,NA
UTTAR PRADESH,ALLAHABAD,60,11,8,0,79
UTTAR PRADESH,ALMORA,1350,329,123,27,1829
UTTAR PRADESH,AMBEDKAR NAGAR,NA,NA,NA,NA,NA
UTTAR PRADESH,AZAMGARH,8,6,2,0,16
UTTAR PRADESH,BADAUN,NA,NA,NA,NA,NA
UTTAR PRADESH,BAHRAICH,2,2,1,0,5
UTTAR PRADESH,BALLIA,3,2,0,0,5
UTTAR PRADESH,BANDA,5,7,45,1,58
UTTAR PRADESH,BARABANKI,NA,NA,NA,NA,NA
UTTAR PRADESH,BAREILLY,NA,NA,NA,NA,NA
UTTAR PRADESH,BASTI,NA,NA,NA,NA,NA
UTTAR PRADESH,BIJNOR,NA,NA,NA,NA,NA
UTTAR PRADESH,BULANDSHAHR,NA,NA,NA,NA,NA
UTTAR PRADESH,CHAMOLI(GOPESHWAR),1023,186,89,18,1316
UTTAR PRADESH,DEHRADUN,184,80,69,4,337
UTTAR PRADESH,DEORIA,1,0,0,0,1
UTTAR PRADESH,ETAH,NA,NA,NA,NA,NA
UTTAR PRADESH,ETAWAH,0,1,0,0,1
UTTAR PRADESH,FAIZABAD,NA,NA,NA,NA,NA
UTTAR PRADESH,FARUKHABAD,4,11,1,0,16
UTTAR PRADESH,FATEHPUR,NA,NA,NA,NA,NA
UTTAR PRADESH,FIROZABAD,NA,NA,NA,NA,NA
UTTAR PRADESH,GHAZIABAD,NA,NA,NA,NA,NA
UTTAR PRADESH,GHAZIPUR,0,1,5,0,6
UTTAR PRADESH,GONDA,23,6,0,3,32
UTTAR PRADESH,GORAKHPUR,NA,NA,NA,NA,NA
UTTAR PRADESH,HAMIRPUR,NA,NA,NA,NA,NA
UTTAR PRADESH,HARDOI,NA,NA,NA,NA,NA
UTTAR PRADESH,HARDWAR,NA,NA,NA,NA,NA
UTTAR PRADESH,JALAUN,4,24,32,7,67
UTTAR PRADESH,JAUNPUR,NA,NA,NA,NA,NA
UTTAR PRADESH,JHANSI,21,9,8,0,38
UTTAR PRADESH,KANPUR DEHAT,0,0,0,0,0
UTTAR PRADESH,KANPUR NAGAR,NA,NA,NA,NA,NA
UTTAR PRADESH,KHIRI,0,0,0,0,0
UTTAR PRADESH,KUSHI NAGAR,0,0,0,0,0
UTTAR PRADESH,LALITPUR,NA,NA,NA,NA,NA
UTTAR PRADESH,LUCKNOW,NA,NA,NA,NA,NA
UTTAR PRADESH,MAHOBA,NA,NA,NA,NA,NA
UTTAR PRADESH,MAHRAJGANJ,5,1,0,0,6
UTTAR PRADESH,MAINPURI,NA,NA,NA,NA,NA
UTTAR PRADESH,MATHURA,NA,NA,NA,NA,NA
UTTAR PRADESH,MAU,NA,NA,NA,NA,NA
UTTAR PRADESH,MEERUT,NA,NA,NA,NA,NA
UTTAR PRADESH,MIRZAPUR,353,212,267,58,890
UTTAR PRADESH,MORADABAD,NA,NA,NA,NA,NA
UTTAR PRADESH,MUZAFFER NAGAR,NA,NA,NA,NA,NA
UTTAR PRADESH,NAINITAL,1209,372,77,23,1681
UTTAR PRADESH,PAURI GARHWAL,1443,396,164,24,2027
UTTAR PRADESH,PILIBHIT,NA,NA,NA,NA,NA
UTTAR PRADESH,PITHORAGARH,332,102,100,11,545
UTTAR PRADESH,PRATAPGARH,NA,NA,NA,NA,NA
UTTAR PRADESH,RAEBARELY,NA,NA,NA,NA,NA
UTTAR PRADESH,RAMPUR,NA,NA,NA,NA,NA
UTTAR PRADESH,SAHARANPUR,NA,NA,NA,NA,NA
UTTAR PRADESH,SANT RAVIDAS NAGAR,NA,NA,NA,NA,NA
UTTAR PRADESH,SHAHJAHANPUR,NA,NA,NA,NA,NA
UTTAR PRADESH,SIDDHARTH NAGAR,NA,NA,NA,NA,NA
UTTAR PRADESH,SITAPUR,NA,NA,NA,NA,NA
UTTAR PRADESH,SONBHADRA,215,271,350,105,941
UTTAR PRADESH,SULTANPUR,NA,NA,NA,NA,NA
UTTAR PRADESH,TEHRI GARHWAL,990,161,176,39,1366
UTTAR PRADESH,UDHAMSINGH NAGAR,31,17,14,58,120
UTTAR PRADESH,UNNAO,NA,NA,NA,NA,NA
UTTAR PRADESH,UTTARKASHI,407,120,81,5,613
UTTAR PRADESH,VARANASI,22,1,0,0,23
WEST BENGAL,BANKURA,5225,5417,2404,293,13339
WEST BENGAL,BIRBHUM,1232,1644,1030,249,4155
WEST BENGAL,BURDWAN,1468,1110,732,211,3521
WEST BENGAL,COOCHBEHAR,43,8,5,150,206
WEST BENGAL,DAKSHIN DINAJPUR,1317,2170,1052,246,4785
WEST BENGAL,DARJEELING,14,1,1,3,19
WEST BENGAL,HOOGLY,194,89,42,18,343
WEST BENGAL,HOWRAH,810,115,12,116,1053
WEST BENGAL,JALPAIGURI,103,31,4,25,163
WEST BENGAL,MALDA,270,144,154,4,572
WEST BENGAL,MIDNAPORE,3228,1524,756,127,5635
WEST BENGAL,MURSHIDABAD,733,660,394,40,1827
WEST BENGAL,NADIA,NA,NA,NA,NA,NA
WEST BENGAL,NORTH 24 PARGANAS,23,2,0,2,27
WEST BENGAL,PURULIA,13727,852,597,73,15249
WEST BENGAL,SOUTH 24 PARGANAS,4970,394,177,45,5586
WEST BENGAL,UTTAR DINAJPUR,10,9,5,1,25
ANDAMAN & NICOBARS,ANDAMAN,NA,NA,NA,NA,NA
ANDAMAN & NICOBARS,NICOBARS,NA,NA,NA,NA,NA
CHANDIGARH,,NA,NA,NA,NA,NA
DADRA & NAGAR HAVELI,DADRA & NAGAR HAVELI,0,0,1,0,1
DAMAN & DIU,,NA,NA,NA,NA,NA
DELHI,CENTRAL-DELHI,NA,NA,NA,NA,NA
DELHI,EAST,NA,NA,NA,NA,NA
DELHI,NORTH-EAST,NA,NA,NA,NA,NA
DELHI,NORTH-WEST,362,449,461,19,1291
DELHI,SOUTH-EAST,NA,NA,NA,NA,NA
DELHI,SOUTH-WEST,NA,NA,NA,NA,NA
DELHI,WEST,1,0,0,0,1
LAKSHADWEEP,,NA,NA,NA,NA,NA
PONDICHERRY,KARAIKAL,11833,1247,537,11,13628
PONDICHERRY,MAHE,NA,NA,NA,NA,NA
PONDICHERRY,PONDICHERRY,2539,146,34,0,2719
PONDICHERRY,YANAM,208,57,26,0,291
