-----
{
 "description": "The table refers to district wise distribution of Deep Tubewells according to source of finance . The report has been sourced from 2nd census of minor irrigation scheme(1993-94) from ministry of water resources.", 
 "file_name": "Statedptbwltab3.6.csv", 
 "title": "Download CSV for District wise Distribution of Deep Tubewells according to source of Finance for 2nd Census of Minor Irrigation Schemes (1993-94)", 
 "url": "http://data.gov.in/sites/default/files/Statedptbwltab3.6.csv"
}
-----
"State","District","Government funds","Farmers saving","Loan and Saving","Subsidy and Bank loan","Others","Total"
"BIHAR","SAHEBGANJ",NA,NA,NA,NA,NA,NA
"BIHAR","SAMASTIPUR",12,6,0,1,0,19
"BIHAR","SARAN",12,10,1,2,2,27
"BIHAR","SHEIKHPURA",2,0,1,0,0,3
"BIHAR","SHEOHAR",2,0,0,0,0,2
"BIHAR","SINGHBHUM EAST",0,0,0,0,0,0
"BIHAR","SINGHBHUM WEST",0,0,0,0,0,0
"BIHAR","SITAMARHI",74,146,93,195,575,1083
"BIHAR","SIWAN",1,9,0,1,2,13
"BIHAR","SUPAUL",0,0,0,0,0,0
"BIHAR","VAISHALI",30,0,0,0,1,31
"GOA","NORTH GOA",1,0,0,2,0,3
"GOA","SOUTH GOA",0,1,0,0,0,1
"GUJARAT","",NA,NA,NA,NA,NA,NA
"HARYANA","AMBALA",53,902,1089,0,163,2207
"HARYANA","BHIWANI",25,0,0,0,0,25
"HARYANA","FARIDABAD",NA,NA,NA,NA,NA,NA
"HARYANA","GURGAON",30,8,40,19,32,129
"HARYANA","HISAR",NA,NA,NA,NA,NA,NA
"HARYANA","JIND",5,30,265,0,0,300
"HARYANA","KAITHAL",175,523,129,0,0,827
"HARYANA","KARNAL",509,1186,3,4,1,1703
"HARYANA","KURUKSHETRA",44,261,25,4,0,334
"HARYANA","MEHANDERGARH",9,69,13,0,0,91
"HARYANA","PANCHKULA",15,28,50,0,5,98
"HARYANA","PANIPAT",19,110,66,0,0,195
"HARYANA","RIWARI",NA,NA,NA,NA,NA,NA
"HARYANA","ROHTAK",NA,NA,NA,NA,NA,NA
"HARYANA","SIRSA",0,186,23,0,1,210
"HARYANA","SONIPAT",0,20,0,0,0,20
"HARYANA","YAMUNA NAGAR",17,97,62,0,0,176
"HIMACHAL PRADESH","Bilaspur",NA,NA,NA,NA,NA,NA
"HIMACHAL PRADESH","Chamba",NA,NA,NA,NA,NA,NA
"HIMACHAL PRADESH","Hamirpur",NA,NA,NA,NA,NA,NA
"HIMACHAL PRADESH","Kangra",0,8,0,0,0,8
"HIMACHAL PRADESH","Kinnaur",NA,NA,NA,NA,NA,NA
"HIMACHAL PRADESH","Kullu",NA,NA,NA,NA,NA,NA
"HIMACHAL PRADESH","Lahul & Spiti",NA,NA,NA,NA,NA,NA
"HIMACHAL PRADESH","Mandi",1,1,0,0,0,2
"HIMACHAL PRADESH","Shimla",NA,NA,NA,NA,NA,NA
"HIMACHAL PRADESH","Sirmaur",4,0,0,0,2,6
"HIMACHAL PRADESH","Solan",0,3,2,0,0,5
"HIMACHAL PRADESH","Una",0,0,0,1,4,5
"JAMMU & KASHMIR","Anantnagh",NA,NA,NA,NA,NA,NA
"JAMMU & KASHMIR","Baramulla",7,2,0,0,0,9
"JAMMU & KASHMIR","Budgam",NA,NA,NA,NA,NA,NA
"JAMMU & KASHMIR","Doda",NA,NA,NA,NA,NA,NA
"JAMMU & KASHMIR","Jammu",57,7,0,0,0,64
"JAMMU & KASHMIR","Kargil",NA,NA,NA,NA,NA,NA
"JAMMU & KASHMIR","Kathua",7,2,0,0,0,9
"JAMMU & KASHMIR","Kupwara",NA,NA,NA,NA,NA,NA
"JAMMU & KASHMIR","Leh",NA,NA,NA,NA,NA,NA
"JAMMU & KASHMIR","Poonch",NA,NA,NA,NA,NA,NA
"JAMMU & KASHMIR","Pulwama",NA,NA,NA,NA,NA,NA
"JAMMU & KASHMIR","Rajouri",NA,NA,NA,NA,NA,NA
"JAMMU & KASHMIR","Srinagar",12,3,0,0,0,15
"JAMMU & KASHMIR","Udhampur",NA,NA,NA,NA,NA,NA
"KARNATAKA","BANGALORE RURAL",710,6264,2442,228,717,10361
"KARNATAKA","BANGALORE URBAN",362,6339,595,73,218,7587
"KARNATAKA","BELGAUM",759,4961,5607,456,322,12105
"KARNATAKA","BELLARY",573,4492,2413,390,2244,10112
"KARNATAKA","BIDAR",498,1493,1309,364,53,3717
"KARNATAKA","BIJAPUR",840,2665,1813,163,181,5662
"KARNATAKA","CHIKKAMAGALORE",497,895,386,228,47,2053
"KARNATAKA","CHITRADURGA",811,5601,2780,175,186,9553
"KARNATAKA","DAKSHINA KANNADA",269,1169,350,70,57,1915
"KARNATAKA","DHARWAR",404,3693,5299,854,914,11164
"KARNATAKA","GULBARGA",97,113,52,11,18,291
"KARNATAKA","HASSAN",65,613,562,18,5,1263
"KARNATAKA","KODAGU",1,9,13,0,0,23
"KARNATAKA","KOLAR",1863,18344,1590,134,597,22528
"KARNATAKA","MANDYA",335,2062,612,161,163,3333
"KARNATAKA","MYSORE",786,3269,997,162,276,5490
"KARNATAKA","RAICHUR",233,1938,2202,257,39,4669
"KARNATAKA","SHIMOGA",346,3896,2031,180,158,6611
"KARNATAKA","TUMKUR",4049,20537,4575,441,1791,31393
"KARNATAKA","UTTARA KANNADA",23,117,219,41,10,410
"KERALA","ALAPUZHA",0,0,58,0,0,58
"KERALA","ERANAKULAM",3,2,0,7,0,12
"KERALA","IDUKKI",0,0,0,2,0,2
"KERALA","KANNUR",2,1,0,12,0,15
"KERALA","KASARAGODE",11,2,3,10,0,26
"KERALA","KOLLAM",3,0,4,0,0,7
"KERALA","KOTTAYAM",10,0,1,0,0,11
"KERALA","KOZHIKODE",1,0,0,1,0,2
"KERALA","MALAPPURAM",2,10,0,1,0,13
"KERALA","PALAKKAD",2,24,2,1,0,29
"KERALA","PATHANAMTHITTA",0,6,0,3,0,9
"KERALA","THIRUVANANTHAPURAM",0,1,0,4,1,6
"KERALA","THRISSUR",1,0,0,0,0,1
"KERALA","WAYANAD",NA,NA,NA,NA,NA,NA
"MADHYA PRADESH","BALAGHAT",0,1,0,0,0,1
"MADHYA PRADESH","BASTAR",1,0,1,0,1,3
"MADHYA PRADESH","BETUL",92,130,25,5,2,254
"MADHYA PRADESH","BHIND",9,23,13,2,48,95
"MADHYA PRADESH","BHOPAL",NA,NA,NA,NA,NA,NA
"MADHYA PRADESH","BILASPUR",67,252,66,40,13,438
"MADHYA PRADESH","CHHATARPUR",81,2,126,2,0,211
"MADHYA PRADESH","CHHINDWARA",1678,162,24,16,1,1881
"MADHYA PRADESH","DAMOH",36,121,31,26,6,220
"MADHYA PRADESH","DATIA",NA,NA,NA,NA,NA,NA
"MADHYA PRADESH","DEWAS",372,651,1,4,0,1028
"MADHYA PRADESH","DHAR",151,254,7,34,2,448
"MADHYA PRADESH","DURG",16,65,16,29,1,127
"MADHYA PRADESH","GUNA",62,248,16,2,133,461
"MADHYA PRADESH","GWALIOR",1,18,1,1,26,47
"MADHYA PRADESH","HOSHANGABAD",33,36,15,8,5,97
"MADHYA PRADESH","INDORE",8,918,51,4,2,983
"MADHYA PRADESH","JABALPUR",205,273,10,15,2,505
"MADHYA PRADESH","JHABUA",1,43,5,3,1,53
"MADHYA PRADESH","KHANDWA",0,591,128,217,22,958
"MADHYA PRADESH","KHARGONE",177,632,124,43,232,1208
"MADHYA PRADESH","MANDLA",2,0,0,0,0,2
"MADHYA PRADESH","MANDSAUR",109,980,4,9,57,1159
"MADHYA PRADESH","MORENA",7,196,25,11,48,287
"MADHYA PRADESH","NARSIMHAPUR",689,567,114,13,4,1387
"MADHYA PRADESH","PANNA",17,23,14,1,4,59
"MADHYA PRADESH","RAIGARH",19,297,35,9,10,370
"MADHYA PRADESH","RAIPUR",16,92,24,28,0,160
"MADHYA PRADESH","RAISEN",8,62,6,22,4,102
"MADHYA PRADESH","RAJGARH",6,83,51,14,3,157
"MADHYA PRADESH","RAJNANDGAON",19,25,9,2,9,64
"MADHYA PRADESH","RATLAM",226,1451,75,13,54,1819
"MADHYA PRADESH","REWA",12,464,41,0,0,517
"MADHYA PRADESH","SAGAR",51,39,0,4,98,192
"MADHYA PRADESH","SATNA",106,1286,285,90,22,1789
"MADHYA PRADESH","SEHORE",4,1,0,0,0,5
"MADHYA PRADESH","SEONI",1195,47,19,6,0,1267
"MADHYA PRADESH","SHAHDOL",10,163,6,8,3,190
"MADHYA PRADESH","SHAJAPUR",479,100,3,6,0,588
"MADHYA PRADESH","SHIVPURI",6,105,39,12,77,239
"MADHYA PRADESH","SIDHI",5,5,4,11,0,25
"MADHYA PRADESH","SURGUJA",187,894,20,5,29,1135
"MADHYA PRADESH","TIKAMGARH",351,1,0,4,441,797
"MADHYA PRADESH","UJJAIN",935,1038,85,21,8,2087
"MADHYA PRADESH","VIDISHA",11,115,28,28,1,183
"MAHARASHTRA","",NA,NA,NA,NA,NA,NA
"MANIPUR","BISHNUPUR",NA,NA,NA,NA,NA,NA
"MANIPUR","CHANDEL",NA,NA,NA,NA,NA,NA
"MANIPUR","CHURACHANDPUR",NA,NA,NA,NA,NA,NA
"MANIPUR","IMPHAL",NA,NA,NA,NA,NA,NA
"MANIPUR","SENAPATI",NA,NA,NA,NA,NA,NA
"MANIPUR","TAMENGLONG",NA,NA,NA,NA,NA,NA
"MANIPUR","THOUBAL",NA,NA,NA,NA,NA,NA
"MANIPUR","UKHRUL",NA,NA,NA,NA,NA,NA
"MEGHALAYA","EAST GARO HILLS",0,0,0,0,0,0
"MEGHALAYA","EAST KHASI HILLS",NA,NA,NA,NA,NA,NA
"MEGHALAYA","JAINTIA HILLS",NA,NA,NA,NA,NA,NA
"MEGHALAYA","RI BHOI DISTRICT",NA,NA,NA,NA,NA,NA
"MEGHALAYA","SOUTH GARO HILLS",NA,NA,NA,NA,NA,NA
"MEGHALAYA","WEST GARO HILLS",0,0,0,0,0,0
"MEGHALAYA","WEST KHASI HILLS",NA,NA,NA,NA,NA,NA
"MIZORAM","AIZAWL",NA,NA,NA,NA,NA,NA
"MIZORAM","CHHIMTUIPUI",NA,NA,NA,NA,NA,NA
"MIZORAM","LUNGLEI",NA,NA,NA,NA,NA,NA
"NAGALAND","KOHIMA",2,0,0,0,1,3
"NAGALAND","MOKOKCHUNG",NA,NA,NA,NA,NA,NA
"NAGALAND","MON",NA,NA,NA,NA,NA,NA
"NAGALAND","PHEK",NA,NA,NA,NA,NA,NA
"NAGALAND","TUENSANG",NA,NA,NA,NA,NA,NA
"NAGALAND","WOKHA",NA,NA,NA,NA,NA,NA
"NAGALAND","ZUNHEBOTO",NA,NA,NA,NA,NA,NA
"ORISSA","ANGUL",NA,NA,NA,NA,NA,NA
"ORISSA","BALASORE",2,3,0,2,1,8
"ORISSA","BARAGARH",1,7,5,0,1,14
"ORISSA","BHADRAK",0,0,0,0,0,0
"ORISSA","BOLANGIR",1,0,0,1,0,2
"ORISSA","BOUDH",0,1,0,0,0,1
"ORISSA","CUTTACK",1,1,7,13,4,26
"ORISSA","DEOGARH",NA,NA,NA,NA,NA,NA
"ORISSA","DHENKANAL",0,0,1,0,0,1
"ORISSA","GAJAPATI",0,0,1,1,0,2
"ORISSA","GANJAM",1,0,1,0,0,2
"ORISSA","JAGATSINGHPUR",0,0,0,0,0,0
"ORISSA","JAJPUR",1,0,0,1,1,3
"ORISSA","JHARSUGUDA",1,4,5,1,0,11
"ORISSA","KALAHANDI",2,1,0,0,0,3
"ORISSA","KENDRAPARA",9,0,0,0,0,9
"ORISSA","KEONJHAR",0,0,0,0,0,0
"ORISSA","KHURDA",1,2,1,0,1,5
"ORISSA","KORAPUT",NA,NA,NA,NA,NA,NA
"ORISSA","MALKANGIRI",NA,NA,NA,NA,NA,NA
"ORISSA","MAYURBHANJ",0,0,2,0,0,2
"ORISSA","NAYAGARH",0,0,0,0,0,0
"ORISSA","NOWRANGPUR",NA,NA,NA,NA,NA,NA
"ORISSA","NUAPADA",0,0,0,0,0,0
"ORISSA","PHULBANI",NA,NA,NA,NA,NA,NA
"ORISSA","PURI",3,8,1,6,0,18
"ORISSA","RAYAGADA",0,0,1,0,0,1
"ORISSA","SAMBALPUR",NA,NA,NA,NA,NA,NA
"ORISSA","SONEPUR",NA,NA,NA,NA,NA,NA
"ORISSA","SUNDARGARH",NA,NA,NA,NA,NA,NA
"PUNJAB","AMRITSAR",0,1,0,0,0,1
"PUNJAB","BATHINDA",0,9,0,0,0,9
"PUNJAB","FARIDKOT",NA,NA,NA,NA,NA,NA
"PUNJAB","FATEHGARH SAHIB",0,28,0,0,1,29
"PUNJAB","FEROZEPUR",NA,NA,NA,NA,NA,NA
"PUNJAB","GURDASPUR",5,14,0,0,0,19
"PUNJAB","HOSHIARPUR",322,123,13,5,7,470
"PUNJAB","JALANDHAR",NA,NA,NA,NA,NA,NA
"PUNJAB","KAPURTHALA",2,12,0,0,0,14
"PUNJAB","LUDHIANA",2,0,0,0,0,2
"PUNJAB","MANSA",0,15,0,0,0,15
"PUNJAB","PATIALA",62,338,1,2,0,403
"PUNJAB","ROPAR",20,119,4,0,0,143
"PUNJAB","SANGRUR",12,974,9,1,30,1026
"RAJASTHAN","AJMER",0,3,0,0,0,3
"RAJASTHAN","ALWAR",NA,NA,NA,NA,NA,NA
"RAJASTHAN","BANSWARA",NA,NA,NA,NA,NA,NA
"RAJASTHAN","BARAN",9,433,38,0,16,496
"RAJASTHAN","BARMER",0,5,0,0,0,5
"RAJASTHAN","BHARATPUR",72,239,27,2,13,353
"RAJASTHAN","BHILWARA",10,32,8,0,0,50
"RAJASTHAN","BIKANER",0,6,11,2,0,19
"RAJASTHAN","BUNDI",31,28,9,0,0,68
"RAJASTHAN","CHITTORGARH",111,587,65,2,20,785
"RAJASTHAN","CHURU",2,24,9,0,1,36
"RAJASTHAN","DAUSA",3,0,0,0,0,3
"RAJASTHAN","DHOLPUR",NA,NA,NA,NA,NA,NA
"RAJASTHAN","DUNGARPUR",2,30,17,0,0,49
"RAJASTHAN","GANGANAGAR",NA,NA,NA,NA,NA,NA
"RAJASTHAN","HANUMANGARH",NA,NA,NA,NA,NA,NA
"RAJASTHAN","JAIPUR",NA,NA,NA,NA,NA,NA
"RAJASTHAN","JAISALMER",0,2,0,0,0,2
"RAJASTHAN","JALORE",14,41,20,0,0,75
"RAJASTHAN","JHALAWAR",2,54,12,0,4,72
"RAJASTHAN","JHUNJHNU",NA,NA,NA,NA,NA,NA
"RAJASTHAN","JODHPUR",545,4861,566,59,40,6071
"RAJASTHAN","KOTA",42,242,33,5,6,328
"RAJASTHAN","NAGAUR",294,3005,335,27,20,3681
"RAJASTHAN","PALI",21,217,37,3,0,278
"RAJASTHAN","RAJSAMAND",2,11,0,0,0,13
"RAJASTHAN","SAWAI-MADHOPUR",0,24,1,0,0,25
"RAJASTHAN","SIKAR",NA,NA,NA,NA,NA,NA
"RAJASTHAN","SIROHI",NA,NA,NA,NA,NA,NA
"RAJASTHAN","TONK",2,0,0,0,0,2
"RAJASTHAN","UDAIPUR",3,12,2,0,1,18
"SIKKIM","EAST SIKKIM",NA,NA,NA,NA,NA,NA
"SIKKIM","NORTH SIKKIM",NA,NA,NA,NA,NA,NA
"SIKKIM","SOUTH SIKKIM",NA,NA,NA,NA,NA,NA
"SIKKIM","WEST SIKKIM",NA,NA,NA,NA,NA,NA
"TAMIL NADU","COIMBATORE",3145,550,65,17,420,4197
"TAMIL NADU","CUDDALORE",1182,6167,84,16,234,7683
"TAMIL NADU","DHARMAPURI",61,67,109,59,59,355
"TAMIL NADU","DINDIGUL",49,30,0,1,18,98
"TAMIL NADU","ERODE",1261,136,9,0,66,1472
"TAMIL NADU","KANCHIPURAM",0,0,0,0,0,0
"TAMIL NADU","KANNIYAKUMARI",3,0,0,0,0,3
"TAMIL NADU","KARUR",141,8,0,0,0,149
"TAMIL NADU","MADRAS",NA,NA,NA,NA,NA,NA
"TAMIL NADU","MADURAI",0,0,4,0,0,4
"TAMIL NADU","NAGAPATTINAM",10,0,0,0,0,10
"TAMIL NADU","NAMAKKAL",1401,610,22,0,18,2051
"TAMIL NADU","PERAMBALUR",502,42,14,20,2,580
"TAMIL NADU","PUDUKOTTAI",572,515,27,29,1,1144
"TAMIL NADU","RAMNATHAPURAM",35,91,7,0,2,135
"TAMIL NADU","SALEM",904,130,85,0,100,1219
"TAMIL NADU","SIVAGANGA",44,5,7,3,17,76
"TAMIL NADU","THANJAVUR",2521,279,124,30,41,2995
"TAMIL NADU","THE NILGIRIS",NA,NA,NA,NA,NA,NA
"TAMIL NADU","THENI",55,0,5,0,223,283
"TAMIL NADU","THOOTHUGUDI",NA,NA,NA,NA,NA,NA
"TAMIL NADU","TIRUNELVELI",23,5,1,0,0,29
"TAMIL NADU","TIRUVALLUR",256,1,1,0,4,262
"TAMIL NADU","TIRUVANNAMALAI",NA,NA,NA,NA,NA,NA
"TAMIL NADU","TIRUVARUR",612,82,81,0,3,778
"TAMIL NADU","TRICHIRAPPALLI",8,0,0,0,0,8
"TAMIL NADU","VELLORE",NA,NA,NA,NA,NA,NA
"TAMIL NADU","VILLUPURAM",8107,610,237,12,374,9340
"TAMIL NADU","VIRUDHUNAGAR",0,3,0,1,0,4
"TRIPURA","DHALAI",0,0,0,0,0,0
"TRIPURA","NORTH",0,0,0,0,0,0
"TRIPURA","SOUTH",1,0,0,0,0,1
"TRIPURA","WEST",1,0,0,0,0,1
"UTTAR PRADESH","AGRA",17,178,19,3,0,217
"UTTAR PRADESH","ALIGARH",3,0,0,0,0,3
"UTTAR PRADESH","ALLAHABAD",88,8,5,0,0,101
"UTTAR PRADESH","ALMORA",NA,NA,NA,NA,NA,NA
"UTTAR PRADESH","AMBEDKAR NAGAR",93,6,1,0,0,100
"UTTAR PRADESH","AZAMGARH",0,0,0,0,0,0
"UTTAR PRADESH","BADAUN",21,13,22,0,2,58
"UTTAR PRADESH","BAHRAICH",265,5,16,5,0,291
"UTTAR PRADESH","BALLIA",15,0,1,0,1,17
"UTTAR PRADESH","BANDA",114,15,8,22,0,159
"UTTAR PRADESH","BARABANKI",NA,NA,NA,NA,NA,NA
"UTTAR PRADESH","BAREILLY",46,9,14,0,8,77
"UTTAR PRADESH","BASTI",NA,NA,NA,NA,NA,NA
"UTTAR PRADESH","BIJNOR",23,67,15,0,1,106
"UTTAR PRADESH","BULANDSHAHR",NA,NA,NA,NA,NA,NA
"UTTAR PRADESH","CHAMOLI(GOPESHWAR)",NA,NA,NA,NA,NA,NA
"UTTAR PRADESH","DEHRADUN",6,1,0,0,0,7
"UTTAR PRADESH","DEORIA",19,1,1,0,3,24
"UTTAR PRADESH","ETAH",1,9,0,1,0,11
"UTTAR PRADESH","ETAWAH",136,39,8,12,1,196
"UTTAR PRADESH","FAIZABAD",128,50,11,0,19,208
"UTTAR PRADESH","FARUKHABAD",27,0,1,1,0,29
"UTTAR PRADESH","FATEHPUR",8,31,3,1,0,43
"UTTAR PRADESH","FIROZABAD",5,0,0,0,0,5
"UTTAR PRADESH","GHAZIABAD",0,0,0,0,0,0
"UTTAR PRADESH","GHAZIPUR",2,8,100,165,63,338
"UTTAR PRADESH","GONDA",320,62,3,0,3,388
"UTTAR PRADESH","GORAKHPUR",0,0,0,0,0,0
"UTTAR PRADESH","HAMIRPUR",3,38,8,18,1,68
"UTTAR PRADESH","HARDOI",10,0,0,2,0,12
"UTTAR PRADESH","HARDWAR",7,0,0,0,0,7
"UTTAR PRADESH","JALAUN",18,77,13,25,3,136
"UTTAR PRADESH","JAUNPUR",27,0,0,0,0,27
"UTTAR PRADESH","JHANSI",0,0,0,0,0,0
"UTTAR PRADESH","KANPUR DEHAT",198,148,101,1,2,450
"UTTAR PRADESH","KANPUR NAGAR",8,0,0,0,0,8
"UTTAR PRADESH","KHIRI",29,0,0,1,0,30
"UTTAR PRADESH","KUSHI NAGAR",4,0,0,0,0,4
"UTTAR PRADESH","LALITPUR",NA,NA,NA,NA,NA,NA
"UTTAR PRADESH","LUCKNOW",4,0,1,0,0,5
"UTTAR PRADESH","MAHOBA",NA,NA,NA,NA,NA,NA
"UTTAR PRADESH","MAHRAJGANJ",4,0,1,4,1,10
"UTTAR PRADESH","MAINPURI",NA,NA,NA,NA,NA,NA
"UTTAR PRADESH","MATHURA",NA,NA,NA,NA,NA,NA
"UTTAR PRADESH","MAU",NA,NA,NA,NA,NA,NA
"UTTAR PRADESH","MEERUT",3,1,0,0,0,4
"UTTAR PRADESH","MIRZAPUR",5,1,5,1,0,12
"UTTAR PRADESH","MORADABAD",55,0,0,0,0,55
"UTTAR PRADESH","MUZAFFER NAGAR",22,4,0,0,0,26
"UTTAR PRADESH","NAINITAL",10,0,0,0,0,10
"UTTAR PRADESH","PAURI GARHWAL",0,0,0,0,0,0
"UTTAR PRADESH","PILIBHIT",14,0,0,0,0,14
"UTTAR PRADESH","PITHORAGARH",NA,NA,NA,NA,NA,NA
