"",1.0,"Sarva Shiksha Abhiyan (SSA)",25555.0,0.0,25555.0,23645.0,0.0,23645.0,27258.0,0.0,27258.0
"",2.0,"Mid Day Meal Scheme",11937.0,0.0,11937.0,11500.0,0.0,11500.0,13215.0,0.0,13215.0
"",3.0,"National Bal Bhavan",14.0,7.14,21.14,5.45,6.83,12.28,8.0,7.66,15.66
"",4.0,"Navodaya Vidyalayas Samiti",1250.0,451.05,1701.05,1250.0,471.4,1721.4,1250.0,498.29,1748.29
"",5.0,"Kendriya Vidyalayas Sangathan",350.0,2086.24,2436.24,350.0,2104.34,2454.34,350.0,2249.24,2599.24
"",6.0,"Central Tibetan School Society Admn.",6.0,43.0,49.0,4.98,42.62,47.6,6.0,46.14,52.14
"",7.0,"National Institute of Open Schooling ","","","","","","","","",""
"","","(National Open School)",0.1,0.0,0.1,0.03,0.0,0.03,0.1,0.0,0.1
"",8.0,"Joint Indo Mongolian School (Mongolia)",1.0,0.0,1.0,0.83,0.0,0.83,0.0,0.0,0.0
"",9.0,"Rashtriya Madhyamik Shiksha Abhiyan ","","","","","","","","",""
"","","(RMSA)",3124.0,0.0,3124.0,3172.63,0.0,3172.63,3983.0,0.0,3983.0
"",10.0,"Scheme for setting up of 6000 Model ","","","","","","","","",""
"","","Schools at Block level as Benchmark of ","","","","","","","","",""
"        ","","Excellence",1080.0,0.0,1080.0,750.0,0.0,750.0,1000.0,0.0,1000.0
"",11.0,"Inclusive Education for the Disabled ","","","","","","","","",""
"","","at Secondary School (IEDSS)",70.0,0.0,70.0,28.05,0.0,28.05,50.0,0.0,50.0
"",12.0,"National Scheme for Incentive to Girls ","","","","","","","","",""
"","","for Secondary Education (SUCCESS)",100.0,0.0,100.0,100.0,0.0,100.0,100.0,0.0,100.0
"",13.0," National Means cum Merit ","","","","","","","","",""
"","","Scholarship Scheme",70.0,0.0,70.0,70.0,0.0,70.0,70.0,0.0,70.0
"",14.0,"Vocationalisation of Education",100.0,0.0,100.0,80.0,0.0,80.0,80.1,0.0,80.1
"",15.0,"Information and Communication ","","","","","","","","",""
"","","Technology in Schools",350.0,0.0,350.0,350.0,0.0,350.0,350.0,0.0,350.0
"",16.0,"Access and Equity",0.1,0.0,0.1,0.03,0.0,0.03,0.0,0.0,0.0
"",17.0,"Scheme for Construction and running of ","","","","","","","","",""
"","","Girls Hostels for students of  Secondary","","","","","","","","",""
"      ","","and Higher Secondary Schools",450.0,0.0,450.0,327.0,0.0,327.0,450.0,0.0,450.0
"",18.0,"The scheme for providing Quality ","","","","","","","","",""
"","","Education in Madrassas (SPQEM)",175.0,0.0,175.0,195.0,0.0,195.0,175.0,0.0,175.0
"",19.0,"The scheme for Infrastructure ","","","","","","","","",""
"","","Development in Minority Institutions ","","","","","","","","",""
"","","(IDMI)",50.0,0.0,50.0,28.39,0.0,28.39,50.0,0.0,50.0
"","","Total:",44682.2,2587.43,47269.63,41857.39,2625.19,44482.58,48395.2,2801.33,51196.53
"Demand No.61","","","","","","","","","","",""
"Ministry of Information and Broadcasting","","","","","","","","","","",""
"","Children’s Films Society of India","",13.0,0.0,13.0,0.0,0.0,0.0,12.5,0.0,12.5
"","","Total:",13.0,0.0,13.0,0.0,0.0,0.0,12.5,0.0,12.5
"Demand No.62","","","","","","","","","","",""
"Ministry of Labour and Employment","","","","","","","","","","",""
"","Improvement in working conditions of ","","","","","","","","","",""
"","Child/Women Labour","",150.0,0.0,150.0,132.0,0.0,132.0,200.0,0.0,200.0
"","","Total: ",150.0,0.0,150.0,132.0,0.0,132.0,200.0,0.0,200.0
"Demand No.68","","","","","","","","","","",""
"Ministry of Minority Affairs","","","","","","","","","","",""
"",1.0," Pre-Matric Scholarship for Minorities",900.0,0.0,900.0,795.78,0.0,795.78,950.0,0.0,950.0
"",2.0,"Post Matric scholarship for Minorities",500.0,0.0,500.0,340.75,0.0,340.75,548.5,0.0,548.5
"",3.0,"Free coaching and Allied scheme",20.0,0.0,20.0,14.42,0.0,14.42,25.0,0.0,25.0
"",4.0,"Grants-in-Aid to Maulana Azad ","","","","","","","","",""
"","","Education Foundation",100.0,0.0,100.0,0.01,0.0,0.01,160.0,0.0,160.0
"",5.0,"Free Bi-cycles for Girl Students ","","","","","","","","",""
"","","of Class IX",5.0,0.0,5.0,0.04,0.0,0.04,0.0,0.0,0.0
"","","Total:",1525.0,0.0,1525.0,1151.0,0.0,1151.0,1683.5,0.0,1683.5
"Demand No.89","","","","","","","","","","",""
"Ministry of Social Justice and Empowerment","","","","","","","","","","",""
"",1.0,"Post Matric Scholarship for SCs",147.0,0.0,147.0,147.0,0.0,147.0,147.0,0.0,147.0
"",2.0,"Girls Hostel for SCs",9.3,0.0,9.3,1.35,0.0,1.35,4.9,0.0,4.9
"",3.0,"Boys Hostels for SCs",4.8,0.0,4.8,1.25,0.0,1.25,2.45,0.0,2.45
"",4.0,"Pre-Matric Scholarship for children of ","","","","","","","","",""
"","","those engaged in  certain occupation ",9.0,0.0,9.0,9.0,0.0,9.0,9.5,0.0,9.5
"",5.0,"Up-gradation of Merit of SCs Students",5.0,0.0,5.0,5.0,0.0,5.0,5.0,0.0,5.0
"",6.0,"Assistance to Voluntary organisations ","","","","","","","","",""
"","","for SCs",7.35,0.0,7.35,1.8,0.0,1.8,2.75,0.0,2.75
"",7.0,"Post Matric Scholarship for OBCs",56.2,0.0,56.2,64.75,0.0,64.75,81.0,0.0,81.0
"",8.0,"Boys and Girls Hostels for OBCs",4.0,0.0,4.0,1.35,0.0,1.35,4.0,0.0,4.0
"",9.0,"Assistance to Voluntary Organisations ","","","","","","","","",""
"","","for BCs",0.68,0.0,0.68,0.2,0.0,0.2,0.68,0.0,0.68
"",10.0,"Prematric scholarship for OBCs",40.5,0.0,40.5,40.5,0.0,40.5,13.5,0.0,13.5
"",11.0,"Deendayal Disabled Rehabilitation  ","","","","","","","","",""
"","","Scheme",41.2,0.0,41.2,26.4,0.0,26.4,42.75,0.0,42.75
"",12.0,"Aids and Appliances",13.2,0.0,13.2,9.9,0.0,9.9,9.6,0.0,9.6
"",13.0,"Scheme of Prevention of Alcoholism ","","","","","","","","",""
"","","and Substance (Drug) Abuse",5.25,0.0,5.25,2.25,0.0,2.25,4.0,0.0,4.0
"",14.0,"Pre-Matric Scholarship for SCs",724.5,0.0,724.5,836.1,0.0,836.1,793.0,0.0,793.0
"","15 . ","Provision for NE Region and Sikkim",40.88,0.0,40.88,15.2,0.0,15.2,44.47,0.0,44.47
"","","  Total:",1108.86,0.0,1108.86,1162.05,0.0,1162.05,1164.6,0.0,1164.6
"Demand No.95","","","","","","","","","","",""
"Ministry of Tribal Affairs","","","","","","","","","","",""
"",1.0," Scheme of PMS, Book Banks and ","","","","","","","","",""
"","","Upgradation of Merit of ST Students",750.0,0.0,750.0,749.14,0.0,749.14,750.0,0.0,750.0
"",2.0,"Scheme of Hostels for ST Girls and Boys",78.0,0.0,78.0,78.0,0.0,78.0,125.0,0.0,125.0
"",3.0,"Establishment of Ashram Schools in ","","","","","","","","",""
"","","Tribal Sub-Plan Area",75.0,0.0,75.0,61.0,0.0,61.0,75.0,0.0,75.0
"",4.0,"Strengthening of Education among ","","","","","","","","",""
"","","ST Girls in low literacy Districts",40.0,0.0,40.0,14.61,0.0,14.61,40.0,0.0,40.0
"",5.0,"Pre Matric Scholarship for ST Students",86.0,0.0,86.0,111.73,0.0,111.73,212.19,0.0,212.19
"",""," Total:",1029.0,0.0,1029.0,1014.48,0.0,1014.48,1202.19,0.0,1202.19
"Demand No.96","","","","","","","","","","",""
"Andaman and Nicobar Islands","","","","","","","","","","",""
"",1.0,"Elementary Education",94.86,0.0,94.86,98.22,0.0,98.22,95.4,0.0,95.4
"",2.0,"Nutrition",5.0,0.0,5.0,5.1,0.0,5.1,11.5,0.0,11.5
"",3.0,"Development of Children",0.26,0.05,0.31,0.34,0.05,0.39,0.85,0.06,0.91
"",4.0,"Welfare of Juveniles",0.38,0.0,0.38,0.37,0.0,0.37,0.85,0.0,0.85
"","","Total:",100.5,0.05,100.55,104.03,0.05,104.08,108.6,0.06,108.66
"Demand No.97","","","","","","","","","","",""
"Chandigarh","","","","","","","","","","",""
"",1.0,"Scholarships to Students",0.0,0.61,0.61,0.0,1.05,1.05,0.0,1.05,1.05
"",2.0,"Mid-Day- Meal for Children",7.25,0.3,7.55,6.25,0.25,6.5,7.5,0.3,7.8
"",3.0,"Books and Stationery for ","","","","","","","","",""
"","","SC/ST Students",0.0,0.03,0.03,0.0,0.03,0.03,0.52,0.03,0.55
"",4.0,"National Service Scheme",0.0,0.45,0.45,0.0,0.27,0.27,0.0,0.29,0.29
"",5.0,"Incentive to Children of Vulnerable ","","","","","","","","",""
"","","Groups among Schedule Castes",0.6,0.0,0.6,0.5,0.0,0.5,0.5,0.0,0.5
"",6.0,"Children in need of Care and Protection ",2.45,0.02,2.47,2.41,0.02,2.43,1.5,0.02,1.52
"",7.0,"Home for deliquent and ","","","","","","","","",""
"","","neglected Children",0.0,0.02,0.02,0.0,0.0,0.0,0.0,0.0,0.0
"",8.0,"Opening of Creches for Children of ","","","","","","","","",""
"","","Working Mothers",0.2,0.61,0.81,0.2,0.61,0.81,0.2,0.75,0.95
"",9.0,"Institute of Mentally Retarded ","","","","","","","","",""
"","","Children",6.29,1.4,7.69,3.54,1.4,4.94,4.48,1.53,6.01
"",10.0,"School Health Scheme",0.17,1.12,1.29,0.25,1.17,1.42,0.42,1.22,1.64
"",11.0," Elementary Education ",47.98,100.68,148.66,24.67,109.87,134.54,45.59,118.49,164.08
"",12.0,"Secondary Education",14.52,82.05,96.57,10.37,85.36,95.73,15.55,91.93,107.48
"",""," Total:",79.46,187.29,266.75,48.19,200.03,248.22,76.26,215.61,291.87
"Demand No.98","","","","","","","","","","",""
"Dadra and Nagar Haveli","","","","","","","","","","",""
"",1.0,"Supply of free uniform, text books and ","","","","","","","","",""
"","","other learning material to SC/ST Students",2.52,0.12,2.64,2.52,0.12,2.64,2.72,0.12,2.84
"",2.0,"Financial assistance for SC/ST Students ","","","","","","","","",""
"","","(GIA) to Govt. aided schools run by ",0.0,0.03,0.03,0.0,0.03,0.03,0.0,0.03,0.03
"    ","","NGO","","","","","","","","",""
"",3.0,"Financial assistance (Grants-in-aid) to ","","","","","","","","",""
"","","Govt. aided S.W. Hostels for SC/ST",0.0,0.07,0.07,0.0,0.07,0.07,0.0,0.07,0.07
"     ","","run by NGO","","","","","","","","",""
"","","","","","","","","","","",""
"",4.0,"Welfare of SC/ST (free lodging & ","","","","","","","","",""
"","","boarding to SC/ST Students in ","","","","","","","","",""
"","","S.W. Hostels)",1.5,0.62,2.12,1.5,0.62,2.12,1.5,0.62,2.12
"","","Total:",4.02,0.84,4.86,4.02,0.84,4.86,4.22,0.84,5.06
"Demand No.99","","","","","","","","","","",""
"Daman & Diu","","","","","","","","","","",""
"",1.0,"Supply of Text Books and Stationery ",0.35,0.0,0.35,0.35,0.0,0.35,0.45,0.0,0.45
"",2.0,"Supply of  uniforms",0.42,0.0,0.42,0.42,0.0,0.42,0.42,0.0,0.42
"",3.0,"Cash Incentive to Parents of Tribal ","","","","","","","","",""
"","","Boy Students",0.18,0.0,0.18,0.18,0.0,0.18,0.27,0.0,0.27
"",4.0,"Cash Incentive to Parents of Tribal ","","","","","","","","",""
"","","Girl Students",0.16,0.0,0.16,0.16,0.0,0.16,0.22,0.0,0.22
"",5.0,"Assistance to adolscent Girls and ","","","","","","","","",""
"","","foods to Children",0.38,0.0,0.38,0.38,0.0,0.38,0.6,0.0,0.6
"","","Total:",1.49,0.0,1.49,1.49,0.0,1.49,1.96,0.0,1.96
"Demand No.100","","","","","","","","","","",""
"Lakshadweep","","","","","","","","","","",""
"","Grant to Lakshadweep Council for Child ","","","","","","","","","",""
"","Welfare and providing ","",0.5,0.0,0.5,0.55,0.0,0.55,0.55,0.0,0.55
"","accommodation for Anganwadi, ","","","","","","","","","",""
"","Creche Centres","","","","","","","","","",""
"","","Total:",0.5,0.0,0.5,0.55,0.0,0.55,0.55,0.0,0.55
"Demand No.105","","","","","","","","","","",""
"Ministry of Women and Child Development","","","","","","","","","","",""
"",1.0,"Rajiv Gandhi National Creche Scheme",110.0,0.0,110.0,107.5,0.0,107.5,110.0,0.0,110.0
"",2.0,"Scheme for the welfare of Working ","","","","","","","","",""
"","","Children in need of Care and Protection",10.0,0.0,10.0,8.5,0.0,8.5,10.0,0.0,10.0
"",3.0," Conditional cash transfer Scheme for ","","","","","","","","",""
"","","the Girl Child with Insurance Cover ","","","","","","","","",""
"    ","","(Dhanlakshmi)",5.0,0.0,5.0,5.0,0.0,5.0,10.0,0.0,10.0
"",4.0,"National Institute of Public ","","","","","","","","",""
"","","Cooperation and Child Development",12.0,16.5,28.5,11.0,16.23,27.23,13.0,17.75,30.75
"",5.0,"National Commission for the ","","","","","","","","",""
"","","Protection of Child Rights",12.0,0.0,12.0,10.5,0.0,10.5,13.0,0.0,13.0
"",6.0,"Central Adoption Resource Agency",9.0,2.1,11.1,7.5,1.89,9.39,9.0,1.9,10.9
"",7.0,"Integrated Child Development Scheme",15850.0,0.0,15850.0,15850.0,0.0,15850.0,17700.0,0.0,17700.0
"",8.0,"Integrated Child Protection Scheme",400.0,0.0,400.0,273.2,0.0,273.2,300.0,0.0,300.0
"",9.0,"World Bank Assisted ICDS Systems ","","","","","","","","",""
"","","Strengthening & Nutrition Improvement",102.8,0.0,102.8,8.0,0.0,8.0,146.0,0.0,146.0
"    ","","Project","","","","","","","","",""
"",10.0,"National Nutrition Mission",250.0,0.0,250.0,83.0,0.0,83.0,300.0,0.0,300.0
"","","Total:",16760.8,18.6,16779.4,16364.2,18.12,16382.32,18611.0,19.65,18630.65
"Demand No.106","","","","","","","","","","",""
"Ministry of Youth Affairs and Sports","","","","","","","","","","",""
"","National Programme for Youth and ","","","","","","","","","",""
"","Adolescent Development","",23.0,0.0,23.0,23.0,0.0,23.0,23.0,0.0,23.0
"","","Total:",23.0,0.0,23.0,23.0,0.0,23.0,23.0,0.0,23.0
"","","Grand Total:",68108.98,2919.13,71028.11,64099.27,2961.32,67060.59,74072.55,3163.4,77235.95
