-----
{
 "description": "The table refers to district wise distribution of Deep Tubewells according to the constraints. The report has been sourced from 2nd census of minor irrigation scheme(1993-94) from ministry of water resources.", 
 "file_name": "Statedptbwltab3.16.csv", 
 "title": "Download CSV for District wise Distribution of Deep Tubewells according to the constraints for 2nd Census of Minor Irrigation Schemes (1993-94)", 
 "url": "http://data.gov.in/sites/default/files/Statedptbwltab3.16.csv"
}
-----
"State","District","Total No. of Tubewells in use","No. of Tubewells with no constraints","Constraints in utilisation of irrigation potential created - Inadequate power supply","Constraints in utilisation of irrigation potential created - Mechanical break down","Constraints in utilisation of irrigation potential created - Less water discharge","Constraints in utilisation of irrigation potential created - Other reason","Total - Constraints in utilisation","Grand Total"
"BIHAR","GAYA",23,0,4,3,0,4,11,11
"BIHAR","GIRIDIH",0,0,0,0,0,1,1,1
"BIHAR","GODDA",NA,NA,NA,NA,NA,NA,NA,NA
"BIHAR","GOPALGANJ",38,1,25,13,0,12,50,51
"BIHAR","GUMLA",NA,NA,NA,NA,NA,NA,NA,NA
"BIHAR","HAZARIBAG",NA,NA,NA,NA,NA,NA,NA,NA
"BIHAR","JAMUI",5,0,1,3,0,0,4,4
"BIHAR","JEHANABAD",35,0,16,8,0,6,30,30
"BIHAR","KATIHAR",2,0,19,2,0,3,24,24
"BIHAR","KHAGARIA",42,1,10,12,0,32,54,55
"BIHAR","KISHANGANJ",8,0,4,3,0,3,10,10
"BIHAR","KODARMA",0,0,0,0,14,0,14,14
"BIHAR","LAKHISARAI",8,0,0,0,0,11,11,11
"BIHAR","LOHARDAGA",NA,NA,NA,NA,NA,NA,NA,NA
"BIHAR","MADHEPURA",6,0,9,0,0,6,15,15
"BIHAR","MADHUBANI",48,13,45,35,42,724,846,859
"BIHAR","MUNGER",0,1,0,0,0,1,1,2
"BIHAR","MUZAFFARPUR",65,1,39,15,0,134,188,189
"BIHAR","NALANDA",59,0,98,35,23,57,213,213
"BIHAR","NAWADA",27,0,9,47,1,83,140,140
"BIHAR","PAKUR",0,0,2,0,0,20,22,22
"BIHAR","PALAMU",NA,NA,NA,NA,NA,NA,NA,NA
"BIHAR","PATNA",139,1,59,29,0,107,195,196
"BIHAR","PURNIA",0,0,0,0,0,2,2,2
"BIHAR","RANCHI",NA,NA,NA,NA,NA,NA,NA,NA
"BIHAR","ROHTAS",32,3,29,22,3,9,63,66
"BIHAR","SAHARSA",2,0,0,0,0,13,13,13
"BIHAR","SAHEBGANJ",NA,NA,NA,NA,NA,NA,NA,NA
"BIHAR","SAMASTIPUR",47,0,38,25,1,93,157,157
"BIHAR","SARAN",29,0,9,8,0,32,49,49
"BIHAR","SHEIKHPURA",12,0,27,1,0,42,70,70
"BIHAR","SHEOHAR",1,0,0,0,0,0,0,0
"BIHAR","SINGHBHUM EAST",0,0,0,0,1,4,5,5
"BIHAR","SINGHBHUM WEST",1,0,0,0,0,0,0,0
"BIHAR","SITAMARHI",73,0,501,314,39,252,1106,1106
"BIHAR","SIWAN",26,0,2,3,0,35,40,40
"BIHAR","SUPAUL",24,0,0,0,0,7,7,7
"BIHAR","VAISHALI",31,1,10,16,0,48,74,75
"GOA","NORTH GOA",7,0,0,0,7,4,11,11
"GOA","SOUTH GOA",0,0,0,0,0,1,1,1
"GUJARAT","",NA,NA,NA,NA,NA,NA,NA,NA
"HARYANA","AMBALA",0,0,931,9,3,1316,2259,2259
"HARYANA","BHIWANI",0,0,0,0,9,15,24,24
"HARYANA","FARIDABAD",NA,NA,NA,NA,NA,NA,NA,NA
"HARYANA","GURGAON",0,0,54,0,6,70,130,130
"HARYANA","HISAR",NA,NA,NA,NA,NA,NA,NA,NA
"HARYANA","JIND",0,0,61,1,0,238,300,300
"HARYANA","KAITHAL",0,0,111,0,0,715,826,826
"HARYANA","KARNAL",1,0,550,2,0,1152,1704,1704
"HARYANA","KURUKSHETRA",0,0,70,1,4,258,333,333
"HARYANA","MEHANDERGARH",20,0,13,0,0,67,80,80
"HARYANA","PANCHKULA",0,0,2,0,6,106,114,114
"HARYANA","PANIPAT",0,0,32,2,7,154,195,195
"HARYANA","RIWARI",NA,NA,NA,NA,NA,NA,NA,NA
"HARYANA","ROHTAK",NA,NA,NA,NA,NA,NA,NA,NA
"HARYANA","SIRSA",0,0,7,0,0,203,210,210
"HARYANA","SONIPAT",0,0,0,0,0,20,20,20
"HARYANA","YAMUNA NAGAR",1,0,17,0,0,165,182,182
"HIMACHAL PRADESH","Bilaspur",NA,NA,NA,NA,NA,NA,NA,NA
"HIMACHAL PRADESH","Chamba",NA,NA,NA,NA,NA,NA,NA,NA
"HIMACHAL PRADESH","Hamirpur",NA,NA,NA,NA,NA,NA,NA,NA
"HIMACHAL PRADESH","Kangra",0,51,0,3,0,1,4,55
"HIMACHAL PRADESH","Kinnaur",NA,NA,NA,NA,NA,NA,NA,NA
"HIMACHAL PRADESH","Kullu",NA,NA,NA,NA,NA,NA,NA,NA
"HIMACHAL PRADESH","Lahul & Spiti",NA,NA,NA,NA,NA,NA,NA,NA
"HIMACHAL PRADESH","Mandi",0,2,0,0,0,0,0,2
"HIMACHAL PRADESH","Shimla",NA,NA,NA,NA,NA,NA,NA,NA
"HIMACHAL PRADESH","Sirmaur",0,8,0,0,0,2,2,10
"HIMACHAL PRADESH","Solan",0,9,1,0,2,14,17,26
"HIMACHAL PRADESH","Una",0,83,4,0,30,19,53,136
"JAMMU & KASHMIR","Anantnagh",NA,NA,NA,NA,NA,NA,NA,NA
"JAMMU & KASHMIR","Baramulla",0,0,0,0,0,0,0,0
"JAMMU & KASHMIR","Budgam",NA,NA,NA,NA,NA,NA,NA,NA
"JAMMU & KASHMIR","Doda",NA,NA,NA,NA,NA,NA,NA,NA
"JAMMU & KASHMIR","Jammu",0,0,0,0,0,3,3,3
"JAMMU & KASHMIR","Kargil",NA,NA,NA,NA,NA,NA,NA,NA
"JAMMU & KASHMIR","Kathua",0,0,0,0,0,0,0,0
"JAMMU & KASHMIR","Kupwara",NA,NA,NA,NA,NA,NA,NA,NA
"JAMMU & KASHMIR","Leh",NA,NA,NA,NA,NA,NA,NA,NA
"JAMMU & KASHMIR","Poonch",NA,NA,NA,NA,NA,NA,NA,NA
"JAMMU & KASHMIR","Pulwama",NA,NA,NA,NA,NA,NA,NA,NA
"JAMMU & KASHMIR","Rajouri",NA,NA,NA,NA,NA,NA,NA,NA
"JAMMU & KASHMIR","Srinagar",0,0,0,0,0,0,0,0
"JAMMU & KASHMIR","Udhampur",NA,NA,NA,NA,NA,NA,NA,NA
"KARNATAKA","BANGALORE RURAL",99,4623,4061,60,1414,115,5650,10273
"KARNATAKA","BANGALORE URBAN",74,1329,5410,154,491,7,6062,7391
"KARNATAKA","BELGAUM",129,7010,3038,91,1058,580,4767,11777
"KARNATAKA","BELLARY",160,5194,1650,167,1306,207,3330,8524
"KARNATAKA","BIDAR",176,1307,1269,56,487,212,2024,3331
"KARNATAKA","BIJAPUR",277,3740,692,154,631,60,1537,5277
"KARNATAKA","CHIKKAMAGALORE",55,909,887,8,15,152,1062,1971
"KARNATAKA","CHITRADURGA",224,3723,4020,41,1103,184,5348,9071
"KARNATAKA","DAKSHINA KANNADA",6,887,568,12,347,85,1012,1899
"KARNATAKA","DHARWAR",144,3824,5017,602,537,754,6910,10734
"KARNATAKA","GULBARGA",27,118,61,12,61,8,142,260
"KARNATAKA","HASSAN",6,463,687,25,7,10,729,1192
"KARNATAKA","KODAGU",0,1,16,0,4,0,20,21
"KARNATAKA","KOLAR",102,10578,8110,226,2156,937,11429,22007
"KARNATAKA","MANDYA",13,1286,1744,55,130,71,2000,3286
"KARNATAKA","MYSORE",133,2089,2979,58,130,79,3246,5335
"KARNATAKA","RAICHUR",32,2408,1499,55,499,160,2213,4621
"KARNATAKA","SHIMOGA",14,2747,3359,164,169,138,3830,6577
"KARNATAKA","TUMKUR",392,8340,14554,265,4760,2529,22108,30448
"KARNATAKA","UTTARA KANNADA",2,243,49,21,6,79,155,398
"KERALA","ALAPUZHA",0,0,0,0,0,58,58,58
"KERALA","ERANAKULAM",0,0,1,0,4,7,12,12
"KERALA","IDUKKI",0,0,0,0,0,2,2,2
"KERALA","KANNUR",0,0,0,0,0,17,17,17
"KERALA","KASARAGODE",0,0,2,6,4,18,30,30
"KERALA","KOLLAM",1,0,0,0,0,5,5,5
"KERALA","KOTTAYAM",0,0,0,0,3,8,11,11
"KERALA","KOZHIKODE",0,0,0,0,0,2,2,2
"KERALA","MALAPPURAM",0,0,0,0,3,10,13,13
"KERALA","PALAKKAD",0,0,5,0,2,20,27,27
"KERALA","PATHANAMTHITTA",0,0,0,0,0,9,9,9
"KERALA","THIRUVANANTHAPURAM",0,0,0,0,0,6,6,6
"KERALA","THRISSUR",0,0,0,0,0,1,1,1
"KERALA","WAYANAD",NA,NA,NA,NA,NA,NA,NA,NA
"MADHYA PRADESH","BALAGHAT",0,0,0,0,0,1,1,1
"MADHYA PRADESH","BASTAR",0,1,0,0,1,0,1,2
"MADHYA PRADESH","BETUL",2,0,1,0,181,69,251,251
"MADHYA PRADESH","BHIND",0,0,0,0,0,122,122,122
"MADHYA PRADESH","BHOPAL",NA,NA,NA,NA,NA,NA,NA,NA
"MADHYA PRADESH","BILASPUR",13,259,8,0,2,185,195,454
"MADHYA PRADESH","CHHATARPUR",11,0,115,0,17,61,193,193
"MADHYA PRADESH","CHHINDWARA",0,1370,0,0,107,404,511,1881
"MADHYA PRADESH","DAMOH",2,0,20,0,34,159,213,213
"MADHYA PRADESH","DATIA",NA,NA,NA,NA,NA,NA,NA,NA
"MADHYA PRADESH","DEWAS",3,605,4,0,111,295,410,1015
"MADHYA PRADESH","DHAR",12,32,19,2,222,63,306,338
"MADHYA PRADESH","DURG",9,9,3,1,8,104,116,125
"MADHYA PRADESH","GUNA",0,0,0,0,0,463,463,463
"MADHYA PRADESH","GWALIOR",0,0,0,0,1,46,47,47
"MADHYA PRADESH","HOSHANGABAD",0,0,0,0,0,131,131,131
"MADHYA PRADESH","INDORE",59,729,6,0,105,47,158,887
"MADHYA PRADESH","JABALPUR",0,371,0,0,0,107,107,478
"MADHYA PRADESH","JHABUA",0,39,0,0,5,9,14,53
"MADHYA PRADESH","KHANDWA",3,477,1,1,23,410,435,912
"MADHYA PRADESH","KHARGONE",12,391,0,0,0,753,753,1144
"MADHYA PRADESH","MANDLA",0,1,0,0,0,1,1,2
"MADHYA PRADESH","MANDSAUR",8,385,36,3,301,402,742,1127
"MADHYA PRADESH","MORENA",0,0,4,0,0,284,288,288
"MADHYA PRADESH","NARSIMHAPUR",73,650,0,0,4,315,319,969
"MADHYA PRADESH","PANNA",0,0,8,0,12,39,59,59
"MADHYA PRADESH","RAIGARH",5,183,4,8,26,207,245,428
"MADHYA PRADESH","RAIPUR",3,85,4,6,1,79,90,175
"MADHYA PRADESH","RAISEN",0,0,0,0,25,80,105,105
"MADHYA PRADESH","RAJGARH",0,0,0,0,41,115,156,156
"MADHYA PRADESH","RAJNANDGAON",1,42,1,0,11,13,25,67
"MADHYA PRADESH","RATLAM",39,905,7,0,599,207,813,1718
"MADHYA PRADESH","REWA",2,71,21,20,101,302,444,515
"MADHYA PRADESH","SAGAR",0,0,0,0,31,161,192,192
"MADHYA PRADESH","SATNA",45,71,12,7,9,1633,1661,1732
"MADHYA PRADESH","SEHORE",0,0,0,0,1,4,5,5
"MADHYA PRADESH","SEONI",0,722,0,0,42,287,329,1051
"MADHYA PRADESH","SHAHDOL",4,1,0,0,4,180,184,185
"MADHYA PRADESH","SHAJAPUR",1,315,0,0,2,265,267,582
"MADHYA PRADESH","SHIVPURI",0,0,0,0,94,149,243,243
"MADHYA PRADESH","SIDHI",0,3,1,1,1,18,21,24
"MADHYA PRADESH","SURGUJA",0,672,0,0,18,945,963,1635
"MADHYA PRADESH","TIKAMGARH",0,39,0,0,164,604,768,807
"MADHYA PRADESH","UJJAIN",5,1157,10,24,186,702,922,2079
"MADHYA PRADESH","VIDISHA",24,0,1,0,0,159,160,160
"MAHARASHTRA","",NA,NA,NA,NA,NA,NA,NA,NA
"MANIPUR","BISHNUPUR",NA,NA,NA,NA,NA,NA,NA,NA
"MANIPUR","CHANDEL",NA,NA,NA,NA,NA,NA,NA,NA
"MANIPUR","CHURACHANDPUR",NA,NA,NA,NA,NA,NA,NA,NA
"MANIPUR","IMPHAL",NA,NA,NA,NA,NA,NA,NA,NA
"MANIPUR","SENAPATI",NA,NA,NA,NA,NA,NA,NA,NA
"MANIPUR","TAMENGLONG",NA,NA,NA,NA,NA,NA,NA,NA
"MANIPUR","THOUBAL",NA,NA,NA,NA,NA,NA,NA,NA
"MANIPUR","UKHRUL",NA,NA,NA,NA,NA,NA,NA,NA
"MEGHALAYA","EAST GARO HILLS",0,0,0,0,0,0,0,0
"MEGHALAYA","EAST KHASI HILLS",NA,NA,NA,NA,NA,NA,NA,NA
"MEGHALAYA","JAINTIA HILLS",NA,NA,NA,NA,NA,NA,NA,NA
"MEGHALAYA","RI BHOI DISTRICT",NA,NA,NA,NA,NA,NA,NA,NA
"MEGHALAYA","SOUTH GARO HILLS",NA,NA,NA,NA,NA,NA,NA,NA
"MEGHALAYA","WEST GARO HILLS",0,0,0,0,2,4,6,6
"MEGHALAYA","WEST KHASI HILLS",NA,NA,NA,NA,NA,NA,NA,NA
"MIZORAM","AIZAWL",NA,NA,NA,NA,NA,NA,NA,NA
"MIZORAM","CHHIMTUIPUI",NA,NA,NA,NA,NA,NA,NA,NA
"MIZORAM","LUNGLEI",NA,NA,NA,NA,NA,NA,NA,NA
"NAGALAND","KOHIMA",1,0,0,0,0,2,2,2
"NAGALAND","MOKOKCHUNG",NA,NA,NA,NA,NA,NA,NA,NA
"NAGALAND","MON",NA,NA,NA,NA,NA,NA,NA,NA
"NAGALAND","PHEK",NA,NA,NA,NA,NA,NA,NA,NA
"NAGALAND","TUENSANG",NA,NA,NA,NA,NA,NA,NA,NA
"NAGALAND","WOKHA",NA,NA,NA,NA,NA,NA,NA,NA
"NAGALAND","ZUNHEBOTO",NA,NA,NA,NA,NA,NA,NA,NA
"ORISSA","ANGUL",NA,NA,NA,NA,NA,NA,NA,NA
"ORISSA","BALASORE",243,0,318,120,174,378,990,990
"ORISSA","BARAGARH",2,0,2,0,3,9,14,14
"ORISSA","BHADRAK",151,0,107,16,20,108,251,251
"ORISSA","BOLANGIR",0,0,0,0,0,1,1,1
"ORISSA","BOUDH",0,0,0,0,0,1,1,1
"ORISSA","CUTTACK",23,0,85,7,3,38,133,133
"ORISSA","DEOGARH",NA,NA,NA,NA,NA,NA,NA,NA
"ORISSA","DHENKANAL",0,0,0,0,1,0,1,1
"ORISSA","GAJAPATI",2,0,0,0,0,0,0,0
"ORISSA","GANJAM",2,0,0,0,0,5,5,5
"ORISSA","JAGATSINGHPUR",13,0,25,0,1,39,65,65
"ORISSA","JAJPUR",115,0,22,7,34,126,189,189
"ORISSA","JHARSUGUDA",0,0,0,0,1,10,11,11
"ORISSA","KALAHANDI",1,1,1,0,0,0,1,2
"ORISSA","KENDRAPARA",6,0,0,2,2,16,20,20
"ORISSA","KEONJHAR",1,2,0,0,0,2,2,4
"ORISSA","KHURDA",5,4,0,0,1,3,4,8
"ORISSA","KORAPUT",NA,NA,NA,NA,NA,NA,NA,NA
"ORISSA","MALKANGIRI",NA,NA,NA,NA,NA,NA,NA,NA
"ORISSA","MAYURBHANJ",45,0,20,4,1,123,148,148
"ORISSA","NAYAGARH",0,0,0,0,0,2,2,2
"ORISSA","NOWRANGPUR",NA,NA,NA,NA,NA,NA,NA,NA
"ORISSA","NUAPADA",1,0,0,0,0,0,0,0
"ORISSA","PHULBANI",NA,NA,NA,NA,NA,NA,NA,NA
"ORISSA","PURI",8,6,8,1,0,5,14,20
"ORISSA","RAYAGADA",0,0,1,0,0,0,1,1
"ORISSA","SAMBALPUR",NA,NA,NA,NA,NA,NA,NA,NA
"ORISSA","SONEPUR",NA,NA,NA,NA,NA,NA,NA,NA
"ORISSA","SUNDARGARH",NA,NA,NA,NA,NA,NA,NA,NA
"PUNJAB","AMRITSAR",0,0,1,0,0,0,1,1
"PUNJAB","BATHINDA",0,0,9,0,0,0,9,9
"PUNJAB","FARIDKOT",NA,NA,NA,NA,NA,NA,NA,NA
"PUNJAB","FATEHGARH SAHIB",0,0,0,0,0,27,27,27
"PUNJAB","FEROZEPUR",NA,NA,NA,NA,NA,NA,NA,NA
"PUNJAB","GURDASPUR",1,0,24,0,0,6,30,30
"PUNJAB","HOSHIARPUR",6,0,299,21,9,226,555,555
"PUNJAB","JALANDHAR",NA,NA,NA,NA,NA,NA,NA,NA
"PUNJAB","KAPURTHALA",0,0,3,0,0,12,15,15
"PUNJAB","LUDHIANA",0,0,2,0,0,0,2,2
"PUNJAB","MANSA",0,0,2,0,0,13,15,15
"PUNJAB","PATIALA",3,0,361,15,0,29,405,405
"PUNJAB","ROPAR",4,0,126,0,2,29,157,157
"PUNJAB","SANGRUR",10,0,577,5,0,435,1017,1017
"RAJASTHAN","AJMER",0,0,0,0,2,1,3,3
"RAJASTHAN","ALWAR",NA,NA,NA,NA,NA,NA,NA,NA
"RAJASTHAN","BANSWARA",NA,NA,NA,NA,NA,NA,NA,NA
"RAJASTHAN","BARAN",18,477,0,0,0,1,1,478
"RAJASTHAN","BARMER",0,5,0,0,0,0,0,5
"RAJASTHAN","BHARATPUR",81,255,12,0,3,1,16,271
"RAJASTHAN","BHILWARA",1,49,0,0,0,0,0,49
"RAJASTHAN","BIKANER",2,8,7,1,0,0,8,16
"RAJASTHAN","BUNDI",16,59,0,0,0,0,0,59
"RAJASTHAN","CHITTORGARH",38,573,98,0,113,4,215,788
"RAJASTHAN","CHURU",1,29,5,0,0,1,6,35
"RAJASTHAN","DAUSA",0,3,0,0,0,0,0,3
"RAJASTHAN","DHOLPUR",NA,NA,NA,NA,NA,NA,NA,NA
"RAJASTHAN","DUNGARPUR",3,13,16,0,14,3,33,46
"RAJASTHAN","GANGANAGAR",NA,NA,NA,NA,NA,NA,NA,NA
"RAJASTHAN","HANUMANGARH",NA,NA,NA,NA,NA,NA,NA,NA
"RAJASTHAN","JAIPUR",NA,NA,NA,NA,NA,NA,NA,NA
"RAJASTHAN","JAISALMER",0,2,0,0,0,0,0,2
"RAJASTHAN","JALORE",8,50,7,0,13,0,20,70
"RAJASTHAN","JHALAWAR",0,71,0,0,0,1,1,72
"RAJASTHAN","JHUNJHNU",NA,NA,NA,NA,NA,NA,NA,NA
"RAJASTHAN","JODHPUR",310,2632,1510,12,1332,221,3075,5707
"RAJASTHAN","KOTA",14,85,2,0,224,1,227,312
"RAJASTHAN","NAGAUR",172,1679,1047,11,607,138,1803,3482
"RAJASTHAN","PALI",5,274,0,0,0,0,0,274
"RAJASTHAN","RAJSAMAND",0,13,0,0,0,0,0,13
"RAJASTHAN","SAWAI-MADHOPUR",1,24,0,0,0,0,0,24
"RAJASTHAN","SIKAR",NA,NA,NA,NA,NA,NA,NA,NA
"RAJASTHAN","SIROHI",NA,NA,NA,NA,NA,NA,NA,NA
"RAJASTHAN","TONK",0,6,0,0,0,0,0,6
"RAJASTHAN","UDAIPUR",7,11,0,0,0,0,0,11
"SIKKIM","EAST SIKKIM",NA,NA,NA,NA,NA,NA,NA,NA
"SIKKIM","NORTH SIKKIM",NA,NA,NA,NA,NA,NA,NA,NA
"SIKKIM","SOUTH SIKKIM",NA,NA,NA,NA,NA,NA,NA,NA
"SIKKIM","WEST SIKKIM",NA,NA,NA,NA,NA,NA,NA,NA
"TAMIL NADU","COIMBATORE",432,0,35,2,2988,140,3165,3165
"TAMIL NADU","CUDDALORE",84,0,294,60,124,6772,7250,7250
"TAMIL NADU","DHARMAPURI",204,0,0,0,136,0,136,136
"TAMIL NADU","DINDIGUL",18,0,14,0,60,0,74,74
"TAMIL NADU","ERODE",140,0,6,2,83,1203,1294,1294
"TAMIL NADU","KANCHIPURAM",0,0,0,0,0,0,0,0
"TAMIL NADU","KANNIYAKUMARI",0,0,0,0,0,3,3,3
"TAMIL NADU","KARUR",10,110,21,0,7,0,28,138
"TAMIL NADU","MADRAS",NA,NA,NA,NA,NA,NA,NA,NA
"TAMIL NADU","MADURAI",0,0,0,0,0,4,4,4
"TAMIL NADU","NAGAPATTINAM",0,0,9,0,0,1,10,10
"TAMIL NADU","NAMAKKAL",98,0,2,0,1,1710,1713,1713
"TAMIL NADU","PERAMBALUR",198,0,5,0,2,129,136,136
"TAMIL NADU","PUDUKOTTAI",24,0,262,4,43,804,1113,1113
"TAMIL NADU","RAMNATHAPURAM",5,0,27,1,0,118,146,146
"TAMIL NADU","SALEM",16,4,0,0,9,1179,1188,1192
"TAMIL NADU","SIVAGANGA",9,0,0,0,1,66,67,67
"TAMIL NADU","THANJAVUR",16,11,191,2,6,2720,2919,2930
"TAMIL NADU","THE NILGIRIS",NA,NA,NA,NA,NA,NA,NA,NA
"TAMIL NADU","THENI",1,0,0,0,0,23,23,23
"TAMIL NADU","THOOTHUGUDI",NA,NA,NA,NA,NA,NA,NA,NA
"TAMIL NADU","TIRUNELVELI",0,0,1,0,15,13,29,29
"TAMIL NADU","TIRUVALLUR",7,0,50,12,11,177,250,250
"TAMIL NADU","TIRUVANNAMALAI",NA,NA,NA,NA,NA,NA,NA,NA
"TAMIL NADU","TIRUVARUR",14,663,56,0,7,38,101,764
"TAMIL NADU","TRICHIRAPPALLI",0,0,0,0,0,6,6,6
"TAMIL NADU","VELLORE",NA,NA,NA,NA,NA,NA,NA,NA
