-----
{
 "description": "The table refers to village wise distribution of surface flow schemes according to the farmers holding size. It has been sourced from 2nd census of minor irrigation scheme(1993-94) from Ministry of Water Resources.", 
 "file_name": "villtab4.3.csv", 
 "title": "Download CSV for Villagewise Distribution of Surface Flow Schemes according to the holding size for 2nd census of Minor Irrigation Schemes (1993-94)(External Link that opens in a new window)", 
 "url": "http://data.gov.in/sites/default/files/villtab4.3.csv"
}
-----
-----
{
 "description": "The table refers to village wise distribution of surface flow schemes according to social status. It has been sourced from 2nd census of minor irrigation scheme(1993-94) from Ministry of Water Resources.", 
 "file_name": "villtab4.4.csv", 
 "title": "Download CSV for Villagewise Distribution of Surface Flow Schemes according to social status for 2nd census of Minor Irrigation Schemes (1993-94)(External Link that opens in a new window)", 
 "url": "http://data.gov.in/sites/default/files/villtab4.4.csv"
}
-----
-----
{
 "description": "The table refers to village wise surface flow schemes constructed over the years. It has been sourced from 2nd census of minor irrigation scheme (1993-94) from Ministry of Water Resources.", 
 "file_name": "villtab4.1.csv", 
 "title": "Download CSV for Villagewise Distribution of surface flow schemes consutructed over the years for 2nd census of Minor Irrigation Schemes (1993-94)(External Link that opens in a new window)", 
 "url": "http://data.gov.in/sites/default/files/villtab4.1.csv"
}
-----
-----
{
 "description": "The table refers to block wise surface flow schemes according to constraints. It has been sourced from 2nd census of minor irrigation scheme(1993-94) from Ministry of Water Resources.", 
 "file_name": "blcktab4.14.csv", 
 "title": "Download CSV for Blockwise Surface Flow Schemes according to the constraints for 2nd census of Minor Irrigation Schemes (1993-94)", 
 "url": "http://data.gov.in/sites/default/files/blcktab4.14.csv"
}
-----
-----
{
 "description": "The table refers to block wise irrigation through supplemntary sources under surface flow schemes. It has been sourced from 2nd census of minor irrigation scheme(1993-94) from Ministry of Water Resources.", 
 "file_name": "blcktab4.13.csv", 
 "title": "Download CSV for Blockwise Irrigation through supplementary sources under Surface Flow Schemes for 2nd census of Minor Irrigation Schemes (1993-94)", 
 "url": "http://data.gov.in/sites/default/files/blcktab4.13.csv"
}
-----
State,District,Block,Supplementary irrigation (Ha) - Kharif,Supplementary irrigation (Ha) - Rabi,Supplementary irrigation (Ha) - Perennial,Supplementary irrigation (Ha) - Others,Total
ANDHRA PRADESH,ADILABAD,LAHESRA,0,0,0,0,0
ANDHRA PRADESH,ADILABAD,LAXMANCHANDA,0,0,0,0,0
ANDHRA PRADESH,ADILABAD,LUXETTIPET,837,0,0,0,837
ANDHRA PRADESH,ADILABAD,MAMDA,350,0,0,0,350
ANDHRA PRADESH,ADILABAD,MANCHERIAL,1,0,0,0,1
ANDHRA PRADESH,ADILABAD,MANDAMARRI,0,0,0,0,0
ANDHRA PRADESH,ADILABAD,MUDHOLE,0,0,0,0,0
ANDHRA PRADESH,ADILABAD,NARNOOR,NA,NA,NA,NA,NA
ANDHRA PRADESH,ADILABAD,NENNAL,0,0,0,0,0
ANDHRA PRADESH,ADILABAD,NERADIGONDA,0,0,0,0,0
ANDHRA PRADESH,ADILABAD,NIRMAL,0,0,0,0,0
ANDHRA PRADESH,ADILABAD,REBBENA,0,0,0,0,0
ANDHRA PRADESH,ADILABAD,SARANGAPUR,NA,NA,NA,NA,NA
ANDHRA PRADESH,ADILABAD,SIRPUR,NA,NA,NA,NA,NA
ANDHRA PRADESH,ADILABAD,SIRPUR (T),0,0,0,0,0
ANDHRA PRADESH,ADILABAD,TALAMADUGU,0,0,0,0,0
ANDHRA PRADESH,ADILABAD,TAMSI,0,0,0,0,0
ANDHRA PRADESH,ADILABAD,TANDUR,0,0,0,0,0
ANDHRA PRADESH,ADILABAD,TANUR,0,0,0,0,0
ANDHRA PRADESH,ADILABAD,TIRYANI,NA,NA,NA,NA,NA
ANDHRA PRADESH,ADILABAD,UTNUR,0,0,0,0,0
ANDHRA PRADESH,ADILABAD,VEMANPALLE,0,0,0,0,0
ANDHRA PRADESH,ADILABAD,WANKDI,0,0,0,0,0
ANDHRA PRADESH,ANANTHAPUR,AGALI,0,0,0,0,0
ANDHRA PRADESH,ANANTHAPUR,AMADAGUR,0,0,0,0,0
ANDHRA PRADESH,ANANTHAPUR,AMARAPURAM,0,0,0,0,0
ANDHRA PRADESH,ANANTHAPUR,ANANTAPUR,0,0,0,0,0
ANDHRA PRADESH,ANANTHAPUR,ATMAKUR,0,0,0,0,0
ANDHRA PRADESH,ANANTHAPUR,BATHALAPALLE,0,0,0,0,0
ANDHRA PRADESH,ANANTHAPUR,BELUGUPPA,0,0,0,0,0
ANDHRA PRADESH,ANANTHAPUR,BOMMANAHAL,0,0,0,0,0
ANDHRA PRADESH,ANANTHAPUR,BRAHMASAMUDRAM,0,0,0,0,0
ANDHRA PRADESH,ANANTHAPUR,BUKKAPATNAM,0,0,0,0,0
ANDHRA PRADESH,ANANTHAPUR,BUKKARAYASAMUDRAM,0,0,0,0,0
ANDHRA PRADESH,ANANTHAPUR,CHENNEKOTHAPALLE,0,0,0,0,0
ANDHRA PRADESH,ANANTHAPUR,CHILAMATHUR,0,0,0,0,0
ANDHRA PRADESH,ANANTHAPUR,D.HIREHAL,0,0,0,0,0
ANDHRA PRADESH,ANANTHAPUR,DHARMAVARAM,0,0,0,0,0
ANDHRA PRADESH,ANANTHAPUR,GANDLAPENTA,0,0,0,0,0
ANDHRA PRADESH,ANANTHAPUR,GARLADINNE,0,0,0,0,0
ANDHRA PRADESH,ANANTHAPUR,GOOTY,0,0,0,0,0
ANDHRA PRADESH,ANANTHAPUR,GORANTLA,0,0,0,0,0
ANDHRA PRADESH,ANANTHAPUR,GUDIBANDA,0,0,0,0,0
ANDHRA PRADESH,ANANTHAPUR,GUMMAGATA,0,0,0,0,0
ANDHRA PRADESH,ANANTHAPUR,GUNTAKAL,0,0,0,0,0
ANDHRA PRADESH,ANANTHAPUR,HINDUPUR,0,0,0,0,0
ANDHRA PRADESH,ANANTHAPUR,KADIRI,0,0,0,0,0
ANDHRA PRADESH,ANANTHAPUR,KALYANDRUG,0,0,0,0,0
ANDHRA PRADESH,ANANTHAPUR,KAMBADUR,0,0,0,0,0
ANDHRA PRADESH,ANANTHAPUR,KANAGANAPALLE,0,0,0,0,0
ANDHRA PRADESH,ANANTHAPUR,KANEKAL,0,0,0,0,0
ANDHRA PRADESH,ANANTHAPUR,KOTHACHERUVU,0,0,0,0,0
ANDHRA PRADESH,ANANTHAPUR,KUDAIR,0,0,0,0,0
ANDHRA PRADESH,ANANTHAPUR,KUNDURPI,0,0,0,0,0
ANDHRA PRADESH,ANANTHAPUR,LEPAKSHI,0,0,0,0,0
ANDHRA PRADESH,ANANTHAPUR,MADAKASIRA,0,0,0,0,0
ANDHRA PRADESH,ANANTHAPUR,MUDIGUBBA,0,0,0,0,0
ANDHRA PRADESH,ANANTHAPUR,NALLACHERUVU,0,0,0,0,0
ANDHRA PRADESH,ANANTHAPUR,NALLAMADA,0,0,0,0,0
ANDHRA PRADESH,ANANTHAPUR,NAMBULAPULIKUNTA,0,0,0,0,0
ANDHRA PRADESH,ANANTHAPUR,NARPALA,0,0,0,0,0
ANDHRA PRADESH,ANANTHAPUR,OBULADEVARACHERUVU,0,0,0,0,0
ANDHRA PRADESH,ANANTHAPUR,PAMIDI,0,0,0,0,0
ANDHRA PRADESH,ANANTHAPUR,PARIGI,0,0,0,0,0
ANDHRA PRADESH,ANANTHAPUR,PEDDAPAPPUR,0,0,0,0,0
ANDHRA PRADESH,ANANTHAPUR,PEDDAVADUGUR,0,0,0,0,0
ANDHRA PRADESH,ANANTHAPUR,PENUKONDA,0,0,0,0,0
ANDHRA PRADESH,ANANTHAPUR,PUTLUR,36,36,0,0,72
ANDHRA PRADESH,ANANTHAPUR,PUTTAPARTHI,0,0,0,0,0
ANDHRA PRADESH,ANANTHAPUR,RAMAGIRI,0,0,0,0,0
ANDHRA PRADESH,ANANTHAPUR,RAPTADU,0,0,0,0,0
ANDHRA PRADESH,ANANTHAPUR,RAYADURG,0,0,0,0,0
ANDHRA PRADESH,ANANTHAPUR,RODDAM,0,0,0,0,0
ANDHRA PRADESH,ANANTHAPUR,ROLLA,0,0,0,0,0
ANDHRA PRADESH,ANANTHAPUR,SETTUR,0,0,0,0,0
ANDHRA PRADESH,ANANTHAPUR,SINGANAMALA,0,0,0,0,0
ANDHRA PRADESH,ANANTHAPUR,SOMANDEPALLE,0,0,0,0,0
ANDHRA PRADESH,ANANTHAPUR,TADIMARRI,0,0,0,0,0
ANDHRA PRADESH,ANANTHAPUR,TADPATRI,0,0,0,0,0
ANDHRA PRADESH,ANANTHAPUR,TALUPULA,0,0,0,0,0
ANDHRA PRADESH,ANANTHAPUR,TANAKAL,0,0,0,0,0
ANDHRA PRADESH,ANANTHAPUR,URAVAKONDA,0,0,0,0,0
ANDHRA PRADESH,ANANTHAPUR,VAJRAKARUR,0,0,0,0,0
ANDHRA PRADESH,ANANTHAPUR,VIDAPANAKAL,0,0,0,0,0
ANDHRA PRADESH,ANANTHAPUR,YADIKI,0,0,0,0,0
ANDHRA PRADESH,ANANTHAPUR,YELLANUR,0,0,0,0,0
ANDHRA PRADESH,CHITTOOR,B.KOTHAKOTA,0,0,0,0,0
ANDHRA PRADESH,CHITTOOR,BAIREDDIPALLE,0,0,0,0,0
ANDHRA PRADESH,CHITTOOR,BANGARUPALEM,0,10,0,0,10
ANDHRA PRADESH,CHITTOOR,BUCHINAIDU KHANDRIGA,0,0,0,0,0
ANDHRA PRADESH,CHITTOOR,CHANDRAGIRI,0,0,0,0,0
ANDHRA PRADESH,CHITTOOR,CHINNAGOTTIGALLU,2,0,0,0,2
ANDHRA PRADESH,CHITTOOR,CHITTOOR,0,0,0,0,0
ANDHRA PRADESH,CHITTOOR,CHOWDE[ALLE,0,0,0,0,0
ANDHRA PRADESH,CHITTOOR,GANGADHARA NELLORE,0,0,0,0,0
ANDHRA PRADESH,CHITTOOR,GANGAVARAM,0,0,0,0,0
ANDHRA PRADESH,CHITTOOR,GUDIPALA,0,0,0,0,0
ANDHRA PRADESH,CHITTOOR,GUDUPALLE,0,0,0,0,0
ANDHRA PRADESH,CHITTOOR,GURRAMKONDA,0,0,0,0,0
ANDHRA PRADESH,CHITTOOR,IRALA,0,0,0,0,0
ANDHRA PRADESH,CHITTOOR,K.V.B. PURAM,0,0,0,0,0
ANDHRA PRADESH,CHITTOOR,KALAKADA,0,6,0,0,6
ANDHRA PRADESH,CHITTOOR,KALIKIRI,0,0,0,0,0
ANDHRA PRADESH,CHITTOOR,KAMACHANDRA PURAM,0,0,0,0,0
ANDHRA PRADESH,CHITTOOR,KAMBHAMVARIPALLE,0,0,0,0,0
ANDHRA PRADESH,CHITTOOR,KARVETINAGAR,0,0,0,0,0
ANDHRA PRADESH,CHITTOOR,KUPPAM,60,0,0,0,60
ANDHRA PRADESH,CHITTOOR,KURABALAKOTA,0,0,0,0,0
ANDHRA PRADESH,CHITTOOR,MADANAPALLE,0,0,0,0,0
ANDHRA PRADESH,CHITTOOR,MULAKALACHERUVU,0,0,0,0,0
ANDHRA PRADESH,CHITTOOR,NAGALAPURAM,0,0,0,0,0
ANDHRA PRADESH,CHITTOOR,NAGARI,0,0,0,0,0
ANDHRA PRADESH,CHITTOOR,NARAYANAVANAM,0,0,0,0,0
ANDHRA PRADESH,CHITTOOR,NIMMANAPALLE,0,0,0,0,0
ANDHRA PRADESH,CHITTOOR,NINDRA,0,0,0,0,0
ANDHRA PRADESH,CHITTOOR,PAKALA,0,0,0,0,0
ANDHRA PRADESH,CHITTOOR,PALAMANERU,0,0,0,0,0
ANDHRA PRADESH,CHITTOOR,PALASAMUDRAM,0,0,0,0,0
ANDHRA PRADESH,CHITTOOR,PEDDAMANDYAM,0,0,0,0,0
ANDHRA PRADESH,CHITTOOR,PEDDAPANJANI,0,0,0,0,0
ANDHRA PRADESH,CHITTOOR,PEDDATHIPPASAMDRAM,0,0,0,0,0
ANDHRA PRADESH,CHITTOOR,PENUMURU,0,0,0,0,0
ANDHRA PRADESH,CHITTOOR,PICHATURU,0,0,0,0,0
ANDHRA PRADESH,CHITTOOR,PILERU,0,0,0,0,0
ANDHRA PRADESH,CHITTOOR,PULICHERLA,0,0,0,0,0
ANDHRA PRADESH,CHITTOOR,PUNGANURU,0,0,0,0,0
ANDHRA PRADESH,CHITTOOR,PUTHALAPATTU,0,0,0,0,0
ANDHRA PRADESH,CHITTOOR,PUTTURU,0,0,0,0,0
ANDHRA PRADESH,CHITTOOR,RAMAKUPPAM,0,0,0,0,0
ANDHRA PRADESH,CHITTOOR,RAMASAMUDRAM,0,0,0,0,0
ANDHRA PRADESH,CHITTOOR,RENIGUNTA,0,0,0,0,0
ANDHRA PRADESH,CHITTOOR,ROMPICHERLA,0,0,0,0,0
ANDHRA PRADESH,CHITTOOR,SANTHIPURAM,0,0,0,0,0
ANDHRA PRADESH,CHITTOOR,SATYAVEDU,0,0,0,0,0
ANDHRA PRADESH,CHITTOOR,SODAM,0,0,0,0,0
ANDHRA PRADESH,CHITTOOR,SOMALA,0,0,0,0,0
ANDHRA PRADESH,CHITTOOR,SRIKALAHASTI,0,0,0,0,0
ANDHRA PRADESH,CHITTOOR,SRIRANGARAJAPURAM,0,0,0,0,0
ANDHRA PRADESH,CHITTOOR,THAMBALLAPALLE,0,0,0,0,0
ANDHRA PRADESH,CHITTOOR,THAVANAMPALLE,0,0,0,0,0
ANDHRA PRADESH,CHITTOOR,THOTTAMBEDA,0,0,0,0,0
ANDHRA PRADESH,CHITTOOR,TIRUPATI (RURAL),0,0,0,0,0
ANDHRA PRADESH,CHITTOOR,TIRUPATI (URBAN),0,0,0,0,0
ANDHRA PRADESH,CHITTOOR,VADAMALAPETA,0,0,0,0,0
ANDHRA PRADESH,CHITTOOR,VARADAIAHPALEM,0,0,0,0,0
ANDHRA PRADESH,CHITTOOR,VAYALPAD,0,0,0,0,0
ANDHRA PRADESH,CHITTOOR,VEDURUKUPPAM,0,22,0,0,22
ANDHRA PRADESH,CHITTOOR,VENKATAGIRIKOTA,0,0,0,0,0
ANDHRA PRADESH,CHITTOOR,VIJAYAPURAM,0,0,0,0,0
ANDHRA PRADESH,CHITTOOR,YADAMARI,0,0,0,0,0
ANDHRA PRADESH,CHITTOOR,YERPEDU,0,0,0,0,0
ANDHRA PRADESH,CHITTOOR,YERRAVARIPALEM,0,0,0,0,0
ANDHRA PRADESH,CUDDAPAH,ATLUR,0,0,0,0,0
ANDHRA PRADESH,CUDDAPAH,B.KODUR,0,0,0,0,0
ANDHRA PRADESH,CUDDAPAH,BADVEL,0,0,0,0,0
ANDHRA PRADESH,CUDDAPAH,BRAHMAMGARIMATHAM,0,0,0,0,0
ANDHRA PRADESH,CUDDAPAH,CHAKARAYAPET,0,0,0,0,0
ANDHRA PRADESH,CUDDAPAH,CHAPAD,0,0,0,0,0
ANDHRA PRADESH,CUDDAPAH,CHENNAMANDEM,0,0,0,0,0
ANDHRA PRADESH,CUDDAPAH,CHENNUR,NA,NA,NA,NA,NA
ANDHRA PRADESH,CUDDAPAH,CHINTHAKOMMADINNE,0,0,0,0,0
ANDHRA PRADESH,CUDDAPAH,CHITVEL,0,0,0,0,0
ANDHRA PRADESH,CUDDAPAH,CUDDAPAH,0,0,0,0,0
ANDHRA PRADESH,CUDDAPAH,DUVVUR,0,0,0,0,0
ANDHRA PRADESH,CUDDAPAH,GALIVEEDU,0,0,0,0,0
ANDHRA PRADESH,CUDDAPAH,GOPAVARAM,0,0,0,0,0
ANDHRA PRADESH,CUDDAPAH,JAMMALAMADUGU,0,0,0,0,0
ANDHRA PRADESH,CUDDAPAH,KALASAPADU,0,0,0,0,0
ANDHRA PRADESH,CUDDAPAH,KAMALAPURAM,0,0,0,0,0
ANDHRA PRADESH,CUDDAPAH,KHAJIPET,0,0,0,0,0
ANDHRA PRADESH,CUDDAPAH,KODUR,0,0,0,0,0
ANDHRA PRADESH,CUDDAPAH,KONDAPURAM,0,0,0,0,0
ANDHRA PRADESH,CUDDAPAH,LAKKIREDDIPALLE,0,0,0,0,0
ANDHRA PRADESH,CUDDAPAH,LINGALA,NA,NA,NA,NA,NA
ANDHRA PRADESH,CUDDAPAH,MUDDANUR,0,0,0,0,0
ANDHRA PRADESH,CUDDAPAH,MYLAVARAM,0,0,0,0,0
ANDHRA PRADESH,CUDDAPAH,NANDALUR,0,0,0,0,0
ANDHRA PRADESH,CUDDAPAH,OBULAVARIPALLE,0,0,0,0,0
ANDHRA PRADESH,CUDDAPAH,PEDDAMUDIUM,0,0,0,0,0
ANDHRA PRADESH,CUDDAPAH,PENAGALUR,0,0,0,0,0
ANDHRA PRADESH,CUDDAPAH,PENDLIMARRI,NA,NA,NA,NA,NA
ANDHRA PRADESH,CUDDAPAH,PORUMAMILLA,0,0,0,0,0
ANDHRA PRADESH,CUDDAPAH,PRODDUTUR,NA,NA,NA,NA,NA
ANDHRA PRADESH,CUDDAPAH,PULIVENDLA,NA,NA,NA,NA,NA
ANDHRA PRADESH,CUDDAPAH,PULLAMPETA,0,0,0,0,0
ANDHRA PRADESH,CUDDAPAH,RAJAMPET,0,0,0,0,0
ANDHRA PRADESH,CUDDAPAH,RAJUPALEM,0,0,0,0,0
ANDHRA PRADESH,CUDDAPAH,RAMAPURAM,0,0,0,0,0
ANDHRA PRADESH,CUDDAPAH,ROYACHOTI,0,0,0,0,0
ANDHRA PRADESH,CUDDAPAH,S.MYDUKUR,0,0,0,0,0
ANDHRA PRADESH,CUDDAPAH,SAMBEPALLE,0,0,0,0,0
ANDHRA PRADESH,CUDDAPAH,SIDHOUT,NA,NA,NA,NA,NA
ANDHRA PRADESH,CUDDAPAH,SIMHADRIPURAM,NA,NA,NA,NA,NA
ANDHRA PRADESH,CUDDAPAH,T.SUNDUPALLE,0,0,0,0,0
ANDHRA PRADESH,CUDDAPAH,THONDUR,0,0,0,0,0
ANDHRA PRADESH,CUDDAPAH,VALLUR,0,0,0,0,0
ANDHRA PRADESH,CUDDAPAH,VEERABALLE,0,0,0,0,0
ANDHRA PRADESH,CUDDAPAH,VEERAPUNAYUNIPALLE,0,0,0,0,0
ANDHRA PRADESH,CUDDAPAH,VEMPALLE,0,0,0,0,0
ANDHRA PRADESH,CUDDAPAH,VEMULA,0,0,0,0,0
ANDHRA PRADESH,CUDDAPAH,VONTIMITTA,0,0,0,0,0
ANDHRA PRADESH,CUDDAPAH,YERRAGUNTLA,0,0,0,0,0
ANDHRA PRADESH,EAST GODAVARI,ADDATEEGALA,0,0,0,0,0
ANDHRA PRADESH,EAST GODAVARI,AINAVILLI,NA,NA,NA,NA,NA
ANDHRA PRADESH,EAST GODAVARI,ALAMURU,NA,NA,NA,NA,NA
ANDHRA PRADESH,EAST GODAVARI,ALLAVARAM,NA,NA,NA,NA,NA
ANDHRA PRADESH,EAST GODAVARI,AMALAPURAM,NA,NA,NA,NA,NA
ANDHRA PRADESH,EAST GODAVARI,AMBAJIPETA,NA,NA,NA,NA,NA
ANDHRA PRADESH,EAST GODAVARI,ANAPARTHY,0,0,0,0,0
ANDHRA PRADESH,EAST GODAVARI,ATREYAPURAM,NA,NA,NA,NA,NA
ANDHRA PRADESH,EAST GODAVARI,BICCAVOLU,25,25,0,0,50
ANDHRA PRADESH,EAST GODAVARI,DEVIPATNAM,0,0,0,0,0
ANDHRA PRADESH,EAST GODAVARI,GANDEPALLE,4,0,0,0,4
ANDHRA PRADESH,EAST GODAVARI,GANGAVARAM,0,0,0,0,0
ANDHRA PRADESH,EAST GODAVARI,GOKAVARAM,272,0,0,0,272
ANDHRA PRADESH,EAST GODAVARI,GOLLAPROLU,0,0,0,0,0
ANDHRA PRADESH,EAST GODAVARI,I. POLAVARAM,NA,NA,NA,NA,NA
ANDHRA PRADESH,EAST GODAVARI,JAGGAMPETA,0,0,0,0,0
ANDHRA PRADESH,EAST GODAVARI,KADIAM,0,0,0,0,0
ANDHRA PRADESH,EAST GODAVARI,KAJULURU,NA,NA,NA,NA,NA
ANDHRA PRADESH,EAST GODAVARI,KAKINADA RURAL,NA,NA,NA,NA,NA
ANDHRA PRADESH,EAST GODAVARI,KAKINADA URBAN,NA,NA,NA,NA,NA
ANDHRA PRADESH,EAST GODAVARI,KAPILESWARAPURAM,NA,NA,NA,NA,NA
ANDHRA PRADESH,EAST GODAVARI,KARAPA,NA,NA,NA,NA,NA
ANDHRA PRADESH,EAST GODAVARI,KATRENIKONA,NA,NA,NA,NA,NA
ANDHRA PRADESH,EAST GODAVARI,KIRLAMPUDI,0,0,0,0,0
ANDHRA PRADESH,EAST GODAVARI,KORUKONDA,0,0,0,0,0
ANDHRA PRADESH,EAST GODAVARI,KOTANANDURU,0,0,0,0,0
ANDHRA PRADESH,EAST GODAVARI,KOTHAPALLE,NA,NA,NA,NA,NA
ANDHRA PRADESH,EAST GODAVARI,KOTHAPETA,NA,NA,NA,NA,NA
ANDHRA PRADESH,EAST GODAVARI,MALIKIPURAM,NA,NA,NA,NA,NA
ANDHRA PRADESH,EAST GODAVARI,MAMIDIKUDURU,NA,NA,NA,NA,NA
ANDHRA PRADESH,EAST GODAVARI,MANDAPETA,0,0,0,0,0
ANDHRA PRADESH,EAST GODAVARI,MAREDUMILLI,0,0,0,0,0
ANDHRA PRADESH,EAST GODAVARI,MUMMIDIVARAM,NA,NA,NA,NA,NA
ANDHRA PRADESH,EAST GODAVARI,P.GANNAVARAM,NA,NA,NA,NA,NA
ANDHRA PRADESH,EAST GODAVARI,PAMARRU,NA,NA,NA,NA,NA
ANDHRA PRADESH,EAST GODAVARI,PEDAPUDI,NA,NA,NA,NA,NA
ANDHRA PRADESH,EAST GODAVARI,PEDDAPURAM,37,0,0,0,37
ANDHRA PRADESH,EAST GODAVARI,PITHAPURAM,NA,NA,NA,NA,NA
ANDHRA PRADESH,EAST GODAVARI,PRATHIPADU,0,0,0,0,0
ANDHRA PRADESH,EAST GODAVARI,RAJAHMUNDRY RURAL,0,0,0,0,0
ANDHRA PRADESH,EAST GODAVARI,RAJAHMUNDRY URBAN,NA,NA,NA,NA,NA
ANDHRA PRADESH,EAST GODAVARI,RAJANAGARAM,0,0,0,0,0
ANDHRA PRADESH,EAST GODAVARI,RAJAVOMMANGI,0,0,0,0,0
ANDHRA PRADESH,EAST GODAVARI,RAMACHANDRAPURAM,NA,NA,NA,NA,NA
ANDHRA PRADESH,EAST GODAVARI,RAMPACHODAVARAM,0,0,0,0,0
ANDHRA PRADESH,EAST GODAVARI,RANGAMPETA,0,0,0,0,0
ANDHRA PRADESH,EAST GODAVARI,RAVULAPALEM,NA,NA,NA,NA,NA
ANDHRA PRADESH,EAST GODAVARI,RAYAVARAM,NA,NA,NA,NA,NA
ANDHRA PRADESH,EAST GODAVARI,RAZOLE,NA,NA,NA,NA,NA
ANDHRA PRADESH,EAST GODAVARI,SAKHINETIPALLE,NA,NA,NA,NA,NA
ANDHRA PRADESH,EAST GODAVARI,SAMALKOTA,108,0,0,0,108
ANDHRA PRADESH,EAST GODAVARI,SANKHAVARAM,64,0,0,0,64
ANDHRA PRADESH,EAST GODAVARI,SEETHANAGARAM,NA,NA,NA,NA,NA
ANDHRA PRADESH,EAST GODAVARI,THALLAREVU,NA,NA,NA,NA,NA
ANDHRA PRADESH,EAST GODAVARI,THONDANGI,88,0,0,0,88
ANDHRA PRADESH,EAST GODAVARI,TUNI,0,0,0,0,0
