-----
{
 "description": "The table refers to district wise culturable command area and potential created through surface flow scheme. It has been sourced from 2nd census of minor irrigation scheme(1993-94) from Ministry of Water Resources.", 
 "file_name": "Statetab4.11.csv", 
 "title": "Download CSV for Districtwise Culturable command area and potential created through Surface Flow Scheme for 2nd census of Minor Irrigation Schemes (1993-94)", 
 "url": "http://data.gov.in/sites/default/files/Statetab4.11.csv"
}
-----
State,District,Culturable Command Area,Irrigation Potential Created - Kharif,Irrigation Potential Created - Kharif,Irrigation Potential Created - Kharif,Irrigation Potential Created - Kharif,Total - Irrigation potential created
ANDHRA PRADESH,WARANGAL,109482,106732,23968,229,2,130931
ANDHRA PRADESH,WEST GODAVARI,39223,39207,597,18,0,39822
ARUNACHAL PRADESH,CHANGLANG,3678,3449,609,0,290,4348
ARUNACHAL PRADESH,DIBANG VALLEY,3050,2363,509,10,577,3459
ARUNACHAL PRADESH,EAST KAMENG,1610,1312,304,14,35,1665
ARUNACHAL PRADESH,EAST SIANG,12390,12759,1194,6,52,14011
ARUNACHAL PRADESH,LOHIT,3673,3185,424,11,288,3908
ARUNACHAL PRADESH,LOWER SUBANSIRI,7715,7851,26,0,0,7877
ARUNACHAL PRADESH,PAPUM PARE,1826,1680,334,27,75,2116
ARUNACHAL PRADESH,TAWANG,1617,1116,414,17,111,1658
ARUNACHAL PRADESH,TIRAP,1376,1174,133,0,84,1391
ARUNACHAL PRADESH,UPPER SIANG,2551,2353,378,137,50,2918
ARUNACHAL PRADESH,UPPER SUBANSIRI,2521,2422,81,24,56,2583
ARUNACHAL PRADESH,WEST KAMENG,1208,893,330,0,0,1223
ARUNACHAL PRADESH,WEST SIANG,1581,2214,721,3,26,2964
ASSAM,BARPETA,2476,2017,746,0,0,2763
ASSAM,BONGAIGAON,669,623,361,0,167,1151
ASSAM,CACHAR,279,190,107,0,9,306
ASSAM,DARRANG,29879,29110,7652,0,100,36862
ASSAM,DHEMAJI,185,181,20,0,0,201
ASSAM,DHUBRI,1432,1164,960,0,145,2269
ASSAM,DIBRUGARH,240,235,140,0,0,375
ASSAM,GOALPARA,10886,10646,635,0,0,11281
ASSAM,GOLAGHAT,740,730,320,0,0,1050
ASSAM,HAILAKANDI,NA,NA,NA,NA,NA,NA
ASSAM,JORHAT,1230,1230,712,0,0,1942
ASSAM,KAMRUP,5857,5510,1975,1,55,7541
ASSAM,KARBI ANGLONG,15290,13293,3343,225,604,17465
ASSAM,KARIMGANJ,380,300,339,0,0,639
ASSAM,KOKRAJHAR,10006,9849,3145,0,0,12994
ASSAM,LAKHIMPUR,1193,1068,175,0,0,1243
ASSAM,MARIGAON,5327,4987,392,0,13,5392
ASSAM,NAGAON,3237,2912,1359,0,290,4561
ASSAM,NALBARI,13560,13163,3852,0,55,17070
ASSAM,NORTH CACHAR HILLS,5178,5178,342,0,0,5520
ASSAM,SIBSAGAR,832,748,274,0,0,1022
ASSAM,SONITPUR,17792,17785,1115,0,125,19025
ASSAM,TINSUKIA,644,642,4,0,0,646
BIHAR,ARARIA,139,99,139,0,0,238
BIHAR,AURANGABAD,NA,NA,NA,NA,NA,NA
BIHAR,BANKA,23598,18834,7307,308,357,26806
BIHAR,BEGUSARAI,16,3,11,0,2,16
BIHAR,BHABUA,4533,3815,1986,5,80,5886
BIHAR,BHAGALPUR,6098,4298,2894,246,1283,8721
BIHAR,BHOJPUR,8076,6212,4017,32,47,10308
BIHAR,BOKARO,4213,2616,1775,80,13,4484
BIHAR,BUXAR,4160,4085,3802,24,5,7916
BIHAR,CHAMPARAN EAST,113,97,36,1,0,134
BIHAR,CHAMPARAN WEST,1900,1574,995,0,1,2570
BIHAR,CHATRA,15668,12063,4715,72,82,16932
BIHAR,DARBHANGA,341,217,323,4,0,544
BIHAR,DEOGHAR,14199,10082,5858,213,154,16307
BIHAR,DHANBAD,3520,2393,2036,51,81,4561
BIHAR,DUMKA,21673,15583,12410,659,789,29441
BIHAR,GARHWA,19364,16051,4949,113,152,21265
BIHAR,GAYA,130405,118801,18068,595,1247,138711
BIHAR,GIRIDIH,18084,14711,6214,164,180,21269
BIHAR,GODDA,17784,12589,7867,366,269,21091
BIHAR,GOPALGANJ,NA,NA,NA,NA,NA,NA
BIHAR,GUMLA,4615,3388,2039,294,257,5978
BIHAR,HAZARIBAG,6154,4650,2187,134,90,7061
BIHAR,JAMUI,37659,27923,12817,852,442,42034
BIHAR,JEHANABAD,17801,15286,7050,210,2503,25049
BIHAR,KATIHAR,NA,NA,NA,NA,NA,NA
BIHAR,KHAGARIA,30,30,20,0,10,60
BIHAR,KISHANGANJ,NA,NA,NA,NA,NA,NA
BIHAR,KODARMA,3054,2148,1305,14,23,3490
BIHAR,LAKHISARAI,9437,6567,3217,7,199,9990
BIHAR,LOHARDAGA,494,227,331,7,23,588
BIHAR,MADHEPURA,100,100,100,0,0,200
BIHAR,MADHUBANI,2363,1112,1786,44,99,3041
BIHAR,MUNGER,19225,12297,10514,0,0,22811
BIHAR,MUZAFFARPUR,310,216,299,0,6,521
BIHAR,NALANDA,20739,18464,3601,49,64,22178
BIHAR,NAWADA,96487,87986,12096,154,283,100519
BIHAR,PAKUR,7776,4916,7035,91,28,12070
BIHAR,PALAMU,61660,51852,19728,1141,982,73703
BIHAR,PATNA,11486,7394,4411,125,18,11948
BIHAR,PURNIA,45,19,30,0,0,49
BIHAR,RANCHI,2049,1289,1190,265,79,2823
BIHAR,ROHTAS,7812,6392,3327,35,69,9823
BIHAR,SAHARSA,45,45,30,0,15,90
BIHAR,SAHEBGANJ,5622,3744,2539,68,113,6464
BIHAR,SAMASTIPUR,1607,170,1454,7,2,1633
BIHAR,SARAN,4571,194,4567,100,1,4862
BIHAR,SHEIKHPURA,10039,9192,1153,15,20,10380
BIHAR,SHEOHAR,260,76,157,17,12,262
BIHAR,SINGHBHUM EAST,8494,6262,4706,135,199,11302
BIHAR,SINGHBHUM WEST,16468,11314,7207,1568,439,20528
BIHAR,SITAMARHI,3529,2307,1207,152,35,3701
BIHAR,SIWAN,114,58,80,4,2,144
BIHAR,SUPAUL,30,30,0,0,0,30
BIHAR,VAISHALI,85,59,19,4,4,86
GOA,NORTH GOA,6262,29,5151,1177,89,6446
GOA,SOUTH GOA,3238,324,2614,383,76,3397
GUJARAT,,NA,NA,NA,NA,NA,NA
HARYANA,AMBALA,1206,1204,1207,0,0,2411
HARYANA,BHIWANI,122,11,115,0,0,126
HARYANA,FARIDABAD,13,13,13,0,0,26
HARYANA,GURGAON,212,212,212,0,0,424
HARYANA,HISAR,NA,NA,NA,NA,NA,NA
HARYANA,JIND,NA,NA,NA,NA,NA,NA
HARYANA,KAITHAL,NA,NA,NA,NA,NA,NA
HARYANA,KARNAL,NA,NA,NA,NA,NA,NA
HARYANA,KURUKSHETRA,128,128,128,0,0,256
HARYANA,MEHANDERGARH,NA,NA,NA,NA,NA,NA
HARYANA,PANCHKULA,210,134,138,0,0,272
HARYANA,PANIPAT,NA,NA,NA,NA,NA,NA
HARYANA,RIWARI,NA,NA,NA,NA,NA,NA
HARYANA,ROHTAK,NA,NA,NA,NA,NA,NA
HARYANA,SIRSA,NA,NA,NA,NA,NA,NA
HARYANA,SONIPAT,NA,NA,NA,NA,NA,NA
HARYANA,YAMUNA NAGAR,NA,NA,NA,NA,NA,NA
HIMACHAL PRADESH,Bilaspur,2069,2060,2055,1,0,4116
HIMACHAL PRADESH,Chamba,4299,3792,3696,5,0,7493
HIMACHAL PRADESH,Hamirpur,754,741,727,7,0,1475
HIMACHAL PRADESH,Kangra,32597,31603,31341,521,52,63517
HIMACHAL PRADESH,Kinnaur,5895,4830,4456,830,0,10116
HIMACHAL PRADESH,Kullu,1673,1643,983,0,0,2626
HIMACHAL PRADESH,Lahul & Spiti,3296,1060,2267,0,0,3327
HIMACHAL PRADESH,Mandi,13020,12527,11945,62,1,24535
HIMACHAL PRADESH,Shimla,3848,3568,2887,80,19,6554
HIMACHAL PRADESH,Sirmaur,9658,8812,8447,150,1,17410
HIMACHAL PRADESH,Solan,7394,6814,6484,51,9,13358
HIMACHAL PRADESH,Una,412,262,409,2,0,673
JAMMU & KASHMIR,Anantnagh,60120,65073,22960,0,0,88033
JAMMU & KASHMIR,Baramulla,100998,98556,2442,0,0,100998
JAMMU & KASHMIR,Budgam,14769,12205,2565,0,0,14770
JAMMU & KASHMIR,Doda,10052,5589,5459,0,0,11048
JAMMU & KASHMIR,Jammu,150,116,96,0,0,212
JAMMU & KASHMIR,Kargil,7231,692,6540,0,0,7232
JAMMU & KASHMIR,Kathua,5858,3840,3752,0,0,7592
JAMMU & KASHMIR,Kupwara,985,997,0,0,0,997
JAMMU & KASHMIR,Leh,9756,686,9071,0,0,9757
JAMMU & KASHMIR,Poonch,680,811,0,0,0,811
JAMMU & KASHMIR,Pulwama,26421,27081,12593,0,0,39674
JAMMU & KASHMIR,Rajouri,5205,3112,0,2200,0,5312
JAMMU & KASHMIR,Srinagar,15558,14620,2703,0,0,17323
JAMMU & KASHMIR,Udhampur,8640,4634,4389,0,0,9023
KARNATAKA,BANGALORE RURAL,8280.01,7160.03,1786.83,956.56,146.7,10050.12
KARNATAKA,BANGALORE URBAN,2201.08,2443.37,542.9,1233.02,1.74,4221.03
KARNATAKA,BELGAUM,11049.03,8484.56,1919.37,4353.02,25,14781.95
KARNATAKA,BELLARY,4932.81,3514.28,1739.84,34.5,203.26,5491.88
KARNATAKA,BIDAR,11713.2,7513.83,7399.3,150.9,14.24,15078.27
KARNATAKA,BIJAPUR,13762.85,5977.9,5680.34,3786.78,1713.88,17158.9
KARNATAKA,CHIKKAMAGALORE,6694.91,3527.62,1122.83,1927.27,1183.24,7760.96
KARNATAKA,CHITRADURGA,3342.76,2692.15,878.89,1035.95,599.33,5206.32
KARNATAKA,DAKSHINA KANNADA,3149.8,348.68,1771.05,1363.48,105.27,3588.48
KARNATAKA,DHARWAR,15417.56,13114.95,3163.04,509.4,1156.08,17943.47
KARNATAKA,GULBARGA,14681.38,9790.31,5894.89,247.27,13,15945.47
KARNATAKA,HASSAN,24207.49,19558.43,7469.13,3818.54,764.85,31610.95
KARNATAKA,KODAGU,584.44,620.71,156.07,32,0.5,809.28
KARNATAKA,KOLAR,17130.57,17621.65,5393.95,483.18,276.67,23775.45
KARNATAKA,MANDYA,3066.16,1305.92,1516.37,824.8,14.53,3661.62
KARNATAKA,MYSORE,15502.42,13978.82,1776.35,105.86,344.31,16205.34
KARNATAKA,RAICHUR,5534.87,4558.81,2595.79,72.52,145.4,7372.52
KARNATAKA,SHIMOGA,15958.25,15194.27,1184.07,2452.7,477.56,19308.6
KARNATAKA,TUMKUR,8768.6,7115.85,1218.12,399.89,2695.34,11429.2
KARNATAKA,UTTARA KANNADA,17639.12,12735.99,5068.15,426.84,166.16,18397.14
KERALA,ALAPUZHA,517,462,344,9,87,902
KERALA,ERANAKULAM,12809,11812,8686,1566,1221,23285
KERALA,IDUKKI,5520,1910,1685,1146,1699,6440
KERALA,KANNUR,7150,2756,4150,1587,689,9182
KERALA,KASARAGODE,5088,2280,2773,1490,516,7059
KERALA,KOLLAM,7622,6584,6237,473,29,13323
KERALA,KOTTAYAM,8867,4335,8210,749,186,13480
KERALA,KOZHIKODE,4335,1632,1912,1898,1099,6541
KERALA,MALAPPURAM,10585,5613,7536,2271,1206,16626
KERALA,PALAKKAD,13625,9589,11140,705,1294,22728
KERALA,PATHANAMTHITTA,4742,2481,2612,508,596,6197
KERALA,THIRUVANANTHAPURAM,26483,14452,12432,7232,4054,38170
KERALA,THRISSUR,25392,17387,28268,8580,8885,63120
KERALA,WAYANAD,4306,3264,2897,313,443,6917
MADHYA PRADESH,BALAGHAT,40391,39603,3721,181,41,43546
MADHYA PRADESH,BASTAR,8131,7650,2133,0,0,9783
MADHYA PRADESH,BETUL,8088,590,7857,0,0,8447
MADHYA PRADESH,BHIND,781,1,781,0,0,782
MADHYA PRADESH,BHOPAL,3645,1696,3198,0,0,4894
MADHYA PRADESH,BILASPUR,45722,53231,13940,10,31,67212
MADHYA PRADESH,CHHATARPUR,5936,22,5917,3,3,5945
MADHYA PRADESH,CHHINDWARA,2522,1726,2220,10,1,3957
MADHYA PRADESH,DAMOH,8003,2145,8045,0,0,10190
MADHYA PRADESH,DATIA,31,0,31,0,0,31
MADHYA PRADESH,DEWAS,1902,398,1998,6,0,2402
MADHYA PRADESH,DHAR,5800,1695,4439,2,0,6136
MADHYA PRADESH,DURG,38295,38649,758,0,5,39412
MADHYA PRADESH,GUNA,4252,168,4474,0,0,4642
MADHYA PRADESH,GWALIOR,2077,480,2274,0,0,2754
MADHYA PRADESH,HOSHANGABAD,217,0,217,0,0,217
MADHYA PRADESH,INDORE,4250,2278,1982,0,0,4260
MADHYA PRADESH,JABALPUR,4767,1745,4517,8,0,6270
MADHYA PRADESH,JHABUA,14196,1317,12478,2603,1351,17749
MADHYA PRADESH,KHANDWA,1468,419,1168,9,104,1700
MADHYA PRADESH,KHARGONE,11849,7182,6175,58,1,13416
MADHYA PRADESH,MANDLA,8866,6396,2737,17,0,9150
MADHYA PRADESH,MANDSAUR,1355,220,1246,15,0,1481
MADHYA PRADESH,MORENA,2824,65,2767,0,0,2832
MADHYA PRADESH,NARSIMHAPUR,1418,105,2925,0,0,3030
MADHYA PRADESH,PANNA,8443,1282,9503,0,0,10785
MADHYA PRADESH,RAIGARH,63579,54235,11653,1039,3,66930
MADHYA PRADESH,RAIPUR,56895,55890,7164,13,57,63124
MADHYA PRADESH,RAISEN,3529,0,3535,0,0,3535
MADHYA PRADESH,RAJGARH,3165,57,3131,0,0,3188
MADHYA PRADESH,RAJNANDGAON,19395,25499,2258,54,0,27811
MADHYA PRADESH,RATLAM,2791,395,2464,2,20,2881
MADHYA PRADESH,REWA,15983,13995,14830,0,5,28830
MADHYA PRADESH,SAGAR,4296,9,4429,0,0,4438
MADHYA PRADESH,SATNA,6362,4381,5382,195,0,9958
MADHYA PRADESH,SEHORE,8038,2435,8643,0,0,11078
MADHYA PRADESH,SEONI,5643,4038,1822,8,18,5886
MADHYA PRADESH,SHAHDOL,29068,18061,20696,6,13,38776
MADHYA PRADESH,SHAJAPUR,10569,158,10438,37,3,10636
MADHYA PRADESH,SHIVPURI,18624,4137,19817,0,0,23954
MADHYA PRADESH,SIDHI,11360,1218,10292,0,0,11510
MADHYA PRADESH,SURGUJA,54717,46190,14658,2890,30,63768
MADHYA PRADESH,TIKAMGARH,9798,208,9842,0,0,10050
MADHYA PRADESH,UJJAIN,2454,468,2108,22,8,2606
MADHYA PRADESH,VIDISHA,1803,0,1803,0,0,1803
MAHARASHTRA,,NA,NA,NA,NA,NA,NA
MANIPUR,BISHNUPUR,2960,2900,560,0,130,3590
MANIPUR,CHANDEL,925,925,551,0,0,1476
MANIPUR,CHURACHANDPUR,2748,2743,1387,0,0,4130
MANIPUR,IMPHAL,3035,3000,234,0,116,3350
MANIPUR,SENAPATI,1370,1137,1115,0,0,2252
MANIPUR,TAMENGLONG,852,563,437,0,0,1000
MANIPUR,THOUBAL,8124,8084,914,0,818,9816
MANIPUR,UKHRUL,1007,763,475,0,0,1238
MEGHALAYA,EAST GARO HILLS,7457,6316,2008,57,511,8892
MEGHALAYA,EAST KHASI HILLS,5503,3736,782,1376,112,6006
MEGHALAYA,JAINTIA HILLS,17237,14167,5305,1393,401,21266
MEGHALAYA,RI BHOI DISTRICT,7207,6807,1068,3,117,7995
MEGHALAYA,SOUTH GARO HILLS,1589,1502,1077,0,0,2579
MEGHALAYA,WEST GARO HILLS,8722,8119,3166,698,107,12090
MEGHALAYA,WEST KHASI HILLS,12973,11541,2130,199,21,13891
MIZORAM,AIZAWL,5295,4545,760,9,0,5314
MIZORAM,CHHIMTUIPUI,459,422,132,43,0,597
MIZORAM,LUNGLEI,728,486,30,215,0,731
NAGALAND,KOHIMA,21648,21800,80,0,0,21880
NAGALAND,MOKOKCHUNG,8192,8248,179,111,11,8549
NAGALAND,MON,2786,3040,10,0,0,3050
NAGALAND,PHEK,16968,17531,6,0,2,17539
NAGALAND,TUENSANG,7288,7315,0,0,4,7319
NAGALAND,WOKHA,4049,4083,6,2,0,4091
NAGALAND,ZUNHEBOTO,1914,2057,9,0,0,2066
ORISSA,ANGUL,16244,15377,3476,117,0,18970
ORISSA,BALASORE,6883,6615,768,0,1,7384
ORISSA,BARAGARH,41676,43771,3914,117,783,48585
ORISSA,BHADRAK,926,284,623,0,128,1035
ORISSA,BOLANGIR,44138,42366,3367,158,20,45911
ORISSA,BOUDH,14856,12318,627,5,2376,15326
ORISSA,CUTTACK,13645,13187,4620,427,28,18262
ORISSA,DEOGARH,3562,3202,1535,45,318,5100
ORISSA,DHENKANAL,20783,20321,4251,115,3,24690
ORISSA,GAJAPATI,19096,18413,3043,58,83,21597
ORISSA,GANJAM,125653,162392,13860,400,148,176800
ORISSA,JAGATSINGHPUR,2038,2012,12,0,20,2044
ORISSA,JAJPUR,6005,5550,1694,12,237,7493
ORISSA,JHARSUGUDA,4292,4071,2765,17,58,6911
ORISSA,KALAHANDI,25560,25416,5264,88,25,30793
ORISSA,KENDRAPARA,246,7,243,0,0,250
ORISSA,KEONJHAR,18071,16583,3426,12,12,20033
ORISSA,KHURDA,12557,12217,2369,183,49,14818
ORISSA,KORAPUT,23089,21233,9810,287,18,31348
ORISSA,MALKANGIRI,1259,1168,364,10,0,1542
ORISSA,MAYURBHANJ,36662,35380,10658,147,639,46824
ORISSA,NAYAGARH,12997,10814,3341,295,838,15288
ORISSA,NOWRANGPUR,5800,4871,1581,9,0,6461
ORISSA,NUAPADA,20458,19938,1650,7,67,21662
ORISSA,PHULBANI,7754,7888,2323,10,144,10365
ORISSA,PURI,4287,305,4537,96,10,4948
ORISSA,RAYAGADA,39488,39334,5853,106,74,45367
ORISSA,SAMBALPUR,14946,12008,2564,107,3568,18247
ORISSA,SONEPUR,11516,11376,1119,5,0,12500
ORISSA,SUNDARGARH,14678,14146,3618,19,1,17784
PUNJAB,AMRITSAR,49,49,49,0,6,104
PUNJAB,BATHINDA,11,11,11,0,0,22
PUNJAB,FARIDKOT,NA,NA,NA,NA,NA,NA
PUNJAB,FATEHGARH SAHIB,4,4,4,0,0,8
PUNJAB,FEROZEPUR,NA,NA,NA,NA,NA,NA
PUNJAB,GURDASPUR,158,160,190,0,0,350
PUNJAB,HOSHIARPUR,4158,2728,5015,31,100,7874
PUNJAB,JALANDHAR,NA,NA,NA,NA,NA,NA
PUNJAB,KAPURTHALA,NA,NA,NA,NA,NA,NA
PUNJAB,LUDHIANA,NA,NA,NA,NA,NA,NA
PUNJAB,MANSA,NA,NA,NA,NA,NA,NA
PUNJAB,PATIALA,NA,NA,NA,NA,NA,NA
PUNJAB,ROPAR,877,436,849,6,4,1295
PUNJAB,SANGRUR,301,299,299,0,0,598
RAJASTHAN,AJMER,28053,11248,23830,21,18,35117
RAJASTHAN,ALWAR,NA,NA,NA,NA,NA,NA
RAJASTHAN,BANSWARA,7912,1576,7428,16,18,9038
RAJASTHAN,BARAN,4132,1881,4132,0,0,6013
RAJASTHAN,BARMER,NA,NA,NA,NA,NA,NA
RAJASTHAN,BHARATPUR,165,0,165,0,0,165
RAJASTHAN,BHILWARA,14616,6,14636,2,0,14644
RAJASTHAN,BIKANER,0,0,0,0,0,0
RAJASTHAN,BUNDI,2666,90,2666,0,0,2756
RAJASTHAN,CHITTORGARH,2023,0,2023,0,0,2023
RAJASTHAN,CHURU,1,0,1,0,0,1
RAJASTHAN,DAUSA,1696,0,1696,0,0,1696
RAJASTHAN,DHOLPUR,1220,0,1220,0,0,1220
RAJASTHAN,DUNGARPUR,8503,1760,7460,48,130,9398
RAJASTHAN,GANGANAGAR,NA,NA,NA,NA,NA,NA
RAJASTHAN,HANUMANGARH,NA,NA,NA,NA,NA,NA
RAJASTHAN,JAIPUR,2803,382,2406,10,81,2879
RAJASTHAN,JAISALMER,NA,NA,NA,NA,NA,NA
RAJASTHAN,JALORE,127,0,127,0,0,127
RAJASTHAN,JHALAWAR,2592,0,2592,0,0,2592
RAJASTHAN,JHUNJHNU,287,41,261,0,0,302
RAJASTHAN,JODHPUR,617,0,617,0,0,617
RAJASTHAN,KOTA,1727,0,1727,0,0,1727
RAJASTHAN,NAGAUR,1069,0,1069,0,0,1069
RAJASTHAN,PALI,10627,0,10627,0,0,10627
RAJASTHAN,RAJSAMAND,3422,32,3422,0,0,3454
RAJASTHAN,SAWAI-MADHOPUR,5112,0,5112,0,0,5112
RAJASTHAN,SIKAR,190,26,188,0,9,223
RAJASTHAN,SIROHI,5243,17,5226,0,0,5243
RAJASTHAN,TONK,19867,4639,15228,0,0,19867
RAJASTHAN,UDAIPUR,6130,420,5777,4,0,6201
SIKKIM,EAST SIKKIM,7728,4712,2334,828,513,8387
SIKKIM,NORTH SIKKIM,1451,980,560,132,54,1726
SIKKIM,SOUTH SIKKIM,4373,3354,1618,294,185,5451
SIKKIM,WEST SIKKIM,3649,2496,1318,542,99,4455
TAMIL NADU,COIMBATORE,373.65,118,0.95,290.43,1.55,410.93
TAMIL NADU,CUDDALORE,13661.51,5356.7,8358.88,281.74,1175.91,15173.23
TAMIL NADU,DHARMAPURI,16649.92,15596.71,42051.1,1974.38,4073.81,63696
TAMIL NADU,DINDIGUL,5146.05,146.38,6113.38,1339.28,2200.64,9799.68
TAMIL NADU,ERODE,2613.96,3010.3,1421.22,71.34,648.31,5151.17
TAMIL NADU,KANCHIPURAM,23879.2,17271.18,16370.97,2941.83,7550.53,44134.51
TAMIL NADU,KANNIYAKUMARI,28270.97,20681.68,20352.51,8124.41,897.43,50056.03
TAMIL NADU,KARUR,313.57,267.72,153.89,8.99,1.96,432.56
TAMIL NADU,MADRAS,NA,NA,NA,NA,NA,NA
TAMIL NADU,MADURAI,54.35,93.79,0,21.68,0.4,115.87
TAMIL NADU,NAGAPATTINAM,1263.95,1131.88,217.21,0,0,1349.09
TAMIL NADU,NAMAKKAL,1847.23,1990.1,85.47,12.14,312.25,2399.96
TAMIL NADU,PERAMBALUR,13561.81,2870.28,11627.1,787.11,34.85,15319.34
TAMIL NADU,PUDUKOTTAI,70457.49,19764.91,54227.81,75.9,65.33,74133.95
TAMIL NADU,RAMNATHAPURAM,74177.07,42145.38,29228.61,2880.23,161.59,74415.81
TAMIL NADU,SALEM,2306.15,1649.49,53.51,694.58,12.57,2410.15
TAMIL NADU,SIVAGANGA,81410.01,24764.72,53019.07,612.72,7772.24,86168.75
TAMIL NADU,THANJAVUR,110325.03,93394.91,42910.84,3613.2,1710.02,141628.97
TAMIL NADU,THE NILGIRIS,NA,NA,NA,NA,NA,NA
TAMIL NADU,THENI,2089.31,542.43,912.92,721.6,9.75,2186.7
TAMIL NADU,THOOTHUGUDI,16804.67,12936.08,21239.96,2789.14,1796.58,38761.76
TAMIL NADU,TIRUNELVELI,68662.32,46650.57,44030.84,1117.96,467.68,92267.05
TAMIL NADU,TIRUVALLUR,37308.12,26170.49,11891.09,4089.88,593.66,42745.12
TAMIL NADU,TIRUVANNAMALAI,76087.75,20720.6,27732.5,4588.04,35794.69,88835.83
TAMIL NADU,TIRUVARUR,14627.16,14064.14,6840.96,19.93,45.19,20970.22
TAMIL NADU,TRICHIRAPPALLI,15744.07,6617.85,13063.31,1699.85,277.45,21658.46
TAMIL NADU,VELLORE,10538.41,5687.51,4987.08,1559.99,1157.72,13392.3
TAMIL NADU,VILLUPURAM,24638.91,8766.53,14804.22,1140.37,2115.09,26826.21
TAMIL NADU,VIRUDHUNAGAR,35006.18,17693.08,14199.44,546.9,2996.94,35436.36
TRIPURA,DHALAI,823,374,595,35,74,1078
TRIPURA,NORTH,552,346,306,7,91,750
TRIPURA,SOUTH,4518,1378,3191,62,130,4761
TRIPURA,WEST,1692,654,1169,11,41,1875
UTTAR PRADESH,AGRA,144,46,166,5,4,221
UTTAR PRADESH,ALIGARH,NA,NA,NA,NA,NA,NA
UTTAR PRADESH,ALLAHABAD,192,66,250,10,10,336
UTTAR PRADESH,ALMORA,12208,10914,10175,578,42,21709
UTTAR PRADESH,AMBEDKAR NAGAR,NA,NA,NA,NA,NA,NA
UTTAR PRADESH,AZAMGARH,30,77,0,0,0,77
UTTAR PRADESH,BADAUN,NA,NA,NA,NA,NA,NA
UTTAR PRADESH,BAHRAICH,6,2,4,0,0,6
UTTAR PRADESH,BALLIA,696,422,585,34,57,1098
UTTAR PRADESH,BANDA,227,55,136,37,0,228
UTTAR PRADESH,BARABANKI,NA,NA,NA,NA,NA,NA
UTTAR PRADESH,BAREILLY,NA,NA,NA,NA,NA,NA
UTTAR PRADESH,BASTI,NA,NA,NA,NA,NA,NA
UTTAR PRADESH,BIJNOR,NA,NA,NA,NA,NA,NA
UTTAR PRADESH,BULANDSHAHR,NA,NA,NA,NA,NA,NA
UTTAR PRADESH,CHAMOLI(GOPESHWAR),6158,4309,4624,80,14,9027
UTTAR PRADESH,DEHRADUN,3924,2870,2811,224,173,6078
UTTAR PRADESH,DEORIA,5,0,5,0,0,5
UTTAR PRADESH,ETAH,NA,NA,NA,NA,NA,NA
UTTAR PRADESH,ETAWAH,1,0,1,0,0,1
UTTAR PRADESH,FAIZABAD,NA,NA,NA,NA,NA,NA
UTTAR PRADESH,FARUKHABAD,80,25,55,0,0,80
UTTAR PRADESH,FATEHPUR,NA,NA,NA,NA,NA,NA
UTTAR PRADESH,FIROZABAD,NA,NA,NA,NA,NA,NA
UTTAR PRADESH,GHAZIABAD,NA,NA,NA,NA,NA,NA
UTTAR PRADESH,GHAZIPUR,22,17,20,6,4,47
UTTAR PRADESH,GONDA,1852,579,1439,84,57,2159
UTTAR PRADESH,GORAKHPUR,NA,NA,NA,NA,NA,NA
