-----
{
 "description": "The table refers to block wise distribution of Deep Tubewells by status . The report has been sourced from 2nd census of minor irrigation scheme(1993-94) from ministry of water resources.", 
 "file_name": "blckdptbwltab3.5.csv", 
 "title": "Download CSV for Block wise Distribution of Deep Tubewells by Status for 2nd Census of Minor Irrigation Schemes (1993-94)", 
 "url": "http://data.gov.in/sites/default/files/blckdptbwltab3.5.csv"
}
-----
-----
{
 "description": "The table refers to block wise distribution of Deep Tubewells according to average length of water conveyance channel . The report has been sourced from 2nd census of minor irrigation scheme(1993-94) from ministry of water resources.", 
 "file_name": "blckdptbwltab3.12.csv", 
 "title": "Download CSV for Block wise Distribution of Deep Tubewells according to average length of water conveyance channel for 2nd Census of Minor Irrigation Schemes (1993-94)", 
 "url": "http://data.gov.in/sites/default/files/blckdptbwltab3.12.csv"
}
-----
"State","District","Block","Total","Average length of channels - Pucca","Average length of channels - Kuccha","Average length of channels - Underground"
"ANDHRA PRADESH","WEST GODAVARI","GANAPAVARAM",NA,NA,NA,NA
"ANDHRA PRADESH","WEST GODAVARI","GOPALAPURAM",58,0,1027,1
"ANDHRA PRADESH","WEST GODAVARI","IRAGAVARAM",NA,NA,NA,NA
"ANDHRA PRADESH","WEST GODAVARI","JANGAREDDIGUDEM",229,0,323,0
"ANDHRA PRADESH","WEST GODAVARI","JEELUGU MILLI",56,3,172,8
"ANDHRA PRADESH","WEST GODAVARI","KALLA",NA,NA,NA,NA
"ANDHRA PRADESH","WEST GODAVARI","KAMAVARAPUKOTA",704,2,399,0
"ANDHRA PRADESH","WEST GODAVARI","KOVVUR",12,0,60,0
"ANDHRA PRADESH","WEST GODAVARI","KOYYALAGUDEM",304,22,130,0
"ANDHRA PRADESH","WEST GODAVARI","LINGAPALEM",380,110,40,46
"ANDHRA PRADESH","WEST GODAVARI","MOGALTHUR",NA,NA,NA,NA
"ANDHRA PRADESH","WEST GODAVARI","NALLAJERLA",1372,0,278,0
"ANDHRA PRADESH","WEST GODAVARI","NARASAPURAM",NA,NA,NA,NA
"ANDHRA PRADESH","WEST GODAVARI","NIDADAVOLE",851,0,173,0
"ANDHRA PRADESH","WEST GODAVARI","NIDAMARRU",NA,NA,NA,NA
"ANDHRA PRADESH","WEST GODAVARI","PALACOLE",NA,NA,NA,NA
"ANDHRA PRADESH","WEST GODAVARI","PALAKODERU",NA,NA,NA,NA
"ANDHRA PRADESH","WEST GODAVARI","PEDAPADU",360,0,69,0
"ANDHRA PRADESH","WEST GODAVARI","PEDAVEGI",NA,NA,NA,NA
"ANDHRA PRADESH","WEST GODAVARI","PENTAPADU",10,0,362,0
"ANDHRA PRADESH","WEST GODAVARI","PENUGONDA",NA,NA,NA,NA
"ANDHRA PRADESH","WEST GODAVARI","PENUMANTRA",NA,NA,NA,NA
"ANDHRA PRADESH","WEST GODAVARI","PERAVALI",NA,NA,NA,NA
"ANDHRA PRADESH","WEST GODAVARI","PODURU",NA,NA,NA,NA
"ANDHRA PRADESH","WEST GODAVARI","POLAVARAM",1,0,120,0
"ANDHRA PRADESH","WEST GODAVARI","T.NARASAPURAM",89,6,183,5
"ANDHRA PRADESH","WEST GODAVARI","TADEPALLIGUDEM",1888,49,19,0
"ANDHRA PRADESH","WEST GODAVARI","TANUKU",NA,NA,NA,NA
"ANDHRA PRADESH","WEST GODAVARI","THALLAPUDI",8,0,150,0
"ANDHRA PRADESH","WEST GODAVARI","UNDI",NA,NA,NA,NA
"ANDHRA PRADESH","WEST GODAVARI","UNDRAJAVARAM",NA,NA,NA,NA
"ANDHRA PRADESH","WEST GODAVARI","UNGUTURU",988,0,56,2
"ANDHRA PRADESH","WEST GODAVARI","VEERAVASARAM",NA,NA,NA,NA
"ANDHRA PRADESH","WEST GODAVARI","YELAMANCHILI",NA,NA,NA,NA
"ARUNACHAL PRADESH","CHANGLANG","BORDUMSA-DIYUM",NA,NA,NA,NA
"ARUNACHAL PRADESH","CHANGLANG","CHANGLANG",NA,NA,NA,NA
"ARUNACHAL PRADESH","CHANGLANG","KAAGAM-MIAO",NA,NA,NA,NA
"ARUNACHAL PRADESH","CHANGLANG","NAMPONG-MANMAO",NA,NA,NA,NA
"ARUNACHAL PRADESH","DIBANG VALLEY","ANINI, ETALIN",NA,NA,NA,NA
"ARUNACHAL PRADESH","DIBANG VALLEY","HUNLI, KRONLI",NA,NA,NA,NA
"ARUNACHAL PRADESH","DIBANG VALLEY","ROING-DAMBUK",NA,NA,NA,NA
"ARUNACHAL PRADESH","EAST KAMENG","BAMENG",NA,NA,NA,NA
"ARUNACHAL PRADESH","EAST KAMENG","CHYANG TAJO",NA,NA,NA,NA
"ARUNACHAL PRADESH","EAST KAMENG","PAKKE-KESSANG",NA,NA,NA,NA
"ARUNACHAL PRADESH","EAST KAMENG","SEPPA",NA,NA,NA,NA
"ARUNACHAL PRADESH","EAST SIANG","MEBO",NA,NA,NA,NA
"ARUNACHAL PRADESH","EAST SIANG","PANGIN-BOLENG C.D BK",NA,NA,NA,NA
"ARUNACHAL PRADESH","EAST SIANG","PASIGHAT C.D BLOCK",NA,NA,NA,NA
"ARUNACHAL PRADESH","EAST SIANG","RAMLE-BANGO CD BLOCK",NA,NA,NA,NA
"ARUNACHAL PRADESH","LOHIT","HAWAI-WALLONG",NA,NA,NA,NA
"ARUNACHAL PRADESH","LOHIT","HAYULIANG",NA,NA,NA,NA
"ARUNACHAL PRADESH","LOHIT","NAMSAI-CHOWKHAM",NA,NA,NA,NA
"ARUNACHAL PRADESH","LOHIT","TEZU-SUNPURA",NA,NA,NA,NA
"ARUNACHAL PRADESH","LOHIT","WAKRO",NA,NA,NA,NA
"ARUNACHAL PRADESH","LOWER SUBANSIRI","CHAMBANG",NA,NA,NA,NA
"ARUNACHAL PRADESH","LOWER SUBANSIRI","DAMIN",NA,NA,NA,NA
"ARUNACHAL PRADESH","LOWER SUBANSIRI","KOLORIANG",NA,NA,NA,NA
"ARUNACHAL PRADESH","LOWER SUBANSIRI","NYAPIN",NA,NA,NA,NA
"ARUNACHAL PRADESH","LOWER SUBANSIRI","PALIN",NA,NA,NA,NA
"ARUNACHAL PRADESH","LOWER SUBANSIRI","PARSI-PARLO",NA,NA,NA,NA
"ARUNACHAL PRADESH","LOWER SUBANSIRI","PISTANA",NA,NA,NA,NA
"ARUNACHAL PRADESH","LOWER SUBANSIRI","RAGA",NA,NA,NA,NA
"ARUNACHAL PRADESH","LOWER SUBANSIRI","SANGRAM",NA,NA,NA,NA
"ARUNACHAL PRADESH","LOWER SUBANSIRI","SARLI",NA,NA,NA,NA
"ARUNACHAL PRADESH","LOWER SUBANSIRI","TALI",NA,NA,NA,NA
"ARUNACHAL PRADESH","LOWER SUBANSIRI","YACHULI",NA,NA,NA,NA
"ARUNACHAL PRADESH","LOWER SUBANSIRI","ZIRO-I",NA,NA,NA,NA
"ARUNACHAL PRADESH","PAPUM PARE","KIMIN-DOIMUKH",NA,NA,NA,NA
"ARUNACHAL PRADESH","PAPUM PARE","SAGALEE",NA,NA,NA,NA
"ARUNACHAL PRADESH","TAWANG","LUMLA",NA,NA,NA,NA
"ARUNACHAL PRADESH","TAWANG","TAWANG",NA,NA,NA,NA
"ARUNACHAL PRADESH","TAWANG","THIMBUMUKTO",NA,NA,NA,NA
"ARUNACHAL PRADESH","TIRAP","NAMSANG C.D BLOCK",NA,NA,NA,NA
"ARUNACHAL PRADESH","TIRAP","NIAUSA C.D BLOCK",NA,NA,NA,NA
"ARUNACHAL PRADESH","TIRAP","PONGCHAU-WAKKA C.D.",NA,NA,NA,NA
"ARUNACHAL PRADESH","UPPER SIANG","JENGGING",NA,NA,NA,NA
"ARUNACHAL PRADESH","UPPER SIANG","MARIYANG",NA,NA,NA,NA
"ARUNACHAL PRADESH","UPPER SIANG","TUTING",NA,NA,NA,NA
"ARUNACHAL PRADESH","UPPER SIANG","YINGKIONG",NA,NA,NA,NA
"ARUNACHAL PRADESH","UPPER SUBANSIRI","DAPORIJO",NA,NA,NA,NA
"ARUNACHAL PRADESH","UPPER SUBANSIRI","DUMPORIJO",NA,NA,NA,NA
"ARUNACHAL PRADESH","UPPER SUBANSIRI","GIBA",NA,NA,NA,NA
"ARUNACHAL PRADESH","UPPER SUBANSIRI","NACHO",NA,NA,NA,NA
"ARUNACHAL PRADESH","UPPER SUBANSIRI","TALIHA",NA,NA,NA,NA
"ARUNACHAL PRADESH","WEST KAMENG","DIRANG",NA,NA,NA,NA
"ARUNACHAL PRADESH","WEST KAMENG","KALAKTANG",NA,NA,NA,NA
"ARUNACHAL PRADESH","WEST KAMENG","THRIZINO",NA,NA,NA,NA
"ARUNACHAL PRADESH","WEST SIANG","ALONG",NA,NA,NA,NA
"ARUNACHAL PRADESH","WEST SIANG","BASAR",NA,NA,NA,NA
"ARUNACHAL PRADESH","WEST SIANG","GENSI",NA,NA,NA,NA
"ARUNACHAL PRADESH","WEST SIANG","KAYING-PAYUM",NA,NA,NA,NA
"ARUNACHAL PRADESH","WEST SIANG","LIROMOBA",NA,NA,NA,NA
"ARUNACHAL PRADESH","WEST SIANG","MECHUKHA",NA,NA,NA,NA
"ARUNACHAL PRADESH","WEST SIANG","RUMGONG",NA,NA,NA,NA
"ASSAM","BARPETA","BAJALI",2,621,88,0
"ASSAM","BARPETA","BARPETA",2,0,0,1556
"ASSAM","BARPETA","BHAWANIPUR",NA,NA,NA,NA
"ASSAM","BARPETA","CHENGA",5,0,0,1056
"ASSAM","BARPETA","GOBARDHANA",NA,NA,NA,NA
"ASSAM","BARPETA","JALAH",2,499,0,0
"ASSAM","BARPETA","MANDIA",NA,NA,NA,NA
"ASSAM","BARPETA","RUPSI",NA,NA,NA,NA
"ASSAM","BONGAIGAON","BOITAMARI",9,0,0,1038
"ASSAM","BONGAIGAON","BOROBAZAR",NA,NA,NA,NA
"ASSAM","BONGAIGAON","MANIKPUR",NA,NA,NA,NA
"ASSAM","BONGAIGAON","SIDLI-CHIRANG",14,119,150,376
"ASSAM","BONGAIGAON","SRIJANGRAM",5,0,0,285
"ASSAM","CACHAR","KATIGORA",NA,NA,NA,NA
"ASSAM","CACHAR","LAKHIPUR",NA,NA,NA,NA
"ASSAM","CACHAR","NARSHINGPUR",1,700,0,0
"ASSAM","CACHAR","RAJABAZAR",NA,NA,NA,NA
"ASSAM","CACHAR","SALCHAPRA",NA,NA,NA,NA
"ASSAM","CACHAR","SONAI",4,426,28,0
"ASSAM","CACHAR","UDARBOND",NA,NA,NA,NA
"ASSAM","DARRANG","DALGAON SIALMARI",22,300,12,569
"ASSAM","DARRANG","KALAIGAON",11,201,10,913
"ASSAM","DARRANG","KHAIRABARI",NA,NA,NA,NA
"ASSAM","DARRANG","MAZBAT",1,0,0,970
"ASSAM","DARRANG","SIPAJHAR",NA,NA,NA,NA
"ASSAM","DARRANG","UDALGURI",NA,NA,NA,NA
"ASSAM","DHEMAJI","BORDOLONI",NA,NA,NA,NA
"ASSAM","DHEMAJI","DHEMAJI",15,0,0,2579
"ASSAM","DHEMAJI","MURKONGSELLECK",NA,NA,NA,NA
"ASSAM","DHUBRI","AGAMONI",4,0,200,313
"ASSAM","DHUBRI","BILASIPARA",NA,NA,NA,NA
"ASSAM","DHUBRI","CHAPAR SALKOCHA",2,0,150,300
"ASSAM","DHUBRI","GAURIPUR",3,0,285,0
"ASSAM","DHUBRI","GOLOKGANJ",6,746,0,667
"ASSAM","DHUBRI","MANKACHAR",4,0,200,300
"ASSAM","DHUBRI","SOUTH SALMARA",1,0,0,1400
"ASSAM","DIBRUGARH","BARBARUAH",NA,NA,NA,NA
"ASSAM","DIBRUGARH","JOYPUR",1,0,0,0
"ASSAM","DIBRUGARH","KHOWANG",3,0,0,1275
"ASSAM","DIBRUGARH","LAHOWAL",9,0,0,500
"ASSAM","DIBRUGARH","PANITOLA",NA,NA,NA,NA
"ASSAM","DIBRUGARH","TENGAKHAT",2,0,0,750
"ASSAM","GOALPARA","BALIJANA",10,173,0,1331
"ASSAM","GOALPARA","DUDHNOI",NA,NA,NA,NA
"ASSAM","GOALPARA","LAKHIPUR",5,0,0,1661
"ASSAM","GOALPARA","MATIA",21,359,31,738
"ASSAM","GOLAGHAT","GOLAGHAT CENTRAL",24,265,0,289
"ASSAM","GOLAGHAT","GOLAGHAT EAST",8,61,0,669
"ASSAM","GOLAGHAT","GOLAGHAT NORTH",24,157,78,435
"ASSAM","GOLAGHAT","GOLAGHAT SOUTH",18,106,25,189
"ASSAM","GOLAGHAT","GOLAGHAT WEST",NA,NA,NA,NA
"ASSAM","GOLAGHAT","GOMARIGURI",NA,NA,NA,NA
"ASSAM","HAILAKANDI","HAILAKANDI",6,0,90,312
"ASSAM","HAILAKANDI","KATLICHARA",NA,NA,NA,NA
"ASSAM","HAILAKANDI","LALA",2,180,325,0
"ASSAM","JORHAT","JORHAT",7,264,0,769
"ASSAM","JORHAT","JORHAT CENTRAL",31,53,0,1458
"ASSAM","JORHAT","JORHAT EAST",10,0,0,1750
"ASSAM","JORHAT","MAJULI",2,150,0,300
"ASSAM","JORHAT","NORTH WEST JORHAT",8,69,0,1574
"ASSAM","JORHAT","TITABOR",5,0,0,1409
"ASSAM","KAMRUP","BOKO BANGAON",5,386,0,0
"ASSAM","KAMRUP","CHAMARIA",NA,NA,NA,NA
"ASSAM","KAMRUP","CHANDRAPUR",NA,NA,NA,NA
"ASSAM","KAMRUP","CHHAYGAON",2,730,0,0
"ASSAM","KAMRUP","DIMORIA",NA,NA,NA,NA
"ASSAM","KAMRUP","HAJO",18,203,128,0
"ASSAM","KAMRUP","KAMALPUR",13,574,204,0
"ASSAM","KAMRUP","KARARA",1,1080,0,0
"ASSAM","KAMRUP","RAMPUR",NA,NA,NA,NA
"ASSAM","KAMRUP","RANGIA",10,543,203,8
"ASSAM","KAMRUP","RANI",NA,NA,NA,NA
"ASSAM","KARBI ANGLONG","AMRI",NA,NA,NA,NA
"ASSAM","KARBI ANGLONG","BOKAJAN",NA,NA,NA,NA
"ASSAM","KARBI ANGLONG","CHINTHONG",NA,NA,NA,NA
"ASSAM","KARBI ANGLONG","HOWRAGHAT",5,0,0,975
"ASSAM","KARBI ANGLONG","LUMBAJONG",NA,NA,NA,NA
"ASSAM","KARBI ANGLONG","NILIP",NA,NA,NA,NA
"ASSAM","KARBI ANGLONG","RANGMONGWA",NA,NA,NA,NA
"ASSAM","KARBI ANGLONG","RONGKHONG",NA,NA,NA,NA
"ASSAM","KARBI ANGLONG","SAMILONGSO",3,0,0,925
"ASSAM","KARBI ANGLONG","SOCHENG",NA,NA,NA,NA
"ASSAM","KARIMGANJ","BADARPUR",1,0,0,700
"ASSAM","KARIMGANJ","NORTH KARIMGANJ",1,0,0,658
"ASSAM","KARIMGANJ","PATHARKANDI",NA,NA,NA,NA
"ASSAM","KARIMGANJ","RAMKRISHNA NAGAR",NA,NA,NA,NA
"ASSAM","KARIMGANJ","SOUTH KARIMGANJ",3,0,0,550
"ASSAM","KOKRAJHAR","DOTOMA",1,0,0,1930
"ASSAM","KOKRAJHAR","GOSSAIGAON",3,0,0,130
"ASSAM","KOKRAJHAR","KACHUGAON",NA,NA,NA,NA
"ASSAM","KOKRAJHAR","KOKRAJHAR",2,0,30,965
"ASSAM","KOKRAJHAR","SIDLI CHIRANG (PART)",NA,NA,NA,NA
"ASSAM","LAKHIMPUR","BIHPURIA",18,33,200,983
"ASSAM","LAKHIMPUR","BORDALANI",1,0,0,0
"ASSAM","LAKHIMPUR","DHAKUAKHANA",1,0,0,730
"ASSAM","LAKHIMPUR","LAKHIMPUR",1,25,110,0
"ASSAM","LAKHIMPUR","NARAYANPUR",24,0,0,682
"ASSAM","LAKHIMPUR","NOWBOICHA",10,5,53,363
"ASSAM","MARIGAON","BHURBANDHA",5,0,0,1542
"ASSAM","MARIGAON","KAPILI",NA,NA,NA,NA
"ASSAM","MARIGAON","LAHARIGHAT",3,0,0,1234
"ASSAM","MARIGAON","MAYONG",NA,NA,NA,NA
"ASSAM","NAGAON","BATADRAVA",NA,NA,NA,NA
"ASSAM","NAGAON","JUGIJAN",NA,NA,NA,NA
"ASSAM","NAGAON","JURIA",NA,NA,NA,NA
"ASSAM","NAGAON","KALIABOR",1,0,0,270
"ASSAM","NAGAON","KAPILI",NA,NA,NA,NA
"ASSAM","NAGAON","KAPILI PT.I",NA,NA,NA,NA
"ASSAM","NAGAON","KATHIATOLI",7,220,0,1038
"ASSAM","NAGAON","KHAGARIJAN",8,0,0,0
"ASSAM","NAGAON","LANKA",2,0,0,950
"ASSAM","NAGAON","LAOKHOWA",NA,NA,NA,NA
"ASSAM","NAGAON","RUPAHI",6,0,473,0
"ASSAM","NALBARI","BARIGOG BANBHAG",13,413,135,0
"ASSAM","NALBARI","BARKHETRI",12,0,9,1038
"ASSAM","NALBARI","BASKA",5,0,923,0
"ASSAM","NALBARI","PASCHIM NALBARI",15,0,0,1988
"ASSAM","NALBARI","PUB NALBARI",19,361,179,0
"ASSAM","NALBARI","TAMULPUR",2,0,0,250
"ASSAM","NALBARI","TIHU BARAMA",3,375,0,1000
"ASSAM","NORTH CACHAR HILLS","DIYANG VALLEY",NA,NA,NA,NA
"ASSAM","NORTH CACHAR HILLS","DIYUNGBRA",2,0,98,0
"ASSAM","NORTH CACHAR HILLS","HARANGAJAW",NA,NA,NA,NA
"ASSAM","NORTH CACHAR HILLS","JATINGA VALLEY",NA,NA,NA,NA
"ASSAM","SIBSAGAR","AMGURI",4,0,0,1131
"ASSAM","SIBSAGAR","DEMOW",1,600,0,0
"ASSAM","SIBSAGAR","NAZIRA",NA,NA,NA,NA
"ASSAM","SIBSAGAR","SAPEKHATI",3,0,200,388
"ASSAM","SIBSAGAR","SIBSAGAR",NA,NA,NA,NA
"ASSAM","SIBSAGAR","SONARI",2,0,300,100
"ASSAM","SONITPUR","BALIPARA",NA,NA,NA,NA
"ASSAM","SONITPUR","BEHALI",3,0,0,3000
"ASSAM","SONITPUR","BISWANATH",NA,NA,NA,NA
"ASSAM","SONITPUR","CHAIDUAR",2,270,710,0
"ASSAM","SONITPUR","DHEKIAJULI",6,433,442,700
"ASSAM","SONITPUR","GABHORU",NA,NA,NA,NA
"ASSAM","SONITPUR","NADUAR",NA,NA,NA,NA
"ASSAM","TINSUKIA","HAPJAN",12,0,100,765
"ASSAM","TINSUKIA","KAKOPATHAR",15,0,0,664
"ASSAM","TINSUKIA","MARGHERITA",9,205,0,537
"ASSAM","TINSUKIA","SADIYA",NA,NA,NA,NA
"BIHAR","ARARIA","ARARIA",6,42,154,0
"BIHAR","ARARIA","BHARGAMA",NA,NA,NA,NA
"BIHAR","ARARIA","FORBESGANJ",9,314,686,1003
"BIHAR","ARARIA","JOKIHAT",NA,NA,NA,NA
"BIHAR","ARARIA","KURSAKATTA",NA,NA,NA,NA
"BIHAR","ARARIA","NARPAIGANJ",NA,NA,NA,NA
"BIHAR","ARARIA","PALASI",NA,NA,NA,NA
"BIHAR","ARARIA","RANIGANJ",NA,NA,NA,NA
"BIHAR","ARARIA","SIKTI",NA,NA,NA,NA
"BIHAR","AURANGABAD","AURANGABAD",3,0,3500,2800
"BIHAR","AURANGABAD","BARUN",13,26,195,0
"BIHAR","AURANGABAD","DAUDNAGAR",NA,NA,NA,NA
"BIHAR","AURANGABAD","DEO",NA,NA,NA,NA
"BIHAR","AURANGABAD","GOH",8,4,3063,2450
"BIHAR","AURANGABAD","HASPURA",4,33,175,0
"BIHAR","AURANGABAD","KUTUMBA",3,0,0,0
"BIHAR","AURANGABAD","MADANPUR",13,0,3500,2777
"BIHAR","AURANGABAD","NABINAGAR",40,732,1288,100
"BIHAR","AURANGABAD","OBRA",NA,NA,NA,NA
"BIHAR","AURANGABAD","RAFIGANJ",NA,NA,NA,NA
"BIHAR","BANKA","AMARPUR",NA,NA,NA,NA
"BIHAR","BANKA","BANKA",1,0,4000,0
"BIHAR","BANKA","BARAHAT",NA,NA,NA,NA
"BIHAR","BANKA","BAUSI",NA,NA,NA,NA
"BIHAR","BANKA","BELHAR",NA,NA,NA,NA
"BIHAR","BANKA","CHANAN",NA,NA,NA,NA
"BIHAR","BANKA","DHURAIYA",2,0,57,255
"BIHAR","BANKA","KATORIA",NA,NA,NA,NA
"BIHAR","BANKA","PHULLIDUMAR",NA,NA,NA,NA
"BIHAR","BANKA","RAJAN",NA,NA,NA,NA
"BIHAR","BANKA","SAMBHUGANJ",NA,NA,NA,NA
"BIHAR","BEGUSARAI","BACHHAWARA",10,637,601,278
"BIHAR","BEGUSARAI","BAKHARI",9,167,602,0
"BIHAR","BEGUSARAI","BALIA",10,268,270,133
"BIHAR","BEGUSARAI","BARAUNI",19,708,209,56
"BIHAR","BEGUSARAI","BEGUSARAI",55,797,570,22
"BIHAR","BEGUSARAI","BHAGAWANPUR",12,802,450,227
"BIHAR","BEGUSARAI","BIRPUR",7,351,648,467
"BIHAR","BEGUSARAI","CHERIA BARIARPUR",17,190,1142,803
"BIHAR","BEGUSARAI","CHHAURAHI",30,1017,1500,0
"BIHAR","BEGUSARAI","DANDARI",12,120,121,95
"BIHAR","BEGUSARAI","GARHPURA",16,493,1038,467
"BIHAR","BEGUSARAI","KHUDABANDPUR",10,353,575,133
"BIHAR","BEGUSARAI","MANSURCHAK",3,312,123,17
"BIHAR","BEGUSARAI","MATIHANI",12,149,922,622
"BIHAR","BEGUSARAI","NAOKHOTHI",14,520,1012,0
"BIHAR","BEGUSARAI","SAHEBPUR KAMAL",6,19,60,0
"BIHAR","BEGUSARAI","TEGHRA",11,973,67,571
"BIHAR","BHABUA","ADHAURA",NA,NA,NA,NA
"BIHAR","BHABUA","BHABUA",3,67,1233,933
"BIHAR","BHABUA","BHAGWANPUR",NA,NA,NA,NA
"BIHAR","BHABUA","CHAINPUR",NA,NA,NA,NA
"BIHAR","BHABUA","CHAND",6,600,2,0
"BIHAR","BHABUA","DURGAWATI",38,289,377,181
"BIHAR","BHABUA","KUDRA",8,26,1226,800
"BIHAR","BHABUA","MOHANIA",16,81,84,0
"BIHAR","BHABUA","NUAWN",14,185,694,219
"BIHAR","BHABUA","RAMGAR",35,635,941,852
"BIHAR","BHABUA","RAMPUR",NA,NA,NA,NA
"BIHAR","BHAGALPUR","BIHPUR",9,750,167,0
"BIHAR","BHAGALPUR","GAURIDIH",2,40,350,0
"BIHAR","BHAGALPUR","GOPALPUR",14,82,139,28
"BIHAR","BHAGALPUR","ISMAILPUR",NA,NA,NA,NA
"BIHAR","BHAGALPUR","JAGDISHPUR",NA,NA,NA,NA
"BIHAR","BHAGALPUR","KAHALGAON",11,730,1895,2760
"BIHAR","BHAGALPUR","KHARIK",12,51,2167,1683
"BIHAR","BHAGALPUR","NARAINPUR",9,687,822,0
"BIHAR","BHAGALPUR","NATHNAGAR",20,55,60,49
"BIHAR","BHAGALPUR","NAUGACHHIA",20,497,422,73
"BIHAR","BHAGALPUR","PIRPAINTI",1,0,500,200
"BIHAR","BHAGALPUR","RANGRACHOWK",6,1018,248,0
"BIHAR","BHAGALPUR","SABOUR",17,186,378,250
"BIHAR","BHAGALPUR","SHAHKUND",NA,NA,NA,NA
"BIHAR","BHAGALPUR","SONHAULLA",18,116,1588,2389
"BIHAR","BHAGALPUR","SULTANGANJ",43,1,2202,2183
"BIHAR","BHOJPUR","AGIAON",20,16,12,0
"BIHAR","BHOJPUR","ARRAHSADAR",25,31,2167,1734
"BIHAR","BHOJPUR","BARBARA",12,2333,2194,285
"BIHAR","BHOJPUR","BEHIA",20,107,846,646
"BIHAR","BHOJPUR","CHARPOKHARI",1,150,30,0
"BIHAR","BHOJPUR","GARHANI",4,38,225,0
"BIHAR","BHOJPUR","JAGDISHPUR",6,57,53,0
"BIHAR","BHOJPUR","KOILWAR",71,1320,1116,149
"BIHAR","BHOJPUR","PIRO",NA,NA,NA,NA
"BIHAR","BHOJPUR","SAHAR",NA,NA,NA,NA
"BIHAR","BHOJPUR","SAHPUR",5,206,304,287
"BIHAR","BHOJPUR","SANDISH",7,476,80,0
"BIHAR","BHOJPUR","TARARI",NA,NA,NA,NA
"BIHAR","BHOJPUR","UDWABTNAGAR",23,345,135,0
"BIHAR","BOKARO","BERMO",NA,NA,NA,NA
"BIHAR","BOKARO","CHANDAN KIYOI",NA,NA,NA,NA
"BIHAR","BOKARO","CHAS",NA,NA,NA,NA
"BIHAR","BOKARO","GOMIA",NA,NA,NA,NA
"BIHAR","BOKARO","JARIDIH",NA,NA,NA,NA
"BIHAR","BOKARO","KASMAR",NA,NA,NA,NA
"BIHAR","BOKARO","NAWADIH",NA,NA,NA,NA
"BIHAR","BOKARO","PETARWAR",NA,NA,NA,NA
"BIHAR","BUXAR","BRAHAMPUR",7,139,1541,1234
"BIHAR","BUXAR","BUXAR",58,78,34,0
"BIHAR","BUXAR","CHANGAIN",8,150,0,125
"BIHAR","BUXAR","CHARKKI",NA,NA,NA,NA
"BIHAR","BUXAR","CHAUSA",18,282,162,0
"BIHAR","BUXAR","DUMRAIN",36,204,53,6
"BIHAR","BUXAR","ITARHI",3,12,67,0
"BIHAR","BUXAR","KESATH",NA,NA,NA,NA
"BIHAR","BUXAR","NAWANAGAR",NA,NA,NA,NA
"BIHAR","BUXAR","RAJPUR",2,50,173,0
"BIHAR","BUXAR","SIMRI",37,318,380,215
"BIHAR","CHAMPARAN EAST","ADAPUR",5,100,150,0
"BIHAR","CHAMPARAN EAST","ARERAJ",3,0,0,3333
"BIHAR","CHAMPARAN EAST","BANJARIA",NA,NA,NA,NA
"BIHAR","CHAMPARAN EAST","CHAKIYA",25,349,47,329
"BIHAR","CHAMPARAN EAST","CHAURADANO",NA,NA,NA,NA
"BIHAR","CHAMPARAN EAST","CHIRAIYA",NA,NA,NA,NA
"BIHAR","CHAMPARAN EAST","DHAKA",13,96,57,670
"BIHAR","CHAMPARAN EAST","FENHARA",10,183,106,765
"BIHAR","CHAMPARAN EAST","GHORASAHAN",26,73,200,386
"BIHAR","CHAMPARAN EAST","HARSIDHI",2,350,400,0
"BIHAR","CHAMPARAN EAST","KALYANPUR",9,33,82,0
"BIHAR","CHAMPARAN EAST","KESARIA",21,196,68,3089
"BIHAR","CHAMPARAN EAST","KOTWA",NA,NA,NA,NA
"BIHAR","CHAMPARAN EAST","MADHUBAN",30,542,120,143
"BIHAR","CHAMPARAN EAST","MEHSHI",24,73,127,25
"BIHAR","CHAMPARAN EAST","MOTIHARI",29,1160,1030,45
"BIHAR","CHAMPARAN EAST","PAHARPUR",NA,NA,NA,NA
"BIHAR","CHAMPARAN EAST","PAKARIDAYAL",15,1142,1046,500
"BIHAR","CHAMPARAN EAST","PATAHI",11,253,150,0
"BIHAR","CHAMPARAN EAST","PIPRAKOTHI",10,2307,1215,0
"BIHAR","CHAMPARAN EAST","RAMGARHWA",2,500,1750,1400
"BIHAR","CHAMPARAN EAST","RAXAUL",22,12,55,0
"BIHAR","CHAMPARAN EAST","SANGRAMPUR",9,560,21,80
"BIHAR","CHAMPARAN EAST","SUGAULI",7,2700,30,0
"BIHAR","CHAMPARAN EAST","TETARIA",8,212,23,286
"BIHAR","CHAMPARAN EAST","TURKAULIA",1,100,0,0
"BIHAR","CHAMPARAN WEST","BAGAHA",NA,NA,NA,NA
"BIHAR","CHAMPARAN WEST","BAIRIA",3,0,200,0
"BIHAR","CHAMPARAN WEST","BETTIAN",NA,NA,NA,NA
"BIHAR","CHAMPARAN WEST","BHITAHA",NA,NA,NA,NA
"BIHAR","CHAMPARAN WEST","CHANPATIYA",10,77,600,280
"BIHAR","CHAMPARAN WEST","GAUNAHA",NA,NA,NA,NA
"BIHAR","CHAMPARAN WEST","LAURIYA",NA,NA,NA,NA
"BIHAR","CHAMPARAN WEST","MADHUBANI",NA,NA,NA,NA
"BIHAR","CHAMPARAN WEST","MAINATANR",NA,NA,NA,NA
