-----
{
 "description": "The table refers to district wise distribution of dugwells according to source of finance. It has been sourced from 2nd census of Minor Irrigation Scheme (1993-94) from Ministry of Water Resources.", 
 "file_name": "Statedgwltab1.7.csv", 
 "title": "Download CSV for District wise Distribution of Dugwells according to Finance source for 2nd census of minor irrigation schemes", 
 "url": "http://data.gov.in/sites/default/files/Statedgwltab1.7.csv"
}
-----
"State","District","Farmers saving","Loan and Saving","Subsidy and Bank loan","Subsidy Only","Others","Total"
"BIHAR","DHANBAD",351,8,223,1900,16,2498
"BIHAR","DUMKA",1029,52,472,27015,770,29338
"BIHAR","GARHWA",4626,42,511,7549,285,13013
"BIHAR","GAYA",10451,301,507,5964,114,17337
"BIHAR","GIRIDIH",10132,539,1009,8495,375,20550
"BIHAR","GODDA",930,85,207,4405,186,5813
"BIHAR","GOPALGANJ",1649,44,70,181,48,1992
"BIHAR","GUMLA",8785,157,561,18436,2768,30707
"BIHAR","HAZARIBAG",20762,1197,2224,5353,276,29812
"BIHAR","JAMUI",1951,70,374,2641,266,5302
"BIHAR","JEHANABAD",2217,61,162,794,38,3272
"BIHAR","KATIHAR",0,0,0,0,2,2
"BIHAR","KHAGARIA",0,2,3,0,1,6
"BIHAR","KISHANGANJ",0,0,0,0,0,0
"BIHAR","KODARMA",5923,708,813,2263,45,9752
"BIHAR","LAKHISARAI",189,18,48,332,10,597
"BIHAR","LOHARDAGA",4579,326,50,10456,186,15597
"BIHAR","MADHEPURA",0,0,0,2,0,2
"BIHAR","MADHUBANI",12,0,8,17,17,54
"BIHAR","MUNGER",908,109,78,786,228,2109
"BIHAR","MUZAFFARPUR",1118,31,10,39,237,1435
"BIHAR","NALANDA",18748,686,902,1586,292,22214
"BIHAR","NAWADA",2191,94,460,2622,122,5489
"BIHAR","PAKUR",20,0,17,810,29,876
"BIHAR","PALAMU",4871,153,455,13945,471,19895
"BIHAR","PATNA",5910,117,176,424,283,6910
"BIHAR","PURNIA",0,0,0,0,0,0
"BIHAR","RANCHI",9123,228,804,27269,625,38049
"BIHAR","ROHTAS",4357,147,238,2053,165,6960
"BIHAR","SAHARSA",NA,NA,NA,NA,NA,NA
"BIHAR","SAHEBGANJ",205,0,38,1789,11,2043
"BIHAR","SAMASTIPUR",16,1,0,6,0,23
"BIHAR","SARAN",2724,28,35,46,33,2866
"BIHAR","SHEIKHPURA",375,6,9,91,41,522
"BIHAR","SHEOHAR",NA,NA,NA,NA,NA,NA
"BIHAR","SINGHBHUM EAST",373,52,123,1731,30,2309
"BIHAR","SINGHBHUM WEST",364,181,235,3769,77,4626
"BIHAR","SITAMARHI",8,1,0,0,0,9
"BIHAR","SIWAN",9789,312,129,261,465,10956
"BIHAR","SUPAUL",NA,NA,NA,NA,NA,NA
"BIHAR","VAISHALI",1331,74,69,72,23,1569
"GOA","NORTH GOA",1728,222,582,187,94,2813
"GOA","SOUTH GOA",715,172,181,31,14,1113
"GUJARAT","",NA,NA,NA,NA,NA,NA
"HARYANA","AMBALA",62,1392,268,2,7,1731
"HARYANA","BHIWANI",3333,961,163,27,16,4500
"HARYANA","FARIDABAD",NA,NA,NA,NA,NA,NA
"HARYANA","GURGAON",623,2682,572,70,149,4096
"HARYANA","HISAR",0,119,34,0,2,155
"HARYANA","JIND",NA,NA,NA,NA,NA,NA
"HARYANA","KAITHAL",520,3690,545,19,14,4788
"HARYANA","KARNAL",1063,1010,23,5,7,2108
"HARYANA","KURUKSHETRA",NA,NA,NA,NA,NA,NA
"HARYANA","MEHANDERGARH",921,1271,64,0,34,2290
"HARYANA","PANCHKULA",0,20,23,3,0,46
"HARYANA","PANIPAT",58,360,20,0,5,443
"HARYANA","RIWARI",487,843,51,0,0,1381
"HARYANA","ROHTAK",282,1058,130,7,29,1506
"HARYANA","SIRSA",486,1211,203,17,7,1924
"HARYANA","SONIPAT",60,54,9,0,1,124
"HARYANA","YAMUNA NAGAR",328,729,176,19,1,1253
"HIMACHAL PRADESH","Bilaspur",34,8,2,0,0,44
"HIMACHAL PRADESH","Chamba",NA,NA,NA,NA,NA,NA
"HIMACHAL PRADESH","Hamirpur",87,28,2,1,0,118
"HIMACHAL PRADESH","Kangra",282,9,2,0,3,296
"HIMACHAL PRADESH","Kinnaur",NA,NA,NA,NA,NA,NA
"HIMACHAL PRADESH","Kullu",0,12,0,0,0,12
"HIMACHAL PRADESH","Lahul & Spiti",NA,NA,NA,NA,NA,NA
"HIMACHAL PRADESH","Mandi",1,0,0,0,0,1
"HIMACHAL PRADESH","Shimla",NA,NA,NA,NA,NA,NA
"HIMACHAL PRADESH","Sirmaur",110,42,6,5,1,164
"HIMACHAL PRADESH","Solan",11,47,19,490,10,577
"HIMACHAL PRADESH","Una",322,16,1,1,0,340
"JAMMU & KASHMIR","Anantnagh",NA,NA,NA,NA,NA,NA
"JAMMU & KASHMIR","Baramulla",130,20,25,8,0,183
"JAMMU & KASHMIR","Budgam",50,20,20,7,0,97
"JAMMU & KASHMIR","Doda",NA,NA,NA,NA,NA,NA
"JAMMU & KASHMIR","Jammu",77,11,7,5,1,101
"JAMMU & KASHMIR","Kargil",NA,NA,NA,NA,NA,NA
"JAMMU & KASHMIR","Kathua",218,30,16,8,3,275
"JAMMU & KASHMIR","Kupwara",NA,NA,NA,NA,NA,NA
"JAMMU & KASHMIR","Leh",NA,NA,NA,NA,NA,NA
"JAMMU & KASHMIR","Poonch",NA,NA,NA,NA,NA,NA
"JAMMU & KASHMIR","Pulwama",60,8,0,0,0,68
"JAMMU & KASHMIR","Rajouri",3,0,1,0,1,5
"JAMMU & KASHMIR","Srinagar",400,180,70,37,0,687
"JAMMU & KASHMIR","Udhampur",4,0,0,0,5,9
"KARNATAKA","BANGALORE RURAL",8621,1584,321,50,1189,11765
"KARNATAKA","BANGALORE URBAN",1607,500,87,35,225,2454
"KARNATAKA","BELGAUM",46244,6481,701,86,1040,54552
"KARNATAKA","BELLARY",2916,988,304,57,313,4578
"KARNATAKA","BIDAR",13258,2772,451,149,212,16842
"KARNATAKA","BIJAPUR",30551,5991,612,39,743,37936
"KARNATAKA","CHIKKAMAGALORE",1448,770,246,91,30,2585
"KARNATAKA","CHITRADURGA",7794,2725,481,26,216,11242
"KARNATAKA","DAKSHINA KANNADA",19814,8231,1833,126,838,30842
"KARNATAKA","DHARWAR",3910,1537,333,36,272,6088
"KARNATAKA","GULBARGA",17222,2093,586,52,324,20277
"KARNATAKA","HASSAN",1291,1029,193,74,61,2648
"KARNATAKA","KODAGU",57,77,29,5,8,176
"KARNATAKA","KOLAR",22300,2830,458,88,796,26472
"KARNATAKA","MANDYA",6060,2394,421,79,228,9182
"KARNATAKA","MYSORE",10669,4193,411,94,307,15674
"KARNATAKA","RAICHUR",9524,6169,635,331,531,17190
"KARNATAKA","SHIMOGA",3078,1994,379,98,197,5746
"KARNATAKA","TUMKUR",23949,4026,557,158,2136,30826
"KARNATAKA","UTTARA KANNADA",8672,4050,955,93,558,14328
"KERALA","ALAPUZHA",197,189,1907,594,80,2967
"KERALA","ERANAKULAM",5908,1489,5276,1359,609,14641
"KERALA","IDUKKI",292,213,2645,1118,250,4518
"KERALA","KANNUR",3043,1800,5521,557,731,11652
"KERALA","KASARAGODE",525,935,2217,721,164,4562
"KERALA","KOLLAM",401,366,1271,152,208,2398
"KERALA","KOTTAYAM",1699,519,4183,1156,1078,8635
"KERALA","KOZHIKODE",907,1756,6323,218,304,9508
"KERALA","MALAPPURAM",5231,755,2114,624,853,9577
"KERALA","PALAKKAD",2826,640,897,1368,44,5775
"KERALA","PATHANAMTHITTA",387,636,2588,532,678,4821
"KERALA","THIRUVANANTHAPURAM",617,829,4733,1265,717,8161
"KERALA","THRISSUR",30110,3831,3873,735,138,38687
"KERALA","WAYANAD",279,62,77,3,7,428
"MADHYA PRADESH","BALAGHAT",4825,1787,1042,221,387,8262
"MADHYA PRADESH","BASTAR",3119,325,1246,1507,226,6423
"MADHYA PRADESH","BETUL",38694,2954,1664,718,261,44291
"MADHYA PRADESH","BHIND",5366,1350,506,63,3181,10466
"MADHYA PRADESH","BHOPAL",4662,1467,695,214,30,7068
"MADHYA PRADESH","BILASPUR",6289,1199,1116,1183,498,10285
"MADHYA PRADESH","CHHATARPUR",34184,4175,1931,556,150,40996
"MADHYA PRADESH","CHHINDWARA",24319,2851,943,198,2499,30810
"MADHYA PRADESH","DAMOH",4640,2081,2071,951,163,9906
"MADHYA PRADESH","DATIA",9520,2083,1004,432,697,13736
"MADHYA PRADESH","DEWAS",23586,4780,1202,400,170,30138
"MADHYA PRADESH","DHAR",34266,5235,1463,330,664,41958
"MADHYA PRADESH","DURG",4011,2010,1457,950,72,8500
"MADHYA PRADESH","GUNA",12476,2542,816,252,967,17053
"MADHYA PRADESH","GWALIOR",7016,2649,757,144,1154,11720
"MADHYA PRADESH","HOSHANGABAD",14637,3770,3218,1347,417,23389
"MADHYA PRADESH","INDORE",11565,2423,885,265,135,15273
"MADHYA PRADESH","JABALPUR",6428,2248,873,806,443,10798
"MADHYA PRADESH","JHABUA",8396,2487,3436,619,317,15255
"MADHYA PRADESH","KHANDWA",39190,8906,4109,1460,626,54291
"MADHYA PRADESH","KHARGONE",50874,8301,5799,1542,736,67252
"MADHYA PRADESH","MANDLA",968,537,284,165,70,2024
"MADHYA PRADESH","MANDSAUR",74097,3866,901,348,41446,120658
"MADHYA PRADESH","MORENA",6526,2052,425,181,7312,16496
"MADHYA PRADESH","NARSIMHAPUR",11637,4286,2170,333,32,18458
"MADHYA PRADESH","PANNA",3253,1171,473,84,51,5032
"MADHYA PRADESH","RAIGARH",7930,1351,880,1431,220,11812
"MADHYA PRADESH","RAIPUR",25091,2650,2400,1969,424,32534
"MADHYA PRADESH","RAISEN",4251,1394,1375,501,75,7596
"MADHYA PRADESH","RAJGARH",46016,3782,1767,805,346,52716
"MADHYA PRADESH","RAJNANDGAON",3198,801,989,967,148,6103
"MADHYA PRADESH","RATLAM",37763,5301,1220,707,484,45475
"MADHYA PRADESH","REWA",7370,2051,938,237,52,10648
"MADHYA PRADESH","SAGAR",20249,4379,1893,515,586,27622
"MADHYA PRADESH","SATNA",8389,2179,1217,1527,222,13534
"MADHYA PRADESH","SEHORE",20876,2918,2042,1014,173,27023
"MADHYA PRADESH","SEONI",8792,1402,914,307,72,11487
"MADHYA PRADESH","SHAHDOL",2992,925,812,721,89,5539
"MADHYA PRADESH","SHAJAPUR",35230,4583,1402,1006,286,42507
"MADHYA PRADESH","SHIVPURI",23931,2000,940,144,13763,40778
"MADHYA PRADESH","SIDHI",4902,1529,1470,220,43,8164
"MADHYA PRADESH","SURGUJA",33681,3326,660,484,376,38527
"MADHYA PRADESH","TIKAMGARH",39608,2173,259,116,1369,43525
"MADHYA PRADESH","UJJAIN",23087,7119,909,791,109,32015
"MADHYA PRADESH","VIDISHA",4283,3450,1364,576,347,10020
"MAHARASHTRA","",NA,NA,NA,NA,NA,NA
"MANIPUR","BISHNUPUR",NA,NA,NA,NA,NA,NA
"MANIPUR","CHANDEL",NA,NA,NA,NA,NA,NA
"MANIPUR","CHURACHANDPUR",NA,NA,NA,NA,NA,NA
"MANIPUR","IMPHAL",NA,NA,NA,NA,NA,NA
"MANIPUR","SENAPATI",NA,NA,NA,NA,NA,NA
"MANIPUR","TAMENGLONG",NA,NA,NA,NA,NA,NA
"MANIPUR","THOUBAL",NA,NA,NA,NA,NA,NA
"MANIPUR","UKHRUL",NA,NA,NA,NA,NA,NA
"MEGHALAYA","EAST GARO HILLS",NA,NA,NA,NA,NA,NA
"MEGHALAYA","EAST KHASI HILLS",NA,NA,NA,NA,NA,NA
"MEGHALAYA","JAINTIA HILLS",NA,NA,NA,NA,NA,NA
"MEGHALAYA","RI BHOI DISTRICT",NA,NA,NA,NA,NA,NA
"MEGHALAYA","SOUTH GARO HILLS",0,0,0,0,0,0
"MEGHALAYA","WEST GARO HILLS",NA,NA,NA,NA,NA,NA
"MEGHALAYA","WEST KHASI HILLS",NA,NA,NA,NA,NA,NA
"MIZORAM","AIZAWL",29,0,4,184,66,283
"MIZORAM","CHHIMTUIPUI",6,0,0,25,0,31
"MIZORAM","LUNGLEI",0,0,1,174,0,175
"NAGALAND","KOHIMA",25,0,0,492,3,520
"NAGALAND","MOKOKCHUNG",0,0,0,10,0,10
"NAGALAND","MON",NA,NA,NA,NA,NA,NA
"NAGALAND","PHEK",NA,NA,NA,NA,NA,NA
"NAGALAND","TUENSANG",NA,NA,NA,NA,NA,NA
"NAGALAND","WOKHA",NA,NA,NA,NA,NA,NA
"NAGALAND","ZUNHEBOTO",NA,NA,NA,NA,NA,NA
"ORISSA","ANGUL",5456,4264,4649,3184,1001,18554
"ORISSA","BALASORE",71,128,646,1723,69,2637
"ORISSA","BARAGARH",6895,1863,1182,3467,1583,14990
"ORISSA","BHADRAK",18,24,53,335,1,431
"ORISSA","BOLANGIR",37396,5211,4050,5977,496,53130
"ORISSA","BOUDH",6899,294,1903,1030,170,10296
"ORISSA","CUTTACK",1979,1085,4901,2907,113,10985
"ORISSA","DEOGARH",1983,582,1791,1704,253,6313
"ORISSA","DHENKANAL",2405,687,5186,1180,20,9478
"ORISSA","GAJAPATI",371,149,2132,1454,8,4114
"ORISSA","GANJAM",10631,5014,10867,3622,167,30301
"ORISSA","JAGATSINGHPUR",82,11,43,553,99,788
"ORISSA","JAJPUR",18,341,128,613,1361,2461
"ORISSA","JHARSUGUDA",3310,609,540,1437,179,6075
"ORISSA","KALAHANDI",4503,1084,2988,5406,270,14251
"ORISSA","KENDRAPARA",15,14,136,124,0,289
"ORISSA","KEONJHAR",4758,1351,5060,5934,234,17337
"ORISSA","KHURDA",8300,1171,2346,1236,114,13167
"ORISSA","KORAPUT",1477,572,1601,2046,56,5752
"ORISSA","MALKANGIRI",72,113,366,788,7,1346
"ORISSA","MAYURBHANJ",1131,480,2937,5529,318,10395
"ORISSA","NAYAGARH",2029,2644,7909,1556,47,14185
"ORISSA","NOWRANGPUR",4256,744,2068,2096,154,9318
"ORISSA","NUAPADA",5665,671,1652,5537,46,13571
"ORISSA","PHULBANI",737,258,3499,1321,24,5839
"ORISSA","PURI",204,65,84,593,74,1020
"ORISSA","RAYAGADA",204,128,579,1071,18,2000
"ORISSA","SAMBALPUR",4397,1918,2021,4836,93,13265
"ORISSA","SONEPUR",8986,560,520,776,182,11024
"ORISSA","SUNDARGARH",7174,1454,5892,4033,60,18613
"PUNJAB","AMRITSAR",72,1353,9,0,0,1434
"PUNJAB","BATHINDA",13,347,6,0,0,366
"PUNJAB","FARIDKOT",37,427,40,0,1,505
"PUNJAB","FATEHGARH SAHIB",0,123,1,0,0,124
"PUNJAB","FEROZEPUR",235,109,0,0,0,344
"PUNJAB","GURDASPUR",25,627,3,0,1,656
"PUNJAB","HOSHIARPUR",195,494,14,0,0,703
"PUNJAB","JALANDHAR",588,864,11,0,0,1463
"PUNJAB","KAPURTHALA",18,739,25,2,2,786
"PUNJAB","LUDHIANA",432,261,9,0,0,702
"PUNJAB","MANSA",20,533,11,0,0,564
"PUNJAB","PATIALA",21,128,0,0,0,149
"PUNJAB","ROPAR",1308,867,146,10,0,2331
"PUNJAB","SANGRUR",108,1396,19,0,0,1523
"RAJASTHAN","AJMER",41522,2321,615,270,1313,46041
"RAJASTHAN","ALWAR",58672,4348,350,125,502,63997
"RAJASTHAN","BANSWARA",9920,920,206,682,101,11829
"RAJASTHAN","BARAN",19123,2315,768,232,544,22982
"RAJASTHAN","BARMER",9101,2590,480,986,249,13406
"RAJASTHAN","BHARATPUR",10962,339,247,60,130,11738
"RAJASTHAN","BHILWARA",90730,3608,1588,519,701,97146
"RAJASTHAN","BIKANER",33,73,104,5,6,221
"RAJASTHAN","BUNDI",20126,1075,217,36,64,21518
"RAJASTHAN","CHITTORGARH",72007,4292,1531,217,398,78445
"RAJASTHAN","CHURU",735,541,466,32,80,1854
"RAJASTHAN","DAUSA",33561,1428,498,193,77,35757
"RAJASTHAN","DHOLPUR",13454,816,360,64,160,14854
"RAJASTHAN","DUNGARPUR",10677,1241,1834,1690,516,15958
"RAJASTHAN","GANGANAGAR",NA,NA,NA,NA,NA,NA
"RAJASTHAN","HANUMANGARH",983,99,6,0,1,1089
"RAJASTHAN","JAIPUR",101291,3010,1551,435,821,107108
"RAJASTHAN","JAISALMER",92,64,31,25,0,212
"RAJASTHAN","JALORE",38861,2640,871,203,376,42951
"RAJASTHAN","JHALAWAR",51009,2977,1348,461,1225,57020
"RAJASTHAN","JHUNJHNU",23533,2317,281,140,535,26806
"RAJASTHAN","JODHPUR",8479,1101,306,399,151,10436
"RAJASTHAN","KOTA",11515,1794,139,105,415,13968
"RAJASTHAN","NAGAUR",22159,1748,586,319,637,25449
"RAJASTHAN","PALI",39735,991,359,141,190,41416
"RAJASTHAN","RAJSAMAND",45611,1796,572,116,101,48196
"RAJASTHAN","SAWAI-MADHOPUR",41840,3840,1139,329,402,47550
"RAJASTHAN","SIKAR",35728,4747,1815,522,1730,44542
"RAJASTHAN","SIROHI",12946,1765,536,139,82,15468
"RAJASTHAN","TONK",35737,3306,832,160,453,40488
"RAJASTHAN","UDAIPUR",53341,2526,846,257,476,57446
"SIKKIM","EAST SIKKIM",NA,NA,NA,NA,NA,NA
"SIKKIM","NORTH SIKKIM",NA,NA,NA,NA,NA,NA
"SIKKIM","SOUTH SIKKIM",NA,NA,NA,NA,NA,NA
"SIKKIM","WEST SIKKIM",NA,NA,NA,NA,NA,NA
"TAMIL NADU","COIMBATORE",71745,7731,2646,167,2950,85239
"TAMIL NADU","CUDDALORE",10446,353,86,67,278,11230
"TAMIL NADU","DHARMAPURI",92269,1637,1605,808,861,97180
"TAMIL NADU","DINDIGUL",63206,2662,980,434,2331,69613
"TAMIL NADU","ERODE",95322,3942,1030,205,308,100807
"TAMIL NADU","KANCHIPURAM",39561,1108,1576,362,1477,44084
"TAMIL NADU","KANNIYAKUMARI",1986,159,2,1,218,2366
"TAMIL NADU","KARUR",33417,501,126,135,94,34273
"TAMIL NADU","MADRAS",NA,NA,NA,NA,NA,NA
"TAMIL NADU","MADURAI",36710,562,206,175,877,38530
"TAMIL NADU","NAGAPATTINAM",7568,386,47,19,551,8571
"TAMIL NADU","NAMAKKAL",34934,95,427,42,5196,40694
"TAMIL NADU","PERAMBALUR",41452,834,1233,283,1307,45109
"TAMIL NADU","PUDUKOTTAI",30670,1172,1131,597,47,33617
"TAMIL NADU","RAMNATHAPURAM",5010,316,411,167,96,6000
"TAMIL NADU","SALEM",54758,2020,1036,1461,1986,61261
"TAMIL NADU","SIVAGANGA",10418,267,147,34,337,11203
"TAMIL NADU","THANJAVUR",3698,583,438,472,43,5234
"TAMIL NADU","THE NILGIRIS",236,0,1,0,0,237
"TAMIL NADU","THENI",17628,485,179,102,440,18834
"TAMIL NADU","THOOTHUGUDI",19357,960,569,272,190,21348
"TAMIL NADU","TIRUNELVELI",62308,3404,1441,582,674,68409
"TAMIL NADU","TIRUVALLUR",21989,186,361,112,661,23309
"TAMIL NADU","TIRUVANNAMALAI",125396,10469,6796,530,923,144114
"TAMIL NADU","TIRUVARUR",47,9,10,2,1,69
"TAMIL NADU","TRICHIRAPPALLI",60410,1411,1107,663,585,64176
"TAMIL NADU","VELLORE",92708,1746,662,374,957,96447
"TAMIL NADU","VILLUPURAM",131465,1642,498,699,797,135101
"TAMIL NADU","VIRUDHUNAGAR",36043,2085,1660,535,177,40500
"TRIPURA","DHALAI",57,1,7,32,9,106
"TRIPURA","NORTH",32,0,0,0,0,32
"TRIPURA","SOUTH",217,0,12,264,90,583
"TRIPURA","WEST",0,0,0,1,0,1
"UTTAR PRADESH","AGRA",4897,348,215,404,46,5910
"UTTAR PRADESH","ALIGARH",14,151,97,6,1,269
"UTTAR PRADESH","ALLAHABAD",1410,1493,348,85,52,3388
"UTTAR PRADESH","ALMORA",NA,NA,NA,NA,NA,NA
"UTTAR PRADESH","AMBEDKAR NAGAR",NA,NA,NA,NA,NA,NA
"UTTAR PRADESH","AZAMGARH",18,48,25,27,2,120
"UTTAR PRADESH","BADAUN",NA,NA,NA,NA,NA,NA
"UTTAR PRADESH","BAHRAICH",297,267,32,57,7,660
"UTTAR PRADESH","BALLIA",196,134,54,95,18,497
"UTTAR PRADESH","BANDA",5114,1062,299,23,50,6548
"UTTAR PRADESH","BARABANKI",1518,108,58,38,25,1747
"UTTAR PRADESH","BAREILLY",NA,NA,NA,NA,NA,NA
"UTTAR PRADESH","BASTI",391,296,161,249,16,1113
"UTTAR PRADESH","BIJNOR",59,185,32,3,0,279
"UTTAR PRADESH","BULANDSHAHR",35,33,30,0,0,98
"UTTAR PRADESH","CHAMOLI(GOPESHWAR)",NA,NA,NA,NA,NA,NA
"UTTAR PRADESH","DEHRADUN",11,0,15,5,4,35
"UTTAR PRADESH","DEORIA",2789,136,136,231,65,3357
"UTTAR PRADESH","ETAH",786,777,137,90,30,1820
"UTTAR PRADESH","ETAWAH",190,150,136,136,2,614
"UTTAR PRADESH","FAIZABAD",NA,NA,NA,NA,NA,NA
"UTTAR PRADESH","FARUKHABAD",1,22,34,0,0,57
"UTTAR PRADESH","FATEHPUR",677,274,76,24,502,1553
"UTTAR PRADESH","FIROZABAD",851,212,54,274,40,1431
"UTTAR PRADESH","GHAZIABAD",NA,NA,NA,NA,NA,NA
"UTTAR PRADESH","GHAZIPUR",177,91,80,75,1,424
"UTTAR PRADESH","GONDA",513,44,46,61,64,728
"UTTAR PRADESH","GORAKHPUR",1738,330,59,210,6,2343
"UTTAR PRADESH","HAMIRPUR",1367,707,49,85,10,2218
"UTTAR PRADESH","HARDOI",446,471,121,137,10,1185
"UTTAR PRADESH","HARDWAR",14,183,26,30,1,254
"UTTAR PRADESH","JALAUN",2451,517,337,60,19,3384
"UTTAR PRADESH","JAUNPUR",1495,193,72,205,15,1980
"UTTAR PRADESH","JHANSI",31956,2472,1086,381,146,36041
"UTTAR PRADESH","KANPUR DEHAT",16,33,22,9,0,80
"UTTAR PRADESH","KANPUR NAGAR",NA,NA,NA,NA,NA,NA
"UTTAR PRADESH","KHIRI",NA,NA,NA,NA,NA,NA
"UTTAR PRADESH","KUSHI NAGAR",389,42,33,102,319,885
"UTTAR PRADESH","LALITPUR",22937,753,48,13,6,23757
