-----
{
 "description": "This spread sheet describes the location of Manganese Ore deposits in India with locational attributes (locality, state, toposheets, latitude and longitude), geological attributes (host rock and its startigraphic position in terms of geological formation), metallogenesis and morphogenesis.", 
 "file_name": "Manganese_Ore_1.xls", 
 "title": "Download XLS for Location of Manganese Ore Deposits in India and its Salient Features", 
 "url": "http://data.gov.in/sites/default/files/Manganese_Ore_1.xls"
}
-----
"METALLOGENESIS","LOCALITY","STATE","TOPOSHEET","LATITUDE","LONGITUDE","LATDD","LONDD","COMMODITY","HOSTROCK","MORPHOGENESIS","FORMATION"
"NOAMUNDI-JAMDA BELT","KATSAI","ORISSA","73 G","21 50N","85 21E",21.8333333333,85.35,"Manganese","TUFFACEOUS SHALE","BEDDED-VOLCANOSEDIMENTARY","BONAI Gp."
"NOAMUNDI-JAMDA SECTOR","ROIDA","ORISSA","73 F","22 01N","85 22",22.0166666667,85.3666666667,"Manganese","TUFFACEOUS SHALE","BEDDED-VOLCANOSEDIMENTARY","BONAI Gp."
"NOAMUNDI-JAMDA SECTOR","SARAMDAH-BHADRASAI","ORISSA","73 F","22 03N","85 24E",22.05,85.4,"Manganese","TUFFACEOUS SHALE","BEDDED-VOLCANOSEDIMENTARY","BONAI Gp."
"NOAMUNDI-JAMDA SECTOR","SARKUNDA","ORISSA","73 G","21 49N","85 09E",21.8166666667,85.15,"Manganese","METASEDIMENTS-METAVOLCANICS","BEDDED-VOLCANOSEDIMENTARY","IRON OREGROUP"
"SANDUR SCHIST BELT","KANIVENALLI","KARNATAKA","57 B","14 57N","76 32-76 35E",14.95,76.5666666667,"Manganese","METASEDIMENTS-METAVOLCANICS","CONCORDANT","EASTERN GREENSTONE"
"SANDUR SCHIST BELT","RAMGAD","KARNATAKA","57 A","15 09N","76 26E",15.15,76.4333333333,"Manganese","METASEDIMENTS - METAVOLCANICS","STRATABOUND","EASTERN GREENSTONE"
"SAUSAR BELT","BHANDARBOLI","MAHARASTRA","55 O","21 23N","79 27E",21.3833333333,79.45,"Manganese","GONDITE","CONCORDANT","SAUSAR Gp."
"SAUSAR BELT","DHANSUA-LAUGHAR-JAGANTOLI","MADHYA PRADESH","64 B, 64 C","22 00N","80 12-80 15E",22.0,80.2333333333,"Manganese","SCHIST,PHYLLITE","CONCORDANT","LOHANGI Fm."
"SAUSAR BELT","GUMGAON","MAHARASTRA","55 O","21 19-21 29N","79 03-79 31E",21.3833333333,79.3333333333,"Manganese","SCHIST","CONCORDANT","SAUSAR Gp."
"SAUSAR BELT","JUNEWANI","MAHARASTRA","55 O","21 27N","79 16E",21.45,79.2666666667,"Manganese","CALC GNEISS AND SCHIST","CONCORDANT","SAUSAR Gp."
"SAUSAR BELT","NETRA","MAHARASTRA","55 O","21 32N","79 59E",21.5333333333,79.9833333333,"Manganese","SCHIST","CONCORDANT","LOHANGI Fm."
"SAUSAR BELT","PANCHALA","MAHARASTRA","55 O","21 27N","79 46E",21.45,79.7666666667,"Manganese","GONDITE","CONCORDANT","SAUSAR Gp."
"SAUSAR BELT","PAWNIA","MADHYA PRADESH","55 O","21 43N","79 45E",21.7166666667,79.75,"Manganese","GONDITE-QUARTZITE","CONCORDANT","LOHANGI Fm.."
"SAUSAR BELT","TIRODI","MADHYA PRADESH","55 O","21 41N","79 44E",21.6833333333,79.7333333333,"Manganese","GONDITE,QUARTZITE","BEDDED-CONCORDANT","LOHANGI Fm.."
"SAUSAR BELT","UKWA","MADHYA PRADESH","64 C","21 58N","80 28E",21.9666666667,80.4666666667,"Manganese","SCHIST AND PHYLLITE","CONCORDANT-TABULAR","LOHANGI Fm."
"SAUSAR BELT","LAUGHAR-KAMHATOLA","MADHYA PRADESH","64 C","21 50N","80 22E",21.8333333333,80.3666666667,"Manganese","SCHISTS","CONCORDANT","LOHANGI Fm.."
"SHIMOGA-GOA BELT","ANMOD","GOA","48 I","15 26N","74 18E",15.4333333333,74.3,"Manganese","LATERITE ON VOLCANICS OF GREENSTONE","VOLCANOGENIC-ENRICHED","CHITRADURGA BELT Gp."
"SHIMOGA-GOA BELT","HATTIKAMBA","KARNATAKA","48 I","15 16N","74 27E",15.2666666667,74.45,"Manganese","LATERITE ON VOLCANOSEDIMENTARY SEQUENCE","SUPERGENE ENRICHMENT","CHITRADURGA BELT Gp."
"SHIMOGA-GOA BELT","TERALI-BISGOD","GOA","48 I","15 10N","74 22E",15.1666666667,74.3666666667,"Manganese","LATERITE ON VOLCANOSEDIMETS OF GREENSTON","SUPERGENE ENRICHMENT","CHITRADURGA BELT BELT"
"SHIMOGA-GOA BELT","YOGIMALAI","KARNATAKA","48 O","13 52N","75 19E",13.8666666667,75.3166666667,"Manganese","METASEDIMENTS-METAVOLCANICS","CONCORDANT","CHITRADURGA BELT Gp."
