-----
{
 "description": "The table shows India's External Debt Outstanding (US $ Mn.) since 2002. It gives details regarding item-wise External debt which includes Outstanding Debt with respect to Multilateral Trade, Bilateral Trade, IMF, Export Credit, Rupee Debt, Commercial Borrowings and others.", 
 "file_name": "tab84.xls", 
 "title": "Download XLS for India&#039;s External Debt Outstanding (US $ Mn.)(External Link that opens in a new window)", 
 "url": "http://indiabudget.nic.in/tab2012/tab84.xls"
}
-----
"","","8.4 (B):  India's External Debt Outstanding","","","","","","","","","","","",""
"","                 i)     IBRD",1496.0,920.0,984.0,1020.0,1030.0,1043.0,1173.0,1395.0,1893.0,2057.0,2177.0,2211.0,2248.0
"","                ii)    Others",1113.0,1025.0,786.0,808.0,878.0,1093.0,1416.0,1412.0,1412.0,1479.0,1631.0,1785.0,1789.0
"","           b)   Financial Institutions",766.0,668.0,651.0,637.0,589.0,554.0,587.0,730.0,1193.0,1681.0,2018.0,2032.0,2496.0
"","                 i)     IBRD",215.0,110.0,85.0,58.0,141.0,150.0,148.0,146.0,298.0,425.0,531.0,525.0,525.0
"","                ii)    Others",551.0,558.0,566.0,579.0,448.0,404.0,439.0,584.0,895.0,1256.0,1487.0,1507.0,1971.0
"","           c)   Private  Sector",234.0,110.0,50.0,75.0,127.0,133.0,143.0,277.0,534.0,679.0,941.0,992.0,1022.0
"","                 i)     IBRD",190.0,63.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"","                ii)    Others",44.0,47.0,50.0,75.0,127.0,133.0,143.0,277.0,534.0,679.0,941.0,992.0,1022.0
"II.","BILATERAL",15323.0,16802.0,17277.0,17034.0,15761.0,16065.0,19708.0,20610.0,22593.0,25712.0,26725.0,27136.0,27601.0
"","A.Government borrowing",11540.0,12664.0,12987.0,13132.0,12239.0,12344.0,14853.0,14655.0,15860.0,17988.0,17987.0,18332.0,18657.0
"","    (i)   Concessional ",11359.0,12547.0,12900.0,13074.0,12211.0,12344.0,14853.0,14655.0,15860.0,17988.0,17987.0,18332.0,18657.0
"","    (ii)   Non-concessional",181.0,117.0,87.0,58.0,28.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"","B.Non-Government borrowing ",3783.0,4138.0,4290.0,3902.0,3522.0,3721.0,4855.0,5955.0,6733.0,7724.0,8738.0,8804.0,8944.0
"","    i)   Concessional ",1411.0,1685.0,1983.0,1708.0,1558.0,396.0,435.0,641.0,702.0,918.0,1339.0,1377.0,1512.0
"","           a) Public Sector",877.0,1083.0,1287.0,1292.0,1185.0,285.0,307.0,227.0,248.0,363.0,812.0,851.0,973.0
"","           b) Financial Institutions",534.0,602.0,696.0,416.0,373.0,111.0,128.0,414.0,454.0,555.0,527.0,526.0,539.0
"","           c)  Private Sector",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"","    ii)   Non-concessional",2372.0,2453.0,2307.0,2194.0,1964.0,3325.0,4420.0,5314.0,6031.0,6806.0,7399.0,7427.0,7432.0
"","           a) Public Sector",988.0,1076.0,1110.0,995.0,813.0,1702.0,2525.0,2959.0,3072.0,3087.0,2791.0,2789.0,2779.0
"","           b) Financial Institutions",760.0,751.0,710.0,650.0,535.0,878.0,934.0,846.0,761.0,840.0,762.0,749.0,746.0
"","           c)  Private Sector",624.0,626.0,487.0,549.0,616.0,745.0,961.0,1509.0,2198.0,2879.0,3846.0,3889.0,3907.0
"III.","IMFa",0.0,0.0,1008.0,1029.0,981.0,1029.0,1120.0,1018.0,6041.0,6308.0,6163.0,6037.0,6135.0
"IV.","EXPORT CREDIT",5368.0,4995.0,4697.0,5022.0,5420.0,7165.0,10328.0,14481.0,16841.0,18617.0,18996.0,19049.0,19000.0
"","a) Buyers' credit",3311.0,2823.0,2546.0,2980.0,3607.0,5417.0,8287.0,12572.0,14811.0,16415.0,16801.0,16828.0,16713.0
"","b) Suppliers' credit",1069.0,1081.0,1029.0,905.0,751.0,675.0,750.0,635.0,651.0,638.0,631.0,627.0,665.0
"","c) Export credit component of   bilateral credit",988.0,1091.0,1122.0,1137.0,1062.0,1073.0,1291.0,1274.0,1379.0,1564.0,1564.0,1594.0,1622.0
"","","","","","","","","","","","","","",""
"V.","COMMERCIAL BORROWINGS",23320.0,22472.0,22007.0,26405.0,26452.0,41443.0,62334.0,62461.0,70726.0,88467.0,104879.0,104270.0,109045.0
"","a) Commercial bank loansb",9962.0,9870.0,11588.0,14375.0,16479.0,24577.0,40159.0,43169.0,44832.0,58607.0,73372.0,74520.0,77324.0
"","b) Securitized borrowingsc",12851.0,12093.0,9568.0,11197.0,9217.0,15603.0,20668.0,17918.0,25075.0,29134.0,31008.0,29382.0,31367.0
"","c) Loans/securitized borrowings etc., with",507.0,509.0,851.0,833.0,756.0,1263.0,1507.0,1374.0,819.0,726.0,499.0,368.0,354.0
"","multilateral/bilateral guarantee + IFC(W)","","","","","","","","","","","","",""
"","","","","","","","","","","","","","",""
"VI.","NRI DEPOSITS (Above one year maturity)d",17154.0,23160.0,31216.0,32743.0,36282.0,41240.0,43672.0,41554.0,47890.0,51682.0,58608.0,60874.0,67019.0
"","","","","","","","","","","","","","",""
"VII","RUPEE DEBTe",3034.0,2822.0,2720.0,2302.0,2059.0,1951.0,2017.0,1523.0,1658.0,1601.0,1354.0,1219.0,1302.0
"","a) Defence",2704.0,2515.0,2426.0,2031.0,1819.0,1728.0,1794.0,1361.0,1487.0,1437.0,1216.0,1101.0,1176.0
"","b) Civilian",330.0,307.0,294.0,271.0,240.0,223.0,223.0,162.0,171.0,164.0,138.0,118.0,126.0
"","","","","","","","","","","","","","",""
"VIII.","TOTAL LONG TERM DEBT  (I TO VII)",96098.0,100245.0,108222.0,116279.0,119575.0,144230.0,178669.0,181185.0,208606.0,240862.0,267178.0,268312.0,280804.0
"IX.","SHORT-TERM DEBT",2745.0,4669.0,4431.0,17723.0,19539.0,28130.0,45738.0,43313.0,52329.0,64990.0,78179.0,80451.0,84511.0
"","a)  NRI deposits (up to one year maturity)d",968.0,1962.0,304.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"","b) Trade-Related Credits ",1777.0,2707.0,4127.0,16271.0,19399.0,25979.0,41901.0,39915.0,47473.0,58463.0,65130.0,70508.0,74488.0
"","     1)  Above 6 Months",1777.0,2707.0,4127.0,7529.0,8696.0,11971.0,22884.0,23346.0,28003.0,35347.0,39182.0,45220.0,50220.0
"","     2)  Upto 6  Months",0.0,0.0,0.0,8742.0,10703.0,14008.0,19017.0,16569.0,19470.0,23116.0,25948.0,25288.0,24268.0
"","c) FII Investment in Govt. Treasury Bills and other instruments ",0.0,0.0,0.0,1452.0,140.0,397.0,651.0,2065.0,3357.0,5424.0,9395.0,8268.0,8227.0
"","d) Investment in Treasury Bills by foreign central banks and other international institutions etc.",0.0,0.0,0.0,0.0,0.0,164.0,155.0,105.0,103.0,50.0,64.0,56.0,57.0
"","e) External Debt Liabilities of:",0.0,0.0,0.0,0.0,0.0,1590.0,3031.0,1228.0,1396.0,1053.0,3590.0,1619.0,1739.0
"","   1) Central Bank",0.0,0.0,0.0,0.0,0.0,501.0,1115.0,764.0,695.0,155.0,170.0,174.0,188.0
"","   2) Commercial banks",0.0,0.0,0.0,0.0,0.0,1089.0,1916.0,464.0,701.0,898.0,3420.0,1445.0,1551.0
"X.","GRAND TOTAL     (VIII+IX)",98843.0,104914.0,112653.0,134002.0,139114.0,172360.0,224407.0,224498.0,260935.0,305852.0,345357.0,348763.0,365315.0
"","Memo Items :","","","","","","","","","","","","",""
"","Concessional Debtf",35517.0,38614.0,40277.0,41107.0,39559.0,39567.0,44164.0,41899.0,43931.0,47499.0,47901.0,47091.0,48045.0
"","Concessional Debt to total external debt (per cent)",35.9327418229,36.8053834569,35.753153489,30.6764078148,28.4363902986,22.956022279,19.6803130027,18.6611266238,16.8,15.5,13.9,13.5,13.2
"","Short-term debt",2745.0,4669.0,4431.0,17723.0,19539.0,28130.0,45738.0,43313.0,52329.0,64990.0,78179.0,80451.0,84511.0
"","Short-term debt to total external debt (per cent)",2.77713141042,4.45031168386,3.93331735506,13.2259220012,14.0453153529,16.3204919935,20.3817171479,19.2,20.1,21.2,22.6,23.1,23.1
"","PR: Partially Revised; QE: Quick Estimates.","","","","","","","","","","","","",""
"","IFC(W): International Finance Corporation, Washington D.C.  ","","FII: Foreign Institutional Investors","","","","","","","","","","",""
"","a Relates to SDR allocations from March 2004 onwards.","","","","","","","","","","","","",""
"","b Includes Financial Lease since 1996.","","","","","","","","","","","","",""
"","c Also includes India Development Bonds (IDBs), Resurgent India Bonds (RIBs), India Millennium Deposits (IMDs),","","","","","","","","","","","","",""
"","also includes Foreign Currency Convertible Bonds (FCCBs) and net investment  by 100% FII debt funds.","","","","","","","","","","","","",""
"","FCCB debt has been  adjusted since end-March, 1998 after netting out conversion into equity and redemptions.  ","","","","","","","","","","","","",""
"","d Figures include accrued interest.","e Rupee denominated debt owed to Russia and payable  through exports.","","","","","","","","","","","",""
"","f The definition  of concessional debt here includes 'concessional' categoreis under multilateral and bilateral debt and rupee debt under item VII. ","","","","","","","","","","","","",""
"","Note: NRO Deposits are included under NRI Deposits from the quarter ended June 2005. Supplier’s Credits upto 180 days and FII investment in short-term debt instruments are included under short-term debt from the quarter ended March 2005. Vostro balances / Nostro overdrafts of commercial banks, balances of foreign central banks/international institutions with RBI and invsetment in T-bills/securities by foreign central banks/ international institutions have been included in external debt from the quarter ended March 2007.","","","","","","","","","","","","",""
