-----
{
 "description": "The table refers to district wise distribution of surface flow schemes according to social status. It has been sourced from 2nd census of minor irrigation scheme(1993-94) from Ministry of Water Resources.", 
 "file_name": "Statetab4.4.csv", 
 "title": "Download CSV for Districtwise Distribution of Surface Flow Schemes according to social status for 2nd census of Minor Irrigation Schemes (1993-94)", 
 "url": "http://data.gov.in/sites/default/files/Statetab4.4.csv"
}
-----
State,District,Scheduled caste,Scheduled tribe,Other social status of farmers,Total
KARNATAKA,BELGAUM,105,48,2335,2488
KARNATAKA,BELLARY,331,210,2142,2683
KARNATAKA,BIDAR,33,2,540,575
KARNATAKA,BIJAPUR,189,35,3293,3517
KARNATAKA,CHIKKAMAGALORE,15,16,598,629
KARNATAKA,CHITRADURGA,388,380,4549,5317
KARNATAKA,DAKSHINA KANNADA,39,68,1826,1933
KARNATAKA,DHARWAR,187,232,4930,5349
KARNATAKA,GULBARGA,321,22,2018,2361
KARNATAKA,HASSAN,147,4,276,427
KARNATAKA,KODAGU,2,0,20,22
KARNATAKA,KOLAR,176,40,616,832
KARNATAKA,MANDYA,0,0,53,53
KARNATAKA,MYSORE,36,0,148,184
KARNATAKA,RAICHUR,114,99,851,1064
KARNATAKA,SHIMOGA,127,14,920,1061
KARNATAKA,TUMKUR,32,2,399,433
KARNATAKA,UTTARA KANNADA,86,21,2094,2201
KERALA,ALAPUZHA,2,0,71,73
KERALA,ERANAKULAM,1,1,20,22
KERALA,IDUKKI,2,1,57,60
KERALA,KANNUR,7,2,148,157
KERALA,KASARAGODE,0,0,52,52
KERALA,KOLLAM,0,0,14,14
KERALA,KOTTAYAM,18,0,206,224
KERALA,KOZHIKODE,3,1,269,273
KERALA,MALAPPURAM,2,0,144,146
KERALA,PALAKKAD,120,6,1469,1595
KERALA,PATHANAMTHITTA,0,0,36,36
KERALA,THIRUVANANTHAPURAM,23,12,1678,1713
KERALA,THRISSUR,2,0,355,357
KERALA,WAYANAD,0,5,53,58
MADHYA PRADESH,BALAGHAT,215,838,3961,5014
MADHYA PRADESH,BASTAR,23,268,169,460
MADHYA PRADESH,BETUL,90,243,476,809
MADHYA PRADESH,BHIND,0,2,87,89
MADHYA PRADESH,BHOPAL,1,0,39,40
MADHYA PRADESH,BILASPUR,402,1744,1852,3998
MADHYA PRADESH,CHHATARPUR,55,45,444,544
MADHYA PRADESH,CHHINDWARA,23,102,398,523
MADHYA PRADESH,DAMOH,88,128,847,1063
MADHYA PRADESH,DATIA,0,0,14,14
MADHYA PRADESH,DEWAS,17,11,301,329
MADHYA PRADESH,DHAR,10,325,173,508
MADHYA PRADESH,DURG,128,47,162,337
MADHYA PRADESH,GUNA,115,37,1081,1233
MADHYA PRADESH,GWALIOR,8,2,35,45
MADHYA PRADESH,HOSHANGABAD,0,1,0,1
MADHYA PRADESH,INDORE,42,58,436,536
MADHYA PRADESH,JABALPUR,5,35,120,160
MADHYA PRADESH,JHABUA,0,241,1861,2102
MADHYA PRADESH,KHANDWA,10,28,78,116
MADHYA PRADESH,KHARGONE,66,2112,1008,3186
MADHYA PRADESH,MANDLA,26,19,66,111
MADHYA PRADESH,MANDSAUR,37,65,692,794
MADHYA PRADESH,MORENA,16,10,141,167
MADHYA PRADESH,NARSIMHAPUR,11,31,129,171
MADHYA PRADESH,PANNA,2,6,20,28
MADHYA PRADESH,RAIGARH,77,711,666,1454
MADHYA PRADESH,RAIPUR,117,396,916,1429
MADHYA PRADESH,RAISEN,0,3,78,81
MADHYA PRADESH,RAJGARH,3,1,60,64
MADHYA PRADESH,RAJNANDGAON,27,26,40,93
MADHYA PRADESH,RATLAM,97,281,277,655
MADHYA PRADESH,REWA,1,55,396,452
MADHYA PRADESH,SAGAR,42,28,937,1007
MADHYA PRADESH,SATNA,50,56,273,379
MADHYA PRADESH,SEHORE,2,0,31,33
MADHYA PRADESH,SEONI,4,11,93,108
MADHYA PRADESH,SHAHDOL,13,238,265,516
MADHYA PRADESH,SHAJAPUR,0,0,2590,2590
MADHYA PRADESH,SHIVPURI,6,16,296,318
MADHYA PRADESH,SIDHI,0,13,32,45
MADHYA PRADESH,SURGUJA,216,2350,1083,3649
MADHYA PRADESH,TIKAMGARH,27,20,600,647
MADHYA PRADESH,UJJAIN,0,0,483,483
MADHYA PRADESH,VIDISHA,2,0,7,9
MAHARASHTRA,,NA,NA,NA,NA
MANIPUR,BISHNUPUR,0,0,0,0
MANIPUR,CHANDEL,0,0,0,0
MANIPUR,CHURACHANDPUR,0,0,0,0
MANIPUR,IMPHAL,0,0,0,0
MANIPUR,SENAPATI,0,0,0,0
MANIPUR,TAMENGLONG,0,0,0,0
MANIPUR,THOUBAL,0,0,0,0
MANIPUR,UKHRUL,0,0,0,0
MEGHALAYA,EAST GARO HILLS,3,682,1,686
MEGHALAYA,EAST KHASI HILLS,10,2986,11,3007
MEGHALAYA,JAINTIA HILLS,32,2576,8,2616
MEGHALAYA,RI BHOI DISTRICT,55,4172,19,4246
MEGHALAYA,SOUTH GARO HILLS,1,43,0,44
MEGHALAYA,WEST GARO HILLS,9,428,7,444
MEGHALAYA,WEST KHASI HILLS,27,2519,15,2561
MIZORAM,AIZAWL,10,3936,1,3947
MIZORAM,CHHIMTUIPUI,0,194,0,194
MIZORAM,LUNGLEI,1,632,0,633
NAGALAND,KOHIMA,3,2753,2,2758
NAGALAND,MOKOKCHUNG,5,1809,0,1814
NAGALAND,MON,1,784,0,785
NAGALAND,PHEK,16,4028,4,4048
NAGALAND,TUENSANG,0,2435,3,2438
NAGALAND,WOKHA,1,1259,0,1260
NAGALAND,ZUNHEBOTO,2,952,0,954
ORISSA,ANGUL,11,3,17,31
ORISSA,BALASORE,2,1,3,6
ORISSA,BARAGARH,37,149,765,951
ORISSA,BHADRAK,4,0,38,42
ORISSA,BOLANGIR,42,129,303,474
ORISSA,BOUDH,5,18,97,120
ORISSA,CUTTACK,128,12,875,1015
ORISSA,DEOGARH,1,3,38,42
ORISSA,DHENKANAL,14,17,424,455
ORISSA,GAJAPATI,9,19,18,46
ORISSA,GANJAM,44,22,410,476
ORISSA,JAGATSINGHPUR,0,0,2,2
ORISSA,JAJPUR,15,3,51,69
ORISSA,JHARSUGUDA,0,2,19,21
ORISSA,KALAHANDI,9,19,86,114
ORISSA,KENDRAPARA,8,0,49,57
ORISSA,KEONJHAR,1,52,83,136
ORISSA,KHURDA,2,7,126,135
ORISSA,KORAPUT,122,736,208,1066
ORISSA,MALKANGIRI,3,21,11,35
ORISSA,MAYURBHANJ,17,197,135,349
ORISSA,NAYAGARH,3,3,31,37
ORISSA,NOWRANGPUR,2,17,12,31
ORISSA,NUAPADA,8,55,87,150
ORISSA,PHULBANI,2,28,10,40
ORISSA,PURI,61,15,781,857
ORISSA,RAYAGADA,34,315,550,899
ORISSA,SAMBALPUR,4,13,39,56
ORISSA,SONEPUR,0,0,7,7
ORISSA,SUNDARGARH,0,19,14,33
PUNJAB,AMRITSAR,0,0,12,12
PUNJAB,BATHINDA,0,0,3,3
PUNJAB,FARIDKOT,NA,NA,NA,NA
PUNJAB,FATEHGARH SAHIB,0,0,3,3
PUNJAB,FEROZEPUR,NA,NA,NA,NA
PUNJAB,GURDASPUR,5,1,35,41
PUNJAB,HOSHIARPUR,3,3,126,132
PUNJAB,JALANDHAR,NA,NA,NA,NA
PUNJAB,KAPURTHALA,NA,NA,NA,NA
PUNJAB,LUDHIANA,NA,NA,NA,NA
PUNJAB,MANSA,NA,NA,NA,NA
PUNJAB,PATIALA,NA,NA,NA,NA
PUNJAB,ROPAR,1,1,106,108
PUNJAB,SANGRUR,2,2,75,79
RAJASTHAN,AJMER,35,9,241,285
RAJASTHAN,ALWAR,NA,NA,NA,NA
RAJASTHAN,BANSWARA,6,23,40,69
RAJASTHAN,BARAN,1,0,22,23
RAJASTHAN,BARMER,NA,NA,NA,NA
RAJASTHAN,BHARATPUR,0,0,0,0
RAJASTHAN,BHILWARA,9,1,244,254
RAJASTHAN,BIKANER,1,0,0,1
RAJASTHAN,BUNDI,0,1,0,1
RAJASTHAN,CHITTORGARH,2,2,12,16
RAJASTHAN,CHURU,1,0,0,1
RAJASTHAN,DAUSA,9,0,0,9
RAJASTHAN,DHOLPUR,0,0,0,0
RAJASTHAN,DUNGARPUR,2,0,5,7
RAJASTHAN,GANGANAGAR,NA,NA,NA,NA
RAJASTHAN,HANUMANGARH,NA,NA,NA,NA
RAJASTHAN,JAIPUR,0,1,1,2
RAJASTHAN,JAISALMER,NA,NA,NA,NA
RAJASTHAN,JALORE,0,0,0,0
RAJASTHAN,JHALAWAR,0,4,1,5
RAJASTHAN,JHUNJHNU,0,0,0,0
RAJASTHAN,JODHPUR,0,0,2,2
RAJASTHAN,KOTA,0,0,9,9
RAJASTHAN,NAGAUR,0,0,0,0
RAJASTHAN,PALI,0,1,0,1
RAJASTHAN,RAJSAMAND,0,3,6,9
RAJASTHAN,SAWAI-MADHOPUR,0,11,1,12
RAJASTHAN,SIKAR,1,0,17,18
RAJASTHAN,SIROHI,0,3,6,9
RAJASTHAN,TONK,15,0,250,265
RAJASTHAN,UDAIPUR,0,10,8,18
SIKKIM,EAST SIKKIM,0,0,14,14
SIKKIM,NORTH SIKKIM,0,0,0,0
SIKKIM,SOUTH SIKKIM,0,0,158,158
SIKKIM,WEST SIKKIM,0,0,63,63
TAMIL NADU,COIMBATORE,3,1,294,298
TAMIL NADU,CUDDALORE,294,30,5160,5484
TAMIL NADU,DHARMAPURI,368,20,20577,20965
TAMIL NADU,DINDIGUL,74,0,399,473
TAMIL NADU,ERODE,144,9,2583,2736
TAMIL NADU,KANCHIPURAM,350,2,132,484
TAMIL NADU,KANNIYAKUMARI,0,0,8,8
TAMIL NADU,KARUR,5,0,77,82
TAMIL NADU,MADRAS,NA,NA,NA,NA
TAMIL NADU,MADURAI,0,0,3,3
TAMIL NADU,NAGAPATTINAM,13,0,11,24
TAMIL NADU,NAMAKKAL,10,258,3022,3290
TAMIL NADU,PERAMBALUR,40,0,315,355
TAMIL NADU,PUDUKOTTAI,16,4,19,39
TAMIL NADU,RAMNATHAPURAM,1,0,0,1
TAMIL NADU,SALEM,0,0,0,0
TAMIL NADU,SIVAGANGA,341,4,5325,5670
TAMIL NADU,THANJAVUR,9,0,3,12
TAMIL NADU,THE NILGIRIS,NA,NA,NA,NA
TAMIL NADU,THENI,53,1,3613,3667
TAMIL NADU,THOOTHUGUDI,56,5,107,168
TAMIL NADU,TIRUNELVELI,52,0,115,167
TAMIL NADU,TIRUVALLUR,66,7,352,425
TAMIL NADU,TIRUVANNAMALAI,586,230,6624,7440
TAMIL NADU,TIRUVARUR,0,0,0,0
TAMIL NADU,TRICHIRAPPALLI,288,15,285,588
TAMIL NADU,VELLORE,4,0,40,44
TAMIL NADU,VILLUPURAM,355,12,3469,3836
TAMIL NADU,VIRUDHUNAGAR,18,0,67,85
TRIPURA,DHALAI,23,20,15,58
TRIPURA,NORTH,18,21,86,125
TRIPURA,SOUTH,15,35,39,89
TRIPURA,WEST,4,3,19,26
UTTAR PRADESH,AGRA,0,0,2,2
UTTAR PRADESH,ALIGARH,NA,NA,NA,NA
UTTAR PRADESH,ALLAHABAD,2,4,73,79
UTTAR PRADESH,ALMORA,146,22,1661,1829
UTTAR PRADESH,AMBEDKAR NAGAR,NA,NA,NA,NA
UTTAR PRADESH,AZAMGARH,1,0,15,16
UTTAR PRADESH,BADAUN,NA,NA,NA,NA
UTTAR PRADESH,BAHRAICH,0,0,5,5
UTTAR PRADESH,BALLIA,0,0,5,5
UTTAR PRADESH,BANDA,1,0,57,58
UTTAR PRADESH,BARABANKI,NA,NA,NA,NA
UTTAR PRADESH,BAREILLY,NA,NA,NA,NA
UTTAR PRADESH,BASTI,NA,NA,NA,NA
UTTAR PRADESH,BIJNOR,NA,NA,NA,NA
UTTAR PRADESH,BULANDSHAHR,NA,NA,NA,NA
UTTAR PRADESH,CHAMOLI(GOPESHWAR),190,46,1080,1316
UTTAR PRADESH,DEHRADUN,39,195,103,337
UTTAR PRADESH,DEORIA,0,0,1,1
UTTAR PRADESH,ETAH,NA,NA,NA,NA
UTTAR PRADESH,ETAWAH,0,0,1,1
UTTAR PRADESH,FAIZABAD,NA,NA,NA,NA
UTTAR PRADESH,FARUKHABAD,0,0,16,16
UTTAR PRADESH,FATEHPUR,NA,NA,NA,NA
UTTAR PRADESH,FIROZABAD,NA,NA,NA,NA
UTTAR PRADESH,GHAZIABAD,NA,NA,NA,NA
UTTAR PRADESH,GHAZIPUR,0,0,6,6
UTTAR PRADESH,GONDA,14,0,18,32
UTTAR PRADESH,GORAKHPUR,NA,NA,NA,NA
UTTAR PRADESH,HAMIRPUR,NA,NA,NA,NA
UTTAR PRADESH,HARDOI,NA,NA,NA,NA
UTTAR PRADESH,HARDWAR,NA,NA,NA,NA
UTTAR PRADESH,JALAUN,14,0,53,67
UTTAR PRADESH,JAUNPUR,NA,NA,NA,NA
UTTAR PRADESH,JHANSI,8,0,30,38
UTTAR PRADESH,KANPUR DEHAT,0,0,0,0
UTTAR PRADESH,KANPUR NAGAR,NA,NA,NA,NA
UTTAR PRADESH,KHIRI,0,0,0,0
UTTAR PRADESH,KUSHI NAGAR,0,0,0,0
UTTAR PRADESH,LALITPUR,NA,NA,NA,NA
UTTAR PRADESH,LUCKNOW,NA,NA,NA,NA
UTTAR PRADESH,MAHOBA,NA,NA,NA,NA
UTTAR PRADESH,MAHRAJGANJ,0,0,6,6
UTTAR PRADESH,MAINPURI,NA,NA,NA,NA
UTTAR PRADESH,MATHURA,NA,NA,NA,NA
UTTAR PRADESH,MAU,NA,NA,NA,NA
UTTAR PRADESH,MEERUT,NA,NA,NA,NA
UTTAR PRADESH,MIRZAPUR,189,2,699,890
UTTAR PRADESH,MORADABAD,NA,NA,NA,NA
UTTAR PRADESH,MUZAFFER NAGAR,NA,NA,NA,NA
UTTAR PRADESH,NAINITAL,268,25,1388,1681
UTTAR PRADESH,PAURI GARHWAL,121,14,1892,2027
UTTAR PRADESH,PILIBHIT,NA,NA,NA,NA
UTTAR PRADESH,PITHORAGARH,78,6,461,545
UTTAR PRADESH,PRATAPGARH,NA,NA,NA,NA
UTTAR PRADESH,RAEBARELY,NA,NA,NA,NA
UTTAR PRADESH,RAMPUR,NA,NA,NA,NA
UTTAR PRADESH,SAHARANPUR,NA,NA,NA,NA
UTTAR PRADESH,SANT RAVIDAS NAGAR,NA,NA,NA,NA
UTTAR PRADESH,SHAHJAHANPUR,NA,NA,NA,NA
UTTAR PRADESH,SIDDHARTH NAGAR,NA,NA,NA,NA
UTTAR PRADESH,SITAPUR,NA,NA,NA,NA
UTTAR PRADESH,SONBHADRA,179,4,758,941
UTTAR PRADESH,SULTANPUR,NA,NA,NA,NA
UTTAR PRADESH,TEHRI GARHWAL,100,6,1260,1366
UTTAR PRADESH,UDHAMSINGH NAGAR,12,0,108,120
UTTAR PRADESH,UNNAO,NA,NA,NA,NA
UTTAR PRADESH,UTTARKASHI,60,7,546,613
UTTAR PRADESH,VARANASI,5,0,18,23
WEST BENGAL,BANKURA,1616,941,10782,13339
WEST BENGAL,BIRBHUM,328,59,3768,4155
WEST BENGAL,BURDWAN,300,208,3013,3521
WEST BENGAL,COOCHBEHAR,8,0,198,206
WEST BENGAL,DAKSHIN DINAJPUR,1039,562,3184,4785
WEST BENGAL,DARJEELING,8,0,11,19
WEST BENGAL,HOOGLY,39,2,302,343
WEST BENGAL,HOWRAH,194,1,858,1053
WEST BENGAL,JALPAIGURI,91,47,25,163
WEST BENGAL,MALDA,209,117,246,572
WEST BENGAL,MIDNAPORE,664,313,4658,5635
WEST BENGAL,MURSHIDABAD,114,21,1692,1827
WEST BENGAL,NADIA,NA,NA,NA,NA
WEST BENGAL,NORTH 24 PARGANAS,9,0,18,27
WEST BENGAL,PURULIA,256,359,14634,15249
WEST BENGAL,SOUTH 24 PARGANAS,3277,134,2175,5586
WEST BENGAL,UTTAR DINAJPUR,12,4,9,25
ANDAMAN & NICOBARS,ANDAMAN,NA,NA,NA,NA
ANDAMAN & NICOBARS,NICOBARS,NA,NA,NA,NA
CHANDIGARH,,NA,NA,NA,NA
DADRA & NAGAR HAVELI,DADRA & NAGAR HAVELI,0,0,1,1
DAMAN & DIU,,NA,NA,NA,NA
DELHI,CENTRAL-DELHI,NA,NA,NA,NA
DELHI,EAST,NA,NA,NA,NA
DELHI,NORTH-EAST,NA,NA,NA,NA
DELHI,NORTH-WEST,6,2,1283,1291
DELHI,SOUTH-EAST,NA,NA,NA,NA
DELHI,SOUTH-WEST,NA,NA,NA,NA
DELHI,WEST,0,0,1,1
LAKSHADWEEP,,NA,NA,NA,NA
PONDICHERRY,KARAIKAL,186,27,13415,13628
PONDICHERRY,MAHE,NA,NA,NA,NA
PONDICHERRY,PONDICHERRY,5,0,2714,2719
PONDICHERRY,YANAM,64,0,227,291
