-----
{
 "description": "The table refers to block wise average length of water conveyance channel of surface lift schemes. It has been sourced from 2nd census of minor irrigation scheme(1993-94) from Ministry of Water Resources.", 
 "file_name": "srfclftblck5.12.csv", 
 "title": "Download CSV for Blockwise Average length of water conveyance channel of surface lift schemes for 2nd census of minor irrigation schemes (1993-94)", 
 "url": "http://data.gov.in/sites/default/files/srfclftblck5.12.csv"
}
-----
-----
{
 "description": "The table refers to block wise average length of water conveyance channel of surface lift schemes. It has been sourced from 2nd census of minor irrigation scheme(1993-94) from Ministry of Water Resources.", 
 "file_name": "srfclftblck5.12.csv", 
 "title": "Download CSV for Blockwise Average length of water conveyance channel of surface lift schemes for 2nd census of minor irrigation schemes (1993-94)", 
 "url": "http://data.gov.in/sites/default/files/srfclftblck5.12.csv"
}
-----
"State","District","Block","Total Number of Schemes","Average length - Pucca channel","Average length - Kutcha channel","Average length - Underground channel"
"ANDHRA PRADESH","KHAMMAM","CHERLA",96,0,180,0
"ANDHRA PRADESH","KHAMMAM","CHINTHAKANI",25,0,13,0
"ANDHRA PRADESH","KHAMMAM","CHINTUR",152,1,28,0
"ANDHRA PRADESH","KHAMMAM","DUMMUGUDEM",42,0,165,0
"ANDHRA PRADESH","KHAMMAM","ENKURU",48,0,31,0
"ANDHRA PRADESH","KHAMMAM","GARLA",217,0,13,153
"ANDHRA PRADESH","KHAMMAM","GUNDALA",11,0,38,0
"ANDHRA PRADESH","KHAMMAM","JULURPAD",2,0,28,0
"ANDHRA PRADESH","KHAMMAM","KALLURU",24,0,14,171
"ANDHRA PRADESH","KHAMMAM","KHAMMAM (RURAL)",195,0,32,62
"ANDHRA PRADESH","KHAMMAM","KHAMMAM (URBAN)",57,0,55,72
"ANDHRA PRADESH","KHAMMAM","KOTHAGUDEM",161,0,121,0
"ANDHRA PRADESH","KHAMMAM","KUKUNOOR",131,0,11,0
"ANDHRA PRADESH","KHAMMAM","KUNAVARAM",623,0,51,0
"ANDHRA PRADESH","KHAMMAM","MADHIRA",266,0,71,11
"ANDHRA PRADESH","KHAMMAM","MANUGUR",40,0,3,8
"ANDHRA PRADESH","KHAMMAM","MUDIGONDA",4,75,160,50
"ANDHRA PRADESH","KHAMMAM","MULAKALAPALLE",184,10,182,0
"ANDHRA PRADESH","KHAMMAM","NELAKONDAPALLE",3,0,38,0
"ANDHRA PRADESH","KHAMMAM","PALWANCHA",242,0,129,0
"ANDHRA PRADESH","KHAMMAM","PENUBALLI",21,17,122,35
"ANDHRA PRADESH","KHAMMAM","PINAPAKA",11,0,91,0
"ANDHRA PRADESH","KHAMMAM","SATHUPALLE",38,0,106,13
"ANDHRA PRADESH","KHAMMAM","SINGARENI",2,0,150,0
"ANDHRA PRADESH","KHAMMAM","TEKULAPALLE",124,0,58,26
"ANDHRA PRADESH","KHAMMAM","THALLADA",169,0,35,360
"ANDHRA PRADESH","KHAMMAM","THIRUMALAYAPALEM",3,0,183,250
"ANDHRA PRADESH","KHAMMAM","VARARAMACHANDRAPURAM",412,0,68,1
"ANDHRA PRADESH","KHAMMAM","VELAIRPAD",134,0,34,0
"ANDHRA PRADESH","KHAMMAM","VEMSOOR",1,0,0,100
"ANDHRA PRADESH","KHAMMAM","VENKATAPURAM",351,0,20,0
"ANDHRA PRADESH","KHAMMAM","WAZEED",74,0,41,0
"ANDHRA PRADESH","KHAMMAM","WYRA",78,0,150,51
"ANDHRA PRADESH","KHAMMAM","YERRUPALEM",48,0,142,0
"ANDHRA PRADESH","KRISHNA","AGIRIPALLE",2,100,50,0
"ANDHRA PRADESH","KRISHNA","BAPULAPADU",13,2031,905,0
"ANDHRA PRADESH","KRISHNA","CHANDARLAPADU",5,500,2408,0
"ANDHRA PRADESH","KRISHNA","CHATRAI",1,0,3000,0
"ANDHRA PRADESH","KRISHNA","GAMPALAGUDEM",3,203,290,0
"ANDHRA PRADESH","KRISHNA","GANNAVARAM",3,0,673,333
"ANDHRA PRADESH","KRISHNA","IBRAHIMPATNAM",2,500,1275,0
"ANDHRA PRADESH","KRISHNA","JAGGAYYAPETA",3,33,203,0
"ANDHRA PRADESH","KRISHNA","KAIKALUR",10,0,153,0
"ANDHRA PRADESH","KRISHNA","KALIDINDI",6,0,21,0
"ANDHRA PRADESH","KRISHNA","KANCHIKACHERLA",3,367,433,0
"ANDHRA PRADESH","KRISHNA","MANDAVALLI",4,0,258,0
"ANDHRA PRADESH","KRISHNA","MUDINEPALLE",21,0,54,0
"ANDHRA PRADESH","KRISHNA","MUSUNURU",1,0,200,0
"ANDHRA PRADESH","KRISHNA","NAGAYALANKA",1,0,4000,0
"ANDHRA PRADESH","KRISHNA","NANDIGAMA",2,250,1775,0
"ANDHRA PRADESH","KRISHNA","NANDIVADA",2,0,325,0
"ANDHRA PRADESH","KRISHNA","PAMARRU",5,0,500,0
"ANDHRA PRADESH","KRISHNA","PEDANA",1,0,8920,0
"ANDHRA PRADESH","KRISHNA","PENAMALURU",4,0,575,0
"ANDHRA PRADESH","KRISHNA","REDDIGUDEM",1,0,1000,0
"ANDHRA PRADESH","KRISHNA","TIRUVURU",1,1000,300,0
"ANDHRA PRADESH","KRISHNA","UNGUTURU",3,0,1050,0
"ANDHRA PRADESH","KRISHNA","VATSAVAI",2,0,655,0
"ANDHRA PRADESH","KRISHNA","VEERULLAPADU",3,0,733,0
"ANDHRA PRADESH","KRISHNA","VIJAYAWADA (URBAN)",1,0,200,0
"ANDHRA PRADESH","KRISHNA","VISSANNAPET",1,0,2000,0
"ANDHRA PRADESH","KURNOOL","ADONI",59,0,26,3
"ANDHRA PRADESH","KURNOOL","BANAGANAPALLE",1,0,1250,0
"ANDHRA PRADESH","KURNOOL","BANDI ATMAKUR",142,13,56,3
"ANDHRA PRADESH","KURNOOL","C.BELAGAL",153,0,4,299
"ANDHRA PRADESH","KURNOOL","DORNIPADU",11,7,0,240
"ANDHRA PRADESH","KURNOOL","GOSPADU",48,19,18,0
"ANDHRA PRADESH","KURNOOL","HALAHARVI",44,36,0,3
"ANDHRA PRADESH","KURNOOL","HOLAGUNDA",51,0,83,114
"ANDHRA PRADESH","KURNOOL","KOILKUNTLA",256,15,274,121
"ANDHRA PRADESH","KURNOOL","KOSIGI",65,33,171,48
"ANDHRA PRADESH","KURNOOL","KOTHAPALLE",16,0,28,0
"ANDHRA PRADESH","KURNOOL","KOWTHALAM",68,0,31,112
"ANDHRA PRADESH","KURNOOL","MAHANANDI",8,56,0,0
"ANDHRA PRADESH","KURNOOL","MANTRALAYAM",94,6,125,16
"ANDHRA PRADESH","KURNOOL","NANDAVARAM",202,0,13,225
"ANDHRA PRADESH","KURNOOL","NANDYAL",80,55,51,0
"ANDHRA PRADESH","KURNOOL","PANYAM",44,12,18,11
"ANDHRA PRADESH","KURNOOL","UYYALAWADA",241,37,9,152
"ANDHRA PRADESH","MAHABOOB NAGAR","AIZA",94,0,11,32
"ANDHRA PRADESH","MAHABOOB NAGAR","ALAMPUR",7,0,132,0
"ANDHRA PRADESH","MAHABOOB NAGAR","ATMAKUR",203,0,9,138
"ANDHRA PRADESH","MAHABOOB NAGAR","GADWAL",127,0,880,235
"ANDHRA PRADESH","MAHABOOB NAGAR","ITIKYAL",5,0,92,0
"ANDHRA PRADESH","MAHABOOB NAGAR","MAGANOOR",58,400,307,129
"ANDHRA PRADESH","MAHABOOB NAGAR","MAKTHAL",9,2667,1295,64
"ANDHRA PRADESH","MAHABOOB NAGAR","MANOPADU",185,0,12,145
"ANDHRA PRADESH","MAHABOOB NAGAR","PEBBAIR",9,0,0,116
"ANDHRA PRADESH","MAHABOOB NAGAR","VEEPANGANDLA",1,100,100,0
"ANDHRA PRADESH","MAHABOOB NAGAR","WADDEPALLE",278,1,18,141
"ANDHRA PRADESH","MEDAK","ANDOLE",24,0,0,32
"ANDHRA PRADESH","MEDAK","PAPANNAPET",115,100,21,630
"ANDHRA PRADESH","MEDAK","SHANKARAMPET[A]",90,10,40,235
"ANDHRA PRADESH","NALGONDA","ANUMULA",7,0,425,0
"ANDHRA PRADESH","NALGONDA","CHILKUR",89,1,4,239
"ANDHRA PRADESH","NALGONDA","DAMERACHERLA",23,0,25,37
"ANDHRA PRADESH","NALGONDA","DEVARAKONDA",9,0,27,0
"ANDHRA PRADESH","NALGONDA","GARIDE PALLE",199,0,53,41
"ANDHRA PRADESH","NALGONDA","HUZURNAGAR",220,0,0,202
"ANDHRA PRADESH","NALGONDA","KETHE PALLE",1,0,0,1200
"ANDHRA PRADESH","NALGONDA","KODAD",197,0,17,135
"ANDHRA PRADESH","NALGONDA","MATTAM PALLE",119,0,107,0
"ANDHRA PRADESH","NALGONDA","MELLA CHERVU",128,0,197,0
"ANDHRA PRADESH","NALGONDA","MIRYALAGUDA",163,0,547,47
"ANDHRA PRADESH","NALGONDA","MOTHEY",1,0,0,250
"ANDHRA PRADESH","NALGONDA","MUNAGALA",2,35,79,0
"ANDHRA PRADESH","NALGONDA","NEREDCHERLA",138,0,29,44
"ANDHRA PRADESH","NALGONDA","NIDAMANOOR",73,0,654,44
"ANDHRA PRADESH","NALGONDA","PEDDAVOORA",451,0,4,0
"ANDHRA PRADESH","NALGONDA","PENPAHAD",17,0,792,206
"ANDHRA PRADESH","NALGONDA","THRIPURARAM",37,35,890,934
"ANDHRA PRADESH","NALGONDA","VEMULA PALLE",12,171,699,56
"ANDHRA PRADESH","NELLORE","ALLUR",71,0,75,16
"ANDHRA PRADESH","NELLORE","ANANTHASAGARAM",16,0,304,28
"ANDHRA PRADESH","NELLORE","ANUMASAMUDRAMPETA",42,0,9,0
"ANDHRA PRADESH","NELLORE","ATMAKUR",203,0,118,0
"ANDHRA PRADESH","NELLORE","BALAYAPALLE",265,0,112,211
"ANDHRA PRADESH","NELLORE","BUT'PALEM (VAVVERU)",20,0,170,0
"ANDHRA PRADESH","NELLORE","CHEJERLA",80,91,146,30
"ANDHRA PRADESH","NELLORE","CHILLAKUR",138,0,15,24
"ANDHRA PRADESH","NELLORE","DAGADARTHI",4,0,392,367
"ANDHRA PRADESH","NELLORE","DAKKILI",205,30,100,15
"ANDHRA PRADESH","NELLORE","DUTTALUR",36,0,94,33
"ANDHRA PRADESH","NELLORE","GUDUR",6,0,0,367
"ANDHRA PRADESH","NELLORE","KALIGIRI",1,0,400,0
"ANDHRA PRADESH","NELLORE","KALUVOYA",54,3,192,0
"ANDHRA PRADESH","NELLORE","KAVALI",33,0,15,0
"ANDHRA PRADESH","NELLORE","KODAVALUR",46,0,22,0
"ANDHRA PRADESH","NELLORE","KONDAPURAM",54,0,105,584
"ANDHRA PRADESH","NELLORE","KOTA",14,0,10,0
"ANDHRA PRADESH","NELLORE","MANUBOLU",4,0,69,0
"ANDHRA PRADESH","NELLORE","MARRIPADU",101,0,36,7
"ANDHRA PRADESH","NELLORE","NELLORE",168,1,177,2
"ANDHRA PRADESH","NELLORE","PODALAKUR",307,1,120,125
"ANDHRA PRADESH","NELLORE","RAPUR",31,16,36,0
"ANDHRA PRADESH","NELLORE","SANGAM",122,14,51,1
"ANDHRA PRADESH","NELLORE","SULLURPETA",54,0,18,0
"ANDHRA PRADESH","NELLORE","SYDAPURAM",117,0,112,9
"ANDHRA PRADESH","NELLORE","TADA",144,0,157,0
"ANDHRA PRADESH","NELLORE","VARIKUNTAPADU",4,0,54,0
"ANDHRA PRADESH","NELLORE","VENKATACHALAM",46,3,152,257
"ANDHRA PRADESH","NELLORE","VENKATAGIRI",165,0,90,24
"ANDHRA PRADESH","NELLORE","VIDAVULUR",46,0,18,0
"ANDHRA PRADESH","NELLORE","VINJAMUR",40,5,48,137
"ANDHRA PRADESH","NIZAMABAD","BANSWADA",151,4,185,33
"ANDHRA PRADESH","NIZAMABAD","BICHKUNDA",87,0,117,426
"ANDHRA PRADESH","NIZAMABAD","BIRKOOR",35,71,75,320
"ANDHRA PRADESH","NIZAMABAD","BODHAN",45,0,172,122
"ANDHRA PRADESH","NIZAMABAD","JUKKAL",17,0,3,204
"ANDHRA PRADESH","NIZAMABAD","KOTGIRI",67,0,38,231
"ANDHRA PRADESH","NIZAMABAD","LINGAMPET",126,2,73,133
"ANDHRA PRADESH","NIZAMABAD","MORTAD",111,0,41,255
"ANDHRA PRADESH","NIZAMABAD","NAGAREDDIPET",141,0,12,364
"ANDHRA PRADESH","NIZAMABAD","NIZAMSAGAR",230,61,128,15
"ANDHRA PRADESH","NIZAMABAD","PITLAM",162,0,115,171
"ANDHRA PRADESH","NIZAMABAD","YELLAREDDY",163,26,44,160
"ANDHRA PRADESH","PRAKASAM","ADDANKI",56,31,190,29
"ANDHRA PRADESH","PRAKASAM","ARDHAVEEDU",12,0,29,0
"ANDHRA PRADESH","PRAKASAM","BALLIKURAVA",2,10,450,0
"ANDHRA PRADESH","PRAKASAM","C.SEKHARA PURAM",85,1,137,17
"ANDHRA PRADESH","PRAKASAM","CHIMAKURTHI",3,0,200,100
"ANDHRA PRADESH","PRAKASAM","CHINAGANJAM",5,0,375,0
"ANDHRA PRADESH","PRAKASAM","CHIRALA",7,7,18,0
"ANDHRA PRADESH","PRAKASAM","DONAKONDA",9,0,1467,0
"ANDHRA PRADESH","PRAKASAM","INKOLLU",16,0,147,0
"ANDHRA PRADESH","PRAKASAM","JANAKAVARAMPANGULURU",15,0,75,369
"ANDHRA PRADESH","PRAKASAM","KANDUKUR",5,0,408,321
"ANDHRA PRADESH","PRAKASAM","KANIGIRI",16,58,143,0
"ANDHRA PRADESH","PRAKASAM","KARAMCHEDU",37,4,1402,7
"ANDHRA PRADESH","PRAKASAM","KONAKANAMITLA",16,0,173,0
"ANDHRA PRADESH","PRAKASAM","KONDAPI",35,7,190,0
"ANDHRA PRADESH","PRAKASAM","KORISAPADU",27,0,157,0
"ANDHRA PRADESH","PRAKASAM","KOTHA PATNAM",8,0,119,650
"ANDHRA PRADESH","PRAKASAM","KURICHEDU",2,0,710,0
"ANDHRA PRADESH","PRAKASAM","LINGASAMUDRAM",2,0,215,0
"ANDHRA PRADESH","PRAKASAM","MADDIPADU",100,294,990,466
"ANDHRA PRADESH","PRAKASAM","MARKAPUR",1,900,100,0
"ANDHRA PRADESH","PRAKASAM","MARTUR",15,0,129,42
"ANDHRA PRADESH","PRAKASAM","MUNDLAMURU",23,23,151,69
"ANDHRA PRADESH","PRAKASAM","NAGULUPPALA PADU",17,90,560,53
"ANDHRA PRADESH","PRAKASAM","ONGOLE",13,0,109,0
"ANDHRA PRADESH","PRAKASAM","PAMUR",38,0,219,419
"ANDHRA PRADESH","PRAKASAM","PARCHUR",33,46,2026,0
"ANDHRA PRADESH","PRAKASAM","PEDACHERLO PALLE",77,0,77,174
"ANDHRA PRADESH","PRAKASAM","PODILI",16,0,295,0
"ANDHRA PRADESH","PRAKASAM","PONNALUR",13,41,184,246
"ANDHRA PRADESH","PRAKASAM","SANTHAMAGULURU",40,0,210,0
"ANDHRA PRADESH","PRAKASAM","SANTHANUTHALA PADU",26,4,108,0
"ANDHRA PRADESH","PRAKASAM","SINGARAYA KONDA",2,0,1250,600
"ANDHRA PRADESH","PRAKASAM","TANGUTUR",31,8,412,4
"ANDHRA PRADESH","PRAKASAM","THALLUR",2,0,225,150
"ANDHRA PRADESH","PRAKASAM","TRIPURANTHAKAM",4,0,105,0
"ANDHRA PRADESH","PRAKASAM","ULAVAPADU",126,0,201,0
"ANDHRA PRADESH","PRAKASAM","VETA PALEM",5,1222,26,0
"ANDHRA PRADESH","PRAKASAM","VOLETIVARI PALEM",1,0,1200,0
"ANDHRA PRADESH","PRAKASAM","YADDANA PUDI",64,0,121,0
"ANDHRA PRADESH","PRAKASAM","ZARUGUMALLI",19,74,852,38
"ANDHRA PRADESH","RANGA REDDY","BASHEERABAD",2,1250,0,0
"ANDHRA PRADESH","RANGA REDDY","DHARUR",12,0,211,0
"ANDHRA PRADESH","RANGA REDDY","GHATKESAR",104,0,14,43
"ANDHRA PRADESH","RANGA REDDY","HAYATHNAGAR",197,11,14,76
"ANDHRA PRADESH","RANGA REDDY","RAJENDRANAGAR",25,0,300,237
"ANDHRA PRADESH","RANGA REDDY","UPPAL",156,91,32,5
"ANDHRA PRADESH","SRIKAKULUM","BHAMINI",3,20,14,0
"ANDHRA PRADESH","SRIKAKULUM","ETCHERLA",4,0,167,0
"ANDHRA PRADESH","SRIKAKULUM","GARA",17,0,136,0
"ANDHRA PRADESH","SRIKAKULUM","KOTTURU",2,0,125,0
"ANDHRA PRADESH","SRIKAKULUM","MANDASA",1,0,40,0
"ANDHRA PRADESH","SRIKAKULUM","PALAKONDA",1,200,300,0
"ANDHRA PRADESH","SRIKAKULUM","SARAVAKOTA",1,1000,6,0
"ANDHRA PRADESH","SRIKAKULUM","SEETHAMPETA",10,0,319,0
"ANDHRA PRADESH","SRIKAKULUM","SOMPETA",3,0,214,200
"ANDHRA PRADESH","SRIKAKULUM","VANGARA",2,0,125,0
"ANDHRA PRADESH","VIJAYA NAGARAM","BOBBILI",10,0,10,0
"ANDHRA PRADESH","VIJAYA NAGARAM","DENKADA",2,105,1010,25
"ANDHRA PRADESH","VIJAYA NAGARAM","GAJAPATHINAGARAM",2,0,0,200
"ANDHRA PRADESH","VIJAYA NAGARAM","GARIVIDI",3,0,40,0
"ANDHRA PRADESH","VIJAYA NAGARAM","GUMMALAKSHMIPURAM",4,0,67,0
"ANDHRA PRADESH","VIJAYA NAGARAM","KURUPAM",4,10,91,50
"ANDHRA PRADESH","VIJAYA NAGARAM","MAKKUVA",7,333,65,33
"ANDHRA PRADESH","VIJAYA NAGARAM","MERAKAMUDIDAM",2,0,1850,0
"ANDHRA PRADESH","VIJAYA NAGARAM","NELLIMARLA",1,50,0,0
"ANDHRA PRADESH","VIJAYA NAGARAM","PUSAPATIREGA",6,75,675,0
"ANDHRA PRADESH","VIJAYA NAGARAM","RAMABHADRAPURAM",2,0,30,0
"ANDHRA PRADESH","VIJAYA NAGARAM","SALUR",9,2,7,0
