-----
{
 "description": "This table indicates the list of composition of Bioprocessing Unit's (BPUs) board, council, committees and other bodies, etc. as on June 17, 2013. ", 
 "file_name": "List_of_Composition_of_BioProcessing_Unit_Board_As_On_June17_2013.xls", 
 "title": "Download XLS for List of Composition of Bioprocessing Unit Board/ Council/ Committees/ Other Bodies as on June 17, 2013", 
 "url": "http://data.gov.in/sites/default/files/List_of_Composition_of_BioProcessing_Unit_Board_As_On_June17_2013.xls"
}
-----
"Sl. No.","Composition of Various Board/ Council/ Committees/ Other Bodies","Designation in the Society","Address","Remarks"
27.0,"Scientific Advisory  Committee (SAC)","Member                         ","Executive Director, National Agri-Food Biotechnology Institute (NABI), C-127, Phase-8, Industrial Area, Mohali-160071, Punjab",""
28.0,"Scientific Advisory  Committee (SAC)","Member                         ","408/2, Kirti Apartments, Mayur Vihar Extension, Phase-I, Delhi-110091.",""
29.0,"Scientific Advisory  Committee (SAC)","Member                          ","Department of Biotechnology, Indian Institute of Technology, Madras., Chennai Post Office, Chennai-600 036. ",""
30.0,"Scientific Advisory  Committee (SAC)","Member                        ","Deptt. of Agriculture and Food Engineering, Indian Institute of Technology, Kharagpur, West Bengal-721 302.",""
31.0,"Scientific Advisory  Committee (SAC)","Member                           ","Coordinator, R&D Plantations, Zhandu Pharmaceuticals, New Delhi",""
32.0,"Scientific Advisory  Committee (SAC)","Member                         ","Coordinator, DBT-ICT Centre of Energy Biosciences, Institute of Chemical Technology (Formerly UDCT) Nathalal Parikh Marg, Matunga, Mumbai-400019.",""
33.0,"Scientific Advisory  Committee (SAC)","Member                           ","Department of Chemical Engineering, Indian Instittue of Technology, New Delhi",""
34.0,"Scientific Advisory  Committee (SAC)","Member                          ","Head, Bitechnology Division, Indian Institute of Inter-discplinary Science and Technology, Trivandrum",""
35.0,"Scientific Advisory  Committee (SAC)","Member                          ","Director, National Institute of Pharmaceutical Education and Research, Mohali",""
36.0,"Scientific Advisory  Committee (SAC)","Member                           ","Indian Institute of Science Education and Research (IISER), Mohali",""
37.0,"Scientific Advisory  Committee (SAC)","Member                           ","Department of Chemical Engineering, Indian Instittue of Chemical Engineering, Bombay ",""
38.0,"Scientific Advisory  Committee (SAC)","Member                          ","Senior Principal Scientist, Institute of Bioresource Technology, Palampur, Himachal Pradesh",""
39.0,"Scientific Advisory  Committee (SAC)","Member                          ","Director, Central Food Technological Research Institute, Mysore",""
40.0,"Scientific Advisory  Committee (SAC)","Member                          ","Distinguished University Professor, University of Calcutta",""
41.0,"Scientific Advisory  Committee (SAC)","Member                          ","684/90/1 (old 79/9B) 14th Street, Sunny Brooks, Doddakanelly, Sarjpur Road, Bangalore-560035.",""
42.0,"Scientific Advisory  Committee (SAC)","Member                          ","Vice-President (Tech) POS Biosciences, Saskatoon, Canada",""
43.0,"Scientific Advisory  Committee (SAC)","Member                          ","Head, Food & Bioprocessing, Research Group University of Reading (UK)",""
44.0,"Scientific Advisory  Committee (SAC)","Member                        ","Senior Scientist of BPU (nominated by the GB)",""
45.0,"Scientific Advisory  Committee (SAC)","Convener (Ex-Officio)","Chief Executive Officer, Bio-Processing Unit (BPU) Sector-81, Mohali-140306, Punjab",""
