"","Total (PART A-100% women ","","","","","","","","",""
"","specific programmes)",22822.22,146.71,22968.93,18760.56,117.92,18878.48,27048.41,199.78,27248.19
"","","","","","","","","","",""
"","","","PART B-30% Women specific programmes","","","","","","",""
"Demand No.1","","","","","","","","","",""
"","Department of Agriculture & Cooperation","","","","","","","","",""
1.0,"Technology Mission on Cotton",4.5,"...",4.5,3.78,"...",3.78,4.5,"...",4.5
2.0,"Jute Technology Mission ",3.0,"...",3.0,1.7,"...",1.7,2.1,"...",2.1
3.0,"Integrated Oilseeds/Oilpalm/Pulses and ","","","","","","","","",""
"","Maize Development",120.0,"...",120.0,"...","...","...",90.0,"...",90.0
4.0,"Support to State Extension Services",180.0,"...",180.0,75.0,"...",75.0,83.0,"...",83.0
5.0,"National Food Security Mission",555.0,"...",555.0,529.0,"...",529.0,675.0,"...",675.0
6.0,"Extension Support to Central Institutions",5.4,"...",5.4,0.7,"...",0.7,1.0,"...",1.0
7.0,"Mass Media Support to Agricultural Extension",57.0,"...",57.0,50.0,"...",50.0,60.0,"...",60.0
8.0,"Establishment of Agri-Clinic and ","","","","","","","","",""
"","Agri-business Centres",6.0,"...",6.0,1.7,"...",1.7,2.0,"...",2.0
"","Total",930.9,"...",930.9,661.88,"...",661.88,917.6,"...",917.6
"Demand No. 15","","","","","","","","","",""
"","Department of Electronics and ","","","","","","","","",""
"","Information Technology","","","","","","","","",""
1.0,"Department of Electronics-Accredited ","","","","","","","","",""
"","Computer Courses",0.6,"...",0.6,0.6,"...",0.6,0.7,"...",0.7
2.0,"National Institute of Electronics and ","","","","","","","","",""
"","Information Technology",2.5,"...",2.5,2.5,"...",2.5,"...","...","..."
3.0,"C-DAC","...","...","...","...","...","...",0.1,"...",0.1
4.0,"Manpower Development (including Skill ","","","","","","","","",""
"","Development and IT for Masses","...","...","...","...","...","...",2.0,"...",2.0
"","Total",3.1,"...",3.1,3.1,"...",3.1,2.8,"...",2.8
"Demand No.17","","","","","","","","","",""
"","Department of  Food & Public Distribution","","","","","","","","",""
1.0,"Village Grain Bank Scheme",2.4,"...",2.4,0.3,"...",0.3,0.6,"...",0.6
"Demand No.19","","","","","","","","","",""
"","Ministry of Culture","","","","","","","","",""
1.0,"Zonal Culture Centres",9.3,"...",9.3,9.3,"...",9.3,11.85,"...",11.85
2.0,"Financial Assistance for Professionals & ","","","","","","","","",""
"","Individual for Specified Performing ","","","","","","","","",""
"","Art Projects",11.29,0.47,11.76,11.29,0.42,11.71,12.8,0.47,13.27
"","Total",20.59,0.47,21.06,20.59,0.42,21.01,24.65,0.47,25.12
"Demand No.30","","","","","","","","","",""
"","Ministry of Earth Sciences","","","","","","","","",""
1.0,"Atmospheric Processes and modeling ","","","","","","","","",""
"","and services",79.0,"...",79.0,10.0,"...",10.0,25.0,"...",25.0
2.0,"Ocean Science & Services",91.0,"...",91.0,24.0,"...",24.0,30.0,"...",30.0
3.0,"Ocean Technology",89.0,"...",89.0,22.0,"...",22.0,30.0,"...",30.0
"","Total",259.0,"...",259.0,56.0,"...",56.0,85.0,"...",85.0
"Demand No.32","","","","","","","","","",""
"","Ministry of External Affairs","","","","","","","","",""
1.0,"Training of foreign nationals under  ","","","","","","","","",""
"","Indian Technical and Economic ","","","","","","","","",""
"","Cooperation (ITEC) programme","...","...","...","...",120.0,120.0,"...",140.0,140.0
2.0,"Training of foreign nationals under ","","","","","","","","",""
"","Special Commonwealth Assistance for ","","","","","","","","",""
"","Africa Programme (SCAAP)","...","...","...","...",20.0,20.0,"...",25.0,25.0
3.0,"Training of foreign nationals under ","","","","","","","","",""
"","TCS Colombo Plan","...","...","...","...",4.6,4.6,"...",4.6,4.6
"","","","","","","","","","",""
"","Total","...","...","...","...",144.6,144.6,"...",169.6,169.6
"Demand No. 47","","","","","","","","","",""
"","Department of Health & Family Welfare","","","","","","","","",""
1.0,"Safdarjung Hospital, New Delhi",146.19,117.6,263.79,135.38,117.6,252.98,190.12,131.96,322.08
2.0,"Dr. RML Hospital,  New Delhi",77.98,51.06,129.04,71.49,52.54,124.03,100.1,60.13,160.23
3.0,"All India Institute of Medical Sciences, ","","","","","","","","",""
"","New Delhi",241.74,331.5,573.24,252.96,402.24,655.2,280.5,402.9,683.4
4.0,"Lady Hardinge Medical College & ","","","","","","","","",""
"","S. K. Hospital",69.0,98.25,167.25,47.36,96.24,143.6,146.25,100.88,247.13
5.0,"Post Graduate Institute of Medical ","","","","","","","","",""
"","Education & Research, Chandigarh",61.18,146.3,207.48,57.0,148.2,205.2,76.0,165.3,241.3
6.0,"Jawaharlal Institute of Post Graduate ","","","","","","","","",""
"","Medical Education & Research, Puducherry",65.21,83.7,148.91,67.37,90.72,158.09,86.4,99.9,186.3
7.0,"National Cancer Control Programme",178.56,7.2,185.76,108.0,7.06,115.06,175.2,8.16,183.36
8.0,"Grants to Kasturba Health Society, Wardha",25.5,"...",25.5,25.5,"...",25.5,25.5,"...",25.5
9.0,"National Vector Borne Disease Control ","","","","","","","","",""
"","Programme (including Filaria & Kala Azar)",234.52,3.14,237.66,186.55,3.3,189.85,234.52,3.45,237.97
10.0,"National TB Control Programme",255.65,0.83,256.48,200.57,"...",200.57,255.65,"",255.65
11.0,"National Leprosy Eradication Programme",16.83,"...",16.83,12.98,"...",12.98,16.83,"...",16.83
12.0,"National Blindness Control Programme",159.5,"...",159.5,132.0,"...",132.0,159.5,"...",159.5
13.0,"Development of Nursing Services ",23.75,"...",23.75,10.45,"...",10.45,19.0,"...",19.0
14.0,"National Institute of Mental Health & ","","","","","","","","",""
"","Neuro-Sciences, Bengaluru",38.15,28.0,66.15,38.15,30.24,68.39,46.48,35.0,81.48
15.0,"All India Institute of Speech & ","","","","","","","","",""
"","Hearing, Mysore",13.8,4.8,18.6,12.49,4.72,17.21,32.46,5.32,37.78
16.0,"Infrastructure Maintenance","","","","","","","","",""
"","(a) Direction and Administration",415.44,10.07,425.51,454.52,16.93,471.45,708.98,17.34,726.32
"","(b) Urban Family Welfare Services","...","...","...",221.03,"...",221.03,"...","...","..."
17.0,"Discretionary Grant","...",7.35,7.35,"...",0.53,0.53,"...",0.53,0.53
18.0,"National Medical Library",8.06,1.24,9.3,8.06,1.24,9.3,8.6,1.32,9.92
19.0,"Central Government Health Scheme",44.16,288.0,332.16,45.34,330.24,375.58,48.58,330.72,379.3
20.0,"Contraception",119.33,"...",119.33,113.83,"...",113.83,119.33,"...",119.33
21.0,"Urban Family Welfare Services",197.8,"...",197.8,"...","...","...","...","...","..."
22.0,"Mission Flexible Pool ",2866.99,"...",2866.99,2067.8,"...",2067.8,2824.36,"...",2824.36
"","Total ",5259.34,1179.04,6438.38,4268.83,1301.8,5570.63,5554.36,1362.91,6917.27
"Demand No.48","","","","","","","","","",""
"","Department of AYUSH","","","",""," ","","","",""
1.0,"Central Council for Research in ","","","","","","","","",""
"","Ayurvedic  Sciences",16.0,"...",16.0,1.5,"...",1.5,6.0,"...",6.0
2.0,"Rashtriya Ayurveda Vidyapeeth, New Delhi",1.42,0.13,1.55,1.67,0.13,1.8,1.25,0.15,1.4
3.0,"Central Council for Research in Homoeopathy",20.48,9.97,30.45,27.62,11.02,38.64,44.27,9.8,54.07
4.0,"Central Council for Research in Unani Medicine",13.12,8.5,21.62,12.66,8.69,21.35,15.6,8.76,24.36
5.0,"Central Council for Research in Yoga & ","","","","","","","","",""
"","Naturopathy",3.3,"...",3.3,"...","...","...","...","...","..."
6.0,"National Institute of Naturopathy, Pune",1.31,"...",1.31,"...","...","...","...","...","..."
"","Total",55.63,18.6,74.23,43.45,19.84,63.29,67.12,18.71,85.83
"Demand No.50","","","","","","","","","",""
"","Department of AIDS Control","","","","","","","","",""
1.0,"National AIDS Control Programme",510.0,"...",510.0,527.87,"...",527.87,535.5,"...",535.5
"Demand No. 55- Police","","","","","","","","","",""
"","(i) ITBP","","","","","","","","",""
1.0,"Opening of Creche, Day Care Centre, ","","","","","","","","",""
"","Gender Sensitization , Health Care Centre, ","","","","","","","","",""
"","Nutritional Care Centre, Women's Rest ","","","","","","","","",""
"","","","","","","","","","",""
"","rooms (furniture and fixtures)/Washing ","","","","","","","","",""
"","Drying/women's Laundry","...",0.06,0.06,"...",0.12,0.12,"...",0.04,0.04
2.0,"Construction of Barracks, toilets, bathrooms","...","...","...","...","...","...",0.17,"...",0.17
"","Total","...",0.06,0.06,"...",0.12,0.12,0.17,0.04,0.21
"","(ii) CISF","","","","","",""," ","",""
1.0,"Construction of Familly Welfare Centres ","","","","","","","","",""
"","at RTC Ananthpur exclusively for the ","","","","","","","","",""
"","benefit of women",0.39,"...",0.39,"...","...","...","...","...","..."
2.0,"Construction of Family Welfare Centres ","","","","","","","","",""
"","at RTC Deoli and Creche facilities","...","...","...",0.48,"...",0.48,0.45,"...",0.45
"","Total",0.39,"...",0.39,0.48,"...",0.48,0.45,"...",0.45
"","(iii) Bureau of Police Research & ","","","","","","","","",""
"","Development (BPR&D)","","","","","","","","",""
1.0,"Fellowship scheme for doctoral work in ","","","","","","","","",""
"","Criminology and Police Science for ","","","","","","","","",""
"","women, award etc. ","...","...","...","...",10.44,10.44,"...",8.51,8.51
2.0,"Pandit Gobind Ballabh Pant Award ","","","","","","","","",""
"","Scheme for books in Hindi","...","...","...","...",0.84,0.84,"...",0.84,0.84
"","Total","...","...","...","...",11.28,11.28,"...",9.35,9.35
"","Total Police",0.39,0.06,0.45,0.48,11.4,11.88,0.62,9.39,10.01
"Demand No.58","","","","","","","","","",""
"","Ministry of Housing & Urban ","","","","","","","","",""
"","Poverty Alleviation","","","","","","","","",""
1.0,"Swarnajayanti Shahari Rozgar Yojana",251.4,"...",251.4,211.33,"...",211.33,285.0,"...",285.0
"Demand No.59","","","","","","","","","",""
"","Department of School Education ","","","","","","","","",""
"","and Literacy","","","","","","","","",""
1.0,"Strengthening of Teachers Training Institution",160.0,"...",160.0,93.44,"...",93.44,160.0,"...",160.0
2.0,"Support to NGOs/Institutes/SRCs for ","","","","","","","","",""
"","Adult Education and Skill Development",65.1,0.02,65.12,49.87,"...",49.87,62.0,"...",62.0
3.0,"Adult Education and Skill Development Scheme",505.69,"...",505.69,360.74,"...",360.74,490.26,"...",490.26
4.0,"Kendriya Vidyalayas Sangathan",105.0,625.87,730.87,105.0,631.3,736.3,105.0,674.77,779.77
5.0,"Navodaya Vidyalayas Samiti",437.5,162.38,599.88,437.5,141.42,578.92,437.5,149.49,586.99
6.0,"Vocationalization of Education ",30.0,"...",30.0,24.0,"...",24.0,24.03,"...",24.03
7.0,"Information & Communication Technology ","","","","","","","","",""
"","in Schools",105.0,"...",105.0,105.0,"...",105.0,105.0,"...",105.0
8.0,"Access & Equity ",0.03,"...",0.03,0.01,"...",0.01,"...","...","..."
9.0,"Sarva Shiksha Abhiyan (SSA)",12368.62,"...",12368.62,11444.18,"...",11444.18,13192.87,"...",13192.87
10.0,"National  Programme of Nutritional Support to ","","","","","","","","",""
"","Primary Education (Mid-Day Meal Scheme)",5013.54,"...",5013.54,4830.0,"...",4830.0,5550.3,"...",5550.3
11.0,"National Council of Educational ","","","","","","","","",""
"","Research & Training (NCERT)",4.5,63.81,68.31,3.51,52.96,56.47,4.5,68.49,72.99
12.0,"National Institute of Open Schooling",0.03,"...",0.03,0.01,"...",0.01,0.03,"...",0.03
13.0,"Central Tibetian School Society Administration",1.8,12.04,13.84,1.49,12.79,14.28,1.8,13.84,15.64
14.0,"Joint Indo Mongolian School (Mongolia)",0.3,"...",0.3,0.25,"...",0.25,"...","...","..."
15.0,"Rashtriya Madhyamik Shiksha Abhiyan ","","","","","","","","",""
"","(RMSA)",1374.56,"...",1374.56,1395.96,"...",1395.96,1477.52,"...",1477.52
16.0,"National Means cum Merit Scholarship Scheme ",21.0,"...",21.0,21.0,"...",21.0,21.0,"...",21.0
17.0,"Centrally Sponsored Scheme of appointment ","","","","","","","","",""
"","of Language Teachers",1.74,"...",1.74,0.57,"...",0.57,1.74,"...",1.74
18.0,"Scheme for Providing Quality Education ","","","","","","","","",""
"","in Madrassas ",52.5,"...",52.5,58.5,"...",58.5,52.5,"...",52.5
19.0," Scheme for Infrastructure Development ","","","","","","","","",""
"","","","","","","","","","",""
"","in Minority Institutions",15.0,"...",15.0,8.52,"...",8.52,15.0,"...",15.0
20.0,"National Bal Bhawan",4.2,2.14,6.34,1.64,2.05,3.69,2.4,2.3,4.7
21.0,"Scheme for setting up of 6000 Model ","","","","","","","","",""
"","Schools at Block level as Bench Mark ","","","","","","","","",""
"","of Excellence",486.0,"...",486.0,337.5,"...",337.5,450.0,"...",450.0
22.0,"Inclusive Education for the Disabled ","","","","","","","","",""
"","at Secondary School",21.0,"...",21.0,8.42,"...",8.42,15.0,"...",15.0
23.0,"Directorate of Adult Education",2.7,0.85,3.55,1.19,0.84,2.03,2.7,0.91,3.61
24.0,"National Literacy Mission Authority",0.6,0.02,0.62,0.21,0.01,0.22,0.6,0.01,0.61
"","Total",20776.41,867.13,21643.54,19288.51,841.37,20129.88,22171.75,909.81,23081.56
"Demand No.60","","","","","","","","","",""
