-----
{
 "description": "The table provides the Balance of Payments (BOP) (US$ million) as per IMF Balance of Payments Manual 5 - old format. BOP mainly refers to the difference between a country's external financial assets and external liabilities. This table gives item-wise details for the years 2000-01, 2006-07, 2007-08 ...", 
 "file_name": "tab62.xls", 
 "title": "Download XLS for Balance of Payments - as per old format (US$ million)(External Link that opens in a new window)", 
 "url": "http://indiabudget.nic.in/tab2012/tab62.xls"
}
-----
"                                                                 6.2 :  BALANCE OF PAYMENTS AS PER IMF BALANCE OF PAYMENTS MANNUAL 5","","","","","","","","",""
"","","2000-01","","2006-07","","2007-08","","         2008-09 ",""
"","   II) Portfolio Investment (net)",154000.0,32396.0,139400.0,30293.0,85600.0,17170.0,32200.0,5796.0
"","  II Loans (net)",57900.0,12447.0,132700.0,29135.0,89700.0,19307.0,61500.0,11252.0
"","    i) External Assistance","","","","","","","",""
"","     a) Inflow",27900.0,74163.0,35900.0,7882.0,27400.0,5646.0,10100.0,1845.0
"","     b) Out flow",14300.0,61716.0,13400.0,2941.0,16100.0,3350.0,10000.0,1830.0
"","     c) Net",13600.0,12447.0,22500.0,4941.0,11300.0,2296.0,100.0,15.0
"","   ii) Commercial Borrowingsa","","","","","","","",""
"","     a) Inflow",322100.0,68267.0,459500.0,100899.0,649100.0,135344.0,376100.0,68831.0
"","     b) Out flow",277700.0,58709.0,349300.0,76705.0,570700.0,118334.0,314700.0,57594.0
"","     c) Net",44400.0,9558.0,110200.0,24194.0,78400.0,17010.0,61400.0,11237.0
"","  III) Banking","","","","","","","",""
"","     a) Receipts",292100.0,61499.0,419300.0,92323.0,427800.0,89904.0,251000.0,45994.0
"","     b) Payments",282300.0,59416.0,397300.0,87361.0,356800.0,73678.0,169800.0,31095.0
"","     c) Net",9800.0,2083.0,22000.0,4962.0,71000.0,16226.0,81200.0,14899.0
"","  IV) Rupee Debt Service",-500.0,-97.0,-300.0,-68.0,-400.0,-79.0,-100.0,-27.0
"","  V) Other Capital","","","","","","","",""
"","     a) Receipts",54600.0,11451.0,45200.0,9995.0,64100.0,13296.0,36100.0,6597.0
"","     b) Payments",117800.0,24613.0,101900.0,22411.0,94200.0,20224.0,62100.0,11339.0
"","     c) Net",-63200.0,-13162.0,-56700.0,-12416.0,-30100.0,-6929.0,-26100.0,-4742.0
"","  VI) Errors & Omissions",-100.0,-12.0,-12100.0,-2636.0,-11600.0,-2432.0,-3700.0,-653.0
7.0,"Total Capital (I to VI of 6)",243900.0,51622.0,279100.0,61104.0,3074.0,65323.0,215300.0,39336.0
8.0,"Overall Balance (5 + 7)",64200.0,13441.0,59500.0,13050.0,-68500.0,-12831.0,1900.0,363.0
9.0,"Monetary Movement","","","","","","","",""
""," a) IMF Transactions","","","","","","","",""
"","    i) Purchases","...","...","...","...","...","...","...","..."
"","   ii) Repurchases","...","...","...","...","...","...","...","..."
"","   iii) Net","...","...","...","...","...","...","...","..."
""," b) Increase (-)/decrease (+) in Reserves",-64200.0,-13441.0,-59500.0,-13050.0,68500.0,12831.0,-1900.0,-363.0
10.0,"Total Reserve movement (9a(iii)+9b)",-64200.0,-13441.0,-59500.0,-13050.0,68500.0,12831.0,-1900.0,-363.0
""," [(-) Increase/ (+) decrease] ","","","","","","","",""
"Source : Reserve Bank of India. ----: Nil or Negligible,   a: Commercial borrowings includes short term credit
P: Preliminary,   PR :  Partially Revised.     
 Notes:          
 1.  Grants received are covered under item 4(a).
 2.  Estimated interest accrued and credited to NRI deposits during the year has been treated as notional outflow under invisible payments and added as reinvestment in NRI deposits under banking capital.
 3.  In accordance with the provision of IMF’s Balance of Payments Manual (5th Edition), gold purchased from the Government of India by the  RBI has been excluded from the BOP statistics. Data for the earlier years has, therefore, been amended by making suitable adjustments in “Other Capital-Receipts and Foreign Exchange Reserves”. Similarly, item “SDR Allocation” has been deleted from the table.
 4.  With effect from 1996-97, private transfer receipts include redemption in rupees of both principal and interest under Non-Resident External (Rupee) Account [NRE(R)A] and Non-Resident Non-Repatriable Rupee Deposit [NR(NR)RD] schemes. This marks an improvement in data reporting.
 5.  The presentation of balance of payments statistics in the above table differs from the adjusted balance of payments statistics published in the previous issues of the Economic Survey.                                                                                                                                                                                                                                                         6. Totals may not tally due to rounding off.","","","","","","","","",""
