-----
{
 "description": "The table refers to block wise irrigation potential utilised under surface flow schemes. It has been sourced from 2nd census of minor irrigation scheme(1993-94) from Ministry of Water Resources.", 
 "file_name": "blcktab4.12.csv", 
 "title": "Download CSV for Blockwise Irrigation potential utilised under Surface Flow Schemes for 2nd census of Minor Irrigation Schemes (1993-94)", 
 "url": "http://data.gov.in/sites/default/files/blcktab4.12.csv"
}
-----
State,District,Block,Actual area irrigated (Ha) - Kharif,Actual area irrigated (Ha) - Rabi,Actual area irrigated (Ha) - Perennial,Actual area irrigated (Ha) - Others,Total
ANDHRA PRADESH,ADILABAD,JANNARAM,492,0,0,0,492
ANDHRA PRADESH,ADILABAD,KADDAM (PEDDUR),832,0,0,0,832
ANDHRA PRADESH,ADILABAD,KAGAZNAGAR,959,0,0,0,959
ANDHRA PRADESH,ADILABAD,KASIPET,160,19,0,0,179
ANDHRA PRADESH,ADILABAD,KERAMERI,NA,NA,NA,NA,NA
ANDHRA PRADESH,ADILABAD,KHANPUR,612,0,0,0,612
ANDHRA PRADESH,ADILABAD,KOTAPALLE,487,0,0,0,487
ANDHRA PRADESH,ADILABAD,KOUTHALA,295,0,0,0,295
ANDHRA PRADESH,ADILABAD,KUBEER,48,2,0,0,50
ANDHRA PRADESH,ADILABAD,KUNTALA,688,57,0,0,745
ANDHRA PRADESH,ADILABAD,LAHESRA,754,0,0,0,754
ANDHRA PRADESH,ADILABAD,LAXMANCHANDA,455,2,0,0,457
ANDHRA PRADESH,ADILABAD,LUXETTIPET,837,0,0,0,837
ANDHRA PRADESH,ADILABAD,MAMDA,843,0,0,0,843
ANDHRA PRADESH,ADILABAD,MANCHERIAL,498,0,0,0,498
ANDHRA PRADESH,ADILABAD,MANDAMARRI,89,0,0,0,89
ANDHRA PRADESH,ADILABAD,MUDHOLE,708,0,0,0,708
ANDHRA PRADESH,ADILABAD,NARNOOR,NA,NA,NA,NA,NA
ANDHRA PRADESH,ADILABAD,NENNAL,619,0,0,0,619
ANDHRA PRADESH,ADILABAD,NERADIGONDA,0,0,0,0,0
ANDHRA PRADESH,ADILABAD,NIRMAL,110,0,0,0,110
ANDHRA PRADESH,ADILABAD,REBBENA,442,0,0,0,442
ANDHRA PRADESH,ADILABAD,SARANGAPUR,NA,NA,NA,NA,NA
ANDHRA PRADESH,ADILABAD,SIRPUR,NA,NA,NA,NA,NA
ANDHRA PRADESH,ADILABAD,SIRPUR (T),534,0,0,0,534
ANDHRA PRADESH,ADILABAD,TALAMADUGU,48,13,0,0,61
ANDHRA PRADESH,ADILABAD,TAMSI,85,0,0,0,85
ANDHRA PRADESH,ADILABAD,TANDUR,555,7,0,0,562
ANDHRA PRADESH,ADILABAD,TANUR,7,2,0,0,9
ANDHRA PRADESH,ADILABAD,TIRYANI,NA,NA,NA,NA,NA
ANDHRA PRADESH,ADILABAD,UTNUR,19,0,0,0,19
ANDHRA PRADESH,ADILABAD,VEMANPALLE,194,30,0,0,224
ANDHRA PRADESH,ADILABAD,WANKDI,20,0,0,0,20
ANDHRA PRADESH,ANANTHAPUR,AGALI,0,0,0,0,0
ANDHRA PRADESH,ANANTHAPUR,AMADAGUR,0,13,0,0,13
ANDHRA PRADESH,ANANTHAPUR,AMARAPURAM,436,513,0,0,949
ANDHRA PRADESH,ANANTHAPUR,ANANTAPUR,0,0,0,0,0
ANDHRA PRADESH,ANANTHAPUR,ATMAKUR,0,0,0,0,0
ANDHRA PRADESH,ANANTHAPUR,BATHALAPALLE,0,26,0,0,26
ANDHRA PRADESH,ANANTHAPUR,BELUGUPPA,0,0,0,0,0
ANDHRA PRADESH,ANANTHAPUR,BOMMANAHAL,294,446,0,0,740
ANDHRA PRADESH,ANANTHAPUR,BRAHMASAMUDRAM,0,0,0,0,0
ANDHRA PRADESH,ANANTHAPUR,BUKKAPATNAM,0,0,0,0,0
ANDHRA PRADESH,ANANTHAPUR,BUKKARAYASAMUDRAM,53,80,0,0,133
ANDHRA PRADESH,ANANTHAPUR,CHENNEKOTHAPALLE,178,271,0,0,449
ANDHRA PRADESH,ANANTHAPUR,CHILAMATHUR,0,0,0,0,0
ANDHRA PRADESH,ANANTHAPUR,D.HIREHAL,0,0,0,0,0
ANDHRA PRADESH,ANANTHAPUR,DHARMAVARAM,0,0,0,0,0
ANDHRA PRADESH,ANANTHAPUR,GANDLAPENTA,1,0,0,0,1
ANDHRA PRADESH,ANANTHAPUR,GARLADINNE,624,688,0,0,1312
ANDHRA PRADESH,ANANTHAPUR,GOOTY,68,173,0,0,241
ANDHRA PRADESH,ANANTHAPUR,GORANTLA,323,22,119,0,464
ANDHRA PRADESH,ANANTHAPUR,GUDIBANDA,140,0,0,0,140
ANDHRA PRADESH,ANANTHAPUR,GUMMAGATA,0,0,4,0,4
ANDHRA PRADESH,ANANTHAPUR,GUNTAKAL,275,67,0,0,342
ANDHRA PRADESH,ANANTHAPUR,HINDUPUR,0,0,0,0,0
ANDHRA PRADESH,ANANTHAPUR,KADIRI,0,39,0,0,39
ANDHRA PRADESH,ANANTHAPUR,KALYANDRUG,0,0,0,0,0
ANDHRA PRADESH,ANANTHAPUR,KAMBADUR,0,306,0,0,306
ANDHRA PRADESH,ANANTHAPUR,KANAGANAPALLE,5,0,0,0,5
ANDHRA PRADESH,ANANTHAPUR,KANEKAL,691,407,0,0,1098
ANDHRA PRADESH,ANANTHAPUR,KOTHACHERUVU,0,0,0,0,0
ANDHRA PRADESH,ANANTHAPUR,KUDAIR,0,0,0,0,0
ANDHRA PRADESH,ANANTHAPUR,KUNDURPI,0,203,0,0,203
ANDHRA PRADESH,ANANTHAPUR,LEPAKSHI,64,0,0,0,64
ANDHRA PRADESH,ANANTHAPUR,MADAKASIRA,307,25,6,0,338
ANDHRA PRADESH,ANANTHAPUR,MUDIGUBBA,0,109,0,0,109
ANDHRA PRADESH,ANANTHAPUR,NALLACHERUVU,0,0,0,0,0
ANDHRA PRADESH,ANANTHAPUR,NALLAMADA,0,0,0,0,0
ANDHRA PRADESH,ANANTHAPUR,NAMBULAPULIKUNTA,11,70,0,0,81
ANDHRA PRADESH,ANANTHAPUR,NARPALA,145,79,0,0,224
ANDHRA PRADESH,ANANTHAPUR,OBULADEVARACHERUVU,0,0,0,0,0
ANDHRA PRADESH,ANANTHAPUR,PAMIDI,414,517,0,0,931
ANDHRA PRADESH,ANANTHAPUR,PARIGI,35,493,0,0,528
ANDHRA PRADESH,ANANTHAPUR,PEDDAPAPPUR,0,0,0,0,0
ANDHRA PRADESH,ANANTHAPUR,PEDDAVADUGUR,288,128,0,0,416
ANDHRA PRADESH,ANANTHAPUR,PENUKONDA,432,244,9,0,685
ANDHRA PRADESH,ANANTHAPUR,PUTLUR,36,36,0,0,72
ANDHRA PRADESH,ANANTHAPUR,PUTTAPARTHI,0,188,0,0,188
ANDHRA PRADESH,ANANTHAPUR,RAMAGIRI,122,73,0,0,195
ANDHRA PRADESH,ANANTHAPUR,RAPTADU,0,91,0,0,91
ANDHRA PRADESH,ANANTHAPUR,RAYADURG,178,0,0,0,178
ANDHRA PRADESH,ANANTHAPUR,RODDAM,389,143,246,16,794
ANDHRA PRADESH,ANANTHAPUR,ROLLA,110,25,3,0,138
ANDHRA PRADESH,ANANTHAPUR,SETTUR,283,0,0,0,283
ANDHRA PRADESH,ANANTHAPUR,SINGANAMALA,286,1057,8,0,1351
ANDHRA PRADESH,ANANTHAPUR,SOMANDEPALLE,638,40,0,0,678
ANDHRA PRADESH,ANANTHAPUR,TADIMARRI,0,0,0,0,0
ANDHRA PRADESH,ANANTHAPUR,TADPATRI,166,40,1,0,207
ANDHRA PRADESH,ANANTHAPUR,TALUPULA,10,73,0,0,83
ANDHRA PRADESH,ANANTHAPUR,TANAKAL,12,423,0,0,435
ANDHRA PRADESH,ANANTHAPUR,URAVAKONDA,1,0,0,0,1
ANDHRA PRADESH,ANANTHAPUR,VAJRAKARUR,4,0,0,0,4
ANDHRA PRADESH,ANANTHAPUR,VIDAPANAKAL,134,53,0,0,187
ANDHRA PRADESH,ANANTHAPUR,YADIKI,83,0,0,0,83
ANDHRA PRADESH,ANANTHAPUR,YELLANUR,214,0,0,0,214
ANDHRA PRADESH,CHITTOOR,B.KOTHAKOTA,379,456,0,0,835
ANDHRA PRADESH,CHITTOOR,BAIREDDIPALLE,1209,252,0,0,1461
ANDHRA PRADESH,CHITTOOR,BANGARUPALEM,34,262,0,0,296
ANDHRA PRADESH,CHITTOOR,BUCHINAIDU KHANDRIGA,378,2455,0,0,2833
ANDHRA PRADESH,CHITTOOR,CHANDRAGIRI,1,0,0,0,1
ANDHRA PRADESH,CHITTOOR,CHINNAGOTTIGALLU,10,222,1,0,233
ANDHRA PRADESH,CHITTOOR,CHITTOOR,93,17,0,0,110
ANDHRA PRADESH,CHITTOOR,CHOWDE[ALLE,555,557,0,0,1112
ANDHRA PRADESH,CHITTOOR,GANGADHARA NELLORE,2,292,0,0,294
ANDHRA PRADESH,CHITTOOR,GANGAVARAM,1150,580,0,0,1730
ANDHRA PRADESH,CHITTOOR,GUDIPALA,410,242,0,0,652
ANDHRA PRADESH,CHITTOOR,GUDUPALLE,560,65,0,0,625
ANDHRA PRADESH,CHITTOOR,GURRAMKONDA,761,67,0,0,828
ANDHRA PRADESH,CHITTOOR,IRALA,107,619,0,0,726
ANDHRA PRADESH,CHITTOOR,K.V.B. PURAM,0,2160,0,0,2160
ANDHRA PRADESH,CHITTOOR,KALAKADA,33,105,0,0,138
ANDHRA PRADESH,CHITTOOR,KALIKIRI,20,315,1,0,336
ANDHRA PRADESH,CHITTOOR,KAMACHANDRA PURAM,0,0,0,0,0
ANDHRA PRADESH,CHITTOOR,KAMBHAMVARIPALLE,4,355,0,0,359
ANDHRA PRADESH,CHITTOOR,KARVETINAGAR,153,630,0,0,783
ANDHRA PRADESH,CHITTOOR,KUPPAM,692,91,0,0,783
ANDHRA PRADESH,CHITTOOR,KURABALAKOTA,437,512,0,0,949
ANDHRA PRADESH,CHITTOOR,MADANAPALLE,776,492,0,0,1268
ANDHRA PRADESH,CHITTOOR,MULAKALACHERUVU,203,285,0,0,488
ANDHRA PRADESH,CHITTOOR,NAGALAPURAM,977,54,0,0,1031
ANDHRA PRADESH,CHITTOOR,NAGARI,17,225,0,0,242
ANDHRA PRADESH,CHITTOOR,NARAYANAVANAM,187,242,0,0,429
ANDHRA PRADESH,CHITTOOR,NIMMANAPALLE,219,1139,0,0,1358
ANDHRA PRADESH,CHITTOOR,NINDRA,0,280,0,0,280
ANDHRA PRADESH,CHITTOOR,PAKALA,11,287,0,0,298
ANDHRA PRADESH,CHITTOOR,PALAMANERU,556,405,0,0,961
ANDHRA PRADESH,CHITTOOR,PALASAMUDRAM,81,118,0,0,199
ANDHRA PRADESH,CHITTOOR,PEDDAMANDYAM,692,493,0,0,1185
ANDHRA PRADESH,CHITTOOR,PEDDAPANJANI,1661,393,0,0,2054
ANDHRA PRADESH,CHITTOOR,PEDDATHIPPASAMDRAM,289,1994,0,0,2283
ANDHRA PRADESH,CHITTOOR,PENUMURU,7,97,0,0,104
ANDHRA PRADESH,CHITTOOR,PICHATURU,41,1039,0,0,1080
ANDHRA PRADESH,CHITTOOR,PILERU,573,316,0,0,889
ANDHRA PRADESH,CHITTOOR,PULICHERLA,345,349,0,0,694
ANDHRA PRADESH,CHITTOOR,PUNGANURU,677,1210,0,0,1887
ANDHRA PRADESH,CHITTOOR,PUTHALAPATTU,0,176,0,0,176
ANDHRA PRADESH,CHITTOOR,PUTTURU,24,435,0,0,459
ANDHRA PRADESH,CHITTOOR,RAMAKUPPAM,645,219,0,0,864
ANDHRA PRADESH,CHITTOOR,RAMASAMUDRAM,1280,252,0,0,1532
ANDHRA PRADESH,CHITTOOR,RENIGUNTA,19,1849,0,0,1868
ANDHRA PRADESH,CHITTOOR,ROMPICHERLA,275,357,2,0,634
ANDHRA PRADESH,CHITTOOR,SANTHIPURAM,726,49,13,4,792
ANDHRA PRADESH,CHITTOOR,SATYAVEDU,1235,2150,0,0,3385
ANDHRA PRADESH,CHITTOOR,SODAM,795,359,6,0,1160
ANDHRA PRADESH,CHITTOOR,SOMALA,320,976,0,0,1296
ANDHRA PRADESH,CHITTOOR,SRIKALAHASTI,71,4817,0,0,4888
ANDHRA PRADESH,CHITTOOR,SRIRANGARAJAPURAM,0,84,0,0,84
ANDHRA PRADESH,CHITTOOR,THAMBALLAPALLE,178,999,0,0,1177
ANDHRA PRADESH,CHITTOOR,THAVANAMPALLE,0,0,0,0,0
ANDHRA PRADESH,CHITTOOR,THOTTAMBEDA,102,2649,0,0,2751
ANDHRA PRADESH,CHITTOOR,TIRUPATI (RURAL),0,152,0,0,152
ANDHRA PRADESH,CHITTOOR,TIRUPATI (URBAN),21,196,0,0,217
ANDHRA PRADESH,CHITTOOR,VADAMALAPETA,4,525,0,0,529
ANDHRA PRADESH,CHITTOOR,VARADAIAHPALEM,74,3439,0,0,3513
ANDHRA PRADESH,CHITTOOR,VAYALPAD,6,0,0,0,6
ANDHRA PRADESH,CHITTOOR,VEDURUKUPPAM,0,456,0,0,456
ANDHRA PRADESH,CHITTOOR,VENKATAGIRIKOTA,991,50,0,0,1041
ANDHRA PRADESH,CHITTOOR,VIJAYAPURAM,0,134,0,0,134
ANDHRA PRADESH,CHITTOOR,YADAMARI,0,180,0,0,180
ANDHRA PRADESH,CHITTOOR,YERPEDU,0,3816,0,0,3816
ANDHRA PRADESH,CHITTOOR,YERRAVARIPALEM,9,454,0,0,463
ANDHRA PRADESH,CUDDAPAH,ATLUR,1324,0,0,0,1324
ANDHRA PRADESH,CUDDAPAH,B.KODUR,312,973,0,0,1285
ANDHRA PRADESH,CUDDAPAH,BADVEL,394,1518,0,0,1912
ANDHRA PRADESH,CUDDAPAH,BRAHMAMGARIMATHAM,126,317,0,0,443
ANDHRA PRADESH,CUDDAPAH,CHAKARAYAPET,110,0,0,0,110
ANDHRA PRADESH,CUDDAPAH,CHAPAD,0,0,0,0,0
ANDHRA PRADESH,CUDDAPAH,CHENNAMANDEM,24,0,0,0,24
ANDHRA PRADESH,CUDDAPAH,CHENNUR,NA,NA,NA,NA,NA
ANDHRA PRADESH,CUDDAPAH,CHINTHAKOMMADINNE,101,8,0,0,109
ANDHRA PRADESH,CUDDAPAH,CHITVEL,370,999,0,0,1369
ANDHRA PRADESH,CUDDAPAH,CUDDAPAH,0,0,0,0,0
ANDHRA PRADESH,CUDDAPAH,DUVVUR,0,0,0,0,0
ANDHRA PRADESH,CUDDAPAH,GALIVEEDU,39,119,0,0,158
ANDHRA PRADESH,CUDDAPAH,GOPAVARAM,677,122,0,0,799
ANDHRA PRADESH,CUDDAPAH,JAMMALAMADUGU,138,0,0,0,138
ANDHRA PRADESH,CUDDAPAH,KALASAPADU,1155,202,0,0,1357
ANDHRA PRADESH,CUDDAPAH,KAMALAPURAM,32,0,0,0,32
ANDHRA PRADESH,CUDDAPAH,KHAJIPET,50,0,0,0,50
ANDHRA PRADESH,CUDDAPAH,KODUR,108,204,144,0,456
ANDHRA PRADESH,CUDDAPAH,KONDAPURAM,0,0,0,0,0
ANDHRA PRADESH,CUDDAPAH,LAKKIREDDIPALLE,90,34,0,0,124
ANDHRA PRADESH,CUDDAPAH,LINGALA,NA,NA,NA,NA,NA
ANDHRA PRADESH,CUDDAPAH,MUDDANUR,0,0,0,0,0
ANDHRA PRADESH,CUDDAPAH,MYLAVARAM,157,45,0,0,202
ANDHRA PRADESH,CUDDAPAH,NANDALUR,492,693,38,0,1223
ANDHRA PRADESH,CUDDAPAH,OBULAVARIPALLE,12,384,28,0,424
ANDHRA PRADESH,CUDDAPAH,PEDDAMUDIUM,56,0,0,0,56
ANDHRA PRADESH,CUDDAPAH,PENAGALUR,329,210,25,0,564
ANDHRA PRADESH,CUDDAPAH,PENDLIMARRI,NA,NA,NA,NA,NA
ANDHRA PRADESH,CUDDAPAH,PORUMAMILLA,452,1411,0,0,1863
ANDHRA PRADESH,CUDDAPAH,PRODDUTUR,NA,NA,NA,NA,NA
ANDHRA PRADESH,CUDDAPAH,PULIVENDLA,NA,NA,NA,NA,NA
ANDHRA PRADESH,CUDDAPAH,PULLAMPETA,252,325,0,0,577
ANDHRA PRADESH,CUDDAPAH,RAJAMPET,360,437,0,0,797
ANDHRA PRADESH,CUDDAPAH,RAJUPALEM,0,0,0,0,0
ANDHRA PRADESH,CUDDAPAH,RAMAPURAM,33,0,0,2,35
ANDHRA PRADESH,CUDDAPAH,ROYACHOTI,345,209,0,0,554
ANDHRA PRADESH,CUDDAPAH,S.MYDUKUR,51,0,59,0,110
ANDHRA PRADESH,CUDDAPAH,SAMBEPALLE,19,131,0,0,150
ANDHRA PRADESH,CUDDAPAH,SIDHOUT,NA,NA,NA,NA,NA
ANDHRA PRADESH,CUDDAPAH,SIMHADRIPURAM,NA,NA,NA,NA,NA
ANDHRA PRADESH,CUDDAPAH,T.SUNDUPALLE,107,757,10,0,874
ANDHRA PRADESH,CUDDAPAH,THONDUR,0,0,0,0,0
ANDHRA PRADESH,CUDDAPAH,VALLUR,0,0,0,0,0
ANDHRA PRADESH,CUDDAPAH,VEERABALLE,135,40,0,0,175
ANDHRA PRADESH,CUDDAPAH,VEERAPUNAYUNIPALLE,0,0,0,0,0
ANDHRA PRADESH,CUDDAPAH,VEMPALLE,0,0,0,0,0
ANDHRA PRADESH,CUDDAPAH,VEMULA,0,0,0,0,0
ANDHRA PRADESH,CUDDAPAH,VONTIMITTA,0,425,0,0,425
ANDHRA PRADESH,CUDDAPAH,YERRAGUNTLA,15,0,0,0,15
ANDHRA PRADESH,EAST GODAVARI,ADDATEEGALA,405,54,11,0,470
ANDHRA PRADESH,EAST GODAVARI,AINAVILLI,NA,NA,NA,NA,NA
ANDHRA PRADESH,EAST GODAVARI,ALAMURU,NA,NA,NA,NA,NA
ANDHRA PRADESH,EAST GODAVARI,ALLAVARAM,NA,NA,NA,NA,NA
ANDHRA PRADESH,EAST GODAVARI,AMALAPURAM,NA,NA,NA,NA,NA
ANDHRA PRADESH,EAST GODAVARI,AMBAJIPETA,NA,NA,NA,NA,NA
ANDHRA PRADESH,EAST GODAVARI,ANAPARTHY,260,0,0,0,260
ANDHRA PRADESH,EAST GODAVARI,ATREYAPURAM,NA,NA,NA,NA,NA
ANDHRA PRADESH,EAST GODAVARI,BICCAVOLU,870,263,0,0,1133
ANDHRA PRADESH,EAST GODAVARI,DEVIPATNAM,368,0,0,0,368
ANDHRA PRADESH,EAST GODAVARI,GANDEPALLE,1481,71,85,0,1637
ANDHRA PRADESH,EAST GODAVARI,GANGAVARAM,1504,0,0,0,1504
ANDHRA PRADESH,EAST GODAVARI,GOKAVARAM,3885,0,0,0,3885
ANDHRA PRADESH,EAST GODAVARI,GOLLAPROLU,766,0,0,0,766
ANDHRA PRADESH,EAST GODAVARI,I. POLAVARAM,NA,NA,NA,NA,NA
ANDHRA PRADESH,EAST GODAVARI,JAGGAMPETA,2823,119,8,0,2950
ANDHRA PRADESH,EAST GODAVARI,KADIAM,101,4,0,0,105
ANDHRA PRADESH,EAST GODAVARI,KAJULURU,NA,NA,NA,NA,NA
ANDHRA PRADESH,EAST GODAVARI,KAKINADA RURAL,NA,NA,NA,NA,NA
ANDHRA PRADESH,EAST GODAVARI,KAKINADA URBAN,NA,NA,NA,NA,NA
ANDHRA PRADESH,EAST GODAVARI,KAPILESWARAPURAM,NA,NA,NA,NA,NA
ANDHRA PRADESH,EAST GODAVARI,KARAPA,NA,NA,NA,NA,NA
ANDHRA PRADESH,EAST GODAVARI,KATRENIKONA,NA,NA,NA,NA,NA
ANDHRA PRADESH,EAST GODAVARI,KIRLAMPUDI,230,0,89,0,319
ANDHRA PRADESH,EAST GODAVARI,KORUKONDA,2392,0,12,0,2404
ANDHRA PRADESH,EAST GODAVARI,KOTANANDURU,1616,0,0,0,1616
ANDHRA PRADESH,EAST GODAVARI,KOTHAPALLE,NA,NA,NA,NA,NA
ANDHRA PRADESH,EAST GODAVARI,KOTHAPETA,NA,NA,NA,NA,NA
ANDHRA PRADESH,EAST GODAVARI,MALIKIPURAM,NA,NA,NA,NA,NA
ANDHRA PRADESH,EAST GODAVARI,MAMIDIKUDURU,NA,NA,NA,NA,NA
ANDHRA PRADESH,EAST GODAVARI,MANDAPETA,123,123,0,0,246
ANDHRA PRADESH,EAST GODAVARI,MAREDUMILLI,26,0,0,0,26
ANDHRA PRADESH,EAST GODAVARI,MUMMIDIVARAM,NA,NA,NA,NA,NA
ANDHRA PRADESH,EAST GODAVARI,P.GANNAVARAM,NA,NA,NA,NA,NA
ANDHRA PRADESH,EAST GODAVARI,PAMARRU,NA,NA,NA,NA,NA
ANDHRA PRADESH,EAST GODAVARI,PEDAPUDI,NA,NA,NA,NA,NA
ANDHRA PRADESH,EAST GODAVARI,PEDDAPURAM,809,0,50,0,859
ANDHRA PRADESH,EAST GODAVARI,PITHAPURAM,NA,NA,NA,NA,NA
ANDHRA PRADESH,EAST GODAVARI,PRATHIPADU,2609,6,0,0,2615
ANDHRA PRADESH,EAST GODAVARI,RAJAHMUNDRY RURAL,190,158,0,0,348
ANDHRA PRADESH,EAST GODAVARI,RAJAHMUNDRY URBAN,NA,NA,NA,NA,NA
ANDHRA PRADESH,EAST GODAVARI,RAJANAGARAM,1986,0,0,0,1986
ANDHRA PRADESH,EAST GODAVARI,RAJAVOMMANGI,1705,0,0,0,1705
ANDHRA PRADESH,EAST GODAVARI,RAMACHANDRAPURAM,NA,NA,NA,NA,NA
ANDHRA PRADESH,EAST GODAVARI,RAMPACHODAVARAM,381,0,0,0,381
ANDHRA PRADESH,EAST GODAVARI,RANGAMPETA,1458,0,9,9,1476
ANDHRA PRADESH,EAST GODAVARI,RAVULAPALEM,NA,NA,NA,NA,NA
ANDHRA PRADESH,EAST GODAVARI,RAYAVARAM,NA,NA,NA,NA,NA
ANDHRA PRADESH,EAST GODAVARI,RAZOLE,NA,NA,NA,NA,NA
ANDHRA PRADESH,EAST GODAVARI,SAKHINETIPALLE,NA,NA,NA,NA,NA
ANDHRA PRADESH,EAST GODAVARI,SAMALKOTA,497,174,6,0,677
ANDHRA PRADESH,EAST GODAVARI,SANKHAVARAM,2152,63,5,0,2220
ANDHRA PRADESH,EAST GODAVARI,SEETHANAGARAM,NA,NA,NA,NA,NA
ANDHRA PRADESH,EAST GODAVARI,THALLAREVU,NA,NA,NA,NA,NA
ANDHRA PRADESH,EAST GODAVARI,THONDANGI,250,0,0,0,250
ANDHRA PRADESH,EAST GODAVARI,TUNI,696,4,71,0,771
ANDHRA PRADESH,EAST GODAVARI,UPPALAGUPTAM,NA,NA,NA,NA,NA
ANDHRA PRADESH,EAST GODAVARI,Y. RAMAVARAM,779,19,1,0,799
ANDHRA PRADESH,EAST GODAVARI,YELESWARAM,733,0,501,0,1234
ANDHRA PRADESH,GUNTUR,ACHAMPET,73,0,0,0,73
ANDHRA PRADESH,GUNTUR,AMARAVATHI,18,0,0,0,18
ANDHRA PRADESH,GUNTUR,AMRUTHALUR,NA,NA,NA,NA,NA
ANDHRA PRADESH,GUNTUR,BAPATLA,NA,NA,NA,NA,NA
ANDHRA PRADESH,GUNTUR,BELLAMKONDA,59,24,0,0,83
ANDHRA PRADESH,GUNTUR,BHATTIPROLU,NA,NA,NA,NA,NA
ANDHRA PRADESH,GUNTUR,BOLLAPALLE,74,0,0,0,74
ANDHRA PRADESH,GUNTUR,CHEBROLE,19,19,0,0,38
ANDHRA PRADESH,GUNTUR,CHERUKUPALLE,NA,NA,NA,NA,NA
ANDHRA PRADESH,GUNTUR,CHILAKALURIPET,32,0,0,0,32
ANDHRA PRADESH,GUNTUR,DACHEPALLE,NA,NA,NA,NA,NA
ANDHRA PRADESH,GUNTUR,DUGGIRALA,NA,NA,NA,NA,NA
ANDHRA PRADESH,GUNTUR,DURGI,0,0,0,0,0
ANDHRA PRADESH,GUNTUR,EDLAPADU,31,0,0,0,31
ANDHRA PRADESH,GUNTUR,GUNTUR,86,0,0,0,86
ANDHRA PRADESH,GUNTUR,GURAZALA,NA,NA,NA,NA,NA
ANDHRA PRADESH,GUNTUR,IPUR,192,0,0,0,192
ANDHRA PRADESH,GUNTUR,KAKUMANU,NA,NA,NA,NA,NA
ANDHRA PRADESH,GUNTUR,KAREMPUDI,97,55,0,0,152
ANDHRA PRADESH,GUNTUR,KARLAPALEM,NA,NA,NA,NA,NA
ANDHRA PRADESH,GUNTUR,KOLLIPARA,NA,NA,NA,NA,NA
ANDHRA PRADESH,GUNTUR,KOLLUR,NA,NA,NA,NA,NA
ANDHRA PRADESH,GUNTUR,KROSURU,270,47,0,0,317
ANDHRA PRADESH,GUNTUR,MACHAVARAM,285,168,0,0,453
ANDHRA PRADESH,GUNTUR,MACHERLA,137,0,0,0,137
ANDHRA PRADESH,GUNTUR,MANGALAGIRI,0,0,0,0,0
ANDHRA PRADESH,GUNTUR,MEDIKONDURU,24,0,0,0,24
ANDHRA PRADESH,GUNTUR,MUPPALLA,0,0,0,0,0
ANDHRA PRADESH,GUNTUR,NADENDLA,66,0,0,0,66
ANDHRA PRADESH,GUNTUR,NAGARAM,NA,NA,NA,NA,NA
ANDHRA PRADESH,GUNTUR,NARASARAOPET,170,0,0,0,170
ANDHRA PRADESH,GUNTUR,NEKARIKALLU,66,0,0,0,66
ANDHRA PRADESH,GUNTUR,NIZAMPATNAM,NA,NA,NA,NA,NA
ANDHRA PRADESH,GUNTUR,NUZENDLA,358,0,0,0,358
ANDHRA PRADESH,GUNTUR,PEDAKAKANI,0,5,0,0,5
ANDHRA PRADESH,GUNTUR,PEDAKURAPADU,0,0,0,0,0
ANDHRA PRADESH,GUNTUR,PEDANANDIPADU,NA,NA,NA,NA,NA
