-----
{
 "description": "The table provides the Minimum Support Price/Procurement Price for Crops (Crop year basis) for the years 1990-91, 1999-00, 2002-03, 2004-05 to 2012-13. Minimum Support Price is the price at which government purchases crops for the farmers, to safeguard the interests of the farmers. The Minimum ...", 
 "file_name": "tab55.xls", 
 "title": "Download XLS for Minimum Support Price/Procurement Price for Crops (Crop year basis)(External Link that opens in a new window)", 
 "url": "http://indiabudget.nic.in/tab2012/tab55.xls"
}
-----
"5.5 : MINIMUM SUPPORT PRICE/PROCUREMENT PRICE FOR CROPS","","","","","","","","","","","",""
"(CROP YEAR BASIS)","","","","","","","","","","","",""
"(Rs./quintal)","","","","","","","","","","","",""
"Commodities","1990-91","1999-00","2002-03b","2004-05","2005-06","2006-07","2007-08","2008-09","2009-10","2010-11","2011-12","2012-13"
"Cotton H-4 750 ",750.0,1775.0,1895.0,1960.0,1980.0,"1990f","2030f","3000j","3000j","3000j","3300j",3900.0
"Groundnut ",580.0,1155.0,1375.0,1500.0,1520.0,1520.0,1550.0,2100.0,2100.0,2300.0,2700.0,3700.0
"Jute(TD-5) ",320.0,750.0,850.0,890.0,910.0,1000.0,1055.0,1250.0,1375.0,1575.0,1675.0,2200.0
"Rapeseed/ mustard ",600.0,1100.0,1340.0,1700.0,1715.0,1715.0,1800.0,1830.0,1830.0,1850.0,2500.0,3000.0
"Sunflower ",600.0,1155.0,1210.0,1340.0,1500.0,1500.0,1510.0,2215.0,2215.0,2350.0,2800.0,3700.0
"Soyabean (Black) ",350.0,755.0,805.0,900.0,900.0,900.0,910.0,1350.0,1350.0,1400.0,1650.0,2200.0
"Soyabean (Yellow) ",400.0,845.0,895.0,1000.0,1010.0,1020.0,1050.0,1390.0,1390.0,1440.0,1690.0,2240.0
"Safflower ",575.0,1100.0,1305.0,1550.0,1565.0,1565.0,1650.0,1650.0,1680.0,1800.0,2500.0,2800.0
"Toria ",570.0,1065.0,1305.0,1665.0,1680.0,1680.0,1735.0,1735.0,1735.0,1780.0,2425.0," ,,,"
"Copra (milling) ",1600.0,3100.0,3300.0,3500.0,3570.0,3590.0,3620.0,3660.0,4450.0,4450.0,4525.0,5100.0
"Copra balls ","...",3325.0,3550.0,3750.0,3820.0,3840.0,3870.0,3910.0,4700.0,4700.0,4775.0,5350.0
"Sesamum ","...",1205.0,1455.0,1500.0,1550.0,1560.0,1580.0,2750.0,2850.0,2900.0,3400.0,4200.0
"Niger seed ","...",915.0,1120.0,1180.0,1200.0,1220.0,1240.0,2405.0,2405.0,2450.0,2900.0,3500.0
"a Statutory Minimum Price (SMP) upto 2008-09. Fair and Remunerative Price (FRP) from 2009-10 onwards.","","","","","","","","","","","",""
"b Including Special onetime drought relief (SDR) price announced for 2002-03.","","","","","","","","","","","",""
"c An additional incentive bonus of Rs. 40 per quintal was payable on procurement between January 10, 2006 to March 31, 2007.","","","","","","","","","","","",""
"d A bonus of Rs. 40 per quintal was payable over and above the MSP.","","","","","","","","","","","",""
"e Medium staple.","","","","","","","","","","","",""
"f Long staple.","","","","","","","","","","","",""
"g An incentive bonus of Rs. 50 per quintal is payable on wheat over the Minimum Support Price (MSP).","","","","","","","","","","","",""
"h An additional incentive bonus of Rs. 100 per quintal was payable over the Minimum Support Price (MSP).","","","","","","","","","","","",""
"i Staple length (mm) of 24.5-25.5 and micronaire value of 4.3-5.1","","","","","","","","","","","",""
"j Staple length (mm) of 29.5-30.5 and micronaire value of 3.5-4.3","","","","","","","","","","","",""
"k  An additional incentive bonus of Rs. 50 per quintal was payble over the MSP.","","","","","","","","","","","",""
"l Additional incentive at the rate of Rs. 500 per quintal of tur, urad and moong sold to procurement agencies .","","","","","","","","","","","",""
"m At 9.5 percent recovery, subject to a premium of Rs.1.53 for every 0.1 percent increase in the recovery above 9.5 percent.","","","","","","","","","","","",""
