-----
{
 "description": "The table refers to district wise distribution of surface flow schemes according to ownership. It has been sourced from 2nd census of minor irrigation scheme(1993-94) from Ministry of Water Resources.", 
 "file_name": "Statetab4.2.csv", 
 "title": "Download CSV for Districtwise Distribution of surface flow schemes according to ownership for 2nd census of Minor Irrigation Schemes (1993-94)", 
 "url": "http://data.gov.in/sites/default/files/Statetab4.2.csv"
}
-----
State,District,Government owned,Cooperative Societies,Panchayat owned,Group of farmers,Individual farmers,Others,Total
BIHAR,KISHANGANJ,NA,NA,NA,NA,NA,NA,NA
BIHAR,KODARMA,261,0,0,43,9,0,313
BIHAR,LAKHISARAI,264,0,0,0,3,0,267
BIHAR,LOHARDAGA,54,0,3,12,119,2,190
BIHAR,MADHEPURA,3,0,0,0,0,0,3
BIHAR,MADHUBANI,34,0,64,0,0,3,101
BIHAR,MUNGER,169,2,0,3,298,1,473
BIHAR,MUZAFFARPUR,4,0,0,0,0,0,4
BIHAR,NALANDA,483,0,3,31,10,5,532
BIHAR,NAWADA,1671,27,14,1220,50,22,3004
BIHAR,PAKUR,957,6,10,252,2003,4,3232
BIHAR,PALAMU,6892,17,50,2131,178,1,9269
BIHAR,PATNA,172,1,35,0,2,0,210
BIHAR,PURNIA,0,0,0,0,50,0,50
BIHAR,RANCHI,240,3,13,10,358,0,624
BIHAR,ROHTAS,535,0,5,81,49,0,670
BIHAR,SAHARSA,2,0,1,0,0,0,3
BIHAR,SAHEBGANJ,611,1,2,62,1941,0,2617
BIHAR,SAMASTIPUR,8,0,0,0,1,0,9
BIHAR,SARAN,20,0,0,1,5,32,58
BIHAR,SHEIKHPURA,361,0,2,78,14,0,455
BIHAR,SHEOHAR,8,0,0,0,4,0,12
BIHAR,SINGHBHUM EAST,509,9,8,161,847,7,1541
BIHAR,SINGHBHUM WEST,982,5,5,135,3233,6,4366
BIHAR,SITAMARHI,18,0,5,2,2,0,27
BIHAR,SIWAN,5,0,0,0,3,0,8
BIHAR,SUPAUL,1,0,0,0,0,1,2
BIHAR,VAISHALI,3,0,0,0,4,0,7
GOA,NORTH GOA,10,30,0,589,1782,31,2442
GOA,SOUTH GOA,34,3,0,331,300,66,734
GUJARAT,,NA,NA,NA,NA,NA,NA,NA
HARYANA,AMBALA,1,0,0,267,131,0,399
HARYANA,BHIWANI,0,0,0,35,25,0,60
HARYANA,FARIDABAD,1,0,0,0,0,0,1
HARYANA,GURGAON,0,0,0,14,2,0,16
HARYANA,HISAR,NA,NA,NA,NA,NA,NA,NA
HARYANA,JIND,NA,NA,NA,NA,NA,NA,NA
HARYANA,KAITHAL,NA,NA,NA,NA,NA,NA,NA
HARYANA,KARNAL,NA,NA,NA,NA,NA,NA,NA
HARYANA,KURUKSHETRA,0,0,0,9,15,0,24
HARYANA,MEHANDERGARH,NA,NA,NA,NA,NA,NA,NA
HARYANA,PANCHKULA,0,1,2,7,0,0,10
HARYANA,PANIPAT,NA,NA,NA,NA,NA,NA,NA
HARYANA,RIWARI,NA,NA,NA,NA,NA,NA,NA
HARYANA,ROHTAK,NA,NA,NA,NA,NA,NA,NA
HARYANA,SIRSA,NA,NA,NA,NA,NA,NA,NA
HARYANA,SONIPAT,NA,NA,NA,NA,NA,NA,NA
HARYANA,YAMUNA NAGAR,NA,NA,NA,NA,NA,NA,NA
HIMACHAL PRADESH,Bilaspur,226,2,0,521,51,0,800
HIMACHAL PRADESH,Chamba,123,1,1,481,16,0,622
HIMACHAL PRADESH,Hamirpur,74,0,0,86,14,8,182
HIMACHAL PRADESH,Kangra,830,7,142,1573,50,1,2603
HIMACHAL PRADESH,Kinnaur,213,0,0,220,9,0,442
HIMACHAL PRADESH,Kullu,34,2,135,93,26,133,423
HIMACHAL PRADESH,Lahul & Spiti,9,0,2,417,17,0,445
HIMACHAL PRADESH,Mandi,2018,2,34,1551,105,56,3766
HIMACHAL PRADESH,Shimla,423,1,12,687,165,1,1289
HIMACHAL PRADESH,Sirmaur,732,4,2,1030,191,0,1959
HIMACHAL PRADESH,Solan,396,3,54,1233,105,1,1792
HIMACHAL PRADESH,Una,4,1,7,6,0,4,22
JAMMU & KASHMIR,Anantnagh,232,0,0,797,0,0,1029
JAMMU & KASHMIR,Baramulla,110,0,0,34,481,0,625
JAMMU & KASHMIR,Budgam,183,47,0,274,0,0,504
JAMMU & KASHMIR,Doda,322,24,58,401,151,272,1228
JAMMU & KASHMIR,Jammu,18,0,7,0,0,0,25
JAMMU & KASHMIR,Kargil,0,1,0,493,0,0,494
JAMMU & KASHMIR,Kathua,190,43,0,73,121,43,470
JAMMU & KASHMIR,Kupwara,53,16,0,0,309,0,378
JAMMU & KASHMIR,Leh,1,0,0,630,40,0,671
JAMMU & KASHMIR,Poonch,176,128,0,0,0,10,314
JAMMU & KASHMIR,Pulwama,174,0,0,471,0,0,645
JAMMU & KASHMIR,Rajouri,239,296,0,197,0,0,732
JAMMU & KASHMIR,Srinagar,939,0,0,0,0,0,939
JAMMU & KASHMIR,Udhampur,432,253,5,265,61,74,1090
KARNATAKA,BANGALORE RURAL,441,6,1,21,671,6,1146
KARNATAKA,BANGALORE URBAN,2,0,0,11,635,0,648
KARNATAKA,BELGAUM,855,0,0,99,2389,2,3345
KARNATAKA,BELLARY,20,1,0,1,2682,71,2775
KARNATAKA,BIDAR,212,0,0,0,575,1,788
KARNATAKA,BIJAPUR,272,0,2,0,3517,2,3793
KARNATAKA,CHIKKAMAGALORE,22,6,1,50,579,0,658
KARNATAKA,CHITRADURGA,15,0,0,19,5298,7,5339
KARNATAKA,DAKSHINA KANNADA,181,0,2,11,1922,2,2118
KARNATAKA,DHARWAR,162,1,0,351,4998,1,5513
KARNATAKA,GULBARGA,133,3,0,0,2361,5,2502
KARNATAKA,HASSAN,1452,0,0,74,353,3,1882
KARNATAKA,KODAGU,1,0,4,4,18,0,27
KARNATAKA,KOLAR,884,0,1,49,783,0,1717
KARNATAKA,MANDYA,22,0,0,0,53,0,75
KARNATAKA,MYSORE,246,0,0,4,180,10,440
KARNATAKA,RAICHUR,27,0,0,13,1051,10,1101
KARNATAKA,SHIMOGA,482,4,2,80,981,17,1566
KARNATAKA,TUMKUR,416,0,0,8,425,0,849
KARNATAKA,UTTARA KANNADA,315,0,0,3,2198,288,2804
KERALA,ALAPUZHA,2,0,0,19,54,1,76
KERALA,ERANAKULAM,154,1,275,5,17,5,457
KERALA,IDUKKI,199,11,20,4,56,0,290
KERALA,KANNUR,423,0,6,52,105,10,596
KERALA,KASARAGODE,340,1,5,12,40,0,398
KERALA,KOLLAM,454,0,8,0,14,0,476
KERALA,KOTTAYAM,18,0,41,186,38,2,285
KERALA,KOZHIKODE,132,1,52,24,249,3,461
KERALA,MALAPPURAM,452,99,104,20,126,8,809
KERALA,PALAKKAD,289,3,359,727,868,24,2270
KERALA,PATHANAMTHITTA,163,1,8,13,23,24,232
KERALA,THIRUVANANTHAPURAM,1075,0,189,86,1627,0,2977
KERALA,THRISSUR,196,1,187,75,282,10,751
KERALA,WAYANAD,241,0,3,4,54,1,303
MADHYA PRADESH,BALAGHAT,1195,7,346,258,4756,178,6740
MADHYA PRADESH,BASTAR,171,7,39,22,438,15,692
MADHYA PRADESH,BETUL,53,0,0,13,796,0,862
MADHYA PRADESH,BHIND,2,0,0,0,89,0,91
MADHYA PRADESH,BHOPAL,7,0,0,2,38,0,47
MADHYA PRADESH,BILASPUR,1253,2,406,9,3989,21,5680
MADHYA PRADESH,CHHATARPUR,38,1,1,6,538,0,584
MADHYA PRADESH,CHHINDWARA,66,9,6,30,493,1,605
MADHYA PRADESH,DAMOH,330,0,0,2,1061,0,1393
MADHYA PRADESH,DATIA,16,0,0,7,7,0,30
MADHYA PRADESH,DEWAS,10,0,8,1,328,0,347
MADHYA PRADESH,DHAR,275,4,1,21,487,0,788
MADHYA PRADESH,DURG,568,0,10,12,325,3,918
MADHYA PRADESH,GUNA,719,3,20,60,1173,0,1975
MADHYA PRADESH,GWALIOR,15,0,0,0,45,0,60
MADHYA PRADESH,HOSHANGABAD,7,0,0,0,1,0,8
MADHYA PRADESH,INDORE,9,0,4,3,533,0,549
MADHYA PRADESH,JABALPUR,122,1,0,11,149,0,283
MADHYA PRADESH,JHABUA,848,0,0,231,1871,6,2956
MADHYA PRADESH,KHANDWA,117,0,0,0,116,0,233
MADHYA PRADESH,KHARGONE,260,74,1,46,3140,9,3530
MADHYA PRADESH,MANDLA,122,0,8,0,111,0,241
MADHYA PRADESH,MANDSAUR,27,0,1,286,508,0,822
MADHYA PRADESH,MORENA,684,4,4,41,126,313,1172
MADHYA PRADESH,NARSIMHAPUR,68,0,1,10,161,0,240
MADHYA PRADESH,PANNA,66,1,1,3,25,0,96
MADHYA PRADESH,RAIGARH,2204,23,429,44,1410,134,4244
MADHYA PRADESH,RAIPUR,1380,1,179,10,1419,6,2995
MADHYA PRADESH,RAISEN,12,0,0,3,78,0,93
MADHYA PRADESH,RAJGARH,11,0,0,6,58,0,75
MADHYA PRADESH,RAJNANDGAON,182,0,11,18,75,8,294
MADHYA PRADESH,RATLAM,388,12,0,106,549,0,1055
MADHYA PRADESH,REWA,64,0,0,107,345,0,516
MADHYA PRADESH,SAGAR,162,1,0,68,939,69,1239
MADHYA PRADESH,SATNA,42,1,1,37,342,0,423
MADHYA PRADESH,SEHORE,35,0,9,3,30,0,77
MADHYA PRADESH,SEONI,50,0,649,3,105,0,807
MADHYA PRADESH,SHAHDOL,124,0,2,83,433,5,647
MADHYA PRADESH,SHAJAPUR,87,8,13,221,2369,1,2699
MADHYA PRADESH,SHIVPURI,582,0,10,51,267,0,910
MADHYA PRADESH,SIDHI,107,0,1,6,39,2,155
MADHYA PRADESH,SURGUJA,3213,33,0,201,3448,645,7540
MADHYA PRADESH,TIKAMGARH,253,1,0,364,283,0,901
MADHYA PRADESH,UJJAIN,16,1,0,74,409,0,500
MADHYA PRADESH,VIDISHA,2,0,1,0,9,0,12
MAHARASHTRA,,NA,NA,NA,NA,NA,NA,NA
MANIPUR,BISHNUPUR,12,0,0,0,0,0,12
MANIPUR,CHANDEL,9,0,0,0,0,0,9
MANIPUR,CHURACHANDPUR,72,0,0,0,0,0,72
MANIPUR,IMPHAL,26,0,0,0,0,0,26
MANIPUR,SENAPATI,32,0,0,0,0,0,32
MANIPUR,TAMENGLONG,37,0,0,0,0,0,37
MANIPUR,THOUBAL,23,0,0,0,0,0,23
MANIPUR,UKHRUL,29,0,0,0,0,0,29
MEGHALAYA,EAST GARO HILLS,318,1,0,429,257,10,1015
MEGHALAYA,EAST KHASI HILLS,19,0,0,35,2972,1,3027
MEGHALAYA,JAINTIA HILLS,32,1,1,43,2573,2,2652
MEGHALAYA,RI BHOI DISTRICT,7,1,0,0,4246,0,4254
MEGHALAYA,SOUTH GARO HILLS,43,0,0,44,0,0,87
MEGHALAYA,WEST GARO HILLS,139,1,0,233,211,0,584
MEGHALAYA,WEST KHASI HILLS,82,1,0,628,1933,1,2645
MIZORAM,AIZAWL,0,0,0,0,3947,0,3947
MIZORAM,CHHIMTUIPUI,0,0,0,0,194,0,194
MIZORAM,LUNGLEI,1,0,0,0,633,0,634
NAGALAND,KOHIMA,0,0,0,290,2468,0,2758
NAGALAND,MOKOKCHUNG,0,0,0,0,1814,0,1814
NAGALAND,MON,0,0,0,3,782,0,785
NAGALAND,PHEK,0,0,0,138,3910,1,4049
NAGALAND,TUENSANG,0,0,0,36,2402,0,2438
NAGALAND,WOKHA,1,0,0,6,1254,0,1261
NAGALAND,ZUNHEBOTO,0,0,0,1,953,0,954
ORISSA,ANGUL,136,2,30,14,17,12,211
ORISSA,BALASORE,96,0,0,0,6,0,102
ORISSA,BARAGARH,525,2,1026,21,930,3,2507
ORISSA,BHADRAK,28,0,0,34,8,0,70
ORISSA,BOLANGIR,932,0,371,45,429,0,1777
ORISSA,BOUDH,167,0,96,3,117,1,384
ORISSA,CUTTACK,303,0,8,75,940,4,1330
ORISSA,DEOGARH,118,4,102,6,36,25,291
ORISSA,DHENKANAL,327,1,97,291,164,14,894
ORISSA,GAJAPATI,368,2,96,8,38,1,513
ORISSA,GANJAM,2039,11,1411,63,413,54,3991
ORISSA,JAGATSINGHPUR,3,0,0,1,1,0,5
ORISSA,JAJPUR,126,0,0,43,26,0,195
ORISSA,JHARSUGUDA,214,5,24,12,9,0,264
ORISSA,KALAHANDI,722,0,16,8,106,0,852
ORISSA,KENDRAPARA,5,0,0,3,54,0,62
ORISSA,KEONJHAR,458,0,61,20,116,0,655
ORISSA,KHURDA,425,1,69,15,120,0,630
ORISSA,KORAPUT,871,9,41,470,596,0,1987
ORISSA,MALKANGIRI,84,0,1,7,28,0,120
ORISSA,MAYURBHANJ,703,0,30,194,155,4,1086
ORISSA,NAYAGARH,231,1,69,3,34,0,338
ORISSA,NOWRANGPUR,153,0,7,2,29,0,191
ORISSA,NUAPADA,734,1,17,0,150,0,902
ORISSA,PHULBANI,260,0,3,14,26,2,305
ORISSA,PURI,99,0,19,606,251,0,975
ORISSA,RAYAGADA,1385,7,195,206,693,0,2486
ORISSA,SAMBALPUR,346,15,60,10,46,3,480
ORISSA,SONEPUR,120,0,161,1,6,1,289
ORISSA,SUNDARGARH,161,0,17,8,25,0,211
PUNJAB,AMRITSAR,0,1,0,0,12,0,13
PUNJAB,BATHINDA,0,0,0,1,2,0,3
PUNJAB,FARIDKOT,NA,NA,NA,NA,NA,NA,NA
PUNJAB,FATEHGARH SAHIB,0,0,0,0,3,0,3
PUNJAB,FEROZEPUR,NA,NA,NA,NA,NA,NA,NA
PUNJAB,GURDASPUR,1,1,0,0,41,0,43
PUNJAB,HOSHIARPUR,7,0,4,0,132,0,143
PUNJAB,JALANDHAR,NA,NA,NA,NA,NA,NA,NA
PUNJAB,KAPURTHALA,NA,NA,NA,NA,NA,NA,NA
PUNJAB,LUDHIANA,NA,NA,NA,NA,NA,NA,NA
PUNJAB,MANSA,NA,NA,NA,NA,NA,NA,NA
PUNJAB,PATIALA,NA,NA,NA,NA,NA,NA,NA
PUNJAB,ROPAR,0,0,0,0,108,2,110
PUNJAB,SANGRUR,0,0,0,0,79,0,79
RAJASTHAN,AJMER,386,2,74,229,56,2,749
RAJASTHAN,ALWAR,NA,NA,NA,NA,NA,NA,NA
RAJASTHAN,BANSWARA,174,0,20,67,2,1,264
RAJASTHAN,BARAN,58,0,0,9,14,0,81
RAJASTHAN,BARMER,NA,NA,NA,NA,NA,NA,NA
RAJASTHAN,BHARATPUR,4,0,0,0,0,0,4
RAJASTHAN,BHILWARA,224,7,78,208,46,2,565
RAJASTHAN,BIKANER,0,0,0,1,0,0,1
RAJASTHAN,BUNDI,104,0,0,0,1,0,105
RAJASTHAN,CHITTORGARH,53,2,2,7,9,1,74
RAJASTHAN,CHURU,0,0,0,1,0,0,1
RAJASTHAN,DAUSA,16,0,0,9,0,0,25
RAJASTHAN,DHOLPUR,37,0,0,0,0,0,37
RAJASTHAN,DUNGARPUR,104,1,3,7,0,0,115
RAJASTHAN,GANGANAGAR,NA,NA,NA,NA,NA,NA,NA
RAJASTHAN,HANUMANGARH,NA,NA,NA,NA,NA,NA,NA
RAJASTHAN,JAIPUR,32,1,3,1,1,0,38
RAJASTHAN,JAISALMER,NA,NA,NA,NA,NA,NA,NA
RAJASTHAN,JALORE,3,0,0,0,0,0,3
RAJASTHAN,JHALAWAR,50,0,2,1,4,3,60
RAJASTHAN,JHUNJHNU,4,0,0,0,0,0,4
RAJASTHAN,JODHPUR,5,0,0,2,0,0,7
RAJASTHAN,KOTA,56,0,0,1,8,0,65
RAJASTHAN,NAGAUR,8,0,0,0,0,1,9
RAJASTHAN,PALI,71,1,0,1,0,0,73
RAJASTHAN,RAJSAMAND,62,0,8,6,3,4,83
RAJASTHAN,SAWAI-MADHOPUR,63,0,0,10,2,1,76
RAJASTHAN,SIKAR,0,0,0,13,5,0,18
RAJASTHAN,SIROHI,33,0,0,7,2,0,42
RAJASTHAN,TONK,151,1,4,190,75,1,422
RAJASTHAN,UDAIPUR,159,1,2,13,5,1,181
SIKKIM,EAST SIKKIM,334,0,0,14,0,0,348
SIKKIM,NORTH SIKKIM,51,0,0,0,0,0,51
SIKKIM,SOUTH SIKKIM,78,0,1,158,0,2,239
SIKKIM,WEST SIKKIM,152,0,0,63,0,1,216
TAMIL NADU,COIMBATORE,0,0,0,0,298,0,298
TAMIL NADU,CUDDALORE,419,0,36,225,5259,4,5943
TAMIL NADU,DHARMAPURI,1366,34,364,1125,19840,2,22731
TAMIL NADU,DINDIGUL,0,254,328,0,473,7029,8084
TAMIL NADU,ERODE,11,14,40,1991,745,224,3025
TAMIL NADU,KANCHIPURAM,261,3,10,3,481,42,800
TAMIL NADU,KANNIYAKUMARI,2341,0,694,0,8,0,3043
TAMIL NADU,KARUR,0,0,0,0,82,0,82
TAMIL NADU,MADRAS,NA,NA,NA,NA,NA,NA,NA
TAMIL NADU,MADURAI,0,0,0,1,2,0,3
TAMIL NADU,NAGAPATTINAM,0,0,0,0,24,0,24
TAMIL NADU,NAMAKKAL,0,0,0,0,3290,0,3290
TAMIL NADU,PERAMBALUR,329,0,6,0,355,0,690
TAMIL NADU,PUDUKOTTAI,2963,7,1418,12,27,0,4427
TAMIL NADU,RAMNATHAPURAM,839,7,722,0,1,88,1657
TAMIL NADU,SALEM,60,0,0,0,0,0,60
TAMIL NADU,SIVAGANGA,65,0,587,213,5457,1,6323
TAMIL NADU,THANJAVUR,614,0,1,3,9,8,635
TAMIL NADU,THE NILGIRIS,NA,NA,NA,NA,NA,NA,NA
TAMIL NADU,THENI,453,0,1,227,3440,3,4124
TAMIL NADU,THOOTHUGUDI,372,1,88,32,136,0,629
TAMIL NADU,TIRUNELVELI,2233,6,87,50,117,1,2494
TAMIL NADU,TIRUVALLUR,399,0,17,425,0,1,842
TAMIL NADU,TIRUVANNAMALAI,1512,4,54,129,7311,1,9011
TAMIL NADU,TIRUVARUR,68,0,0,0,0,0,68
TAMIL NADU,TRICHIRAPPALLI,178,0,0,48,540,21,787
TAMIL NADU,VELLORE,407,1,80,12,32,1,533
TAMIL NADU,VILLUPURAM,313,3,0,263,3573,2,4154
TAMIL NADU,VIRUDHUNAGAR,507,7,367,3,82,0,966
TRIPURA,DHALAI,17,0,0,2,56,0,75
TRIPURA,NORTH,12,0,10,2,123,0,147
TRIPURA,SOUTH,122,0,5,28,61,7,223
TRIPURA,WEST,119,3,7,20,6,0,155
UTTAR PRADESH,AGRA,1,0,0,0,2,0,3
UTTAR PRADESH,ALIGARH,NA,NA,NA,NA,NA,NA,NA
UTTAR PRADESH,ALLAHABAD,2,0,0,2,77,0,81
UTTAR PRADESH,ALMORA,665,5,1750,940,889,13,4262
UTTAR PRADESH,AMBEDKAR NAGAR,NA,NA,NA,NA,NA,NA,NA
UTTAR PRADESH,AZAMGARH,0,0,0,0,16,0,16
UTTAR PRADESH,BADAUN,NA,NA,NA,NA,NA,NA,NA
UTTAR PRADESH,BAHRAICH,0,0,0,0,5,0,5
UTTAR PRADESH,BALLIA,14,0,2,0,5,0,21
UTTAR PRADESH,BANDA,0,0,0,0,58,0,58
UTTAR PRADESH,BARABANKI,NA,NA,NA,NA,NA,NA,NA
UTTAR PRADESH,BAREILLY,NA,NA,NA,NA,NA,NA,NA
UTTAR PRADESH,BASTI,NA,NA,NA,NA,NA,NA,NA
UTTAR PRADESH,BIJNOR,NA,NA,NA,NA,NA,NA,NA
UTTAR PRADESH,BULANDSHAHR,NA,NA,NA,NA,NA,NA,NA
UTTAR PRADESH,CHAMOLI(GOPESHWAR),104,6,388,949,367,16,1830
UTTAR PRADESH,DEHRADUN,152,4,154,157,180,0,647
UTTAR PRADESH,DEORIA,0,0,0,0,1,0,1
UTTAR PRADESH,ETAH,NA,NA,NA,NA,NA,NA,NA
UTTAR PRADESH,ETAWAH,0,0,0,0,1,0,1
UTTAR PRADESH,FAIZABAD,NA,NA,NA,NA,NA,NA,NA
UTTAR PRADESH,FARUKHABAD,0,0,0,0,16,0,16
UTTAR PRADESH,FATEHPUR,NA,NA,NA,NA,NA,NA,NA
UTTAR PRADESH,FIROZABAD,NA,NA,NA,NA,NA,NA,NA
UTTAR PRADESH,GHAZIABAD,NA,NA,NA,NA,NA,NA,NA
UTTAR PRADESH,GHAZIPUR,0,0,0,1,5,0,6
UTTAR PRADESH,GONDA,0,0,0,0,32,0,32
UTTAR PRADESH,GORAKHPUR,NA,NA,NA,NA,NA,NA,NA
UTTAR PRADESH,HAMIRPUR,NA,NA,NA,NA,NA,NA,NA
UTTAR PRADESH,HARDOI,NA,NA,NA,NA,NA,NA,NA
UTTAR PRADESH,HARDWAR,NA,NA,NA,NA,NA,NA,NA
UTTAR PRADESH,JALAUN,0,0,0,0,67,0,67
UTTAR PRADESH,JAUNPUR,NA,NA,NA,NA,NA,NA,NA
UTTAR PRADESH,JHANSI,0,0,0,2,36,10,48
UTTAR PRADESH,KANPUR DEHAT,1,0,0,0,0,0,1
UTTAR PRADESH,KANPUR NAGAR,NA,NA,NA,NA,NA,NA,NA
UTTAR PRADESH,KHIRI,5,0,0,0,0,0,5
UTTAR PRADESH,KUSHI NAGAR,2,0,0,0,0,1,3
UTTAR PRADESH,LALITPUR,NA,NA,NA,NA,NA,NA,NA
UTTAR PRADESH,LUCKNOW,NA,NA,NA,NA,NA,NA,NA
UTTAR PRADESH,MAHOBA,NA,NA,NA,NA,NA,NA,NA
UTTAR PRADESH,MAHRAJGANJ,1,0,0,0,6,0,7
UTTAR PRADESH,MAINPURI,NA,NA,NA,NA,NA,NA,NA
UTTAR PRADESH,MATHURA,NA,NA,NA,NA,NA,NA,NA
UTTAR PRADESH,MAU,NA,NA,NA,NA,NA,NA,NA
UTTAR PRADESH,MEERUT,NA,NA,NA,NA,NA,NA,NA
UTTAR PRADESH,MIRZAPUR,22,0,2,1,889,0,914
