-----
{
 "description": "The table refers to district wise surface flow schemes according to constraints. It has been sourced from 2nd census of minor irrigation scheme(1993-94) from Ministry of Water Resources.", 
 "file_name": "Statetab4.14.csv", 
 "title": "Download CSV for Districtwise Surface Flow Schemes according to the constraints for 2nd census of Minor Irrigation Schemes (1993-94)", 
 "url": "http://data.gov.in/sites/default/files/Statetab4.14.csv"
}
-----
State,District,Total No. of Schemes in use,No. of Schemes with no constraints,Constraints in utilisation of irrigation potential created - Non-filling of storage,Constraints in utilisation of irrigation potential created - Siltation of storage,Constraints in utilisation of irrigation potential created - Break down of channel,Constraints in utilisation of irrigation potential created - Other reason,Total - Constraints in utilisation of irrigation potential created,Grand Total
BIHAR,KISHANGANJ,NA,NA,NA,NA,NA,NA,NA,NA
BIHAR,KODARMA,285,2,77,35,113,58,283,285
BIHAR,LAKHISARAI,152,0,47,23,7,75,152,152
BIHAR,LOHARDAGA,184,0,56,0,6,122,184,184
BIHAR,MADHEPURA,2,0,0,0,0,2,2,2
BIHAR,MADHUBANI,89,1,12,9,8,59,88,89
BIHAR,MUNGER,464,161,140,0,17,146,303,464
BIHAR,MUZAFFARPUR,2,0,0,0,0,2,2,2
BIHAR,NALANDA,469,0,110,83,37,239,469,469
BIHAR,NAWADA,2554,0,632,267,188,1467,2554,2554
BIHAR,PAKUR,3190,2,984,1230,65,909,3188,3190
BIHAR,PALAMU,8633,2165,4989,431,834,214,6468,8633
BIHAR,PATNA,158,0,37,0,0,121,158,158
BIHAR,PURNIA,50,0,9,0,0,41,50,50
BIHAR,RANCHI,542,22,169,21,35,295,520,542
BIHAR,ROHTAS,657,2,256,130,38,231,655,657
BIHAR,SAHARSA,0,0,0,0,0,0,0,0
BIHAR,SAHEBGANJ,2276,1,527,482,177,1089,2275,2276
BIHAR,SAMASTIPUR,8,0,3,0,0,5,8,8
BIHAR,SARAN,54,0,0,17,0,37,54,54
BIHAR,SHEIKHPURA,434,0,69,95,30,240,434,434
BIHAR,SHEOHAR,8,0,2,0,0,6,8,8
BIHAR,SINGHBHUM EAST,1105,3,202,184,150,566,1102,1105
BIHAR,SINGHBHUM WEST,3236,1,1250,755,383,847,3235,3236
BIHAR,SITAMARHI,14,0,7,1,1,5,14,14
BIHAR,SIWAN,8,0,0,0,1,7,8,8
BIHAR,SUPAUL,2,0,0,0,0,2,2,2
BIHAR,VAISHALI,7,0,0,0,0,7,7,7
GOA,NORTH GOA,2410,0,188,18,28,2176,2410,2410
GOA,SOUTH GOA,700,0,31,15,4,650,700,700
GUJARAT,,NA,NA,NA,NA,NA,NA,NA,NA
HARYANA,AMBALA,399,0,71,0,0,328,399,399
HARYANA,BHIWANI,60,0,12,21,20,7,60,60
HARYANA,FARIDABAD,1,0,0,0,0,1,1,1
HARYANA,GURGAON,16,0,0,0,0,16,16,16
HARYANA,HISAR,NA,NA,NA,NA,NA,NA,NA,NA
HARYANA,JIND,NA,NA,NA,NA,NA,NA,NA,NA
HARYANA,KAITHAL,NA,NA,NA,NA,NA,NA,NA,NA
HARYANA,KARNAL,NA,NA,NA,NA,NA,NA,NA,NA
HARYANA,KURUKSHETRA,21,0,1,0,0,20,21,21
HARYANA,MEHANDERGARH,NA,NA,NA,NA,NA,NA,NA,NA
HARYANA,PANCHKULA,10,0,0,0,0,10,10,10
HARYANA,PANIPAT,NA,NA,NA,NA,NA,NA,NA,NA
HARYANA,RIWARI,NA,NA,NA,NA,NA,NA,NA,NA
HARYANA,ROHTAK,NA,NA,NA,NA,NA,NA,NA,NA
HARYANA,SIRSA,NA,NA,NA,NA,NA,NA,NA,NA
HARYANA,SONIPAT,NA,NA,NA,NA,NA,NA,NA,NA
HARYANA,YAMUNA NAGAR,NA,NA,NA,NA,NA,NA,NA,NA
HIMACHAL PRADESH,Bilaspur,800,794,0,1,1,4,6,800
HIMACHAL PRADESH,Chamba,601,243,0,0,357,1,358,601
HIMACHAL PRADESH,Hamirpur,181,160,2,0,2,17,21,181
HIMACHAL PRADESH,Kangra,2516,1898,9,1,250,358,618,2516
HIMACHAL PRADESH,Kinnaur,434,83,2,1,56,292,351,434
HIMACHAL PRADESH,Kullu,423,310,8,0,0,105,113,423
HIMACHAL PRADESH,Lahul & Spiti,442,350,0,0,62,30,92,442
HIMACHAL PRADESH,Mandi,3635,3259,3,1,43,329,376,3635
HIMACHAL PRADESH,Shimla,1223,655,13,8,192,355,568,1223
HIMACHAL PRADESH,Sirmaur,1882,704,44,2,463,669,1178,1882
HIMACHAL PRADESH,Solan,1762,736,28,3,468,527,1026,1762
HIMACHAL PRADESH,Una,22,21,0,0,0,1,1,22
JAMMU & KASHMIR,Anantnagh,1029,0,0,0,0,0,0,0
JAMMU & KASHMIR,Baramulla,623,0,0,0,0,2,2,2
JAMMU & KASHMIR,Budgam,504,0,0,0,0,0,0,0
JAMMU & KASHMIR,Doda,1216,0,0,0,0,12,12,12
JAMMU & KASHMIR,Jammu,25,0,0,0,0,0,0,0
JAMMU & KASHMIR,Kargil,494,0,0,0,0,0,0,0
JAMMU & KASHMIR,Kathua,466,0,0,0,0,4,4,4
JAMMU & KASHMIR,Kupwara,377,0,0,0,0,1,1,1
JAMMU & KASHMIR,Leh,671,0,0,0,0,0,0,0
JAMMU & KASHMIR,Poonch,314,0,0,0,0,0,0,0
JAMMU & KASHMIR,Pulwama,645,0,0,0,0,0,0,0
JAMMU & KASHMIR,Rajouri,730,0,0,0,0,2,2,2
JAMMU & KASHMIR,Srinagar,934,0,0,0,0,5,5,5
JAMMU & KASHMIR,Udhampur,1085,0,0,0,0,5,5,5
KARNATAKA,BANGALORE RURAL,923,425,271,172,40,15,498,923
KARNATAKA,BANGALORE URBAN,474,387,86,0,0,1,87,474
KARNATAKA,BELGAUM,3287,2284,457,70,89,387,1003,3287
KARNATAKA,BELLARY,2119,1795,206,0,0,118,324,2119
KARNATAKA,BIDAR,737,594,2,6,122,13,143,737
KARNATAKA,BIJAPUR,3347,2119,499,309,236,184,1228,3347
KARNATAKA,CHIKKAMAGALORE,600,461,55,24,23,37,139,600
KARNATAKA,CHITRADURGA,1007,623,301,2,5,76,384,1007
KARNATAKA,DAKSHINA KANNADA,2035,1274,321,44,144,252,761,2035
KARNATAKA,DHARWAR,4140,1552,405,535,981,667,2588,4140
KARNATAKA,GULBARGA,2054,821,394,83,351,405,1233,2054
KARNATAKA,HASSAN,1727,1331,184,97,19,96,396,1727
KARNATAKA,KODAGU,27,10,2,11,3,1,17,27
KARNATAKA,KOLAR,1630,941,333,179,91,86,689,1630
KARNATAKA,MANDYA,68,7,32,2,2,25,61,68
KARNATAKA,MYSORE,404,300,79,9,9,7,104,404
KARNATAKA,RAICHUR,1034,769,110,22,34,99,265,1034
KARNATAKA,SHIMOGA,1454,775,376,183,52,68,679,1454
KARNATAKA,TUMKUR,246,155,46,20,2,23,91,246
KARNATAKA,UTTARA KANNADA,1956,1466,305,117,53,15,490,1956
KERALA,ALAPUZHA,75,0,4,8,3,60,75,75
KERALA,ERANAKULAM,456,0,42,29,70,315,456,456
KERALA,IDUKKI,290,0,51,22,4,213,290,290
KERALA,KANNUR,576,0,163,22,38,353,576,576
KERALA,KASARAGODE,378,0,124,24,19,211,378,378
KERALA,KOLLAM,359,0,16,57,187,99,359,359
KERALA,KOTTAYAM,282,0,18,1,4,259,282,282
KERALA,KOZHIKODE,426,0,53,4,97,272,426,426
KERALA,MALAPPURAM,738,0,103,79,56,500,738,738
KERALA,PALAKKAD,2267,0,339,771,58,1099,2267,2267
KERALA,PATHANAMTHITTA,228,0,16,13,5,194,228,228
KERALA,THIRUVANANTHAPURAM,2972,0,188,118,217,2449,2972,2972
KERALA,THRISSUR,747,0,54,81,5,607,747,747
KERALA,WAYANAD,300,0,90,35,23,152,300,300
MADHYA PRADESH,BALAGHAT,6512,5448,86,12,74,892,1064,6512
MADHYA PRADESH,BASTAR,681,394,24,0,7,256,287,681
MADHYA PRADESH,BETUL,855,0,7,1,681,166,855,855
MADHYA PRADESH,BHIND,91,0,0,0,0,91,91,91
MADHYA PRADESH,BHOPAL,47,0,2,0,11,34,47,47
MADHYA PRADESH,BILASPUR,4765,1525,175,15,3,3047,3240,4765
MADHYA PRADESH,CHHATARPUR,578,0,21,5,264,288,578,578
MADHYA PRADESH,CHHINDWARA,605,481,0,0,21,103,124,605
MADHYA PRADESH,DAMOH,1381,0,58,0,618,705,1381,1381
MADHYA PRADESH,DATIA,30,0,0,0,16,14,30,30
MADHYA PRADESH,DEWAS,347,300,9,0,2,36,47,347
MADHYA PRADESH,DHAR,771,302,24,7,356,82,469,771
MADHYA PRADESH,DURG,821,524,101,4,22,170,297,821
MADHYA PRADESH,GUNA,1975,0,35,0,0,1940,1975,1975
MADHYA PRADESH,GWALIOR,60,0,2,0,0,58,60,60
MADHYA PRADESH,HOSHANGABAD,8,0,0,0,0,8,8,8
MADHYA PRADESH,INDORE,549,413,2,1,2,131,136,549
MADHYA PRADESH,JABALPUR,283,244,0,0,16,23,39,283
MADHYA PRADESH,JHABUA,2881,1137,51,30,132,1531,1744,2881
MADHYA PRADESH,KHANDWA,233,6,6,0,45,176,227,233
MADHYA PRADESH,KHARGONE,3516,1923,453,46,624,470,1593,3516
MADHYA PRADESH,MANDLA,241,143,3,3,3,89,98,241
MADHYA PRADESH,MANDSAUR,800,656,43,0,18,83,144,800
MADHYA PRADESH,MORENA,1172,0,0,0,0,1172,1172,1172
MADHYA PRADESH,NARSIMHAPUR,230,197,3,0,0,30,33,230
MADHYA PRADESH,PANNA,93,0,7,0,15,71,93,93
MADHYA PRADESH,RAIGARH,3990,2212,33,26,31,1688,1778,3990
MADHYA PRADESH,RAIPUR,2550,1983,12,10,39,506,567,2550
MADHYA PRADESH,RAISEN,93,0,0,0,2,91,93,93
MADHYA PRADESH,RAJGARH,75,0,0,0,71,4,75,75
MADHYA PRADESH,RAJNANDGAON,273,146,8,1,3,115,127,273
MADHYA PRADESH,RATLAM,970,697,32,14,68,159,273,970
MADHYA PRADESH,REWA,503,319,1,13,8,162,184,503
MADHYA PRADESH,SAGAR,1239,0,1,0,207,1031,1239,1239
MADHYA PRADESH,SATNA,413,51,2,0,2,358,362,413
MADHYA PRADESH,SEHORE,75,0,6,2,16,51,75,75
MADHYA PRADESH,SEONI,654,518,1,0,18,117,136,654
MADHYA PRADESH,SHAHDOL,642,69,33,0,25,515,573,642
MADHYA PRADESH,SHAJAPUR,2602,2108,6,3,323,162,494,2602
MADHYA PRADESH,SHIVPURI,910,0,0,2,118,790,910,910
MADHYA PRADESH,SIDHI,145,27,10,3,29,76,118,145
MADHYA PRADESH,SURGUJA,7506,3364,6,0,71,4065,4142,7506
MADHYA PRADESH,TIKAMGARH,901,0,4,0,281,616,901,901
MADHYA PRADESH,UJJAIN,500,442,0,0,5,53,58,500
MADHYA PRADESH,VIDISHA,12,0,0,0,0,12,12,12
MAHARASHTRA,,NA,NA,NA,NA,NA,NA,NA,NA
MANIPUR,BISHNUPUR,12,0,0,0,0,12,12,12
MANIPUR,CHANDEL,9,0,0,0,0,9,9,9
MANIPUR,CHURACHANDPUR,72,0,0,0,0,72,72,72
MANIPUR,IMPHAL,26,0,0,0,0,26,26,26
MANIPUR,SENAPATI,32,0,0,0,0,32,32,32
MANIPUR,TAMENGLONG,37,0,0,0,0,37,37,37
MANIPUR,THOUBAL,23,0,0,0,0,23,23,23
MANIPUR,UKHRUL,29,0,0,0,0,29,29,29
MEGHALAYA,EAST GARO HILLS,1012,0,15,2,1,994,1012,1012
MEGHALAYA,EAST KHASI HILLS,2559,0,1419,15,238,887,2559,2559
MEGHALAYA,JAINTIA HILLS,2365,0,597,47,236,1485,2365,2365
MEGHALAYA,RI BHOI DISTRICT,3288,0,1738,5,348,1197,3288,3288
MEGHALAYA,SOUTH GARO HILLS,55,0,9,0,31,15,55,55
MEGHALAYA,WEST GARO HILLS,459,0,258,8,108,85,459,459
MEGHALAYA,WEST KHASI HILLS,2625,0,68,2,600,1955,2625,2625
MIZORAM,AIZAWL,3659,3571,0,0,0,88,88,3659
MIZORAM,CHHIMTUIPUI,188,188,0,0,0,0,0,188
MIZORAM,LUNGLEI,542,541,0,0,0,1,1,542
NAGALAND,KOHIMA,2636,563,4,0,101,1968,2073,2636
NAGALAND,MOKOKCHUNG,1545,669,0,0,134,742,876,1545
NAGALAND,MON,720,1,0,0,63,656,719,720
NAGALAND,PHEK,4037,2747,0,0,111,1179,1290,4037
NAGALAND,TUENSANG,2051,1391,3,1,14,642,660,2051
NAGALAND,WOKHA,1176,6,1,0,256,913,1170,1176
NAGALAND,ZUNHEBOTO,954,0,0,0,5,949,954,954
ORISSA,ANGUL,195,0,11,22,15,147,195,195
ORISSA,BALASORE,87,0,3,5,13,66,87,87
ORISSA,BARAGARH,2359,0,245,416,84,1614,2359,2359
ORISSA,BHADRAK,67,0,4,2,1,60,67,67
ORISSA,BOLANGIR,1679,0,153,508,122,896,1679,1679
ORISSA,BOUDH,347,0,69,88,21,169,347,347
ORISSA,CUTTACK,1317,0,17,33,34,1233,1317,1317
ORISSA,DEOGARH,269,0,15,2,15,237,269,269
ORISSA,DHENKANAL,786,0,85,60,58,583,786,786
ORISSA,GAJAPATI,466,0,28,68,32,338,466,466
ORISSA,GANJAM,3843,0,479,514,294,2556,3843,3843
ORISSA,JAGATSINGHPUR,5,0,0,0,0,5,5,5
ORISSA,JAJPUR,184,0,6,12,30,136,184,184
ORISSA,JHARSUGUDA,261,0,32,3,21,205,261,261
ORISSA,KALAHANDI,656,250,101,70,50,185,406,656
ORISSA,KENDRAPARA,57,0,1,0,0,56,57,57
ORISSA,KEONJHAR,619,250,57,24,76,212,369,619
ORISSA,KHURDA,560,381,23,23,21,112,179,560
ORISSA,KORAPUT,1472,851,65,22,41,493,621,1472
ORISSA,MALKANGIRI,56,23,1,5,5,22,33,56
ORISSA,MAYURBHANJ,995,0,182,74,63,676,995,995
ORISSA,NAYAGARH,237,78,0,22,37,100,159,237
ORISSA,NOWRANGPUR,161,105,2,3,0,51,56,161
ORISSA,NUAPADA,761,107,373,67,56,158,654,761
ORISSA,PHULBANI,250,0,4,3,1,242,250,250
ORISSA,PURI,966,755,70,55,13,73,211,966
ORISSA,RAYAGADA,2241,1289,167,127,106,552,952,2241
ORISSA,SAMBALPUR,454,0,45,55,77,277,454,454
ORISSA,SONEPUR,269,0,5,140,7,117,269,269
ORISSA,SUNDARGARH,188,125,17,4,10,32,63,188
PUNJAB,AMRITSAR,12,0,12,0,0,0,12,12
PUNJAB,BATHINDA,3,0,3,0,0,0,3,3
PUNJAB,FARIDKOT,NA,NA,NA,NA,NA,NA,NA,NA
PUNJAB,FATEHGARH SAHIB,3,0,0,0,0,3,3,3
PUNJAB,FEROZEPUR,NA,NA,NA,NA,NA,NA,NA,NA
PUNJAB,GURDASPUR,43,0,17,0,0,26,43,43
PUNJAB,HOSHIARPUR,140,0,94,18,3,25,140,140
PUNJAB,JALANDHAR,NA,NA,NA,NA,NA,NA,NA,NA
PUNJAB,KAPURTHALA,NA,NA,NA,NA,NA,NA,NA,NA
PUNJAB,LUDHIANA,NA,NA,NA,NA,NA,NA,NA,NA
PUNJAB,MANSA,NA,NA,NA,NA,NA,NA,NA,NA
PUNJAB,PATIALA,NA,NA,NA,NA,NA,NA,NA,NA
PUNJAB,ROPAR,110,0,107,0,0,3,110,110
PUNJAB,SANGRUR,79,0,61,0,0,18,79,79
RAJASTHAN,AJMER,369,179,136,8,37,9,190,369
RAJASTHAN,ALWAR,NA,NA,NA,NA,NA,NA,NA,NA
RAJASTHAN,BANSWARA,211,175,31,3,1,1,36,211
RAJASTHAN,BARAN,78,74,3,0,1,0,4,78
RAJASTHAN,BARMER,NA,NA,NA,NA,NA,NA,NA,NA
RAJASTHAN,BHARATPUR,3,3,0,0,0,0,0,3
RAJASTHAN,BHILWARA,395,394,0,0,0,1,1,395
RAJASTHAN,BIKANER,0,0,0,0,0,0,0,0
RAJASTHAN,BUNDI,102,102,0,0,0,0,0,102
RAJASTHAN,CHITTORGARH,70,70,0,0,0,0,0,70
RAJASTHAN,CHURU,1,1,0,0,0,0,0,1
RAJASTHAN,DAUSA,21,21,0,0,0,0,0,21
RAJASTHAN,DHOLPUR,31,31,0,0,0,0,0,31
RAJASTHAN,DUNGARPUR,109,25,38,11,10,25,84,109
RAJASTHAN,GANGANAGAR,NA,NA,NA,NA,NA,NA,NA,NA
RAJASTHAN,HANUMANGARH,NA,NA,NA,NA,NA,NA,NA,NA
RAJASTHAN,JAIPUR,31,16,12,1,1,1,15,31
RAJASTHAN,JAISALMER,NA,NA,NA,NA,NA,NA,NA,NA
RAJASTHAN,JALORE,3,3,0,0,0,0,0,3
RAJASTHAN,JHALAWAR,54,54,0,0,0,0,0,54
RAJASTHAN,JHUNJHNU,3,1,1,1,0,0,2,3
RAJASTHAN,JODHPUR,7,0,3,0,4,0,7,7
RAJASTHAN,KOTA,64,63,0,0,0,1,1,64
RAJASTHAN,NAGAUR,9,9,0,0,0,0,0,9
RAJASTHAN,PALI,67,65,0,0,0,2,2,67
RAJASTHAN,RAJSAMAND,72,72,0,0,0,0,0,72
RAJASTHAN,SAWAI-MADHOPUR,22,22,0,0,0,0,0,22
RAJASTHAN,SIKAR,18,7,11,0,0,0,11,18
RAJASTHAN,SIROHI,40,21,12,3,3,1,19,40
RAJASTHAN,TONK,216,216,0,0,0,0,0,216
RAJASTHAN,UDAIPUR,174,111,8,2,9,44,63,174
SIKKIM,EAST SIKKIM,333,0,0,9,256,68,333,333
SIKKIM,NORTH SIKKIM,48,0,0,0,48,0,48,48
SIKKIM,SOUTH SIKKIM,211,0,0,0,97,114,211,211
SIKKIM,WEST SIKKIM,174,0,0,0,6,168,174,174
TAMIL NADU,COIMBATORE,214,0,1,0,127,86,214,214
TAMIL NADU,CUDDALORE,5287,0,20,8,60,5199,5287,5287
TAMIL NADU,DHARMAPURI,22487,0,855,5,19429,2198,22487,22487
TAMIL NADU,DINDIGUL,7567,0,10,0,6718,839,7567,7567
TAMIL NADU,ERODE,1329,0,0,0,1,1328,1329,1329
TAMIL NADU,KANCHIPURAM,492,0,22,9,16,445,492,492
TAMIL NADU,KANNIYAKUMARI,3018,0,0,0,0,3018,3018,3018
TAMIL NADU,KARUR,64,50,14,0,0,0,14,64
TAMIL NADU,MADRAS,NA,NA,NA,NA,NA,NA,NA,NA
TAMIL NADU,MADURAI,3,1,1,0,0,1,2,3
TAMIL NADU,NAGAPATTINAM,10,0,9,0,0,1,10,10
TAMIL NADU,NAMAKKAL,3286,0,2,0,0,3284,3286,3286
TAMIL NADU,PERAMBALUR,448,0,220,0,0,228,448,448
TAMIL NADU,PUDUKOTTAI,4302,0,2329,24,172,1777,4302,4302
TAMIL NADU,RAMNATHAPURAM,1587,0,1015,11,72,489,1587,1587
TAMIL NADU,SALEM,60,60,0,0,0,0,0,60
TAMIL NADU,SIVAGANGA,6290,0,30,3,1,6256,6290,6290
TAMIL NADU,THANJAVUR,578,2,122,0,1,453,576,578
TAMIL NADU,THE NILGIRIS,NA,NA,NA,NA,NA,NA,NA,NA
TAMIL NADU,THENI,1776,1,17,183,0,1575,1775,1776
TAMIL NADU,THOOTHUGUDI,573,3,462,9,8,91,570,573
TAMIL NADU,TIRUNELVELI,2391,0,107,3,237,2044,2391,2391
TAMIL NADU,TIRUVALLUR,774,0,62,21,27,664,774,774
TAMIL NADU,TIRUVANNAMALAI,8731,0,63,6,4935,3727,8731,8731
TAMIL NADU,TIRUVARUR,64,0,6,0,2,56,64,64
TAMIL NADU,TRICHIRAPPALLI,381,0,0,0,0,381,381,381
TAMIL NADU,VELLORE,264,86,118,1,2,57,178,264
TAMIL NADU,VILLUPURAM,4036,0,57,845,111,3023,4036,4036
TAMIL NADU,VIRUDHUNAGAR,903,0,199,127,533,44,903,903
TRIPURA,DHALAI,75,65,4,2,2,2,10,75
TRIPURA,NORTH,144,89,6,0,31,18,55,144
TRIPURA,SOUTH,220,73,47,4,85,11,147,220
TRIPURA,WEST,148,31,1,2,100,14,117,148
UTTAR PRADESH,AGRA,3,0,0,0,2,1,3,3
UTTAR PRADESH,ALIGARH,NA,NA,NA,NA,NA,NA,NA,NA
UTTAR PRADESH,ALLAHABAD,80,0,7,0,1,72,80,80
UTTAR PRADESH,ALMORA,3007,0,199,154,510,2144,3007,3007
UTTAR PRADESH,AMBEDKAR NAGAR,NA,NA,NA,NA,NA,NA,NA,NA
UTTAR PRADESH,AZAMGARH,16,0,16,0,0,0,16,16
UTTAR PRADESH,BADAUN,NA,NA,NA,NA,NA,NA,NA,NA
UTTAR PRADESH,BAHRAICH,5,5,0,0,0,0,0,5
UTTAR PRADESH,BALLIA,21,0,3,1,4,13,21,21
UTTAR PRADESH,BANDA,58,0,48,6,3,1,58,58
UTTAR PRADESH,BARABANKI,NA,NA,NA,NA,NA,NA,NA,NA
UTTAR PRADESH,BAREILLY,NA,NA,NA,NA,NA,NA,NA,NA
UTTAR PRADESH,BASTI,NA,NA,NA,NA,NA,NA,NA,NA
UTTAR PRADESH,BIJNOR,NA,NA,NA,NA,NA,NA,NA,NA
UTTAR PRADESH,BULANDSHAHR,NA,NA,NA,NA,NA,NA,NA,NA
