-----
{
 "description": "The table refers to district wise distribution of surface flow schemes according to source of finance. It has been sourced from 2nd census of minor irrigation scheme(1993-94) from Ministry of Water Resources.", 
 "file_name": "Statetab4.7.csv", 
 "title": "Download CSV for Districtwise Distribution of Surface Flow Schemes according to Finance source for 2nd census of Minor Irrigation Schemes (1993-94)", 
 "url": "http://data.gov.in/sites/default/files/Statetab4.7.csv"
}
-----
State,District,Government funds,Farmers saving,Loan & Saving,Subsidy & Bank loan,Subsidy only,Others,Total
ARUNACHAL PRADESH,DIBANG VALLEY,3,35,1,0,1,0,40
ARUNACHAL PRADESH,EAST KAMENG,0,0,0,0,0,3,3
ARUNACHAL PRADESH,EAST SIANG,26,613,14,4,62,68,787
ARUNACHAL PRADESH,LOHIT,1,0,0,0,1,0,2
ARUNACHAL PRADESH,LOWER SUBANSIRI,15,27,3,0,0,0,45
ARUNACHAL PRADESH,PAPUM PARE,14,61,1,0,9,33,118
ARUNACHAL PRADESH,TAWANG,5,15,0,0,0,0,20
ARUNACHAL PRADESH,TIRAP,7,52,1,0,0,0,60
ARUNACHAL PRADESH,UPPER SIANG,40,211,0,0,15,7,273
ARUNACHAL PRADESH,UPPER SUBANSIRI,27,307,18,3,105,45,505
ARUNACHAL PRADESH,WEST KAMENG,2,0,0,0,1,0,3
ARUNACHAL PRADESH,WEST SIANG,1,86,0,0,0,0,87
ASSAM,BARPETA,0,0,0,0,0,0,0
ASSAM,BONGAIGAON,0,1,0,0,0,0,1
ASSAM,CACHAR,0,0,0,0,0,0,0
ASSAM,DARRANG,0,125,33,4,10,0,172
ASSAM,DHEMAJI,0,0,0,0,0,0,0
ASSAM,DHUBRI,0,41,0,0,0,0,41
ASSAM,DIBRUGARH,0,0,0,0,0,0,0
ASSAM,GOALPARA,0,77,0,0,9,0,86
ASSAM,GOLAGHAT,0,0,0,0,0,0,0
ASSAM,HAILAKANDI,NA,NA,NA,NA,NA,NA,NA
ASSAM,JORHAT,0,0,0,0,0,0,0
ASSAM,KAMRUP,0,98,0,0,0,0,98
ASSAM,KARBI ANGLONG,0,50,1,23,742,6,822
ASSAM,KARIMGANJ,0,0,0,0,0,0,0
ASSAM,KOKRAJHAR,0,0,0,0,0,0,0
ASSAM,LAKHIMPUR,0,0,0,0,0,0,0
ASSAM,MARIGAON,2,0,0,0,3,0,5
ASSAM,NAGAON,0,0,0,0,0,0,0
ASSAM,NALBARI,0,71,0,1,4,0,76
ASSAM,NORTH CACHAR HILLS,93,90,0,0,0,4,187
ASSAM,SIBSAGAR,0,0,0,0,0,0,0
ASSAM,SONITPUR,0,9,0,0,0,0,9
ASSAM,TINSUKIA,0,0,0,0,2,0,2
BIHAR,ARARIA,1,0,0,0,7,32,40
BIHAR,AURANGABAD,NA,NA,NA,NA,NA,NA,NA
BIHAR,BANKA,100,57,4,27,14,8,210
BIHAR,BEGUSARAI,0,0,0,0,0,0,0
BIHAR,BHABUA,52,2,7,50,5,3,119
BIHAR,BHAGALPUR,46,19,1,76,28,6,176
BIHAR,BHOJPUR,0,0,0,0,6,5,11
BIHAR,BOKARO,266,429,37,1012,153,0,1897
BIHAR,BUXAR,2,0,0,0,0,0,2
BIHAR,CHAMPARAN EAST,0,18,0,0,0,0,18
BIHAR,CHAMPARAN WEST,11,8,16,5,1,8,49
BIHAR,CHATRA,954,45,17,313,155,4,1488
BIHAR,DARBHANGA,0,41,1,0,0,43,85
BIHAR,DEOGHAR,563,468,18,184,30,46,1309
BIHAR,DHANBAD,247,122,24,177,65,18,653
BIHAR,DUMKA,889,784,182,3460,2421,187,7923
BIHAR,GARHWA,415,134,44,406,806,43,1848
BIHAR,GAYA,544,18,38,298,601,47,1546
BIHAR,GIRIDIH,330,154,8,88,82,23,685
BIHAR,GODDA,188,163,16,200,86,18,671
BIHAR,GOPALGANJ,NA,NA,NA,NA,NA,NA,NA
BIHAR,GUMLA,50,8,0,40,26,16,140
BIHAR,HAZARIBAG,29,2,19,77,7,1,135
BIHAR,JAMUI,145,24,9,710,248,59,1195
BIHAR,JEHANABAD,76,0,1,15,12,29,133
BIHAR,KATIHAR,NA,NA,NA,NA,NA,NA,NA
BIHAR,KHAGARIA,0,0,0,0,2,0,2
BIHAR,KISHANGANJ,NA,NA,NA,NA,NA,NA,NA
BIHAR,KODARMA,14,2,2,32,2,0,52
BIHAR,LAKHISARAI,0,0,0,1,0,2,3
BIHAR,LOHARDAGA,99,0,2,35,0,0,136
BIHAR,MADHEPURA,0,0,0,0,0,0,0
BIHAR,MADHUBANI,66,0,0,0,0,1,67
BIHAR,MUNGER,248,1,0,8,22,25,304
BIHAR,MUZAFFARPUR,0,0,0,0,0,0,0
BIHAR,NALANDA,17,10,2,12,5,3,49
BIHAR,NAWADA,466,46,58,585,139,39,1333
BIHAR,PAKUR,167,600,12,494,925,77,2275
BIHAR,PALAMU,547,21,40,719,1016,34,2377
BIHAR,PATNA,34,0,0,3,0,1,38
BIHAR,PURNIA,50,0,0,0,0,0,50
BIHAR,RANCHI,74,26,17,191,70,6,384
BIHAR,ROHTAS,19,9,2,92,9,4,135
BIHAR,SAHARSA,1,0,0,0,0,0,1
BIHAR,SAHEBGANJ,266,168,20,1024,525,3,2006
BIHAR,SAMASTIPUR,1,0,0,0,0,0,1
BIHAR,SARAN,35,1,0,0,1,1,38
BIHAR,SHEIKHPURA,18,0,0,24,7,45,94
BIHAR,SHEOHAR,2,0,0,1,1,0,4
BIHAR,SINGHBHUM EAST,319,233,19,286,161,14,1032
BIHAR,SINGHBHUM WEST,627,634,86,1017,1007,13,3384
BIHAR,SITAMARHI,5,3,0,1,0,0,9
BIHAR,SIWAN,2,0,1,0,0,0,3
BIHAR,SUPAUL,0,0,1,0,0,0,1
BIHAR,VAISHALI,0,3,0,0,1,0,4
GOA,NORTH GOA,203,1045,63,38,24,1059,2432
GOA,SOUTH GOA,41,356,14,4,3,282,700
GUJARAT,,NA,NA,NA,NA,NA,NA,NA
HARYANA,AMBALA,14,235,148,0,0,1,398
HARYANA,BHIWANI,4,15,41,0,0,0,60
HARYANA,FARIDABAD,0,0,0,0,0,0,0
HARYANA,GURGAON,0,16,0,0,0,0,16
HARYANA,HISAR,NA,NA,NA,NA,NA,NA,NA
HARYANA,JIND,NA,NA,NA,NA,NA,NA,NA
HARYANA,KAITHAL,NA,NA,NA,NA,NA,NA,NA
HARYANA,KARNAL,NA,NA,NA,NA,NA,NA,NA
HARYANA,KURUKSHETRA,0,21,0,0,3,0,24
HARYANA,MEHANDERGARH,NA,NA,NA,NA,NA,NA,NA
HARYANA,PANCHKULA,0,2,0,0,1,7,10
HARYANA,PANIPAT,NA,NA,NA,NA,NA,NA,NA
HARYANA,RIWARI,NA,NA,NA,NA,NA,NA,NA
HARYANA,ROHTAK,NA,NA,NA,NA,NA,NA,NA
HARYANA,SIRSA,NA,NA,NA,NA,NA,NA,NA
HARYANA,SONIPAT,NA,NA,NA,NA,NA,NA,NA
HARYANA,YAMUNA NAGAR,NA,NA,NA,NA,NA,NA,NA
HIMACHAL PRADESH,Bilaspur,26,152,2,1,1,392,574
HIMACHAL PRADESH,Chamba,142,323,15,6,0,13,499
HIMACHAL PRADESH,Hamirpur,9,74,0,1,2,22,108
HIMACHAL PRADESH,Kangra,172,861,6,2,43,689,1773
HIMACHAL PRADESH,Kinnaur,3,153,1,0,66,6,229
HIMACHAL PRADESH,Kullu,129,117,5,0,1,137,389
HIMACHAL PRADESH,Lahul & Spiti,3,433,0,0,0,0,436
HIMACHAL PRADESH,Mandi,73,910,17,7,17,724,1748
HIMACHAL PRADESH,Shimla,42,728,0,3,18,75,866
HIMACHAL PRADESH,Sirmaur,279,544,7,15,48,334,1227
HIMACHAL PRADESH,Solan,49,375,12,70,124,766,1396
HIMACHAL PRADESH,Una,6,5,2,0,1,4,18
JAMMU & KASHMIR,Anantnagh,229,800,0,0,0,0,1029
JAMMU & KASHMIR,Baramulla,119,500,6,0,0,0,625
JAMMU & KASHMIR,Budgam,200,120,0,30,0,154,504
JAMMU & KASHMIR,Doda,428,800,0,0,0,0,1228
JAMMU & KASHMIR,Jammu,25,0,0,0,0,0,25
JAMMU & KASHMIR,Kargil,0,494,0,0,0,0,494
JAMMU & KASHMIR,Kathua,91,379,0,0,0,0,470
JAMMU & KASHMIR,Kupwara,100,270,8,0,0,0,378
JAMMU & KASHMIR,Leh,0,671,0,0,0,0,671
JAMMU & KASHMIR,Poonch,220,94,0,0,0,0,314
JAMMU & KASHMIR,Pulwama,100,300,0,200,45,0,645
JAMMU & KASHMIR,Rajouri,267,465,0,0,0,0,732
JAMMU & KASHMIR,Srinagar,939,0,0,0,0,0,939
JAMMU & KASHMIR,Udhampur,381,709,0,0,0,0,1090
KARNATAKA,BANGALORE RURAL,594,56,37,4,1,13,705
KARNATAKA,BANGALORE URBAN,466,159,0,1,2,18,646
KARNATAKA,BELGAUM,934,1024,506,12,11,3,2490
KARNATAKA,BELLARY,1888,338,27,2,2,498,2755
KARNATAKA,BIDAR,315,154,47,1,28,31,576
KARNATAKA,BIJAPUR,855,1006,1459,55,3,143,3521
KARNATAKA,CHIKKAMAGALORE,117,322,130,28,24,15,636
KARNATAKA,CHITRADURGA,3947,494,271,66,8,538,5324
KARNATAKA,DAKSHINA KANNADA,410,1010,114,4,36,363,1937
KARNATAKA,DHARWAR,3143,674,1134,271,37,92,5351
KARNATAKA,GULBARGA,948,888,192,236,46,59,2369
KARNATAKA,HASSAN,378,25,19,3,1,4,430
KARNATAKA,KODAGU,14,2,10,0,0,0,26
KARNATAKA,KOLAR,658,71,11,4,13,76,833
KARNATAKA,MANDYA,25,26,0,0,1,1,53
KARNATAKA,MYSORE,41,98,34,9,3,9,194
KARNATAKA,RAICHUR,858,115,84,10,0,7,1074
KARNATAKA,SHIMOGA,486,176,167,15,7,233,1084
KARNATAKA,TUMKUR,339,49,9,29,0,7,433
KARNATAKA,UTTARA KANNADA,889,924,152,20,17,487,2489
KERALA,ALAPUZHA,0,6,25,23,15,5,74
KERALA,ERANAKULAM,235,40,1,8,0,19,303
KERALA,IDUKKI,30,13,3,33,12,0,91
KERALA,KANNUR,50,102,9,0,0,12,173
KERALA,KASARAGODE,37,6,14,0,0,1,58
KERALA,KOLLAM,22,0,0,0,0,0,22
KERALA,KOTTAYAM,198,50,8,5,5,1,267
KERALA,KOZHIKODE,195,5,17,102,0,10,329
KERALA,MALAPPURAM,152,102,8,77,1,17,357
KERALA,PALAKKAD,343,1408,33,75,62,60,1981
KERALA,PATHANAMTHITTA,50,4,2,12,0,1,69
KERALA,THIRUVANANTHAPURAM,1539,104,14,3,7,235,1902
KERALA,THRISSUR,311,197,2,14,30,1,555
KERALA,WAYANAD,5,50,1,1,1,4,62
MADHYA PRADESH,BALAGHAT,0,4445,124,109,97,770,5545
MADHYA PRADESH,BASTAR,99,271,48,8,19,76,521
MADHYA PRADESH,BETUL,597,131,29,10,34,8,809
MADHYA PRADESH,BHIND,88,0,0,0,1,0,89
MADHYA PRADESH,BHOPAL,10,4,1,0,0,25,40
MADHYA PRADESH,BILASPUR,1412,2782,27,158,48,0,4427
MADHYA PRADESH,CHHATARPUR,493,7,2,1,1,42,546
MADHYA PRADESH,CHHINDWARA,0,463,27,0,0,49,539
MADHYA PRADESH,DAMOH,669,144,205,37,0,8,1063
MADHYA PRADESH,DATIA,14,0,0,0,0,0,14
MADHYA PRADESH,DEWAS,172,164,0,0,1,0,337
MADHYA PRADESH,DHAR,111,254,3,130,13,2,513
MADHYA PRADESH,DURG,168,69,4,2,60,47,350
MADHYA PRADESH,GUNA,324,671,0,0,100,161,1256
MADHYA PRADESH,GWALIOR,17,23,0,1,2,2,45
MADHYA PRADESH,HOSHANGABAD,1,0,0,0,0,0,1
MADHYA PRADESH,INDORE,326,202,1,0,0,11,540
MADHYA PRADESH,JABALPUR,76,84,0,1,0,0,161
MADHYA PRADESH,JHABUA,193,21,44,7,4,1839,2108
MADHYA PRADESH,KHANDWA,76,39,0,0,0,1,116
MADHYA PRADESH,KHARGONE,2280,824,116,18,31,1,3270
MADHYA PRADESH,MANDLA,15,90,1,13,0,0,119
MADHYA PRADESH,MANDSAUR,376,370,9,30,0,10,795
MADHYA PRADESH,MORENA,21,54,17,34,362,0,488
MADHYA PRADESH,NARSIMHAPUR,58,93,15,6,0,0,172
MADHYA PRADESH,PANNA,18,12,0,0,0,0,30
MADHYA PRADESH,RAIGARH,542,1391,16,64,27,0,2040
MADHYA PRADESH,RAIPUR,1111,421,44,27,12,0,1615
MADHYA PRADESH,RAISEN,44,37,0,0,0,0,81
MADHYA PRADESH,RAJGARH,14,8,4,30,8,0,64
MADHYA PRADESH,RAJNANDGAON,45,22,3,22,12,8,112
MADHYA PRADESH,RATLAM,425,133,39,30,40,0,667
MADHYA PRADESH,REWA,90,354,8,0,0,0,452
MADHYA PRADESH,SAGAR,691,191,7,41,47,100,1077
MADHYA PRADESH,SATNA,227,150,4,0,0,0,381
MADHYA PRADESH,SEHORE,42,0,0,0,0,0,42
MADHYA PRADESH,SEONI,698,56,1,0,0,2,757
MADHYA PRADESH,SHAHDOL,196,244,2,1,11,69,523
MADHYA PRADESH,SHAJAPUR,548,1886,81,75,22,0,2612
MADHYA PRADESH,SHIVPURI,223,28,0,10,52,15,328
MADHYA PRADESH,SIDHI,10,35,3,0,0,0,48
MADHYA PRADESH,SURGUJA,1557,2571,118,10,71,0,4327
MADHYA PRADESH,TIKAMGARH,559,0,2,0,39,48,648
MADHYA PRADESH,UJJAIN,274,198,11,1,0,0,484
MADHYA PRADESH,VIDISHA,2,5,2,0,1,0,10
MAHARASHTRA,,NA,NA,NA,NA,NA,NA,NA
MANIPUR,BISHNUPUR,0,0,0,0,0,0,0
MANIPUR,CHANDEL,0,0,0,0,0,0,0
MANIPUR,CHURACHANDPUR,0,0,0,0,0,0,0
MANIPUR,IMPHAL,0,0,0,0,0,0,0
MANIPUR,SENAPATI,0,0,0,0,0,0,0
MANIPUR,TAMENGLONG,0,0,0,0,0,0,0
MANIPUR,THOUBAL,0,0,0,0,0,0,0
MANIPUR,UKHRUL,0,0,0,0,0,0,0
MEGHALAYA,EAST GARO HILLS,59,527,2,2,31,76,697
MEGHALAYA,EAST KHASI HILLS,206,2400,15,1,320,66,3008
MEGHALAYA,JAINTIA HILLS,145,2017,11,18,273,156,2620
MEGHALAYA,RI BHOI DISTRICT,606,3090,243,4,228,76,4247
MEGHALAYA,SOUTH GARO HILLS,31,0,0,2,11,0,44
MEGHALAYA,WEST GARO HILLS,156,245,3,2,34,5,445
MEGHALAYA,WEST KHASI HILLS,59,2259,6,7,107,125,2563
MIZORAM,AIZAWL,247,3315,0,32,353,0,3947
MIZORAM,CHHIMTUIPUI,0,46,1,0,147,0,194
MIZORAM,LUNGLEI,101,421,0,1,87,23,633
NAGALAND,KOHIMA,0,0,0,1,2303,454,2758
NAGALAND,MOKOKCHUNG,0,1,0,1,1560,252,1814
NAGALAND,MON,0,0,0,1,731,53,785
NAGALAND,PHEK,1,0,4,0,4043,1,4049
NAGALAND,TUENSANG,0,0,0,0,2183,255,2438
NAGALAND,WOKHA,0,0,0,0,1260,0,1260
NAGALAND,ZUNHEBOTO,0,7,0,0,946,1,954
ORISSA,ANGUL,33,11,0,14,7,10,75
ORISSA,BALASORE,3,2,0,0,1,0,6
ORISSA,BARAGARH,1043,654,16,65,204,0,1982
ORISSA,BHADRAK,3,37,2,0,0,0,42
ORISSA,BOLANGIR,400,385,3,6,50,1,845
ORISSA,BOUDH,113,56,7,30,7,4,217
ORISSA,CUTTACK,56,902,2,12,55,0,1027
ORISSA,DEOGARH,83,3,15,17,55,0,173
ORISSA,DHENKANAL,109,338,19,21,15,65,567
ORISSA,GAJAPATI,102,11,13,9,2,8,145
ORISSA,GANJAM,1449,197,62,69,113,62,1952
ORISSA,JAGATSINGHPUR,1,0,0,0,1,0,2
ORISSA,JAJPUR,12,47,0,1,9,0,69
ORISSA,JHARSUGUDA,32,4,1,4,9,0,50
ORISSA,KALAHANDI,91,10,2,15,8,4,130
ORISSA,KENDRAPARA,8,42,2,3,2,0,57
ORISSA,KEONJHAR,83,72,19,7,14,2,197
ORISSA,KHURDA,114,63,7,10,9,2,205
ORISSA,KORAPUT,267,647,55,31,88,28,1116
ORISSA,MALKANGIRI,12,9,7,3,5,0,36
ORISSA,MAYURBHANJ,79,187,39,36,41,1,383
ORISSA,NAYAGARH,57,10,10,14,7,9,107
ORISSA,NOWRANGPUR,20,4,9,1,4,0,38
ORISSA,NUAPADA,113,34,0,21,0,0,168
ORISSA,PHULBANI,17,13,3,3,9,0,45
ORISSA,PURI,410,368,20,49,12,17,876
ORISSA,RAYAGADA,290,719,24,26,12,30,1101
ORISSA,SAMBALPUR,47,12,6,24,45,0,134
ORISSA,SONEPUR,7,0,0,159,3,0,169
ORISSA,SUNDARGARH,25,19,2,2,2,0,50
PUNJAB,AMRITSAR,1,11,1,0,0,0,13
PUNJAB,BATHINDA,2,1,0,0,0,0,3
PUNJAB,FARIDKOT,NA,NA,NA,NA,NA,NA,NA
PUNJAB,FATEHGARH SAHIB,0,3,0,0,0,0,3
PUNJAB,FEROZEPUR,NA,NA,NA,NA,NA,NA,NA
PUNJAB,GURDASPUR,2,40,0,0,0,0,42
PUNJAB,HOSHIARPUR,96,26,7,0,7,0,136
PUNJAB,JALANDHAR,NA,NA,NA,NA,NA,NA,NA
PUNJAB,KAPURTHALA,NA,NA,NA,NA,NA,NA,NA
PUNJAB,LUDHIANA,NA,NA,NA,NA,NA,NA,NA
PUNJAB,MANSA,NA,NA,NA,NA,NA,NA,NA
PUNJAB,PATIALA,NA,NA,NA,NA,NA,NA,NA
PUNJAB,ROPAR,29,81,0,0,0,0,110
PUNJAB,SANGRUR,1,78,0,0,0,0,79
RAJASTHAN,AJMER,122,227,5,2,6,1,363
RAJASTHAN,ALWAR,NA,NA,NA,NA,NA,NA,NA
RAJASTHAN,BANSWARA,55,4,1,0,3,27,90
RAJASTHAN,BARAN,0,23,0,0,0,0,23
RAJASTHAN,BARMER,NA,NA,NA,NA,NA,NA,NA
RAJASTHAN,BHARATPUR,0,0,0,0,0,0,0
RAJASTHAN,BHILWARA,105,194,24,0,1,17,341
RAJASTHAN,BIKANER,1,0,0,0,0,0,1
RAJASTHAN,BUNDI,0,0,0,1,0,0,1
RAJASTHAN,CHITTORGARH,9,4,0,1,2,5,21
RAJASTHAN,CHURU,1,0,0,0,0,0,1
RAJASTHAN,DAUSA,9,0,0,0,0,0,9
RAJASTHAN,DHOLPUR,0,0,0,0,0,0,0
RAJASTHAN,DUNGARPUR,10,1,0,0,0,0,11
RAJASTHAN,GANGANAGAR,NA,NA,NA,NA,NA,NA,NA
RAJASTHAN,HANUMANGARH,NA,NA,NA,NA,NA,NA,NA
RAJASTHAN,JAIPUR,5,0,0,1,0,0,6
RAJASTHAN,JAISALMER,NA,NA,NA,NA,NA,NA,NA
RAJASTHAN,JALORE,0,0,0,0,0,0,0
RAJASTHAN,JHALAWAR,6,0,0,0,1,3,10
RAJASTHAN,JHUNJHNU,0,0,0,0,0,0,0
RAJASTHAN,JODHPUR,0,0,0,0,0,2,2
RAJASTHAN,KOTA,1,8,0,0,0,0,9
RAJASTHAN,NAGAUR,1,0,0,0,0,0,1
RAJASTHAN,PALI,0,2,0,0,0,0,2
RAJASTHAN,RAJSAMAND,15,1,1,0,1,3,21
RAJASTHAN,SAWAI-MADHOPUR,0,12,0,0,0,1,13
RAJASTHAN,SIKAR,0,18,0,0,0,0,18
RAJASTHAN,SIROHI,9,0,0,0,0,0,9
RAJASTHAN,TONK,12,230,2,25,0,2,271
RAJASTHAN,UDAIPUR,8,13,0,0,0,1,22
SIKKIM,EAST SIKKIM,0,0,0,0,0,14,14
SIKKIM,NORTH SIKKIM,0,0,0,0,0,0,0
SIKKIM,SOUTH SIKKIM,0,0,0,0,0,161,161
SIKKIM,WEST SIKKIM,0,0,0,0,0,64,64
TAMIL NADU,COIMBATORE,73,0,7,1,0,217,298
TAMIL NADU,CUDDALORE,3409,587,403,452,434,239,5524
TAMIL NADU,DHARMAPURI,12037,898,5050,471,2909,0,21365
TAMIL NADU,DINDIGUL,7290,209,134,351,100,0,8084
TAMIL NADU,ERODE,945,221,4,30,195,1619,3014
TAMIL NADU,KANCHIPURAM,431,0,75,28,0,5,539
TAMIL NADU,KANNIYAKUMARI,0,0,0,0,0,702,702
TAMIL NADU,KARUR,61,0,10,0,11,0,82
TAMIL NADU,MADRAS,NA,NA,NA,NA,NA,NA,NA
TAMIL NADU,MADURAI,2,0,0,0,0,1,3
TAMIL NADU,NAGAPATTINAM,0,0,0,11,0,13,24
TAMIL NADU,NAMAKKAL,3255,14,19,0,0,2,3290
TAMIL NADU,PERAMBALUR,341,5,3,2,8,2,361
TAMIL NADU,PUDUKOTTAI,1390,8,5,57,3,1,1464
TAMIL NADU,RAMNATHAPURAM,728,0,3,4,2,81,818
TAMIL NADU,SALEM,0,0,0,0,0,0,0
TAMIL NADU,SIVAGANGA,3972,1889,136,39,201,21,6258
TAMIL NADU,THANJAVUR,11,2,1,0,7,0,21
TAMIL NADU,THE NILGIRIS,NA,NA,NA,NA,NA,NA,NA
TAMIL NADU,THENI,1134,1,54,536,19,1927,3671
TAMIL NADU,THOOTHUGUDI,231,8,12,6,0,0,257
TAMIL NADU,TIRUNELVELI,138,11,8,56,47,1,261
TAMIL NADU,TIRUVALLUR,75,1,6,19,5,337,443
TAMIL NADU,TIRUVANNAMALAI,2861,13,3228,9,1386,2,7499
TAMIL NADU,TIRUVARUR,0,0,0,0,0,0,0
TAMIL NADU,TRICHIRAPPALLI,586,2,5,0,0,16,609
TAMIL NADU,VELLORE,100,3,1,4,3,15,126
TAMIL NADU,VILLUPURAM,1717,6,9,1771,330,8,3841
TAMIL NADU,VIRUDHUNAGAR,447,3,6,1,2,0,459
TRIPURA,DHALAI,9,39,0,4,0,6,58
TRIPURA,NORTH,22,96,3,4,8,2,135
TRIPURA,SOUTH,15,43,2,5,29,7,101
TRIPURA,WEST,21,11,0,4,0,0,36
UTTAR PRADESH,AGRA,0,2,0,0,0,0,2
UTTAR PRADESH,ALIGARH,NA,NA,NA,NA,NA,NA,NA
UTTAR PRADESH,ALLAHABAD,10,3,63,3,0,0,79
UTTAR PRADESH,ALMORA,1777,355,70,467,621,307,3597
UTTAR PRADESH,AMBEDKAR NAGAR,NA,NA,NA,NA,NA,NA,NA
UTTAR PRADESH,AZAMGARH,0,0,16,0,0,0,16
UTTAR PRADESH,BADAUN,NA,NA,NA,NA,NA,NA,NA
UTTAR PRADESH,BAHRAICH,2,3,0,0,0,0,5
UTTAR PRADESH,BALLIA,2,1,0,4,0,0,7
UTTAR PRADESH,BANDA,15,11,32,0,0,0,58
UTTAR PRADESH,BARABANKI,NA,NA,NA,NA,NA,NA,NA
UTTAR PRADESH,BAREILLY,NA,NA,NA,NA,NA,NA,NA
UTTAR PRADESH,BASTI,NA,NA,NA,NA,NA,NA,NA
UTTAR PRADESH,BIJNOR,NA,NA,NA,NA,NA,NA,NA
UTTAR PRADESH,BULANDSHAHR,NA,NA,NA,NA,NA,NA,NA
UTTAR PRADESH,CHAMOLI(GOPESHWAR),717,33,58,432,459,27,1726
UTTAR PRADESH,DEHRADUN,247,43,20,59,119,7,495
UTTAR PRADESH,DEORIA,0,1,0,0,0,0,1
UTTAR PRADESH,ETAH,NA,NA,NA,NA,NA,NA,NA
UTTAR PRADESH,ETAWAH,0,1,0,0,0,0,1
UTTAR PRADESH,FAIZABAD,NA,NA,NA,NA,NA,NA,NA
UTTAR PRADESH,FARUKHABAD,0,10,0,6,0,0,16
UTTAR PRADESH,FATEHPUR,NA,NA,NA,NA,NA,NA,NA
UTTAR PRADESH,FIROZABAD,NA,NA,NA,NA,NA,NA,NA
UTTAR PRADESH,GHAZIABAD,NA,NA,NA,NA,NA,NA,NA
UTTAR PRADESH,GHAZIPUR,0,5,1,0,0,0,6
UTTAR PRADESH,GONDA,14,11,7,0,0,0,32
UTTAR PRADESH,GORAKHPUR,NA,NA,NA,NA,NA,NA,NA
UTTAR PRADESH,HAMIRPUR,NA,NA,NA,NA,NA,NA,NA
UTTAR PRADESH,HARDOI,NA,NA,NA,NA,NA,NA,NA
UTTAR PRADESH,HARDWAR,NA,NA,NA,NA,NA,NA,NA
UTTAR PRADESH,JALAUN,12,35,13,6,1,0,67
UTTAR PRADESH,JAUNPUR,NA,NA,NA,NA,NA,NA,NA
UTTAR PRADESH,JHANSI,32,7,0,0,0,9,48
UTTAR PRADESH,KANPUR DEHAT,0,0,0,0,0,0,0
UTTAR PRADESH,KANPUR NAGAR,NA,NA,NA,NA,NA,NA,NA
UTTAR PRADESH,KHIRI,0,0,0,0,0,0,0
UTTAR PRADESH,KUSHI NAGAR,0,0,0,0,0,1,1
UTTAR PRADESH,LALITPUR,NA,NA,NA,NA,NA,NA,NA
UTTAR PRADESH,LUCKNOW,NA,NA,NA,NA,NA,NA,NA
UTTAR PRADESH,MAHOBA,NA,NA,NA,NA,NA,NA,NA
UTTAR PRADESH,MAHRAJGANJ,0,3,0,3,0,0,6
UTTAR PRADESH,MAINPURI,NA,NA,NA,NA,NA,NA,NA
UTTAR PRADESH,MATHURA,NA,NA,NA,NA,NA,NA,NA
UTTAR PRADESH,MAU,NA,NA,NA,NA,NA,NA,NA
UTTAR PRADESH,MEERUT,NA,NA,NA,NA,NA,NA,NA
UTTAR PRADESH,MIRZAPUR,704,69,55,63,1,0,892
UTTAR PRADESH,MORADABAD,NA,NA,NA,NA,NA,NA,NA
