-----
{
 "description": "The table presents data on R&D expenditure by Public or Joint Sector Undertakings for 2005-06. The data is collected and compiled as a part of National Survey on R&D resources by DST, New Delhi, Government of India.", 
"Heavy Industry","Jessop & Co. Ltd.",28.0,0.36
"Heavy Industry","NEPA Ltd.",41.15,0.71
"Heavy Industry","Sambhar Salts Ltd.",1.73,0.22
"Heavy Industry","Scooters India Ltd.",53.43,0.3
"Heavy Industry","Suzuki Motors, Maruti Udyog Ltd.",6514.0,0.44
"Mines","Hindustan Copper Ltd.",132.45,0.29
"Mines","Hindustan Zinc Ltd.",184.0,0.05
"Mines","Mineral Exploration Corporation Ltd.",0.0,0.0
"Mines","National Aluminium Co. Ltd.",375.82,0.07
"Petroleum and Natural Gas","Balmer Lawrie & Company Ltd.",168.91,0.13
"Petroleum and Natural Gas","Bharat Petroleum Corporation Ltd. (Consolidated)",3775.0,0.0
"Petroleum and Natural Gas","Bongaigaon Refinery & Petrochemicals Ltd.",5.28,0.0
"Petroleum and Natural Gas","Chennai Petroleum Corporation Ltd. ",603.54,0.02
"Petroleum and Natural Gas","Engineers India Ltd.",637.37,0.81
"Petroleum and Natural Gas","GAIL (India) Ltd.",84.4,0.0
"Petroleum and Natural Gas","Hindustan Petroleum Corporation Ltd.",395.92,0.01
"Petroleum and Natural Gas","IBP Co. Ltd. (Chemicals)",217.15,0.01
"Petroleum and Natural Gas","IBP Co. Ltd.",68.02,2.41
"Petroleum and Natural Gas","Indian Oil Corporation Ltd.",8986.0,0.0
"Petroleum and Natural Gas","Numaligarh Refinery Ltd.",252.0,0.04
"Petroleum and Natural Gas","Oil & Natural Gas Corporation Ltd.",15056.28,0.3
"Petroleum and Natural Gas","Oil India Ltd.",1258.12,0.21
"Power","National Thermal Power Corporation Ltd.",630.0,0.02
"Scientific & Industrial Research","Central Electronics Ltd.",12.0,0.11
"SSI, Agro & Rural Industries","Prototype Development & Training Centre",26.93,0.13
"Social Justice & Empowerment","Artificial Limbs Manufacturing Corporation Ltd.",42.86,0.71
"Steel","Bharat Refractories Ltd.",29.7,0.17
"Steel","Essar Steels Ltd.",434.55,0.06
"Steel","MECON Ltd.",22.84,0.09
"Steel","National Mineral Development Corporation Ltd.",617.0,0.17
"Steel","Sponge Iron India Ltd.",9.34,0.16
"Steel","Steel Authority of India Ltd. (Consolidated)",6921.06,0.53
"Telecommunications","ITI Ltd. (Consolidated)",3873.0,2.22
"Textiles","National Textile Corporation Ltd. (Consolidated)",49.3,0.36
"Textiles","The Lagan Jute Machinery Co. Ltd.",17.62,0.01
"Andhra Pradesh","Andhra Pradesh Heavy Machinery & Engg. Ltd.",7.0,0.11
"Andhra Pradesh","The Andhra Pradesh Paper Mills Ltd.",93.16,0.21
"Gujarat","Gujarat Alkalies & Chemicals",324.98,0.29
"Gujarat","Gujarat Insecticides Ltd.",28.71,0.27
"Gujarat","Gujarat Narmada Valley",128.12,0.06
"Gujarat","Gujarat State Fertilizers & Chemicals Ltd.",721.6,0.24
"Haryana","Haryana Leather Chemicals Ltd.",44.0,2.43
"Haryana","Haryana State Electronics Dev. Corp. Ltd.",190.0,12.39
"Karnataka","Karnataka Soaps & Detergents Ltd.",13.75,0.12
"Karnataka","The Hutti Gold Mines Company Ltd.",58.53,0.28
"Kerala","Keltron Component Complex Ltd.",1.33,0.05
"Kerala","Kerala Electrical and Allied Engg. Co. Ltd.",3.87,0.06
"Kerala","Kerala Minerals & Metals Ltd.",255.0,0.9
"Kerala","Kerala State Drugs & Pharmaceutical Ltd.",3.44,11.26
"Kerala","Kerala State Electricity Board",137.97,0.04
"Kerala","Travancore Titanium Products Ltd.",164.09,1.18
"Maharashtra","Haffkine Bio-Pharmaceutical Corpn. Ltd.",2.03,0.05
"Maharashtra","Maharashtra State Seed Corporation Ltd.",120.0,0.0
"Punjab","Punjab Chemicals & Crop Protection Ltd.",124.02,0.69
"Punjab","Punjab Tractors Ltd.",768.5,0.79
"Rajasthan","Rajasthan State Mines & Minerals Ltd.",31.7,0.06
"Tamil Nadu","Tamil Nadu Co-operative Sugar Federation Ltd.",44.56,68.55
"Tamil Nadu","Tamil Nadu Electricity Board",195.0,0.01
"Tamil Nadu","Tamil Nadu Newsprint & Papers Ltd.",89.03,0.11
"Tamil Nadu","Tamil Nadu Petroproducts Ltd.",31.33,0.03
"Uttar Pradesh","Pradeshik Co-operative Dairy Federation Ltd.",45.78,1.12
"West Bengal","Webel Mediatronics Ltd.",19.13,0.75
"West Bengal","Webfil Ltd.",22.88,1.35
"Total","Total",130425.71,0.3
