-----
{
 "description": "The table refers to district wise distribution of dugwells according to average length of water conveyance channel. It has been sourced from 2nd census of Minor Irrigation Scheme (1993-94) from Ministry of Water Resources.", 
 "file_name": "Statedgwltab1.12.csv", 
 "title": "Download CSV for District wise Dugwells Average length of water conveyance channel for 2nd census of minor irrigation schemes (1993-94)", 
 "url": "http://data.gov.in/sites/default/files/Statedgwltab1.12.csv"
}
-----
"State","District","Total Number of Schemes","Average length of channels - Pucca","Average length of channels - Kuccha","Average length of channels - Underground"
"ARUNACHAL PRADESH","UPPER SIANG",NA,NA,NA,NA
"ARUNACHAL PRADESH","UPPER SUBANSIRI",NA,NA,NA,NA
"ARUNACHAL PRADESH","WEST KAMENG",NA,NA,NA,NA
"ARUNACHAL PRADESH","WEST SIANG",NA,NA,NA,NA
"ASSAM","BARPETA",NA,NA,NA,NA
"ASSAM","BONGAIGAON",NA,NA,NA,NA
"ASSAM","CACHAR",NA,NA,NA,NA
"ASSAM","DARRANG",NA,NA,NA,NA
"ASSAM","DHEMAJI",NA,NA,NA,NA
"ASSAM","DHUBRI",20,0,86,0
"ASSAM","DIBRUGARH",NA,NA,NA,NA
"ASSAM","GOALPARA",1,100,20,10
"ASSAM","GOLAGHAT",NA,NA,NA,NA
"ASSAM","HAILAKANDI",NA,NA,NA,NA
"ASSAM","JORHAT",NA,NA,NA,NA
"ASSAM","KAMRUP",NA,NA,NA,NA
"ASSAM","KARBI ANGLONG",NA,NA,NA,NA
"ASSAM","KARIMGANJ",NA,NA,NA,NA
"ASSAM","KOKRAJHAR",NA,NA,NA,NA
"ASSAM","LAKHIMPUR",4,0,172,0
"ASSAM","MARIGAON",2,0,27,0
"ASSAM","NAGAON",NA,NA,NA,NA
"ASSAM","NALBARI",NA,NA,NA,NA
"ASSAM","NORTH CACHAR HILLS",NA,NA,NA,NA
"ASSAM","SIBSAGAR",2,0,265,0
"ASSAM","SONITPUR",9,0,51,0
"ASSAM","TINSUKIA",NA,NA,NA,NA
"BIHAR","ARARIA",5,0,76,0
"BIHAR","AURANGABAD",9056,0,64,0
"BIHAR","BANKA",6705,1,39,0
"BIHAR","BEGUSARAI",38,0,92,0
"BIHAR","BHABUA",6931,1,46,1
"BIHAR","BHAGALPUR",4064,1,65,0
"BIHAR","BHOJPUR",3762,2,37,1
"BIHAR","BOKARO",7913,1,29,0
"BIHAR","BUXAR",2113,1,40,0
"BIHAR","CHAMPARAN EAST",30,0,110,0
"BIHAR","CHAMPARAN WEST",12,50,134,0
"BIHAR","CHATRA",12200,0,38,0
"BIHAR","DARBHANGA",20,0,70,133
"BIHAR","DEOGHAR",8445,0,43,0
"BIHAR","DHANBAD",2589,0,38,0
"BIHAR","DUMKA",29467,2,31,2
"BIHAR","GARHWA",13364,6,48,5
"BIHAR","GAYA",18867,1,74,0
"BIHAR","GIRIDIH",22366,0,31,0
"BIHAR","GODDA",7305,0,48,0
"BIHAR","GOPALGANJ",2101,0,56,0
"BIHAR","GUMLA",32346,0,28,0
"BIHAR","HAZARIBAG",31880,4,32,0
"BIHAR","JAMUI",5847,1,37,3
"BIHAR","JEHANABAD",3347,0,102,0
"BIHAR","KATIHAR",2,0,130,0
"BIHAR","KHAGARIA",6,0,108,0
"BIHAR","KISHANGANJ",1,50,20,0
"BIHAR","KODARMA",9753,0,32,1
"BIHAR","LAKHISARAI",609,0,74,4
"BIHAR","LOHARDAGA",15612,0,30,0
"BIHAR","MADHEPURA",2,0,0,0
"BIHAR","MADHUBANI",59,2,76,0
"BIHAR","MUNGER",2128,1,55,0
"BIHAR","MUZAFFARPUR",1460,0,62,0
"BIHAR","NALANDA",22455,1,64,2
"BIHAR","NAWADA",5887,1,44,0
"BIHAR","PAKUR",882,0,49,0
"BIHAR","PALAMU",22785,0,40,0
"BIHAR","PATNA",7058,4,90,1
"BIHAR","PURNIA",3,0,15,0
"BIHAR","RANCHI",39371,1,31,0
"BIHAR","ROHTAS",7085,0,37,0
"BIHAR","SAHARSA",NA,NA,NA,NA
"BIHAR","SAHEBGANJ",2104,0,33,0
"BIHAR","SAMASTIPUR",23,0,191,0
"BIHAR","SARAN",2882,0,306,216
"BIHAR","SHEIKHPURA",544,0,47,0
"BIHAR","SHEOHAR",NA,NA,NA,NA
"BIHAR","SINGHBHUM EAST",2349,0,33,0
"BIHAR","SINGHBHUM WEST",4762,0,20,0
"BIHAR","SITAMARHI",10,0,44,0
"BIHAR","SIWAN",11011,0,55,0
"BIHAR","SUPAUL",NA,NA,NA,NA
"BIHAR","VAISHALI",1582,0,77,8
"GOA","NORTH GOA",2853,16,63,31
"GOA","SOUTH GOA",1122,30,73,53
"GUJARAT","",NA,NA,NA,NA
"HARYANA","AMBALA",1731,7,185,0
"HARYANA","BHIWANI",4512,35,14,14
"HARYANA","FARIDABAD",NA,NA,NA,NA
"HARYANA","GURGAON",4106,3,180,16
"HARYANA","HISAR",155,1,202,2
"HARYANA","JIND",NA,NA,NA,NA
"HARYANA","KAITHAL",4792,10,117,4
"HARYANA","KARNAL",2111,54,169,1
"HARYANA","KURUKSHETRA",NA,NA,NA,NA
"HARYANA","MEHANDERGARH",2347,79,5,8
"HARYANA","PANCHKULA",46,4,8,24
"HARYANA","PANIPAT",443,66,79,0
"HARYANA","RIWARI",1382,129,61,21
"HARYANA","ROHTAK",1506,2,76,9
"HARYANA","SIRSA",1930,13,173,5
"HARYANA","SONIPAT",124,0,358,3
"HARYANA","YAMUNA NAGAR",1255,8,148,3
"HIMACHAL PRADESH","Bilaspur",45,15,43,111
"HIMACHAL PRADESH","Chamba",NA,NA,NA,NA
"HIMACHAL PRADESH","Hamirpur",122,16,75,0
"HIMACHAL PRADESH","Kangra",297,22,55,5
"HIMACHAL PRADESH","Kinnaur",NA,NA,NA,NA
"HIMACHAL PRADESH","Kullu",13,0,43,0
"HIMACHAL PRADESH","Lahul & Spiti",NA,NA,NA,NA
"HIMACHAL PRADESH","Mandi",25,11,52,6
"HIMACHAL PRADESH","Shimla",NA,NA,NA,NA
"HIMACHAL PRADESH","Sirmaur",168,9,108,37
"HIMACHAL PRADESH","Solan",596,4,82,2
"HIMACHAL PRADESH","Una",456,6,157,2
"JAMMU & KASHMIR","Anantnagh",NA,NA,NA,NA
"JAMMU & KASHMIR","Baramulla",183,67,116,0
"JAMMU & KASHMIR","Budgam",97,27,70,0
"JAMMU & KASHMIR","Doda",NA,NA,NA,NA
"JAMMU & KASHMIR","Jammu",101,8,12,0
"JAMMU & KASHMIR","Kargil",NA,NA,NA,NA
"JAMMU & KASHMIR","Kathua",275,45,93,0
"JAMMU & KASHMIR","Kupwara",NA,NA,NA,NA
"JAMMU & KASHMIR","Leh",NA,NA,NA,NA
"JAMMU & KASHMIR","Poonch",NA,NA,NA,NA
"JAMMU & KASHMIR","Pulwama",68,22,46,0
"JAMMU & KASHMIR","Rajouri",5,1,2,0
"JAMMU & KASHMIR","Srinagar",687,235,452,0
"JAMMU & KASHMIR","Udhampur",9,2,7,0
"KARNATAKA","BANGALORE RURAL",11770,15,36,8
"KARNATAKA","BANGALORE URBAN",2455,13,34,7
"KARNATAKA","BELGAUM",54590,21,69,39
"KARNATAKA","BELLARY",4578,17,26,13
"KARNATAKA","BIDAR",16857,8,50,11
"KARNATAKA","BIJAPUR",38024,27,57,24
"KARNATAKA","CHIKKAMAGALORE",2586,9,46,16
"KARNATAKA","CHITRADURGA",11243,19,51,14
"KARNATAKA","DAKSHINA KANNADA",30844,40,34,6
"KARNATAKA","DHARWAR",6094,7,56,21
"KARNATAKA","GULBARGA",20321,31,71,3
"KARNATAKA","HASSAN",2664,24,59,24
"KARNATAKA","KODAGU",176,17,24,3
"KARNATAKA","KOLAR",26574,8,39,8
"KARNATAKA","MANDYA",9185,19,55,10
"KARNATAKA","MYSORE",15702,16,51,16
"KARNATAKA","RAICHUR",17190,20,63,22
"KARNATAKA","SHIMOGA",5769,21,59,13
"KARNATAKA","TUMKUR",30831,10,36,10
"KARNATAKA","UTTARA KANNADA",14406,36,38,7
"KERALA","ALAPUZHA",3014,0,16,1
"KERALA","ERANAKULAM",14662,3,75,4
"KERALA","IDUKKI",4582,2,14,0
"KERALA","KANNUR",11659,0,30,34
"KERALA","KASARAGODE",4578,11,61,38
"KERALA","KOLLAM",2399,1,2,90
"KERALA","KOTTAYAM",8635,2,7,11
"KERALA","KOZHIKODE",9509,0,17,28
"KERALA","MALAPPURAM",9579,4,80,4
"KERALA","PALAKKAD",5797,4,47,11
"KERALA","PATHANAMTHITTA",4828,0,2,5
"KERALA","THIRUVANANTHAPURAM",8162,7,11,45
"KERALA","THRISSUR",38745,4,148,22
"KERALA","WAYANAD",546,36,116,34
"MADHYA PRADESH","BALAGHAT",8305,0,16,0
"MADHYA PRADESH","BASTAR",6439,1,20,0
"MADHYA PRADESH","BETUL",44300,0,34,5
"MADHYA PRADESH","BHIND",10922,0,122,3
"MADHYA PRADESH","BHOPAL",7069,1,36,23
"MADHYA PRADESH","BILASPUR",10311,1,15,0
"MADHYA PRADESH","CHHATARPUR",41226,0,50,8
"MADHYA PRADESH","CHHINDWARA",30962,0,43,17
"MADHYA PRADESH","DAMOH",9936,3,41,46
"MADHYA PRADESH","DATIA",13794,0,59,1
"MADHYA PRADESH","DEWAS",30210,2,28,11
"MADHYA PRADESH","DHAR",42154,0,38,16
"MADHYA PRADESH","DURG",8505,2,22,1
"MADHYA PRADESH","GUNA",17373,0,31,15
"MADHYA PRADESH","GWALIOR",14926,1,57,1
"MADHYA PRADESH","HOSHANGABAD",23432,2,48,13
"MADHYA PRADESH","INDORE",15347,0,53,36
"MADHYA PRADESH","JABALPUR",10807,30,36,44
"MADHYA PRADESH","JHABUA",15304,2,31,6
"MADHYA PRADESH","KHANDWA",54452,1,73,19
"MADHYA PRADESH","KHARGONE",67305,0,45,9
"MADHYA PRADESH","MANDLA",2037,0,29,3
"MADHYA PRADESH","MANDSAUR",123537,1,28,7
"MADHYA PRADESH","MORENA",18352,0,87,1
"MADHYA PRADESH","NARSIMHAPUR",18584,0,19,135
"MADHYA PRADESH","PANNA",5035,3,74,16
"MADHYA PRADESH","RAIGARH",12085,0,11,0
"MADHYA PRADESH","RAIPUR",32561,1,13,1
"MADHYA PRADESH","RAISEN",7600,1,13,118
"MADHYA PRADESH","RAJGARH",52770,3,88,10
"MADHYA PRADESH","RAJNANDGAON",6113,1,20,1
"MADHYA PRADESH","RATLAM",46572,1,51,12
"MADHYA PRADESH","REWA",10681,0,77,1
"MADHYA PRADESH","SAGAR",27800,2,13,68
"MADHYA PRADESH","SATNA",13561,1,79,3
"MADHYA PRADESH","SEHORE",27032,2,41,47
"MADHYA PRADESH","SEONI",11494,0,17,3
"MADHYA PRADESH","SHAHDOL",5550,1,50,8
"MADHYA PRADESH","SHAJAPUR",42915,1,45,65
"MADHYA PRADESH","SHIVPURI",45192,1,45,1
"MADHYA PRADESH","SIDHI",8174,0,59,2
"MADHYA PRADESH","SURGUJA",39434,0,10,0
"MADHYA PRADESH","TIKAMGARH",43618,0,25,0
"MADHYA PRADESH","UJJAIN",32597,2,20,34
"MADHYA PRADESH","VIDISHA",10066,0,23,98
"MAHARASHTRA","",NA,NA,NA,NA
"MANIPUR","BISHNUPUR",NA,NA,NA,NA
"MANIPUR","CHANDEL",NA,NA,NA,NA
"MANIPUR","CHURACHANDPUR",NA,NA,NA,NA
"MANIPUR","IMPHAL",NA,NA,NA,NA
"MANIPUR","SENAPATI",NA,NA,NA,NA
"MANIPUR","TAMENGLONG",NA,NA,NA,NA
"MANIPUR","THOUBAL",NA,NA,NA,NA
"MANIPUR","UKHRUL",NA,NA,NA,NA
"MEGHALAYA","EAST GARO HILLS",NA,NA,NA,NA
"MEGHALAYA","EAST KHASI HILLS",NA,NA,NA,NA
"MEGHALAYA","JAINTIA HILLS",NA,NA,NA,NA
"MEGHALAYA","RI BHOI DISTRICT",NA,NA,NA,NA
"MEGHALAYA","SOUTH GARO HILLS",2,0,5,0
"MEGHALAYA","WEST GARO HILLS",NA,NA,NA,NA
"MEGHALAYA","WEST KHASI HILLS",NA,NA,NA,NA
"MIZORAM","AIZAWL",283,43,146,0
"MIZORAM","CHHIMTUIPUI",31,0,35,0
"MIZORAM","LUNGLEI",176,82,30,0
"NAGALAND","KOHIMA",520,5,3,0
"NAGALAND","MOKOKCHUNG",10,9,0,0
"NAGALAND","MON",NA,NA,NA,NA
"NAGALAND","PHEK",NA,NA,NA,NA
"NAGALAND","TUENSANG",NA,NA,NA,NA
"NAGALAND","WOKHA",NA,NA,NA,NA
"NAGALAND","ZUNHEBOTO",NA,NA,NA,NA
"ORISSA","ANGUL",18629,1,13,0
"ORISSA","BALASORE",2638,0,11,0
"ORISSA","BARAGARH",14992,0,33,0
"ORISSA","BHADRAK",431,1,15,0
"ORISSA","BOLANGIR",53174,0,7,0
"ORISSA","BOUDH",10355,0,15,0
"ORISSA","CUTTACK",10997,0,24,0
"ORISSA","DEOGARH",6316,0,24,0
"ORISSA","DHENKANAL",9490,0,11,0
"ORISSA","GAJAPATI",4117,0,8,0
"ORISSA","GANJAM",30420,0,8,0
"ORISSA","JAGATSINGHPUR",792,0,18,0
"ORISSA","JAJPUR",2463,0,19,0
"ORISSA","JHARSUGUDA",6076,0,24,0
"ORISSA","KALAHANDI",14290,0,8,0
"ORISSA","KENDRAPARA",289,0,17,0
"ORISSA","KEONJHAR",17361,0,3,0
"ORISSA","KHURDA",13569,0,9,0
"ORISSA","KORAPUT",5778,0,5,0
"ORISSA","MALKANGIRI",1349,0,7,0
"ORISSA","MAYURBHANJ",10405,0,6,0
"ORISSA","NAYAGARH",14255,0,8,0
"ORISSA","NOWRANGPUR",9323,0,13,0
"ORISSA","NUAPADA",13660,0,0,0
"ORISSA","PHULBANI",5929,2,17,2
"ORISSA","PURI",1022,0,12,0
"ORISSA","RAYAGADA",2008,0,6,0
"ORISSA","SAMBALPUR",13278,1,20,0
"ORISSA","SONEPUR",11058,0,13,0
"ORISSA","SUNDARGARH",18633,0,19,1
"PUNJAB","AMRITSAR",1434,7,311,8
"PUNJAB","BATHINDA",366,32,217,18
"PUNJAB","FARIDKOT",506,12,279,9
"PUNJAB","FATEHGARH SAHIB",125,1,326,0
"PUNJAB","FEROZEPUR",344,0,149,0
"PUNJAB","GURDASPUR",656,16,245,29
"PUNJAB","HOSHIARPUR",704,6,197,12
"PUNJAB","JALANDHAR",1466,0,335,4
"PUNJAB","KAPURTHALA",786,2,192,1
"PUNJAB","LUDHIANA",707,3,204,4
"PUNJAB","MANSA",565,36,348,4
"PUNJAB","PATIALA",149,0,171,2
"PUNJAB","ROPAR",2334,1,252,10
"PUNJAB","SANGRUR",1529,2,265,3
"RAJASTHAN","AJMER",48975,2,68,7
"RAJASTHAN","ALWAR",65611,1,156,2
"RAJASTHAN","BANSWARA",12144,0,35,1
"RAJASTHAN","BARAN",23884,7,47,11
"RAJASTHAN","BARMER",13434,14,323,24
"RAJASTHAN","BHARATPUR",12485,1,22,0
"RAJASTHAN","BHILWARA",99469,2,81,4
"RAJASTHAN","BIKANER",221,55,1,22
"RAJASTHAN","BUNDI",22146,2,61,2
"RAJASTHAN","CHITTORGARH",79833,3,50,3
"RAJASTHAN","CHURU",1854,70,8,10
"RAJASTHAN","DAUSA",36440,2,128,6
"RAJASTHAN","DHOLPUR",16215,1,130,1
"RAJASTHAN","DUNGARPUR",15981,2,63,5
"RAJASTHAN","GANGANAGAR",NA,NA,NA,NA
"RAJASTHAN","HANUMANGARH",1089,5,152,1
"RAJASTHAN","JAIPUR",109653,2,92,13
"RAJASTHAN","JAISALMER",212,19,222,45
"RAJASTHAN","JALORE",43214,11,192,12
"RAJASTHAN","JHALAWAR",57921,2,52,3
"RAJASTHAN","JHUNJHNU",27619,51,48,13
"RAJASTHAN","JODHPUR",10509,22,313,48
"RAJASTHAN","KOTA",15465,1,31,1
"RAJASTHAN","NAGAUR",25836,7,172,14
"RAJASTHAN","PALI",42179,2,118,7
"RAJASTHAN","RAJSAMAND",49114,1,64,3
"RAJASTHAN","SAWAI-MADHOPUR",48725,5,103,3
"RAJASTHAN","SIKAR",45925,12,40,16
"RAJASTHAN","SIROHI",15596,5,179,7
"RAJASTHAN","TONK",42539,5,68,4
"RAJASTHAN","UDAIPUR",58789,10,90,9
"SIKKIM","EAST SIKKIM",NA,NA,NA,NA
"SIKKIM","NORTH SIKKIM",NA,NA,NA,NA
"SIKKIM","SOUTH SIKKIM",NA,NA,NA,NA
"SIKKIM","WEST SIKKIM",NA,NA,NA,NA
"TAMIL NADU","COIMBATORE",85239,12,31,12
"TAMIL NADU","CUDDALORE",11275,17,43,2
"TAMIL NADU","DHARMAPURI",97870,3,33,3
"TAMIL NADU","DINDIGUL",69655,15,24,2
"TAMIL NADU","ERODE",100825,16,29,8
"TAMIL NADU","KANCHIPURAM",44220,3,44,2
"TAMIL NADU","KANNIYAKUMARI",2370,35,17,9
"TAMIL NADU","KARUR",34274,5,26,4
"TAMIL NADU","MADRAS",NA,NA,NA,NA
"TAMIL NADU","MADURAI",38574,16,20,1
"TAMIL NADU","NAGAPATTINAM",8602,9,11,1
"TAMIL NADU","NAMAKKAL",40694,22,14,1
"TAMIL NADU","PERAMBALUR",45392,11,18,2
"TAMIL NADU","PUDUKOTTAI",33750,7,44,1
"TAMIL NADU","RAMNATHAPURAM",6004,15,52,4
"TAMIL NADU","SALEM",61261,17,15,1
"TAMIL NADU","SIVAGANGA",11218,23,32,0
"TAMIL NADU","THANJAVUR",5236,27,26,0
"TAMIL NADU","THE NILGIRIS",256,0,0,0
"TAMIL NADU","THENI",18846,18,29,5
"TAMIL NADU","THOOTHUGUDI",21594,16,27,5
"TAMIL NADU","TIRUNELVELI",68592,19,7,1
"TAMIL NADU","TIRUVALLUR",23316,6,72,7
"TAMIL NADU","TIRUVANNAMALAI",144132,5,25,2
"TAMIL NADU","TIRUVARUR",69,44,3,0
"TAMIL NADU","TRICHIRAPPALLI",64192,8,20,2
"TAMIL NADU","VELLORE",96491,10,43,2
"TAMIL NADU","VILLUPURAM",135136,20,28,3
"TAMIL NADU","VIRUDHUNAGAR",40705,28,30,1
"TRIPURA","DHALAI",116,7,38,0
"TRIPURA","NORTH",33,0,157,0
"TRIPURA","SOUTH",655,0,45,52
"TRIPURA","WEST",1,0,18,0
"UTTAR PRADESH","AGRA",5910,0,66,0
"UTTAR PRADESH","ALIGARH",269,10,115,2
"UTTAR PRADESH","ALLAHABAD",3390,6,117,1
"UTTAR PRADESH","ALMORA",NA,NA,NA,NA
"UTTAR PRADESH","AMBEDKAR NAGAR",NA,NA,NA,NA
"UTTAR PRADESH","AZAMGARH",121,26,130,0
"UTTAR PRADESH","BADAUN",NA,NA,NA,NA
"UTTAR PRADESH","BAHRAICH",660,0,13,0
"UTTAR PRADESH","BALLIA",497,6,79,0
"UTTAR PRADESH","BANDA",6548,4,90,0
"UTTAR PRADESH","BARABANKI",1747,0,55,0
"UTTAR PRADESH","BAREILLY",NA,NA,NA,NA
"UTTAR PRADESH","BASTI",1115,2,32,0
"UTTAR PRADESH","BIJNOR",279,4,168,9
"UTTAR PRADESH","BULANDSHAHR",98,76,251,0
"UTTAR PRADESH","CHAMOLI(GOPESHWAR)",NA,NA,NA,NA
"UTTAR PRADESH","DEHRADUN",35,42,194,15
"UTTAR PRADESH","DEORIA",3358,0,27,0
"UTTAR PRADESH","ETAH",1820,5,78,1
"UTTAR PRADESH","ETAWAH",614,1,109,0
"UTTAR PRADESH","FAIZABAD",NA,NA,NA,NA
"UTTAR PRADESH","FARUKHABAD",57,50,228,1
"UTTAR PRADESH","FATEHPUR",1555,1,98,0
"UTTAR PRADESH","FIROZABAD",1431,6,163,1
"UTTAR PRADESH","GHAZIABAD",NA,NA,NA,NA
"UTTAR PRADESH","GHAZIPUR",431,1,90,0
"UTTAR PRADESH","GONDA",728,0,9,0
"UTTAR PRADESH","GORAKHPUR",2343,0,12,0
"UTTAR PRADESH","HAMIRPUR",2220,5,83,0
"UTTAR PRADESH","HARDOI",1187,0,36,1
"UTTAR PRADESH","HARDWAR",254,24,91,1
"UTTAR PRADESH","JALAUN",3385,9,89,2
"UTTAR PRADESH","JAUNPUR",1990,7,108,1
"UTTAR PRADESH","JHANSI",36069,1,47,0
"UTTAR PRADESH","KANPUR DEHAT",93,1,159,0
"UTTAR PRADESH","KANPUR NAGAR",NA,NA,NA,NA
"UTTAR PRADESH","KHIRI",NA,NA,NA,NA
"UTTAR PRADESH","KUSHI NAGAR",887,0,32,0
"UTTAR PRADESH","LALITPUR",23761,1,41,0
"UTTAR PRADESH","LUCKNOW",746,1,52,0
"UTTAR PRADESH","MAHOBA",12819,1,48,0
"UTTAR PRADESH","MAHRAJGANJ",311,0,41,2
"UTTAR PRADESH","MAINPURI",343,0,117,0
"UTTAR PRADESH","MATHURA",876,1,88,0
"UTTAR PRADESH","MAU",NA,NA,NA,NA
"UTTAR PRADESH","MEERUT",11,4,154,0
"UTTAR PRADESH","MIRZAPUR",3264,11,115,5
"UTTAR PRADESH","MORADABAD",1633,1,83,0
"UTTAR PRADESH","MUZAFFER NAGAR",NA,NA,NA,NA
"UTTAR PRADESH","NAINITAL",3,7,69,0
"UTTAR PRADESH","PAURI GARHWAL",NA,NA,NA,NA
"UTTAR PRADESH","PILIBHIT",NA,NA,NA,NA
"UTTAR PRADESH","PITHORAGARH",NA,NA,NA,NA
"UTTAR PRADESH","PRATAPGARH",356,18,82,2
"UTTAR PRADESH","RAEBARELY",989,0,122,1
"UTTAR PRADESH","RAMPUR",NA,NA,NA,NA
"UTTAR PRADESH","SAHARANPUR",61,0,100,0
"UTTAR PRADESH","SANT RAVIDAS NAGAR",509,26,146,1
"UTTAR PRADESH","SHAHJAHANPUR",975,0,42,0
"UTTAR PRADESH","SIDDHARTH NAGAR",755,0,40,0
"UTTAR PRADESH","SITAPUR",NA,NA,NA,NA
"UTTAR PRADESH","SONBHADRA",3935,0,66,0
"UTTAR PRADESH","SULTANPUR",1158,0,43,0
"UTTAR PRADESH","TEHRI GARHWAL",NA,NA,NA,NA
"UTTAR PRADESH","UDHAMSINGH NAGAR",661,17,205,0
"UTTAR PRADESH","UNNAO",1345,0,62,2
"UTTAR PRADESH","UTTARKASHI",NA,NA,NA,NA
"UTTAR PRADESH","VARANASI",2722,6,108,2
"WEST BENGAL","BANKURA",7611,1,44,0
"WEST BENGAL","BIRBHUM",1196,0,65,0
"WEST BENGAL","BURDWAN",358,1,45,0
"WEST BENGAL","COOCHBEHAR",6870,0,92,0
"WEST BENGAL","DAKSHIN DINAJPUR",308,0,55,0
"WEST BENGAL","DARJEELING",124,1,27,0
"WEST BENGAL","HOOGLY",170,0,122,0
"WEST BENGAL","HOWRAH",4,0,163,0
"WEST BENGAL","JALPAIGURI",3796,2,104,0
"WEST BENGAL","MALDA",25,0,82,1
"WEST BENGAL","MIDNAPORE",15622,0,78,1
"WEST BENGAL","MURSHIDABAD",81,0,52,0
"WEST BENGAL","NADIA",193,1,72,7
"WEST BENGAL","NORTH 24 PARGANAS",10,0,155,0
"WEST BENGAL","PURULIA",19448,0,18,0
"WEST BENGAL","SOUTH 24 PARGANAS",77,0,126,0
"WEST BENGAL","UTTAR DINAJPUR",90,0,94,0
"ANDAMAN & NICOBARS","ANDAMAN",NA,NA,NA,NA
"ANDAMAN & NICOBARS","NICOBARS",NA,NA,NA,NA
"CHANDIGARH","",NA,NA,NA,NA
"DADRA & NAGAR HAVELI","DADRA & NAGAR HAVELI",413,3,44,0
"DAMAN & DIU","",NA,NA,NA,NA
"DELHI","CENTRAL-DELHI",NA,NA,NA,NA
"DELHI","EAST",NA,NA,NA,NA
"DELHI","NORTH-EAST",NA,NA,NA,NA
"DELHI","NORTH-WEST",NA,NA,NA,NA
"DELHI","SOUTH-EAST",NA,NA,NA,NA
"DELHI","SOUTH-WEST",NA,NA,NA,NA
"DELHI","WEST",NA,NA,NA,NA
"LAKSHADWEEP","",NA,NA,NA,NA
"PONDICHERRY","KARAIKAL",2,0,6,0
"PONDICHERRY","MAHE",NA,NA,NA,NA
"PONDICHERRY","PONDICHERRY",220,1,182,4
"PONDICHERRY","YANAM",NA,NA,NA,NA
