-----
{
 "description": "The table refers to block wise irrigation potential utilised through Deep Tubewells . The report has been sourced from 2nd census of minor irrigation scheme(1993-94) from ministry of water resources.", 
 "file_name": "blckdptbwltab3.14.csv", 
 "title": "Download CSV for Block wise Irrigation potential utilised through Deep Tubewells for 2nd Census of Minor Irrigation Schemes (1993-94)", 
 "url": "http://data.gov.in/sites/default/files/blckdptbwltab3.14.csv"
}
-----
"State","District","Block","Actual area irrigated (Ha) - Kharif","Actual area irrigated (Ha) - Rabi","Actual area irrigated (Ha) - Perennial","Actual area irrigated (Ha) - Others"
"ANDHRA PRADESH","ANANTHAPUR","TANAKAL",NA,NA,NA,NA
"ANDHRA PRADESH","ANANTHAPUR","URAVAKONDA",NA,NA,NA,NA
"ANDHRA PRADESH","ANANTHAPUR","VAJRAKARUR",NA,NA,NA,NA
"ANDHRA PRADESH","ANANTHAPUR","VIDAPANAKAL",NA,NA,NA,NA
"ANDHRA PRADESH","ANANTHAPUR","YADIKI",NA,NA,NA,NA
"ANDHRA PRADESH","ANANTHAPUR","YELLANUR",NA,NA,NA,NA
"ANDHRA PRADESH","CHITTOOR","B.KOTHAKOTA",96,148,0,0
"ANDHRA PRADESH","CHITTOOR","BAIREDDIPALLE",7,3,0,0
"ANDHRA PRADESH","CHITTOOR","BANGARUPALEM",190,135,2,0
"ANDHRA PRADESH","CHITTOOR","BUCHINAIDU KHANDRIGA",10,11,0,0
"ANDHRA PRADESH","CHITTOOR","CHANDRAGIRI",32,6,0,0
"ANDHRA PRADESH","CHITTOOR","CHINNAGOTTIGALLU",9,29,0,0
"ANDHRA PRADESH","CHITTOOR","CHITTOOR",82,43,0,0
"ANDHRA PRADESH","CHITTOOR","CHOWDE[ALLE",79,67,0,0
"ANDHRA PRADESH","CHITTOOR","GANGADHARA NELLORE",206,170,7,0
"ANDHRA PRADESH","CHITTOOR","GANGAVARAM",42,25,0,0
"ANDHRA PRADESH","CHITTOOR","GUDIPALA",63,39,0,0
"ANDHRA PRADESH","CHITTOOR","GUDUPALLE",15,7,0,0
"ANDHRA PRADESH","CHITTOOR","GURRAMKONDA",85,62,0,0
"ANDHRA PRADESH","CHITTOOR","IRALA",148,91,0,0
"ANDHRA PRADESH","CHITTOOR","K.V.B. PURAM",4,16,0,0
"ANDHRA PRADESH","CHITTOOR","KALAKADA",28,18,0,0
"ANDHRA PRADESH","CHITTOOR","KALIKIRI",NA,NA,NA,NA
"ANDHRA PRADESH","CHITTOOR","KAMACHANDRA PURAM",NA,NA,NA,NA
"ANDHRA PRADESH","CHITTOOR","KAMBHAMVARIPALLE",7,18,0,0
"ANDHRA PRADESH","CHITTOOR","KARVETINAGAR",20,14,0,0
"ANDHRA PRADESH","CHITTOOR","KUPPAM",60,29,5,6
"ANDHRA PRADESH","CHITTOOR","KURABALAKOTA",NA,NA,NA,NA
"ANDHRA PRADESH","CHITTOOR","MADANAPALLE",1,1,0,0
"ANDHRA PRADESH","CHITTOOR","MULAKALACHERUVU",36,31,0,0
"ANDHRA PRADESH","CHITTOOR","NAGALAPURAM",NA,NA,NA,NA
"ANDHRA PRADESH","CHITTOOR","NAGARI",NA,NA,NA,NA
"ANDHRA PRADESH","CHITTOOR","NARAYANAVANAM",NA,NA,NA,NA
"ANDHRA PRADESH","CHITTOOR","NIMMANAPALLE",13,10,0,0
"ANDHRA PRADESH","CHITTOOR","NINDRA",NA,NA,NA,NA
"ANDHRA PRADESH","CHITTOOR","PAKALA",0,1,0,0
"ANDHRA PRADESH","CHITTOOR","PALAMANERU",77,43,0,0
"ANDHRA PRADESH","CHITTOOR","PALASAMUDRAM",NA,NA,NA,NA
"ANDHRA PRADESH","CHITTOOR","PEDDAMANDYAM",50,42,0,0
"ANDHRA PRADESH","CHITTOOR","PEDDAPANJANI",6,3,0,0
"ANDHRA PRADESH","CHITTOOR","PEDDATHIPPASAMDRAM",190,161,0,0
"ANDHRA PRADESH","CHITTOOR","PENUMURU",125,96,0,0
"ANDHRA PRADESH","CHITTOOR","PICHATURU",18,58,0,0
"ANDHRA PRADESH","CHITTOOR","PILERU",18,11,0,0
"ANDHRA PRADESH","CHITTOOR","PULICHERLA",36,32,0,0
"ANDHRA PRADESH","CHITTOOR","PUNGANURU",113,107,0,0
"ANDHRA PRADESH","CHITTOOR","PUTHALAPATTU",117,122,0,0
"ANDHRA PRADESH","CHITTOOR","PUTTURU",7,28,0,0
"ANDHRA PRADESH","CHITTOOR","RAMAKUPPAM",80,53,0,0
"ANDHRA PRADESH","CHITTOOR","RAMASAMUDRAM",437,254,0,0
"ANDHRA PRADESH","CHITTOOR","RENIGUNTA",NA,NA,NA,NA
"ANDHRA PRADESH","CHITTOOR","ROMPICHERLA",13,13,0,0
"ANDHRA PRADESH","CHITTOOR","SANTHIPURAM",320,67,0,0
"ANDHRA PRADESH","CHITTOOR","SATYAVEDU",NA,NA,NA,NA
"ANDHRA PRADESH","CHITTOOR","SODAM",44,25,0,0
"ANDHRA PRADESH","CHITTOOR","SOMALA",69,94,0,0
"ANDHRA PRADESH","CHITTOOR","SRIKALAHASTI",24,37,0,0
"ANDHRA PRADESH","CHITTOOR","SRIRANGARAJAPURAM",41,40,0,0
"ANDHRA PRADESH","CHITTOOR","THAMBALLAPALLE",159,102,2,2
"ANDHRA PRADESH","CHITTOOR","THAVANAMPALLE",443,297,0,0
"ANDHRA PRADESH","CHITTOOR","THOTTAMBEDA",NA,NA,NA,NA
"ANDHRA PRADESH","CHITTOOR","TIRUPATI (RURAL)",NA,NA,NA,NA
"ANDHRA PRADESH","CHITTOOR","TIRUPATI (URBAN)",NA,NA,NA,NA
"ANDHRA PRADESH","CHITTOOR","VADAMALAPETA",NA,NA,NA,NA
"ANDHRA PRADESH","CHITTOOR","VARADAIAHPALEM",NA,NA,NA,NA
"ANDHRA PRADESH","CHITTOOR","VAYALPAD",131,98,24,5
"ANDHRA PRADESH","CHITTOOR","VEDURUKUPPAM",7,20,0,0
"ANDHRA PRADESH","CHITTOOR","VENKATAGIRIKOTA",144,71,3,0
"ANDHRA PRADESH","CHITTOOR","VIJAYAPURAM",NA,NA,NA,NA
"ANDHRA PRADESH","CHITTOOR","YADAMARI",223,116,0,0
"ANDHRA PRADESH","CHITTOOR","YERPEDU",NA,NA,NA,NA
"ANDHRA PRADESH","CHITTOOR","YERRAVARIPALEM",2,4,0,0
"ANDHRA PRADESH","CUDDAPAH","ATLUR",86,118,2,0
"ANDHRA PRADESH","CUDDAPAH","B.KODUR",44,56,1,0
"ANDHRA PRADESH","CUDDAPAH","BADVEL",121,117,0,0
"ANDHRA PRADESH","CUDDAPAH","BRAHMAMGARIMATHAM",226,167,0,15
"ANDHRA PRADESH","CUDDAPAH","CHAKARAYAPET",72,19,2,0
"ANDHRA PRADESH","CUDDAPAH","CHAPAD",NA,NA,NA,NA
"ANDHRA PRADESH","CUDDAPAH","CHENNAMANDEM",NA,NA,NA,NA
"ANDHRA PRADESH","CUDDAPAH","CHENNUR",5,5,0,0
"ANDHRA PRADESH","CUDDAPAH","CHINTHAKOMMADINNE",919,931,71,148
"ANDHRA PRADESH","CUDDAPAH","CHITVEL",NA,NA,NA,NA
"ANDHRA PRADESH","CUDDAPAH","CUDDAPAH",353,207,0,0
"ANDHRA PRADESH","CUDDAPAH","DUVVUR",952,297,0,0
"ANDHRA PRADESH","CUDDAPAH","GALIVEEDU",22,13,6,0
"ANDHRA PRADESH","CUDDAPAH","GOPAVARAM",32,30,0,0
"ANDHRA PRADESH","CUDDAPAH","JAMMALAMADUGU",22,10,16,0
"ANDHRA PRADESH","CUDDAPAH","KALASAPADU",595,243,0,0
"ANDHRA PRADESH","CUDDAPAH","KAMALAPURAM",140,92,0,0
"ANDHRA PRADESH","CUDDAPAH","KHAJIPET",451,200,0,0
"ANDHRA PRADESH","CUDDAPAH","KODUR",NA,NA,NA,NA
"ANDHRA PRADESH","CUDDAPAH","KONDAPURAM",67,30,0,0
"ANDHRA PRADESH","CUDDAPAH","LAKKIREDDIPALLE",NA,NA,NA,NA
"ANDHRA PRADESH","CUDDAPAH","LINGALA",162,102,36,0
"ANDHRA PRADESH","CUDDAPAH","MUDDANUR",633,296,1,0
"ANDHRA PRADESH","CUDDAPAH","MYLAVARAM",59,31,0,4
"ANDHRA PRADESH","CUDDAPAH","NANDALUR",91,58,0,0
"ANDHRA PRADESH","CUDDAPAH","OBULAVARIPALLE",356,226,184,2
"ANDHRA PRADESH","CUDDAPAH","PEDDAMUDIUM",226,206,2,0
"ANDHRA PRADESH","CUDDAPAH","PENAGALUR",348,301,50,3
"ANDHRA PRADESH","CUDDAPAH","PENDLIMARRI",197,109,0,0
"ANDHRA PRADESH","CUDDAPAH","PORUMAMILLA",130,203,18,32
"ANDHRA PRADESH","CUDDAPAH","PRODDUTUR",NA,NA,NA,NA
"ANDHRA PRADESH","CUDDAPAH","PULIVENDLA",694,752,21,0
"ANDHRA PRADESH","CUDDAPAH","PULLAMPETA",914,648,2,0
"ANDHRA PRADESH","CUDDAPAH","RAJAMPET",935,419,90,8
"ANDHRA PRADESH","CUDDAPAH","RAJUPALEM",NA,NA,NA,NA
"ANDHRA PRADESH","CUDDAPAH","RAMAPURAM",10,5,5,1
"ANDHRA PRADESH","CUDDAPAH","ROYACHOTI",5,15,10,0
"ANDHRA PRADESH","CUDDAPAH","S.MYDUKUR",334,337,0,0
"ANDHRA PRADESH","CUDDAPAH","SAMBEPALLE",NA,NA,NA,NA
"ANDHRA PRADESH","CUDDAPAH","SIDHOUT",NA,NA,NA,NA
"ANDHRA PRADESH","CUDDAPAH","SIMHADRIPURAM",560,154,0,0
"ANDHRA PRADESH","CUDDAPAH","T.SUNDUPALLE",NA,NA,NA,NA
"ANDHRA PRADESH","CUDDAPAH","THONDUR",227,35,0,0
"ANDHRA PRADESH","CUDDAPAH","VALLUR",50,27,0,0
"ANDHRA PRADESH","CUDDAPAH","VEERABALLE",9,10,1,0
"ANDHRA PRADESH","CUDDAPAH","VEERAPUNAYUNIPALLE",5,3,0,0
"ANDHRA PRADESH","CUDDAPAH","VEMPALLE",98,46,8,0
"ANDHRA PRADESH","CUDDAPAH","VEMULA",401,552,98,0
"ANDHRA PRADESH","CUDDAPAH","VONTIMITTA",60,181,5,22
"ANDHRA PRADESH","CUDDAPAH","YERRAGUNTLA",134,93,0,0
"ANDHRA PRADESH","EAST GODAVARI","ADDATEEGALA",NA,NA,NA,NA
"ANDHRA PRADESH","EAST GODAVARI","AINAVILLI",NA,NA,NA,NA
"ANDHRA PRADESH","EAST GODAVARI","ALAMURU",NA,NA,NA,NA
"ANDHRA PRADESH","EAST GODAVARI","ALLAVARAM",NA,NA,NA,NA
"ANDHRA PRADESH","EAST GODAVARI","AMALAPURAM",NA,NA,NA,NA
"ANDHRA PRADESH","EAST GODAVARI","AMBAJIPETA",NA,NA,NA,NA
"ANDHRA PRADESH","EAST GODAVARI","ANAPARTHY",374,374,0,0
"ANDHRA PRADESH","EAST GODAVARI","ATREYAPURAM",NA,NA,NA,NA
"ANDHRA PRADESH","EAST GODAVARI","BICCAVOLU",834,673,12,0
"ANDHRA PRADESH","EAST GODAVARI","DEVIPATNAM",NA,NA,NA,NA
"ANDHRA PRADESH","EAST GODAVARI","GANDEPALLE",202,102,92,0
"ANDHRA PRADESH","EAST GODAVARI","GANGAVARAM",NA,NA,NA,NA
"ANDHRA PRADESH","EAST GODAVARI","GOKAVARAM",25,1,4,0
"ANDHRA PRADESH","EAST GODAVARI","GOLLAPROLU",149,246,1,0
"ANDHRA PRADESH","EAST GODAVARI","I. POLAVARAM",NA,NA,NA,NA
"ANDHRA PRADESH","EAST GODAVARI","JAGGAMPETA",16,0,0,0
"ANDHRA PRADESH","EAST GODAVARI","KADIAM",NA,NA,NA,NA
"ANDHRA PRADESH","EAST GODAVARI","KAJULURU",NA,NA,NA,NA
"ANDHRA PRADESH","EAST GODAVARI","KAKINADA RURAL",NA,NA,NA,NA
"ANDHRA PRADESH","EAST GODAVARI","KAKINADA URBAN",NA,NA,NA,NA
"ANDHRA PRADESH","EAST GODAVARI","KAPILESWARAPURAM",NA,NA,NA,NA
"ANDHRA PRADESH","EAST GODAVARI","KARAPA",NA,NA,NA,NA
"ANDHRA PRADESH","EAST GODAVARI","KATRENIKONA",NA,NA,NA,NA
"ANDHRA PRADESH","EAST GODAVARI","KIRLAMPUDI",8,0,8,0
"ANDHRA PRADESH","EAST GODAVARI","KORUKONDA",179,34,1069,0
"ANDHRA PRADESH","EAST GODAVARI","KOTANANDURU",NA,NA,NA,NA
"ANDHRA PRADESH","EAST GODAVARI","KOTHAPALLE",NA,NA,NA,NA
"ANDHRA PRADESH","EAST GODAVARI","KOTHAPETA",NA,NA,NA,NA
"ANDHRA PRADESH","EAST GODAVARI","MALIKIPURAM",NA,NA,NA,NA
"ANDHRA PRADESH","EAST GODAVARI","MAMIDIKUDURU",NA,NA,NA,NA
"ANDHRA PRADESH","EAST GODAVARI","MANDAPETA",372,364,125,7
"ANDHRA PRADESH","EAST GODAVARI","MAREDUMILLI",NA,NA,NA,NA
"ANDHRA PRADESH","EAST GODAVARI","MUMMIDIVARAM",NA,NA,NA,NA
"ANDHRA PRADESH","EAST GODAVARI","P.GANNAVARAM",NA,NA,NA,NA
"ANDHRA PRADESH","EAST GODAVARI","PAMARRU",NA,NA,NA,NA
"ANDHRA PRADESH","EAST GODAVARI","PEDAPUDI",NA,NA,NA,NA
"ANDHRA PRADESH","EAST GODAVARI","PEDDAPURAM",491,104,361,76
"ANDHRA PRADESH","EAST GODAVARI","PITHAPURAM",NA,NA,NA,NA
"ANDHRA PRADESH","EAST GODAVARI","PRATHIPADU",65,0,0,0
"ANDHRA PRADESH","EAST GODAVARI","RAJAHMUNDRY RURAL",726,760,360,0
"ANDHRA PRADESH","EAST GODAVARI","RAJAHMUNDRY URBAN",NA,NA,NA,NA
"ANDHRA PRADESH","EAST GODAVARI","RAJANAGARAM",3105,1666,290,44
"ANDHRA PRADESH","EAST GODAVARI","RAJAVOMMANGI",NA,NA,NA,NA
"ANDHRA PRADESH","EAST GODAVARI","RAMACHANDRAPURAM",NA,NA,NA,NA
"ANDHRA PRADESH","EAST GODAVARI","RAMPACHODAVARAM",NA,NA,NA,NA
"ANDHRA PRADESH","EAST GODAVARI","RANGAMPETA",988,641,75,0
"ANDHRA PRADESH","EAST GODAVARI","RAVULAPALEM",NA,NA,NA,NA
"ANDHRA PRADESH","EAST GODAVARI","RAYAVARAM",NA,NA,NA,NA
"ANDHRA PRADESH","EAST GODAVARI","RAZOLE",NA,NA,NA,NA
"ANDHRA PRADESH","EAST GODAVARI","SAKHINETIPALLE",NA,NA,NA,NA
"ANDHRA PRADESH","EAST GODAVARI","SAMALKOTA",27,18,59,0
"ANDHRA PRADESH","EAST GODAVARI","SANKHAVARAM",2,0,3,0
"ANDHRA PRADESH","EAST GODAVARI","SEETHANAGARAM",118,29,205,0
"ANDHRA PRADESH","EAST GODAVARI","THALLAREVU",NA,NA,NA,NA
"ANDHRA PRADESH","EAST GODAVARI","THONDANGI",89,38,11,0
"ANDHRA PRADESH","EAST GODAVARI","TUNI",NA,NA,NA,NA
"ANDHRA PRADESH","EAST GODAVARI","UPPALAGUPTAM",NA,NA,NA,NA
"ANDHRA PRADESH","EAST GODAVARI","Y. RAMAVARAM",NA,NA,NA,NA
"ANDHRA PRADESH","EAST GODAVARI","YELESWARAM",NA,NA,NA,NA
"ANDHRA PRADESH","GUNTUR","ACHAMPET",NA,NA,NA,NA
"ANDHRA PRADESH","GUNTUR","AMARAVATHI",NA,NA,NA,NA
"ANDHRA PRADESH","GUNTUR","AMRUTHALUR",NA,NA,NA,NA
"ANDHRA PRADESH","GUNTUR","BAPATLA",NA,NA,NA,NA
"ANDHRA PRADESH","GUNTUR","BELLAMKONDA",NA,NA,NA,NA
"ANDHRA PRADESH","GUNTUR","BHATTIPROLU",NA,NA,NA,NA
"ANDHRA PRADESH","GUNTUR","BOLLAPALLE",NA,NA,NA,NA
"ANDHRA PRADESH","GUNTUR","CHEBROLE",NA,NA,NA,NA
"ANDHRA PRADESH","GUNTUR","CHERUKUPALLE",NA,NA,NA,NA
"ANDHRA PRADESH","GUNTUR","CHILAKALURIPET",NA,NA,NA,NA
"ANDHRA PRADESH","GUNTUR","DACHEPALLE",NA,NA,NA,NA
"ANDHRA PRADESH","GUNTUR","DUGGIRALA",NA,NA,NA,NA
"ANDHRA PRADESH","GUNTUR","DURGI",749,260,0,0
"ANDHRA PRADESH","GUNTUR","EDLAPADU",NA,NA,NA,NA
"ANDHRA PRADESH","GUNTUR","GUNTUR",NA,NA,NA,NA
"ANDHRA PRADESH","GUNTUR","GURAZALA",NA,NA,NA,NA
"ANDHRA PRADESH","GUNTUR","IPUR",NA,NA,NA,NA
"ANDHRA PRADESH","GUNTUR","KAKUMANU",NA,NA,NA,NA
"ANDHRA PRADESH","GUNTUR","KAREMPUDI",NA,NA,NA,NA
"ANDHRA PRADESH","GUNTUR","KARLAPALEM",NA,NA,NA,NA
"ANDHRA PRADESH","GUNTUR","KOLLIPARA",NA,NA,NA,NA
"ANDHRA PRADESH","GUNTUR","KOLLUR",NA,NA,NA,NA
"ANDHRA PRADESH","GUNTUR","KROSURU",NA,NA,NA,NA
"ANDHRA PRADESH","GUNTUR","MACHAVARAM",NA,NA,NA,NA
"ANDHRA PRADESH","GUNTUR","MACHERLA",261,115,0,0
"ANDHRA PRADESH","GUNTUR","MANGALAGIRI",NA,NA,NA,NA
"ANDHRA PRADESH","GUNTUR","MEDIKONDURU",NA,NA,NA,NA
"ANDHRA PRADESH","GUNTUR","MUPPALLA",NA,NA,NA,NA
"ANDHRA PRADESH","GUNTUR","NADENDLA",NA,NA,NA,NA
"ANDHRA PRADESH","GUNTUR","NAGARAM",NA,NA,NA,NA
"ANDHRA PRADESH","GUNTUR","NARASARAOPET",NA,NA,NA,NA
"ANDHRA PRADESH","GUNTUR","NEKARIKALLU",NA,NA,NA,NA
"ANDHRA PRADESH","GUNTUR","NIZAMPATNAM",NA,NA,NA,NA
"ANDHRA PRADESH","GUNTUR","NUZENDLA",NA,NA,NA,NA
