-----
{
 "description": "The table gives the Index Numbers of Wholesale Prices of selected commodities and commodity groups since 1994-95. The figures are given at 1993-94 and 2004-05 base year prices.\r", 
 "file_name": "tab52.xls", 
 "title": "Download XLS for Index Numbers of Wholesale Prices - Selected Commodities and Commodity Groups(External Link that opens in a new window)", 
 "url": "http://indiabudget.nic.in/tab2012/tab52.xls"
}
-----
"5.2 : INDEX NUMBERS OF WHOLESALE PRICES – SELECTED COMMODITIES AND COMMODITY GROUPS","","","","","","","","","","","","","","","","",""
"(Base: 2004-05=100)","","","","","","","","","","","","","","","","",""
"","Rice","Wheat","Pulses","Tea","Raw","Raw","Ground-","Coal","Mineral","Sugar,","Edible","Cotton","Cotton","Jute,hemp","Fertili-","Cement","Iron,steel"
"2003-04",165.0,188.0,172.0,101.0,185.0,141.0,180.0,198.0,287.0,148.0,161.0,183.0,168.0,175.0,169.0,149.0,201.0
"2004-05",170.0,186.0,168.0,114.0,141.0,191.0,167.0,232.0,333.0,174.0,147.0,153.0,172.0,199.0,175.0,164.0,244.0
"Last month of (Base:2004-05=100)","","","","","","","","","","","","","","","","",""
"2005-06",105.0,116.7,126.0,92.3,90.6,158.9,93.5,117.6,122.4,111.9,93.0,97.6,98.0,114.4,102.9,106.3,97.4394044154
"2006-07",114.5,128.6,146.5,97.3,99.2,118.3,132.2,117.7,123.3,96.8,106.8,97.9,97.4,119.8,105.4,130.0,110.858362869
"2007-08",130.9,139.9,147.8,109.6,121.7,129.5,146.5,135.8,133.2,93.2,127.2,100.3,98.4,109.8,107.0,137.7,138.183568652
"2008-09",151.1,150.7,159.1,156.3,124.2,141.6,141.3,151.0,123.6,125.5,113.5,101.6,104.7,125.2,107.7,147.8,125.568222405
"2009-10",163.3,172.8,198.9,129.1,149.0,173.0,152.9,163.0,146.6,177.8,114.0,122.5,109.0,157.2,109.8,151.2,127.437085491
"2010-11",167.0,173.1,191.0,138.2,302.5,240.0,171.3,184.6,168.2,163.9,128.8,178.6,128.0,182.1,120.7,153.7,143.434445427
"2011-12",175.4,172.1,210.3,144.6,196.1,227.0,230.6,210.3,192.9,169.1,141.6,150.1,131.4,171.3,141.1,163.1,158.2825795
"Average of weeks (Base:1993-94=100)","","","","","","","","","","","","","","","","",""
"1994-95",111.0,109.0,122.0,82.0,154.0,120.0,123.0,105.0,106.0,119.0,111.0,136.0,120.0,110.0,116.0,112.0,106.0
"1995-96",117.0,112.0,135.0,103.0,159.0,189.0,135.0,106.0,106.0,113.0,117.0,147.0,139.0,148.0,129.0,130.0,117.0
"1996-97",129.0,137.0,151.0,105.0,133.0,189.0,135.0,118.0,123.0,119.0,115.0,137.0,146.0,153.0,129.0,134.0,124.0
"1997-98",134.0,138.0,146.0,160.0,155.0,102.0,134.0,140.0,139.0,134.0,114.0,141.0,149.0,136.0,136.0,129.0,130.0
"1998-99",146.0,152.0,160.0,150.0,167.0,108.0,151.0,144.0,143.0,154.0,139.0,142.0,156.0,151.0,138.0,131.0,133.0
"1999-00",171.0,175.0,166.0,152.0,147.0,113.0,140.0,149.0,160.0,156.0,122.0,141.0,155.0,161.0,143.0,128.0,134.0
"2000-01",168.0,177.0,180.0,128.0,157.0,150.0,140.0,161.0,226.0,153.0,103.0,150.0,156.0,163.0,158.0,137.0,137.0
"2001-02",167.0,175.0,190.0,117.0,149.0,182.0,144.0,182.0,240.0,146.0,113.0,148.0,159.0,181.0,161.0,149.0,137.0
"2002-03",166.0,176.0,181.0,118.0,142.0,154.0,169.0,181.0,255.0,135.0,138.0,145.0,162.0,169.0,168.0,145.0,143.0
"2003-04",169.0,181.0,177.0,109.0,181.0,137.0,181.0,194.0,274.0,139.0,158.0,166.0,166.0,160.0,169.0,147.0,180.0
"2004-05",168.0,184.0,174.0,131.0,166.0,160.0,182.0,223.0,315.0,163.0,156.0,167.0,173.0,181.0,171.0,153.0,232.0
"Average of months (Base:2004-05=100)","","","","","","","","","","","","","","","","",""
"2005-06",105.23,105.02,113.34,88.88,90.18,134.9,96.8,117.6,116.73,108.76,94.08,95.17,99.16,111.56,102.24,102.34,99.7831579154
"2006-07",110.03,125.12,149.18,104.21,96.63,135.97,109.53,117.71,127.4,107.42,102.45,97.98,96.66,114.75,104.37,118.88,105.393211342
"2007-08",122.46,134.28,144.93,104.4,111.8,122.42,140.33,121.69,126.25,90.9,116.02,101.2,98.65,111.06,106.29,137.66,119.346626111
"2008-09",140.62,147.57,155.84,153.21,141.19,137.88,144.32,151.26,141.84,106.82,121.55,102.73,102.59,116.58,106.82,138.64,136.624721136
"2009-10",157.93,166.47,190.76,174.06,138.55,160.45,147.98,156.45,135.75,161.93,114.38,110.64,106.8,145.78,108.15,149.02,123.671684916
"2010-11",167.19,171.44,196.86,148.33,199.32,210.68,164.82,165.33,157.47,160.5,120.58,141.81,115.08,164.93,116.8,150.84,135.807209818
"2011-12",172.291666667,168.291666667,201.816666667,150.85,225.191666667,222.508333333,200.016666667,191.0,184.016666667,167.716666667,135.716666667,154.7,131.566666667,176.266666667,132.583333333,156.975,150.474303555
"","","","","","","","","","","","","","","","","","Contd..."
"5.2 : INDEX NUMBERS OF WHOLESALE PRICES – SELECTED COMMODITIES AND COMMODITY GROUPS","","","","","","","","","","","","","","","","",""
"(Base: 2004-05=100)","","","","","","","","","","","","","","","","",""
"","Rice","Wheat","Pulses","Tea","Raw","Raw","Ground-","Coal","Mineral","Sugar,","Edible","Cotton","Cotton","Jute,hemp","Fertili-","Cement","Iron,steel"
"","","","","","cotton","jute","nut","mining","oils","khandsari","oils","yarn","cloth","& mesta","zers","","& ferro"
"","","","","","","","seed","","","& gur","","","(Mills)","textiles","","","alloysa"
"Weight-Base:(2004-05=100)",1.79348,1.11595,0.71662,0.11233,0.70488,0.06373,0.39668,2.09419,9.36439,2.08859,3.04293,1.37708,1.22818,0.26129,2.66123,1.38646,6.87862
"2011-12","","","","","","","","","","","","","","","","",""
"April",167.3,169.2,189.6,153.9,305.5,239.8,183.6,184.6,171.1,164.6,129.7,181.2,130.5,183.9,122.9,154.3,144.153875051
"May",169.7,167.4,187.2,155.5,251.0,256.6,188.8,184.6,172.6,164.3,132.1,177.2,133.6,183.7,125.2,155.3,145.2433696
"June",169.0,168.7,187.5,154.0,235.6,245.4,191.5,184.6,174.6,162.2,133.4,168.4,134.2,183.6,125.7,153.6,146.427853116
"July",169.9,170.8,190.4,153.5,207.1,222.7,194.4,184.6,181.0,165.6,133.7,154.8,132.4,182.5,127.0,153.0,146.583255508
"August",172.9,168.9,193.1,148.1,221.3,221.8,203.3,184.6,183.2,166.1,135.6,146.9,131.3,177.3,127.9,151.9,147.596892109
"September",173.3,166.9,202.2,150.8,235.4,223.9,205.0,184.6,184.1,166.9,136.3,144.3,130.8,174.8,130.4,152.5,148.763177062
"October",176.4,165.0,214.0,158.0,222.1,210.4,196.9,184.6,186.2,167.5,135.0,144.7,131.0,173.0,135.0,158.0,149.643677075
"November",175.4,164.3,215.2,150.6,216.2,199.7,191.3,184.6,188.9,170.8,135.3,146.9,130.7,172.0,137.6,160.6,152.661806438
"December",173.1,166.6,212.9,147.3,210.0,194.5,192.4,184.6,190.6,173.8,137.0,146.8,130.8,171.5,138.7,161.3,154.176596468
"January",172.2,169.2,210.8,149.4,202.8,205.9,208.4,210.0,191.7,171.1,139.2,146.9,130.7,170.8,139.5,160.1,155.659462799
"February",173.0,170.1,208.6,144.9,199.2,223.2,214.0,210.3,191.2,169.9,139.3,148.1,131.7,171.0,140.1,160.5,156.339158581
"March",175.4,172.1,210.3,144.6,196.1,227.0,230.6,210.3,192.9,169.1,141.6,150.1,131.4,171.3,141.1,163.1,158.2825795
"2012-13","","","","","","","","","","","","","","","","",""
"April",177.3,179.3,211.0,182.3,198.6,222.2,230.9,210.3,194.5,170.5,144.2,151.7,132.2,173.9,142.3,164.9,161.916812965
"May",178.0,178.7,218.6,202.9,204.5,216.1,234.9,210.3,194.6,172.8,145.8,154.4,132.8,174.5,142.4,164.9,161.723170927
"June",181.6,180.1,226.1,204.8,198.8,227.1,232.7,210.3,192.6,173.7,146.1,155.5,133.2,174.7,144.3,167.5,161.664684341
"July",186.8,181.8,244.8,192.4,216.8,246.3,229.9,210.3,189.9,180.7,148.2,155.7,133.3,175.2,148.3,169.5,161.162859556
"August",190.8,190.8,259.8,197.9,222.2,251.6,239.4,210.3,193.5,192.6,150.4,157.2,134.5,175.9,149.1,171.6,160.725034527
"September",195.1,198.4,260.8,198.3,211.7,255.3,243.0,210.3,204.4,197.6,150.9,159.4,134.5,178.3,150.5,171.1,160.428325304
"October ",202.7,198.0,256.5,200.0,200.9,241.9,241.3,210.3,206.4,197.4,148.1,158.2,134.0,179.9,150.7,170.3,159.921302529
"November P",196.1,202.4,256.3,196.3,202.7,234.8,256.5,210.3,204.9,194.7,148.7,158.2,134.6,179.4,151.1,169.3,159.695649273
"December P",202.7,205.3,250.3,202.5,202.2,230.8,250.0,210.3,205.0,194.0,150.0,157.9,134.6,179.5,150.9,168.5,158.431671905
"Source : Office of the Economic Adviser, Ministry of Commerce & Industry. ","","","","","","","","","","","","","","","","",""
"na: Not available","","","","","","","","","","","","","","","","",""
"P: Provisional","","","","","","","","","","","","","","","","",""
"a Composite index of Iron &Steel and Ferro Alloy for base 1993-94 and Iron & semis, steel long, steel flat, stainless steel & alloys and ferro alloys for base 2004-05","","","","","","","","","","","","","","","","",""
