-----
{
 "description": "The table shows India's External Debt Outstanding (US $ Mn.) since 2002. It gives details regarding item-wise External debt which includes Outstanding Debt with respect to Multilateral Trade, Bilateral Trade, IMF, Export Credit, Rupee Debt, Commercial Borrowings and others.", 
 "file_name": "tab84.xls", 
 "title": "Download XLS for India&#039;s External Debt Outstanding (US $ Mn.)(External Link that opens in a new window)", 
 "url": "http://indiabudget.nic.in/tab2012/tab84.xls"
}
-----
"",""," 8.4 (A):  India's External Debt Outstanding","","","","","","","","","","","",""
"","           c)  Private Sector",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"","    ii)   Non-concessional",11575.0,11665.0,10087.0,9601.0,8760.0,14497.0,17674.0,27073.0,27223.0,30398.0,37813.0,41997.0,39341.0
"","            a) Public Sector",4822.0,5116.0,4851.0,4353.0,3628.0,7420.0,10097.0,15076.0,13845.0,13789.0,14250.0,15829.0,14769.0
"","           b) Financial Institutions",3708.0,3571.0,3119.0,2847.0,2386.0,3828.0,3735.0,4311.0,3436.0,3754.0,3886.0,4267.0,3984.0
"","           c)  Private Sector",3045.0,2978.0,2117.0,2401.0,2746.0,3249.0,3842.0,7686.0,9942.0,12855.0,19677.0,21901.0,20588.0
"","","","","","","","","","","","","","",""
"III.","IMFa",0.0,0.0,4381.0,4503.0,4378.0,4484.0,4479.0,5188.0,27264.0,28163.0,31528.0,33996.0,32331.0
"","","","","","","","","","","","","","",""
"IV.","EXPORT CREDIT",26110.0,23750.0,20553.0,21976.0,24175.0,31237.0,41296.0,73772.0,76011.0,83123.0,97150.0,107416.0,100274.0
"","a) Buyers' credit",16147.0,13421.0,11061.0,13040.0,16088.0,23617.0,33134.0,64046.0,66849.0,73284.0,85953.0,94757.0,88073.0
"","b) Suppliers' credit",5144.0,5139.0,4471.0,3961.0,3351.0,2941.0,2998.0,3234.0,2937.0,2847.0,3228.0,3531.0,3504.0
"","c) Export credit component of   bilateral credit",4819.0,5190.0,5021.0,4975.0,4736.0,4679.0,5164.0,6492.0,6225.0,6992.0,7969.0,9128.0,8697.0
"","","","","","","","","","","","","","",""
"V.     ","COMMERCIAL BORROWINGS",113908.0,106843.0,95611.0,115533.0,117991.0,180669.0,249243.0,318209.0,319221.0,394958.0,536565.0,587130.0,574634.0
"","a) Commercial bank loansb",48683.0,46929.0,50346.0,62896.0,73508.0,107145.0,160577.0,219925.0,202350.0,261650.0,375371.0,419615.0,407474.0
"","b) Securitized borrowingsc",62714.0,57495.0,41567.0,48992.0,41112.0,68020.0,82641.0,91286.0,113177.0,130065.0,158641.0,165445.0,165294.0
"","c) Loans/securitized borrowings etc., with",2511.0,2419.0,3698.0,3645.0,3371.0,5504.0,6025.0,6998.0,3694.0,3243.0,2553.0,2070.0,1866.0
"","multilateral/bilateral guarantee + IFC(W)","","","","","","","","","","","","",""
"","","","","","","","","","","","","","",""
"VI.","NRI DEPOSITS(Above one year Maturity)d",83712.0,110022.0,135618.0,143267.0,161834.0,179786.0,174623.0,210118.0,217062.0,230812.0,299840.0,342775.0,353167.0
"","","","","","","","","","","","","","",""
"VII.","RUPEE DEBTe",14807.0,13405.0,11856.0,10071.0,9184.0,8508.0,8065.0,7760.0,7480.0,7147.0,6922.0,6878.0,6874.0
"","a) Defence",13198.0,11946.0,10539.0,8887.0,8112.0,7533.0,7172.0,6935.0,6709.0,6416.0,6220.0,6202.0,6199.0
"","b) Civilian",1609.0,1459.0,1317.0,1184.0,1072.0,975.0,893.0,825.0,771.0,731.0,702.0,676.0,675.0
"","","","","","","","","","","","","","",""
"VIII.","TOTAL LONG TERM DEBT (I TO VII)",468932.0,476624.0,476208.0,508777.0,533367.0,628771.0,714409.0,921469.0,942450.0,1075780.0,1365371.0,1517620.0,1486346.0
"IX.","SHORT-TERM DEBT",13396.0,22180.0,19251.0,77528.0,87155.0,122631.0,182881.0,220656.0,236188.0,290149.0,399962.0,453010.0,445342.0
"","a)  NRI deposits (up to one year maturity)d",4724.0,9320.0,1321.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"","b) Trade-Related Credits ",8672.0,12860.0,17930.0,71173.0,86531.0,113256.0,167540.0,203345.0,214267.0,261006.0,333202.0,397020.0,392526.0
"","     1)  Above 6 Months",8672.0,12860.0,17930.0,32922.0,38788.0,52188.0,91502.0,118936.0,126391.0,157806.0,200454.0,254628.0,264643.0
"","     2)  Upto 6  Months",0.0,0.0,0.0,38251.0,47743.0,61068.0,76038.0,84409.0,87876.0,103200.0,132748.0,142392.0,127883.0
"","c) FII Investment in Govt. Treasury Bills and other instruments ",0.0,0.0,0.0,6355.0,624.0,1732.0,2603.0,10522.0,15153.0,24214.0,48066.0,46556.0,43351.0
"","d) Investment in Treasury Bills by foreign central banks and other international institutions etc.",0.0,0.0,0.0,0.0,0.0,712.0,620.0,534.0,467.0,225.0,326.0,319.0,302.0
"","e) External Debt Liabilities of:",0.0,0.0,0.0,0.0,0.0,6931.0,12118.0,6255.0,6301.0,4704.0,18368.0,9115.0,9163.0
"","   1) Central Bank",0.0,0.0,0.0,0.0,0.0,2185.0,4458.0,3892.0,3139.0,693.0,871.0,981.0,988.0
"","   2) Commercial banks",0.0,0.0,0.0,0.0,0.0,4746.0,7660.0,2363.0,3162.0,4011.0,17497.0,8134.0,8175.0
"X.","GRAND TOTAL  ( VIII+IX )",482328.0,498804.0,495459.0,586305.0,620522.0,751402.0,897290.0,1142125.0,1178638.0,1365929.0,1765333.0,1970630.0,1931688.0
"","","","","","","","","","","","","","",""
"Source: Ministry of Finance (Department of Economic Affairs), Ministry of Defence, Reserve Bank of India and  Securities & Exchange Board of India (SEBI).","","","","","","","","","","","","","",""
"","PR: Partially Revised; QE: Quick Estimates.","","","","","","","","","","","","",""
"","IFC(W): International Finance Corporation, Washington D.C.  ","","","","FII: Foreign Institutional Investors","","","","","","","","",""
"a","Relates to SDR allocations from March 2004 onwards.","","","","","","","","","","","","",""
"b","Includes Financial Lease since 1996.","","","","","","","","","","","","",""
"c","Also includes India Development Bonds (IDBs), Resurgent India Bonds (RIBs), India Millennium Deposits (IMDs),","","","","","","","","","","","","",""
"","also includes Foreign Currency Convertible Bonds (FCCBs) and net investment  by 100% FII debt funds.","","","","","","","","","","","","",""
"","FCCB debt has been  adjusted since end-March, 1998 after netting out conversion into equity and redemptions.  ","","","","","","","","","","","","",""
"d","Figures include accrued interest.","","","","","","","","","","","","",""
"e","Rupee denominated debt owed to Russia and payable  through exports.","","","","","","","","","","","","",""
"Note:","NRO Deposits are included under NRI Deposits from the quarter ended June 2005. Supplier’s Credits upto 180 days and FII investment in short-term debt instruments are included under short-term debt from the quarter ended March 2005. Vostro balances / Nostro overdrafts of commercial banks, balances of foreign central banks/international institutions with RBI and invsetment in T-bills/securities by foreign central banks/ international institutions have been included in external debt from the quarter ended March 2007.","","","","","","","","","","","","",""
