-----
{
 "description": "The table refers to block wise distribution of surface lift schemes according to source of finance. It has been sourced from 2nd census of minor irrigation scheme(1993-94) from Ministry of Water Resources.", 
 "file_name": "srfclftblck5.7.csv", 
 "title": "Download CSV for Blockwise Distribution of surface lift schemes according to finance sources for 2nd census of minor irrigation schemes (1993-94)", 
 "url": "http://data.gov.in/sites/default/files/srfclftblck5.7.csv"
}
-----
"State","District","Block","Government fund","Farmers saving","Loan & Saving","Subsidy & Bank Loan","Subsidy Only","Others","Total"
"ANDHRA PRADESH","CUDDAPAH","KHAJIPET",32,0,0,0,0,0,32
"ANDHRA PRADESH","CUDDAPAH","PEDDAMUDIUM",25,0,0,0,0,0,25
"ANDHRA PRADESH","CUDDAPAH","RAMAPURAM",2,0,0,0,0,0,2
"ANDHRA PRADESH","CUDDAPAH","VALLUR",0,0,0,0,0,0,0
"ANDHRA PRADESH","CUDDAPAH","VONTIMITTA",1,0,0,0,0,0,1
"ANDHRA PRADESH","EAST GODAVARI","ADDATEEGALA",0,0,0,0,0,0,0
"ANDHRA PRADESH","EAST GODAVARI","ATREYAPURAM",13,0,0,0,0,0,13
"ANDHRA PRADESH","EAST GODAVARI","JAGGAMPETA",3,0,0,0,0,0,3
"ANDHRA PRADESH","EAST GODAVARI","KADIAM",0,0,0,0,0,0,0
"ANDHRA PRADESH","EAST GODAVARI","KAJULURU",0,0,0,2,0,0,2
"ANDHRA PRADESH","EAST GODAVARI","KAPILESWARAPURAM",16,0,0,0,0,0,16
"ANDHRA PRADESH","EAST GODAVARI","KARAPA",9,0,2,0,0,0,11
"ANDHRA PRADESH","EAST GODAVARI","KIRLAMPUDI",0,0,0,0,0,0,0
"ANDHRA PRADESH","EAST GODAVARI","PAMARRU",5,0,0,0,0,0,5
"ANDHRA PRADESH","EAST GODAVARI","PEDAPUDI",0,0,1,0,0,0,1
"ANDHRA PRADESH","EAST GODAVARI","PRATHIPADU",10,0,0,0,0,0,10
"ANDHRA PRADESH","EAST GODAVARI","RAJAHMUNDRY RURAL",0,0,0,0,0,0,0
"ANDHRA PRADESH","EAST GODAVARI","RAJAVOMMANGI",0,0,0,0,0,0,0
"ANDHRA PRADESH","EAST GODAVARI","RANGAMPETA",0,0,0,0,0,0,0
"ANDHRA PRADESH","EAST GODAVARI","SAMALKOTA",0,0,0,0,0,0,0
"ANDHRA PRADESH","EAST GODAVARI","THALLAREVU",1,0,0,1,0,0,2
"ANDHRA PRADESH","EAST GODAVARI","Y. RAMAVARAM",0,0,0,0,0,0,0
"ANDHRA PRADESH","GUNTUR","ACHAMPET",38,0,0,0,0,0,38
"ANDHRA PRADESH","GUNTUR","AMARAVATHI",62,0,1,0,0,0,63
"ANDHRA PRADESH","GUNTUR","BAPATLA",44,3,0,0,0,0,47
"ANDHRA PRADESH","GUNTUR","BELLAMKONDA",0,0,3,9,0,0,12
"ANDHRA PRADESH","GUNTUR","BOLLAPALLE",0,0,0,0,0,0,0
"ANDHRA PRADESH","GUNTUR","CHEBROLE",0,0,1,1,0,0,2
"ANDHRA PRADESH","GUNTUR","CHERUKUPALLE",1,0,0,0,0,0,1
"ANDHRA PRADESH","GUNTUR","CHILAKALURIPET",26,0,0,0,0,0,26
"ANDHRA PRADESH","GUNTUR","DACHEPALLE",84,0,3,0,0,0,87
"ANDHRA PRADESH","GUNTUR","EDLAPADU",1,31,0,0,0,0,32
"ANDHRA PRADESH","GUNTUR","GUNTUR",0,0,0,0,0,0,0
"ANDHRA PRADESH","GUNTUR","GURAZALA",24,0,0,0,0,0,24
"ANDHRA PRADESH","GUNTUR","IPUR",0,1,0,0,0,0,1
"ANDHRA PRADESH","GUNTUR","KAKUMANU",0,6,0,0,0,0,6
"ANDHRA PRADESH","GUNTUR","KARLAPALEM",8,17,0,0,0,0,25
"ANDHRA PRADESH","GUNTUR","KOLLUR",9,0,0,0,0,0,9
"ANDHRA PRADESH","GUNTUR","KROSURU",78,0,0,1,0,0,79
"ANDHRA PRADESH","GUNTUR","MACHERLA",3,0,0,0,0,0,3
"ANDHRA PRADESH","GUNTUR","MANGALAGIRI",0,0,0,0,0,0,0
"ANDHRA PRADESH","GUNTUR","MUPPALLA",1,0,12,0,0,0,13
"ANDHRA PRADESH","GUNTUR","NADENDLA",0,16,2,0,0,10,28
"ANDHRA PRADESH","GUNTUR","NAGARAM",0,104,1,1,0,1,107
"ANDHRA PRADESH","GUNTUR","NARASARAOPET",0,0,0,0,0,0,0
"ANDHRA PRADESH","GUNTUR","NIZAMPATNAM",20,3,7,0,0,0,30
"ANDHRA PRADESH","GUNTUR","NUZENDLA",89,0,4,0,0,0,93
"ANDHRA PRADESH","GUNTUR","PEDAKAKANI",0,0,0,2,0,0,2
"ANDHRA PRADESH","GUNTUR","PEDAKURAPADU",0,0,0,3,0,0,3
"ANDHRA PRADESH","GUNTUR","PEDANANDIPADU",0,0,2,0,0,0,2
"ANDHRA PRADESH","GUNTUR","PHIRANGIPURAM",1,0,0,0,0,0,1
"ANDHRA PRADESH","GUNTUR","PITTALAVANIPALEM",17,0,0,0,0,0,17
"ANDHRA PRADESH","GUNTUR","PONNUR",33,0,11,0,0,0,44
"ANDHRA PRADESH","GUNTUR","RAJUPALEM",1,29,17,0,0,0,47
"ANDHRA PRADESH","GUNTUR","REPALLE",7,47,0,0,0,0,54
"ANDHRA PRADESH","GUNTUR","SATTENAPALLE",59,29,0,0,0,0,88
"ANDHRA PRADESH","GUNTUR","SAV'PURAM KANUM'PUDI",20,0,0,0,0,0,20
"ANDHRA PRADESH","GUNTUR","TADEPALLE",62,0,0,2,0,0,64
"ANDHRA PRADESH","GUNTUR","TADIKONDA",39,0,1,0,0,0,40
"ANDHRA PRADESH","GUNTUR","TENALI",0,0,1,0,0,0,1
"ANDHRA PRADESH","GUNTUR","THULLUR",0,0,0,0,0,0,0
"ANDHRA PRADESH","GUNTUR","VATTICHERUKURU",0,2,0,0,0,0,2
"ANDHRA PRADESH","GUNTUR","VEMURU",7,0,0,0,0,0,7
"ANDHRA PRADESH","GUNTUR","VINUKONDA",132,0,1,0,0,0,133
"ANDHRA PRADESH","KARIMNAGAR","CHIGURUMAMIDI",0,0,0,0,0,0,0
"ANDHRA PRADESH","KARIMNAGAR","GAMBHIRAOPET",37,2,1,0,0,0,40
"ANDHRA PRADESH","KARIMNAGAR","KATARAM",0,0,0,0,0,0,0
"ANDHRA PRADESH","KARIMNAGAR","MALHARRAO MANDAL",0,0,0,0,0,0,0
"ANDHRA PRADESH","KARIMNAGAR","MANTHANI",0,0,0,0,0,0,0
"ANDHRA PRADESH","KARIMNAGAR","MANTHANI",65,0,0,0,0,0,65
"ANDHRA PRADESH","KARIMNAGAR","MUSTABAD",25,0,0,28,0,0,53
"ANDHRA PRADESH","KARIMNAGAR","ODELA",6,5,0,0,0,0,11
"ANDHRA PRADESH","KARIMNAGAR","RAIKAL",0,0,0,0,0,0,0
"ANDHRA PRADESH","KARIMNAGAR","SRIRAMPUR",138,0,0,0,0,0,138
"ANDHRA PRADESH","KARIMNAGAR","THIMMAPUR",0,0,0,0,0,0,0
"ANDHRA PRADESH","KARIMNAGAR","VELGATOOR",43,0,0,1,0,0,44
"ANDHRA PRADESH","KHAMMAM","ASWAPURAM",82,0,0,0,0,0,82
"ANDHRA PRADESH","KHAMMAM","ASWARAOPETA",31,0,0,0,0,0,31
"ANDHRA PRADESH","KHAMMAM","BAYYARAM",127,18,0,2,0,0,147
"ANDHRA PRADESH","KHAMMAM","BHADRACHALAM",98,0,0,2,0,0,100
"ANDHRA PRADESH","KHAMMAM","BONAKAL",28,0,5,0,0,0,33
"ANDHRA PRADESH","KHAMMAM","BURGAMPADU",127,0,0,0,0,13,140
"ANDHRA PRADESH","KHAMMAM","CHANDRUGONDA",17,10,9,0,0,0,36
"ANDHRA PRADESH","KHAMMAM","CHERLA",78,6,6,5,0,0,95
"ANDHRA PRADESH","KHAMMAM","CHINTHAKANI",0,0,0,25,0,0,25
"ANDHRA PRADESH","KHAMMAM","CHINTUR",152,0,0,0,0,0,152
"ANDHRA PRADESH","KHAMMAM","DUMMUGUDEM",24,11,0,7,0,0,42
"ANDHRA PRADESH","KHAMMAM","ENKURU",46,2,0,0,0,0,48
"ANDHRA PRADESH","KHAMMAM","GARLA",217,0,0,0,0,0,217
"ANDHRA PRADESH","KHAMMAM","GUNDALA",11,0,0,0,0,0,11
"ANDHRA PRADESH","KHAMMAM","JULURPAD",2,0,0,0,0,0,2
"ANDHRA PRADESH","KHAMMAM","KALLURU",21,0,3,0,0,0,24
"ANDHRA PRADESH","KHAMMAM","KHAMMAM (RURAL)",188,7,0,0,0,0,195
"ANDHRA PRADESH","KHAMMAM","KHAMMAM (URBAN)",6,51,0,0,0,0,57
"ANDHRA PRADESH","KHAMMAM","KOTHAGUDEM",158,3,0,0,0,0,161
"ANDHRA PRADESH","KHAMMAM","KUKUNOOR",131,0,0,0,0,0,131
"ANDHRA PRADESH","KHAMMAM","KUNAVARAM",0,2,511,110,0,0,623
"ANDHRA PRADESH","KHAMMAM","MADHIRA",172,19,4,10,61,0,266
"ANDHRA PRADESH","KHAMMAM","MANUGUR",40,0,0,0,0,0,40
"ANDHRA PRADESH","KHAMMAM","MUDIGONDA",0,0,0,1,0,0,1
"ANDHRA PRADESH","KHAMMAM","MULAKALAPALLE",155,0,0,29,0,0,184
"ANDHRA PRADESH","KHAMMAM","NELAKONDAPALLE",1,0,2,0,0,0,3
"ANDHRA PRADESH","KHAMMAM","PALWANCHA",82,40,120,0,0,0,242
"ANDHRA PRADESH","KHAMMAM","PENUBALLI",19,0,0,2,0,0,21
"ANDHRA PRADESH","KHAMMAM","PINAPAKA",11,0,0,0,0,0,11
"ANDHRA PRADESH","KHAMMAM","SATHUPALLE",35,0,3,0,0,0,38
"ANDHRA PRADESH","KHAMMAM","SINGARENI",0,0,0,2,0,0,2
"ANDHRA PRADESH","KHAMMAM","TEKULAPALLE",115,9,0,0,0,0,124
"ANDHRA PRADESH","KHAMMAM","THALLADA",156,1,11,1,0,0,169
"ANDHRA PRADESH","KHAMMAM","THIRUMALAYAPALEM",1,0,2,0,0,0,3
"ANDHRA PRADESH","KHAMMAM","VARARAMACHANDRAPURAM",216,0,196,0,0,0,412
"ANDHRA PRADESH","KHAMMAM","VELAIRPAD",14,0,0,120,0,0,134
"ANDHRA PRADESH","KHAMMAM","VEMSOOR",1,0,0,0,0,0,1
"ANDHRA PRADESH","KHAMMAM","VENKATAPURAM",60,0,286,5,0,0,351
"ANDHRA PRADESH","KHAMMAM","WAZEED",51,0,23,0,0,0,74
"ANDHRA PRADESH","KHAMMAM","WYRA",65,7,6,0,0,0,78
"ANDHRA PRADESH","KHAMMAM","YERRUPALEM",48,0,0,0,0,0,48
"ANDHRA PRADESH","KRISHNA","AGIRIPALLE",0,0,0,0,0,0,0
"ANDHRA PRADESH","KRISHNA","BAPULAPADU",7,1,0,4,1,0,13
"ANDHRA PRADESH","KRISHNA","CHANDARLAPADU",0,0,0,0,0,0,0
"ANDHRA PRADESH","KRISHNA","CHATRAI",0,0,0,0,0,0,0
"ANDHRA PRADESH","KRISHNA","GAMPALAGUDEM",1,0,0,0,0,0,1
"ANDHRA PRADESH","KRISHNA","GANNAVARAM",0,0,0,0,0,0,0
"ANDHRA PRADESH","KRISHNA","IBRAHIMPATNAM",0,0,0,0,0,0,0
"ANDHRA PRADESH","KRISHNA","JAGGAYYAPETA",0,0,0,0,0,0,0
"ANDHRA PRADESH","KRISHNA","KAIKALUR",7,0,2,1,0,0,10
"ANDHRA PRADESH","KRISHNA","KALIDINDI",0,5,0,0,0,0,5
"ANDHRA PRADESH","KRISHNA","KANCHIKACHERLA",0,0,0,0,0,0,0
"ANDHRA PRADESH","KRISHNA","MANDAVALLI",4,0,0,0,0,0,4
"ANDHRA PRADESH","KRISHNA","MUDINEPALLE",15,6,0,0,0,0,21
"ANDHRA PRADESH","KRISHNA","MUSUNURU",0,0,0,0,0,0,0
"ANDHRA PRADESH","KRISHNA","NAGAYALANKA",0,0,0,0,0,0,0
"ANDHRA PRADESH","KRISHNA","NANDIGAMA",0,0,0,0,0,0,0
"ANDHRA PRADESH","KRISHNA","NANDIVADA",0,0,2,0,0,0,2
"ANDHRA PRADESH","KRISHNA","PAMARRU",1,0,0,0,0,0,1
"ANDHRA PRADESH","KRISHNA","PEDANA",0,0,0,1,0,0,1
"ANDHRA PRADESH","KRISHNA","PENAMALURU",2,0,0,1,0,0,3
"ANDHRA PRADESH","KRISHNA","REDDIGUDEM",0,0,0,0,0,0,0
"ANDHRA PRADESH","KRISHNA","TIRUVURU",0,0,0,0,0,0,0
"ANDHRA PRADESH","KRISHNA","UNGUTURU",1,0,2,0,0,0,3
"ANDHRA PRADESH","KRISHNA","VATSAVAI",0,0,0,0,0,0,0
"ANDHRA PRADESH","KRISHNA","VEERULLAPADU",0,0,0,0,0,0,0
"ANDHRA PRADESH","KRISHNA","VIJAYAWADA (URBAN)",0,0,0,0,0,0,0
"ANDHRA PRADESH","KRISHNA","VISSANNAPET",0,0,0,0,0,0,0
"ANDHRA PRADESH","KURNOOL","ADONI",57,0,2,0,0,0,59
"ANDHRA PRADESH","KURNOOL","BANAGANAPALLE",0,0,0,0,0,0,0
"ANDHRA PRADESH","KURNOOL","BANDI ATMAKUR",119,1,0,22,0,0,142
"ANDHRA PRADESH","KURNOOL","C.BELAGAL",152,0,0,1,0,0,153
"ANDHRA PRADESH","KURNOOL","DORNIPADU",8,2,1,0,0,0,11
"ANDHRA PRADESH","KURNOOL","GOSPADU",48,0,0,0,0,0,48
"ANDHRA PRADESH","KURNOOL","HALAHARVI",1,0,0,42,0,0,43
"ANDHRA PRADESH","KURNOOL","HOLAGUNDA",51,0,0,0,0,0,51
"ANDHRA PRADESH","KURNOOL","KOILKUNTLA",236,13,5,0,0,2,256
"ANDHRA PRADESH","KURNOOL","KOSIGI",61,1,0,0,0,3,65
"ANDHRA PRADESH","KURNOOL","KOTHAPALLE",0,0,0,0,11,5,16
"ANDHRA PRADESH","KURNOOL","KOWTHALAM",66,1,0,0,0,0,67
"ANDHRA PRADESH","KURNOOL","MAHANANDI",8,0,0,0,0,0,8
"ANDHRA PRADESH","KURNOOL","MANTRALAYAM",94,0,0,0,0,0,94
"ANDHRA PRADESH","KURNOOL","NANDAVARAM",195,5,0,2,0,0,202
"ANDHRA PRADESH","KURNOOL","NANDYAL",71,9,0,0,0,0,80
"ANDHRA PRADESH","KURNOOL","PANYAM",31,0,13,0,0,0,44
"ANDHRA PRADESH","KURNOOL","UYYALAWADA",241,0,0,0,0,0,241
"ANDHRA PRADESH","MAHABOOB NAGAR","AIZA",92,0,0,2,0,0,94
"ANDHRA PRADESH","MAHABOOB NAGAR","ALAMPUR",6,0,0,0,0,0,6
"ANDHRA PRADESH","MAHABOOB NAGAR","ATMAKUR",61,141,0,0,0,0,202
"ANDHRA PRADESH","MAHABOOB NAGAR","GADWAL",95,0,0,0,0,0,95
"ANDHRA PRADESH","MAHABOOB NAGAR","ITIKYAL",5,0,0,0,0,0,5
"ANDHRA PRADESH","MAHABOOB NAGAR","MAGANOOR",2,0,0,0,0,0,2
"ANDHRA PRADESH","MAHABOOB NAGAR","MAKTHAL",6,0,0,0,0,0,6
"ANDHRA PRADESH","MAHABOOB NAGAR","MANOPADU",162,17,0,6,0,0,185
"ANDHRA PRADESH","MAHABOOB NAGAR","PEBBAIR",0,0,0,9,0,0,9
"ANDHRA PRADESH","MAHABOOB NAGAR","VEEPANGANDLA",0,0,0,0,0,0,0
"ANDHRA PRADESH","MAHABOOB NAGAR","WADDEPALLE",46,201,22,4,0,0,273
"ANDHRA PRADESH","MEDAK","ANDOLE",24,0,0,0,0,0,24
"ANDHRA PRADESH","MEDAK","PAPANNAPET",44,0,27,0,44,0,115
"ANDHRA PRADESH","MEDAK","SHANKARAMPET[A]",88,0,0,1,0,1,90
"ANDHRA PRADESH","NALGONDA","ANUMULA",0,0,0,0,0,0,0
"ANDHRA PRADESH","NALGONDA","CHILKUR",88,0,0,0,0,0,88
"ANDHRA PRADESH","NALGONDA","DAMERACHERLA",16,0,7,0,0,0,23
"ANDHRA PRADESH","NALGONDA","DEVARAKONDA",9,0,0,0,0,0,9
"ANDHRA PRADESH","NALGONDA","GARIDE PALLE",197,0,0,0,0,0,197
"ANDHRA PRADESH","NALGONDA","HUZURNAGAR",218,1,1,0,0,0,220
"ANDHRA PRADESH","NALGONDA","KETHE PALLE",1,0,0,0,0,0,1
"ANDHRA PRADESH","NALGONDA","KODAD",165,27,4,1,0,0,197
"ANDHRA PRADESH","NALGONDA","MATTAM PALLE",8,104,4,1,0,0,117
"ANDHRA PRADESH","NALGONDA","MELLA CHERVU",1,125,2,0,0,0,128
"ANDHRA PRADESH","NALGONDA","MIRYALAGUDA",136,8,13,6,0,0,163
"ANDHRA PRADESH","NALGONDA","MOTHEY",1,0,0,0,0,0,1
"ANDHRA PRADESH","NALGONDA","MUNAGALA",0,0,0,0,0,2,2
"ANDHRA PRADESH","NALGONDA","NEREDCHERLA",135,0,0,0,0,0,135
"ANDHRA PRADESH","NALGONDA","NIDAMANOOR",64,0,0,0,0,0,64
"ANDHRA PRADESH","NALGONDA","PEDDAVOORA",13,0,0,253,0,0,266
"ANDHRA PRADESH","NALGONDA","PENPAHAD",3,11,1,1,0,0,16
"ANDHRA PRADESH","NALGONDA","THRIPURARAM",32,0,0,0,0,0,32
"ANDHRA PRADESH","NALGONDA","VEMULA PALLE",1,0,9,1,1,0,12
"ANDHRA PRADESH","NELLORE","ALLUR",0,61,10,0,0,0,71
"ANDHRA PRADESH","NELLORE","ANANTHASAGARAM",11,0,1,0,0,0,12
"ANDHRA PRADESH","NELLORE","ANUMASAMUDRAMPETA",42,0,0,0,0,0,42
"ANDHRA PRADESH","NELLORE","ATMAKUR",60,0,1,4,0,0,65
"ANDHRA PRADESH","NELLORE","BALAYAPALLE",255,1,7,1,0,0,264
"ANDHRA PRADESH","NELLORE","BUT'PALEM (VAVVERU)",5,0,0,12,0,0,17
"ANDHRA PRADESH","NELLORE","CHEJERLA",74,0,4,0,0,0,78
"ANDHRA PRADESH","NELLORE","CHILLAKUR",138,0,0,0,0,0,138
"ANDHRA PRADESH","NELLORE","DAGADARTHI",1,0,0,0,0,0,1
"ANDHRA PRADESH","NELLORE","DAKKILI",179,0,12,14,0,0,205
"ANDHRA PRADESH","NELLORE","DUTTALUR",35,0,1,0,0,0,36
"ANDHRA PRADESH","NELLORE","GUDUR",0,0,0,6,0,0,6
"ANDHRA PRADESH","NELLORE","KALIGIRI",0,0,1,0,0,0,1
"ANDHRA PRADESH","NELLORE","KALUVOYA",0,31,0,0,4,19,54
"ANDHRA PRADESH","NELLORE","KAVALI",33,0,0,0,0,0,33
"ANDHRA PRADESH","NELLORE","KODAVALUR",45,1,0,0,0,0,46
"ANDHRA PRADESH","NELLORE","KONDAPURAM",41,1,2,0,0,0,44
"ANDHRA PRADESH","NELLORE","KOTA",14,0,0,0,0,0,14
"ANDHRA PRADESH","NELLORE","MANUBOLU",4,0,0,0,0,0,4
"ANDHRA PRADESH","NELLORE","MARRIPADU",95,3,0,0,0,0,98
"ANDHRA PRADESH","NELLORE","NELLORE",160,0,1,0,0,0,161
"ANDHRA PRADESH","NELLORE","PODALAKUR",264,21,20,0,0,0,305
"ANDHRA PRADESH","NELLORE","RAPUR",31,0,0,0,0,0,31
"ANDHRA PRADESH","NELLORE","SANGAM",42,60,15,0,0,0,117
"ANDHRA PRADESH","NELLORE","SULLURPETA",54,0,0,0,0,0,54
"ANDHRA PRADESH","NELLORE","SYDAPURAM",102,13,1,0,1,0,117
"ANDHRA PRADESH","NELLORE","TADA",126,0,18,0,0,0,144
"ANDHRA PRADESH","NELLORE","VARIKUNTAPADU",4,0,0,0,0,0,4
"ANDHRA PRADESH","NELLORE","VENKATACHALAM",43,0,2,1,0,0,46
"ANDHRA PRADESH","NELLORE","VENKATAGIRI",44,119,0,2,0,0,165
"ANDHRA PRADESH","NELLORE","VIDAVULUR",40,1,0,5,0,0,46
"ANDHRA PRADESH","NELLORE","VINJAMUR",35,2,3,0,0,0,40
"ANDHRA PRADESH","NIZAMABAD","BANSWADA",98,53,0,0,0,0,151
"ANDHRA PRADESH","NIZAMABAD","BICHKUNDA",67,17,2,1,0,0,87
"ANDHRA PRADESH","NIZAMABAD","BIRKOOR",21,13,0,0,0,0,34
"ANDHRA PRADESH","NIZAMABAD","BODHAN",42,0,2,1,0,0,45
"ANDHRA PRADESH","NIZAMABAD","JUKKAL",9,7,0,1,0,0,17
"ANDHRA PRADESH","NIZAMABAD","KOTGIRI",34,25,1,7,0,0,67
"ANDHRA PRADESH","NIZAMABAD","LINGAMPET",117,8,0,1,0,0,126
"ANDHRA PRADESH","NIZAMABAD","MORTAD",29,21,0,0,39,22,111
"ANDHRA PRADESH","NIZAMABAD","NAGAREDDIPET",95,38,7,1,0,0,141
"ANDHRA PRADESH","NIZAMABAD","NIZAMSAGAR",173,27,30,0,0,0,230
"ANDHRA PRADESH","NIZAMABAD","PITLAM",105,44,12,1,0,0,162
"ANDHRA PRADESH","NIZAMABAD","YELLAREDDY",160,3,0,0,0,0,163
"ANDHRA PRADESH","PRAKASAM","ADDANKI",47,2,5,2,0,0,56
"ANDHRA PRADESH","PRAKASAM","ARDHAVEEDU",12,0,0,0,0,0,12
"ANDHRA PRADESH","PRAKASAM","BALLIKURAVA",0,0,0,0,0,2,2
"ANDHRA PRADESH","PRAKASAM","C.SEKHARA PURAM",0,84,0,1,0,0,85
"ANDHRA PRADESH","PRAKASAM","CHIMAKURTHI",2,0,1,0,0,0,3
"ANDHRA PRADESH","PRAKASAM","CHINAGANJAM",2,2,1,0,0,0,5
"ANDHRA PRADESH","PRAKASAM","CHIRALA",0,6,0,1,0,0,7
"ANDHRA PRADESH","PRAKASAM","DONAKONDA",9,0,0,0,0,0,9
"ANDHRA PRADESH","PRAKASAM","INKOLLU",14,0,1,1,0,0,16
"ANDHRA PRADESH","PRAKASAM","JANAKAVARAMPANGULURU",14,0,1,0,0,0,15
"ANDHRA PRADESH","PRAKASAM","KANDUKUR",0,0,0,5,0,0,5
"ANDHRA PRADESH","PRAKASAM","KANIGIRI",16,0,0,0,0,0,16
"ANDHRA PRADESH","PRAKASAM","KARAMCHEDU",3,1,0,31,2,0,37
"ANDHRA PRADESH","PRAKASAM","KONAKANAMITLA",16,0,0,0,0,0,16
"ANDHRA PRADESH","PRAKASAM","KONDAPI",21,0,14,0,0,0,35
"ANDHRA PRADESH","PRAKASAM","KORISAPADU",0,27,0,0,0,0,27
"ANDHRA PRADESH","PRAKASAM","KOTHA PATNAM",6,1,1,0,0,0,8
"ANDHRA PRADESH","PRAKASAM","KURICHEDU",0,0,0,2,0,0,2
"ANDHRA PRADESH","PRAKASAM","LINGASAMUDRAM",0,0,2,0,0,0,2
"ANDHRA PRADESH","PRAKASAM","MADDIPADU",85,2,11,2,0,0,100
"ANDHRA PRADESH","PRAKASAM","MARKAPUR",0,0,0,1,0,0,1
"ANDHRA PRADESH","PRAKASAM","MARTUR",1,14,0,0,0,0,15
"ANDHRA PRADESH","PRAKASAM","MUNDLAMURU",15,0,4,4,0,0,23
"ANDHRA PRADESH","PRAKASAM","NAGULUPPALA PADU",6,1,10,0,0,0,17
"ANDHRA PRADESH","PRAKASAM","ONGOLE",0,13,0,0,0,0,13
"ANDHRA PRADESH","PRAKASAM","PAMUR",37,1,0,0,0,0,38
"ANDHRA PRADESH","PRAKASAM","PARCHUR",23,0,0,10,0,0,33
"ANDHRA PRADESH","PRAKASAM","PEDACHERLO PALLE",73,2,2,0,0,0,77
"ANDHRA PRADESH","PRAKASAM","PODILI",15,1,0,0,0,0,16
"ANDHRA PRADESH","PRAKASAM","PONNALUR",9,0,3,1,0,0,13
"ANDHRA PRADESH","PRAKASAM","SANTHAMAGULURU",14,0,26,0,0,0,40
"ANDHRA PRADESH","PRAKASAM","SANTHANUTHALA PADU",12,0,14,0,0,0,26
"ANDHRA PRADESH","PRAKASAM","SINGARAYA KONDA",0,0,1,1,0,0,2
"ANDHRA PRADESH","PRAKASAM","TANGUTUR",18,4,5,4,0,0,31
