-----
{
 "description": "The table shows the Budgetary Transactions of the Central and State Governments & Union Territories of India for the years 1980-81, 1990-91, 2000-01, 2007-08, 2008-09, 2009-10, 2010-11 and 2011-12. It gives details of various Budgetary Transactions such as Total Outlay, Current Revenues, Non-Tax ...", 
"  A.  TAX REVENUE",19844.0,87723.0,305320.0,870329.0,915449.99,1000843.73,1160267.14,1263268.48,1494498.17
"      1. Income and corporation tax",2817.0,10712.0,67460.0,304732.0,319470.34,367142.0,421899.67,437946.0,524519.0
"      2. Customs",3409.0,20644.0,47542.0,104119.0,99878.86,83324.0,115000.0,131800.0,151700.0
"      3. Union excise duties",6500.0,24514.0,68526.0,123611.0,108612.78,102991.0,132000.0,137263.0,163550.0
"      4. Sales tax",4018.0,18228.0,72874.0,167731.0,190816.72,231460.92,246877.91,296240.13,350874.15
"      5. Others",3100.0,13625.0,48918.0,170136.0,196671.29,215925.81,244489.56,260019.35,303855.02
"  B. NON-TAX REVENUE3",4719.0,22884.0,87964.0,254514.0,284641.0,320570.0,412291.0,454175.0,403610.0
"      (Internal resources of public","","","","","","","","",""
"      sector undertakings for the Plan)","(1374)","(11183)","(39415)","(69740)","(150463)","(160538)","(209759)","(184323)","(228509)"
"III. GAP (I-II)",12282.0,65941.0,222374.0,307117.0,521560.24,749545.69,719952.15,741398.73,796036.86
"FINANCED BY:",12282.0,65941.0,222374.0,307118.0,521559.95,749545.0,719951.56,741399.95,796036.57
"IV  NET CAPITAL RECEIPTS","","","","","","","","",""
"     (A+B)",8831.0,54455.0,223283.0,319548.0,374212.03,751948.55,701617.03,717137.82,767261.0
"  A.  INTERNAL (net)",7161.0,50192.0,214965.0,307574.0,360403.03,737770.0,677093.03,692118.0,750588.0
"      1. Net market loans4",3163.0,11308.0,85341.0,199708.0,319330.0,531493.0,491271.0,455433.0,496266.0
"      2. Net small savings",1121.0,8309.0,8192.0,-174.0,-4064.86,26030.0,17151.68,18859.0,25579.0
"      3. Net State and public provident","","","","","","","","",""
"          funds",558.0,3887.0,23661.0,31565.0,137026.76,44413.0,33424.68,34996.0,33728.0
"      4. Special deposits of non-","","","","","","","","",""
"          Government provident funds",604.0,6721.0,7177.0,-1246.0,-2332.87,0.0,0.0,0.0,0.0
"      5. Special borrowings from","","","","","","","","",""
"          RBI against compulsory",-70.0,-105.0,0.0,"na","na","na","na","na","na"
"          deposits","","","","","","","","",""
"      6. Net misc. capital receipts5",1785.0,20072.0,90594.0,77721.0,-89556.0,135834.0,135245.67,182830.0,195015.0
"  B.  EXTERNAL6",1670.0,4263.0,8318.0,11974.0,13809.0,14178.55,24524.0,25019.82,16673.0
"      1. Net loans ",749.0,3181.0,7505.0,9316.0,11015.0,11037.55,22464.0,22263.82,14500.0
"         (i) Gross",1141.0,5339.0,17328.0,16809.0,21022.0,22177.2,34735.0,33947.06,26820.13
"         (ii) Less repayments",392.0,2158.0,9823.0,7493.0,10007.0,11139.65,12271.0,11683.24,12320.13
"      2. Grants",436.0,586.0,813.0,2658.0,2794.0,3141.0,2060.0,2756.0,2173.0
"      3. Net special credit",-53.0,-76.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"V. OVERALL BUDGETARY DEFICIT",3451.0,11486.0,-909.0,-12430.0,147347.92,-2403.55,18334.53,24262.13,28775.57
"Source : Economic Division, Department of Economic Affairs, Ministry of Finance.","","","","","","","","",""
"na  Not available     RE: Revised Estimates    BE: Budget Estimates. ","","","","","","","","",""
"Notes:","","","","","","","","",""
"1.    Includes plan expenditure of Railways, Communications and non-departmental commercial undertakings financed out of their internal and extra","","","","","","","","",""
"      budgetary resources, including market borrowings and term loans from financial institutions to State Government public enterprises. Also includes","","","","","","","","",""
"      developmental loans given by the Central and State Governments to non-departmental undertakings, local bodies and other parties. However, it","","","","","","","","",""
"      excludes a notional amount of `45 crore in 1980-81 on account of conversion of loan capital given to non-departmental commercial undertakings","","","","","","","","",""
"      into equity capital.","","","","","","","","",""
"2.   Includes general administration, pensions and ex-gratia payments to  famine relief (only non-plan portion), subsidies on food and  controlled cloth, grants and loans to foreign countries and loans for non-developmental purpose to other parties, but excludes Contingency    Fund transactions. It also excludes notional transactions in respect of subscriptions to International Monetary Fund of ` 559 crore in 1980-81, ` 550 crore in 1990-1991, ` 629 crore in 2000-2001, nil in 2007-08,  `1444 crore in 2008-09, `3654 crore in 2009-10, nil in 2010-11(RE)  and  `8768 crore in  2011-12(BE).","","","","","","","","",""
"3.    Includes internal resources of Railways, Communications and non-departmental commercial undertakings for the plan.","","","","","","","","",""
"4.    Includes market borrowings of State Government public enterprises.","","","","","","","","",""
"5.    Excludes the notional receipts on account of repayments of loans by non-departmental commercial undertakings due to their conversion into","","","","","","","","",""
"       equity capital. It also excludes notional transactions in respect of International Monetary Fund and Contingency Fund transactions.","","","","","","","","",""
"6.  ` 538 crore for loans from IMF Trust Fund are included in 1980-81 under external loans and an amount of ` 572 crores for revolving fund is included in External loans for 1990-91.","","","","","","","","",""
