-----
{
 "description": "The table refers to district wise irrigation potential utilised under surface flow schemes. It has been sourced from 2nd census of minor irrigation scheme(1993-94) from Ministry of Water Resources.", 
 "file_name": "Statetab4.12.csv", 
 "title": "Download CSV for Districtwise Irrigation potential utilised under Surface Flow Schemes for 2nd census of Minor Irrigation Schemes (1993-94)", 
 "url": "http://data.gov.in/sites/default/files/Statetab4.12.csv"
}
-----
State,District,Actual area irrigated (Ha) - Kharif,Actual area irrigated (Ha) - Rabi,Actual area irrigated (Ha) - Perennial,Actual area irrigated (Ha) - Others,Total
HARYANA,MEHANDERGARH,NA,NA,NA,NA,NA
HARYANA,PANCHKULA,118,128,0,0,246
HARYANA,PANIPAT,NA,NA,NA,NA,NA
HARYANA,RIWARI,NA,NA,NA,NA,NA
HARYANA,ROHTAK,NA,NA,NA,NA,NA
HARYANA,SIRSA,NA,NA,NA,NA,NA
HARYANA,SONIPAT,NA,NA,NA,NA,NA
HARYANA,YAMUNA NAGAR,NA,NA,NA,NA,NA
HIMACHAL PRADESH,Bilaspur,2059,2054,1,0,4114
HIMACHAL PRADESH,Chamba,3394,3027,5,0,6426
HIMACHAL PRADESH,Hamirpur,727,718,6,0,1451
HIMACHAL PRADESH,Kangra,30429,29931,503,31,60894
HIMACHAL PRADESH,Kinnaur,3065,1781,815,0,5661
HIMACHAL PRADESH,Kullu,1584,518,0,0,2102
HIMACHAL PRADESH,Lahul & Spiti,1038,2159,0,0,3197
HIMACHAL PRADESH,Mandi,11748,11082,50,1,22881
HIMACHAL PRADESH,Shimla,3074,1962,68,5,5109
HIMACHAL PRADESH,Sirmaur,7373,6793,173,6,14345
HIMACHAL PRADESH,Solan,5663,5414,59,9,11145
HIMACHAL PRADESH,Una,258,406,2,0,666
JAMMU & KASHMIR,Anantnagh,59013,17000,0,0,76013
JAMMU & KASHMIR,Baramulla,97913,1799,0,0,99712
JAMMU & KASHMIR,Budgam,12370,2300,0,0,14670
JAMMU & KASHMIR,Doda,5030,4900,0,0,9930
JAMMU & KASHMIR,Jammu,100,80,0,0,180
JAMMU & KASHMIR,Kargil,682,6530,0,0,7212
JAMMU & KASHMIR,Kathua,3500,3412,0,0,6912
JAMMU & KASHMIR,Kupwara,812,0,0,0,812
JAMMU & KASHMIR,Leh,615,9000,0,0,9615
JAMMU & KASHMIR,Poonch,811,0,0,0,811
JAMMU & KASHMIR,Pulwama,27000,12512,0,0,39512
JAMMU & KASHMIR,Rajouri,2514,0,2200,0,4714
JAMMU & KASHMIR,Srinagar,15212,2000,0,0,17212
JAMMU & KASHMIR,Udhampur,4140,3895,0,0,8035
KARNATAKA,BANGALORE RURAL,4402.1,956.82,597.13,252.21,6208.26
KARNATAKA,BANGALORE URBAN,541.72,312.59,137.28,9.74,1001.33
KARNATAKA,BELGAUM,7973.14,2048.52,2257.04,49.07,12327.77
KARNATAKA,BELLARY,2790.53,1441.77,35.51,196.99,4464.8
KARNATAKA,BIDAR,7357.49,7095.89,101.7,1.3,14556.38
KARNATAKA,BIJAPUR,3816.86,3619.27,2621.89,802.28,10860.3
KARNATAKA,CHIKKAMAGALORE,3020.37,751.41,1852.25,1214.7,6838.73
KARNATAKA,CHITRADURGA,656.34,419.64,47.93,514.95,1638.86
KARNATAKA,DAKSHINA KANNADA,289.16,1511.21,1176.3,85.25,3061.92
KARNATAKA,DHARWAR,7017.66,2620.66,515.8,951.12,11105.24
KARNATAKA,GULBARGA,8001.66,4341.9,236.25,98,12677.81
KARNATAKA,HASSAN,14840.39,5633.39,2661.72,392.64,23528.14
KARNATAKA,KODAGU,515.51,147.87,0,0.5,663.88
KARNATAKA,KOLAR,14147.67,3946.74,352.22,115.77,18562.4
KARNATAKA,MANDYA,967.28,1007.09,573.61,15.29,2563.27
KARNATAKA,MYSORE,11924.24,1663.84,100.67,338.77,14027.52
KARNATAKA,RAICHUR,2718.08,2265.8,60.91,131.4,5176.19
KARNATAKA,SHIMOGA,13693.2,902.87,1578.98,413.09,16588.14
KARNATAKA,TUMKUR,5129.86,424.46,336.6,642.2,6533.12
KARNATAKA,UTTARA KANNADA,2628.42,1225.25,290.27,62.65,4206.59
KERALA,ALAPUZHA,462,344,9,87,902
KERALA,ERANAKULAM,9897,7589,1495,1204,20185
KERALA,IDUKKI,1799,1448,1268,1600,6115
KERALA,KANNUR,2657,3515,1509,535,8216
KERALA,KASARAGODE,2156,2215,1281,486,6138
KERALA,KOLLAM,4712,3656,444,22,8834
KERALA,KOTTAYAM,4298,8165,470,170,13103
KERALA,KOZHIKODE,1508,1428,1438,691,5065
KERALA,MALAPPURAM,4407,5576,2097,807,12887
KERALA,PALAKKAD,9405,10096,657,1064,21222
KERALA,PATHANAMTHITTA,2406,2543,501,585,6035
KERALA,THIRUVANANTHAPURAM,11939,10260,6915,3716,32830
KERALA,THRISSUR,15968,24873,5389,5765,51995
KERALA,WAYANAD,3147,1953,276,556,5932
MADHYA PRADESH,BALAGHAT,30513,3951,198,248,34910
MADHYA PRADESH,BASTAR,3769,712,0,0,4481
MADHYA PRADESH,BETUL,71,5129,0,0,5200
MADHYA PRADESH,BHIND,0,0,0,0,0
MADHYA PRADESH,BHOPAL,0,361,0,0,361
MADHYA PRADESH,BILASPUR,35802,11354,3,22,47181
MADHYA PRADESH,CHHATARPUR,24,5506,0,3,5533
MADHYA PRADESH,CHHINDWARA,1559,2227,10,7,3803
MADHYA PRADESH,DAMOH,1945,7110,2,0,9057
MADHYA PRADESH,DATIA,0,14,0,0,14
MADHYA PRADESH,DEWAS,17,1900,5,1,1923
MADHYA PRADESH,DHAR,863,2959,21,0,3843
MADHYA PRADESH,DURG,28763,432,1,5,29201
MADHYA PRADESH,GUNA,35,4166,0,0,4201
MADHYA PRADESH,GWALIOR,451,1738,0,0,2189
MADHYA PRADESH,HOSHANGABAD,0,198,0,0,198
MADHYA PRADESH,INDORE,8,1231,0,0,1239
MADHYA PRADESH,JABALPUR,1158,2566,10,0,3734
MADHYA PRADESH,JHABUA,363,6593,5670,133,12759
MADHYA PRADESH,KHANDWA,179,812,87,92,1170
MADHYA PRADESH,KHARGONE,3760,5016,29,0,8805
MADHYA PRADESH,MANDLA,288,2178,59,0,2525
MADHYA PRADESH,MANDSAUR,116,1055,8,0,1179
MADHYA PRADESH,MORENA,60,2760,0,0,2820
MADHYA PRADESH,NARSIMHAPUR,91,1428,0,0,1519
MADHYA PRADESH,PANNA,1272,9246,0,0,10518
MADHYA PRADESH,RAIGARH,48399,11273,119,23,59814
MADHYA PRADESH,RAIPUR,44994,3760,67,0,48821
MADHYA PRADESH,RAISEN,0,2687,0,0,2687
MADHYA PRADESH,RAJGARH,0,1412,0,0,1412
MADHYA PRADESH,RAJNANDGAON,16582,419,8,0,17009
MADHYA PRADESH,RATLAM,239,2185,1,0,2425
MADHYA PRADESH,REWA,76,12337,0,0,12413
MADHYA PRADESH,SAGAR,0,3293,0,0,3293
MADHYA PRADESH,SATNA,157,4219,25,0,4401
MADHYA PRADESH,SEHORE,28,3767,711,0,4506
MADHYA PRADESH,SEONI,3311,738,6,0,4055
MADHYA PRADESH,SHAHDOL,2003,13153,0,0,15156
MADHYA PRADESH,SHAJAPUR,101,9464,27,2,9594
MADHYA PRADESH,SHIVPURI,0,5567,0,0,5567
MADHYA PRADESH,SIDHI,658,7176,0,0,7834
MADHYA PRADESH,SURGUJA,11015,11181,1394,394,23984
MADHYA PRADESH,TIKAMGARH,83,3677,0,0,3760
MADHYA PRADESH,UJJAIN,69,1861,12,0,1942
MADHYA PRADESH,VIDISHA,0,1783,0,0,1783
MAHARASHTRA,,NA,NA,NA,NA,NA
MANIPUR,BISHNUPUR,1740,336,0,78,2154
MANIPUR,CHANDEL,555,330,0,0,885
MANIPUR,CHURACHANDPUR,1646,832,0,0,2478
MANIPUR,IMPHAL,1793,140,0,72,2005
MANIPUR,SENAPATI,684,669,0,0,1353
MANIPUR,TAMENGLONG,336,262,0,0,598
MANIPUR,THOUBAL,4851,549,0,491,5891
MANIPUR,UKHRUL,458,282,0,0,740
MEGHALAYA,EAST GARO HILLS,5923,1168,62,406,7559
MEGHALAYA,EAST KHASI HILLS,1983,461,874,19,3337
MEGHALAYA,JAINTIA HILLS,5414,2756,734,218,9122
MEGHALAYA,RI BHOI DISTRICT,4528,741,3,110,5382
MEGHALAYA,SOUTH GARO HILLS,905,514,0,0,1419
MEGHALAYA,WEST GARO HILLS,3901,1092,76,53,5122
MEGHALAYA,WEST KHASI HILLS,9074,686,19,14,9793
MIZORAM,AIZAWL,4184,609,1,0,4794
MIZORAM,CHHIMTUIPUI,174,100,5,0,279
MIZORAM,LUNGLEI,341,7,138,0,486
NAGALAND,KOHIMA,14634,50,0,0,14684
NAGALAND,MOKOKCHUNG,4825,149,57,9,5040
NAGALAND,MON,1416,5,0,0,1421
NAGALAND,PHEK,9321,19,0,0,9340
NAGALAND,TUENSANG,3996,1,0,0,3997
NAGALAND,WOKHA,2143,18,0,0,2161
NAGALAND,ZUNHEBOTO,1443,2,0,0,1445
ORISSA,ANGUL,8202,2093,105,325,10725
ORISSA,BALASORE,4833,273,0,0,5106
ORISSA,BARAGARH,28461,2586,76,15,31138
ORISSA,BHADRAK,135,549,0,0,684
ORISSA,BOLANGIR,25790,1988,58,0,27836
ORISSA,BOUDH,4131,139,1,0,4271
ORISSA,CUTTACK,6969,2108,277,5,9359
ORISSA,DEOGARH,1953,297,32,2,2284
ORISSA,DHENKANAL,9277,2072,80,1,11430
ORISSA,GAJAPATI,16229,1385,42,0,17656
ORISSA,GANJAM,121154,9572,949,114,131789
ORISSA,JAGATSINGHPUR,2000,14,0,0,2014
ORISSA,JAJPUR,4179,832,2,25,5038
ORISSA,JHARSUGUDA,2933,1105,13,0,4051
ORISSA,KALAHANDI,11833,1800,88,43,13764
ORISSA,KENDRAPARA,7,139,0,0,146
ORISSA,KEONJHAR,11448,1934,12,15,13409
ORISSA,KHURDA,6351,1135,183,6,7675
ORISSA,KORAPUT,13886,5870,287,5,20048
ORISSA,MALKANGIRI,373,126,10,0,509
ORISSA,MAYURBHANJ,25293,2299,4,1,27597
ORISSA,NAYAGARH,4289,922,295,758,6264
ORISSA,NOWRANGPUR,3570,884,14,0,4468
ORISSA,NUAPADA,12482,625,7,32,13146
ORISSA,PHULBANI,3630,283,1,0,3914
ORISSA,PURI,87,3765,96,9,3957
ORISSA,RAYAGADA,22917,2014,106,33,25070
ORISSA,SAMBALPUR,8339,1159,51,16,9565
ORISSA,SONEPUR,6463,449,2,0,6914
ORISSA,SUNDARGARH,10032,1057,19,288,11396
PUNJAB,AMRITSAR,45,45,0,0,90
PUNJAB,BATHINDA,11,11,0,0,22
PUNJAB,FARIDKOT,NA,NA,NA,NA,NA
PUNJAB,FATEHGARH SAHIB,4,4,0,0,8
PUNJAB,FEROZEPUR,NA,NA,NA,NA,NA
PUNJAB,GURDASPUR,175,128,0,0,303
PUNJAB,HOSHIARPUR,670,1303,26,50,2049
PUNJAB,JALANDHAR,NA,NA,NA,NA,NA
PUNJAB,KAPURTHALA,NA,NA,NA,NA,NA
PUNJAB,LUDHIANA,NA,NA,NA,NA,NA
PUNJAB,MANSA,NA,NA,NA,NA,NA
PUNJAB,PATIALA,NA,NA,NA,NA,NA
PUNJAB,ROPAR,434,693,8,1,1136
PUNJAB,SANGRUR,299,299,0,0,598
RAJASTHAN,AJMER,3555,10366,16,0,13937
RAJASTHAN,ALWAR,NA,NA,NA,NA,NA
RAJASTHAN,BANSWARA,174,6194,5,0,6373
RAJASTHAN,BARAN,1838,4097,0,0,5935
RAJASTHAN,BARMER,NA,NA,NA,NA,NA
RAJASTHAN,BHARATPUR,0,65,0,0,65
RAJASTHAN,BHILWARA,0,10372,0,0,10372
RAJASTHAN,BIKANER,0,0,0,0,0
RAJASTHAN,BUNDI,90,2662,0,0,2752
RAJASTHAN,CHITTORGARH,0,1891,0,0,1891
RAJASTHAN,CHURU,0,1,0,0,1
RAJASTHAN,DAUSA,0,1696,0,0,1696
RAJASTHAN,DHOLPUR,0,1210,0,0,1210
RAJASTHAN,DUNGARPUR,1140,5167,21,110,6438
RAJASTHAN,GANGANAGAR,NA,NA,NA,NA,NA
RAJASTHAN,HANUMANGARH,NA,NA,NA,NA,NA
RAJASTHAN,JAIPUR,85,1752,0,33,1870
RAJASTHAN,JAISALMER,NA,NA,NA,NA,NA
RAJASTHAN,JALORE,0,127,0,0,127
RAJASTHAN,JHALAWAR,0,2441,0,0,2441
RAJASTHAN,JHUNJHNU,23,192,0,0,215
RAJASTHAN,JODHPUR,0,617,0,0,617
RAJASTHAN,KOTA,0,1727,0,0,1727
RAJASTHAN,NAGAUR,0,920,0,0,920
RAJASTHAN,PALI,0,10087,0,0,10087
RAJASTHAN,RAJSAMAND,32,3246,0,0,3278
RAJASTHAN,SAWAI-MADHOPUR,0,5073,0,0,5073
RAJASTHAN,SIKAR,11,153,0,12,176
RAJASTHAN,SIROHI,17,4040,0,0,4057
RAJASTHAN,TONK,4579,13903,0,0,18482
RAJASTHAN,UDAIPUR,340,5501,3,0,5844
SIKKIM,EAST SIKKIM,3607,1709,649,300,6265
SIKKIM,NORTH SIKKIM,434,236,70,55,795
SIKKIM,SOUTH SIKKIM,1919,1018,223,115,3275
SIKKIM,WEST SIKKIM,1154,681,285,48,2168
TAMIL NADU,COIMBATORE,94.17,0.55,9.65,0,104.37
TAMIL NADU,CUDDALORE,2801.81,5865.71,52.09,845.33,9564.94
TAMIL NADU,DHARMAPURI,7011.72,7960.11,22506.69,1423.96,38902.48
TAMIL NADU,DINDIGUL,102.62,5649.55,1259.35,1841.5,8853.02
TAMIL NADU,ERODE,591.93,381.34,57.45,364.13,1394.85
TAMIL NADU,KANCHIPURAM,7812.89,8500.45,674.02,1937.48,18924.84
TAMIL NADU,KANNIYAKUMARI,18935.61,18931.17,8023.26,669.63,46559.67
TAMIL NADU,KARUR,220.24,115.47,4.31,0,340.02
TAMIL NADU,MADRAS,NA,NA,NA,NA,NA
TAMIL NADU,MADURAI,93.79,0,21.68,0,115.47
TAMIL NADU,NAGAPATTINAM,0,0,0,0,0
TAMIL NADU,NAMAKKAL,1591.23,1.4,0,90,1682.63
TAMIL NADU,PERAMBALUR,2738.16,7836.76,766.84,9.46,11351.22
TAMIL NADU,PUDUKOTTAI,13065.12,52000.33,46.96,61,65173.41
TAMIL NADU,RAMNATHAPURAM,26662.58,26185.01,2911.88,161.59,55921.06
TAMIL NADU,SALEM,1509.6,50.02,114.08,569.41,2243.11
TAMIL NADU,SIVAGANGA,24065.12,50334.18,660.13,2462.62,77522.05
TAMIL NADU,THANJAVUR,77641.95,38453.02,3130.69,1575.79,120801.45
TAMIL NADU,THE NILGIRIS,NA,NA,NA,NA,NA
TAMIL NADU,THENI,477.95,556.57,619.35,1.15,1655.02
TAMIL NADU,THOOTHUGUDI,6316.13,15435.02,2858.41,2106.84,26716.4
TAMIL NADU,TIRUNELVELI,32358.8,34951.88,972.27,360.54,68643.49
TAMIL NADU,TIRUVALLUR,17608.72,8295.86,1417.67,324.49,27646.74
TAMIL NADU,TIRUVANNAMALAI,8159.55,14795.65,1753.13,417.25,25125.58
TAMIL NADU,TIRUVARUR,12992.7,6652.6,7.73,31.69,19684.72
TAMIL NADU,TRICHIRAPPALLI,3584.65,4533.3,1014.33,152.89,9285.17
TAMIL NADU,VELLORE,1561.04,1335.7,360.98,61.09,3318.81
TAMIL NADU,VILLUPURAM,6314.68,11838.69,761.4,747.74,19662.51
TAMIL NADU,VIRUDHUNAGAR,16478.8,12966.09,468.8,2991.77,32905.46
TRIPURA,DHALAI,351,570,24,57,1002
TRIPURA,NORTH,273,234,7,66,580
TRIPURA,SOUTH,1222,2771,24,102,4119
TRIPURA,WEST,557,1047,10,27,1641
UTTAR PRADESH,AGRA,38,125,5,4,172
UTTAR PRADESH,ALIGARH,NA,NA,NA,NA,NA
UTTAR PRADESH,ALLAHABAD,56,172,8,10,246
UTTAR PRADESH,ALMORA,7916,7451,273,15,15655
UTTAR PRADESH,AMBEDKAR NAGAR,NA,NA,NA,NA,NA
UTTAR PRADESH,AZAMGARH,0,0,0,0,0
UTTAR PRADESH,BADAUN,NA,NA,NA,NA,NA
UTTAR PRADESH,BAHRAICH,2,3,0,0,5
UTTAR PRADESH,BALLIA,347,461,32,30,870
UTTAR PRADESH,BANDA,55,136,37,0,228
UTTAR PRADESH,BARABANKI,NA,NA,NA,NA,NA
UTTAR PRADESH,BAREILLY,NA,NA,NA,NA,NA
UTTAR PRADESH,BASTI,NA,NA,NA,NA,NA
UTTAR PRADESH,BIJNOR,NA,NA,NA,NA,NA
UTTAR PRADESH,BULANDSHAHR,NA,NA,NA,NA,NA
UTTAR PRADESH,CHAMOLI(GOPESHWAR),1056,1030,20,2,2108
UTTAR PRADESH,DEHRADUN,1950,1969,202,103,4224
UTTAR PRADESH,DEORIA,0,5,0,0,5
UTTAR PRADESH,ETAH,NA,NA,NA,NA,NA
UTTAR PRADESH,ETAWAH,0,1,0,0,1
UTTAR PRADESH,FAIZABAD,NA,NA,NA,NA,NA
UTTAR PRADESH,FARUKHABAD,32,48,0,0,80
UTTAR PRADESH,FATEHPUR,NA,NA,NA,NA,NA
UTTAR PRADESH,FIROZABAD,NA,NA,NA,NA,NA
UTTAR PRADESH,GHAZIABAD,NA,NA,NA,NA,NA
UTTAR PRADESH,GHAZIPUR,8,12,0,2,22
UTTAR PRADESH,GONDA,124,353,42,6,525
UTTAR PRADESH,GORAKHPUR,NA,NA,NA,NA,NA
UTTAR PRADESH,HAMIRPUR,NA,NA,NA,NA,NA
UTTAR PRADESH,HARDOI,NA,NA,NA,NA,NA
UTTAR PRADESH,HARDWAR,NA,NA,NA,NA,NA
UTTAR PRADESH,JALAUN,29,166,1,1,197
UTTAR PRADESH,JAUNPUR,NA,NA,NA,NA,NA
UTTAR PRADESH,JHANSI,1,97,0,0,98
UTTAR PRADESH,KANPUR DEHAT,0,3,0,1,4
UTTAR PRADESH,KANPUR NAGAR,NA,NA,NA,NA,NA
UTTAR PRADESH,KHIRI,418,306,0,152,876
UTTAR PRADESH,KUSHI NAGAR,64,60,0,0,124
UTTAR PRADESH,LALITPUR,NA,NA,NA,NA,NA
UTTAR PRADESH,LUCKNOW,NA,NA,NA,NA,NA
UTTAR PRADESH,MAHOBA,NA,NA,NA,NA,NA
UTTAR PRADESH,MAHRAJGANJ,904,1204,0,0,2108
UTTAR PRADESH,MAINPURI,NA,NA,NA,NA,NA
UTTAR PRADESH,MATHURA,NA,NA,NA,NA,NA
UTTAR PRADESH,MAU,NA,NA,NA,NA,NA
UTTAR PRADESH,MEERUT,NA,NA,NA,NA,NA
UTTAR PRADESH,MIRZAPUR,2394,2401,128,3,4926
UTTAR PRADESH,MORADABAD,NA,NA,NA,NA,NA
UTTAR PRADESH,MUZAFFER NAGAR,NA,NA,NA,NA,NA
UTTAR PRADESH,NAINITAL,17801,17852,863,998,37514
UTTAR PRADESH,PAURI GARHWAL,4891,4179,31,54,9155
UTTAR PRADESH,PILIBHIT,NA,NA,NA,NA,NA
UTTAR PRADESH,PITHORAGARH,3093,2327,14,16,5450
UTTAR PRADESH,PRATAPGARH,NA,NA,NA,NA,NA
UTTAR PRADESH,RAEBARELY,NA,NA,NA,NA,NA
UTTAR PRADESH,RAMPUR,NA,NA,NA,NA,NA
UTTAR PRADESH,SAHARANPUR,NA,NA,NA,NA,NA
UTTAR PRADESH,SANT RAVIDAS NAGAR,NA,NA,NA,NA,NA
UTTAR PRADESH,SHAHJAHANPUR,NA,NA,NA,NA,NA
UTTAR PRADESH,SIDDHARTH NAGAR,NA,NA,NA,NA,NA
UTTAR PRADESH,SITAPUR,NA,NA,NA,NA,NA
UTTAR PRADESH,SONBHADRA,8097,5411,243,112,13863
UTTAR PRADESH,SULTANPUR,NA,NA,NA,NA,NA
UTTAR PRADESH,TEHRI GARHWAL,3493,2334,19,130,5976
UTTAR PRADESH,UDHAMSINGH NAGAR,37054,32040,5618,1014,75726
UTTAR PRADESH,UNNAO,NA,NA,NA,NA,NA
UTTAR PRADESH,UTTARKASHI,4752,2502,131,48,7433
UTTAR PRADESH,VARANASI,4669,6918,0,10,11597
WEST BENGAL,BANKURA,52563,22469,879,4697,80608
