-----
{
 "description": "This spread sheet describes the location of Iron Ore deposits in India with locational attributes (locality, state, toposheets, latitude and longitude), geological attributes (host rock and its startigraphic position in terms of geological formation), metallogenesis and morphogenesis.", 
 "file_name": "Iron_Ore_1.xls", 
 "title": "Download XLS for Location of Iron Ore deposits in India and its Salient Features", 
 "url": "http://data.gov.in/sites/default/files/Iron_Ore_1.xls"
}
-----
"METALLOGENESIS","LOCALITY","STATE","TOPOSHEET","LATITUDE","LONGITUDE","LATDD","LONDD","COMMODITY","HOSTROCK","MORPHOGENESIS","FORMATION"
"CHIRIA-MANOHARPUKUR SECTOR","NOTABURU","JHARKHAND","73 F","22 18N","85 22E",22.3,85.3666666667,"Iron","BHJ,QTZT,PHYLLITE","STRATIFORM-SEDIMENTARY","IRON ORE GROUP"
"CHITRADURGA BELT","BELLENAHALLI","KARNATAKA","57 C","13 24 N","76 39 E",13.4,76.65,"Iron","BHQ,METAPELITE,METAVOLCANICS","VOLCANOSEDIMENTARY-BEDDED","CHITRADURGA (DHARWAR)"
"CHITRADURGA BELT","BHIMA-SAMUDRA","KARNATAKA","57 B","14 13 N","76 14 E",14.2166666667,76.2333333333,"Iron","BHQ,METAPELITE,METAVOLCANICS","VOLCANOSEDIMENTARY-BEDDED","CHITRADURGA (DHARWAR)"
"CHITRADURGA BELT","CHIKANYAKANAHALLI","KARNATAKA","57 C","13 24 N","76 37 E",13.4,76.6166666667,"Iron","BHQ,METAVOLCANICS,METABASICS","VOLCANOSEDIMENTARY-BEDDED","CHITRADURGA (DHARWAR)"
"CHITRADURGA BELT","KADALAGUDDA","KARNATAKA","57 B","14 10-11 N","76 12-13 30E",14.1666666667,76.2083333333,"Iron","BHQ,METAPELITE,METAVOLCANICS","VOLCANOSEDIMENTARY-BEDDED","CHITRADURGA (DHARWAR)"
"CHITRADURGA BELT","MEDIKERIPURA","KARNATAKA","57 B","14 05 N","76 35 E",14.0833333333,76.5833333333,"Iron","BHQ,PHYLLITE,METAVLCANICS","VOLCANOSEDIMENTARY-BEDDED","CHITRADURGA (DHARWAR)"
"DALLI-RAJHARA BELT","DALLI-RAJHARA","CHATTISGARH","64 H","20 33-35 N","81 0 45-07 E",20.5597222222,81.0125,"Iron","BHQ,METAPELITE,METAVOLCANICS","VOLCANOSEDIMENTARY-BEDDED","BAILADILA Gp."
"DALLI-RAJHARA BELT","MAHAMAYA-KAUCHAR","CHATTISGARH","64 D","20 28-29 N","80 59-59 30E",20.4747222222,80.9916666667,"Iron","METAPELITE,METAVOLCANICS","VOLCANOSEDIMENTARY-BEDDED","BAILADILA Gp."
"GARUMAHISANI PROVINCE","BHITARAMDA","ORISSA","73 J","22 08N","86 12 30E",22.1333333333,86.2083333333,"Iron","BHQ,PHYLLITE WITH VOLCANICS","BEDDED-VOLCANOSEDIMENTARY","GARUMAHISANI Gp."
"GARUMAHISANI PROVINCE","BHIYABASA","ORISSA","73 J","22 07N","86 11E",22.1166666667,86.1833333333,"Iron","BHQ,PHYLLITE WITH VOLCANICS","BEDDED-VOLCANOSEDIMENTARY","GARUMAHISANI Gp."
"GARUMAHISANI PROVINCE","DUBLABERA","ORISSA","73 J","22 27N","86 15E",22.45,86.25,"Iron","METAVOLCANICS-METASEDIMENTS","-","IRON ORE SUPER GROUP"
"GARUMAHISANI PROVINCE","PURNAPANI","ORISSA","73 J","22 08N","86 12E",22.1333333333,86.2,"Iron","BHQ,PHYLLITE WITH VOLCANICS","BEDDED-VOLCANOSEDIMENTARY","GARUMAHISANI Gp."
"GARUMAHISANI PROVINCE","SULAIPET","ORISSA","73 J","22 08N","86 12E",22.1333333333,86.2,"Iron","BHQ,PHYLLITE WITH VOLCANICS","BEDDED-VOLCANOSEDIMENTARY","GARUMAHISANI Gp."
"GARUMAHISANI PROVINCE (RAIRANGPUR BELT)","BETJHARAN","ORISSA","73 J","22 10N","86 25E",22.1666666667,86.4166666667,"Iron","GABBRO-ANORTHOSITE","CONCORDANT","-"
"GARUMAHISANI PROVINCE (RAIRANGPUR BELT)","BISAI","ORISSA","73 J","22 10N","86 20E",22.1666666667,86.3333333333,"Iron","GABBRO-ANORTHSITE","INTRUSSIVE-MAGMATIC","IRON ORE GROUP"
"GARUMAHISANI PROVINCE (RAIRANGPUR BELT)","KUMARDHUBI","ORISSA","73 J","22 15N","86 15E",22.25,86.25,"Iron","GABBRO-ANORTHOSITE","CONCORDANT-MAGMATIC","-"
"GARUMAHISANI PROVINCE (RAIRANGPUR BELT)","RAIRANGPUR","ORISSA","73 J","22 15N","86 05E",22.25,86.0833333333,"Iron","GABBRO-ANORTHOSITE","MAGMATIC","IRON ORE GROUP"
"KANJAMALLAI-ATTUR  BELT","ALAMBADI","TAMILNADU","57 L","12 07N","78 39E",12.1166666667,78.65,"Iron","BMQ","BEDDED-SEDIMENTARY ( TAMILNADU TYPE)","GRANULITE"
"KANJAMALLAI-ATTUR  BELT","ATTUR","TAMILNADU","58 I","11 35N","78 35E",11.5833333333,78.5833333333,"Iron","BMQ","BEDDED-SEDIMENTARY ( TAMILNADU TYPE)","GRANULITE"
"KANJAMALLAI-ATTUR  BELT","CHITTORI-TAINANDAMALAI","TAMILNADU","58 I","11 50N","78 30E",11.8333333333,78.5,"Iron","BMQ","BEDDED-SEDIMENTARY ( TAMILNADU TYPE)","GRANULITE"
"KANJAMALLAI-ATTUR  BELT","KANJAMALAI","TAMILNADU","58 I","11 39N","78 10E",11.65,78.1666666667,"Iron","BMQ IN CHARNOCKITE","BEDDED-SEDIMENTARY ( TAMILNADU TYPE)","SOUTHERN GRANULITE"
"KANJAMALLAI-ATTUR  BELT","VALAYAPATHI-TATTAYANGIPETTAI","TAMILNADU","58 I","11 08-11 15N","78 06-78 15E",11.1708333333,78.2,"Iron","BMQ INTERBEDDED WITH PYROXENE GNEISS","BEDDED-SEDIMENTARY ( TAMILNADU TYPE)","SOUTHERN GRANULITE"
"KAPPALGUDDA (SHIMOGA SCHIST) BELT","KAPPALGUDDA","KARNATAKA","48 I","15 13-16 N","74 42-44 E",15.2333333333,74.7166666667,"Iron","BHQ,METAPELITE,METAVOLCANICS","VOLCANOSEDIMENTARY-BEDDED","DHARWAR(SHIMOGA SCH)"
"NEB (SANDUR SCHIST BELT)","KARINAGUR","KARNATAKA","57 A","15 14 03N","76 26 17E",15.2341666667,76.4380555556,"Iron","METASEDIMENTS-METAVOLCANICS","BEDDED-VOLCANOSEDIMENTARY","EASTERN GREENSTONE"
"NEB (SANDUR SCHIST BELT)","MADERAHALLI","KARNATAKA","57 A","15 11-12N","76 26-29E",15.2,76.4666666667,"Iron","METASEDIMENTS,METAVOLCANICS","BEDDED-VOLCANOSEDIMENTARY","EASTERN GREENSTONE"
"NEB (SANDUR SCHIST BELT)","PAPINAYAKANAHALLI","KARNATAKA","57 A","15 13N","76 25-26E",15.2166666667,76.425,"Iron","METASEDIMENTS,METAVOLCANICS","BEDDED-VOLCANOSEDIMENTARY","EASTERN GREENSTONE"
"NEB RANGE (SANDUR SCHIST BELT)","INGILIGI","KARNATAKA","57 A","15 12 22N","76 26 30E",15.2061111111,76.4416666667,"Iron","PHYLLITE,SCHIST,METAVOLCANICS","BEDDED-VOLCANOSEDIMENTARY","EASTERN  GREENSTONE"
"NEB RANGE(SANDUR BELT)","JAISINGPUR","KARNATAKA","57 A","15 11-13N","76 26-27E",15.1833333333,76.45,"Iron","METASEDIMENT AND METAVOLCANICS","BEDDED-VOLCANOSEDIMENTARY","EASTERN GREENSTONE"
"NEB(SANDUR SCHIST BELT)","KARADIKOLLA","KARNATAKA","57 A","15 12-13N","76 26-30E",15.2166666667,76.4666666667,"Iron","METASEDIMENT,METAVOLCANICS","BEDDED-VOLCANOSEDIMENTARY","EASTERN GREENSTONE"
"NEB(SANDUR SCHIST BELT)","SANDUR","KARNATAKA","57 A","15 12 30N","76 27 30",15.2083333333,76.4583333333,"Iron","METASEDIMENT,METAVOLCANICS","BEDDED-VOLCANOSEDIMENTARY","EASTERN GREENSTONE"
"NEB(SANDUR SCHIST BELT)","SANKALAPURAM","KARNATAKA","57 A","15 14 15N","76 25E",15.2375,76.4166666667,"Iron","METASEDIMENT,METAVOLCANICS","BEDDED-VOLCANOSEDIMENTARY","EASTERN GREENSTONE"
"NELLORE BELT","VENUMBAKA-RASANUR","ANDHRA PRADESH","57 N","14 04 20 N","79 54 40 E",14.0722222222,79.9111111111,"Iron","PHYLLITE,SCHIST","BEDDED-VOLCANOSEDIMENTARY","DHARWAR Sgp."
"NOAMUNDI-JAMDA SECTOR","MALANGTOLI","ORISSA","73 F","22 05N","85 20E",22.0833333333,85.3333333333,"Iron","BHJ,SHALE","BEDDED-VOLCANOSEDIMENTARY","BONAI Gp."
"NOAMUNDI-JAMDA SECTOR","NUIA","ORISSA (?)","73 F","22 09-22 10N","85 20E",22.1583333333,85.3333333333,"Iron","SHALE,BMQ,TUFF,META VOLCANICS","BEDDED-VOLCANOSEDIMENTARY","BONAI Gp."
"NUGGIHALLI BELT","NUGGIHALLI","KARNATAKA","57 C","13 00 45 N","76 26 00 E",13.0125,76.4333333333,"Iron","ULTRABASICS","CONCORDANT-MAGMATIC","NUGGIHALLI SCHIST"
"RAMANDURG RANGE(SHIMOGA SCHIST) BELT","RAMANDURG","KARNATAKA","57 A","15 10-15 12N","76 22-76 26E",15.1866666667,76.4,"Iron","METASEDIMENTS-METAVOLCANICS","STRATABOUND-CONCORDANT","EASTERN GREENSTONE"
"ROWGHAT BELT","ROWGHAT","CHATTISGARH","65 E","19 45-56 N","81 05-13 E",19.9,81.1666666667,"Iron","BHQ,METAPELITE,METAVOLCANICS","VOLCANOSEDIMENTARY-BEDDED","BAILADILA Gp."
"SANDUR BELT-BELLARY SECTOR","HALKUNDI-HONNAHALI","KARNATAKA","57 A","15 05-06 N","76 47-53 E",15.1,76.8666666667,"Iron","BHQ,METAVOLCANICS,METAARGILLITE","VOLCANOSEDIMENTARY-BEDDED","EASTERN GREENSTONE"
"SANDUR BELT-BTV RANGE","BELEGAL-HARAGONDONA","KARNATAKA","57 A","15 04-07 N","76 40-45 E",15.1,76.7333333333,"Iron","BHQ,METAVOLCANICS,METAPELITE","VOLCANOSEDIMENTARY-BEDDED","EASTERN GREENSTONE"
"SANDUR BELT-BTV RANGE","VITTALPURAM","KARNATAKA","57 A","15 10 N","76 30 E",15.1666666667,76.5,"Iron","BHQ,METAVLCANICS,METAPELITE","VOLCANOSEDIMENTARY-BEDDED","EASTERN GREENSTONE"
"SANDUR BELT-KUMARSWAMI-DONIMAL","DONIMALAI","KARNATAKA","57 A","15 02-05 N","76 36-38 E",15.05,76.6166666667,"Iron","BHQ,METAPELITE,METAVOLCANICS","BEDDED","DHARWAR(SANDUR SCH.)"
"SANDUR SCHIST BELT-NEB RANGE","KALLAHALLI","KARNATAKA","57 A","15 13 N","76 25 E",15.2166666667,76.4166666667,"Iron","BHQ,METAPELITE,METAVOLCANICS","VOLCANOSEDIMENTARY-BEDDED","EASTERN GREENSTONE"
"SANDUR-KUMARSWAMI-DONIMALAI RANGE","KUMARSWAMI","KARNATAKA, A.P","57 A, 57 B","14 55-15 02N","76 55E",14.9166666667,76.9166666667,"Iron","BHQ,METAPELITE,METAVOLCANICS","BEDDED","DHARWAR(SANDUR)"
"SANDUR-KUMARSWAMI-DONIMALAI RANGE","NAVALUTTI","KARNATAKA","57 A","15 25 N","76 38 E",15.4166666667,76.6333333333,"Iron","BHQ,METAPELITE,METAVOLCANICS(SANDUR SCH)","VOLCANOSEDIMENTARY-BEDDED","E.GREENSTONE BELT"
"SANDUR-UBBALAGUNDI RANGE","NARAYANPURA","KARNATAKA","57 A","15 30 N","76 45 E",15.5,76.75,"Iron","BHQ,METAPELITE,METAVOLCANICS","BEDDED-VOLCANOSEDIMENTARY","DHARWAR(SANDUR SCH.)"
"SATYAMANGALAM-AJJUR(GRANULITE) BELT","AJJUR","TAMILNADU","58 A","11 26N","76 48E",11.4333333333,76.8,"Iron","BMQ","CONCORDANT","GRANULITE"
"SATYAMANGALAM-AJJUR(GRANULITE) BELT","DEVALA","TAMILNADU","58 A","11 28N","76 38E",11.4666666667,76.6333333333,"Iron","BMQ IN CHARNOCKITE","CONCORDANT","GRANULITE"
"SATYAMANGLAM-AJJUR BELT","SATYAMANGALAM","TAMILNADU","58 E","11 25-11 28N","77 05-77 15E",11.45,77.1666666667,"Iron","PYROXENITE-DUNITE-AMPHIBOLITE","CONCORDANT","SATYAMANGALAM SCHIST"
"SHIMOGA BELT","DONI","KARNATAKA","48 I","15 18 N","74 44 E",15.3,74.7333333333,"Iron","BHQ,METAPELITE,METAVOLCANICS","VOLCANOSEDIMENTARY-BEDDED","DHARWAR Sgp."
"SHIMOGA BELT","KOTEBARA","KARNATAKA","48 K","13 53 N","74 49 E",13.8833333333,74.8166666667,"Iron","METAPELITE,METAVOLCANICS,BFQ","VOLCANOSEDIMENTARY-BEDDED","DHARWAR"
"SHIMOGA SCHIST BELT","JAYAPURA","KARNATAKA","48 O","13 21-13 30N","75 22-75 25E",13.4666666667,75.4,"Iron","BMQ IN METAVOLCANICS - METASEDIMENTS","CONCORDANT","CHITRADURGA BELT Gp."
"WESTERN GHAT BELT","BALLALAYAYANADURG","KARNATAKA","48 O","13 07-22N","75 21-26E",13.2666666667,75.4,"Iron","METASEDIMENTS-METAVOLCANICS","CONCORDANT","BABABUDAN Gp."
"WESTERN GHAT BELT","KUDERMUKH","KARNATAKA","48 O","13 17N","75 10-75 20E",13.2833333333,75.25,"Iron","BMQ IN METASEDIMENTS- METAVOLCANICS","CONCORDANT","BABABUDAN Gp."
"WURRYA HILL RANGE","SURJAGARH","MAHARASTRA","65 A","19 37 N","80 21 E",19.6166666667,80.35,"Iron","BMQ,QUARTZITE,PHYLLITE","BEDDED","BAILADILA Gp."
"WESTERN GHAT BELT","SAKKEREBAIL","KARNATAKA","48 O","13 47-13 49N","75 23-75 31E",13.8,75.4666666667,"Iron","METAVOLCANICS,METASEDIMENTS","STRATIFORM-MAGMATIC","DHARWAR Sgp."
