-----
{
 "description": "It provides details of Plan Grants and Loans to State and Union Territory Governments.", 
 "file_name": "stat17.xls", 
 "title": "Download XLS for Plan Grants and Loans to State &amp; Union Territory Governments(External Link that opens in a new window)", 
 "url": "http://indiabudget.nic.in/ub2013-14/eb/stat17.xls"
}
-----
"Expenditure Budget Vol. I, 2013-2014","","","","","","","","","","","","","",58.0
"","","","","","","","","","","","","","",""
"STATEMENT 17","","","","","","","","","","","","","",""
"PLAN GRANTS AND LOANS TO STATE & UNION TERRITORY GOVERNMENTS","","","","","","","","","","","","","",""
"(In crores of Rupees)","","","","","","","","","","","","","",""
"","","","Actuals 2011-2012","","","Budget 2012-2013","","","Revised 2012-2013","","","Budget 2013-2014","",""
26.0,"Ministry of Tourism","",357.97,"...",357.97,260.0,"...",260.0,197.5,"...",197.5,132.0,"...",132.0
27.0,"Ministry of Tribal Affairs","",1270.74,"...",1270.74,1110.8,"...",1110.8,1050.04,"...",1050.04,1265.09,"...",1265.09
28.0,"Ministry of Urban Development","",84.39,20.17,104.56,48.5,"...",48.5,29.25,"...",29.25,48.5,"...",48.5
29.0,"Ministry of Water Resources","",80.91,"...",80.91,110.48,"...",110.48,10.54,"...",10.54,74.0,"...",74.0
30.0,"Ministry of Women and Child Development","",15180.42,"...",15180.42,15594.19,"...",15594.19,14808.08,"...",14808.08,17389.91,"...",17389.91
31.0,"Ministry of Youth Affairs and Sports","",206.53,"...",206.53,257.29,"...",257.29,163.94,"...",163.94,158.38,"...",158.38
32.0,"Other Ministries","",2.57,"...",2.57,"...","...","...","...","...","...","...","...","..."
"TOTAL - State Governments","","",127324.13,10015.53,137339.66,150313.42,11000.0,161313.42,129622.62,11000.0,140622.62,158110.13,11000.0,169110.13
"UNION TERRITORY PLANS","","",920.48,"...",920.48,1720.0,"...",1720.0,1478.74,"...",1478.74,1826.9,"...",1826.9
1.0,"Ministry of Home Affairs","",843.77,"...",843.77,1640.89,"...",1640.89,1399.63,"...",1399.63,1747.79,"...",1747.79
"",1.01,"Assistance for U.T. Plans",848.39,"...",848.39,1640.89,"...",1640.89,1399.63,"...",1399.63,1747.79,"...",1747.79
2.0,"Ministry of Road Transport and Highways","",76.71,"...",76.71,79.11,"...",79.11,79.11,"...",79.11,79.11,"...",79.11
"",2.01,"Central Road Fund - Transfers",76.71,"...",76.71,79.11,"...",79.11,79.11,"...",79.11,79.11,"...",79.11
"CENTRAL AND CENTRALLY SPONSORED PLAN SCHEMES","","",328.19,"...",328.19,572.92,"...",572.92,443.75,"...",443.75,640.47,"...",640.47
1.0,"Department of Agriculture and Cooperation","",0.99,"...",0.99,1.95,"...",1.95,0.95,"...",0.95,8.4,"...",8.4
2.0,"Department of Animal Husbandry, Dairying and Fisheries","",14.6,"...",14.6,19.5,"...",19.5,16.64,"...",16.64,20.21,"...",20.21
3.0,"Department of Food and Public Distribution","","...","...","...",0.6,"...",0.6,0.5,"...",0.5,6.0,"...",6.0
4.0,"Ministry of Food Processing Industries","","...","...","...",15.06,"...",15.06,7.5,"...",7.5,9.06,"...",9.06
5.0,"Department of Health and Family Welfare","",36.13,"...",36.13,63.21,"...",63.21,38.29,"...",38.29,58.38,"...",58.38
6.0,"Ministry of Housing and Urban Poverty Alleviation","",2.5,"...",2.5,9.5,"...",9.5,6.5,"...",6.5,30.0,"...",30.0
7.0,"Department of School Education and Literacy","",94.21,"...",94.21,164.94,"...",164.94,141.58,"...",141.58,172.21,"...",172.21
8.0,"Department of Higher Education","",1.69,"...",1.69,22.24,"...",22.24,5.47,"...",5.47,27.01,"...",27.01
9.0,"Ministry of Law and Justice","",35.0,"...",35.0,35.0,"...",35.0,35.0,"...",35.0,40.0,"...",40.0
10.0,"Ministry of Minority Affairs","",12.31,"...",12.31,29.91,"...",29.91,7.83,"...",7.83,23.85,"...",23.85
11.0,"Department of Land Resources","",1.18,"...",1.18,2.0,"...",2.0,1.0,"...",1.0,10.84,"...",10.84
12.0,"Ministry of Social Justice and Empowerment","",16.18,"...",16.18,7.52,"...",7.52,9.52,"...",9.52,7.52,"...",7.52
13.0,"Ministry of Statistics and Programme Implementation","",0.67,"...",0.67,10.54,"...",10.54,4.36,"...",4.36,5.18,"...",5.18
14.0,"Ministry of Tourism","",1.42,"...",1.42,11.0,"...",11.0,0.5,"...",0.5,13.0,"...",13.0
15.0,"Ministry of Women and Child Development","",106.73,"...",106.73,170.69,"...",170.69,162.74,"...",162.74,203.48,"...",203.48
16.0,"Other Ministries","",4.58,"...",4.58,9.26,"...",9.26,5.37,"...",5.37,5.33,"...",5.33
"TOTAL - Union Territory Governments","","",1248.67,"...",1248.67,2292.92,"...",2292.92,1922.49,"...",1922.49,2467.37,"...",2467.37
"","GRAND TOTAL - PLAN","",128572.8,10015.53,138588.33,152606.34,11000.0,163606.34,131545.11,11000.0,142545.11,160577.5,11000.0,171577.5
