-----
{
 "description": "This data provides all India (2001 to 2011) and state-wise (2009 to 2011) details on disposal of juveniles arrested (under IPC And SLL) crimes.", 
 "file_name": "DISPOSAL_OF_JUVENILES_ARRESTED_UNDER_IPC_AND_SLL_CRIMES.xls", 
 "title": "Download XLS for All India And State-wise Disposal Of Juveniles Arrested Under IPC And SLL Crimes", 
 "url": "http://data.gov.in/sites/default/files/DISPOSAL_OF_JUVENILES_ARRESTED_UNDER_IPC_AND_SLL_CRIMES.xls"
}
-----
"State/U.T","Year","Arrested and sent to courts","Sent to Home after Advice or Admonition","Releasd on probation and placed under care of Parents/Guardians","Releasd on probation and placed under care of Fit Instt.","Sent to Special Homes","Dealt with fine","Acquitted or otherwise disposed of","Pending disposal"
"Chhattisgarh",2010.0,2356.0,28.0,91.0,3.0,587.0,149.0,184.0,1314.0
"Goa",2010.0,77.0,4.0,5.0,0.0,10.0,0.0,1.0,57.0
"Gujarat",2010.0,2121.0,189.0,208.0,86.0,147.0,101.0,249.0,1141.0
"Haryana",2010.0,907.0,5.0,10.0,15.0,15.0,45.0,66.0,751.0
"Himachal Pradesh",2010.0,218.0,43.0,74.0,0.0,13.0,0.0,0.0,88.0
"Jammu & Kashmir",2010.0,27.0,0.0,10.0,1.0,0.0,10.0,0.0,6.0
"Jharkhand",2010.0,104.0,12.0,37.0,8.0,38.0,4.0,5.0,0.0
"Karnataka",2010.0,204.0,48.0,11.0,4.0,31.0,0.0,1.0,109.0
"Kerala",2010.0,826.0,134.0,98.0,10.0,50.0,1.0,35.0,498.0
"Madhya Pradesh",2010.0,6449.0,1033.0,1718.0,199.0,527.0,480.0,459.0,2033.0
"Maharashtra",2010.0,6388.0,808.0,1625.0,347.0,1482.0,100.0,192.0,1834.0
"Manipur",2010.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Meghalaya",2010.0,118.0,2.0,30.0,1.0,9.0,0.0,40.0,36.0
"Mizoram",2010.0,116.0,33.0,15.0,9.0,24.0,0.0,0.0,35.0
"Nagaland",2010.0,53.0,0.0,0.0,0.0,24.0,19.0,10.0,0.0
"Orissa",2010.0,544.0,142.0,146.0,26.0,186.0,0.0,12.0,32.0
"Punjab",2010.0,246.0,0.0,6.0,12.0,48.0,4.0,11.0,165.0
"Rajasthan",2010.0,2378.0,245.0,297.0,38.0,1170.0,4.0,96.0,528.0
"Sikkim",2010.0,82.0,30.0,10.0,1.0,9.0,2.0,20.0,10.0
"Tamil Nadu",2010.0,1644.0,176.0,556.0,90.0,323.0,69.0,53.0,377.0
"Tripura",2010.0,46.0,6.0,15.0,6.0,3.0,0.0,9.0,7.0
"Uttar Pradesh",2010.0,852.0,25.0,14.0,19.0,347.0,52.0,94.0,301.0
"Uttarakhand",2010.0,154.0,0.0,11.0,0.0,143.0,0.0,0.0,0.0
"WestBengal",2010.0,337.0,28.0,103.0,10.0,4.0,15.0,13.0,164.0
"A. & N.Islands",2010.0,26.0,0.0,0.0,0.0,9.0,0.0,0.0,17.0
"Chandigarh",2010.0,168.0,7.0,5.0,1.0,55.0,7.0,3.0,90.0
"D. & N.Haveli",2010.0,19.0,0.0,2.0,0.0,0.0,0.0,0.0,17.0
"Daman and Diu",2010.0,10.0,8.0,0.0,0.0,0.0,0.0,0.0,2.0
"Delhi",2010.0,627.0,169.0,81.0,11.0,178.0,5.0,27.0,156.0
"Lakshadweep",2010.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Puducherry",2010.0,49.0,0.0,0.0,0.0,0.0,0.0,0.0,49.0
"Total 2011",2011.0,33887.0,4045.0,6333.0,1627.0,7292.0,1201.0,2311.0,11078.0
"Andhra Pradesh",2011.0,2474.0,757.0,245.0,98.0,200.0,157.0,203.0,814.0
"Arunachal Pradesh",2011.0,93.0,37.0,56.0,0.0,0.0,0.0,0.0,0.0
"Assam",2011.0,427.0,73.0,155.0,42.0,41.0,15.0,40.0,61.0
"Bihar",2011.0,1126.0,123.0,82.0,66.0,464.0,22.0,111.0,258.0
"Chhattisgarh",2011.0,2692.0,46.0,169.0,126.0,681.0,127.0,234.0,1309.0
"Goa",2011.0,157.0,19.0,32.0,0.0,15.0,0.0,2.0,89.0
"Gujarat",2011.0,2510.0,222.0,307.0,233.0,233.0,90.0,338.0,1087.0
"Haryana",2011.0,834.0,4.0,9.0,13.0,15.0,43.0,56.0,694.0
"Himachal Pradesh",2011.0,258.0,91.0,29.0,1.0,10.0,0.0,1.0,126.0
"Jammu & Kashmir",2011.0,21.0,0.0,0.0,0.0,0.0,0.0,7.0,14.0
"Jharkhand",2011.0,411.0,11.0,22.0,8.0,116.0,3.0,209.0,42.0
"Karnataka",2011.0,376.0,123.0,14.0,10.0,17.0,0.0,5.0,207.0
"Kerala",2011.0,885.0,206.0,181.0,36.0,133.0,4.0,43.0,282.0
"Madhya Pradesh",2011.0,5794.0,837.0,1332.0,127.0,450.0,412.0,466.0,2170.0
"Maharashtra",2011.0,6770.0,549.0,2026.0,534.0,1834.0,116.0,182.0,1529.0
"Manipur",2011.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Meghalaya",2011.0,128.0,32.0,8.0,0.0,14.0,0.0,26.0,48.0
"Mizoram",2011.0,105.0,3.0,38.0,41.0,12.0,2.0,0.0,9.0
"Nagaland",2011.0,46.0,6.0,0.0,0.0,31.0,5.0,4.0,0.0
"Orissa",2011.0,628.0,23.0,161.0,17.0,175.0,0.0,16.0,236.0
"Punjab",2011.0,215.0,0.0,2.0,0.0,72.0,2.0,6.0,133.0
"Rajasthan",2011.0,2542.0,334.0,442.0,135.0,1192.0,87.0,42.0,310.0
"Sikkim",2011.0,78.0,12.0,15.0,0.0,0.0,2.0,10.0,39.0
"Tamil Nadu",2011.0,2083.0,157.0,779.0,103.0,559.0,32.0,74.0,379.0
"Tripura",2011.0,92.0,0.0,30.0,0.0,2.0,0.0,23.0,37.0
"Uttar Pradesh",2011.0,1204.0,44.0,7.0,7.0,633.0,59.0,114.0,340.0
"Uttarakhand",2011.0,86.0,0.0,14.0,0.0,60.0,0.0,2.0,10.0
"WestBengal",2011.0,620.0,18.0,75.0,5.0,21.0,12.0,50.0,439.0
"A. & N.Islands",2011.0,8.0,0.0,0.0,0.0,5.0,0.0,0.0,3.0
"Chandigarh",2011.0,159.0,5.0,7.0,0.0,45.0,9.0,2.0,91.0
"D. & N.Haveli",2011.0,22.0,1.0,2.0,0.0,0.0,0.0,0.0,19.0
"Daman and Diu",2011.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0
"Delhi",2011.0,942.0,312.0,93.0,25.0,262.0,1.0,45.0,204.0
"Lakshadweep",2011.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Puducherry",2011.0,85.0,0.0,1.0,0.0,0.0,1.0,0.0,83.0
