-----
{
 "description": "The table refers to block wise distribution of Deep Tubewells according to ownership . The report has been sourced from 2nd census of minor irrigation scheme(1993-94) from ministry of water resources.", 
 "file_name": "blckdptbwltab3.2.csv", 
 "title": "Download CSV for Block wise Distribution of Deep Tubewells according to ownership for 2nd Census of Minor Irrigation Schemes (1993-94)", 
 "url": "http://data.gov.in/sites/default/files/blckdptbwltab3.2.csv"
}
-----
-----
{
 "description": "The table refers to district wise irrigation potential utilised through Deep Tubewells . The report has been sourced from 2nd census of minor irrigation scheme(1993-94) from ministry of water resources.", 
 "file_name": "Statedptbwltab3.14.csv", 
 "title": "Download CSV for District wise Irrigation potential utilised through Deep Tubewells for 2nd Census of Minor Irrigation Schemes (1993-94)", 
 "url": "http://data.gov.in/sites/default/files/Statedptbwltab3.14.csv"
}
-----
"State","District","Actual area irrigated (Ha) - Kharif","Actual area irrigated (Ha) - Rabi","Actual area irrigated (Ha) - Perennial","Actual area irrigated (Ha) - Others","Total"
"MIZORAM","LUNGLEI",NA,NA,NA,NA,NA
"NAGALAND","KOHIMA",2,3,1,0,6
"NAGALAND","MOKOKCHUNG",NA,NA,NA,NA,NA
"NAGALAND","MON",NA,NA,NA,NA,NA
"NAGALAND","PHEK",NA,NA,NA,NA,NA
"NAGALAND","TUENSANG",NA,NA,NA,NA,NA
"NAGALAND","WOKHA",NA,NA,NA,NA,NA
"NAGALAND","ZUNHEBOTO",NA,NA,NA,NA,NA
"ORISSA","ANGUL",NA,NA,NA,NA,NA
"ORISSA","BALASORE",531,6643,12,8,7194
"ORISSA","BARAGARH",50,18,12,1,81
"ORISSA","BHADRAK",314,1888,11,0,2213
"ORISSA","BOLANGIR",2,2,0,0,4
"ORISSA","BOUDH",9,0,0,0,9
"ORISSA","CUTTACK",149,787,26,0,962
"ORISSA","DEOGARH",NA,NA,NA,NA,NA
"ORISSA","DHENKANAL",1,1,1,0,3
"ORISSA","GAJAPATI",0,0,0,0,0
"ORISSA","GANJAM",7,28,16,0,51
"ORISSA","JAGATSINGHPUR",118,310,10,6,444
"ORISSA","JAJPUR",169,1295,0,0,1464
"ORISSA","JHARSUGUDA",47,39,6,0,92
"ORISSA","KALAHANDI",3,3,0,0,6
"ORISSA","KENDRAPARA",13,159,0,2,174
"ORISSA","KEONJHAR",14,42,0,0,56
"ORISSA","KHURDA",26,25,13,0,64
"ORISSA","KORAPUT",NA,NA,NA,NA,NA
"ORISSA","MALKANGIRI",NA,NA,NA,NA,NA
"ORISSA","MAYURBHANJ",481,704,4,0,1189
"ORISSA","NAYAGARH",5,0,6,0,11
"ORISSA","NOWRANGPUR",NA,NA,NA,NA,NA
"ORISSA","NUAPADA",0,0,0,0,0
"ORISSA","PHULBANI",NA,NA,NA,NA,NA
"ORISSA","PURI",29,62,0,0,91
"ORISSA","RAYAGADA",11,11,0,0,22
"ORISSA","SAMBALPUR",NA,NA,NA,NA,NA
"ORISSA","SONEPUR",NA,NA,NA,NA,NA
"ORISSA","SUNDARGARH",NA,NA,NA,NA,NA
"PUNJAB","AMRITSAR",10,10,0,0,20
"PUNJAB","BATHINDA",18,18,0,0,36
"PUNJAB","FARIDKOT",NA,NA,NA,NA,NA
"PUNJAB","FATEHGARH SAHIB",114,102,6,0,222
"PUNJAB","FEROZEPUR",NA,NA,NA,NA,NA
"PUNJAB","GURDASPUR",597,548,0,0,1145
"PUNJAB","HOSHIARPUR",8108,9224,670,79,18081
"PUNJAB","JALANDHAR",NA,NA,NA,NA,NA
"PUNJAB","KAPURTHALA",168,170,0,2,340
"PUNJAB","LUDHIANA",2,7,5,0,14
"PUNJAB","MANSA",117,117,0,0,234
"PUNJAB","PATIALA",3007,2927,43,271,6248
"PUNJAB","ROPAR",1227,1895,250,29,3401
"PUNJAB","SANGRUR",3381,3371,4,0,6756
"RAJASTHAN","AJMER",3,3,0,0,6
"RAJASTHAN","ALWAR",NA,NA,NA,NA,NA
"RAJASTHAN","BANSWARA",NA,NA,NA,NA,NA
"RAJASTHAN","BARAN",151,2790,0,0,2941
"RAJASTHAN","BARMER",0,109,0,0,109
"RAJASTHAN","BHARATPUR",28,2044,2,0,2074
"RAJASTHAN","BHILWARA",0,208,0,0,208
"RAJASTHAN","BIKANER",58,117,0,0,175
"RAJASTHAN","BUNDI",0,837,0,0,837
"RAJASTHAN","CHITTORGARH",226,5634,0,124,5984
"RAJASTHAN","CHURU",90,194,0,2,286
"RAJASTHAN","DAUSA",0,8,0,0,8
"RAJASTHAN","DHOLPUR",NA,NA,NA,NA,NA
"RAJASTHAN","DUNGARPUR",12,636,0,8,656
"RAJASTHAN","GANGANAGAR",NA,NA,NA,NA,NA
"RAJASTHAN","HANUMANGARH",NA,NA,NA,NA,NA
"RAJASTHAN","JAIPUR",NA,NA,NA,NA,NA
"RAJASTHAN","JAISALMER",0,57,0,0,57
"RAJASTHAN","JALORE",42,978,0,0,1020
"RAJASTHAN","JHALAWAR",0,558,0,0,558
"RAJASTHAN","JHUNJHNU",NA,NA,NA,NA,NA
"RAJASTHAN","JODHPUR",6912,63583,232,1244,71971
"RAJASTHAN","KOTA",53,3730,3,4,3790
"RAJASTHAN","NAGAUR",4891,39135,129,714,44869
"RAJASTHAN","PALI",0,2427,6,0,2433
"RAJASTHAN","RAJSAMAND",0,74,0,0,74
"RAJASTHAN","SAWAI-MADHOPUR",0,132,3,0,135
"RAJASTHAN","SIKAR",NA,NA,NA,NA,NA
"RAJASTHAN","SIROHI",NA,NA,NA,NA,NA
"RAJASTHAN","TONK",0,183,0,0,183
"RAJASTHAN","UDAIPUR",3,14,0,0,17
"SIKKIM","EAST SIKKIM",NA,NA,NA,NA,NA
"SIKKIM","NORTH SIKKIM",NA,NA,NA,NA,NA
"SIKKIM","SOUTH SIKKIM",NA,NA,NA,NA,NA
"SIKKIM","WEST SIKKIM",NA,NA,NA,NA,NA
"TAMIL NADU","COIMBATORE",1665.76,324.34,1216.61,58.7,3265.41
"TAMIL NADU","CUDDALORE",7270.84,6795.5,612.13,696.71,15375.18
"TAMIL NADU","DHARMAPURI",181.29,37.84,37.42,90.86,347.41
"TAMIL NADU","DINDIGUL",54.29,107.72,83.77,11.89,257.67
"TAMIL NADU","ERODE",901.43,209.38,28.78,132.6,1272.19
"TAMIL NADU","KANCHIPURAM",0,0,0,0,0
"TAMIL NADU","KANNIYAKUMARI",0,0,1.2,0,1.2
"TAMIL NADU","KARUR",34.4,13.97,1.86,0,50.23
"TAMIL NADU","MADRAS",NA,NA,NA,NA,NA
"TAMIL NADU","MADURAI",0,0,0,0,0
"TAMIL NADU","NAGAPATTINAM",61,0,0,0,61
"TAMIL NADU","NAMAKKAL",697.68,28.64,3.29,11.76,741.37
"TAMIL NADU","PERAMBALUR",271.74,152.15,1.88,0,425.77
"TAMIL NADU","PUDUKOTTAI",1400.92,701.89,255.01,141.87,2499.69
"TAMIL NADU","RAMNATHAPURAM",105.7,42.6,0.5,17.08,165.88
"TAMIL NADU","SALEM",907.77,195.5,16.15,1.35,1120.77
"TAMIL NADU","SIVAGANGA",97.39,223.17,91.69,0.9,413.15
"TAMIL NADU","THANJAVUR",1937.8,1899.88,1043.1,937.17,5817.95
"TAMIL NADU","THE NILGIRIS",NA,NA,NA,NA,NA
"TAMIL NADU","THENI",0,0.39,0,0,0.39
"TAMIL NADU","THOOTHUGUDI",NA,NA,NA,NA,NA
"TAMIL NADU","TIRUNELVELI",19.07,2.34,2.83,0,24.24
"TAMIL NADU","TIRUVALLUR",299.83,96.4,39.48,15.81,451.52
"TAMIL NADU","TIRUVANNAMALAI",NA,NA,NA,NA,NA
"TAMIL NADU","TIRUVARUR",560.8,589.19,46.96,5.97,1202.92
"TAMIL NADU","TRICHIRAPPALLI",0,0,28.14,0,28.14
"TAMIL NADU","VELLORE",NA,NA,NA,NA,NA
"TAMIL NADU","VILLUPURAM",6661.87,3614.41,3298.98,835.03,14410.29
"TAMIL NADU","VIRUDHUNAGAR",0.32,0,2.7,10.37,13.39
"TRIPURA","DHALAI",15,15,0,0,30
"TRIPURA","NORTH",61,49,0,3,113
"TRIPURA","SOUTH",416,399,42,74,931
"TRIPURA","WEST",853,1194,11,12,2070
"UTTAR PRADESH","AGRA",9664,28501,3038,2416,43619
"UTTAR PRADESH","ALIGARH",1088,1080,41,57,2266
"UTTAR PRADESH","ALLAHABAD",7856,11835,2048,931,22670
"UTTAR PRADESH","ALMORA",NA,NA,NA,NA,NA
"UTTAR PRADESH","AMBEDKAR NAGAR",484,451,128,47,1110
"UTTAR PRADESH","AZAMGARH",648,1250,421,113,2432
"UTTAR PRADESH","BADAUN",27840,27144,0,0,54984
"UTTAR PRADESH","BAHRAICH",8402,20926,1323,806,31457
"UTTAR PRADESH","BALLIA",14376,22741,932,1024,39073
"UTTAR PRADESH","BANDA",4452,17695,360,283,22790
"UTTAR PRADESH","BARABANKI",NA,NA,NA,NA,NA
"UTTAR PRADESH","BAREILLY",26927,27484,2271,357,57039
"UTTAR PRADESH","BASTI",NA,NA,NA,NA,NA
"UTTAR PRADESH","BIJNOR",6661,6540,5221,452,18874
"UTTAR PRADESH","BULANDSHAHR",NA,NA,NA,NA,NA
"UTTAR PRADESH","CHAMOLI(GOPESHWAR)",NA,NA,NA,NA,NA
"UTTAR PRADESH","DEHRADUN",2321,2570,347,542,5780
"UTTAR PRADESH","DEORIA",10873,14259,3407,773,29312
"UTTAR PRADESH","ETAH",81,159,89,11,340
"UTTAR PRADESH","ETAWAH",7347,9351,988,214,17900
"UTTAR PRADESH","FAIZABAD",5511,3471,1267,618,10867
"UTTAR PRADESH","FARUKHABAD",111,74,0,0,185
"UTTAR PRADESH","FATEHPUR",2711,6332,979,550,10572
"UTTAR PRADESH","FIROZABAD",2634,7752,473,764,11623
"UTTAR PRADESH","GHAZIABAD",5849,6621,0,726,13196
"UTTAR PRADESH","GHAZIPUR",0,0,10,0,10
"UTTAR PRADESH","GONDA",5613,9277,3534,795,19219
"UTTAR PRADESH","GORAKHPUR",10654,18637,13243,894,43428
"UTTAR PRADESH","HAMIRPUR",290,5132,18,19,5459
"UTTAR PRADESH","HARDOI",555,873,801,23,2252
"UTTAR PRADESH","HARDWAR",140,119,60,0,319
"UTTAR PRADESH","JALAUN",3292,18908,273,136,22609
"UTTAR PRADESH","JAUNPUR",3106,4258,472,319,8155
"UTTAR PRADESH","JHANSI",40,180,0,0,220
"UTTAR PRADESH","KANPUR DEHAT",5542,15185,5436,496,26659
"UTTAR PRADESH","KANPUR NAGAR",490,782,150,170,1592
"UTTAR PRADESH","KHIRI",4863,5482,2813,566,13724
"UTTAR PRADESH","KUSHI NAGAR",622,667,293,43,1625
"UTTAR PRADESH","LALITPUR",NA,NA,NA,NA,NA
"UTTAR PRADESH","LUCKNOW",224,446,74,24,768
"UTTAR PRADESH","MAHOBA",NA,NA,NA,NA,NA
"UTTAR PRADESH","MAHRAJGANJ",1397,1617,487,157,3658
"UTTAR PRADESH","MAINPURI",NA,NA,NA,NA,NA
"UTTAR PRADESH","MATHURA",NA,NA,NA,NA,NA
"UTTAR PRADESH","MAU",NA,NA,NA,NA,NA
"UTTAR PRADESH","MEERUT",9224,8372,5185,713,23494
"UTTAR PRADESH","MIRZAPUR",3139,6640,1394,326,11499
"UTTAR PRADESH","MORADABAD",2573,3035,1006,578,7192
"UTTAR PRADESH","MUZAFFER NAGAR",8468,7586,5381,332,21767
