-----
{
 "description": "This data indicates the list of ongoing research projects at Rajiv Gandhi Centre for Biotechnology (RGCB), Thiruvananthapuram, Kerala as on 27th June 2013.", 
 "file_name": "Ongoing_Projects_at_Rajiv_Gandhi_Centre_for_Biotechnology_Kerala_as_on_27th_June_13_0.xls", 
 "title": "Download XLS for Ongoing Research Projects at Rajiv Gandhi Centre for Biotechnology, as on 27th June 2013", 
 "url": "http://data.gov.in/sites/default/files/Ongoing_Projects_at_Rajiv_Gandhi_Centre_for_Biotechnology_Kerala_as_on_27th_June_13_0.xls"
}
-----
"Sl. No.","Project title","Principal Investigator","Funding Agency","Duration"
55.0,"Identification of transcriptional regulators expressed in Mycobacterium tuberculosis during reactivation ffrom dormancy in vitro and identification of their target sequences","Dr. Ajay Kumar","DBT","3 years"
56.0,"Novel aspects of sphingosine 1- phosphate (S1P) in innate immune responses and host defense mechanism","Dr. K.B Harikumar","DST SERB","3 years"
57.0,"Transcriptional regulation of T1x3 (Hox11L2) by Notch signaling and its involvement in excitatory vs. inhibitory fate specification of neural progenitors","Dr. Jackson James","DST SERB","3 years"
58.0,"Isolation and characterization of Anti mycobacterial molecules from Actinomycetes","Dr. Ajay Kumar","CSIR","3 years"
59.0,"Characterization of Notch independent Hes 1mediated maintenance and fate specification of neural progenitors","Dr. Jackson James","DBT","3 years"
60.0,"Mechanotransduction through caveolae in Neural stem Cell Niches: Role in cell signaling and proliferation control","Dr. Rashmi Mishra","DBT","3 years"
61.0,"Beta HCG and BRCA 1 in gestational trophoblastic diseases","Dr. Priya Srinivas","KSCSTE","3 years"
62.0,"Post Doctoral fellowship for Advanced Scientific Research on Venous Diseases","Director","RFRVD","3 years"
63.0,"An invitro investigation on the role of estrogen and reactive oxygen species in the invasion of thyroid cancer cells with emphasis on MTA-1 and TGF-β signaling","Dr. S. Sreeja","KSCSTE","3 years"
64.0,"Transcriptional regulation of VEGFR3","Dr. Debasree Dutta","CSIR","3 years"
65.0,"Studies on the distribution and diversity of methanotrophic microbial communities, mitigating methane emission in Kuttanad wetland ecosystem Kerala","Dr. K. Harikrishnan","DEC&C","3 years"
66.0,"Interdependence of cell division and ciliogenesis: Understanding the molecular events of cance cell signaling","Dr. Sathish Tammana","DST Inspire","5 years"
67.0,"Transcriptional and translational profiling of drug resistant genes following therapeutic intervention un colorectal cancer a regional study","Dr.S. Asha Nair","CSIR","3 years"
68.0,"Homogenic endothelium- regulation and reprogramming","Dr. Debasree Dutta","DST","3 years"
