-----
{
 "description": "The table refers to district wise distribution of Deep Tubewells according to water lifting device . The report has been sourced from 2nd census of minor irrigation scheme(1993-94) from ministry of water resources.", 
 "file_name": "Statedptbwltab3.8.csv", 
 "title": "Download CSV for District wise Distribution of Deep Tubewells according to Water Lifting Device for 2nd Census of Minor Irrigation Schemes (1993-94)", 
 "url": "http://data.gov.in/sites/default/files/Statedptbwltab3.8.csv"
}
-----
-----
{
 "description": "The table refers to district wise distribution of Deep Tubewells according to water lifting device . The report has been sourced from 2nd census of minor irrigation scheme(1993-94) from ministry of water resources.", 
 "file_name": "Statedptbwltab3.8.csv", 
 "title": "Download CSV for District wise Distribution of Deep Tubewells according to Water Lifting Device for 2nd Census of Minor Irrigation Schemes (1993-94)", 
 "url": "http://data.gov.in/sites/default/files/Statedptbwltab3.8.csv"
}
-----
"State","District","Submersible pumps","Turbine pumps","Others","Total"
"MADHYA PRADESH","BILASPUR",417,24,34,475
"MADHYA PRADESH","CHHATARPUR",211,1,2,214
"MADHYA PRADESH","CHHINDWARA",1835,34,12,1881
"MADHYA PRADESH","DAMOH",180,18,22,220
"MADHYA PRADESH","DATIA",NA,NA,NA,NA
"MADHYA PRADESH","DEWAS",1026,0,4,1030
"MADHYA PRADESH","DHAR",427,14,7,448
"MADHYA PRADESH","DURG",130,4,13,147
"MADHYA PRADESH","GUNA",442,21,0,463
"MADHYA PRADESH","GWALIOR",47,0,0,47
"MADHYA PRADESH","HOSHANGABAD",105,8,30,143
"MADHYA PRADESH","INDORE",983,1,1,985
"MADHYA PRADESH","JABALPUR",503,0,8,511
"MADHYA PRADESH","JHABUA",51,2,0,53
"MADHYA PRADESH","KHANDWA",904,26,32,962
"MADHYA PRADESH","KHARGONE",1160,15,40,1215
"MADHYA PRADESH","MANDLA",2,0,0,2
"MADHYA PRADESH","MANDSAUR",1130,8,27,1165
"MADHYA PRADESH","MORENA",288,0,0,288
"MADHYA PRADESH","NARSIMHAPUR",1438,2,0,1440
"MADHYA PRADESH","PANNA",35,14,10,59
"MADHYA PRADESH","RAIGARH",419,2,12,433
"MADHYA PRADESH","RAIPUR",167,6,9,182
"MADHYA PRADESH","RAISEN",49,32,24,105
"MADHYA PRADESH","RAJGARH",156,0,1,157
"MADHYA PRADESH","RAJNANDGAON",62,0,8,70
"MADHYA PRADESH","RATLAM",1790,7,30,1827
"MADHYA PRADESH","REWA",513,4,0,517
"MADHYA PRADESH","SAGAR",192,0,0,192
"MADHYA PRADESH","SATNA",1727,10,58,1795
"MADHYA PRADESH","SEHORE",5,0,0,5
"MADHYA PRADESH","SEONI",1098,45,124,1267
"MADHYA PRADESH","SHAHDOL",189,0,3,192
"MADHYA PRADESH","SHAJAPUR",587,0,1,588
"MADHYA PRADESH","SHIVPURI",243,0,0,243
"MADHYA PRADESH","SIDHI",25,0,0,25
"MADHYA PRADESH","SURGUJA",879,271,485,1635
"MADHYA PRADESH","TIKAMGARH",807,0,0,807
"MADHYA PRADESH","UJJAIN",2096,0,2,2098
"MADHYA PRADESH","VIDISHA",33,69,82,184
"MAHARASHTRA","",NA,NA,NA,NA
"MANIPUR","BISHNUPUR",NA,NA,NA,NA
"MANIPUR","CHANDEL",NA,NA,NA,NA
"MANIPUR","CHURACHANDPUR",NA,NA,NA,NA
"MANIPUR","IMPHAL",NA,NA,NA,NA
"MANIPUR","SENAPATI",NA,NA,NA,NA
"MANIPUR","TAMENGLONG",NA,NA,NA,NA
"MANIPUR","THOUBAL",NA,NA,NA,NA
"MANIPUR","UKHRUL",NA,NA,NA,NA
"MEGHALAYA","EAST GARO HILLS",1,0,0,1
"MEGHALAYA","EAST KHASI HILLS",NA,NA,NA,NA
"MEGHALAYA","JAINTIA HILLS",NA,NA,NA,NA
"MEGHALAYA","RI BHOI DISTRICT",NA,NA,NA,NA
"MEGHALAYA","SOUTH GARO HILLS",NA,NA,NA,NA
"MEGHALAYA","WEST GARO HILLS",2,1,3,6
"MEGHALAYA","WEST KHASI HILLS",NA,NA,NA,NA
"MIZORAM","AIZAWL",NA,NA,NA,NA
"MIZORAM","CHHIMTUIPUI",NA,NA,NA,NA
"MIZORAM","LUNGLEI",NA,NA,NA,NA
"NAGALAND","KOHIMA",2,0,1,3
"NAGALAND","MOKOKCHUNG",NA,NA,NA,NA
"NAGALAND","MON",NA,NA,NA,NA
"NAGALAND","PHEK",NA,NA,NA,NA
"NAGALAND","TUENSANG",NA,NA,NA,NA
"NAGALAND","WOKHA",NA,NA,NA,NA
"NAGALAND","ZUNHEBOTO",NA,NA,NA,NA
"ORISSA","ANGUL",NA,NA,NA,NA
"ORISSA","BALASORE",1418,4,51,1473
"ORISSA","BARAGARH",12,0,4,16
"ORISSA","BHADRAK",426,27,25,478
"ORISSA","BOLANGIR",2,0,0,2
"ORISSA","BOUDH",0,1,0,1
"ORISSA","CUTTACK",147,13,0,160
"ORISSA","DEOGARH",NA,NA,NA,NA
"ORISSA","DHENKANAL",1,0,0,1
"ORISSA","GAJAPATI",1,1,0,2
"ORISSA","GANJAM",6,0,1,7
"ORISSA","JAGATSINGHPUR",82,2,0,84
"ORISSA","JAJPUR",335,0,18,353
"ORISSA","JHARSUGUDA",10,0,1,11
"ORISSA","KALAHANDI",3,0,0,3
"ORISSA","KENDRAPARA",30,10,0,40
"ORISSA","KEONJHAR",4,0,1,5
"ORISSA","KHURDA",5,3,5,13
"ORISSA","KORAPUT",NA,NA,NA,NA
"ORISSA","MALKANGIRI",NA,NA,NA,NA
"ORISSA","MAYURBHANJ",218,6,6,230
"ORISSA","NAYAGARH",2,0,0,2
"ORISSA","NOWRANGPUR",NA,NA,NA,NA
"ORISSA","NUAPADA",1,0,0,1
"ORISSA","PHULBANI",NA,NA,NA,NA
"ORISSA","PURI",7,6,15,28
"ORISSA","RAYAGADA",1,0,0,1
"ORISSA","SAMBALPUR",NA,NA,NA,NA
"ORISSA","SONEPUR",NA,NA,NA,NA
"ORISSA","SUNDARGARH",NA,NA,NA,NA
"PUNJAB","AMRITSAR",1,0,0,1
"PUNJAB","BATHINDA",9,0,0,9
"PUNJAB","FARIDKOT",NA,NA,NA,NA
"PUNJAB","FATEHGARH SAHIB",20,9,0,29
"PUNJAB","FEROZEPUR",NA,NA,NA,NA
"PUNJAB","GURDASPUR",20,6,5,31
"PUNJAB","HOSHIARPUR",439,19,116,574
"PUNJAB","JALANDHAR",NA,NA,NA,NA
"PUNJAB","KAPURTHALA",13,1,1,15
"PUNJAB","LUDHIANA",2,0,0,2
"PUNJAB","MANSA",15,0,0,15
"PUNJAB","PATIALA",388,21,1,410
"PUNJAB","ROPAR",147,15,0,162
"PUNJAB","SANGRUR",633,198,198,1029
"RAJASTHAN","AJMER",3,0,0,3
"RAJASTHAN","ALWAR",NA,NA,NA,NA
"RAJASTHAN","BANSWARA",NA,NA,NA,NA
"RAJASTHAN","BARAN",367,119,12,498
"RAJASTHAN","BARMER",5,0,0,5
"RAJASTHAN","BHARATPUR",155,198,1,354
"RAJASTHAN","BHILWARA",45,0,5,50
"RAJASTHAN","BIKANER",17,0,2,19
"RAJASTHAN","BUNDI",60,15,0,75
"RAJASTHAN","CHITTORGARH",802,28,10,840
"RAJASTHAN","CHURU",23,7,6,36
"RAJASTHAN","DAUSA",1,2,0,3
"RAJASTHAN","DHOLPUR",NA,NA,NA,NA
"RAJASTHAN","DUNGARPUR",49,2,1,52
"RAJASTHAN","GANGANAGAR",NA,NA,NA,NA
"RAJASTHAN","HANUMANGARH",NA,NA,NA,NA
"RAJASTHAN","JAIPUR",NA,NA,NA,NA
"RAJASTHAN","JAISALMER",2,0,0,2
"RAJASTHAN","JALORE",77,1,0,78
"RAJASTHAN","JHALAWAR",66,4,3,73
"RAJASTHAN","JHUNJHNU",NA,NA,NA,NA
"RAJASTHAN","JODHPUR",6032,52,13,6097
"RAJASTHAN","KOTA",328,1,0,329
"RAJASTHAN","NAGAUR",3653,33,7,3693
"RAJASTHAN","PALI",228,25,27,280
"RAJASTHAN","RAJSAMAND",13,0,0,13
"RAJASTHAN","SAWAI-MADHOPUR",11,2,12,25
"RAJASTHAN","SIKAR",NA,NA,NA,NA
"RAJASTHAN","SIROHI",NA,NA,NA,NA
"RAJASTHAN","TONK",0,6,0,6
"RAJASTHAN","UDAIPUR",19,0,0,19
"SIKKIM","EAST SIKKIM",NA,NA,NA,NA
"SIKKIM","NORTH SIKKIM",NA,NA,NA,NA
"SIKKIM","SOUTH SIKKIM",NA,NA,NA,NA
"SIKKIM","WEST SIKKIM",NA,NA,NA,NA
"TAMIL NADU","COIMBATORE",4091,61,45,4197
"TAMIL NADU","CUDDALORE",2536,1341,3816,7693
"TAMIL NADU","DHARMAPURI",256,80,22,358
"TAMIL NADU","DINDIGUL",94,4,0,98
"TAMIL NADU","ERODE",1047,293,133,1473
"TAMIL NADU","KANCHIPURAM",0,0,2,2
"TAMIL NADU","KANNIYAKUMARI",3,0,0,3
"TAMIL NADU","KARUR",95,54,0,149
"TAMIL NADU","MADRAS",NA,NA,NA,NA
"TAMIL NADU","MADURAI",1,3,0,4
"TAMIL NADU","NAGAPATTINAM",8,2,0,10
"TAMIL NADU","NAMAKKAL",1860,68,123,2051
"TAMIL NADU","PERAMBALUR",289,283,22,594
"TAMIL NADU","PUDUKOTTAI",973,145,30,1148
"TAMIL NADU","RAMNATHAPURAM",75,25,54,154
"TAMIL NADU","SALEM",969,169,81,1219
"TAMIL NADU","SIVAGANGA",78,6,8,92
"TAMIL NADU","THANJAVUR",1550,1426,35,3011
"TAMIL NADU","THE NILGIRIS",NA,NA,NA,NA
"TAMIL NADU","THENI",251,29,3,283
"TAMIL NADU","THOOTHUGUDI",NA,NA,NA,NA
"TAMIL NADU","TIRUNELVELI",24,5,4,33
"TAMIL NADU","TIRUVALLUR",259,2,1,262
"TAMIL NADU","TIRUVANNAMALAI",NA,NA,NA,NA
"TAMIL NADU","TIRUVARUR",434,344,0,778
"TAMIL NADU","TRICHIRAPPALLI",7,1,0,8
"TAMIL NADU","VELLORE",NA,NA,NA,NA
"TAMIL NADU","VILLUPURAM",8343,472,527,9342
"TAMIL NADU","VIRUDHUNAGAR",3,0,1,4
"TRIPURA","DHALAI",1,0,1,2
"TRIPURA","NORTH",8,1,0,9
"TRIPURA","SOUTH",36,3,0,39
"TRIPURA","WEST",74,6,1,81
"UTTAR PRADESH","AGRA",318,88,128,534
"UTTAR PRADESH","ALIGARH",37,9,14,60
"UTTAR PRADESH","ALLAHABAD",368,132,0,500
"UTTAR PRADESH","ALMORA",NA,NA,NA,NA
"UTTAR PRADESH","AMBEDKAR NAGAR",81,2,21,104
"UTTAR PRADESH","AZAMGARH",31,7,4,42
"UTTAR PRADESH","BADAUN",596,83,17,696
"UTTAR PRADESH","BAHRAICH",120,120,51,291
"UTTAR PRADESH","BALLIA",365,157,47,569
"UTTAR PRADESH","BANDA",131,51,4,186
"UTTAR PRADESH","BARABANKI",NA,NA,NA,NA
"UTTAR PRADESH","BAREILLY",637,44,15,696
"UTTAR PRADESH","BASTI",NA,NA,NA,NA
"UTTAR PRADESH","BIJNOR",324,53,10,387
"UTTAR PRADESH","BULANDSHAHR",NA,NA,NA,NA
"UTTAR PRADESH","CHAMOLI(GOPESHWAR)",NA,NA,NA,NA
"UTTAR PRADESH","DEHRADUN",32,32,4,68
"UTTAR PRADESH","DEORIA",331,77,62,470
"UTTAR PRADESH","ETAH",23,4,0,27
"UTTAR PRADESH","ETAWAH",171,53,57,281
"UTTAR PRADESH","FAIZABAD",146,52,10,208
"UTTAR PRADESH","FARUKHABAD",33,3,1,37
"UTTAR PRADESH","FATEHPUR",234,39,0,273
"UTTAR PRADESH","FIROZABAD",106,0,2,108
"UTTAR PRADESH","GHAZIABAD",70,173,0,243
"UTTAR PRADESH","GHAZIPUR",225,123,1,349
"UTTAR PRADESH","GONDA",169,196,23,388
"UTTAR PRADESH","GORAKHPUR",474,88,31,593
"UTTAR PRADESH","HAMIRPUR",129,16,15,160
"UTTAR PRADESH","HARDOI",16,33,5,54
"UTTAR PRADESH","HARDWAR",7,2,2,11
"UTTAR PRADESH","JALAUN",359,38,39,436
"UTTAR PRADESH","JAUNPUR",93,19,13,125
"UTTAR PRADESH","JHANSI",2,0,0,2
"UTTAR PRADESH","KANPUR DEHAT",461,59,29,549
"UTTAR PRADESH","KANPUR NAGAR",8,0,0,8
"UTTAR PRADESH","KHIRI",117,47,11,175
"UTTAR PRADESH","KUSHI NAGAR",28,11,3,42
"UTTAR PRADESH","LALITPUR",NA,NA,NA,NA
"UTTAR PRADESH","LUCKNOW",20,13,0,33
"UTTAR PRADESH","MAHOBA",NA,NA,NA,NA
"UTTAR PRADESH","MAHRAJGANJ",17,8,22,47
"UTTAR PRADESH","MAINPURI",NA,NA,NA,NA
"UTTAR PRADESH","MATHURA",NA,NA,NA,NA
"UTTAR PRADESH","MAU",NA,NA,NA,NA
"UTTAR PRADESH","MEERUT",144,26,55,225
"UTTAR PRADESH","MIRZAPUR",174,41,19,234
"UTTAR PRADESH","MORADABAD",55,13,0,68
"UTTAR PRADESH","MUZAFFER NAGAR",214,32,24,270
"UTTAR PRADESH","NAINITAL",62,15,0,77
"UTTAR PRADESH","PAURI GARHWAL",0,0,2,2
"UTTAR PRADESH","PILIBHIT",30,1,1,32
"UTTAR PRADESH","PITHORAGARH",NA,NA,NA,NA
"UTTAR PRADESH","PRATAPGARH",NA,NA,NA,NA
"UTTAR PRADESH","RAEBARELY",14,0,0,14
"UTTAR PRADESH","RAMPUR",165,0,30,195
"UTTAR PRADESH","SAHARANPUR",NA,NA,NA,NA
"UTTAR PRADESH","SANT RAVIDAS NAGAR",388,35,14,437
"UTTAR PRADESH","SHAHJAHANPUR",76,18,3,97
"UTTAR PRADESH","SIDDHARTH NAGAR",NA,NA,NA,NA
"UTTAR PRADESH","SITAPUR",91,14,8,113
"UTTAR PRADESH","SONBHADRA",NA,NA,NA,NA
"UTTAR PRADESH","SULTANPUR",82,5,4,91
"UTTAR PRADESH","TEHRI GARHWAL",NA,NA,NA,NA
"UTTAR PRADESH","UDHAMSINGH NAGAR",227,65,48,340
"UTTAR PRADESH","UNNAO",NA,NA,NA,NA
"UTTAR PRADESH","UTTARKASHI",NA,NA,NA,NA
"UTTAR PRADESH","VARANASI",620,39,19,678
"WEST BENGAL","BANKURA",82,12,9,103
"WEST BENGAL","BIRBHUM",82,0,0,82
"WEST BENGAL","BURDWAN",485,18,9,512
"WEST BENGAL","COOCHBEHAR",63,10,0,73
"WEST BENGAL","DAKSHIN DINAJPUR",94,6,0,100
"WEST BENGAL","DARJEELING",16,0,4,20
"WEST BENGAL","HOOGLY",337,87,7,431
"WEST BENGAL","HOWRAH",146,1,0,147
"WEST BENGAL","JALPAIGURI",63,48,3,114
"WEST BENGAL","MALDA",244,19,8,271
"WEST BENGAL","MIDNAPORE",392,29,20,441
"WEST BENGAL","MURSHIDABAD",367,163,15,545
"WEST BENGAL","NADIA",523,189,1,713
"WEST BENGAL","NORTH 24 PARGANAS",217,56,9,282
"WEST BENGAL","PURULIA",NA,NA,NA,NA
"WEST BENGAL","SOUTH 24 PARGANAS",26,0,5,31
"WEST BENGAL","UTTAR DINAJPUR",174,0,0,174
"ANDAMAN & NICOBARS","ANDAMAN",NA,NA,NA,NA
"ANDAMAN & NICOBARS","NICOBARS",NA,NA,NA,NA
"CHANDIGARH","",NA,NA,NA,NA
"DADRA & NAGAR HAVELI","DADRA & NAGAR HAVELI",NA,NA,NA,NA
"DAMAN & DIU","",NA,NA,NA,NA
"DELHI","CENTRAL-DELHI",NA,NA,NA,NA
"DELHI","EAST",NA,NA,NA,NA
"DELHI","NORTH-EAST",NA,NA,NA,NA
"DELHI","NORTH-WEST",NA,NA,NA,NA
"DELHI","SOUTH-EAST",371,0,0,371
"DELHI","SOUTH-WEST",320,0,0,320
"DELHI","WEST",NA,NA,NA,NA
"LAKSHADWEEP","",NA,NA,NA,NA
"PONDICHERRY","KARAIKAL",NA,NA,NA,NA
"PONDICHERRY","MAHE",NA,NA,NA,NA
"PONDICHERRY","PONDICHERRY",415,0,3,418
"PONDICHERRY","YANAM",NA,NA,NA,NA
