-----
{
 "description": "The table refers to block wise distribution of Deep Tubewells by status . The report has been sourced from 2nd census of minor irrigation scheme(1993-94) from ministry of water resources.", 
 "file_name": "blckdptbwltab3.5.csv", 
 "title": "Download CSV for Block wise Distribution of Deep Tubewells by Status for 2nd Census of Minor Irrigation Schemes (1993-94)", 
 "url": "http://data.gov.in/sites/default/files/blckdptbwltab3.5.csv"
}
-----
-----
{
 "description": "The table refers to district wise distribution of Deep Tubewells by status . The report has been sourced from 2nd census of minor irrigation scheme(1993-94) from ministry of water resources.", 
 "file_name": "Statedptbwltab3.5.csv", 
 "title": "Download CSV for District wise Distribution of Deep Tubewells by Status for 2nd Census of Minor Irrigation Schemes (1993-94)", 
 "url": "http://data.gov.in/sites/default/files/Statedptbwltab3.5.csv"
}
-----
"State","District","Tubewells in use","Tubewell not in use - Temporary","Tubewells not in use - Dried up","Tubewell not in use - Destroyed","Tubewells not in use - Others","Total - Not in use","Grand Total (Not in use + In use)"
"ANDHRA PRADESH","WARANGAL",190,14,9,0,0,23,213
"ANDHRA PRADESH","WEST GODAVARI",10594,26,4,56,4,90,10684
"ARUNACHAL PRADESH","CHANGLANG",NA,NA,NA,NA,NA,NA,NA
"ARUNACHAL PRADESH","DIBANG VALLEY",NA,NA,NA,NA,NA,NA,NA
"ARUNACHAL PRADESH","EAST KAMENG",NA,NA,NA,NA,NA,NA,NA
"ARUNACHAL PRADESH","EAST SIANG",NA,NA,NA,NA,NA,NA,NA
"ARUNACHAL PRADESH","LOHIT",NA,NA,NA,NA,NA,NA,NA
"ARUNACHAL PRADESH","LOWER SUBANSIRI",NA,NA,NA,NA,NA,NA,NA
"ARUNACHAL PRADESH","PAPUM PARE",NA,NA,NA,NA,NA,NA,NA
"ARUNACHAL PRADESH","TAWANG",NA,NA,NA,NA,NA,NA,NA
"ARUNACHAL PRADESH","TIRAP",NA,NA,NA,NA,NA,NA,NA
"ARUNACHAL PRADESH","UPPER SIANG",NA,NA,NA,NA,NA,NA,NA
"ARUNACHAL PRADESH","UPPER SUBANSIRI",NA,NA,NA,NA,NA,NA,NA
"ARUNACHAL PRADESH","WEST KAMENG",NA,NA,NA,NA,NA,NA,NA
"ARUNACHAL PRADESH","WEST SIANG",NA,NA,NA,NA,NA,NA,NA
"ASSAM","BARPETA",9,1,0,0,1,2,11
"ASSAM","BONGAIGAON",12,16,0,0,0,16,28
"ASSAM","CACHAR",1,4,0,0,0,4,5
"ASSAM","DARRANG",24,7,1,2,0,10,34
"ASSAM","DHEMAJI",15,0,0,0,0,0,15
"ASSAM","DHUBRI",9,11,0,0,0,11,20
"ASSAM","DIBRUGARH",14,1,0,0,0,1,15
"ASSAM","GOALPARA",25,11,0,0,0,11,36
"ASSAM","GOLAGHAT",62,11,0,0,1,12,74
"ASSAM","HAILAKANDI",8,0,0,0,0,0,8
"ASSAM","JORHAT",34,29,0,0,0,29,63
"ASSAM","KAMRUP",28,15,1,4,1,21,49
"ASSAM","KARBI ANGLONG",5,3,0,0,0,3,8
"ASSAM","KARIMGANJ",4,1,0,0,0,1,5
"ASSAM","KOKRAJHAR",5,1,0,0,0,1,6
"ASSAM","LAKHIMPUR",36,19,0,0,0,19,55
"ASSAM","MARIGAON",7,1,0,0,0,1,8
"ASSAM","NAGAON",4,18,0,0,2,20,24
"ASSAM","NALBARI",52,16,0,1,0,17,69
"ASSAM","NORTH CACHAR HILLS",2,0,0,0,0,0,2
"ASSAM","SIBSAGAR",8,1,0,0,1,2,10
"ASSAM","SONITPUR",6,5,0,0,0,5,11
"ASSAM","TINSUKIA",17,19,0,0,0,19,36
"BIHAR","ARARIA",2,5,4,4,0,13,15
"BIHAR","AURANGABAD",36,21,7,10,10,48,84
"BIHAR","BANKA",3,0,0,0,0,0,3
"BIHAR","BEGUSARAI",149,68,10,13,13,104,253
"BIHAR","BHABUA",98,14,1,5,2,22,120
"BIHAR","BHAGALPUR",146,19,5,5,7,36,182
"BIHAR","BHOJPUR",69,47,8,54,16,125,194
"BIHAR","BOKARO",NA,NA,NA,NA,NA,NA,NA
"BIHAR","BUXAR",67,70,5,9,18,102,169
"BIHAR","CHAMPARAN EAST",226,33,5,8,10,56,282
"BIHAR","CHAMPARAN WEST",29,18,0,2,8,28,57
"BIHAR","CHATRA",NA,NA,NA,NA,NA,NA,NA
"BIHAR","DARBHANGA",124,33,6,12,20,71,195
"BIHAR","DEOGHAR",NA,NA,NA,NA,NA,NA,NA
"BIHAR","DHANBAD",NA,NA,NA,NA,NA,NA,NA
"BIHAR","DUMKA",1,0,0,0,0,0,1
"BIHAR","GARHWA",11,0,0,0,0,0,11
"BIHAR","GAYA",11,23,2,1,1,27,38
"BIHAR","GIRIDIH",1,0,0,0,0,0,1
"BIHAR","GODDA",NA,NA,NA,NA,NA,NA,NA
"BIHAR","GOPALGANJ",51,38,2,0,5,45,96
"BIHAR","GUMLA",NA,NA,NA,NA,NA,NA,NA
"BIHAR","HAZARIBAG",NA,NA,NA,NA,NA,NA,NA
"BIHAR","JAMUI",4,5,0,0,0,5,9
"BIHAR","JEHANABAD",30,35,13,21,8,77,107
"BIHAR","KATIHAR",24,2,0,0,4,6,30
"BIHAR","KHAGARIA",55,42,9,4,12,67,122
"BIHAR","KISHANGANJ",10,8,0,0,2,10,20
"BIHAR","KODARMA",14,0,0,2,0,2,16
"BIHAR","LAKHISARAI",11,8,4,0,8,20,31
"BIHAR","LOHARDAGA",NA,NA,NA,NA,NA,NA,NA
"BIHAR","MADHEPURA",15,6,0,0,0,6,21
"BIHAR","MADHUBANI",859,48,35,24,9,116,975
"BIHAR","MUNGER",2,0,0,0,0,0,2
"BIHAR","MUZAFFARPUR",189,65,5,17,20,107,296
"BIHAR","NALANDA",213,59,22,19,19,119,332
"BIHAR","NAWADA",140,27,26,8,13,74,214
"BIHAR","PAKUR",22,0,0,0,0,0,22
"BIHAR","PALAMU",NA,NA,NA,NA,NA,NA,NA
"BIHAR","PATNA",196,139,14,69,16,238,434
"BIHAR","PURNIA",2,0,1,0,4,5,7
"BIHAR","RANCHI",NA,NA,NA,NA,NA,NA,NA
"BIHAR","ROHTAS",66,32,0,5,7,44,110
"BIHAR","SAHARSA",13,2,0,0,0,2,15
"BIHAR","SAHEBGANJ",NA,NA,NA,NA,NA,NA,NA
"BIHAR","SAMASTIPUR",157,47,23,8,20,98,255
"BIHAR","SARAN",49,29,3,31,25,88,137
"BIHAR","SHEIKHPURA",70,12,0,3,9,24,94
"BIHAR","SHEOHAR",0,1,0,0,2,3,3
"BIHAR","SINGHBHUM EAST",5,0,0,1,0,1,6
"BIHAR","SINGHBHUM WEST",0,1,0,0,0,1,1
"BIHAR","SITAMARHI",1106,73,8,20,13,114,1220
"BIHAR","SIWAN",40,26,4,6,17,53,93
"BIHAR","SUPAUL",7,24,1,2,1,28,35
"BIHAR","VAISHALI",75,31,5,4,17,57,132
"GOA","NORTH GOA",11,7,0,0,0,7,18
"GOA","SOUTH GOA",1,0,0,0,0,0,1
"GUJARAT","",NA,NA,NA,NA,NA,NA,NA
"HARYANA","AMBALA",2259,0,0,0,4,4,2263
"HARYANA","BHIWANI",24,0,0,0,1,1,25
"HARYANA","FARIDABAD",NA,NA,NA,NA,NA,NA,NA
"HARYANA","GURGAON",130,0,0,0,0,0,130
"HARYANA","HISAR",NA,NA,NA,NA,NA,NA,NA
"HARYANA","JIND",300,0,0,0,0,0,300
"HARYANA","KAITHAL",826,0,0,0,1,1,827
"HARYANA","KARNAL",1704,1,0,0,1,2,1706
"HARYANA","KURUKSHETRA",333,0,0,0,7,7,340
"HARYANA","MEHANDERGARH",80,20,0,0,0,20,100
"HARYANA","PANCHKULA",114,0,0,0,0,0,114
"HARYANA","PANIPAT",195,0,0,0,0,0,195
"HARYANA","RIWARI",NA,NA,NA,NA,NA,NA,NA
"HARYANA","ROHTAK",NA,NA,NA,NA,NA,NA,NA
"HARYANA","SIRSA",210,0,0,0,0,0,210
"HARYANA","SONIPAT",20,0,0,0,0,0,20
"HARYANA","YAMUNA NAGAR",182,1,0,1,0,2,184
"HIMACHAL PRADESH","Bilaspur",NA,NA,NA,NA,NA,NA,NA
"HIMACHAL PRADESH","Chamba",NA,NA,NA,NA,NA,NA,NA
"HIMACHAL PRADESH","Hamirpur",NA,NA,NA,NA,NA,NA,NA
"HIMACHAL PRADESH","Kangra",55,0,0,0,1,1,56
"HIMACHAL PRADESH","Kinnaur",NA,NA,NA,NA,NA,NA,NA
"HIMACHAL PRADESH","Kullu",NA,NA,NA,NA,NA,NA,NA
"HIMACHAL PRADESH","Lahul & Spiti",NA,NA,NA,NA,NA,NA,NA
"HIMACHAL PRADESH","Mandi",2,0,0,0,0,0,2
"HIMACHAL PRADESH","Shimla",NA,NA,NA,NA,NA,NA,NA
"HIMACHAL PRADESH","Sirmaur",10,0,0,0,0,0,10
"HIMACHAL PRADESH","Solan",26,0,0,0,0,0,26
"HIMACHAL PRADESH","Una",136,0,0,0,0,0,136
"JAMMU & KASHMIR","Anantnagh",NA,NA,NA,NA,NA,NA,NA
"JAMMU & KASHMIR","Baramulla",9,0,0,0,0,0,9
"JAMMU & KASHMIR","Budgam",NA,NA,NA,NA,NA,NA,NA
"JAMMU & KASHMIR","Doda",NA,NA,NA,NA,NA,NA,NA
"JAMMU & KASHMIR","Jammu",64,0,0,0,0,0,64
"JAMMU & KASHMIR","Kargil",NA,NA,NA,NA,NA,NA,NA
"JAMMU & KASHMIR","Kathua",9,0,0,0,0,0,9
"JAMMU & KASHMIR","Kupwara",NA,NA,NA,NA,NA,NA,NA
"JAMMU & KASHMIR","Leh",NA,NA,NA,NA,NA,NA,NA
"JAMMU & KASHMIR","Poonch",NA,NA,NA,NA,NA,NA,NA
"JAMMU & KASHMIR","Pulwama",NA,NA,NA,NA,NA,NA,NA
"JAMMU & KASHMIR","Rajouri",NA,NA,NA,NA,NA,NA,NA
"JAMMU & KASHMIR","Srinagar",15,0,0,0,0,0,15
"JAMMU & KASHMIR","Udhampur",NA,NA,NA,NA,NA,NA,NA
"KARNATAKA","BANGALORE RURAL",10273,99,51,54,65,269,10542
"KARNATAKA","BANGALORE URBAN",7391,74,86,31,5,196,7587
"KARNATAKA","BELGAUM",11777,129,21,160,22,332,12109
"KARNATAKA","BELLARY",8524,160,28,1370,38,1596,10120
"KARNATAKA","BIDAR",3331,176,223,10,6,415,3746
"KARNATAKA","BIJAPUR",5277,277,72,6,34,389,5666
"KARNATAKA","CHIKKAMAGALORE",1971,55,8,18,1,82,2053
"KARNATAKA","CHITRADURGA",9071,224,204,25,29,482,9553
"KARNATAKA","DAKSHINA KANNADA",1899,6,6,2,2,16,1915
"KARNATAKA","DHARWAR",10734,144,171,52,68,435,11169
"KARNATAKA","GULBARGA",260,27,13,5,2,47,307
"KARNATAKA","HASSAN",1192,6,68,1,0,75,1267
"KARNATAKA","KODAGU",21,0,2,0,0,2,23
"KARNATAKA","KOLAR",22007,102,161,157,141,561,22568
"KARNATAKA","MANDYA",3286,13,18,20,16,67,3353
"KARNATAKA","MYSORE",5335,133,16,16,12,177,5512
"KARNATAKA","RAICHUR",4621,32,9,5,2,48,4669
"KARNATAKA","SHIMOGA",6577,14,5,2,21,42,6619
"KARNATAKA","TUMKUR",30448,392,227,191,136,946,31394
"KARNATAKA","UTTARA KANNADA",398,2,3,5,2,12,410
"KERALA","ALAPUZHA",58,0,0,0,0,0,58
"KERALA","ERANAKULAM",12,0,0,0,0,0,12
"KERALA","IDUKKI",2,0,0,0,0,0,2
"KERALA","KANNUR",17,0,0,0,0,0,17
"KERALA","KASARAGODE",30,0,0,0,0,0,30
"KERALA","KOLLAM",5,1,2,0,0,3,8
"KERALA","KOTTAYAM",11,0,0,0,0,0,11
"KERALA","KOZHIKODE",2,0,0,0,0,0,2
"KERALA","MALAPPURAM",13,0,0,0,0,0,13
"KERALA","PALAKKAD",27,0,2,0,0,2,29
"KERALA","PATHANAMTHITTA",9,0,0,0,0,0,9
"KERALA","THIRUVANANTHAPURAM",6,0,0,0,0,0,6
"KERALA","THRISSUR",1,0,0,0,0,0,1
"KERALA","WAYANAD",NA,NA,NA,NA,NA,NA,NA
"MADHYA PRADESH","BALAGHAT",1,0,0,0,0,0,1
"MADHYA PRADESH","BASTAR",2,0,0,2,0,2,4
"MADHYA PRADESH","BETUL",251,2,1,0,0,3,254
"MADHYA PRADESH","BHIND",122,0,0,0,0,0,122
"MADHYA PRADESH","BHOPAL",NA,NA,NA,NA,NA,NA,NA
"MADHYA PRADESH","BILASPUR",454,13,3,5,0,21,475
"MADHYA PRADESH","CHHATARPUR",193,11,8,2,0,21,214
"MADHYA PRADESH","CHHINDWARA",1881,0,0,0,0,0,1881
"MADHYA PRADESH","DAMOH",213,2,2,2,1,7,220
"MADHYA PRADESH","DATIA",NA,NA,NA,NA,NA,NA,NA
"MADHYA PRADESH","DEWAS",1015,3,3,9,0,15,1030
"MADHYA PRADESH","DHAR",338,12,8,1,89,110,448
"MADHYA PRADESH","DURG",125,9,8,2,3,22,147
"MADHYA PRADESH","GUNA",463,0,0,0,0,0,463
"MADHYA PRADESH","GWALIOR",47,0,0,0,0,0,47
"MADHYA PRADESH","HOSHANGABAD",131,0,0,4,8,12,143
"MADHYA PRADESH","INDORE",887,59,2,1,36,98,985
"MADHYA PRADESH","JABALPUR",478,0,0,0,33,33,511
"MADHYA PRADESH","JHABUA",53,0,0,0,0,0,53
"MADHYA PRADESH","KHANDWA",912,3,21,16,10,50,962
"MADHYA PRADESH","KHARGONE",1144,12,45,7,7,71,1215
"MADHYA PRADESH","MANDLA",2,0,0,0,0,0,2
"MADHYA PRADESH","MANDSAUR",1127,8,14,1,15,38,1165
"MADHYA PRADESH","MORENA",288,0,0,0,0,0,288
"MADHYA PRADESH","NARSIMHAPUR",969,73,25,0,373,471,1440
"MADHYA PRADESH","PANNA",59,0,0,0,0,0,59
"MADHYA PRADESH","RAIGARH",428,5,0,0,0,5,433
"MADHYA PRADESH","RAIPUR",175,3,2,1,1,7,182
"MADHYA PRADESH","RAISEN",105,0,0,0,0,0,105
"MADHYA PRADESH","RAJGARH",156,0,0,0,1,1,157
"MADHYA PRADESH","RAJNANDGAON",67,1,0,2,0,3,70
"MADHYA PRADESH","RATLAM",1718,39,23,2,45,109,1827
"MADHYA PRADESH","REWA",515,2,0,0,0,2,517
"MADHYA PRADESH","SAGAR",192,0,0,0,0,0,192
"MADHYA PRADESH","SATNA",1732,45,14,4,0,63,1795
"MADHYA PRADESH","SEHORE",5,0,0,0,0,0,5
"MADHYA PRADESH","SEONI",1051,0,2,0,214,216,1267
"MADHYA PRADESH","SHAHDOL",185,4,3,0,0,7,192
"MADHYA PRADESH","SHAJAPUR",582,1,0,0,5,6,588
"MADHYA PRADESH","SHIVPURI",243,0,0,0,0,0,243
"MADHYA PRADESH","SIDHI",24,0,1,0,0,1,25
"MADHYA PRADESH","SURGUJA",1635,0,0,0,0,0,1635
"MADHYA PRADESH","TIKAMGARH",807,0,0,0,0,0,807
"MADHYA PRADESH","UJJAIN",2079,5,3,0,11,19,2098
"MADHYA PRADESH","VIDISHA",160,24,0,0,0,24,184
"MAHARASHTRA","",NA,NA,NA,NA,NA,NA,NA
"MANIPUR","BISHNUPUR",NA,NA,NA,NA,NA,NA,NA
"MANIPUR","CHANDEL",NA,NA,NA,NA,NA,NA,NA
"MANIPUR","CHURACHANDPUR",NA,NA,NA,NA,NA,NA,NA
"MANIPUR","IMPHAL",NA,NA,NA,NA,NA,NA,NA
"MANIPUR","SENAPATI",NA,NA,NA,NA,NA,NA,NA
"MANIPUR","TAMENGLONG",NA,NA,NA,NA,NA,NA,NA
"MANIPUR","THOUBAL",NA,NA,NA,NA,NA,NA,NA
"MANIPUR","UKHRUL",NA,NA,NA,NA,NA,NA,NA
"MEGHALAYA","EAST GARO HILLS",0,0,0,0,1,1,1
"MEGHALAYA","EAST KHASI HILLS",NA,NA,NA,NA,NA,NA,NA
"MEGHALAYA","JAINTIA HILLS",NA,NA,NA,NA,NA,NA,NA
"MEGHALAYA","RI BHOI DISTRICT",NA,NA,NA,NA,NA,NA,NA
"MEGHALAYA","SOUTH GARO HILLS",NA,NA,NA,NA,NA,NA,NA
"MEGHALAYA","WEST GARO HILLS",6,0,0,0,0,0,6
"MEGHALAYA","WEST KHASI HILLS",NA,NA,NA,NA,NA,NA,NA
"MIZORAM","AIZAWL",NA,NA,NA,NA,NA,NA,NA
"MIZORAM","CHHIMTUIPUI",NA,NA,NA,NA,NA,NA,NA
"MIZORAM","LUNGLEI",NA,NA,NA,NA,NA,NA,NA
"NAGALAND","KOHIMA",2,1,0,0,0,1,3
"NAGALAND","MOKOKCHUNG",NA,NA,NA,NA,NA,NA,NA
"NAGALAND","MON",NA,NA,NA,NA,NA,NA,NA
"NAGALAND","PHEK",NA,NA,NA,NA,NA,NA,NA
"NAGALAND","TUENSANG",NA,NA,NA,NA,NA,NA,NA
"NAGALAND","WOKHA",NA,NA,NA,NA,NA,NA,NA
"NAGALAND","ZUNHEBOTO",NA,NA,NA,NA,NA,NA,NA
"ORISSA","ANGUL",NA,NA,NA,NA,NA,NA,NA
"ORISSA","BALASORE",990,243,65,111,64,483,1473
"ORISSA","BARAGARH",14,2,0,0,0,2,16
"ORISSA","BHADRAK",251,151,14,43,19,227,478
"ORISSA","BOLANGIR",1,0,0,0,1,1,2
"ORISSA","BOUDH",1,0,0,0,0,0,1
"ORISSA","CUTTACK",133,23,4,0,0,27,160
"ORISSA","DEOGARH",NA,NA,NA,NA,NA,NA,NA
"ORISSA","DHENKANAL",1,0,0,0,0,0,1
"ORISSA","GAJAPATI",0,2,0,0,0,2,2
"ORISSA","GANJAM",5,2,0,0,0,2,7
"ORISSA","JAGATSINGHPUR",65,13,2,3,1,19,84
"ORISSA","JAJPUR",189,115,17,17,15,164,353
"ORISSA","JHARSUGUDA",11,0,0,0,0,0,11
"ORISSA","KALAHANDI",2,1,0,0,0,1,3
"ORISSA","KENDRAPARA",20,6,9,4,1,20,40
"ORISSA","KEONJHAR",4,1,0,0,0,1,5
"ORISSA","KHURDA",8,5,0,0,0,5,13
"ORISSA","KORAPUT",NA,NA,NA,NA,NA,NA,NA
"ORISSA","MALKANGIRI",NA,NA,NA,NA,NA,NA,NA
"ORISSA","MAYURBHANJ",148,45,6,19,12,82,230
"ORISSA","NAYAGARH",2,0,0,0,0,0,2
"ORISSA","NOWRANGPUR",NA,NA,NA,NA,NA,NA,NA
"ORISSA","NUAPADA",0,1,0,0,0,1,1
"ORISSA","PHULBANI",NA,NA,NA,NA,NA,NA,NA
"ORISSA","PURI",20,8,0,0,0,8,28
"ORISSA","RAYAGADA",1,0,0,0,0,0,1
"ORISSA","SAMBALPUR",NA,NA,NA,NA,NA,NA,NA
"ORISSA","SONEPUR",NA,NA,NA,NA,NA,NA,NA
"ORISSA","SUNDARGARH",NA,NA,NA,NA,NA,NA,NA
"PUNJAB","AMRITSAR",1,0,0,0,0,0,1
"PUNJAB","BATHINDA",9,0,0,0,0,0,9
"PUNJAB","FARIDKOT",NA,NA,NA,NA,NA,NA,NA
"PUNJAB","FATEHGARH SAHIB",27,0,2,0,0,2,29
"PUNJAB","FEROZEPUR",NA,NA,NA,NA,NA,NA,NA
"PUNJAB","GURDASPUR",30,1,0,0,0,1,31
"PUNJAB","HOSHIARPUR",555,6,12,0,1,19,574
"PUNJAB","JALANDHAR",NA,NA,NA,NA,NA,NA,NA
"PUNJAB","KAPURTHALA",15,0,0,0,0,0,15
"PUNJAB","LUDHIANA",2,0,0,0,0,0,2
"PUNJAB","MANSA",15,0,0,0,0,0,15
"PUNJAB","PATIALA",405,3,0,1,1,5,410
"PUNJAB","ROPAR",157,4,1,0,0,5,162
"PUNJAB","SANGRUR",1017,10,2,0,0,12,1029
"RAJASTHAN","AJMER",3,0,0,0,0,0,3
"RAJASTHAN","ALWAR",NA,NA,NA,NA,NA,NA,NA
"RAJASTHAN","BANSWARA",NA,NA,NA,NA,NA,NA,NA
"RAJASTHAN","BARAN",478,18,1,1,0,20,498
"RAJASTHAN","BARMER",5,0,0,0,0,0,5
"RAJASTHAN","BHARATPUR",271,81,1,1,0,83,354
"RAJASTHAN","BHILWARA",49,1,0,0,0,1,50
"RAJASTHAN","BIKANER",16,2,1,0,0,3,19
"RAJASTHAN","BUNDI",59,16,0,0,0,16,75
"RAJASTHAN","CHITTORGARH",788,38,6,2,6,52,840
"RAJASTHAN","CHURU",35,1,0,0,0,1,36
"RAJASTHAN","DAUSA",3,0,0,0,0,0,3
"RAJASTHAN","DHOLPUR",NA,NA,NA,NA,NA,NA,NA
"RAJASTHAN","DUNGARPUR",46,3,0,0,3,6,52
"RAJASTHAN","GANGANAGAR",NA,NA,NA,NA,NA,NA,NA
"RAJASTHAN","HANUMANGARH",NA,NA,NA,NA,NA,NA,NA
"RAJASTHAN","JAIPUR",NA,NA,NA,NA,NA,NA,NA
"RAJASTHAN","JAISALMER",2,0,0,0,0,0,2
"RAJASTHAN","JALORE",70,8,0,0,0,8,78
"RAJASTHAN","JHALAWAR",72,0,1,0,0,1,73
"RAJASTHAN","JHUNJHNU",NA,NA,NA,NA,NA,NA,NA
"RAJASTHAN","JODHPUR",5707,310,47,8,25,390,6097
"RAJASTHAN","KOTA",312,14,2,0,1,17,329
"RAJASTHAN","NAGAUR",3482,172,20,5,14,211,3693
"RAJASTHAN","PALI",274,5,0,0,1,6,280
"RAJASTHAN","RAJSAMAND",13,0,0,0,0,0,13
"RAJASTHAN","SAWAI-MADHOPUR",24,1,0,0,0,1,25
"RAJASTHAN","SIKAR",NA,NA,NA,NA,NA,NA,NA
"RAJASTHAN","SIROHI",NA,NA,NA,NA,NA,NA,NA
"RAJASTHAN","TONK",6,0,0,0,0,0,6
"RAJASTHAN","UDAIPUR",11,7,0,1,0,8,19
"SIKKIM","EAST SIKKIM",NA,NA,NA,NA,NA,NA,NA
"SIKKIM","NORTH SIKKIM",NA,NA,NA,NA,NA,NA,NA
"SIKKIM","SOUTH SIKKIM",NA,NA,NA,NA,NA,NA,NA
"SIKKIM","WEST SIKKIM",NA,NA,NA,NA,NA,NA,NA
"TAMIL NADU","COIMBATORE",3165,432,66,529,5,1032,4197
"TAMIL NADU","CUDDALORE",7250,84,40,236,83,443,7693
"TAMIL NADU","DHARMAPURI",136,204,17,1,0,222,358
"TAMIL NADU","DINDIGUL",74,18,6,0,0,24,98
"TAMIL NADU","ERODE",1294,140,30,8,1,179,1473
"TAMIL NADU","KANCHIPURAM",0,0,0,0,2,2,2
"TAMIL NADU","KANNIYAKUMARI",3,0,0,0,0,0,3
"TAMIL NADU","KARUR",138,10,0,1,0,11,149
"TAMIL NADU","MADRAS",NA,NA,NA,NA,NA,NA,NA
"TAMIL NADU","MADURAI",4,0,0,0,0,0,4
"TAMIL NADU","NAGAPATTINAM",10,0,0,0,0,0,10
"TAMIL NADU","NAMAKKAL",1713,98,219,10,11,338,2051
"TAMIL NADU","PERAMBALUR",136,198,16,1,243,458,594
"TAMIL NADU","PUDUKOTTAI",1113,24,2,8,1,35,1148
"TAMIL NADU","RAMNATHAPURAM",146,5,3,0,0,8,154
"TAMIL NADU","SALEM",1192,16,7,1,3,27,1219
"TAMIL NADU","SIVAGANGA",67,9,2,1,13,25,92
"TAMIL NADU","THANJAVUR",2930,16,16,46,3,81,3011
"TAMIL NADU","THE NILGIRIS",NA,NA,NA,NA,NA,NA,NA
"TAMIL NADU","THENI",23,1,1,0,258,260,283
"TAMIL NADU","THOOTHUGUDI",NA,NA,NA,NA,NA,NA,NA
"TAMIL NADU","TIRUNELVELI",29,0,1,0,3,4,33
"TAMIL NADU","TIRUVALLUR",250,7,0,0,5,12,262
"TAMIL NADU","TIRUVANNAMALAI",NA,NA,NA,NA,NA,NA,NA
"TAMIL NADU","TIRUVARUR",764,14,0,0,0,14,778
"TAMIL NADU","TRICHIRAPPALLI",6,0,0,0,2,2,8
"TAMIL NADU","VELLORE",NA,NA,NA,NA,NA,NA,NA
"TAMIL NADU","VILLUPURAM",8802,109,337,89,5,540,9342
"TAMIL NADU","VIRUDHUNAGAR",4,0,0,0,0,0,4
"TRIPURA","DHALAI",1,1,0,0,0,1,2
"TRIPURA","NORTH",8,1,0,0,0,1,9
"TRIPURA","SOUTH",35,0,3,0,1,4,39
"TRIPURA","WEST",75,1,3,1,1,6,81
"UTTAR PRADESH","AGRA",534,0,0,0,0,0,534
"UTTAR PRADESH","ALIGARH",58,1,1,0,0,2,60
"UTTAR PRADESH","ALLAHABAD",485,7,3,0,5,15,500
"UTTAR PRADESH","ALMORA",NA,NA,NA,NA,NA,NA,NA
"UTTAR PRADESH","AMBEDKAR NAGAR",19,0,0,0,85,85,104
"UTTAR PRADESH","AZAMGARH",42,0,0,0,0,0,42
"UTTAR PRADESH","BADAUN",696,0,0,0,0,0,696
"UTTAR PRADESH","BAHRAICH",280,2,0,0,9,11,291
"UTTAR PRADESH","BALLIA",553,6,1,7,2,16,569
"UTTAR PRADESH","BANDA",186,0,0,0,0,0,186
"UTTAR PRADESH","BARABANKI",NA,NA,NA,NA,NA,NA,NA
"UTTAR PRADESH","BAREILLY",687,0,0,8,1,9,696
"UTTAR PRADESH","BASTI",NA,NA,NA,NA,NA,NA,NA
