-----
{
 "description": "The table refers to district wise distribution of dugwells by type. It has been sourced from 2nd census of Minor Irrigation Scheme (1993-94) from Ministry of Water Resources.", 
 "file_name": "Statedgwltab1.5.csv", 
 "title": "Download CSV for District wise Distribution of Dugwells by its type for 2nd census of minor irrigation schemes", 
 "url": "http://data.gov.in/sites/default/files/Statedgwltab1.5.csv"
}
-----
"State","District","Pucca","Kuchcha","Dug-cum Borewell","Others","Total"
"BIHAR","LOHARDAGA",14688,922,1,1,15612
"BIHAR","MADHEPURA",2,0,0,0,2
"BIHAR","MADHUBANI",59,0,0,0,59
"BIHAR","MUNGER",2078,26,24,0,2128
"BIHAR","MUZAFFARPUR",1153,291,0,16,1460
"BIHAR","NALANDA",10077,1187,11149,42,22455
"BIHAR","NAWADA",5449,229,158,51,5887
"BIHAR","PAKUR",869,12,0,1,882
"BIHAR","PALAMU",21484,1173,101,27,22785
"BIHAR","PATNA",4550,359,2148,1,7058
"BIHAR","PURNIA",3,0,0,0,3
"BIHAR","RANCHI",34263,4948,59,101,39371
"BIHAR","ROHTAS",6284,43,703,55,7085
"BIHAR","SAHARSA",NA,NA,NA,NA,NA
"BIHAR","SAHEBGANJ",2002,101,0,1,2104
"BIHAR","SAMASTIPUR",23,0,0,0,23
"BIHAR","SARAN",2456,373,52,1,2882
"BIHAR","SHEIKHPURA",522,7,10,5,544
"BIHAR","SHEOHAR",NA,NA,NA,NA,NA
"BIHAR","SINGHBHUM EAST",2147,91,100,11,2349
"BIHAR","SINGHBHUM WEST",4497,235,2,28,4762
"BIHAR","SITAMARHI",7,3,0,0,10
"BIHAR","SIWAN",10556,335,112,8,11011
"BIHAR","SUPAUL",NA,NA,NA,NA,NA
"BIHAR","VAISHALI",603,56,922,1,1582
"GOA","NORTH GOA",2003,838,11,1,2853
"GOA","SOUTH GOA",770,350,0,2,1122
"GUJARAT","",NA,NA,NA,NA,NA
"HARYANA","AMBALA",1679,3,42,7,1731
"HARYANA","BHIWANI",3041,603,840,28,4512
"HARYANA","FARIDABAD",NA,NA,NA,NA,NA
"HARYANA","GURGAON",3776,6,160,164,4106
"HARYANA","HISAR",147,6,0,2,155
"HARYANA","JIND",NA,NA,NA,NA,NA
"HARYANA","KAITHAL",4538,133,105,16,4792
"HARYANA","KARNAL",2071,27,2,11,2111
"HARYANA","KURUKSHETRA",NA,NA,NA,NA,NA
"HARYANA","MEHANDERGARH",1135,0,1122,90,2347
"HARYANA","PANCHKULA",46,0,0,0,46
"HARYANA","PANIPAT",405,0,38,0,443
"HARYANA","RIWARI",1340,8,34,0,1382
"HARYANA","ROHTAK",1402,42,62,0,1506
"HARYANA","SIRSA",1758,146,3,23,1930
"HARYANA","SONIPAT",96,0,26,2,124
"HARYANA","YAMUNA NAGAR",1153,94,4,4,1255
"HIMACHAL PRADESH","Bilaspur",36,8,0,1,45
"HIMACHAL PRADESH","Chamba",NA,NA,NA,NA,NA
"HIMACHAL PRADESH","Hamirpur",68,52,2,0,122
"HIMACHAL PRADESH","Kangra",107,186,2,2,297
"HIMACHAL PRADESH","Kinnaur",NA,NA,NA,NA,NA
"HIMACHAL PRADESH","Kullu",1,12,0,0,13
"HIMACHAL PRADESH","Lahul & Spiti",NA,NA,NA,NA,NA
"HIMACHAL PRADESH","Mandi",25,0,0,0,25
"HIMACHAL PRADESH","Shimla",NA,NA,NA,NA,NA
"HIMACHAL PRADESH","Sirmaur",162,4,2,0,168
"HIMACHAL PRADESH","Solan",568,5,23,0,596
"HIMACHAL PRADESH","Una",407,39,10,0,456
"JAMMU & KASHMIR","Anantnagh",NA,NA,NA,NA,NA
"JAMMU & KASHMIR","Baramulla",57,126,0,0,183
"JAMMU & KASHMIR","Budgam",97,0,0,0,97
"JAMMU & KASHMIR","Doda",NA,NA,NA,NA,NA
"JAMMU & KASHMIR","Jammu",64,25,8,4,101
"JAMMU & KASHMIR","Kargil",NA,NA,NA,NA,NA
"JAMMU & KASHMIR","Kathua",195,40,40,0,275
"JAMMU & KASHMIR","Kupwara",NA,NA,NA,NA,NA
"JAMMU & KASHMIR","Leh",NA,NA,NA,NA,NA
"JAMMU & KASHMIR","Poonch",NA,NA,NA,NA,NA
"JAMMU & KASHMIR","Pulwama",68,0,0,0,68
"JAMMU & KASHMIR","Rajouri",4,1,0,0,5
"JAMMU & KASHMIR","Srinagar",52,635,0,0,687
"JAMMU & KASHMIR","Udhampur",5,4,0,0,9
"KARNATAKA","BANGALORE RURAL",7307,2914,1199,350,11770
"KARNATAKA","BANGALORE URBAN",1663,421,174,197,2455
"KARNATAKA","BELGAUM",9519,42715,2092,264,54590
"KARNATAKA","BELLARY",1093,2327,576,582,4578
"KARNATAKA","BIDAR",5085,11324,363,85,16857
"KARNATAKA","BIJAPUR",6235,29624,1915,250,38024
"KARNATAKA","CHIKKAMAGALORE",1362,1002,182,40,2586
"KARNATAKA","CHITRADURGA",1479,5890,3609,265,11243
"KARNATAKA","DAKSHINA KANNADA",13870,16047,680,247,30844
"KARNATAKA","DHARWAR",901,3637,1486,70,6094
"KARNATAKA","GULBARGA",5389,14227,626,79,20321
"KARNATAKA","HASSAN",1685,583,229,167,2664
"KARNATAKA","KODAGU",51,109,15,1,176
"KARNATAKA","KOLAR",14819,9451,2013,291,26574
"KARNATAKA","MANDYA",3999,4324,624,238,9185
"KARNATAKA","MYSORE",3808,5883,4580,1431,15702
"KARNATAKA","RAICHUR",1562,13000,2371,257,17190
"KARNATAKA","SHIMOGA",2873,2580,215,101,5769
"KARNATAKA","TUMKUR",15922,10647,3566,696,30831
"KARNATAKA","UTTARA KANNADA",8378,5547,400,81,14406
"KERALA","ALAPUZHA",2728,220,21,45,3014
"KERALA","ERANAKULAM",10753,3066,304,539,14662
"KERALA","IDUKKI",3986,587,2,7,4582
"KERALA","KANNUR",9720,1931,1,7,11659
"KERALA","KASARAGODE",3412,1142,3,21,4578
"KERALA","KOLLAM",2095,243,50,11,2399
"KERALA","KOTTAYAM",8124,492,4,15,8635
"KERALA","KOZHIKODE",9145,332,6,26,9509
"KERALA","MALAPPURAM",5877,3690,9,3,9579
"KERALA","PALAKKAD",2432,3270,42,53,5797
"KERALA","PATHANAMTHITTA",4306,490,21,11,4828
"KERALA","THIRUVANANTHAPURAM",6891,1155,64,52,8162
"KERALA","THRISSUR",26821,11722,105,97,38745
"KERALA","WAYANAD",526,20,0,0,546
"MADHYA PRADESH","BALAGHAT",7515,677,26,87,8305
"MADHYA PRADESH","BASTAR",5109,1231,21,78,6439
"MADHYA PRADESH","BETUL",28697,14666,846,91,44300
"MADHYA PRADESH","BHIND",8409,34,2446,33,10922
"MADHYA PRADESH","BHOPAL",6021,1025,13,10,7069
"MADHYA PRADESH","BILASPUR",8535,1526,162,88,10311
"MADHYA PRADESH","CHHATARPUR",39919,1037,91,179,41226
"MADHYA PRADESH","CHHINDWARA",22737,8055,139,31,30962
"MADHYA PRADESH","DAMOH",9395,244,279,18,9936
"MADHYA PRADESH","DATIA",9199,1080,3437,78,13794
"MADHYA PRADESH","DEWAS",13578,15944,659,29,30210
"MADHYA PRADESH","DHAR",9458,32481,166,49,42154
"MADHYA PRADESH","DURG",6543,1271,678,13,8505
"MADHYA PRADESH","GUNA",16157,1111,82,23,17373
"MADHYA PRADESH","GWALIOR",14140,121,499,166,14926
"MADHYA PRADESH","HOSHANGABAD",21996,459,949,28,23432
"MADHYA PRADESH","INDORE",8722,6169,422,34,15347
"MADHYA PRADESH","JABALPUR",8618,213,1920,56,10807
"MADHYA PRADESH","JHABUA",5689,9268,42,305,15304
"MADHYA PRADESH","KHANDWA",27058,27064,273,57,54452
"MADHYA PRADESH","KHARGONE",25462,41554,181,108,67305
"MADHYA PRADESH","MANDLA",1675,288,62,12,2037
"MADHYA PRADESH","MANDSAUR",46526,76144,341,526,123537
"MADHYA PRADESH","MORENA",13616,268,4370,98,18352
"MADHYA PRADESH","NARSIMHAPUR",13405,666,4510,3,18584
"MADHYA PRADESH","PANNA",4710,253,53,19,5035
"MADHYA PRADESH","RAIGARH",10184,1767,123,11,12085
"MADHYA PRADESH","RAIPUR",23294,7209,1539,519,32561
"MADHYA PRADESH","RAISEN",6953,492,81,74,7600
"MADHYA PRADESH","RAJGARH",30572,21945,97,156,52770
"MADHYA PRADESH","RAJNANDGAON",5149,774,151,39,6113
"MADHYA PRADESH","RATLAM",21799,23994,636,143,46572
"MADHYA PRADESH","REWA",8283,400,1978,20,10681
"MADHYA PRADESH","SAGAR",24516,2464,771,49,27800
"MADHYA PRADESH","SATNA",12440,675,403,43,13561
"MADHYA PRADESH","SEHORE",20864,5967,145,56,27032
"MADHYA PRADESH","SEONI",8351,3044,95,4,11494
"MADHYA PRADESH","SHAHDOL",4701,822,25,2,5550
"MADHYA PRADESH","SHAJAPUR",28505,13732,413,265,42915
"MADHYA PRADESH","SHIVPURI",37485,6575,926,206,45192
"MADHYA PRADESH","SIDHI",6754,838,543,39,8174
"MADHYA PRADESH","SURGUJA",25535,13866,21,12,39434
"MADHYA PRADESH","TIKAMGARH",42245,1288,79,6,43618
"MADHYA PRADESH","UJJAIN",17903,13099,1534,61,32597
"MADHYA PRADESH","VIDISHA",9595,415,33,23,10066
"MAHARASHTRA","",NA,NA,NA,NA,NA
"MANIPUR","BISHNUPUR",NA,NA,NA,NA,NA
"MANIPUR","CHANDEL",NA,NA,NA,NA,NA
"MANIPUR","CHURACHANDPUR",NA,NA,NA,NA,NA
"MANIPUR","IMPHAL",NA,NA,NA,NA,NA
"MANIPUR","SENAPATI",NA,NA,NA,NA,NA
"MANIPUR","TAMENGLONG",NA,NA,NA,NA,NA
"MANIPUR","THOUBAL",NA,NA,NA,NA,NA
"MANIPUR","UKHRUL",NA,NA,NA,NA,NA
"MEGHALAYA","EAST GARO HILLS",NA,NA,NA,NA,NA
"MEGHALAYA","EAST KHASI HILLS",NA,NA,NA,NA,NA
"MEGHALAYA","JAINTIA HILLS",NA,NA,NA,NA,NA
"MEGHALAYA","RI BHOI DISTRICT",NA,NA,NA,NA,NA
"MEGHALAYA","SOUTH GARO HILLS",2,0,0,0,2
"MEGHALAYA","WEST GARO HILLS",NA,NA,NA,NA,NA
"MEGHALAYA","WEST KHASI HILLS",NA,NA,NA,NA,NA
"MIZORAM","AIZAWL",229,48,0,6,283
"MIZORAM","CHHIMTUIPUI",26,5,0,0,31
"MIZORAM","LUNGLEI",170,6,0,0,176
"NAGALAND","KOHIMA",261,258,0,1,520
"NAGALAND","MOKOKCHUNG",8,2,0,0,10
"NAGALAND","MON",NA,NA,NA,NA,NA
"NAGALAND","PHEK",NA,NA,NA,NA,NA
"NAGALAND","TUENSANG",NA,NA,NA,NA,NA
"NAGALAND","WOKHA",NA,NA,NA,NA,NA
"NAGALAND","ZUNHEBOTO",NA,NA,NA,NA,NA
"ORISSA","ANGUL",16917,1655,13,44,18629
"ORISSA","BALASORE",2532,105,0,1,2638
"ORISSA","BARAGARH",11081,3866,39,6,14992
"ORISSA","BHADRAK",412,11,0,8,431
"ORISSA","BOLANGIR",23183,29659,307,25,53174
"ORISSA","BOUDH",3901,6375,48,31,10355
"ORISSA","CUTTACK",9859,1062,27,49,10997
"ORISSA","DEOGARH",5805,496,4,11,6316
"ORISSA","DHENKANAL",8660,817,8,5,9490
"ORISSA","GAJAPATI",3886,217,4,10,4117
"ORISSA","GANJAM",27419,2010,134,857,30420
"ORISSA","JAGATSINGHPUR",785,4,0,3,792
"ORISSA","JAJPUR",2306,150,1,6,2463
"ORISSA","JHARSUGUDA",5128,930,4,14,6076
"ORISSA","KALAHANDI",11802,2467,8,13,14290
"ORISSA","KENDRAPARA",263,23,0,3,289
"ORISSA","KEONJHAR",6382,10907,50,22,17361
"ORISSA","KHURDA",10344,3185,11,29,13569
"ORISSA","KORAPUT",3315,2297,123,43,5778
"ORISSA","MALKANGIRI",1101,244,3,1,1349
"ORISSA","MAYURBHANJ",8533,1843,7,22,10405
"ORISSA","NAYAGARH",12954,1228,33,40,14255
"ORISSA","NOWRANGPUR",5405,3747,12,159,9323
"ORISSA","NUAPADA",10865,2154,381,260,13660
"ORISSA","PHULBANI",4853,1022,32,22,5929
"ORISSA","PURI",852,165,5,0,1022
"ORISSA","RAYAGADA",1622,313,42,31,2008
"ORISSA","SAMBALPUR",11305,1869,3,101,13278
"ORISSA","SONEPUR",5808,5227,9,14,11058
"ORISSA","SUNDARGARH",16280,2328,12,13,18633
"PUNJAB","AMRITSAR",1423,6,2,3,1434
"PUNJAB","BATHINDA",350,7,8,1,366
"PUNJAB","FARIDKOT",438,65,3,0,506
"PUNJAB","FATEHGARH SAHIB",124,0,1,0,125
"PUNJAB","FEROZEPUR",310,20,14,0,344
"PUNJAB","GURDASPUR",649,3,3,1,656
"PUNJAB","HOSHIARPUR",597,37,67,3,704
"PUNJAB","JALANDHAR",1377,41,2,46,1466
"PUNJAB","KAPURTHALA",558,20,181,27,786
"PUNJAB","LUDHIANA",464,2,240,1,707
"PUNJAB","MANSA",456,4,104,1,565
"PUNJAB","PATIALA",116,32,1,0,149
"PUNJAB","ROPAR",2086,47,196,5,2334
"PUNJAB","SANGRUR",1216,80,228,5,1529
"RAJASTHAN","AJMER",45705,1393,1766,111,48975
"RAJASTHAN","ALWAR",54015,2831,8508,257,65611
"RAJASTHAN","BANSWARA",8796,2919,405,24,12144
"RAJASTHAN","BARAN",21137,1138,1583,26,23884
"RAJASTHAN","BARMER",10037,679,2713,5,13434
"RAJASTHAN","BHARATPUR",11362,813,299,11,12485
"RAJASTHAN","BHILWARA",88901,6926,3441,201,99469
"RAJASTHAN","BIKANER",144,0,77,0,221
"RAJASTHAN","BUNDI",19346,2562,207,31,22146
"RAJASTHAN","CHITTORGARH",63711,11939,4093,90,79833
"RAJASTHAN","CHURU",1062,62,727,3,1854
"RAJASTHAN","DAUSA",31507,2252,2635,46,36440
"RAJASTHAN","DHOLPUR",9880,1518,4763,54,16215
"RAJASTHAN","DUNGARPUR",7617,8326,35,3,15981
"RAJASTHAN","GANGANAGAR",NA,NA,NA,NA,NA
"RAJASTHAN","HANUMANGARH",149,412,525,3,1089
"RAJASTHAN","JAIPUR",90734,9624,8978,317,109653
"RAJASTHAN","JAISALMER",102,0,110,0,212
"RAJASTHAN","JALORE",34298,2992,5895,29,43214
"RAJASTHAN","JHALAWAR",46267,10369,1232,53,57921
"RAJASTHAN","JHUNJHNU",18179,961,8445,34,27619
"RAJASTHAN","JODHPUR",7400,384,2718,7,10509
"RAJASTHAN","KOTA",13207,1499,714,45,15465
"RAJASTHAN","NAGAUR",21772,391,3649,24,25836
"RAJASTHAN","PALI",37997,3721,391,70,42179
"RAJASTHAN","RAJSAMAND",40771,7856,456,31,49114
"RAJASTHAN","SAWAI-MADHOPUR",45636,1847,1118,124,48725
"RAJASTHAN","SIKAR",38203,496,7163,63,45925
"RAJASTHAN","SIROHI",13007,2266,320,3,15596
"RAJASTHAN","TONK",40625,735,1127,52,42539
"RAJASTHAN","UDAIPUR",45408,11618,1651,112,58789
"SIKKIM","EAST SIKKIM",NA,NA,NA,NA,NA
"SIKKIM","NORTH SIKKIM",NA,NA,NA,NA,NA
"SIKKIM","SOUTH SIKKIM",NA,NA,NA,NA,NA
"SIKKIM","WEST SIKKIM",NA,NA,NA,NA,NA
"TAMIL NADU","COIMBATORE",44321,39142,1554,222,85239
"TAMIL NADU","CUDDALORE",8811,1104,773,587,11275
"TAMIL NADU","DHARMAPURI",50058,46681,600,531,97870
"TAMIL NADU","DINDIGUL",45466,21794,1389,1006,69655
"TAMIL NADU","ERODE",78024,21808,917,76,100825
"TAMIL NADU","KANCHIPURAM",38401,3665,1805,349,44220
"TAMIL NADU","KANNIYAKUMARI",2331,35,4,0,2370
"TAMIL NADU","KARUR",23986,9064,46,1178,34274
"TAMIL NADU","MADRAS",NA,NA,NA,NA,NA
"TAMIL NADU","MADURAI",32071,4564,1199,740,38574
"TAMIL NADU","NAGAPATTINAM",5861,1198,429,1114,8602
"TAMIL NADU","NAMAKKAL",31547,7772,494,881,40694
"TAMIL NADU","PERAMBALUR",30531,12304,1459,1098,45392
"TAMIL NADU","PUDUKOTTAI",26241,5845,1596,68,33750
"TAMIL NADU","RAMNATHAPURAM",433,1411,2313,1847,6004
"TAMIL NADU","SALEM",39998,14667,1372,5224,61261
"TAMIL NADU","SIVAGANGA",5103,1066,852,4197,11218
"TAMIL NADU","THANJAVUR",4446,387,386,17,5236
"TAMIL NADU","THE NILGIRIS",242,0,0,14,256
"TAMIL NADU","THENI",14120,2351,1496,879,18846
"TAMIL NADU","THOOTHUGUDI",16177,3325,1771,321,21594
"TAMIL NADU","TIRUNELVELI",57583,9979,837,193,68592
"TAMIL NADU","TIRUVALLUR",14945,2493,5669,209,23316
"TAMIL NADU","TIRUVANNAMALAI",124298,17217,1393,1224,144132
"TAMIL NADU","TIRUVARUR",17,1,51,0,69
"TAMIL NADU","TRICHIRAPPALLI",39945,21993,873,1381,64192
"TAMIL NADU","VELLORE",66656,25978,1732,2125,96491
"TAMIL NADU","VILLUPURAM",109877,19931,3878,1450,135136
"TAMIL NADU","VIRUDHUNAGAR",35259,3973,1067,406,40705
"TRIPURA","DHALAI",49,56,9,2,116
"TRIPURA","NORTH",0,33,0,0,33
"TRIPURA","SOUTH",9,59,61,526,655
"TRIPURA","WEST",1,0,0,0,1
"UTTAR PRADESH","AGRA",5590,89,231,0,5910
"UTTAR PRADESH","ALIGARH",257,5,4,3,269
"UTTAR PRADESH","ALLAHABAD",3249,15,118,8,3390
"UTTAR PRADESH","ALMORA",NA,NA,NA,NA,NA
"UTTAR PRADESH","AMBEDKAR NAGAR",NA,NA,NA,NA,NA
"UTTAR PRADESH","AZAMGARH",120,0,0,1,121
"UTTAR PRADESH","BADAUN",NA,NA,NA,NA,NA
"UTTAR PRADESH","BAHRAICH",643,8,3,6,660
"UTTAR PRADESH","BALLIA",491,4,1,1,497
"UTTAR PRADESH","BANDA",5870,80,570,28,6548
"UTTAR PRADESH","BARABANKI",1698,36,1,12,1747
"UTTAR PRADESH","BAREILLY",NA,NA,NA,NA,NA
"UTTAR PRADESH","BASTI",1073,31,2,9,1115
"UTTAR PRADESH","BIJNOR",272,0,7,0,279
"UTTAR PRADESH","BULANDSHAHR",98,0,0,0,98
"UTTAR PRADESH","CHAMOLI(GOPESHWAR)",NA,NA,NA,NA,NA
"UTTAR PRADESH","DEHRADUN",29,2,4,0,35
"UTTAR PRADESH","DEORIA",2858,27,461,12,3358
"UTTAR PRADESH","ETAH",1722,10,44,44,1820
"UTTAR PRADESH","ETAWAH",561,53,0,0,614
"UTTAR PRADESH","FAIZABAD",NA,NA,NA,NA,NA
"UTTAR PRADESH","FARUKHABAD",53,4,0,0,57
"UTTAR PRADESH","FATEHPUR",900,57,595,3,1555
"UTTAR PRADESH","FIROZABAD",1382,48,1,0,1431
"UTTAR PRADESH","GHAZIABAD",NA,NA,NA,NA,NA
"UTTAR PRADESH","GHAZIPUR",419,1,9,2,431
"UTTAR PRADESH","GONDA",700,27,1,0,728
"UTTAR PRADESH","GORAKHPUR",2277,11,14,41,2343
"UTTAR PRADESH","HAMIRPUR",1901,25,289,5,2220
"UTTAR PRADESH","HARDOI",814,60,310,3,1187
"UTTAR PRADESH","HARDWAR",227,23,2,2,254
"UTTAR PRADESH","JALAUN",2755,22,491,117,3385
"UTTAR PRADESH","JAUNPUR",1780,185,16,9,1990
"UTTAR PRADESH","JHANSI",29216,6041,779,33,36069
"UTTAR PRADESH","KANPUR DEHAT",69,20,4,0,93
"UTTAR PRADESH","KANPUR NAGAR",NA,NA,NA,NA,NA
"UTTAR PRADESH","KHIRI",NA,NA,NA,NA,NA
"UTTAR PRADESH","KUSHI NAGAR",853,15,6,13,887
"UTTAR PRADESH","LALITPUR",22207,1511,37,6,23761
"UTTAR PRADESH","LUCKNOW",620,14,109,3,746
"UTTAR PRADESH","MAHOBA",12350,334,127,8,12819
"UTTAR PRADESH","MAHRAJGANJ",300,8,1,2,311
"UTTAR PRADESH","MAINPURI",316,16,11,0,343
"UTTAR PRADESH","MATHURA",672,102,101,1,876
"UTTAR PRADESH","MAU",NA,NA,NA,NA,NA
"UTTAR PRADESH","MEERUT",5,0,6,0,11
"UTTAR PRADESH","MIRZAPUR",2940,88,204,32,3264
"UTTAR PRADESH","MORADABAD",1280,163,190,0,1633
"UTTAR PRADESH","MUZAFFER NAGAR",NA,NA,NA,NA,NA
"UTTAR PRADESH","NAINITAL",0,0,0,3,3
"UTTAR PRADESH","PAURI GARHWAL",NA,NA,NA,NA,NA
"UTTAR PRADESH","PILIBHIT",NA,NA,NA,NA,NA
"UTTAR PRADESH","PITHORAGARH",NA,NA,NA,NA,NA
"UTTAR PRADESH","PRATAPGARH",335,2,19,0,356
"UTTAR PRADESH","RAEBARELY",989,0,0,0,989
"UTTAR PRADESH","RAMPUR",NA,NA,NA,NA,NA
"UTTAR PRADESH","SAHARANPUR",55,0,6,0,61
"UTTAR PRADESH","SANT RAVIDAS NAGAR",500,8,1,0,509
"UTTAR PRADESH","SHAHJAHANPUR",950,5,20,0,975
"UTTAR PRADESH","SIDDHARTH NAGAR",727,27,1,0,755
"UTTAR PRADESH","SITAPUR",NA,NA,NA,NA,NA
"UTTAR PRADESH","SONBHADRA",3091,160,547,137,3935
"UTTAR PRADESH","SULTANPUR",1119,38,1,0,1158
"UTTAR PRADESH","TEHRI GARHWAL",NA,NA,NA,NA,NA
"UTTAR PRADESH","UDHAMSINGH NAGAR",224,5,13,419,661
"UTTAR PRADESH","UNNAO",1160,7,178,0,1345
"UTTAR PRADESH","UTTARKASHI",NA,NA,NA,NA,NA
"UTTAR PRADESH","VARANASI",2357,44,308,13,2722
"WEST BENGAL","BANKURA",6289,1259,35,28,7611
"WEST BENGAL","BIRBHUM",1085,44,18,49,1196
"WEST BENGAL","BURDWAN",273,49,23,13,358
