-----
{
 "description": "The table refers to block wise distribution of surface flow schemes by status. It has been sourced from 2nd census of minor irrigation scheme(1993-94) from Ministry of Water Resources.", 
 "file_name": "blcktab4.6.csv", 
 "title": "Download CSV for Blockwise Distribution of Surface Flow Schemes by its status for 2nd census of Minor Irrigation Schemes (1993-94)", 
 "url": "http://data.gov.in/sites/default/files/blcktab4.6.csv"
}
-----
State,District,Block,Schemes in use,Schemes not in use - Temporary,Schemes not in use - Abandoned (Salinity),Schemes not in use - Dried up,Schemes not in use - Destroyed,Schemess not in use - Others,Total - Schemes not in use,Grand total (Not in use + In use)
ANDHRA PRADESH,ADILABAD,KASIPET,7,0,0,0,0,5,5,12
ANDHRA PRADESH,ADILABAD,KERAMERI,NA,NA,NA,NA,NA,NA,NA,NA
ANDHRA PRADESH,ADILABAD,KHANPUR,11,0,0,0,0,0,0,11
ANDHRA PRADESH,ADILABAD,KOTAPALLE,34,0,0,0,0,0,0,34
ANDHRA PRADESH,ADILABAD,KOUTHALA,18,0,0,1,0,49,50,68
ANDHRA PRADESH,ADILABAD,KUBEER,6,0,0,0,1,1,2,8
ANDHRA PRADESH,ADILABAD,KUNTALA,45,2,0,0,0,0,2,47
ANDHRA PRADESH,ADILABAD,LAHESRA,58,0,0,1,0,0,1,59
ANDHRA PRADESH,ADILABAD,LAXMANCHANDA,34,0,0,0,0,0,0,34
ANDHRA PRADESH,ADILABAD,LUXETTIPET,40,0,0,0,0,0,0,40
ANDHRA PRADESH,ADILABAD,MAMDA,31,0,0,0,0,0,0,31
ANDHRA PRADESH,ADILABAD,MANCHERIAL,28,0,0,13,0,0,13,41
ANDHRA PRADESH,ADILABAD,MANDAMARRI,11,2,0,0,0,0,2,13
ANDHRA PRADESH,ADILABAD,MUDHOLE,90,0,0,0,0,0,0,90
ANDHRA PRADESH,ADILABAD,NARNOOR,NA,NA,NA,NA,NA,NA,NA,NA
ANDHRA PRADESH,ADILABAD,NENNAL,45,0,0,0,0,0,0,45
ANDHRA PRADESH,ADILABAD,NERADIGONDA,0,0,0,0,7,0,7,7
ANDHRA PRADESH,ADILABAD,NIRMAL,3,0,0,0,0,0,0,3
ANDHRA PRADESH,ADILABAD,REBBENA,34,4,0,0,0,0,4,38
ANDHRA PRADESH,ADILABAD,SARANGAPUR,NA,NA,NA,NA,NA,NA,NA,NA
ANDHRA PRADESH,ADILABAD,SIRPUR,NA,NA,NA,NA,NA,NA,NA,NA
ANDHRA PRADESH,ADILABAD,SIRPUR (T),43,0,0,0,4,0,4,47
ANDHRA PRADESH,ADILABAD,TALAMADUGU,111,1,0,0,0,0,1,112
ANDHRA PRADESH,ADILABAD,TAMSI,11,0,0,0,0,0,0,11
ANDHRA PRADESH,ADILABAD,TANDUR,49,1,0,0,0,0,1,50
ANDHRA PRADESH,ADILABAD,TANUR,1,0,0,4,0,0,4,5
ANDHRA PRADESH,ADILABAD,TIRYANI,NA,NA,NA,NA,NA,NA,NA,NA
ANDHRA PRADESH,ADILABAD,UTNUR,2,0,0,0,0,0,0,2
ANDHRA PRADESH,ADILABAD,VEMANPALLE,16,0,0,0,0,0,0,16
ANDHRA PRADESH,ADILABAD,WANKDI,1,1,0,0,0,1,2,3
ANDHRA PRADESH,ANANTHAPUR,AGALI,0,32,1,1,2,2,38,38
ANDHRA PRADESH,ANANTHAPUR,AMADAGUR,8,55,0,0,0,0,55,63
ANDHRA PRADESH,ANANTHAPUR,AMARAPURAM,18,5,0,0,0,0,5,23
ANDHRA PRADESH,ANANTHAPUR,ANANTAPUR,0,9,0,0,0,0,9,9
ANDHRA PRADESH,ANANTHAPUR,ATMAKUR,0,8,0,0,0,0,8,8
ANDHRA PRADESH,ANANTHAPUR,BATHALAPALLE,1,24,3,39,2,0,68,69
ANDHRA PRADESH,ANANTHAPUR,BELUGUPPA,0,5,1,1,0,0,7,7
ANDHRA PRADESH,ANANTHAPUR,BOMMANAHAL,6,2,0,0,0,0,2,8
ANDHRA PRADESH,ANANTHAPUR,BRAHMASAMUDRAM,0,7,2,6,0,0,15,15
ANDHRA PRADESH,ANANTHAPUR,BUKKAPATNAM,0,33,0,0,0,0,33,33
ANDHRA PRADESH,ANANTHAPUR,BUKKARAYASAMUDRAM,4,30,0,1,0,0,31,35
ANDHRA PRADESH,ANANTHAPUR,CHENNEKOTHAPALLE,4,6,0,0,0,0,6,10
ANDHRA PRADESH,ANANTHAPUR,CHILAMATHUR,0,65,1,0,0,0,66,66
ANDHRA PRADESH,ANANTHAPUR,D.HIREHAL,0,19,0,0,0,0,19,19
ANDHRA PRADESH,ANANTHAPUR,DHARMAVARAM,0,72,0,5,0,5,82,82
ANDHRA PRADESH,ANANTHAPUR,GANDLAPENTA,1,22,0,6,10,16,54,55
ANDHRA PRADESH,ANANTHAPUR,GARLADINNE,11,9,0,0,0,0,9,20
ANDHRA PRADESH,ANANTHAPUR,GOOTY,12,37,0,0,0,0,37,49
ANDHRA PRADESH,ANANTHAPUR,GORANTLA,45,37,0,0,0,0,37,82
ANDHRA PRADESH,ANANTHAPUR,GUDIBANDA,12,24,2,0,0,0,26,38
ANDHRA PRADESH,ANANTHAPUR,GUMMAGATA,4,18,4,0,0,0,22,26
ANDHRA PRADESH,ANANTHAPUR,GUNTAKAL,1,22,2,25,0,0,49,50
ANDHRA PRADESH,ANANTHAPUR,HINDUPUR,0,46,2,1,1,0,50,50
ANDHRA PRADESH,ANANTHAPUR,KADIRI,3,50,9,9,2,2,72,75
ANDHRA PRADESH,ANANTHAPUR,KALYANDRUG,0,4,0,0,0,1,5,5
ANDHRA PRADESH,ANANTHAPUR,KAMBADUR,7,12,18,51,0,0,81,88
ANDHRA PRADESH,ANANTHAPUR,KANAGANAPALLE,2,28,4,15,0,10,57,59
ANDHRA PRADESH,ANANTHAPUR,KANEKAL,7,3,1,5,0,0,9,16
ANDHRA PRADESH,ANANTHAPUR,KOTHACHERUVU,0,21,0,0,1,0,22,22
ANDHRA PRADESH,ANANTHAPUR,KUDAIR,0,88,0,14,0,1,103,103
ANDHRA PRADESH,ANANTHAPUR,KUNDURPI,2,11,6,78,0,2,97,99
ANDHRA PRADESH,ANANTHAPUR,LEPAKSHI,14,31,0,0,0,0,31,45
ANDHRA PRADESH,ANANTHAPUR,MADAKASIRA,27,27,2,1,0,0,30,57
ANDHRA PRADESH,ANANTHAPUR,MUDIGUBBA,3,17,0,30,0,31,78,81
ANDHRA PRADESH,ANANTHAPUR,NALLACHERUVU,0,44,0,0,0,0,44,44
ANDHRA PRADESH,ANANTHAPUR,NALLAMADA,0,34,0,0,0,4,38,38
ANDHRA PRADESH,ANANTHAPUR,NAMBULAPULIKUNTA,5,25,0,37,0,0,62,67
ANDHRA PRADESH,ANANTHAPUR,NARPALA,6,36,0,0,5,0,41,47
ANDHRA PRADESH,ANANTHAPUR,OBULADEVARACHERUVU,0,38,2,0,0,0,40,40
ANDHRA PRADESH,ANANTHAPUR,PAMIDI,13,7,1,11,5,0,24,37
ANDHRA PRADESH,ANANTHAPUR,PARIGI,10,13,0,2,0,0,15,25
ANDHRA PRADESH,ANANTHAPUR,PEDDAPAPPUR,0,10,0,0,0,0,10,10
ANDHRA PRADESH,ANANTHAPUR,PEDDAVADUGUR,12,12,0,30,3,0,45,57
ANDHRA PRADESH,ANANTHAPUR,PENUKONDA,12,67,1,2,0,0,70,82
ANDHRA PRADESH,ANANTHAPUR,PUTLUR,1,1,0,0,0,0,1,2
ANDHRA PRADESH,ANANTHAPUR,PUTTAPARTHI,5,25,0,6,0,0,31,36
ANDHRA PRADESH,ANANTHAPUR,RAMAGIRI,5,41,0,0,0,2,43,48
ANDHRA PRADESH,ANANTHAPUR,RAPTADU,1,12,0,0,0,0,12,13
ANDHRA PRADESH,ANANTHAPUR,RAYADURG,2,18,1,4,0,1,24,26
ANDHRA PRADESH,ANANTHAPUR,RODDAM,18,30,7,8,0,0,45,63
ANDHRA PRADESH,ANANTHAPUR,ROLLA,30,0,0,1,0,0,1,31
ANDHRA PRADESH,ANANTHAPUR,SETTUR,2,9,0,0,0,0,9,11
ANDHRA PRADESH,ANANTHAPUR,SINGANAMALA,19,3,0,37,0,0,40,59
ANDHRA PRADESH,ANANTHAPUR,SOMANDEPALLE,33,14,0,0,0,0,14,47
ANDHRA PRADESH,ANANTHAPUR,TADIMARRI,0,7,10,59,0,1,77,77
ANDHRA PRADESH,ANANTHAPUR,TADPATRI,2,4,0,2,9,1,16,18
ANDHRA PRADESH,ANANTHAPUR,TALUPULA,22,30,4,4,0,0,38,60
ANDHRA PRADESH,ANANTHAPUR,TANAKAL,29,62,0,2,0,0,64,93
ANDHRA PRADESH,ANANTHAPUR,URAVAKONDA,1,56,6,22,0,0,84,85
ANDHRA PRADESH,ANANTHAPUR,VAJRAKARUR,2,19,2,6,0,2,29,31
ANDHRA PRADESH,ANANTHAPUR,VIDAPANAKAL,2,0,0,0,0,0,0,2
ANDHRA PRADESH,ANANTHAPUR,YADIKI,1,7,6,1,0,4,18,19
ANDHRA PRADESH,ANANTHAPUR,YELLANUR,17,0,0,2,0,0,2,19
ANDHRA PRADESH,CHITTOOR,B.KOTHAKOTA,157,23,0,6,0,0,29,186
ANDHRA PRADESH,CHITTOOR,BAIREDDIPALLE,162,0,0,0,0,0,0,162
ANDHRA PRADESH,CHITTOOR,BANGARUPALEM,25,18,0,0,0,0,18,43
ANDHRA PRADESH,CHITTOOR,BUCHINAIDU KHANDRIGA,79,1,0,0,0,2,3,82
ANDHRA PRADESH,CHITTOOR,CHANDRAGIRI,1,5,3,0,0,0,8,9
ANDHRA PRADESH,CHITTOOR,CHINNAGOTTIGALLU,132,45,0,4,0,0,49,181
ANDHRA PRADESH,CHITTOOR,CHITTOOR,33,12,0,0,0,0,12,45
ANDHRA PRADESH,CHITTOOR,CHOWDE[ALLE,223,16,0,0,0,0,16,239
ANDHRA PRADESH,CHITTOOR,GANGADHARA NELLORE,98,2,0,18,0,0,20,118
ANDHRA PRADESH,CHITTOOR,GANGAVARAM,182,4,0,0,0,0,4,186
ANDHRA PRADESH,CHITTOOR,GUDIPALA,46,10,0,0,0,0,10,56
ANDHRA PRADESH,CHITTOOR,GUDUPALLE,146,5,1,0,0,0,6,152
ANDHRA PRADESH,CHITTOOR,GURRAMKONDA,140,5,0,0,0,0,5,145
ANDHRA PRADESH,CHITTOOR,IRALA,73,37,0,1,0,0,38,111
ANDHRA PRADESH,CHITTOOR,K.V.B. PURAM,82,12,0,1,0,0,13,95
ANDHRA PRADESH,CHITTOOR,KALAKADA,43,65,0,0,6,0,71,114
ANDHRA PRADESH,CHITTOOR,KALIKIRI,143,10,0,0,0,0,10,153
ANDHRA PRADESH,CHITTOOR,KAMACHANDRA PURAM,0,0,0,3,1,0,4,4
ANDHRA PRADESH,CHITTOOR,KAMBHAMVARIPALLE,106,113,0,3,0,0,116,222
ANDHRA PRADESH,CHITTOOR,KARVETINAGAR,52,0,0,0,0,0,0,52
ANDHRA PRADESH,CHITTOOR,KUPPAM,112,6,0,0,0,0,6,118
ANDHRA PRADESH,CHITTOOR,KURABALAKOTA,150,4,0,4,2,0,10,160
ANDHRA PRADESH,CHITTOOR,MADANAPALLE,149,2,2,0,1,1,6,155
ANDHRA PRADESH,CHITTOOR,MULAKALACHERUVU,96,43,0,0,0,0,43,139
ANDHRA PRADESH,CHITTOOR,NAGALAPURAM,27,2,0,0,0,0,2,29
ANDHRA PRADESH,CHITTOOR,NAGARI,23,11,1,0,0,0,12,35
ANDHRA PRADESH,CHITTOOR,NARAYANAVANAM,20,0,0,0,0,0,0,20
ANDHRA PRADESH,CHITTOOR,NIMMANAPALLE,170,2,0,0,0,0,2,172
ANDHRA PRADESH,CHITTOOR,NINDRA,28,2,0,0,0,0,2,30
ANDHRA PRADESH,CHITTOOR,PAKALA,75,38,0,2,0,0,40,115
ANDHRA PRADESH,CHITTOOR,PALAMANERU,103,1,0,0,0,0,1,104
ANDHRA PRADESH,CHITTOOR,PALASAMUDRAM,8,23,0,0,0,0,23,31
ANDHRA PRADESH,CHITTOOR,PEDDAMANDYAM,122,0,0,0,0,0,0,122
ANDHRA PRADESH,CHITTOOR,PEDDAPANJANI,249,11,1,0,0,0,12,261
ANDHRA PRADESH,CHITTOOR,PEDDATHIPPASAMDRAM,98,11,0,5,0,13,29,127
ANDHRA PRADESH,CHITTOOR,PENUMURU,61,11,0,0,0,0,11,72
ANDHRA PRADESH,CHITTOOR,PICHATURU,28,5,0,0,0,0,5,33
ANDHRA PRADESH,CHITTOOR,PILERU,181,50,0,0,0,0,50,231
ANDHRA PRADESH,CHITTOOR,PULICHERLA,181,21,1,0,1,0,23,204
ANDHRA PRADESH,CHITTOOR,PUNGANURU,192,14,0,0,0,0,14,206
ANDHRA PRADESH,CHITTOOR,PUTHALAPATTU,29,69,0,0,0,0,69,98
ANDHRA PRADESH,CHITTOOR,PUTTURU,28,3,0,1,0,0,4,32
ANDHRA PRADESH,CHITTOOR,RAMAKUPPAM,117,2,0,0,0,0,2,119
ANDHRA PRADESH,CHITTOOR,RAMASAMUDRAM,192,4,2,0,0,0,6,198
ANDHRA PRADESH,CHITTOOR,RENIGUNTA,46,0,0,0,0,0,0,46
ANDHRA PRADESH,CHITTOOR,ROMPICHERLA,138,39,2,0,0,0,41,179
ANDHRA PRADESH,CHITTOOR,SANTHIPURAM,137,8,0,0,0,0,8,145
ANDHRA PRADESH,CHITTOOR,SATYAVEDU,111,1,0,0,0,0,1,112
ANDHRA PRADESH,CHITTOOR,SODAM,282,11,0,0,2,2,15,297
ANDHRA PRADESH,CHITTOOR,SOMALA,176,5,0,2,4,0,11,187
ANDHRA PRADESH,CHITTOOR,SRIKALAHASTI,101,5,0,0,0,0,5,106
ANDHRA PRADESH,CHITTOOR,SRIRANGARAJAPURAM,9,17,0,4,0,0,21,30
ANDHRA PRADESH,CHITTOOR,THAMBALLAPALLE,137,0,0,0,0,0,0,137
ANDHRA PRADESH,CHITTOOR,THAVANAMPALLE,0,63,0,6,0,1,70,70
ANDHRA PRADESH,CHITTOOR,THOTTAMBEDA,74,16,2,0,0,0,18,92
ANDHRA PRADESH,CHITTOOR,TIRUPATI (RURAL),7,3,0,0,0,0,3,10
ANDHRA PRADESH,CHITTOOR,TIRUPATI (URBAN),10,0,0,0,0,0,0,10
ANDHRA PRADESH,CHITTOOR,VADAMALAPETA,18,1,0,0,0,0,1,19
ANDHRA PRADESH,CHITTOOR,VARADAIAHPALEM,73,1,0,0,0,0,1,74
ANDHRA PRADESH,CHITTOOR,VAYALPAD,1,154,0,0,0,0,154,155
ANDHRA PRADESH,CHITTOOR,VEDURUKUPPAM,97,17,0,0,0,0,17,114
ANDHRA PRADESH,CHITTOOR,VENKATAGIRIKOTA,143,2,0,0,0,0,2,145
ANDHRA PRADESH,CHITTOOR,VIJAYAPURAM,2,30,0,0,0,0,30,32
ANDHRA PRADESH,CHITTOOR,YADAMARI,52,5,0,0,0,0,5,57
ANDHRA PRADESH,CHITTOOR,YERPEDU,85,7,0,0,1,0,8,93
ANDHRA PRADESH,CHITTOOR,YERRAVARIPALEM,133,126,0,1,1,0,128,261
ANDHRA PRADESH,CUDDAPAH,ATLUR,35,1,0,0,0,0,1,36
ANDHRA PRADESH,CUDDAPAH,B.KODUR,27,10,0,2,0,0,12,39
ANDHRA PRADESH,CUDDAPAH,BADVEL,23,8,0,0,0,0,8,31
ANDHRA PRADESH,CUDDAPAH,BRAHMAMGARIMATHAM,20,18,0,0,1,0,19,39
ANDHRA PRADESH,CUDDAPAH,CHAKARAYAPET,27,58,0,3,0,0,61,88
ANDHRA PRADESH,CUDDAPAH,CHAPAD,0,0,0,0,0,1,1,1
ANDHRA PRADESH,CUDDAPAH,CHENNAMANDEM,3,122,0,2,0,0,124,127
ANDHRA PRADESH,CUDDAPAH,CHENNUR,NA,NA,NA,NA,NA,NA,NA,NA
ANDHRA PRADESH,CUDDAPAH,CHINTHAKOMMADINNE,2,42,0,1,0,0,43,45
ANDHRA PRADESH,CUDDAPAH,CHITVEL,8,0,0,0,0,0,0,8
ANDHRA PRADESH,CUDDAPAH,CUDDAPAH,0,7,0,0,0,0,7,7
ANDHRA PRADESH,CUDDAPAH,DUVVUR,1,269,0,0,0,0,269,270
ANDHRA PRADESH,CUDDAPAH,GALIVEEDU,8,204,1,0,1,0,206,214
ANDHRA PRADESH,CUDDAPAH,GOPAVARAM,28,7,0,0,0,0,7,35
ANDHRA PRADESH,CUDDAPAH,JAMMALAMADUGU,3,11,0,0,0,1,12,15
ANDHRA PRADESH,CUDDAPAH,KALASAPADU,25,0,0,6,0,0,6,31
ANDHRA PRADESH,CUDDAPAH,KAMALAPURAM,3,3,0,0,0,0,3,6
ANDHRA PRADESH,CUDDAPAH,KHAJIPET,2,0,0,0,0,0,0,2
ANDHRA PRADESH,CUDDAPAH,KODUR,13,0,0,0,0,0,0,13
ANDHRA PRADESH,CUDDAPAH,KONDAPURAM,0,0,0,2,0,0,2,2
ANDHRA PRADESH,CUDDAPAH,LAKKIREDDIPALLE,4,108,1,0,1,0,110,114
ANDHRA PRADESH,CUDDAPAH,LINGALA,NA,NA,NA,NA,NA,NA,NA,NA
ANDHRA PRADESH,CUDDAPAH,MUDDANUR,0,10,0,0,0,0,10,10
ANDHRA PRADESH,CUDDAPAH,MYLAVARAM,15,14,0,0,0,0,14,29
ANDHRA PRADESH,CUDDAPAH,NANDALUR,21,5,0,0,0,0,5,26
ANDHRA PRADESH,CUDDAPAH,OBULAVARIPALLE,6,21,0,0,0,0,21,27
ANDHRA PRADESH,CUDDAPAH,PEDDAMUDIUM,3,0,0,0,0,0,0,3
ANDHRA PRADESH,CUDDAPAH,PENAGALUR,14,9,0,1,0,0,10,24
ANDHRA PRADESH,CUDDAPAH,PENDLIMARRI,NA,NA,NA,NA,NA,NA,NA,NA
ANDHRA PRADESH,CUDDAPAH,PORUMAMILLA,45,5,0,0,0,1,6,51
ANDHRA PRADESH,CUDDAPAH,PRODDUTUR,NA,NA,NA,NA,NA,NA,NA,NA
ANDHRA PRADESH,CUDDAPAH,PULIVENDLA,NA,NA,NA,NA,NA,NA,NA,NA
ANDHRA PRADESH,CUDDAPAH,PULLAMPETA,11,19,0,0,0,0,19,30
ANDHRA PRADESH,CUDDAPAH,RAJAMPET,9,14,0,0,0,0,14,23
ANDHRA PRADESH,CUDDAPAH,RAJUPALEM,0,1,0,0,0,0,1,1
ANDHRA PRADESH,CUDDAPAH,RAMAPURAM,10,73,0,1,0,0,74,84
ANDHRA PRADESH,CUDDAPAH,ROYACHOTI,99,22,0,2,0,0,24,123
ANDHRA PRADESH,CUDDAPAH,S.MYDUKUR,4,5,0,3,0,0,8,12
ANDHRA PRADESH,CUDDAPAH,SAMBEPALLE,35,21,0,0,0,0,21,56
ANDHRA PRADESH,CUDDAPAH,SIDHOUT,NA,NA,NA,NA,NA,NA,NA,NA
ANDHRA PRADESH,CUDDAPAH,SIMHADRIPURAM,NA,NA,NA,NA,NA,NA,NA,NA
ANDHRA PRADESH,CUDDAPAH,T.SUNDUPALLE,102,0,0,0,0,0,0,102
ANDHRA PRADESH,CUDDAPAH,THONDUR,0,5,0,0,0,0,5,5
ANDHRA PRADESH,CUDDAPAH,VALLUR,0,0,0,6,0,0,6,6
ANDHRA PRADESH,CUDDAPAH,VEERABALLE,8,57,8,5,0,0,70,78
ANDHRA PRADESH,CUDDAPAH,VEERAPUNAYUNIPALLE,0,0,0,4,0,0,4,4
ANDHRA PRADESH,CUDDAPAH,VEMPALLE,0,0,0,13,0,0,13,13
ANDHRA PRADESH,CUDDAPAH,VEMULA,0,11,0,0,0,0,11,11
ANDHRA PRADESH,CUDDAPAH,VONTIMITTA,4,14,0,0,0,0,14,18
ANDHRA PRADESH,CUDDAPAH,YERRAGUNTLA,1,3,0,0,0,0,3,4
ANDHRA PRADESH,EAST GODAVARI,ADDATEEGALA,34,29,0,0,2,6,37,71
ANDHRA PRADESH,EAST GODAVARI,AINAVILLI,NA,NA,NA,NA,NA,NA,NA,NA
ANDHRA PRADESH,EAST GODAVARI,ALAMURU,NA,NA,NA,NA,NA,NA,NA,NA
ANDHRA PRADESH,EAST GODAVARI,ALLAVARAM,NA,NA,NA,NA,NA,NA,NA,NA
ANDHRA PRADESH,EAST GODAVARI,AMALAPURAM,NA,NA,NA,NA,NA,NA,NA,NA
ANDHRA PRADESH,EAST GODAVARI,AMBAJIPETA,NA,NA,NA,NA,NA,NA,NA,NA
ANDHRA PRADESH,EAST GODAVARI,ANAPARTHY,18,0,0,0,0,0,0,18
ANDHRA PRADESH,EAST GODAVARI,ATREYAPURAM,NA,NA,NA,NA,NA,NA,NA,NA
ANDHRA PRADESH,EAST GODAVARI,BICCAVOLU,29,0,4,0,0,0,4,33
ANDHRA PRADESH,EAST GODAVARI,DEVIPATNAM,48,0,0,0,0,0,0,48
ANDHRA PRADESH,EAST GODAVARI,GANDEPALLE,106,9,0,1,0,0,10,116
ANDHRA PRADESH,EAST GODAVARI,GANGAVARAM,15,0,0,0,0,0,0,15
ANDHRA PRADESH,EAST GODAVARI,GOKAVARAM,116,0,0,0,0,0,0,116
ANDHRA PRADESH,EAST GODAVARI,GOLLAPROLU,33,14,0,0,0,1,15,48
ANDHRA PRADESH,EAST GODAVARI,I. POLAVARAM,NA,NA,NA,NA,NA,NA,NA,NA
ANDHRA PRADESH,EAST GODAVARI,JAGGAMPETA,105,2,0,0,0,0,2,107
ANDHRA PRADESH,EAST GODAVARI,KADIAM,9,0,0,0,0,0,0,9
ANDHRA PRADESH,EAST GODAVARI,KAJULURU,NA,NA,NA,NA,NA,NA,NA,NA
ANDHRA PRADESH,EAST GODAVARI,KAKINADA RURAL,NA,NA,NA,NA,NA,NA,NA,NA
ANDHRA PRADESH,EAST GODAVARI,KAKINADA URBAN,NA,NA,NA,NA,NA,NA,NA,NA
ANDHRA PRADESH,EAST GODAVARI,KAPILESWARAPURAM,NA,NA,NA,NA,NA,NA,NA,NA
ANDHRA PRADESH,EAST GODAVARI,KARAPA,NA,NA,NA,NA,NA,NA,NA,NA
ANDHRA PRADESH,EAST GODAVARI,KATRENIKONA,NA,NA,NA,NA,NA,NA,NA,NA
ANDHRA PRADESH,EAST GODAVARI,KIRLAMPUDI,8,0,0,0,0,0,0,8
ANDHRA PRADESH,EAST GODAVARI,KORUKONDA,109,1,0,0,0,0,1,110
ANDHRA PRADESH,EAST GODAVARI,KOTANANDURU,84,5,0,0,0,0,5,89
ANDHRA PRADESH,EAST GODAVARI,KOTHAPALLE,NA,NA,NA,NA,NA,NA,NA,NA
ANDHRA PRADESH,EAST GODAVARI,KOTHAPETA,NA,NA,NA,NA,NA,NA,NA,NA
ANDHRA PRADESH,EAST GODAVARI,MALIKIPURAM,NA,NA,NA,NA,NA,NA,NA,NA
ANDHRA PRADESH,EAST GODAVARI,MAMIDIKUDURU,NA,NA,NA,NA,NA,NA,NA,NA
ANDHRA PRADESH,EAST GODAVARI,MANDAPETA,28,0,0,0,0,0,0,28
ANDHRA PRADESH,EAST GODAVARI,MAREDUMILLI,1,0,0,0,10,0,10,11
ANDHRA PRADESH,EAST GODAVARI,MUMMIDIVARAM,NA,NA,NA,NA,NA,NA,NA,NA
ANDHRA PRADESH,EAST GODAVARI,P.GANNAVARAM,NA,NA,NA,NA,NA,NA,NA,NA
ANDHRA PRADESH,EAST GODAVARI,PAMARRU,NA,NA,NA,NA,NA,NA,NA,NA
ANDHRA PRADESH,EAST GODAVARI,PEDAPUDI,NA,NA,NA,NA,NA,NA,NA,NA
ANDHRA PRADESH,EAST GODAVARI,PEDDAPURAM,43,9,0,0,0,0,9,52
ANDHRA PRADESH,EAST GODAVARI,PITHAPURAM,NA,NA,NA,NA,NA,NA,NA,NA
ANDHRA PRADESH,EAST GODAVARI,PRATHIPADU,73,12,0,0,0,0,12,85
ANDHRA PRADESH,EAST GODAVARI,RAJAHMUNDRY RURAL,16,1,0,0,0,0,1,17
ANDHRA PRADESH,EAST GODAVARI,RAJAHMUNDRY URBAN,NA,NA,NA,NA,NA,NA,NA,NA
ANDHRA PRADESH,EAST GODAVARI,RAJANAGARAM,199,0,0,0,0,0,0,199
ANDHRA PRADESH,EAST GODAVARI,RAJAVOMMANGI,73,1,0,6,5,0,12,85
ANDHRA PRADESH,EAST GODAVARI,RAMACHANDRAPURAM,NA,NA,NA,NA,NA,NA,NA,NA
ANDHRA PRADESH,EAST GODAVARI,RAMPACHODAVARAM,31,0,0,0,0,0,0,31
ANDHRA PRADESH,EAST GODAVARI,RANGAMPETA,141,2,0,0,0,0,2,143
ANDHRA PRADESH,EAST GODAVARI,RAVULAPALEM,NA,NA,NA,NA,NA,NA,NA,NA
ANDHRA PRADESH,EAST GODAVARI,RAYAVARAM,NA,NA,NA,NA,NA,NA,NA,NA
ANDHRA PRADESH,EAST GODAVARI,RAZOLE,NA,NA,NA,NA,NA,NA,NA,NA
ANDHRA PRADESH,EAST GODAVARI,SAKHINETIPALLE,NA,NA,NA,NA,NA,NA,NA,NA
ANDHRA PRADESH,EAST GODAVARI,SAMALKOTA,26,0,0,1,0,2,3,29
ANDHRA PRADESH,EAST GODAVARI,SANKHAVARAM,86,28,0,0,0,0,28,114
