-----
{
 "description": "The table refers to block wise distribution of dugwells by type. It has been sourced from 2nd census of Minor Irrigation Scheme (1993-94) from Ministry of Water Resources.", 
 "file_name": "blckdgwltab1.5.csv", 
 "title": "Download CSV for Block wise Distribution of Dugwells by its type for 2nd census of minor irrigation schemes (1993-94)", 
 "url": "http://data.gov.in/sites/default/files/blckdgwltab1.5.csv"
}
-----
"State","District","Block","Pucca","Kuchcha","Dug-cum Borewell","Others","Total"
"ANDHRA PRADESH","ADILABAD","KOUTHALA",187,36,0,0,223
"ANDHRA PRADESH","ADILABAD","KUBEER",237,26,0,1,264
"ANDHRA PRADESH","ADILABAD","KUNTALA",25,31,23,0,79
"ANDHRA PRADESH","ADILABAD","LAHESRA",11,55,0,0,66
"ANDHRA PRADESH","ADILABAD","LAXMANCHANDA",248,1177,0,1,1426
"ANDHRA PRADESH","ADILABAD","LUXETTIPET",374,554,44,4,976
"ANDHRA PRADESH","ADILABAD","MAMDA",35,228,297,46,606
"ANDHRA PRADESH","ADILABAD","MANCHERIAL",516,940,1,1,1458
"ANDHRA PRADESH","ADILABAD","MANDAMARRI",443,65,1,0,509
"ANDHRA PRADESH","ADILABAD","MUDHOLE",175,71,0,1,247
"ANDHRA PRADESH","ADILABAD","NARNOOR",190,193,0,17,400
"ANDHRA PRADESH","ADILABAD","NENNAL",142,3,1,0,146
"ANDHRA PRADESH","ADILABAD","NERADIGONDA",213,11,1,0,225
"ANDHRA PRADESH","ADILABAD","NIRMAL",56,1508,18,198,1780
"ANDHRA PRADESH","ADILABAD","REBBENA",267,39,0,0,306
"ANDHRA PRADESH","ADILABAD","SARANGAPUR",142,89,7,0,238
"ANDHRA PRADESH","ADILABAD","SIRPUR",328,17,0,0,345
"ANDHRA PRADESH","ADILABAD","SIRPUR (T)",210,1,0,0,211
"ANDHRA PRADESH","ADILABAD","TALAMADUGU",449,93,0,3,545
"ANDHRA PRADESH","ADILABAD","TAMSI",288,40,0,0,328
"ANDHRA PRADESH","ADILABAD","TANDUR",229,5,0,0,234
"ANDHRA PRADESH","ADILABAD","TANUR",226,0,0,0,226
"ANDHRA PRADESH","ADILABAD","TIRYANI",162,0,0,0,162
"ANDHRA PRADESH","ADILABAD","UTNUR",535,52,1,0,588
"ANDHRA PRADESH","ADILABAD","VEMANPALLE",19,198,0,1,218
"ANDHRA PRADESH","ADILABAD","WANKDI",82,1,0,0,83
"ANDHRA PRADESH","ANANTHAPUR","AGALI",342,621,127,2,1092
"ANDHRA PRADESH","ANANTHAPUR","AMADAGUR",194,732,20,3,949
"ANDHRA PRADESH","ANANTHAPUR","AMARAPURAM",232,276,23,0,531
"ANDHRA PRADESH","ANANTHAPUR","ANANTAPUR",349,10,234,15,608
"ANDHRA PRADESH","ANANTHAPUR","ATMAKUR",14,87,619,4,724
"ANDHRA PRADESH","ANANTHAPUR","BATHALAPALLE",224,379,0,0,603
"ANDHRA PRADESH","ANANTHAPUR","BELUGUPPA",62,111,289,0,462
"ANDHRA PRADESH","ANANTHAPUR","BOMMANAHAL",115,90,89,1,295
"ANDHRA PRADESH","ANANTHAPUR","BRAHMASAMUDRAM",34,180,404,48,666
"ANDHRA PRADESH","ANANTHAPUR","BUKKAPATNAM",785,85,37,0,907
"ANDHRA PRADESH","ANANTHAPUR","BUKKARAYASAMUDRAM",334,481,962,1,1778
"ANDHRA PRADESH","ANANTHAPUR","CHENNEKOTHAPALLE",377,596,948,1,1922
"ANDHRA PRADESH","ANANTHAPUR","CHILAMATHUR",618,524,192,10,1344
"ANDHRA PRADESH","ANANTHAPUR","D.HIREHAL",182,300,262,1,745
"ANDHRA PRADESH","ANANTHAPUR","DHARMAVARAM",299,400,972,0,1671
"ANDHRA PRADESH","ANANTHAPUR","GANDLAPENTA",105,655,31,1,792
"ANDHRA PRADESH","ANANTHAPUR","GARLADINNE",93,367,345,0,805
"ANDHRA PRADESH","ANANTHAPUR","GOOTY",206,228,82,0,516
"ANDHRA PRADESH","ANANTHAPUR","GORANTLA",365,948,32,0,1345
"ANDHRA PRADESH","ANANTHAPUR","GUDIBANDA",412,223,24,4,663
"ANDHRA PRADESH","ANANTHAPUR","GUMMAGATA",57,32,621,0,710
"ANDHRA PRADESH","ANANTHAPUR","GUNTAKAL",59,280,184,2,525
"ANDHRA PRADESH","ANANTHAPUR","HINDUPUR",367,204,387,5,963
"ANDHRA PRADESH","ANANTHAPUR","KADIRI",286,308,51,0,645
"ANDHRA PRADESH","ANANTHAPUR","KALYANDRUG",33,90,908,7,1038
"ANDHRA PRADESH","ANANTHAPUR","KAMBADUR",263,433,154,1,851
"ANDHRA PRADESH","ANANTHAPUR","KANAGANAPALLE",285,490,144,6,925
"ANDHRA PRADESH","ANANTHAPUR","KANEKAL",38,92,54,8,192
"ANDHRA PRADESH","ANANTHAPUR","KOTHACHERUVU",91,538,679,9,1317
"ANDHRA PRADESH","ANANTHAPUR","KUDAIR",7,401,394,2,804
"ANDHRA PRADESH","ANANTHAPUR","KUNDURPI",94,731,188,0,1013
"ANDHRA PRADESH","ANANTHAPUR","LEPAKSHI",285,57,240,4,586
"ANDHRA PRADESH","ANANTHAPUR","MADAKASIRA",500,893,86,7,1486
"ANDHRA PRADESH","ANANTHAPUR","MUDIGUBBA",23,1159,121,0,1303
"ANDHRA PRADESH","ANANTHAPUR","NALLACHERUVU",2,516,21,0,539
"ANDHRA PRADESH","ANANTHAPUR","NALLAMADA",420,557,38,7,1022
"ANDHRA PRADESH","ANANTHAPUR","NAMBULAPULIKUNTA",312,523,121,0,956
"ANDHRA PRADESH","ANANTHAPUR","NARPALA",416,1031,502,1,1950
"ANDHRA PRADESH","ANANTHAPUR","OBULADEVARACHERUVU",884,226,31,1,1142
"ANDHRA PRADESH","ANANTHAPUR","PAMIDI",142,220,14,0,376
"ANDHRA PRADESH","ANANTHAPUR","PARIGI",478,138,147,1,764
"ANDHRA PRADESH","ANANTHAPUR","PEDDAPAPPUR",622,247,138,4,1011
"ANDHRA PRADESH","ANANTHAPUR","PEDDAVADUGUR",94,19,166,0,279
"ANDHRA PRADESH","ANANTHAPUR","PENUKONDA",735,223,274,2,1234
"ANDHRA PRADESH","ANANTHAPUR","PUTLUR",31,1287,348,2,1668
"ANDHRA PRADESH","ANANTHAPUR","PUTTAPARTHI",517,67,202,0,786
"ANDHRA PRADESH","ANANTHAPUR","RAMAGIRI",207,320,6,0,533
"ANDHRA PRADESH","ANANTHAPUR","RAPTADU",132,98,464,0,694
"ANDHRA PRADESH","ANANTHAPUR","RAYADURG",23,112,579,14,728
"ANDHRA PRADESH","ANANTHAPUR","RODDAM",228,443,203,2,876
"ANDHRA PRADESH","ANANTHAPUR","ROLLA",114,653,4,0,771
"ANDHRA PRADESH","ANANTHAPUR","SETTUR",417,4,288,1,710
"ANDHRA PRADESH","ANANTHAPUR","SINGANAMALA",105,738,366,1,1210
"ANDHRA PRADESH","ANANTHAPUR","SOMANDEPALLE",406,245,78,0,729
"ANDHRA PRADESH","ANANTHAPUR","TADIMARRI",14,300,753,2,1069
"ANDHRA PRADESH","ANANTHAPUR","TADPATRI",548,134,113,0,795
"ANDHRA PRADESH","ANANTHAPUR","TALUPULA",166,1017,6,1,1190
"ANDHRA PRADESH","ANANTHAPUR","TANAKAL",27,1068,20,3,1118
"ANDHRA PRADESH","ANANTHAPUR","URAVAKONDA",55,317,165,0,537
"ANDHRA PRADESH","ANANTHAPUR","VAJRAKARUR",43,98,173,3,317
"ANDHRA PRADESH","ANANTHAPUR","VIDAPANAKAL",92,95,33,6,226
"ANDHRA PRADESH","ANANTHAPUR","YADIKI",142,186,192,6,526
"ANDHRA PRADESH","ANANTHAPUR","YELLANUR",147,797,92,12,1048
"ANDHRA PRADESH","CHITTOOR","B.KOTHAKOTA",171,876,121,2,1170
"ANDHRA PRADESH","CHITTOOR","BAIREDDIPALLE",665,1781,484,5,2935
"ANDHRA PRADESH","CHITTOOR","BANGARUPALEM",1355,1779,352,3,3489
"ANDHRA PRADESH","CHITTOOR","BUCHINAIDU KHANDRIGA",460,338,46,0,844
"ANDHRA PRADESH","CHITTOOR","CHANDRAGIRI",2485,108,180,34,2807
"ANDHRA PRADESH","CHITTOOR","CHINNAGOTTIGALLU",214,829,417,1,1461
"ANDHRA PRADESH","CHITTOOR","CHITTOOR",286,1735,555,10,2586
"ANDHRA PRADESH","CHITTOOR","CHOWDE[ALLE",1107,322,209,28,1666
"ANDHRA PRADESH","CHITTOOR","GANGADHARA NELLORE",275,3622,207,8,4112
"ANDHRA PRADESH","CHITTOOR","GANGAVARAM",309,1306,518,56,2189
"ANDHRA PRADESH","CHITTOOR","GUDIPALA",221,2206,177,2,2606
"ANDHRA PRADESH","CHITTOOR","GUDUPALLE",680,150,21,2,853
"ANDHRA PRADESH","CHITTOOR","GURRAMKONDA",849,935,286,108,2178
"ANDHRA PRADESH","CHITTOOR","IRALA",841,1893,38,1,2773
"ANDHRA PRADESH","CHITTOOR","K.V.B. PURAM",591,139,385,45,1160
"ANDHRA PRADESH","CHITTOOR","KALAKADA",104,1513,251,0,1868
"ANDHRA PRADESH","CHITTOOR","KALIKIRI",697,194,463,0,1354
"ANDHRA PRADESH","CHITTOOR","KAMACHANDRA PURAM",1779,44,166,1,1990
"ANDHRA PRADESH","CHITTOOR","KAMBHAMVARIPALLE",116,2289,397,3,2805
"ANDHRA PRADESH","CHITTOOR","KARVETINAGAR",1939,206,64,25,2234
"ANDHRA PRADESH","CHITTOOR","KUPPAM",643,1358,187,0,2188
"ANDHRA PRADESH","CHITTOOR","KURABALAKOTA",240,657,107,0,1004
"ANDHRA PRADESH","CHITTOOR","MADANAPALLE",807,443,28,36,1314
"ANDHRA PRADESH","CHITTOOR","MULAKALACHERUVU",162,612,94,0,868
"ANDHRA PRADESH","CHITTOOR","NAGALAPURAM",1006,12,41,0,1059
"ANDHRA PRADESH","CHITTOOR","NAGARI",1252,40,306,2,1600
"ANDHRA PRADESH","CHITTOOR","NARAYANAVANAM",734,4,35,1,774
"ANDHRA PRADESH","CHITTOOR","NIMMANAPALLE",60,833,464,1,1358
"ANDHRA PRADESH","CHITTOOR","NINDRA",887,18,428,1,1334
"ANDHRA PRADESH","CHITTOOR","PAKALA",1281,1051,47,6,2385
"ANDHRA PRADESH","CHITTOOR","PALAMANERU",119,1307,462,1,1889
"ANDHRA PRADESH","CHITTOOR","PALASAMUDRAM",738,747,161,26,1672
"ANDHRA PRADESH","CHITTOOR","PEDDAMANDYAM",33,965,6,2,1006
"ANDHRA PRADESH","CHITTOOR","PEDDAPANJANI",1027,616,175,0,1818
"ANDHRA PRADESH","CHITTOOR","PEDDATHIPPASAMDRAM",147,1316,185,1,1649
"ANDHRA PRADESH","CHITTOOR","PENUMURU",150,1738,766,1,2655
"ANDHRA PRADESH","CHITTOOR","PICHATURU",824,78,213,0,1115
"ANDHRA PRADESH","CHITTOOR","PILERU",20,1153,418,14,1605
"ANDHRA PRADESH","CHITTOOR","PULICHERLA",802,551,223,0,1576
"ANDHRA PRADESH","CHITTOOR","PUNGANURU",1239,1070,339,1,2649
"ANDHRA PRADESH","CHITTOOR","PUTHALAPATTU",593,2355,174,1,3123
"ANDHRA PRADESH","CHITTOOR","PUTTURU",1564,166,256,17,2003
"ANDHRA PRADESH","CHITTOOR","RAMAKUPPAM",457,1194,141,13,1805
"ANDHRA PRADESH","CHITTOOR","RAMASAMUDRAM",1128,391,32,2,1553
"ANDHRA PRADESH","CHITTOOR","RENIGUNTA",748,493,1,3,1245
"ANDHRA PRADESH","CHITTOOR","ROMPICHERLA",192,115,720,0,1027
"ANDHRA PRADESH","CHITTOOR","SANTHIPURAM",69,1654,42,2,1767
"ANDHRA PRADESH","CHITTOOR","SATYAVEDU",1042,221,99,27,1389
"ANDHRA PRADESH","CHITTOOR","SODAM",500,1570,493,2,2565
"ANDHRA PRADESH","CHITTOOR","SOMALA",605,1281,174,0,2060
"ANDHRA PRADESH","CHITTOOR","SRIKALAHASTI",1430,106,48,16,1600
"ANDHRA PRADESH","CHITTOOR","SRIRANGARAJAPURAM",659,1299,273,5,2236
"ANDHRA PRADESH","CHITTOOR","THAMBALLAPALLE",754,314,2,6,1076
"ANDHRA PRADESH","CHITTOOR","THAVANAMPALLE",2214,549,58,24,2845
"ANDHRA PRADESH","CHITTOOR","THOTTAMBEDA",1279,80,10,0,1369
"ANDHRA PRADESH","CHITTOOR","TIRUPATI (RURAL)",1117,0,934,15,2066
"ANDHRA PRADESH","CHITTOOR","TIRUPATI (URBAN)",151,9,44,0,204
"ANDHRA PRADESH","CHITTOOR","VADAMALAPETA",1176,274,426,0,1876
"ANDHRA PRADESH","CHITTOOR","VARADAIAHPALEM",683,83,28,0,794
"ANDHRA PRADESH","CHITTOOR","VAYALPAD",1442,13,28,7,1490
"ANDHRA PRADESH","CHITTOOR","VEDURUKUPPAM",96,2438,640,15,3189
"ANDHRA PRADESH","CHITTOOR","VENKATAGIRIKOTA",1945,757,524,192,3418
"ANDHRA PRADESH","CHITTOOR","VIJAYAPURAM",538,277,749,0,1564
"ANDHRA PRADESH","CHITTOOR","YADAMARI",449,1909,132,6,2496
"ANDHRA PRADESH","CHITTOOR","YERPEDU",1476,55,104,4,1639
"ANDHRA PRADESH","CHITTOOR","YERRAVARIPALEM",410,140,144,1,695
"ANDHRA PRADESH","CUDDAPAH","ATLUR",749,324,59,0,1132
"ANDHRA PRADESH","CUDDAPAH","B.KODUR",320,778,47,8,1153
"ANDHRA PRADESH","CUDDAPAH","BADVEL",358,301,32,1,692
"ANDHRA PRADESH","CUDDAPAH","BRAHMAMGARIMATHAM",113,522,201,0,836
"ANDHRA PRADESH","CUDDAPAH","CHAKARAYAPET",630,452,58,0,1140
"ANDHRA PRADESH","CUDDAPAH","CHAPAD",204,6,115,0,325
"ANDHRA PRADESH","CUDDAPAH","CHENNAMANDEM",682,718,58,0,1458
"ANDHRA PRADESH","CUDDAPAH","CHENNUR",97,7,10,0,114
"ANDHRA PRADESH","CUDDAPAH","CHINTHAKOMMADINNE",720,0,288,0,1008
"ANDHRA PRADESH","CUDDAPAH","CHITVEL",557,0,1,0,558
"ANDHRA PRADESH","CUDDAPAH","CUDDAPAH",161,51,0,0,212
"ANDHRA PRADESH","CUDDAPAH","DUVVUR",696,175,0,2,873
"ANDHRA PRADESH","CUDDAPAH","GALIVEEDU",761,1432,13,7,2213
"ANDHRA PRADESH","CUDDAPAH","GOPAVARAM",355,134,6,0,495
"ANDHRA PRADESH","CUDDAPAH","JAMMALAMADUGU",269,32,0,0,301
"ANDHRA PRADESH","CUDDAPAH","KALASAPADU",484,387,0,0,871
"ANDHRA PRADESH","CUDDAPAH","KAMALAPURAM",503,7,0,1,511
"ANDHRA PRADESH","CUDDAPAH","KHAJIPET",415,57,36,1,509
"ANDHRA PRADESH","CUDDAPAH","KODUR",853,1,288,0,1142
"ANDHRA PRADESH","CUDDAPAH","KONDAPURAM",27,33,0,0,60
"ANDHRA PRADESH","CUDDAPAH","LAKKIREDDIPALLE",724,751,3,5,1483
"ANDHRA PRADESH","CUDDAPAH","LINGALA",95,548,45,0,688
"ANDHRA PRADESH","CUDDAPAH","MUDDANUR",387,41,10,2,440
"ANDHRA PRADESH","CUDDAPAH","MYLAVARAM",507,14,3,0,524
"ANDHRA PRADESH","CUDDAPAH","NANDALUR",331,199,116,2,648
"ANDHRA PRADESH","CUDDAPAH","OBULAVARIPALLE",1177,19,109,1,1306
"ANDHRA PRADESH","CUDDAPAH","PEDDAMUDIUM",102,13,0,9,124
"ANDHRA PRADESH","CUDDAPAH","PENAGALUR",351,22,73,5,451
"ANDHRA PRADESH","CUDDAPAH","PENDLIMARRI",111,37,170,0,318
"ANDHRA PRADESH","CUDDAPAH","PORUMAMILLA",290,1336,75,1,1702
"ANDHRA PRADESH","CUDDAPAH","PRODDUTUR",96,0,1,0,97
"ANDHRA PRADESH","CUDDAPAH","PULIVENDLA",227,280,73,1,581
"ANDHRA PRADESH","CUDDAPAH","PULLAMPETA",418,382,464,22,1286
"ANDHRA PRADESH","CUDDAPAH","RAJAMPET",201,860,302,0,1363
"ANDHRA PRADESH","CUDDAPAH","RAJUPALEM",46,3,4,5,58
"ANDHRA PRADESH","CUDDAPAH","RAMAPURAM",578,106,5,2,691
"ANDHRA PRADESH","CUDDAPAH","ROYACHOTI",873,977,37,2,1889
"ANDHRA PRADESH","CUDDAPAH","S.MYDUKUR",682,564,46,3,1295
"ANDHRA PRADESH","CUDDAPAH","SAMBEPALLE",632,1109,31,12,1784
"ANDHRA PRADESH","CUDDAPAH","SIDHOUT",563,0,0,69,632
"ANDHRA PRADESH","CUDDAPAH","SIMHADRIPURAM",90,455,9,0,554
"ANDHRA PRADESH","CUDDAPAH","T.SUNDUPALLE",359,1127,13,2,1501
"ANDHRA PRADESH","CUDDAPAH","THONDUR",310,166,82,3,561
"ANDHRA PRADESH","CUDDAPAH","VALLUR",534,12,43,6,595
"ANDHRA PRADESH","CUDDAPAH","VEERABALLE",644,388,43,0,1075
"ANDHRA PRADESH","CUDDAPAH","VEERAPUNAYUNIPALLE",193,220,77,0,490
"ANDHRA PRADESH","CUDDAPAH","VEMPALLE",294,257,54,1,606
"ANDHRA PRADESH","CUDDAPAH","VEMULA",400,260,83,1,744
"ANDHRA PRADESH","CUDDAPAH","VONTIMITTA",1157,11,436,4,1608
"ANDHRA PRADESH","CUDDAPAH","YERRAGUNTLA",219,0,0,0,219
"ANDHRA PRADESH","EAST GODAVARI","ADDATEEGALA",0,1,0,0,1
"ANDHRA PRADESH","EAST GODAVARI","AINAVILLI",NA,NA,NA,NA,NA
"ANDHRA PRADESH","EAST GODAVARI","ALAMURU",NA,NA,NA,NA,NA
"ANDHRA PRADESH","EAST GODAVARI","ALLAVARAM",NA,NA,NA,NA,NA
"ANDHRA PRADESH","EAST GODAVARI","AMALAPURAM",NA,NA,NA,NA,NA
"ANDHRA PRADESH","EAST GODAVARI","AMBAJIPETA",NA,NA,NA,NA,NA
"ANDHRA PRADESH","EAST GODAVARI","ANAPARTHY",NA,NA,NA,NA,NA
"ANDHRA PRADESH","EAST GODAVARI","ATREYAPURAM",NA,NA,NA,NA,NA
"ANDHRA PRADESH","EAST GODAVARI","BICCAVOLU",1,3,3,0,7
"ANDHRA PRADESH","EAST GODAVARI","DEVIPATNAM",NA,NA,NA,NA,NA
"ANDHRA PRADESH","EAST GODAVARI","GANDEPALLE",22,1,0,0,23
"ANDHRA PRADESH","EAST GODAVARI","GANGAVARAM",NA,NA,NA,NA,NA
"ANDHRA PRADESH","EAST GODAVARI","GOKAVARAM",7,0,0,8,15
"ANDHRA PRADESH","EAST GODAVARI","GOLLAPROLU",97,0,1,0,98
"ANDHRA PRADESH","EAST GODAVARI","I. POLAVARAM",NA,NA,NA,NA,NA
"ANDHRA PRADESH","EAST GODAVARI","JAGGAMPETA",121,3,0,0,124
"ANDHRA PRADESH","EAST GODAVARI","KADIAM",NA,NA,NA,NA,NA
"ANDHRA PRADESH","EAST GODAVARI","KAJULURU",NA,NA,NA,NA,NA
"ANDHRA PRADESH","EAST GODAVARI","KAKINADA RURAL",NA,NA,NA,NA,NA
"ANDHRA PRADESH","EAST GODAVARI","KAKINADA URBAN",NA,NA,NA,NA,NA
"ANDHRA PRADESH","EAST GODAVARI","KAPILESWARAPURAM",NA,NA,NA,NA,NA
"ANDHRA PRADESH","EAST GODAVARI","KARAPA",0,0,0,2,2
"ANDHRA PRADESH","EAST GODAVARI","KATRENIKONA",NA,NA,NA,NA,NA
"ANDHRA PRADESH","EAST GODAVARI","KIRLAMPUDI",0,0,0,6,6
"ANDHRA PRADESH","EAST GODAVARI","KORUKONDA",125,1,0,0,126
"ANDHRA PRADESH","EAST GODAVARI","KOTANANDURU",156,13,0,0,169
"ANDHRA PRADESH","EAST GODAVARI","KOTHAPALLE",9,0,9,0,18
"ANDHRA PRADESH","EAST GODAVARI","KOTHAPETA",NA,NA,NA,NA,NA
"ANDHRA PRADESH","EAST GODAVARI","MALIKIPURAM",NA,NA,NA,NA,NA
"ANDHRA PRADESH","EAST GODAVARI","MAMIDIKUDURU",NA,NA,NA,NA,NA
"ANDHRA PRADESH","EAST GODAVARI","MANDAPETA",NA,NA,NA,NA,NA
"ANDHRA PRADESH","EAST GODAVARI","MAREDUMILLI",NA,NA,NA,NA,NA
"ANDHRA PRADESH","EAST GODAVARI","MUMMIDIVARAM",NA,NA,NA,NA,NA
"ANDHRA PRADESH","EAST GODAVARI","P.GANNAVARAM",NA,NA,NA,NA,NA
"ANDHRA PRADESH","EAST GODAVARI","PAMARRU",NA,NA,NA,NA,NA
"ANDHRA PRADESH","EAST GODAVARI","PEDAPUDI",NA,NA,NA,NA,NA
"ANDHRA PRADESH","EAST GODAVARI","PEDDAPURAM",4,0,0,0,4
"ANDHRA PRADESH","EAST GODAVARI","PITHAPURAM",24,0,0,0,24
"ANDHRA PRADESH","EAST GODAVARI","PRATHIPADU",100,3,0,0,103
"ANDHRA PRADESH","EAST GODAVARI","RAJAHMUNDRY RURAL",NA,NA,NA,NA,NA
"ANDHRA PRADESH","EAST GODAVARI","RAJAHMUNDRY URBAN",NA,NA,NA,NA,NA
"ANDHRA PRADESH","EAST GODAVARI","RAJANAGARAM",95,0,68,0,163
"ANDHRA PRADESH","EAST GODAVARI","RAJAVOMMANGI",NA,NA,NA,NA,NA
"ANDHRA PRADESH","EAST GODAVARI","RAMACHANDRAPURAM",NA,NA,NA,NA,NA
"ANDHRA PRADESH","EAST GODAVARI","RAMPACHODAVARAM",NA,NA,NA,NA,NA
"ANDHRA PRADESH","EAST GODAVARI","RANGAMPETA",6,0,0,0,6
"ANDHRA PRADESH","EAST GODAVARI","RAVULAPALEM",NA,NA,NA,NA,NA
"ANDHRA PRADESH","EAST GODAVARI","RAYAVARAM",NA,NA,NA,NA,NA
"ANDHRA PRADESH","EAST GODAVARI","RAZOLE",16,0,0,0,16
"ANDHRA PRADESH","EAST GODAVARI","SAKHINETIPALLE",NA,NA,NA,NA,NA
"ANDHRA PRADESH","EAST GODAVARI","SAMALKOTA",1,0,195,0,196
"ANDHRA PRADESH","EAST GODAVARI","SANKHAVARAM",190,111,16,5,322
"ANDHRA PRADESH","EAST GODAVARI","SEETHANAGARAM",NA,NA,NA,NA,NA
"ANDHRA PRADESH","EAST GODAVARI","THALLAREVU",0,0,8,17,25
"ANDHRA PRADESH","EAST GODAVARI","THONDANGI",14,0,2,0,16
"ANDHRA PRADESH","EAST GODAVARI","TUNI",557,46,14,1,618
"ANDHRA PRADESH","EAST GODAVARI","UPPALAGUPTAM",NA,NA,NA,NA,NA
"ANDHRA PRADESH","EAST GODAVARI","Y. RAMAVARAM",NA,NA,NA,NA,NA
"ANDHRA PRADESH","EAST GODAVARI","YELESWARAM",3,0,0,0,3
"ANDHRA PRADESH","GUNTUR","ACHAMPET",220,134,99,2,455
"ANDHRA PRADESH","GUNTUR","AMARAVATHI",453,97,101,0,651
"ANDHRA PRADESH","GUNTUR","AMRUTHALUR",4,0,0,0,4
"ANDHRA PRADESH","GUNTUR","BAPATLA",0,2462,0,5,2467
"ANDHRA PRADESH","GUNTUR","BELLAMKONDA",114,78,0,0,192
"ANDHRA PRADESH","GUNTUR","BHATTIPROLU",NA,NA,NA,NA,NA
"ANDHRA PRADESH","GUNTUR","BOLLAPALLE",54,154,0,0,208
"ANDHRA PRADESH","GUNTUR","CHEBROLE",89,832,1,0,922
"ANDHRA PRADESH","GUNTUR","CHERUKUPALLE",4,1149,0,0,1153
"ANDHRA PRADESH","GUNTUR","CHILAKALURIPET",242,95,0,3,340
"ANDHRA PRADESH","GUNTUR","DACHEPALLE",1,23,0,0,24
"ANDHRA PRADESH","GUNTUR","DUGGIRALA",NA,NA,NA,NA,NA
"ANDHRA PRADESH","GUNTUR","DURGI",12,1,1,0,14
"ANDHRA PRADESH","GUNTUR","EDLAPADU",150,60,4,5,219
"ANDHRA PRADESH","GUNTUR","GUNTUR",31,7,1,0,39
"ANDHRA PRADESH","GUNTUR","GURAZALA",13,0,0,0,13
"ANDHRA PRADESH","GUNTUR","IPUR",69,96,0,0,165
"ANDHRA PRADESH","GUNTUR","KAKUMANU",NA,NA,NA,NA,NA
"ANDHRA PRADESH","GUNTUR","KAREMPUDI",3,10,0,0,13
"ANDHRA PRADESH","GUNTUR","KARLAPALEM",2,1569,0,0,1571
"ANDHRA PRADESH","GUNTUR","KOLLIPARA",NA,NA,NA,NA,NA
"ANDHRA PRADESH","GUNTUR","KOLLUR",12,0,0,0,12
"ANDHRA PRADESH","GUNTUR","KROSURU",141,102,9,0,252
"ANDHRA PRADESH","GUNTUR","MACHAVARAM",7,16,0,0,23
"ANDHRA PRADESH","GUNTUR","MACHERLA",105,0,0,0,105
"ANDHRA PRADESH","GUNTUR","MANGALAGIRI",202,0,7,0,209
"ANDHRA PRADESH","GUNTUR","MEDIKONDURU",49,1,0,0,50
"ANDHRA PRADESH","GUNTUR","MUPPALLA",124,72,0,0,196
"ANDHRA PRADESH","GUNTUR","NADENDLA",28,14,0,0,42
"ANDHRA PRADESH","GUNTUR","NAGARAM",NA,NA,NA,NA,NA
"ANDHRA PRADESH","GUNTUR","NARASARAOPET",274,11,0,0,285
"ANDHRA PRADESH","GUNTUR","NEKARIKALLU",36,0,0,0,36
