-----
{
 "description": "The table refers to district wise culturable command area and potential created through dug-wells. It has been sourced from 2nd census of Minor Irrigation Scheme (1993-94) from Ministry of Water Resources.", 
 "file_name": "Statedgwltab1.13.csv", 
 "title": "Download CSV for District wise Culturable command area and potential created through Dugwells for 2nd census of minor irrigation schemes (1993-94)", 
 "url": "http://data.gov.in/sites/default/files/Statedgwltab1.13.csv"
}
-----
"State","District","Culturable Command Area","Irrigation Potential Created - Kharif","Irrigation Potential Created - Rabi","Irrigation Potential Created - Perennial","Irrigation Potential Created - Others","Total"
"KARNATAKA","BELLARY",9868.76,9595.47,3413.92,1004.64,739.18,14753.21
"KARNATAKA","BIDAR",43960.21,20253.76,22493.66,2683.13,149.45,45580
"KARNATAKA","BIJAPUR",82762.27,53732.52,38507.64,5850.09,2980.1,101070.35
"KARNATAKA","CHIKKAMAGALORE",8500.78,4269.43,975.09,2734.85,1146.82,9126.19
"KARNATAKA","CHITRADURGA",25464.74,18162.04,5744.46,4732.07,2032.83,30671.4
"KARNATAKA","DAKSHINA KANNADA",41486.61,3974.46,17595.76,20883.26,19457.29,61910.77
"KARNATAKA","DHARWAR",9521.53,7661.33,5911.67,950.57,668.59,15192.16
"KARNATAKA","GULBARGA",40627.46,22715.33,17571.21,2248.61,133.41,42668.56
"KARNATAKA","HASSAN",5653.66,3927.64,1662.79,1533.24,1353.79,8477.46
"KARNATAKA","KODAGU",316.74,270.6,113.94,12,4,400.54
"KARNATAKA","KOLAR",26964.85,23850.05,11426.26,6402.77,807.22,42486.3
"KARNATAKA","MANDYA",10051.82,5650.33,3153.82,2253.11,632.16,11689.42
"KARNATAKA","MYSORE",32571.64,25312.2,6200.41,6091.05,2024.79,39628.45
"KARNATAKA","RAICHUR",30218.83,25850.41,8270.16,1660.31,7275.14,43056.02
"KARNATAKA","SHIMOGA",9951.99,6407.83,1039.62,4381.33,850.11,12678.89
"KARNATAKA","TUMKUR",33364.14,23939.81,6811.45,6754.88,4325.4,41831.54
"KARNATAKA","UTTARA KANNADA",8382.4,2010.09,1196.93,4829.89,967.34,9004.25
"KERALA","ALAPUZHA",1169,17,35,701,668,1421
"KERALA","ERANAKULAM",9231,2232,2074,4664,2393,11363
"KERALA","IDUKKI",6645,482,604,4975,1007,7068
"KERALA","KANNUR",6349,255,853,4613,1406,7127
"KERALA","KASARAGODE",3493,575,1021,2137,296,4029
"KERALA","KOLLAM",1176,124,29,740,358,1251
"KERALA","KOTTAYAM",4004,236,92,3749,781,4858
"KERALA","KOZHIKODE",4256,349,302,3621,984,5256
"KERALA","MALAPPURAM",5901,1216,1401,4446,954,8017
"KERALA","PALAKKAD",5897,2605,2538,1348,1921,8412
"KERALA","PATHANAMTHITTA",1853,356,300,1091,543,2290
"KERALA","THIRUVANANTHAPURAM",2356,198,153,1708,750,2809
"KERALA","THRISSUR",17868,696,1000,15307,2238,19241
"KERALA","WAYANAD",2505,563,543,986,937,3029
"MADHYA PRADESH","BALAGHAT",16213,13278,6398,570,125,20371
"MADHYA PRADESH","BASTAR",4062,3735,2758,19,0,6512
"MADHYA PRADESH","BETUL",77896,4367,84471,159,23,89020
"MADHYA PRADESH","BHIND",52759,11357,53945,0,0,65302
"MADHYA PRADESH","BHOPAL",24662,22447,24200,112,90,46849
"MADHYA PRADESH","BILASPUR",11301,7258,6811,50,125,14244
"MADHYA PRADESH","CHHATARPUR",94893,361,96247,127,25,96760
"MADHYA PRADESH","CHHINDWARA",46313,14166,41785,271,79,56301
"MADHYA PRADESH","DAMOH",16811,317,17393,119,49,17878
"MADHYA PRADESH","DATIA",37606,8418,41845,0,0,50263
"MADHYA PRADESH","DEWAS",66090,8561,59458,524,74,68617
"MADHYA PRADESH","DHAR",94300,43403,53132,712,31,97278
"MADHYA PRADESH","DURG",15883,15504,5028,262,1597,22391
"MADHYA PRADESH","GUNA",34666,904,41262,0,0,42166
"MADHYA PRADESH","GWALIOR",40349,12498,41120,13,0,53631
"MADHYA PRADESH","HOSHANGABAD",71712,441,72122,21,88,72672
"MADHYA PRADESH","INDORE",39494,2201,37962,74,1,40238
"MADHYA PRADESH","JABALPUR",41097,12923,39112,28,39,52102
"MADHYA PRADESH","JHABUA",23762,7318,18564,49,10,25941
"MADHYA PRADESH","KHANDWA",107401,44798,63728,9343,321,118190
"MADHYA PRADESH","KHARGONE",146801,94781,66811,1919,51,163562
"MADHYA PRADESH","MANDLA",2785,1113,1975,79,0,3167
"MADHYA PRADESH","MANDSAUR",195377,22785,238800,3169,300,265054
"MADHYA PRADESH","MORENA",69893,14876,72816,0,0,87692
"MADHYA PRADESH","NARSIMHAPUR",62203,14819,59309,61,124,74313
"MADHYA PRADESH","PANNA",10944,873,10378,21,17,11289
"MADHYA PRADESH","RAIGARH",7415,3888,5245,45,15,9193
"MADHYA PRADESH","RAIPUR",19448,22519,17922,453,1000,41894
"MADHYA PRADESH","RAISEN",20959,5581,20931,234,3,26749
"MADHYA PRADESH","RAJGARH",107333,25877,104502,219,123,130721
"MADHYA PRADESH","RAJNANDGAON",13369,12536,7099,141,60,19836
"MADHYA PRADESH","RATLAM",98939,11179,90489,434,97,102199
"MADHYA PRADESH","REWA",32856,17311,26765,162,4,44242
"MADHYA PRADESH","SAGAR",48557,927,50988,0,202,52117
"MADHYA PRADESH","SATNA",36059,33341,35576,3114,0,72031
"MADHYA PRADESH","SEHORE",82248,4001,81804,555,55,86415
"MADHYA PRADESH","SEONI",19453,2858,17609,25,13,20505
"MADHYA PRADESH","SHAHDOL",12505,11370,9138,6,2,20516
"MADHYA PRADESH","SHAJAPUR",93033,1804,91843,486,273,94406
"MADHYA PRADESH","SHIVPURI",135579,45368,125313,0,0,170681
"MADHYA PRADESH","SIDHI",20801,420,20955,1,0,21376
"MADHYA PRADESH","SURGUJA",15536,5633,13993,206,22,19854
"MADHYA PRADESH","TIKAMGARH",96729,17658,97105,0,0,114763
"MADHYA PRADESH","UJJAIN",74686,4341,71847,136,89,76413
"MADHYA PRADESH","VIDISHA",24591,218,24483,6,7,24714
"MAHARASHTRA","",NA,NA,NA,NA,NA,NA
"MANIPUR","BISHNUPUR",NA,NA,NA,NA,NA,NA
"MANIPUR","CHANDEL",NA,NA,NA,NA,NA,NA
"MANIPUR","CHURACHANDPUR",NA,NA,NA,NA,NA,NA
"MANIPUR","IMPHAL",NA,NA,NA,NA,NA,NA
"MANIPUR","SENAPATI",NA,NA,NA,NA,NA,NA
"MANIPUR","TAMENGLONG",NA,NA,NA,NA,NA,NA
"MANIPUR","THOUBAL",NA,NA,NA,NA,NA,NA
"MANIPUR","UKHRUL",NA,NA,NA,NA,NA,NA
"MEGHALAYA","EAST GARO HILLS",NA,NA,NA,NA,NA,NA
"MEGHALAYA","EAST KHASI HILLS",NA,NA,NA,NA,NA,NA
"MEGHALAYA","JAINTIA HILLS",NA,NA,NA,NA,NA,NA
"MEGHALAYA","RI BHOI DISTRICT",NA,NA,NA,NA,NA,NA
"MEGHALAYA","SOUTH GARO HILLS",6,6,6,0,0,12
"MEGHALAYA","WEST GARO HILLS",NA,NA,NA,NA,NA,NA
"MEGHALAYA","WEST KHASI HILLS",NA,NA,NA,NA,NA,NA
"MIZORAM","AIZAWL",599,333,264,2,1,600
"MIZORAM","CHHIMTUIPUI",61,37,19,12,1,69
"MIZORAM","LUNGLEI",160,107,52,4,0,163
"NAGALAND","KOHIMA",740,534,336,1,1,872
"NAGALAND","MOKOKCHUNG",19,13,6,0,0,19
"NAGALAND","MON",NA,NA,NA,NA,NA,NA
"NAGALAND","PHEK",NA,NA,NA,NA,NA,NA
"NAGALAND","TUENSANG",NA,NA,NA,NA,NA,NA
"NAGALAND","WOKHA",NA,NA,NA,NA,NA,NA
"NAGALAND","ZUNHEBOTO",NA,NA,NA,NA,NA,NA
"ORISSA","ANGUL",4597,3839,1862,381,24,6106
"ORISSA","BALASORE",828,534,690,5,40,1269
"ORISSA","BARAGARH",7231,6781,4190,596,228,11795
"ORISSA","BHADRAK",181,85,152,20,7,264
"ORISSA","BOLANGIR",24246,14925,9017,3432,279,27653
"ORISSA","BOUDH",2877,1919,1223,201,111,3454
"ORISSA","CUTTACK",3979,3395,2209,544,942,7090
"ORISSA","DEOGARH",2149,1838,1921,205,139,4103
"ORISSA","DHENKANAL",6997,3830,4739,309,490,9368
"ORISSA","GAJAPATI",2434,2720,2018,12,2,4752
"ORISSA","GANJAM",22966,22209,18907,938,558,42612
"ORISSA","JAGATSINGHPUR",349,121,378,5,22,526
"ORISSA","JAJPUR",1090,1010,591,9,631,2241
"ORISSA","JHARSUGUDA",1974,1528,1307,19,490,3344
"ORISSA","KALAHANDI",5685,5573,2411,403,103,8490
"ORISSA","KENDRAPARA",175,96,110,2,86,294
"ORISSA","KEONJHAR",3488,3573,1899,86,16,5574
"ORISSA","KHURDA",7044,5492,4582,751,1473,12298
"ORISSA","KORAPUT",1961,1901,1016,18,0,2935
"ORISSA","MALKANGIRI",731,515,582,7,1,1105
"ORISSA","MAYURBHANJ",3662,3223,2613,16,74,5926
"ORISSA","NAYAGARH",5656,3808,2949,1175,257,8189
"ORISSA","NOWRANGPUR",2346,2330,1190,75,8,3603
"ORISSA","NUAPADA",4032,2244,2186,168,16,4614
"ORISSA","PHULBANI",1558,1046,847,8,15,1916
"ORISSA","PURI",951,63,1028,36,9,1136
"ORISSA","RAYAGADA",939,1066,319,8,10,1403
"ORISSA","SAMBALPUR",6431,5620,1853,228,1447,9148
"ORISSA","SONEPUR",3983,3314,1861,189,36,5400
"ORISSA","SUNDARGARH",7081,2505,6644,172,14,9335
"PUNJAB","AMRITSAR",7529,6479,6545,324,362,13710
"PUNJAB","BATHINDA",2190,1799,2244,13,32,4088
"PUNJAB","FARIDKOT",1804,2194,2256,1,2,4453
"PUNJAB","FATEHGARH SAHIB",534,508,511,23,0,1042
"PUNJAB","FEROZEPUR",1036,1017,1017,1,27,2062
"PUNJAB","GURDASPUR",4107,3990,4080,94,46,8210
"PUNJAB","HOSHIARPUR",1925,1701,2009,152,35,3897
"PUNJAB","JALANDHAR",4790,8244,4323,317,67,12951
"PUNJAB","KAPURTHALA",2974,2689,3651,31,30,6401
"PUNJAB","LUDHIANA",2758,2067,2725,28,0,4820
"PUNJAB","MANSA",3902,2126,4268,8,0,6402
"PUNJAB","PATIALA",485,379,463,11,2,855
"PUNJAB","ROPAR",6635,4425,6368,204,136,11133
"PUNJAB","SANGRUR",7915,6163,7842,72,106,14183
"RAJASTHAN","AJMER",104243,20973,107628,478,1161,130240
"RAJASTHAN","ALWAR",206322,2504,206916,219,28,209667
"RAJASTHAN","BANSWARA",12752,255,12962,16,0,13233
"RAJASTHAN","BARAN",60083,16698,60335,294,2786,80113
"RAJASTHAN","BARMER",92365,7103,91238,159,4412,102912
"RAJASTHAN","BHARATPUR",14298,419,19380,65,33,19897
"RAJASTHAN","BHILWARA",225713,12615,246506,1473,1380,261974
"RAJASTHAN","BIKANER",1403,811,1170,0,0,1981
"RAJASTHAN","BUNDI",56078,2047,55506,157,254,57964
"RAJASTHAN","CHITTORGARH",177082,17025,198879,1907,2977,220788
"RAJASTHAN","CHURU",9048,1181,8076,0,216,9473
"RAJASTHAN","DAUSA",112002,6329,111189,994,821,119333
"RAJASTHAN","DHOLPUR",52751,956,55613,272,44,56885
"RAJASTHAN","DUNGARPUR",22567,1231,22123,53,598,24005
"RAJASTHAN","GANGANAGAR",NA,NA,NA,NA,NA,NA
"RAJASTHAN","HANUMANGARH",3911,53,5750,0,0,5803
"RAJASTHAN","JAIPUR",269858,7633,297265,1870,219,306987
"RAJASTHAN","JAISALMER",1763,701,1110,0,27,1838
"RAJASTHAN","JALORE",246207,9430,247996,780,2842,261048
"RAJASTHAN","JHALAWAR",134498,17340,166112,1093,2438,186983
"RAJASTHAN","JHUNJHNU",104747,32996,124142,212,6660,164010
"RAJASTHAN","JODHPUR",52323,8750,53342,40,2060,64192
"RAJASTHAN","KOTA",32110,87,33777,158,15,34037
"RAJASTHAN","NAGAUR",129643,7169,152436,531,822,160958
"RAJASTHAN","PALI",141725,5370,152489,735,62,158656
"RAJASTHAN","RAJSAMAND",83343,5322,88393,1238,124,95077
"RAJASTHAN","SAWAI-MADHOPUR",128014,8362,139296,441,764,148863
"RAJASTHAN","SIKAR",154843,63049,149824,444,9638,222955
"RAJASTHAN","SIROHI",84778,17591,89634,945,7770,115940
"RAJASTHAN","TONK",106010,18190,99922,1215,2690,122017
"RAJASTHAN","UDAIPUR",156399,4278,169861,3421,7117,184677
"SIKKIM","EAST SIKKIM",NA,NA,NA,NA,NA,NA
"SIKKIM","NORTH SIKKIM",NA,NA,NA,NA,NA,NA
"SIKKIM","SOUTH SIKKIM",NA,NA,NA,NA,NA,NA
"SIKKIM","WEST SIKKIM",NA,NA,NA,NA,NA,NA
"TAMIL NADU","COIMBATORE",185257.71,123021.24,61307.24,41849.32,4065.11,230242.91
"TAMIL NADU","CUDDALORE",11870.78,4240.06,4737.92,722.16,3668.9,13369.04
"TAMIL NADU","DHARMAPURI",248736.05,167340.04,73756.93,38459.95,13539.9,293096.82
"TAMIL NADU","DINDIGUL",243177.97,45363.94,44582.72,26185.49,181226.19,297358.34
"TAMIL NADU","ERODE",137135.15,102630.88,37124.76,6919.95,37445.33,184120.92
"TAMIL NADU","KANCHIPURAM",81440.45,81073.68,48973.09,17959.6,2093.77,150100.14
"TAMIL NADU","KANNIYAKUMARI",1945.86,71.84,59.1,1741.1,136.25,2008.29
"TAMIL NADU","KARUR",32566.21,22815.67,17426.71,4245.59,2611.25,47099.22
"TAMIL NADU","MADRAS",NA,NA,NA,NA,NA,NA
"TAMIL NADU","MADURAI",468933.26,138935.43,247046.61,51397.41,31553.9,468933.35
"TAMIL NADU","NAGAPATTINAM",10780.22,9719.22,3749.68,1548.69,275.26,15292.85
"TAMIL NADU","NAMAKKAL",40042.33,40287.59,1694.64,497.14,1701.18,44180.55
"TAMIL NADU","PERAMBALUR",176428.43,43850.25,145345.35,2482.98,8012.76,199691.34
"TAMIL NADU","PUDUKOTTAI",39698.69,21763.97,30899.2,826.99,3248.65,56738.81
"TAMIL NADU","RAMNATHAPURAM",16974.02,2831.88,1291.92,4275.75,9337.29,17736.84
"TAMIL NADU","SALEM",67012.17,100021.34,11896.28,2276.7,2634.87,116829.19
"TAMIL NADU","SIVAGANGA",12173.72,3646.56,7560.4,912.43,698.99,12818.38
"TAMIL NADU","THANJAVUR",6649.88,12164.37,3249.6,1476.34,870.54,17760.85
"TAMIL NADU","THE NILGIRIS",439.28,440.32,0,0,1,441.32
"TAMIL NADU","THENI",19242.51,9560.61,7639.95,3945.99,445.34,21591.89
"TAMIL NADU","THOOTHUGUDI",22638.32,12400.59,16503.12,6347.96,1196.44,36448.11
"TAMIL NADU","TIRUNELVELI",68071.2,41138.1,30059.7,4659.12,350.08,76207
"TAMIL NADU","TIRUVALLUR",34288.87,26162.13,15223.74,2316.69,772.94,44475.5
"TAMIL NADU","TIRUVANNAMALAI",239337.44,469725.59,426938.05,418083.12,81170.96,1395917.72
"TAMIL NADU","TIRUVARUR",57.33,53.58,16.66,3.5,0,73.74
"TAMIL NADU","TRICHIRAPPALLI",3714729.4,1601931.8,2004543.49,217427.03,337108.71,4161011.03
"TAMIL NADU","VELLORE",190055.9,75906.27,59070.16,25819.54,29262.66,190058.63
"TAMIL NADU","VILLUPURAM",119467.39,63080.51,50475.31,8116.68,4785.74,126458.24
"TAMIL NADU","VIRUDHUNAGAR",51758.81,17302.13,23576.66,3849.64,8216.35,52944.78
"TRIPURA","DHALAI",80,39,56,0,23,118
"TRIPURA","NORTH",15,10,14,0,5,29
"TRIPURA","SOUTH",898,603,658,170,58,1489
"TRIPURA","WEST",0,0,0,0,0,0
"UTTAR PRADESH","AGRA",34319,15764,23251,13192,13,52220
"UTTAR PRADESH","ALIGARH",1652,1071,1113,492,72,2748
"UTTAR PRADESH","ALLAHABAD",6048,3099,5680,173,82,9034
"UTTAR PRADESH","ALMORA",NA,NA,NA,NA,NA,NA
"UTTAR PRADESH","AMBEDKAR NAGAR",NA,NA,NA,NA,NA,NA
"UTTAR PRADESH","AZAMGARH",561,271,408,413,15,1107
"UTTAR PRADESH","BADAUN",NA,NA,NA,NA,NA,NA
"UTTAR PRADESH","BAHRAICH",314,742,843,1346,79,3010
"UTTAR PRADESH","BALLIA",871,404,530,78,44,1056
"UTTAR PRADESH","BANDA",27404,7241,16479,2599,1113,27432
"UTTAR PRADESH","BARABANKI",323,203,239,121,64,627
