-----
{
 "description": "The table refers to district wise distribution of Deep Tubewells according to irrigation through supplementary source . The report has been sourced from 2nd census of minor irrigation scheme(1993-94) from ministry of water resources.", 
 "file_name": "Statedptbwltab3.15.csv", 
 "title": "Download CSV for District wise Distribution of Deep Tubewells according to Irrigation through supplementary source  for 2nd Census of Minor Irrigation Schemes (1993-94)", 
 "url": "http://data.gov.in/sites/default/files/Statedptbwltab3.15.csv"
}
-----
"State","District","Supplementary irrigation (Ha) - Kharif","Supplementary irrigation (Ha) - Rabi","Supplementary irrigation (Ha) - Perennial","Supplementary irrigation (Ha) - Others","Total"
"KARNATAKA","BANGALORE URBAN",491.46,90.79,112.04,4.45,698.74
"KARNATAKA","BELGAUM",2622.9,924.52,65.81,264.52,3877.75
"KARNATAKA","BELLARY",1842.63,910.01,486.06,178,3416.7
"KARNATAKA","BIDAR",1017.85,2878.71,57.3,3.9,3957.76
"KARNATAKA","BIJAPUR",355.83,162.4,31.28,2,551.51
"KARNATAKA","CHIKKAMAGALORE",1,0,51.18,127.11,179.29
"KARNATAKA","CHITRADURGA",813.13,138.84,170.99,455.09,1578.05
"KARNATAKA","DAKSHINA KANNADA",0,49.18,123.26,64.06,236.5
"KARNATAKA","DHARWAR",1164.46,2827.9,235.99,137.05,4365.4
"KARNATAKA","GULBARGA",40.8,54.6,5,1,101.4
"KARNATAKA","HASSAN",73.33,0,18.6,35.46,127.39
"KARNATAKA","KODAGU",0,0,0,0,0
"KARNATAKA","KOLAR",381.56,116.37,278.75,208.7,985.38
"KARNATAKA","MANDYA",316.69,175.69,81.3,112.78,686.46
"KARNATAKA","MYSORE",389.12,80.91,808.1,105.12,1383.25
"KARNATAKA","RAICHUR",724.56,367.62,52.11,68.14,1212.43
"KARNATAKA","SHIMOGA",552.82,167.4,850.6,33,1603.82
"KARNATAKA","TUMKUR",1590.18,377.82,888.86,233.87,3090.73
"KARNATAKA","UTTARA KANNADA",0,0,0,2,2
"KERALA","ALAPUZHA",0,0,0,0,0
"KERALA","ERANAKULAM",0,0,0,0,0
"KERALA","IDUKKI",0,0,0,0,0
"KERALA","KANNUR",0,0,0,0,0
"KERALA","KASARAGODE",0,0,0,0,0
"KERALA","KOLLAM",0,0,0,0,0
"KERALA","KOTTAYAM",0,0,0,0,0
"KERALA","KOZHIKODE",0,0,0,0,0
"KERALA","MALAPPURAM",0,0,0,0,0
"KERALA","PALAKKAD",0,4,0,0,4
"KERALA","PATHANAMTHITTA",0,0,0,0,0
"KERALA","THIRUVANANTHAPURAM",0,0,0,0,0
"KERALA","THRISSUR",0,0,0,0,0
"KERALA","WAYANAD",NA,NA,NA,NA,NA
"MADHYA PRADESH","BALAGHAT",0,0,0,0,0
"MADHYA PRADESH","BASTAR",0,0,0,0,0
"MADHYA PRADESH","BETUL",0,0,0,0,0
"MADHYA PRADESH","BHIND",0,0,0,0,0
"MADHYA PRADESH","BHOPAL",NA,NA,NA,NA,NA
"MADHYA PRADESH","BILASPUR",83,54,0,0,137
"MADHYA PRADESH","CHHATARPUR",0,0,0,0,0
"MADHYA PRADESH","CHHINDWARA",0,0,0,0,0
"MADHYA PRADESH","DAMOH",0,30,0,0,30
"MADHYA PRADESH","DATIA",NA,NA,NA,NA,NA
"MADHYA PRADESH","DEWAS",0,19,0,0,19
"MADHYA PRADESH","DHAR",0,0,0,0,0
"MADHYA PRADESH","DURG",38,5,0,2,45
"MADHYA PRADESH","GUNA",0,222,0,0,222
"MADHYA PRADESH","GWALIOR",0,0,0,0,0
"MADHYA PRADESH","HOSHANGABAD",0,10,0,0,10
"MADHYA PRADESH","INDORE",3,50,0,0,53
"MADHYA PRADESH","JABALPUR",0,0,0,0,0
"MADHYA PRADESH","JHABUA",0,0,0,0,0
"MADHYA PRADESH","KHANDWA",0,187,0,0,187
"MADHYA PRADESH","KHARGONE",43,11,0,0,54
"MADHYA PRADESH","MANDLA",0,0,0,0,0
"MADHYA PRADESH","MANDSAUR",0,2,0,0,2
"MADHYA PRADESH","MORENA",0,0,0,0,0
"MADHYA PRADESH","NARSIMHAPUR",0,0,0,0,0
"MADHYA PRADESH","PANNA",0,0,0,0,0
"MADHYA PRADESH","RAIGARH",1,46,0,0,47
"MADHYA PRADESH","RAIPUR",78,9,2,0,89
"MADHYA PRADESH","RAISEN",0,0,0,0,0
"MADHYA PRADESH","RAJGARH",0,0,0,0,0
"MADHYA PRADESH","RAJNANDGAON",0,0,0,0,0
"MADHYA PRADESH","RATLAM",9,2,4,2,17
"MADHYA PRADESH","REWA",0,0,0,0,0
"MADHYA PRADESH","SAGAR",0,0,0,0,0
"MADHYA PRADESH","SATNA",0,24,0,4,28
"MADHYA PRADESH","SEHORE",0,6,0,0,6
"MADHYA PRADESH","SEONI",0,2,0,0,2
"MADHYA PRADESH","SHAHDOL",0,0,0,0,0
"MADHYA PRADESH","SHAJAPUR",0,0,0,0,0
"MADHYA PRADESH","SHIVPURI",0,4,0,0,4
"MADHYA PRADESH","SIDHI",0,0,0,0,0
"MADHYA PRADESH","SURGUJA",0,4,0,0,4
"MADHYA PRADESH","TIKAMGARH",0,10,0,0,10
"MADHYA PRADESH","UJJAIN",0,0,0,0,0
"MADHYA PRADESH","VIDISHA",0,26,1,0,27
"MAHARASHTRA","",NA,NA,NA,NA,NA
"MANIPUR","BISHNUPUR",NA,NA,NA,NA,NA
"MANIPUR","CHANDEL",NA,NA,NA,NA,NA
"MANIPUR","CHURACHANDPUR",NA,NA,NA,NA,NA
"MANIPUR","IMPHAL",NA,NA,NA,NA,NA
"MANIPUR","SENAPATI",NA,NA,NA,NA,NA
"MANIPUR","TAMENGLONG",NA,NA,NA,NA,NA
"MANIPUR","THOUBAL",NA,NA,NA,NA,NA
"MANIPUR","UKHRUL",NA,NA,NA,NA,NA
"MEGHALAYA","EAST GARO HILLS",0,0,0,0,0
"MEGHALAYA","EAST KHASI HILLS",NA,NA,NA,NA,NA
"MEGHALAYA","JAINTIA HILLS",NA,NA,NA,NA,NA
"MEGHALAYA","RI BHOI DISTRICT",NA,NA,NA,NA,NA
"MEGHALAYA","SOUTH GARO HILLS",NA,NA,NA,NA,NA
"MEGHALAYA","WEST GARO HILLS",3,0,1,0,4
"MEGHALAYA","WEST KHASI HILLS",NA,NA,NA,NA,NA
"MIZORAM","AIZAWL",NA,NA,NA,NA,NA
"MIZORAM","CHHIMTUIPUI",NA,NA,NA,NA,NA
"MIZORAM","LUNGLEI",NA,NA,NA,NA,NA
"NAGALAND","KOHIMA",0,0,0,0,0
"NAGALAND","MOKOKCHUNG",NA,NA,NA,NA,NA
"NAGALAND","MON",NA,NA,NA,NA,NA
"NAGALAND","PHEK",NA,NA,NA,NA,NA
"NAGALAND","TUENSANG",NA,NA,NA,NA,NA
"NAGALAND","WOKHA",NA,NA,NA,NA,NA
"NAGALAND","ZUNHEBOTO",NA,NA,NA,NA,NA
"ORISSA","ANGUL",NA,NA,NA,NA,NA
"ORISSA","BALASORE",0,0,0,0,0
"ORISSA","BARAGARH",0,0,0,0,0
"ORISSA","BHADRAK",207,12,0,0,219
"ORISSA","BOLANGIR",0,0,0,0,0
"ORISSA","BOUDH",0,0,0,0,0
"ORISSA","CUTTACK",16,4,0,0,20
"ORISSA","DEOGARH",NA,NA,NA,NA,NA
"ORISSA","DHENKANAL",0,0,0,0,0
"ORISSA","GAJAPATI",0,0,0,0,0
"ORISSA","GANJAM",4,0,0,0,4
"ORISSA","JAGATSINGHPUR",39,0,0,0,39
"ORISSA","JAJPUR",66,0,0,0,66
"ORISSA","JHARSUGUDA",0,0,0,0,0
"ORISSA","KALAHANDI",0,0,0,0,0
"ORISSA","KENDRAPARA",0,26,0,2,28
"ORISSA","KEONJHAR",0,0,0,0,0
"ORISSA","KHURDA",0,0,1,0,1
"ORISSA","KORAPUT",NA,NA,NA,NA,NA
"ORISSA","MALKANGIRI",NA,NA,NA,NA,NA
"ORISSA","MAYURBHANJ",5,0,0,0,5
"ORISSA","NAYAGARH",0,0,6,0,6
"ORISSA","NOWRANGPUR",NA,NA,NA,NA,NA
"ORISSA","NUAPADA",0,0,0,0,0
"ORISSA","PHULBANI",NA,NA,NA,NA,NA
"ORISSA","PURI",8,0,0,0,8
"ORISSA","RAYAGADA",0,0,0,0,0
"ORISSA","SAMBALPUR",NA,NA,NA,NA,NA
"ORISSA","SONEPUR",NA,NA,NA,NA,NA
"ORISSA","SUNDARGARH",NA,NA,NA,NA,NA
"PUNJAB","AMRITSAR",10,10,0,0,20
"PUNJAB","BATHINDA",17,17,0,0,34
"PUNJAB","FARIDKOT",NA,NA,NA,NA,NA
"PUNJAB","FATEHGARH SAHIB",0,0,0,0,0
"PUNJAB","FEROZEPUR",NA,NA,NA,NA,NA
"PUNJAB","GURDASPUR",0,0,0,0,0
"PUNJAB","HOSHIARPUR",410,407,7,0,824
"PUNJAB","JALANDHAR",NA,NA,NA,NA,NA
"PUNJAB","KAPURTHALA",0,0,0,0,0
"PUNJAB","LUDHIANA",0,0,0,0,0
"PUNJAB","MANSA",69,69,0,0,138
"PUNJAB","PATIALA",74,67,0,0,141
"PUNJAB","ROPAR",49,63,0,0,112
"PUNJAB","SANGRUR",506,505,0,0,1011
"RAJASTHAN","AJMER",0,0,0,0,0
"RAJASTHAN","ALWAR",NA,NA,NA,NA,NA
"RAJASTHAN","BANSWARA",NA,NA,NA,NA,NA
"RAJASTHAN","BARAN",0,0,0,0,0
"RAJASTHAN","BARMER",0,0,0,0,0
"RAJASTHAN","BHARATPUR",0,0,0,0,0
"RAJASTHAN","BHILWARA",0,0,0,0,0
"RAJASTHAN","BIKANER",23,63,0,0,86
"RAJASTHAN","BUNDI",0,0,0,0,0
"RAJASTHAN","CHITTORGARH",0,0,0,0,0
"RAJASTHAN","CHURU",7,14,0,0,21
"RAJASTHAN","DAUSA",0,0,0,0,0
"RAJASTHAN","DHOLPUR",NA,NA,NA,NA,NA
"RAJASTHAN","DUNGARPUR",0,0,0,0,0
"RAJASTHAN","GANGANAGAR",NA,NA,NA,NA,NA
"RAJASTHAN","HANUMANGARH",NA,NA,NA,NA,NA
"RAJASTHAN","JAIPUR",NA,NA,NA,NA,NA
"RAJASTHAN","JAISALMER",0,0,0,0,0
"RAJASTHAN","JALORE",0,0,0,0,0
"RAJASTHAN","JHALAWAR",0,0,0,0,0
"RAJASTHAN","JHUNJHNU",NA,NA,NA,NA,NA
"RAJASTHAN","JODHPUR",12,0,0,0,12
"RAJASTHAN","KOTA",0,0,0,0,0
"RAJASTHAN","NAGAUR",6,0,0,0,6
"RAJASTHAN","PALI",0,0,0,0,0
"RAJASTHAN","RAJSAMAND",0,0,0,0,0
"RAJASTHAN","SAWAI-MADHOPUR",0,0,0,0,0
"RAJASTHAN","SIKAR",NA,NA,NA,NA,NA
"RAJASTHAN","SIROHI",NA,NA,NA,NA,NA
"RAJASTHAN","TONK",0,0,0,0,0
"RAJASTHAN","UDAIPUR",0,0,0,0,0
"SIKKIM","EAST SIKKIM",NA,NA,NA,NA,NA
"SIKKIM","NORTH SIKKIM",NA,NA,NA,NA,NA
"SIKKIM","SOUTH SIKKIM",NA,NA,NA,NA,NA
"SIKKIM","WEST SIKKIM",NA,NA,NA,NA,NA
"TAMIL NADU","COIMBATORE",131.75,4.42,202,40.87,379.04
"TAMIL NADU","CUDDALORE",1539.95,1309.41,105.84,162.32,3117.52
"TAMIL NADU","DHARMAPURI",0,0,0,0,0
"TAMIL NADU","DINDIGUL",0,1.5,3.3,0,4.8
"TAMIL NADU","ERODE",609.47,84.52,16.46,9.23,719.68
"TAMIL NADU","KANCHIPURAM",0,0,0,0,0
"TAMIL NADU","KANNIYAKUMARI",0,0,0,0,0
"TAMIL NADU","KARUR",0,0,0,0,0
"TAMIL NADU","MADRAS",NA,NA,NA,NA,NA
"TAMIL NADU","MADURAI",0,0,0,0,0
"TAMIL NADU","NAGAPATTINAM",61,0,0,0,61
"TAMIL NADU","NAMAKKAL",613.4,2.81,1,1,618.21
"TAMIL NADU","PERAMBALUR",37.78,53.34,0,0,91.12
"TAMIL NADU","PUDUKOTTAI",395.61,74.49,108.77,12.84,591.71
"TAMIL NADU","RAMNATHAPURAM",35.77,14.87,0,0,50.64
"TAMIL NADU","SALEM",696.97,0,0,0,696.97
"TAMIL NADU","SIVAGANGA",1.38,208.78,46.39,0.9,257.45
"TAMIL NADU","THANJAVUR",635.56,987.25,266.7,5.53,1895.04
"TAMIL NADU","THE NILGIRIS",NA,NA,NA,NA,NA
"TAMIL NADU","THENI",0,0,0,0,0
"TAMIL NADU","THOOTHUGUDI",NA,NA,NA,NA,NA
"TAMIL NADU","TIRUNELVELI",0.31,0.33,0.46,0,1.1
"TAMIL NADU","TIRUVALLUR",51.55,17.22,0,0,68.77
"TAMIL NADU","TIRUVANNAMALAI",NA,NA,NA,NA,NA
"TAMIL NADU","TIRUVARUR",560.8,589.19,46.96,5.97,1202.92
"TAMIL NADU","TRICHIRAPPALLI",0,0,0,0,0
"TAMIL NADU","VELLORE",NA,NA,NA,NA,NA
"TAMIL NADU","VILLUPURAM",1169.37,722.94,134.01,47.33,2073.65
"TAMIL NADU","VIRUDHUNAGAR",0,0,0,0,0
"TRIPURA","DHALAI",0,0,0,0,0
"TRIPURA","NORTH",0,0,0,0,0
"TRIPURA","SOUTH",0,0,0,0,0
"TRIPURA","WEST",0,0,0,0,0
"UTTAR PRADESH","AGRA",3,0,0,2,5
"UTTAR PRADESH","ALIGARH",0,0,0,0,0
"UTTAR PRADESH","ALLAHABAD",273,345,170,61,849
"UTTAR PRADESH","ALMORA",NA,NA,NA,NA,NA
"UTTAR PRADESH","AMBEDKAR NAGAR",0,0,0,0,0
"UTTAR PRADESH","AZAMGARH",6,7,13,0,26
"UTTAR PRADESH","BADAUN",0,0,0,0,0
"UTTAR PRADESH","BAHRAICH",60,35,60,0,155
"UTTAR PRADESH","BALLIA",329,743,50,81,1203
"UTTAR PRADESH","BANDA",150,225,0,10,385
"UTTAR PRADESH","BARABANKI",NA,NA,NA,NA,NA
"UTTAR PRADESH","BAREILLY",0,0,0,0,0
"UTTAR PRADESH","BASTI",NA,NA,NA,NA,NA
"UTTAR PRADESH","BIJNOR",11,15,20,10,56
"UTTAR PRADESH","BULANDSHAHR",NA,NA,NA,NA,NA
"UTTAR PRADESH","CHAMOLI(GOPESHWAR)",NA,NA,NA,NA,NA
"UTTAR PRADESH","DEHRADUN",104,142,0,10,256
"UTTAR PRADESH","DEORIA",1739,2606,107,33,4485
"UTTAR PRADESH","ETAH",0,0,0,0,0
"UTTAR PRADESH","ETAWAH",361,475,292,60,1188
"UTTAR PRADESH","FAIZABAD",0,0,0,0,0
"UTTAR PRADESH","FARUKHABAD",0,0,0,0,0
"UTTAR PRADESH","FATEHPUR",6,3,0,0,9
"UTTAR PRADESH","FIROZABAD",2220,5945,425,717,9307
"UTTAR PRADESH","GHAZIABAD",0,0,0,0,0
"UTTAR PRADESH","GHAZIPUR",0,0,0,0,0
"UTTAR PRADESH","GONDA",309,360,181,0,850
"UTTAR PRADESH","GORAKHPUR",707,1304,888,19,2918
"UTTAR PRADESH","HAMIRPUR",2,1759,0,0,1761
"UTTAR PRADESH","HARDOI",45,117,4,10,176
"UTTAR PRADESH","HARDWAR",70,62,5,0,137
"UTTAR PRADESH","JALAUN",236,5866,46,21,6169
"UTTAR PRADESH","JAUNPUR",265,440,2,44,751
"UTTAR PRADESH","JHANSI",0,0,0,0,0
"UTTAR PRADESH","KANPUR DEHAT",1184,1777,257,180,3398
"UTTAR PRADESH","KANPUR NAGAR",0,0,0,0,0
"UTTAR PRADESH","KHIRI",263,94,104,1,462
"UTTAR PRADESH","KUSHI NAGAR",166,158,83,2,409
"UTTAR PRADESH","LALITPUR",NA,NA,NA,NA,NA
"UTTAR PRADESH","LUCKNOW",21,30,7,6,64
"UTTAR PRADESH","MAHOBA",NA,NA,NA,NA,NA
"UTTAR PRADESH","MAHRAJGANJ",4,0,0,0,4
"UTTAR PRADESH","MAINPURI",NA,NA,NA,NA,NA
"UTTAR PRADESH","MATHURA",NA,NA,NA,NA,NA
"UTTAR PRADESH","MAU",NA,NA,NA,NA,NA
"UTTAR PRADESH","MEERUT",2464,1764,695,142,5065
"UTTAR PRADESH","MIRZAPUR",955,1775,375,46,3151
"UTTAR PRADESH","MORADABAD",360,440,560,140,1500
"UTTAR PRADESH","MUZAFFER NAGAR",4,3,0,0,7
"UTTAR PRADESH","NAINITAL",0,0,0,0,0
"UTTAR PRADESH","PAURI GARHWAL",0,0,0,0,0
"UTTAR PRADESH","PILIBHIT",50,40,20,0,110
"UTTAR PRADESH","PITHORAGARH",NA,NA,NA,NA,NA
"UTTAR PRADESH","PRATAPGARH",NA,NA,NA,NA,NA
"UTTAR PRADESH","RAEBARELY",0,0,0,0,0
"UTTAR PRADESH","RAMPUR",0,0,0,0,0
"UTTAR PRADESH","SAHARANPUR",NA,NA,NA,NA,NA
"UTTAR PRADESH","SANT RAVIDAS NAGAR",491,1001,197,83,1772
"UTTAR PRADESH","SHAHJAHANPUR",0,0,0,0,0
"UTTAR PRADESH","SIDDHARTH NAGAR",NA,NA,NA,NA,NA
"UTTAR PRADESH","SITAPUR",137,344,289,20,790
"UTTAR PRADESH","SONBHADRA",NA,NA,NA,NA,NA
"UTTAR PRADESH","SULTANPUR",566,825,431,247,2069
"UTTAR PRADESH","TEHRI GARHWAL",NA,NA,NA,NA,NA
"UTTAR PRADESH","UDHAMSINGH NAGAR",123,110,183,0,416
"UTTAR PRADESH","UNNAO",NA,NA,NA,NA,NA
"UTTAR PRADESH","UTTARKASHI",NA,NA,NA,NA,NA
"UTTAR PRADESH","VARANASI",2245,3183,414,145,5987
"WEST BENGAL","BANKURA",0,0,0,0,0
"WEST BENGAL","BIRBHUM",38,3,1,1,43
"WEST BENGAL","BURDWAN",480,21,4,59,564
"WEST BENGAL","COOCHBEHAR",0,0,0,0,0
"WEST BENGAL","DAKSHIN DINAJPUR",2,2,2,2,8
