-----
{
 "description": "The table refers to district wise distribution of dugwells according to water lifting device. It has been sourced from 2nd census of Minor Irrigation Scheme (1993-94) from Ministry of Water Resources.", 
 "file_name": "Statedgwltab1.9.csv", 
 "title": "Download CSV for District wise Dugwells according to water lifting device for 2nd census of minor irrigation schemes", 
 "url": "http://data.gov.in/sites/default/files/Statedgwltab1.9.csv"
}
-----
"State","District","Electric pumps","Diesel pumps","Wind mills","Solar pumps","Man/Animal operated","Others","Total"
"BIHAR","GODDA",38,712,36,11,6247,261,7305
"BIHAR","GOPALGANJ",16,291,1,0,1782,11,2101
"BIHAR","GUMLA",221,4702,33,24,26718,648,32346
"BIHAR","HAZARIBAG",96,11903,67,43,18888,883,31880
"BIHAR","JAMUI",222,1425,5,11,4146,38,5847
"BIHAR","JEHANABAD",452,2335,2,0,533,25,3347
"BIHAR","KATIHAR",0,2,0,0,0,0,2
"BIHAR","KHAGARIA",0,6,0,0,0,0,6
"BIHAR","KISHANGANJ",1,0,0,0,0,0,1
"BIHAR","KODARMA",67,3098,10,20,6543,15,9753
"BIHAR","LAKHISARAI",10,217,0,0,341,41,609
"BIHAR","LOHARDAGA",84,2760,8,18,8900,3842,15612
"BIHAR","MADHEPURA",0,2,0,0,0,0,2
"BIHAR","MADHUBANI",0,20,0,0,39,0,59
"BIHAR","MUNGER",115,978,1,0,1026,8,2128
"BIHAR","MUZAFFARPUR",308,241,1,0,910,0,1460
"BIHAR","NALANDA",3326,17124,191,1,1222,591,22455
"BIHAR","NAWADA",609,1572,8,1,3479,218,5887
"BIHAR","PAKUR",2,143,3,0,729,5,882
"BIHAR","PALAMU",1115,6396,80,35,14453,706,22785
"BIHAR","PATNA",711,5036,11,1,1276,23,7058
"BIHAR","PURNIA",3,0,0,0,0,0,3
"BIHAR","RANCHI",235,19717,51,39,18591,738,39371
"BIHAR","ROHTAS",1991,3955,7,19,944,169,7085
"BIHAR","SAHARSA",NA,NA,NA,NA,NA,NA,NA
"BIHAR","SAHEBGANJ",17,613,1,1,1439,33,2104
"BIHAR","SAMASTIPUR",0,1,0,0,22,0,23
"BIHAR","SARAN",44,175,1,2,2524,136,2882
"BIHAR","SHEIKHPURA",8,379,1,0,155,1,544
"BIHAR","SHEOHAR",NA,NA,NA,NA,NA,NA,NA
"BIHAR","SINGHBHUM EAST",58,948,4,4,948,387,2349
"BIHAR","SINGHBHUM WEST",10,898,5,3,3782,64,4762
"BIHAR","SITAMARHI",0,1,0,0,9,0,10
"BIHAR","SIWAN",14,187,1,1,10765,43,11011
"BIHAR","SUPAUL",NA,NA,NA,NA,NA,NA,NA
"BIHAR","VAISHALI",394,1031,1,0,155,1,1582
"GOA","NORTH GOA",1549,149,3,0,1135,17,2853
"GOA","SOUTH GOA",850,126,0,1,119,26,1122
"GUJARAT","",NA,NA,NA,NA,NA,NA,NA
"HARYANA","AMBALA",1393,330,2,6,0,0,1731
"HARYANA","BHIWANI",2849,1649,3,0,5,6,4512
"HARYANA","FARIDABAD",NA,NA,NA,NA,NA,NA,NA
"HARYANA","GURGAON",2581,1470,28,16,8,3,4106
"HARYANA","HISAR",136,19,0,0,0,0,155
"HARYANA","JIND",NA,NA,NA,NA,NA,NA,NA
"HARYANA","KAITHAL",4441,254,63,0,31,3,4792
"HARYANA","KARNAL",2101,5,0,0,5,0,2111
"HARYANA","KURUKSHETRA",NA,NA,NA,NA,NA,NA,NA
"HARYANA","MEHANDERGARH",2289,55,0,0,3,0,2347
"HARYANA","PANCHKULA",37,8,0,0,1,0,46
"HARYANA","PANIPAT",420,23,0,0,0,0,443
"HARYANA","RIWARI",1313,62,0,1,6,0,1382
"HARYANA","ROHTAK",265,1234,5,2,0,0,1506
"HARYANA","SIRSA",802,1049,3,0,0,76,1930
"HARYANA","SONIPAT",92,31,1,0,0,0,124
"HARYANA","YAMUNA NAGAR",978,259,11,1,5,1,1255
"HIMACHAL PRADESH","Bilaspur",29,5,0,0,10,1,45
"HIMACHAL PRADESH","Chamba",NA,NA,NA,NA,NA,NA,NA
"HIMACHAL PRADESH","Hamirpur",46,5,1,0,70,0,122
"HIMACHAL PRADESH","Kangra",92,80,0,1,122,2,297
"HIMACHAL PRADESH","Kinnaur",NA,NA,NA,NA,NA,NA,NA
"HIMACHAL PRADESH","Kullu",13,0,0,0,0,0,13
"HIMACHAL PRADESH","Lahul & Spiti",NA,NA,NA,NA,NA,NA,NA
"HIMACHAL PRADESH","Mandi",18,7,0,0,0,0,25
"HIMACHAL PRADESH","Shimla",NA,NA,NA,NA,NA,NA,NA
"HIMACHAL PRADESH","Sirmaur",151,16,0,0,0,1,168
"HIMACHAL PRADESH","Solan",423,158,1,0,14,0,596
"HIMACHAL PRADESH","Una",314,53,0,0,89,0,456
"JAMMU & KASHMIR","Anantnagh",NA,NA,NA,NA,NA,NA,NA
"JAMMU & KASHMIR","Baramulla",0,9,0,0,170,4,183
"JAMMU & KASHMIR","Budgam",0,0,0,0,97,0,97
"JAMMU & KASHMIR","Doda",NA,NA,NA,NA,NA,NA,NA
"JAMMU & KASHMIR","Jammu",42,48,0,0,11,0,101
"JAMMU & KASHMIR","Kargil",NA,NA,NA,NA,NA,NA,NA
"JAMMU & KASHMIR","Kathua",237,27,0,0,11,0,275
"JAMMU & KASHMIR","Kupwara",NA,NA,NA,NA,NA,NA,NA
"JAMMU & KASHMIR","Leh",NA,NA,NA,NA,NA,NA,NA
"JAMMU & KASHMIR","Poonch",NA,NA,NA,NA,NA,NA,NA
"JAMMU & KASHMIR","Pulwama",0,0,0,0,68,0,68
"JAMMU & KASHMIR","Rajouri",2,3,0,0,0,0,5
"JAMMU & KASHMIR","Srinagar",0,0,0,0,687,0,687
"JAMMU & KASHMIR","Udhampur",2,0,0,0,2,5,9
"KARNATAKA","BANGALORE RURAL",9527,435,69,2,333,1404,11770
"KARNATAKA","BANGALORE URBAN",1616,40,5,1,239,554,2455
"KARNATAKA","BELGAUM",50651,2127,409,23,486,894,54590
"KARNATAKA","BELLARY",3729,164,1,2,26,656,4578
"KARNATAKA","BIDAR",16169,202,47,7,247,185,16857
"KARNATAKA","BIJAPUR",35558,570,346,6,206,1338,38024
"KARNATAKA","CHIKKAMAGALORE",1659,820,19,2,33,53,2586
"KARNATAKA","CHITRADURGA",10012,199,88,2,236,706,11243
"KARNATAKA","DAKSHINA KANNADA",19149,8885,172,69,495,2074,30844
"KARNATAKA","DHARWAR",5507,216,46,5,154,166,6094
"KARNATAKA","GULBARGA",15740,3463,89,23,357,649,20321
"KARNATAKA","HASSAN",2033,472,35,0,42,82,2664
"KARNATAKA","KODAGU",101,51,0,0,21,3,176
"KARNATAKA","KOLAR",19314,993,109,34,3385,2739,26574
"KARNATAKA","MANDYA",7734,1052,32,15,107,245,9185
"KARNATAKA","MYSORE",14379,465,34,2,403,419,15702
"KARNATAKA","RAICHUR",14979,1518,59,21,441,172,17190
"KARNATAKA","SHIMOGA",4425,1008,19,3,69,245,5769
"KARNATAKA","TUMKUR",22725,1012,114,282,613,6085,30831
"KARNATAKA","UTTARA KANNADA",10098,905,124,7,2288,984,14406
"KERALA","ALAPUZHA",1707,58,0,0,1074,175,3014
"KERALA","ERANAKULAM",12809,75,14,46,1711,7,14662
"KERALA","IDUKKI",2133,377,1,1,1969,101,4582
"KERALA","KANNUR",4087,1742,1,10,5140,679,11659
"KERALA","KASARAGODE",1150,925,0,2,2008,493,4578
"KERALA","KOLLAM",2102,5,0,2,249,41,2399
"KERALA","KOTTAYAM",3501,20,1,3,5089,21,8635
"KERALA","KOZHIKODE",5117,743,4,4,2995,646,9509
"KERALA","MALAPPURAM",5236,2616,1,0,1337,389,9579
"KERALA","PALAKKAD",4886,518,8,6,161,218,5797
"KERALA","PATHANAMTHITTA",2422,71,0,0,2326,9,4828
"KERALA","THIRUVANANTHAPURAM",3529,13,9,21,4533,57,8162
"KERALA","THRISSUR",30543,7375,34,13,132,648,38745
"KERALA","WAYANAD",183,246,0,0,116,1,546
"MADHYA PRADESH","BALAGHAT",5747,1513,15,29,832,169,8305
"MADHYA PRADESH","BASTAR",642,1680,0,0,4117,0,6439
"MADHYA PRADESH","BETUL",34526,5774,250,57,3645,48,44300
"MADHYA PRADESH","BHIND",9679,76,0,0,1167,0,10922
"MADHYA PRADESH","BHOPAL",6741,309,3,2,2,12,7069
"MADHYA PRADESH","BILASPUR",3546,1021,33,6,5705,0,10311
"MADHYA PRADESH","CHHATARPUR",26781,10472,141,12,3791,29,41226
"MADHYA PRADESH","CHHINDWARA",28226,373,30,10,2311,12,30962
"MADHYA PRADESH","DAMOH",7075,2714,20,3,98,26,9936
"MADHYA PRADESH","DATIA",11890,86,0,0,1817,1,13794
"MADHYA PRADESH","DEWAS",29570,226,106,4,81,223,30210
"MADHYA PRADESH","DHAR",37535,2110,115,26,2002,366,42154
"MADHYA PRADESH","DURG",4108,1149,0,0,3248,0,8505
"MADHYA PRADESH","GUNA",17163,48,12,0,150,0,17373
"MADHYA PRADESH","GWALIOR",13689,37,0,0,1200,0,14926
"MADHYA PRADESH","HOSHANGABAD",21272,1971,112,9,9,59,23432
"MADHYA PRADESH","INDORE",15021,95,70,6,22,133,15347
"MADHYA PRADESH","JABALPUR",9537,967,3,4,244,52,10807
"MADHYA PRADESH","JHABUA",10377,4035,49,0,842,1,15304
"MADHYA PRADESH","KHANDWA",44822,9339,79,3,191,18,54452
"MADHYA PRADESH","KHARGONE",57918,7541,62,10,1046,728,67305
"MADHYA PRADESH","MANDLA",1198,228,8,0,561,42,2037
"MADHYA PRADESH","MANDSAUR",116610,3612,727,15,1041,1532,123537
"MADHYA PRADESH","MORENA",17545,59,0,0,748,0,18352
"MADHYA PRADESH","NARSIMHAPUR",18210,258,1,0,115,0,18584
"MADHYA PRADESH","PANNA",2053,2847,5,9,113,8,5035
"MADHYA PRADESH","RAIGARH",3434,688,245,2,7716,0,12085
"MADHYA PRADESH","RAIPUR",6280,4243,91,15,21932,0,32561
"MADHYA PRADESH","RAISEN",4134,3447,3,0,15,1,7600
"MADHYA PRADESH","RAJGARH",49513,805,93,4,2308,47,52770
"MADHYA PRADESH","RAJNANDGAON",1710,1121,0,0,3282,0,6113
"MADHYA PRADESH","RATLAM",44921,990,159,12,183,307,46572
"MADHYA PRADESH","REWA",8585,1524,46,1,385,140,10681
"MADHYA PRADESH","SAGAR",27476,208,14,0,102,0,27800
"MADHYA PRADESH","SATNA",11235,1710,66,0,427,123,13561
"MADHYA PRADESH","SEHORE",26196,746,50,3,34,3,27032
"MADHYA PRADESH","SEONI",6977,3433,0,0,1084,0,11494
"MADHYA PRADESH","SHAHDOL",2270,2304,35,0,936,5,5550
"MADHYA PRADESH","SHAJAPUR",41380,387,216,16,227,689,42915
"MADHYA PRADESH","SHIVPURI",43574,207,0,0,1410,1,45192
"MADHYA PRADESH","SIDHI",5730,1975,10,4,455,0,8174
"MADHYA PRADESH","SURGUJA",7200,743,520,88,30883,0,39434
"MADHYA PRADESH","TIKAMGARH",43522,44,0,0,51,1,43618
"MADHYA PRADESH","UJJAIN",32090,153,112,1,56,185,32597
"MADHYA PRADESH","VIDISHA",2740,7292,0,2,23,9,10066
"MAHARASHTRA","",NA,NA,NA,NA,NA,NA,NA
"MANIPUR","BISHNUPUR",NA,NA,NA,NA,NA,NA,NA
"MANIPUR","CHANDEL",NA,NA,NA,NA,NA,NA,NA
"MANIPUR","CHURACHANDPUR",NA,NA,NA,NA,NA,NA,NA
"MANIPUR","IMPHAL",NA,NA,NA,NA,NA,NA,NA
"MANIPUR","SENAPATI",NA,NA,NA,NA,NA,NA,NA
"MANIPUR","TAMENGLONG",NA,NA,NA,NA,NA,NA,NA
"MANIPUR","THOUBAL",NA,NA,NA,NA,NA,NA,NA
"MANIPUR","UKHRUL",NA,NA,NA,NA,NA,NA,NA
"MEGHALAYA","EAST GARO HILLS",NA,NA,NA,NA,NA,NA,NA
"MEGHALAYA","EAST KHASI HILLS",NA,NA,NA,NA,NA,NA,NA
"MEGHALAYA","JAINTIA HILLS",NA,NA,NA,NA,NA,NA,NA
"MEGHALAYA","RI BHOI DISTRICT",NA,NA,NA,NA,NA,NA,NA
"MEGHALAYA","SOUTH GARO HILLS",0,0,0,0,2,0,2
"MEGHALAYA","WEST GARO HILLS",NA,NA,NA,NA,NA,NA,NA
"MEGHALAYA","WEST KHASI HILLS",NA,NA,NA,NA,NA,NA,NA
"MIZORAM","AIZAWL",0,0,0,0,283,0,283
"MIZORAM","CHHIMTUIPUI",0,0,0,0,31,0,31
"MIZORAM","LUNGLEI",0,0,0,0,176,0,176
"NAGALAND","KOHIMA",15,175,0,0,1,329,520
"NAGALAND","MOKOKCHUNG",0,1,0,0,0,9,10
"NAGALAND","MON",NA,NA,NA,NA,NA,NA,NA
"NAGALAND","PHEK",NA,NA,NA,NA,NA,NA,NA
"NAGALAND","TUENSANG",NA,NA,NA,NA,NA,NA,NA
"NAGALAND","WOKHA",NA,NA,NA,NA,NA,NA,NA
"NAGALAND","ZUNHEBOTO",NA,NA,NA,NA,NA,NA,NA
"ORISSA","ANGUL",854,304,7,7,17292,165,18629
"ORISSA","BALASORE",22,249,0,0,2259,108,2638
"ORISSA","BARAGARH",1658,1357,7,2,11768,200,14992
"ORISSA","BHADRAK",15,60,0,2,253,101,431
"ORISSA","BOLANGIR",2075,1541,12,19,49404,123,53174
"ORISSA","BOUDH",212,196,3,1,8183,1760,10355
"ORISSA","CUTTACK",179,774,2,10,9942,90,10997
"ORISSA","DEOGARH",106,86,1,0,6086,37,6316
"ORISSA","DHENKANAL",1006,586,13,8,7828,49,9490
"ORISSA","GAJAPATI",104,61,4,1,3939,8,4117
"ORISSA","GANJAM",2901,1181,37,30,25792,479,30420
"ORISSA","JAGATSINGHPUR",15,107,1,0,548,121,792
"ORISSA","JAJPUR",96,99,2,0,2214,52,2463
"ORISSA","JHARSUGUDA",756,332,3,9,4903,73,6076
"ORISSA","KALAHANDI",647,535,51,22,13035,0,14290
"ORISSA","KENDRAPARA",14,58,0,0,182,35,289
"ORISSA","KEONJHAR",588,103,23,2,16645,0,17361
"ORISSA","KHURDA",179,198,31,10,13151,0,13569
"ORISSA","KORAPUT",29,78,5,2,5664,0,5778
"ORISSA","MALKANGIRI",11,153,1,0,1184,0,1349
"ORISSA","MAYURBHANJ",320,887,4,0,7926,1268,10405
"ORISSA","NAYAGARH",251,214,17,23,13750,0,14255
"ORISSA","NOWRANGPUR",76,337,5,7,8898,0,9323
"ORISSA","NUAPADA",495,404,18,3,12740,0,13660
"ORISSA","PHULBANI",261,380,3,2,5258,25,5929
"ORISSA","PURI",9,167,3,5,838,0,1022
"ORISSA","RAYAGADA",10,82,1,1,1914,0,2008
"ORISSA","SAMBALPUR",913,1150,6,10,10667,532,13278
"ORISSA","SONEPUR",349,280,13,1,10304,111,11058
"ORISSA","SUNDARGARH",1760,2200,19,16,14638,0,18633
"PUNJAB","AMRITSAR",1310,32,75,1,15,1,1434
"PUNJAB","BATHINDA",196,79,1,0,83,7,366
"PUNJAB","FARIDKOT",62,441,0,0,0,3,506
"PUNJAB","FATEHGARH SAHIB",94,31,0,0,0,0,125
"PUNJAB","FEROZEPUR",269,75,0,0,0,0,344
"PUNJAB","GURDASPUR",504,28,104,2,17,1,656
"PUNJAB","HOSHIARPUR",376,289,24,1,13,1,704
"PUNJAB","JALANDHAR",1178,270,9,2,7,0,1466
"PUNJAB","KAPURTHALA",442,320,11,1,12,0,786
"PUNJAB","LUDHIANA",534,161,4,0,8,0,707
"PUNJAB","MANSA",62,471,3,0,0,29,565
"PUNJAB","PATIALA",94,55,0,0,0,0,149
"PUNJAB","ROPAR",858,1256,9,1,176,34,2334
"PUNJAB","SANGRUR",1022,468,29,1,8,1,1529
"RAJASTHAN","AJMER",17355,15496,199,36,10719,5170,48975
"RAJASTHAN","ALWAR",18033,35933,141,65,3833,7606,65611
"RAJASTHAN","BANSWARA",4102,4932,13,7,889,2201,12144
"RAJASTHAN","BARAN",13391,8568,154,5,1178,588,23884
"RAJASTHAN","BARMER",5102,8151,29,2,146,4,13434
"RAJASTHAN","BHARATPUR",2204,7986,24,7,634,1630,12485
"RAJASTHAN","BHILWARA",33179,35067,268,131,21920,8904,99469
"RAJASTHAN","BIKANER",217,4,0,0,0,0,221
"RAJASTHAN","BUNDI",4486,7547,29,16,6880,3188,22146
"RAJASTHAN","CHITTORGARH",24705,35521,226,74,14882,4425,79833
"RAJASTHAN","CHURU",1750,42,0,0,42,20,1854
"RAJASTHAN","DAUSA",15055,19169,90,15,890,1221,36440
"RAJASTHAN","DHOLPUR",3217,12808,13,8,98,71,16215
"RAJASTHAN","DUNGARPUR",2773,6672,61,5,4436,2034,15981
"RAJASTHAN","GANGANAGAR",NA,NA,NA,NA,NA,NA,NA
"RAJASTHAN","HANUMANGARH",65,1011,11,1,0,1,1089
"RAJASTHAN","JAIPUR",36625,47749,367,136,14432,10344,109653
"RAJASTHAN","JAISALMER",111,44,7,0,50,0,212
"RAJASTHAN","JALORE",18130,22644,108,32,519,1781,43214
"RAJASTHAN","JHALAWAR",23483,22417,255,100,9262,2404,57921
"RAJASTHAN","JHUNJHNU",23308,3470,64,8,485,284,27619
"RAJASTHAN","JODHPUR",7411,2136,8,4,42,908,10509
"RAJASTHAN","KOTA",5865,6617,83,7,130,2763,15465
"RAJASTHAN","NAGAUR",20166,3590,50,10,103,1917,25836
"RAJASTHAN","PALI",13666,14631,154,57,6922,6749,42179
"RAJASTHAN","RAJSAMAND",15512,15792,204,45,14730,2831,49114
"RAJASTHAN","SAWAI-MADHOPUR",11325,28464,144,50,2897,5845,48725
"RAJASTHAN","SIKAR",40618,4895,67,7,272,66,45925
"RAJASTHAN","SIROHI",8045,6653,27,13,505,353,15596
"RAJASTHAN","TONK",14742,19575,132,33,5034,3023,42539
"RAJASTHAN","UDAIPUR",17047,24170,119,82,10502,6869,58789
"SIKKIM","EAST SIKKIM",NA,NA,NA,NA,NA,NA,NA
"SIKKIM","NORTH SIKKIM",NA,NA,NA,NA,NA,NA,NA
"SIKKIM","SOUTH SIKKIM",NA,NA,NA,NA,NA,NA,NA
"SIKKIM","WEST SIKKIM",NA,NA,NA,NA,NA,NA,NA
"TAMIL NADU","COIMBATORE",81629,2917,0,0,693,0,85239
"TAMIL NADU","CUDDALORE",6368,3953,23,4,822,105,11275
"TAMIL NADU","DHARMAPURI",42366,42343,419,211,11924,607,97870
"TAMIL NADU","DINDIGUL",42298,12872,10,9,12252,2214,69655
"TAMIL NADU","ERODE",80411,17782,0,0,2632,0,100825
"TAMIL NADU","KANCHIPURAM",32466,6375,102,25,4619,633,44220
"TAMIL NADU","KANNIYAKUMARI",2028,338,0,4,0,0,2370
"TAMIL NADU","KARUR",25727,5376,88,2,3032,49,34274
"TAMIL NADU","MADRAS",NA,NA,NA,NA,NA,NA,NA
"TAMIL NADU","MADURAI",26373,6450,710,120,2728,2193,38574
"TAMIL NADU","NAGAPATTINAM",4500,1307,0,0,2795,0,8602
"TAMIL NADU","NAMAKKAL",35371,2030,0,0,3293,0,40694
"TAMIL NADU","PERAMBALUR",25415,7041,2189,177,10456,114,45392
"TAMIL NADU","PUDUKOTTAI",14025,4570,198,19,14610,328,33750
"TAMIL NADU","RAMNATHAPURAM",2771,2358,148,1,288,438,6004
"TAMIL NADU","SALEM",45651,6183,266,81,8806,274,61261
"TAMIL NADU","SIVAGANGA",6777,2858,344,13,225,1001,11218
"TAMIL NADU","THANJAVUR",1933,2778,11,9,476,29,5236
"TAMIL NADU","THE NILGIRIS",242,13,0,1,0,0,256
"TAMIL NADU","THENI",15764,1171,9,5,163,1734,18846
"TAMIL NADU","THOOTHUGUDI",14925,1778,102,39,4619,131,21594
"TAMIL NADU","TIRUNELVELI",40342,12072,1615,87,13620,856,68592
"TAMIL NADU","TIRUVALLUR",18218,3327,8,3,1410,350,23316
"TAMIL NADU","TIRUVANNAMALAI",98402,27095,1018,159,16929,529,144132
"TAMIL NADU","TIRUVARUR",47,22,0,0,0,0,69
"TAMIL NADU","TRICHIRAPPALLI",38851,7663,361,100,16610,607,64192
"TAMIL NADU","VELLORE",74373,9150,83,0,8993,3892,96491
"TAMIL NADU","VILLUPURAM",72011,48706,725,170,12857,667,135136
"TAMIL NADU","VIRUDHUNAGAR",27738,3344,2122,104,7143,254,40705
"TRIPURA","DHALAI",0,0,0,0,116,0,116
"TRIPURA","NORTH",0,1,0,0,32,0,33
"TRIPURA","SOUTH",3,13,0,0,568,71,655
"TRIPURA","WEST",0,0,0,0,1,0,1
"UTTAR PRADESH","AGRA",255,5655,0,0,0,0,5910
"UTTAR PRADESH","ALIGARH",72,193,1,0,0,3,269
"UTTAR PRADESH","ALLAHABAD",254,3136,0,0,0,0,3390
"UTTAR PRADESH","ALMORA",NA,NA,NA,NA,NA,NA,NA
"UTTAR PRADESH","AMBEDKAR NAGAR",NA,NA,NA,NA,NA,NA,NA
"UTTAR PRADESH","AZAMGARH",60,57,0,0,0,4,121
"UTTAR PRADESH","BADAUN",NA,NA,NA,NA,NA,NA,NA
"UTTAR PRADESH","BAHRAICH",7,612,4,0,37,0,660
"UTTAR PRADESH","BALLIA",139,303,0,0,9,46,497
"UTTAR PRADESH","BANDA",663,5807,12,1,46,19,6548
"UTTAR PRADESH","BARABANKI",1529,170,2,1,19,26,1747
"UTTAR PRADESH","BAREILLY",NA,NA,NA,NA,NA,NA,NA
"UTTAR PRADESH","BASTI",276,829,2,2,0,6,1115
"UTTAR PRADESH","BIJNOR",90,187,0,0,2,0,279
"UTTAR PRADESH","BULANDSHAHR",35,63,0,0,0,0,98
